ID;Donorregistratie;RegioS;Perioden;DonorregisterVastgelegdeKeuze_1
49;Totaal wel of niet geregistreerd;Zuidoost-Drenthe (CR);2023;141
50;Totaal wel of niet geregistreerd;Zuidwest-Drenthe (CR);2022;110
51;Totaal wel of niet geregistreerd;Zuidwest-Drenthe (CR);2023;111
52;Totaal wel of niet geregistreerd;Noord-Overijssel (CR);2022;300
53;Totaal wel of niet geregistreerd;Noord-Overijssel (CR);2023;304
54;Totaal wel of niet geregistreerd;Zuidwest-Overijssel (CR);2022;128
55;Totaal wel of niet geregistreerd;Zuidwest-Overijssel (CR);2023;130
56;Totaal wel of niet geregistreerd;Twente (CR);2022;514
57;Totaal wel of niet geregistreerd;Twente (CR);2023;520
58;Totaal wel of niet geregistreerd;Veluwe (CR);2022;562
59;Totaal wel of niet geregistreerd;Veluwe (CR);2023;570
60;Totaal wel of niet geregistreerd;Achterhoek (CR);2022;333
61;Totaal wel of niet geregistreerd;Achterhoek (CR);2023;336
62;Totaal wel of niet geregistreerd;Arnhem/Nijmegen (CR);2022;616
63;Totaal wel of niet geregistreerd;Arnhem/Nijmegen (CR);2023;624
64;Totaal wel of niet geregistreerd;Zuidwest-Gelderland (CR);2022;200
65;Totaal wel of niet geregistreerd;Zuidwest-Gelderland (CR);2023;204
66;Totaal wel of niet geregistreerd;Utrecht (CR);2022;1091
67;Totaal wel of niet geregistreerd;Utrecht (CR);2023;1108
68;Totaal wel of niet geregistreerd;Kop van Noord-Holland (CR);2022;310
69;Totaal wel of niet geregistreerd;Kop van Noord-Holland (CR);2023;315
70;Totaal wel of niet geregistreerd;Alkmaar en omgeving (CR);2022;205
71;Totaal wel of niet geregistreerd;Alkmaar en omgeving (CR);2023;208
72;Totaal wel of niet geregistreerd;IJmond (CR);2022;163
73;Totaal wel of niet geregistreerd;IJmond (CR);2023;164
74;Totaal wel of niet geregistreerd;Agglomeratie Haarlem (CR);2022;185
75;Totaal wel of niet geregistreerd;Agglomeratie Haarlem (CR);2023;188
76;Totaal wel of niet geregistreerd;Zaanstreek (CR);2022;140
77;Totaal wel of niet geregistreerd;Zaanstreek (CR);2023;142
78;Totaal wel of niet geregistreerd;Groot-Amsterdam (CR);2022;1175
79;Totaal wel of niet geregistreerd;Groot-Amsterdam (CR);2023;1200
80;Totaal wel of niet geregistreerd;Het Gooi en Vechtstreek (CR);2022;190
81;Totaal wel of niet geregistreerd;Het Gooi en Vechtstreek (CR);2023;194
82;Totaal wel of niet geregistreerd;Agglomeratie Leiden en Bollenstreek (CR);2022;354
83;Totaal wel of niet geregistreerd;Agglomeratie Leiden en Bollenstreek (CR);2023;360
84;Totaal wel of niet geregistreerd;Agglomeratie 's-Gravenhage (CR);2022;716
85;Totaal wel of niet geregistreerd;Agglomeratie 's-Gravenhage (CR);2023;729
86;Totaal wel of niet geregistreerd;Delft en Westland (CR);2022;194
87;Totaal wel of niet geregistreerd;Delft en Westland (CR);2023;198
88;Totaal wel of niet geregistreerd;Oost-Zuid-Holland (CR);2022;272
89;Totaal wel of niet geregistreerd;Oost-Zuid-Holland (CR);2023;277
90;Totaal wel of niet geregistreerd;Groot-Rijnmond (CR);2022;1187
91;Totaal wel of niet geregistreerd;Groot-Rijnmond (CR);2023;1203
92;Totaal wel of niet geregistreerd;Zuidoost-Zuid-Holland (CR);2022;298
93;Totaal wel of niet geregistreerd;Zuidoost-Zuid-Holland (CR);2023;303
94;Totaal wel of niet geregistreerd;Zeeuwsch-Vlaanderen (CR);2022;88
95;Totaal wel of niet geregistreerd;Zeeuwsch-Vlaanderen (CR);2023;89
96;Totaal wel of niet geregistreerd;Overig Zeeland (CR);2022;228
97;Totaal wel of niet geregistreerd;Overig Zeeland (CR);2023;231
98;Totaal wel of niet geregistreerd;West-Noord-Brabant (CR);2022;525
99;Totaal wel of niet geregistreerd;West-Noord-Brabant (CR);2023;531
100;Totaal wel of niet geregistreerd;Midden-Noord-Brabant (CR);2022;407
101;Totaal wel of niet geregistreerd;Midden-Noord-Brabant (CR);2023;413
102;Totaal wel of niet geregistreerd;Noordoost-Noord-Brabant (CR);2022;542
103;Totaal wel of niet geregistreerd;Noordoost-Noord-Brabant (CR);2023;550
104;Totaal wel of niet geregistreerd;Zuidoost-Noord-Brabant (CR);2022;649
105;Totaal wel of niet geregistreerd;Zuidoost-Noord-Brabant (CR);2023;660
106;Totaal wel of niet geregistreerd;Noord-Limburg (CR);2022;236
107;Totaal wel of niet geregistreerd;Noord-Limburg (CR);2023;241
108;Totaal wel of niet geregistreerd;Midden-Limburg (CR);2022;201
109;Totaal wel of niet geregistreerd;Midden-Limburg (CR);2023;203
110;Totaal wel of niet geregistreerd;Zuid-Limburg (CR);2022;506
111;Totaal wel of niet geregistreerd;Zuid-Limburg (CR);2023;509
112;Totaal wel of niet geregistreerd;Flevoland (CR);2022;338
113;Totaal wel of niet geregistreerd;Flevoland (CR);2023;347
114;Totaal wel of niet geregistreerd;Aa en Hunze;2022;21
115;Totaal wel of niet geregistreerd;Aa en Hunze;2023;21
116;Totaal wel of niet geregistreerd;Aalsmeer;2022;26
117;Totaal wel of niet geregistreerd;Aalsmeer;2023;26
118;Totaal wel of niet geregistreerd;Aalten;2022;22
119;Totaal wel of niet geregistreerd;Aalten;2023;22
120;Totaal wel of niet geregistreerd;Achtkarspelen;2022;22
121;Totaal wel of niet geregistreerd;Achtkarspelen;2023;22
122;Totaal wel of niet geregistreerd;Alblasserdam;2022;16
123;Totaal wel of niet geregistreerd;Alblasserdam;2023;16
124;Totaal wel of niet geregistreerd;Albrandswaard;2022;20
125;Totaal wel of niet geregistreerd;Albrandswaard;2023;21
126;Totaal wel of niet geregistreerd;Alkmaar;2022;90
127;Totaal wel of niet geregistreerd;Alkmaar;2023;91
128;Totaal wel of niet geregistreerd;Almelo;2022;59
129;Totaal wel of niet geregistreerd;Almelo;2023;60
130;Totaal wel of niet geregistreerd;Almere;2022;169
131;Totaal wel of niet geregistreerd;Almere;2023;174
132;Totaal wel of niet geregistreerd;Alphen aan den Rijn;2022;91
133;Totaal wel of niet geregistreerd;Alphen aan den Rijn;2023;92
134;Totaal wel of niet geregistreerd;Alphen-Chaam;2022;9
135;Totaal wel of niet geregistreerd;Alphen-Chaam;2023;9
136;Totaal wel of niet geregistreerd;Altena;2022;45
137;Totaal wel of niet geregistreerd;Altena;2023;46
138;Totaal wel of niet geregistreerd;Ameland;2022;3
139;Totaal wel of niet geregistreerd;Ameland;2023;3
140;Totaal wel of niet geregistreerd;Amersfoort;2022;125
141;Totaal wel of niet geregistreerd;Amersfoort;2023;127
142;Totaal wel of niet geregistreerd;Amstelveen;2022;73
143;Totaal wel of niet geregistreerd;Amstelveen;2023;75
144;Totaal wel of niet geregistreerd;Amsterdam;2022;752
145;Totaal wel of niet geregistreerd;Amsterdam;2023;768
146;Totaal wel of niet geregistreerd;Apeldoorn;2022;135
147;Totaal wel of niet geregistreerd;Apeldoorn;2023;136
148;Totaal wel of niet geregistreerd;Arnhem;2022;134
149;Totaal wel of niet geregistreerd;Arnhem;2023;136
150;Totaal wel of niet geregistreerd;Assen;2022;56
151;Totaal wel of niet geregistreerd;Assen;2023;56
152;Totaal wel of niet geregistreerd;Asten;2022;14
153;Totaal wel of niet geregistreerd;Asten;2023;14
154;Totaal wel of niet geregistreerd;Baarle-Nassau;2022;6
155;Totaal wel of niet geregistreerd;Baarle-Nassau;2023;6
156;Totaal wel of niet geregistreerd;Baarn;2022;20
157;Totaal wel of niet geregistreerd;Baarn;2023;20
158;Totaal wel of niet geregistreerd;Barendrecht;2022;38
159;Totaal wel of niet geregistreerd;Barendrecht;2023;38
160;Totaal wel of niet geregistreerd;Barneveld;2022;45
161;Totaal wel of niet geregistreerd;Barneveld;2023;46
162;Totaal wel of niet geregistreerd;Beek (L.);2022;13
163;Totaal wel of niet geregistreerd;Beek (L.);2023;14
164;Totaal wel of niet geregistreerd;Beekdaelen;2022;30
165;Totaal wel of niet geregistreerd;Beekdaelen;2023;30
166;Totaal wel of niet geregistreerd;Beesel;2022;11
167;Totaal wel of niet geregistreerd;Beesel;2023;11
168;Totaal wel of niet geregistreerd;Berg en Dal;2022;29
169;Totaal wel of niet geregistreerd;Berg en Dal;2023;30
170;Totaal wel of niet geregistreerd;Bergeijk;2022;16
171;Totaal wel of niet geregistreerd;Bergeijk;2023;16
172;Totaal wel of niet geregistreerd;Bergen (L.);2022;11
173;Totaal wel of niet geregistreerd;Bergen (L.);2023;11
174;Totaal wel of niet geregistreerd;Bergen (NH.);2022;25
175;Totaal wel of niet geregistreerd;Bergen (NH.);2023;26
176;Totaal wel of niet geregistreerd;Bergen op Zoom;2022;56
177;Totaal wel of niet geregistreerd;Bergen op Zoom;2023;56
178;Totaal wel of niet geregistreerd;Berkelland;2022;36
179;Totaal wel of niet geregistreerd;Berkelland;2023;37
180;Totaal wel of niet geregistreerd;Bernheze;2022;26
181;Totaal wel of niet geregistreerd;Bernheze;2023;26
182;Totaal wel of niet geregistreerd;Best;2022;25
183;Totaal wel of niet geregistreerd;Best;2023;25
184;Totaal wel of niet geregistreerd;Beuningen;2022;21
185;Totaal wel of niet geregistreerd;Beuningen;2023;22
186;Totaal wel of niet geregistreerd;Beverwijk;2022;34
187;Totaal wel of niet geregistreerd;Beverwijk;2023;35
188;Totaal wel of niet geregistreerd;De Bilt;2022;34
189;Totaal wel of niet geregistreerd;De Bilt;2023;35
190;Totaal wel of niet geregistreerd;Bladel;2022;17
191;Totaal wel of niet geregistreerd;Bladel;2023;17
192;Totaal wel of niet geregistreerd;Blaricum;2022;9
193;Totaal wel of niet geregistreerd;Blaricum;2023;10
194;Totaal wel of niet geregistreerd;Bloemendaal;2022;18
195;Totaal wel of niet geregistreerd;Bloemendaal;2023;19
196;Totaal wel of niet geregistreerd;Bodegraven-Reeuwijk;2022;28
197;Totaal wel of niet geregistreerd;Bodegraven-Reeuwijk;2023;29
198;Totaal wel of niet geregistreerd;Boekel;2022;9
199;Totaal wel of niet geregistreerd;Boekel;2023;9
200;Totaal wel of niet geregistreerd;Borger-Odoorn;2022;21
201;Totaal wel of niet geregistreerd;Borger-Odoorn;2023;22
202;Totaal wel of niet geregistreerd;Borne;2022;19
203;Totaal wel of niet geregistreerd;Borne;2023;19
204;Totaal wel of niet geregistreerd;Borsele;2022;18
205;Totaal wel of niet geregistreerd;Borsele;2023;19
206;Totaal wel of niet geregistreerd;Boxtel;2022;27
207;Totaal wel of niet geregistreerd;Boxtel;2023;28
208;Totaal wel of niet geregistreerd;Breda;2022;151
209;Totaal wel of niet geregistreerd;Breda;2023;152
210;Totaal wel of niet geregistreerd;Bronckhorst;2022;30
211;Totaal wel of niet geregistreerd;Bronckhorst;2023;30
212;Totaal wel of niet geregistreerd;Brummen;2022;17
213;Totaal wel of niet geregistreerd;Brummen;2023;18
214;Totaal wel of niet geregistreerd;Brunssum;2022;23
215;Totaal wel of niet geregistreerd;Brunssum;2023;23
216;Totaal wel of niet geregistreerd;Bunnik;2022;12
217;Totaal wel of niet geregistreerd;Bunnik;2023;13
218;Totaal wel of niet geregistreerd;Bunschoten;2022;17
219;Totaal wel of niet geregistreerd;Bunschoten;2023;17
220;Totaal wel of niet geregistreerd;Buren;2022;22
221;Totaal wel of niet geregistreerd;Buren;2023;23
222;Totaal wel of niet geregistreerd;Capelle aan den IJssel;2022;54
223;Totaal wel of niet geregistreerd;Capelle aan den IJssel;2023;55
224;Totaal wel of niet geregistreerd;Castricum;2022;30
225;Totaal wel of niet geregistreerd;Castricum;2023;30
226;Totaal wel of niet geregistreerd;Coevorden;2022;29
227;Totaal wel of niet geregistreerd;Coevorden;2023;30
228;Totaal wel of niet geregistreerd;Cranendonck;2022;17
229;Totaal wel of niet geregistreerd;Cranendonck;2023;17
230;Totaal wel of niet geregistreerd;Culemborg;2022;23
231;Totaal wel of niet geregistreerd;Culemborg;2023;24
232;Totaal wel of niet geregistreerd;Dalfsen;2022;23
233;Totaal wel of niet geregistreerd;Dalfsen;2023;24
234;Totaal wel of niet geregistreerd;Dantumadiel;2022;15
235;Totaal wel of niet geregistreerd;Dantumadiel;2023;15
236;Totaal wel of niet geregistreerd;Delft;2022;89
237;Totaal wel of niet geregistreerd;Delft;2023;91
238;Totaal wel of niet geregistreerd;Deurne;2022;27
239;Totaal wel of niet geregistreerd;Deurne;2023;27
240;Totaal wel of niet geregistreerd;Deventer;2022;82
241;Totaal wel of niet geregistreerd;Deventer;2023;83
242;Totaal wel of niet geregistreerd;Diemen;2022;26
243;Totaal wel of niet geregistreerd;Diemen;2023;27
244;Totaal wel of niet geregistreerd;Dijk en Waard;2022;69
245;Totaal wel of niet geregistreerd;Dijk en Waard;2023;71
246;Totaal wel of niet geregistreerd;Dinkelland;2022;22
247;Totaal wel of niet geregistreerd;Dinkelland;2023;22
248;Totaal wel of niet geregistreerd;Doesburg;2022;9
249;Totaal wel of niet geregistreerd;Doesburg;2023;9
250;Totaal wel of niet geregistreerd;Doetinchem;2022;48
251;Totaal wel of niet geregistreerd;Doetinchem;2023;48
252;Totaal wel of niet geregistreerd;Dongen;2022;22
253;Totaal wel of niet geregistreerd;Dongen;2023;22
254;Totaal wel of niet geregistreerd;Dordrecht;2022;97
255;Totaal wel of niet geregistreerd;Dordrecht;2023;99
256;Totaal wel of niet geregistreerd;Drechterland;2022;16
257;Totaal wel of niet geregistreerd;Drechterland;2023;16
258;Totaal wel of niet geregistreerd;Drimmelen;2022;23
259;Totaal wel of niet geregistreerd;Drimmelen;2023;23
260;Totaal wel of niet geregistreerd;Dronten;2022;34
261;Totaal wel of niet geregistreerd;Dronten;2023;35
262;Totaal wel of niet geregistreerd;Druten;2022;16
263;Totaal wel of niet geregistreerd;Druten;2023;16
264;Totaal wel of niet geregistreerd;Duiven;2022;20
265;Totaal wel of niet geregistreerd;Duiven;2023;21
266;Totaal wel of niet geregistreerd;Echt-Susteren;2022;27
267;Totaal wel of niet geregistreerd;Echt-Susteren;2023;27
268;Totaal wel of niet geregistreerd;Edam-Volendam;2022;30
269;Totaal wel of niet geregistreerd;Edam-Volendam;2023;30
270;Totaal wel of niet geregistreerd;Ede;2022;94
271;Totaal wel of niet geregistreerd;Ede;2023;96
272;Totaal wel of niet geregistreerd;Eemnes;2022;8
273;Totaal wel of niet geregistreerd;Eemnes;2023;8
274;Totaal wel of niet geregistreerd;Eemsdelta;2022;38
275;Totaal wel of niet geregistreerd;Eemsdelta;2023;38
276;Totaal wel of niet geregistreerd;Eersel;2022;16
277;Totaal wel of niet geregistreerd;Eersel;2023;16
278;Totaal wel of niet geregistreerd;Eijsden-Margraten;2022;21
279;Totaal wel of niet geregistreerd;Eijsden-Margraten;2023;21
280;Totaal wel of niet geregistreerd;Eindhoven;2022;199
281;Totaal wel of niet geregistreerd;Eindhoven;2023;203
282;Totaal wel of niet geregistreerd;Elburg;2022;19
283;Totaal wel of niet geregistreerd;Elburg;2023;19
284;Totaal wel of niet geregistreerd;Emmen;2022;89
285;Totaal wel of niet geregistreerd;Emmen;2023;90
286;Totaal wel of niet geregistreerd;Enkhuizen;2022;15
287;Totaal wel of niet geregistreerd;Enkhuizen;2023;15
288;Totaal wel of niet geregistreerd;Enschede;2022;133
289;Totaal wel of niet geregistreerd;Enschede;2023;133
290;Totaal wel of niet geregistreerd;Epe;2022;27
291;Totaal wel of niet geregistreerd;Epe;2023;27
292;Totaal wel of niet geregistreerd;Ermelo;2022;22
293;Totaal wel of niet geregistreerd;Ermelo;2023;22
294;Totaal wel of niet geregistreerd;Etten-Leur;2022;35
295;Totaal wel of niet geregistreerd;Etten-Leur;2023;36
296;Totaal wel of niet geregistreerd;De Fryske Marren;2022;42
297;Totaal wel of niet geregistreerd;De Fryske Marren;2023;42
298;Totaal wel of niet geregistreerd;Geertruidenberg;2022;18
299;Totaal wel of niet geregistreerd;Geertruidenberg;2023;18
300;Totaal wel of niet geregistreerd;Geldrop-Mierlo;2022;33
301;Totaal wel of niet geregistreerd;Geldrop-Mierlo;2023;33
302;Totaal wel of niet geregistreerd;Gemert-Bakel;2022;25
303;Totaal wel of niet geregistreerd;Gemert-Bakel;2023;25
304;Totaal wel of niet geregistreerd;Gennep;2022;14
305;Totaal wel of niet geregistreerd;Gennep;2023;15
306;Totaal wel of niet geregistreerd;Gilze en Rijen;2022;22
307;Totaal wel of niet geregistreerd;Gilze en Rijen;2023;22
308;Totaal wel of niet geregistreerd;Goeree-Overflakkee;2022;41
309;Totaal wel of niet geregistreerd;Goeree-Overflakkee;2023;42
310;Totaal wel of niet geregistreerd;Goes;2022;32
311;Totaal wel of niet geregistreerd;Goes;2023;32
312;Totaal wel of niet geregistreerd;Goirle;2022;19
313;Totaal wel of niet geregistreerd;Goirle;2023;19
314;Totaal wel of niet geregistreerd;Gooise Meren;2022;45
315;Totaal wel of niet geregistreerd;Gooise Meren;2023;47
316;Totaal wel of niet geregistreerd;Gorinchem;2022;30
317;Totaal wel of niet geregistreerd;Gorinchem;2023;31
318;Totaal wel of niet geregistreerd;Gouda;2022;60
319;Totaal wel of niet geregistreerd;Gouda;2023;61
320;Totaal wel of niet geregistreerd;'s-Gravenhage (gemeente);2022;444
321;Totaal wel of niet geregistreerd;'s-Gravenhage (gemeente);2023;453
322;Totaal wel of niet geregistreerd;Groningen (gemeente);2022;201
323;Totaal wel of niet geregistreerd;Groningen (gemeente);2023;204
324;Totaal wel of niet geregistreerd;Gulpen-Wittem;2022;12
325;Totaal wel of niet geregistreerd;Gulpen-Wittem;2023;12
326;Totaal wel of niet geregistreerd;Haaksbergen;2022;20
327;Totaal wel of niet geregistreerd;Haaksbergen;2023;20
328;Totaal wel of niet geregistreerd;Haarlem;2022;130
329;Totaal wel of niet geregistreerd;Haarlem;2023;133
330;Totaal wel of niet geregistreerd;Haarlemmermeer;2022;126
331;Totaal wel of niet geregistreerd;Haarlemmermeer;2023;129
332;Totaal wel of niet geregistreerd;Halderberge;2022;25
333;Totaal wel of niet geregistreerd;Halderberge;2023;26
334;Totaal wel of niet geregistreerd;Hardenberg;2022;49
335;Totaal wel of niet geregistreerd;Hardenberg;2023;50
336;Totaal wel of niet geregistreerd;Harderwijk;2022;39
337;Totaal wel of niet geregistreerd;Harderwijk;2023;39
338;Totaal wel of niet geregistreerd;Hardinxveld-Giessendam;2022;14
339;Totaal wel of niet geregistreerd;Hardinxveld-Giessendam;2023;14
340;Totaal wel of niet geregistreerd;Harlingen;2022;13
341;Totaal wel of niet geregistreerd;Harlingen;2023;13
342;Totaal wel of niet geregistreerd;Hattem;2022;10
343;Totaal wel of niet geregistreerd;Hattem;2023;10
344;Totaal wel of niet geregistreerd;Heemskerk;2022;32
345;Totaal wel of niet geregistreerd;Heemskerk;2023;32
346;Totaal wel of niet geregistreerd;Heemstede;2022;22
347;Totaal wel of niet geregistreerd;Heemstede;2023;22
348;Totaal wel of niet geregistreerd;Heerde;2022;15
349;Totaal wel of niet geregistreerd;Heerde;2023;16
350;Totaal wel of niet geregistreerd;Heerenveen;2022;41
351;Totaal wel of niet geregistreerd;Heerenveen;2023;42
352;Totaal wel of niet geregistreerd;Heerlen;2022;73
353;Totaal wel of niet geregistreerd;Heerlen;2023;74
354;Totaal wel of niet geregistreerd;Heeze-Leende;2022;14
355;Totaal wel of niet geregistreerd;Heeze-Leende;2023;14
356;Totaal wel of niet geregistreerd;Heiloo;2022;20
357;Totaal wel of niet geregistreerd;Heiloo;2023;20
358;Totaal wel of niet geregistreerd;Den Helder;2022;47
359;Totaal wel of niet geregistreerd;Den Helder;2023;47
360;Totaal wel of niet geregistreerd;Hellendoorn;2022;29
361;Totaal wel of niet geregistreerd;Hellendoorn;2023;29
362;Totaal wel of niet geregistreerd;Helmond;2022;75
363;Totaal wel of niet geregistreerd;Helmond;2023;77
364;Totaal wel of niet geregistreerd;Hendrik-Ido-Ambacht;2022;24
365;Totaal wel of niet geregistreerd;Hendrik-Ido-Ambacht;2023;24
366;Totaal wel of niet geregistreerd;Hengelo (O.);2022;67
367;Totaal wel of niet geregistreerd;Hengelo (O.);2023;68
368;Totaal wel of niet geregistreerd;'s-Hertogenbosch;2022;128
369;Totaal wel of niet geregistreerd;'s-Hertogenbosch;2023;130
370;Totaal wel of niet geregistreerd;Heumen;2022;14
371;Totaal wel of niet geregistreerd;Heumen;2023;14
372;Totaal wel of niet geregistreerd;Heusden;2022;37
373;Totaal wel of niet geregistreerd;Heusden;2023;37
374;Totaal wel of niet geregistreerd;Hillegom;2022;18
375;Totaal wel of niet geregistreerd;Hillegom;2023;18
376;Totaal wel of niet geregistreerd;Hilvarenbeek;2022;13
377;Totaal wel of niet geregistreerd;Hilvarenbeek;2023;13
378;Totaal wel of niet geregistreerd;Hilversum;2022;73
379;Totaal wel of niet geregistreerd;Hilversum;2023;74
380;Totaal wel of niet geregistreerd;Hoeksche Waard;2022;72
381;Totaal wel of niet geregistreerd;Hoeksche Waard;2023;73
382;Totaal wel of niet geregistreerd;Hof van Twente;2022;29
383;Totaal wel of niet geregistreerd;Hof van Twente;2023;29
384;Totaal wel of niet geregistreerd;Het Hogeland;2022;39
385;Totaal wel of niet geregistreerd;Het Hogeland;2023;39
386;Totaal wel of niet geregistreerd;Hollands Kroon;2022;40
387;Totaal wel of niet geregistreerd;Hollands Kroon;2023;40
388;Totaal wel of niet geregistreerd;Hoogeveen;2022;45
389;Totaal wel of niet geregistreerd;Hoogeveen;2023;46
390;Totaal wel of niet geregistreerd;Hoorn;2022;60
391;Totaal wel of niet geregistreerd;Hoorn;2023;61
392;Totaal wel of niet geregistreerd;Horst aan de Maas;2022;36
393;Totaal wel of niet geregistreerd;Horst aan de Maas;2023;36
394;Totaal wel of niet geregistreerd;Houten;2022;39
395;Totaal wel of niet geregistreerd;Houten;2023;39
396;Totaal wel of niet geregistreerd;Huizen;2022;33
397;Totaal wel of niet geregistreerd;Huizen;2023;34
398;Totaal wel of niet geregistreerd;Hulst;2022;23
399;Totaal wel of niet geregistreerd;Hulst;2023;23
400;Totaal wel of niet geregistreerd;IJsselstein;2022;27
401;Totaal wel of niet geregistreerd;IJsselstein;2023;27
402;Totaal wel of niet geregistreerd;Kaag en Braassem;2022;23
403;Totaal wel of niet geregistreerd;Kaag en Braassem;2023;23
404;Totaal wel of niet geregistreerd;Kampen;2022;42
405;Totaal wel of niet geregistreerd;Kampen;2023;43
406;Totaal wel of niet geregistreerd;Kapelle;2022;10
407;Totaal wel of niet geregistreerd;Kapelle;2023;10
408;Totaal wel of niet geregistreerd;Katwijk;2022;52
409;Totaal wel of niet geregistreerd;Katwijk;2023;52
410;Totaal wel of niet geregistreerd;Kerkrade;2022;39
411;Totaal wel of niet geregistreerd;Kerkrade;2023;39
412;Totaal wel of niet geregistreerd;Koggenland;2022;19
413;Totaal wel of niet geregistreerd;Koggenland;2023;19
414;Totaal wel of niet geregistreerd;Krimpen aan den IJssel;2022;23
415;Totaal wel of niet geregistreerd;Krimpen aan den IJssel;2023;23
416;Totaal wel of niet geregistreerd;Krimpenerwaard;2022;46
417;Totaal wel of niet geregistreerd;Krimpenerwaard;2023;46
418;Totaal wel of niet geregistreerd;Laarbeek;2022;19
419;Totaal wel of niet geregistreerd;Laarbeek;2023;19
420;Totaal wel of niet geregistreerd;Land van Cuijk;2022;75
421;Totaal wel of niet geregistreerd;Land van Cuijk;2023;76
422;Totaal wel of niet geregistreerd;Landgraaf;2022;31
423;Totaal wel of niet geregistreerd;Landgraaf;2023;31
424;Totaal wel of niet geregistreerd;Landsmeer;2022;9
425;Totaal wel of niet geregistreerd;Landsmeer;2023;9
426;Totaal wel of niet geregistreerd;Lansingerland;2022;48
427;Totaal wel of niet geregistreerd;Lansingerland;2023;49
428;Totaal wel of niet geregistreerd;Laren (NH.);2022;9
429;Totaal wel of niet geregistreerd;Laren (NH.);2023;9
430;Totaal wel of niet geregistreerd;Leeuwarden;2022;103
431;Totaal wel of niet geregistreerd;Leeuwarden;2023;105
432;Totaal wel of niet geregistreerd;Leiden;2022;106
433;Totaal wel of niet geregistreerd;Leiden;2023;108
434;Totaal wel of niet geregistreerd;Leiderdorp;2022;22
435;Totaal wel of niet geregistreerd;Leiderdorp;2023;22
436;Totaal wel of niet geregistreerd;Leidschendam-Voorburg;2022;62
437;Totaal wel of niet geregistreerd;Leidschendam-Voorburg;2023;63
438;Totaal wel of niet geregistreerd;Lelystad;2022;64
