ID;MethodeVanSlibontwatering;Perioden;TotaalZuiveringsinstallaties_1;MechanischeZuiveringsinstallaties_2;FysischChemischeZuiveringsinstallaties_3;TotaalBiologischeInstallaties_4;BiologischAerobeInstallaties_5;BiologischAnaerobeInstallaties_6;CombinatieAnaeroobAerobeInst_7;CorresponderendAantalInstallaties_8;TotaalCapaciteitAlleProcessen_9;BiologischAerobeInstallaties_10;BiologischAnaerobeInstallaties_11;CombinatieAnaeroobAeroobInst_12;NietBiologischeInstallaties_13
171;Overige kunstmatige ontwatering;1996;25;3;14;8;7;0;1;12;976;739;0;150;87
172;Overige kunstmatige ontwatering;1997;29;2;19;8;7;0;1;13;1126;739;0;150;237
173;Overige kunstmatige ontwatering;1998;25;2;16;7;7;0;0;12;841;604;0;0;237
174;Overige kunstmatige ontwatering;1999;27;3;16;8;8;0;0;11;912;684;0;0;228
175;Overige kunstmatige ontwatering;2000;26;3;15;8;8;0;0;11;912;684;0;0;228
176;Overige kunstmatige ontwatering;2001;28;2;17;9;8;0;1;11;1105;684;0;250;171
177;Overige kunstmatige ontwatering;2002;25;2;14;9;8;0;1;11;1113;692;0;250;171
178;Overige kunstmatige ontwatering;2003;27;2;15;10;9;0;1;12;1150;729;0;250;171
179;Overige kunstmatige ontwatering;2004;25;2;14;9;8;0;1;11;1000;729;0;250;21
180;Overige kunstmatige ontwatering;2005;22;2;11;9;8;0;1;11;1200;729;0;450;21
181;Overige kunstmatige ontwatering;2006;22;2;10;10;9;0;1;11;1200;729;0;450;21
182;Overige kunstmatige ontwatering;2007;23;2;11;10;9;0;1;11;1200;729;0;450;21
183;Overige kunstmatige ontwatering;2008;22;1;11;10;8;0;2;11;1255;684;0;550;21
184;Overige kunstmatige ontwatering;2009;22;1;11;10;8;0;2;11;1305;684;0;600;21
185;Overige kunstmatige ontwatering;2010;24;1;12;11;9;0;2;12;1314;693;0;600;21
186;Overige kunstmatige ontwatering;2011;24;1;12;11;9;0;2;12;1314;693;0;600;21
187;Overige kunstmatige ontwatering;2012;24;1;11;12;8;0;4;14;1566;619;0;910;37
188;Overige kunstmatige ontwatering;2013;22;1;9;12;8;0;4;14;1566;619;0;910;37
189;Overige kunstmatige ontwatering;2014;22;1;9;12;8;0;4;14;1566;619;0;910;37
190;Overige kunstmatige ontwatering;2015;22;1;9;12;8;0;4;14;1566;619;0;910;37
191;Overige kunstmatige ontwatering;2016;21;1;8;12;8;0;4;14;1566;619;0;910;37
