ID;Geslacht;KenmerkenVanPersonen;TypeMaatwerkarrangement;RegioS;Perioden;WmoClienten_1;WmoClientenPer1000Inwoners_2
21;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;1e halfjaar 2016;640.0;25.0
22;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2e halfjaar 2016;840.0;33.0
23;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2016;890.0;35.0
24;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;1e halfjaar 2017;1075.0;43.0
25;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2e halfjaar 2017;1150.0;45.0
26;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2017;1250.0;49.0
27;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;1e halfjaar 2018;1210.0;48.0
28;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2e halfjaar 2018;1220.0;48.0
29;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2018;1375.0;54.0
30;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;1e halfjaar 2019;1430.0;56.0
31;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2e halfjaar 2019;1475.0;58.0
32;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2019;1605.0;63.0
33;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;1e halfjaar 2020;1715.0;67.0
34;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2e halfjaar 2020;1725.0;68.0
35;Totaal mannen en vrouwen;Totaal personen;Totaal;Aa en Hunze;2020;1865.0;73.0
36;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalburg;1e halfjaar 2015;;
37;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalburg;2e halfjaar 2015;;
38;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalburg;2015;;
39;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalburg;1e halfjaar 2016;640.0;49.0
40;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalburg;2e halfjaar 2016;650.0;50.0
41;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalburg;2016;700.0;54.0
42;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalburg;1e halfjaar 2017;660.0;51.0
43;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalburg;2e halfjaar 2017;675.0;52.0
44;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalburg;2017;725.0;56.0
45;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalburg;1e halfjaar 2018;695.0;53.0
46;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalburg;2e halfjaar 2018;705.0;54.0
47;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalburg;2018;755.0;57.0
48;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalburg;1e halfjaar 2019;;
49;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalburg;2e halfjaar 2019;;
50;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalburg;2019;;
51;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalburg;1e halfjaar 2020;;
52;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalburg;2e halfjaar 2020;;
53;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalburg;2020;;
54;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;1e halfjaar 2015;;
55;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2e halfjaar 2015;;
56;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2015;;
57;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;1e halfjaar 2016;;
58;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2e halfjaar 2016;1760.0;56.0
59;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2016;;
60;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;1e halfjaar 2017;1830.0;58.0
61;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2e halfjaar 2017;1815.0;58.0
62;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2017;1960.0;62.0
63;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;1e halfjaar 2018;;
64;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2e halfjaar 2018;;
65;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2018;;
66;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;1e halfjaar 2019;;
67;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2e halfjaar 2019;;
68;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2019;;
69;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;1e halfjaar 2020;;
70;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2e halfjaar 2020;;
71;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalsmeer;2020;;
72;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;1e halfjaar 2015;1115.0;40.0
73;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2e halfjaar 2015;1165.0;45.0
74;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2015;1245.0;45.0
75;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;1e halfjaar 2016;1150.0;43.0
76;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2e halfjaar 2016;;
77;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2016;;
78;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;1e halfjaar 2017;1465.0;54.0
79;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2e halfjaar 2017;1460.0;54.0
80;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2017;1585.0;59.0
81;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;1e halfjaar 2018;1445.0;54.0
82;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2e halfjaar 2018;1440.0;53.0
83;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2018;1565.0;58.0
84;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;1e halfjaar 2019;1530.0;57.0
85;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2e halfjaar 2019;1635.0;61.0
86;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2019;1745.0;65.0
87;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;1e halfjaar 2020;2010.0;74.0
88;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2e halfjaar 2020;2010.0;74.0
89;Totaal mannen en vrouwen;Totaal personen;Totaal;Aalten;2020;2140.0;79.0
90;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;1e halfjaar 2015;1420.0;50.0
91;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2e halfjaar 2015;1405.0;50.0
92;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2015;1515.0;55.0
93;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;1e halfjaar 2016;1490.0;53.0
94;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2e halfjaar 2016;1355.0;48.0
95;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2016;1615.0;58.0
96;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;1e halfjaar 2017;1505.0;54.0
97;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2e halfjaar 2017;1555.0;56.0
98;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2017;1680.0;60.0
99;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;1e halfjaar 2018;1630.0;58.0
100;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2e halfjaar 2018;1635.0;59.0
101;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2018;1790.0;64.0
102;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;1e halfjaar 2019;1725.0;62.0
103;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2e halfjaar 2019;1790.0;64.0
104;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2019;1930.0;69.0
105;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;1e halfjaar 2020;1775.0;64.0
106;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2e halfjaar 2020;1770.0;64.0
107;Totaal mannen en vrouwen;Totaal personen;Totaal;Achtkarspelen;2020;1935.0;70.0
108;Totaal mannen en vrouwen;Totaal personen;Totaal;Alblasserdam;1e halfjaar 2015;615.0;30.0
109;Totaal mannen en vrouwen;Totaal personen;Totaal;Alblasserdam;2e halfjaar 2015;590.0;30.0
110;Totaal mannen en vrouwen;Totaal personen;Totaal;Alblasserdam;2015;655.0;35.0
111;Totaal mannen en vrouwen;Totaal personen;Totaal;Alblasserdam;1e halfjaar 2016;;
112;Totaal mannen en vrouwen;Totaal personen;Totaal;Alblasserdam;2e halfjaar 2016;;
113;Totaal mannen en vrouwen;Totaal personen;Totaal;Alblasserdam;2016;;
114;Totaal mannen en vrouwen;Totaal personen;Totaal;Alblasserdam;1e halfjaar 2017;;
115;Totaal mannen en vrouwen;Totaal personen;Totaal;Alblasserdam;2e halfjaar 2017;1120.0;56.0
116;Totaal mannen en vrouwen;Totaal personen;Totaal;Alblasserdam;2017;;
117;Totaal mannen en vrouwen;Totaal personen;Totaal;Alblasserdam;1e halfjaar 2018;1130.0;56.0
118;Totaal mannen en vrouwen;Totaal personen;Totaal;Alblasserdam;2e halfjaar 2018;1150.0;57.0
119;Totaal mannen en vrouwen;Totaal personen;Totaal;Alblasserdam;2018;1215.0;61.0
120;Totaal mannen en vrouwen;Totaal personen;Totaal;Alblasserdam;1e halfjaar 2019;1195.0;60.0
121;Totaal mannen en vrouwen;Totaal personen;Totaal;Alblasserdam;2e halfjaar 2019;1195.0;60.0
122;Totaal mannen en vrouwen;Totaal personen;Totaal;Alblasserdam;2019;1290.0;64.0
123;Totaal mannen en vrouwen;Totaal personen;Totaal;Alblasserdam;1e halfjaar 2020;1225.0;61.0
124;Totaal mannen en vrouwen;Totaal personen;Totaal;Alblasserdam;2e halfjaar 2020;1260.0;62.0
125;Totaal mannen en vrouwen;Totaal personen;Totaal;Alblasserdam;2020;1340.0;66.0
126;Totaal mannen en vrouwen;Totaal personen;Totaal;Albrandswaard;1e halfjaar 2015;1035.0;40.0
127;Totaal mannen en vrouwen;Totaal personen;Totaal;Albrandswaard;2e halfjaar 2015;980.0;40.0
128;Totaal mannen en vrouwen;Totaal personen;Totaal;Albrandswaard;2015;1090.0;45.0
129;Totaal mannen en vrouwen;Totaal personen;Totaal;Albrandswaard;1e halfjaar 2016;1160.0;46.0
130;Totaal mannen en vrouwen;Totaal personen;Totaal;Albrandswaard;2e halfjaar 2016;1165.0;47.0
131;Totaal mannen en vrouwen;Totaal personen;Totaal;Albrandswaard;2016;1235.0;49.0
132;Totaal mannen en vrouwen;Totaal personen;Totaal;Albrandswaard;1e halfjaar 2017;1180.0;47.0
133;Totaal mannen en vrouwen;Totaal personen;Totaal;Albrandswaard;2e halfjaar 2017;1175.0;47.0
134;Totaal mannen en vrouwen;Totaal personen;Totaal;Albrandswaard;2017;1255.0;50.0
135;Totaal mannen en vrouwen;Totaal personen;Totaal;Albrandswaard;1e halfjaar 2018;1180.0;47.0
136;Totaal mannen en vrouwen;Totaal personen;Totaal;Albrandswaard;2e halfjaar 2018;1180.0;47.0
137;Totaal mannen en vrouwen;Totaal personen;Totaal;Albrandswaard;2018;1265.0;50.0
138;Totaal mannen en vrouwen;Totaal personen;Totaal;Albrandswaard;1e halfjaar 2019;1265.0;50.0
139;Totaal mannen en vrouwen;Totaal personen;Totaal;Albrandswaard;2e halfjaar 2019;1300.0;51.0
140;Totaal mannen en vrouwen;Totaal personen;Totaal;Albrandswaard;2019;1375.0;54.0
141;Totaal mannen en vrouwen;Totaal personen;Totaal;Albrandswaard;1e halfjaar 2020;1330.0;52.0
142;Totaal mannen en vrouwen;Totaal personen;Totaal;Albrandswaard;2e halfjaar 2020;1335.0;52.0
143;Totaal mannen en vrouwen;Totaal personen;Totaal;Albrandswaard;2020;1440.0;56.0
144;Totaal mannen en vrouwen;Totaal personen;Totaal;Alkmaar;1e halfjaar 2015;;
145;Totaal mannen en vrouwen;Totaal personen;Totaal;Alkmaar;2e halfjaar 2015;;
146;Totaal mannen en vrouwen;Totaal personen;Totaal;Alkmaar;2015;;
147;Totaal mannen en vrouwen;Totaal personen;Totaal;Alkmaar;1e halfjaar 2016;;
148;Totaal mannen en vrouwen;Totaal personen;Totaal;Alkmaar;2e halfjaar 2016;5910.0;55.0
149;Totaal mannen en vrouwen;Totaal personen;Totaal;Alkmaar;2016;;
150;Totaal mannen en vrouwen;Totaal personen;Totaal;Alkmaar;1e halfjaar 2017;5955.0;55.0
151;Totaal mannen en vrouwen;Totaal personen;Totaal;Alkmaar;2e halfjaar 2017;6145.0;57.0
152;Totaal mannen en vrouwen;Totaal personen;Totaal;Alkmaar;2017;6540.0;60.0
153;Totaal mannen en vrouwen;Totaal personen;Totaal;Alkmaar;1e halfjaar 2018;6265.0;58.0
154;Totaal mannen en vrouwen;Totaal personen;Totaal;Alkmaar;2e halfjaar 2018;6480.0;60.0
155;Totaal mannen en vrouwen;Totaal personen;Totaal;Alkmaar;2018;6900.0;64.0
156;Totaal mannen en vrouwen;Totaal personen;Totaal;Alkmaar;1e halfjaar 2019;6615.0;61.0
157;Totaal mannen en vrouwen;Totaal personen;Totaal;Alkmaar;2e halfjaar 2019;6940.0;64.0
158;Totaal mannen en vrouwen;Totaal personen;Totaal;Alkmaar;2019;7340.0;68.0
159;Totaal mannen en vrouwen;Totaal personen;Totaal;Alkmaar;1e halfjaar 2020;7020.0;64.0
160;Totaal mannen en vrouwen;Totaal personen;Totaal;Alkmaar;2e halfjaar 2020;7040.0;64.0
161;Totaal mannen en vrouwen;Totaal personen;Totaal;Alkmaar;2020;7545.0;69.0
162;Totaal mannen en vrouwen;Totaal personen;Totaal;Almelo;1e halfjaar 2015;4640.0;65.0
163;Totaal mannen en vrouwen;Totaal personen;Totaal;Almelo;2e halfjaar 2015;4705.0;65.0
164;Totaal mannen en vrouwen;Totaal personen;Totaal;Almelo;2015;5050.0;70.0
165;Totaal mannen en vrouwen;Totaal personen;Totaal;Almelo;1e halfjaar 2016;4755.0;66.0
166;Totaal mannen en vrouwen;Totaal personen;Totaal;Almelo;2e halfjaar 2016;4520.0;62.0
167;Totaal mannen en vrouwen;Totaal personen;Totaal;Almelo;2016;5080.0;70.0
168;Totaal mannen en vrouwen;Totaal personen;Totaal;Almelo;1e halfjaar 2017;4310.0;59.0
169;Totaal mannen en vrouwen;Totaal personen;Totaal;Almelo;2e halfjaar 2017;4150.0;57.0
170;Totaal mannen en vrouwen;Totaal personen;Totaal;Almelo;2017;4650.0;64.0
171;Totaal mannen en vrouwen;Totaal personen;Totaal;Almelo;1e halfjaar 2018;4260.0;59.0
172;Totaal mannen en vrouwen;Totaal personen;Totaal;Almelo;2e halfjaar 2018;4330.0;60.0
173;Totaal mannen en vrouwen;Totaal personen;Totaal;Almelo;2018;4690.0;65.0
174;Totaal mannen en vrouwen;Totaal personen;Totaal;Almelo;1e halfjaar 2019;4490.0;62.0
175;Totaal mannen en vrouwen;Totaal personen;Totaal;Almelo;2e halfjaar 2019;4530.0;62.0
176;Totaal mannen en vrouwen;Totaal personen;Totaal;Almelo;2019;4965.0;68.0
177;Totaal mannen en vrouwen;Totaal personen;Totaal;Almelo;1e halfjaar 2020;5110.0;70.0
178;Totaal mannen en vrouwen;Totaal personen;Totaal;Almelo;2e halfjaar 2020;5250.0;72.0
179;Totaal mannen en vrouwen;Totaal personen;Totaal;Almelo;2020;5660.0;77.0
180;Totaal mannen en vrouwen;Totaal personen;Totaal;Almere;1e halfjaar 2015;8375.0;45.0
181;Totaal mannen en vrouwen;Totaal personen;Totaal;Almere;2e halfjaar 2015;8505.0;45.0
182;Totaal mannen en vrouwen;Totaal personen;Totaal;Almere;2015;9070.0;45.0
183;Totaal mannen en vrouwen;Totaal personen;Totaal;Almere;1e halfjaar 2016;9400.0;47.0
184;Totaal mannen en vrouwen;Totaal personen;Totaal;Almere;2e halfjaar 2016;9555.0;48.0
185;Totaal mannen en vrouwen;Totaal personen;Totaal;Almere;2016;10105.0;51.0
186;Totaal mannen en vrouwen;Totaal personen;Totaal;Almere;1e halfjaar 2017;9590.0;48.0
187;Totaal mannen en vrouwen;Totaal personen;Totaal;Almere;2e halfjaar 2017;9725.0;48.0
188;Totaal mannen en vrouwen;Totaal personen;Totaal;Almere;2017;10325.0;51.0
189;Totaal mannen en vrouwen;Totaal personen;Totaal;Almere;1e halfjaar 2018;9980.0;49.0
190;Totaal mannen en vrouwen;Totaal personen;Totaal;Almere;2e halfjaar 2018;9930.0;49.0
191;Totaal mannen en vrouwen;Totaal personen;Totaal;Almere;2018;10820.0;53.0
192;Totaal mannen en vrouwen;Totaal personen;Totaal;Almere;1e halfjaar 2019;10470.0;50.0
193;Totaal mannen en vrouwen;Totaal personen;Totaal;Almere;2e halfjaar 2019;10895.0;52.0
194;Totaal mannen en vrouwen;Totaal personen;Totaal;Almere;2019;11440.0;55.0
195;Totaal mannen en vrouwen;Totaal personen;Totaal;Almere;1e halfjaar 2020;11100.0;52.0
196;Totaal mannen en vrouwen;Totaal personen;Totaal;Almere;2e halfjaar 2020;11340.0;54.0
197;Totaal mannen en vrouwen;Totaal personen;Totaal;Almere;2020;11980.0;57.0
198;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen aan den Rijn;1e halfjaar 2015;;
199;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen aan den Rijn;2e halfjaar 2015;;
200;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen aan den Rijn;2015;;
201;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen aan den Rijn;1e halfjaar 2016;;
202;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen aan den Rijn;2e halfjaar 2016;;
203;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen aan den Rijn;2016;;
204;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen aan den Rijn;1e halfjaar 2017;3445.0;32.0
205;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen aan den Rijn;2e halfjaar 2017;3435.0;32.0
206;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen aan den Rijn;2017;3705.0;34.0
207;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen aan den Rijn;1e halfjaar 2018;3420.0;31.0
208;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen aan den Rijn;2e halfjaar 2018;3455.0;32.0
209;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen aan den Rijn;2018;3720.0;34.0
210;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen aan den Rijn;1e halfjaar 2019;3540.0;32.0
211;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen aan den Rijn;2e halfjaar 2019;3690.0;33.0
212;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen aan den Rijn;2019;3965.0;36.0
213;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen aan den Rijn;1e halfjaar 2020;3695.0;33.0
214;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen aan den Rijn;2e halfjaar 2020;3780.0;34.0
215;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen aan den Rijn;2020;4085.0;37.0
216;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen-Chaam;1e halfjaar 2015;;
217;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen-Chaam;2e halfjaar 2015;;
218;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen-Chaam;2015;;
219;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen-Chaam;1e halfjaar 2016;;
220;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen-Chaam;2e halfjaar 2016;260.0;26.0
221;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen-Chaam;2016;;
222;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen-Chaam;1e halfjaar 2017;275.0;27.0
223;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen-Chaam;2e halfjaar 2017;295.0;29.0
224;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen-Chaam;2017;330.0;33.0
225;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen-Chaam;1e halfjaar 2018;320.0;32.0
226;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen-Chaam;2e halfjaar 2018;340.0;34.0
227;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen-Chaam;2018;360.0;36.0
228;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen-Chaam;1e halfjaar 2019;410.0;40.0
229;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen-Chaam;2e halfjaar 2019;440.0;43.0
230;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen-Chaam;2019;475.0;47.0
231;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen-Chaam;1e halfjaar 2020;475.0;47.0
232;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen-Chaam;2e halfjaar 2020;495.0;49.0
233;Totaal mannen en vrouwen;Totaal personen;Totaal;Alphen-Chaam;2020;540.0;53.0
234;Totaal mannen en vrouwen;Totaal personen;Totaal;Altena;1e halfjaar 2015;;
235;Totaal mannen en vrouwen;Totaal personen;Totaal;Altena;2e halfjaar 2015;;
236;Totaal mannen en vrouwen;Totaal personen;Totaal;Altena;2015;;
237;Totaal mannen en vrouwen;Totaal personen;Totaal;Altena;1e halfjaar 2016;;
238;Totaal mannen en vrouwen;Totaal personen;Totaal;Altena;2e halfjaar 2016;;
239;Totaal mannen en vrouwen;Totaal personen;Totaal;Altena;2016;;
240;Totaal mannen en vrouwen;Totaal personen;Totaal;Altena;1e halfjaar 2017;;
241;Totaal mannen en vrouwen;Totaal personen;Totaal;Altena;2e halfjaar 2017;;
242;Totaal mannen en vrouwen;Totaal personen;Totaal;Altena;2017;;
243;Totaal mannen en vrouwen;Totaal personen;Totaal;Altena;1e halfjaar 2018;;
244;Totaal mannen en vrouwen;Totaal personen;Totaal;Altena;2e halfjaar 2018;;
245;Totaal mannen en vrouwen;Totaal personen;Totaal;Altena;2018;;
246;Totaal mannen en vrouwen;Totaal personen;Totaal;Altena;1e halfjaar 2019;2660.0;48.0
247;Totaal mannen en vrouwen;Totaal personen;Totaal;Altena;2e halfjaar 2019;2845.0;51.0
248;Totaal mannen en vrouwen;Totaal personen;Totaal;Altena;2019;2995.0;54.0
249;Totaal mannen en vrouwen;Totaal personen;Totaal;Altena;1e halfjaar 2020;2995.0;54.0
250;Totaal mannen en vrouwen;Totaal personen;Totaal;Altena;2e halfjaar 2020;3085.0;55.0
251;Totaal mannen en vrouwen;Totaal personen;Totaal;Altena;2020;3290.0;59.0
252;Totaal mannen en vrouwen;Totaal personen;Totaal;Ameland;1e halfjaar 2015;140.0;40.0
253;Totaal mannen en vrouwen;Totaal personen;Totaal;Ameland;2e halfjaar 2015;150.0;40.0
254;Totaal mannen en vrouwen;Totaal personen;Totaal;Ameland;2015;150.0;40.0
255;Totaal mannen en vrouwen;Totaal personen;Totaal;Ameland;1e halfjaar 2016;155.0;43.0
256;Totaal mannen en vrouwen;Totaal personen;Totaal;Ameland;2e halfjaar 2016;170.0;47.0
257;Totaal mannen en vrouwen;Totaal personen;Totaal;Ameland;2016;175.0;49.0
258;Totaal mannen en vrouwen;Totaal personen;Totaal;Ameland;1e halfjaar 2017;190.0;52.0
259;Totaal mannen en vrouwen;Totaal personen;Totaal;Ameland;2e halfjaar 2017;195.0;54.0
260;Totaal mannen en vrouwen;Totaal personen;Totaal;Ameland;2017;205.0;56.0
261;Totaal mannen en vrouwen;Totaal personen;Totaal;Ameland;1e halfjaar 2018;195.0;53.0
262;Totaal mannen en vrouwen;Totaal personen;Totaal;Ameland;2e halfjaar 2018;190.0;52.0
263;Totaal mannen en vrouwen;Totaal personen;Totaal;Ameland;2018;215.0;59.0
264;Totaal mannen en vrouwen;Totaal personen;Totaal;Ameland;1e halfjaar 2019;180.0;49.0
265;Totaal mannen en vrouwen;Totaal personen;Totaal;Ameland;2e halfjaar 2019;195.0;53.0
266;Totaal mannen en vrouwen;Totaal personen;Totaal;Ameland;2019;200.0;55.0
267;Totaal mannen en vrouwen;Totaal personen;Totaal;Ameland;1e halfjaar 2020;215.0;58.0
268;Totaal mannen en vrouwen;Totaal personen;Totaal;Ameland;2e halfjaar 2020;220.0;59.0
269;Totaal mannen en vrouwen;Totaal personen;Totaal;Ameland;2020;235.0;63.0
270;Totaal mannen en vrouwen;Totaal personen;Totaal;Amersfoort;1e halfjaar 2015;;
271;Totaal mannen en vrouwen;Totaal personen;Totaal;Amersfoort;2e halfjaar 2015;;
272;Totaal mannen en vrouwen;Totaal personen;Totaal;Amersfoort;2015;;
