ID;Periods;VolumeIndex_1;VolumeChanges_2
67;2009 August;70.5;-18.3
68;2009 September;122.5;-14.4
69;2009 October;113.9;-17.1
70;2009 November;107.9;-12.6
71;2009 December;81.6;-11.9
72;2010 January;92.3;-15.9
73;2010 February;90.8;-17.9
74;2010 March;110.6;-11.3
75;2010 April;110.0;-8.2
76;2010 May;99.9;-11.7
77;2010 June;109.9;-3.0
78;2010 July;93.0;-10.4
79;2010 August;67.1;-4.8
80;2010 September;111.6;-8.9
81;2010 October;106.7;-6.3
82;2010 November;105.3;-2.4
83;2010 December;75.2;-7.8
84;2011 January;102.5;11.0
85;2011 February;103.4;13.8
86;2011 March;118.4;7.0
87;2011 April;110.9;0.8
88;2011 May;112.9;13.0
89;2011 June;103.2;-6.1
90;2011 July;93.0;0.0
91;2011 August;72.1;7.3
92;2011 September;116.6;4.5
93;2011 October;109.2;2.3
94;2011 November;110.7;5.1
95;2011 December;83.6;11.1
96;2012 January;96.1;-6.2
97;2012 February;93.0;-10.0
98;2012 March;105.4;-11.0
99;2012 April;99.2;-10.5
100;2012 May;100.3;-11.2
101;2012 June;106.7;3.4
102;2012 July;85.5;-8.1
103;2012 August;68.0;-5.7
104;2012 September;102.7;-11.9
105;2012 October;99.4;-9.0
106;2012 November;99.8;-9.9
107;2012 December;74.1;-11.3
108;2013 January;84.8;-11.7
109;2013 February;79.1;-14.9
110;2013 March;92.9;-11.8
111;2013 April;90.3;-9.0
112;2013 May;90.2;-10.1
113;2013 June;93.1;-12.7
114;2013 July;81.3;-4.9
115;2013 August;64.4;-5.3
116;2013 September;98.4;-4.2
117;2013 October;100.6;1.2
118;2013 November;99.3;-0.5
119;2013 December;84.3;13.7
120;2014 January;86.3;1.8
121;2014 February;85.1;7.5
122;2014 March;91.7;-1.3
123;2014 April;94.4;4.5
124;2014 May;86.7;-3.9
125;2014 June;89.1;-4.3
126;2014 July;83.6;2.9
127;2014 August;60.1;-6.6
128;2014 September;97.9;-0.5
129;2014 October;108.8;8.2
130;2014 November;100.4;1.2
131;2014 December;83.3;-1.2
132;2015 January;93.9;8.7
133;2015 February;90.4;6.2
134;2015 March;106.6;16.3
135;2015 April;103.6;9.8
136;2015 May;96.6;11.5
137;2015 June;110.0;23.4
138;2015 July;92.7;10.9
139;2015 August;69.2;15.0
140;2015 September;109.6;11.9
141;2015 October;112.8;3.6
142;2015 November;114.5;14.0
143;2015 December;100.2;20.4
144;2016 January;101.2;7.9
145;2016 February;109.9;21.6
146;2016 March;110.6;3.7
147;2016 April;116.4;12.3
148;2016 May;104.4;8.1
149;2016 June;123.9;12.7
150;2016 July;101.7;9.7
151;2016 August;78.0;12.7
152;2016 September;121.9;11.2
153;2016 October;117.2;3.9
154;2016 November;118.8;3.8
155;2016 December;97.1;-3.1
156;2017 January;105.2;3.9
157;2017 February;109.4;-0.5
158;2017 March;119.5;8.1
159;2017 April;111.8;-3.9
160;2017 May;118.2;13.2
161;2017 June;118.6;-4.3
162;2017 July;108.5;6.7
163;2017 August;80.5;3.2
164;2017 September;134.2;10.1
165;2017 October;124.5;6.3
166;2017 November;127.0;6.9
167;2017 December;101.7;4.7
168;2018 January;120.1;14.1
169;2018 February;112.2;2.5
170;2018 March;126.9;6.2
171;2018 April;124.1;11.0
172;2018 May;122.0;3.2
173;2018 June;127.5;7.5
174;2018 July;113.5;4.6
175;2018 August;85.3;6.0
176;2018 September;125.1;-6.8
177;2018 October;134.0;7.6
178;2018 November;133.9;5.5
179;2018 December;96.6;-5.0
180;2019 January;127.9;6.5
181;2019 February;120.3;7.2
182;2019 March;127.7;0.6
183;2019 April;134.2;8.1
184;2019 May;134.9;10.6
185;2019 June;127.5;0.0
186;2019 July;119.2;5.0
187;2019 August;100.3;17.6
188;2019 September;135.1;8.0
189;2019 October;140.8;5.0
190;2019 November;139.3;4.0
191;2019 December;104.9;8.7
192;2020 January;131.4;2.7
193;2020 February;125.5;4.3
194;2020 March;131.9;3.3
195;2020 April;122.5;-8.8
196;2020 May;112.5;-16.6
197;2020 June;124.6;-2.3
198;2020 July;117.8;-1.1
199;2020 August;82.3;-18.0
200;2020 September;132.9;-1.6
201;2020 October;134.4;-4.5
202;2020 November;136.2;-2.2
203;2020 December;105.4;0.5
204;2021 January;126.0;-4.1
205;2021 February;116.9;-6.9
206;2021 March;143.8;9.0
207;2021 April;135.0;10.2
208;2021 May;124.6;10.7
209;2021 June;136.2;9.3
210;2021 July;121.3;2.9
211;2021 August;81.6;-0.9
212;2021 September;132.7;-0.1
213;2021 October;131.3;-2.3
214;2021 November;138.6;1.8
215;2021 December;109.1;3.5
216;2022 January;117.4;-6.9
217;2022 February;121.6;4.1
218;2022 March;137.3;-4.6
219;2022 April;134.0;-0.8
220;2022 May;134.3;7.8
221;2022 June;140.4;3.1
222;2022 July;120.5;-0.7
223;2022 August;84.3;3.3
224;2022 September;137.6;3.7
225;2022 October;136.3;3.8
226;2022 November;143.1;3.3
227;2022 December;106.9;-2.1
228;2023 January;128.1;9.2
229;2023 February;128.2;5.4
230;2023 March;143.3;4.4
231;2023 April;132.1;-1.4
232;2023 May;143.0;6.5
233;2023 June;149.2;6.3
234;2023 July;122.6;1.8
235;2023 August;90.1;6.9
236;2023 September;134.0;-2.6
237;2023 October;136.0;-0.2
238;2023 November;137.3;-4.1
239;2023 December;99.5;-6.8
240;2024 January;123.4;-3.7
241;2024 February;126.6;-1.3
242;2024 March;131.1;-8.6
243;2024 April;142.0;7.4
