ID;SectorBranches;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
200;493 Passenger transport by road;2006 1st quarter;73.2;-0.4
201;493 Passenger transport by road;2006 2nd quarter;83.5;0.6
202;493 Passenger transport by road;2006 3rd quarter;80.0;3.0
203;493 Passenger transport by road;2006 4th quarter;82.1;-1.3
204;493 Passenger transport by road;2006;79.7;0.4
205;493 Passenger transport by road;2007 1st quarter;78.7;7.5
206;493 Passenger transport by road;2007 2nd quarter;88.9;6.4
207;493 Passenger transport by road;2007 3rd quarter;86.1;7.7
208;493 Passenger transport by road;2007 4th quarter;94.1;14.5
209;493 Passenger transport by road;2007;87.0;9.1
210;493 Passenger transport by road;2008 1st quarter;85.9;9.1
211;493 Passenger transport by road;2008 2nd quarter;94.1;5.9
212;493 Passenger transport by road;2008 3rd quarter;92.3;7.2
213;493 Passenger transport by road;2008 4th quarter;98.6;4.8
214;493 Passenger transport by road;2008;92.7;6.6
215;493 Passenger transport by road;2009 1st quarter;92.1;7.2
216;493 Passenger transport by road;2009 2nd quarter;101.7;8.0
217;493 Passenger transport by road;2009 3rd quarter;96.2;4.2
218;493 Passenger transport by road;2009 4th quarter;104.1;5.6
219;493 Passenger transport by road;2009;98.5;6.2
220;493 Passenger transport by road;2010 1st quarter;95.4;3.6
221;493 Passenger transport by road;2010 2nd quarter;101.2;-0.4
222;493 Passenger transport by road;2010 3rd quarter;98.1;1.9
223;493 Passenger transport by road;2010 4th quarter;105.3;1.2
224;493 Passenger transport by road;2010;100.0;1.5
225;493 Passenger transport by road;2011 1st quarter;96.4;1.1
226;493 Passenger transport by road;2011 2nd quarter;104.5;3.2
227;493 Passenger transport by road;2011 3rd quarter;101.2;3.2
228;493 Passenger transport by road;2011 4th quarter;105.1;-0.2
229;493 Passenger transport by road;2011;101.8;1.8
230;493 Passenger transport by road;2012 1st quarter;98.7;2.4
231;493 Passenger transport by road;2012 2nd quarter;107.3;2.7
232;493 Passenger transport by road;2012 3rd quarter;98.6;-2.6
233;493 Passenger transport by road;2012 4th quarter;108.0;2.8
234;493 Passenger transport by road;2012;103.2;1.3
235;493 Passenger transport by road;2013 1st quarter;96.5;-2.3
236;493 Passenger transport by road;2013 2nd quarter;105.0;-2.2
237;493 Passenger transport by road;2013 3rd quarter;99.4;0.9
238;493 Passenger transport by road;2013 4th quarter;109.6;1.5
239;493 Passenger transport by road;2013;102.6;-0.5
240;493 Passenger transport by road;2014 1st quarter;95.1;-1.5
241;493 Passenger transport by road;2014 2nd quarter;103.6;-1.4
242;493 Passenger transport by road;2014 3rd quarter;97.5;-1.9
243;493 Passenger transport by road;2014 4th quarter;103.8;-5.3
244;493 Passenger transport by road;2014;100.0;-2.6
245;493 Passenger transport by road;2015 1st quarter;95.5;0.4
246;493 Passenger transport by road;2015 2nd quarter;104.5;0.9
247;493 Passenger transport by road;2015 3rd quarter;101.4;4.0
248;493 Passenger transport by road;2015 4th quarter;106.9;3.0
249;493 Passenger transport by road;2015;102.1;2.1
250;493 Passenger transport by road;2016 1st quarter;100.2;5.0
251;493 Passenger transport by road;2016 2nd quarter;107.8;3.2
252;493 Passenger transport by road;2016 3rd quarter;101.1;-0.3
253;493 Passenger transport by road;2016 4th quarter;111.4;4.2
254;493 Passenger transport by road;2016;105.2;3.0
255;493 Passenger transport by road;2017 1st quarter;99.5;-0.7
256;493 Passenger transport by road;2017 2nd quarter;109.6;1.6
257;493 Passenger transport by road;2017 3rd quarter;106.1;4.9
258;493 Passenger transport by road;2017 4th quarter;113.4;1.8
259;493 Passenger transport by road;2017;107.2;1.9
260;4932 Taxi operation;2005 1st quarter;70.7;
