ID;Toepassingsgroepen;Perioden;AfzetWerkzameStof_1;AfzetWerkzameStofIndexcijfer_2
289;"H06 Herb; ureum-, uracil-, sulfonylureum";2019;70.0;56.0
290;"H06 Herb; ureum-, uracil-, sulfonylureum";2020;72.0;57.0
291;"H06 Herb; ureum-, uracil-, sulfonylureum";2021;81.0;64.0
292;"H06 Herb; ureum-, uracil-, sulfonylureum";2022;93.0;74.0
293;"H06 Herb; ureum-, uracil-, sulfonylureum";2023;72.0;57.0
294;"H99 Herbiciden; andere";2010;1255.0;83.0
295;"H99 Herbiciden; andere";2011;1510.0;100.0
296;"H99 Herbiciden; andere";2012;1597.0;106.0
297;"H99 Herbiciden; andere";2013;1454.0;96.0
298;"H99 Herbiciden; andere";2014;1760.0;117.0
299;"H99 Herbiciden; andere";2015;1581.0;105.0
300;"H99 Herbiciden; andere";2016;1361.0;90.0
301;"H99 Herbiciden; andere";2017;1586.0;105.0
302;"H99 Herbiciden; andere";2018;1664.0;110.0
303;"H99 Herbiciden; andere";2019;1390.0;92.0
304;"H99 Herbiciden; andere";2020;1438.0;95.0
305;"H99 Herbiciden; andere";2021;1372.0;91.0
306;"H99 Herbiciden; andere";2022;1448.0;96.0
307;"H99 Herbiciden; andere";2023;1255.0;83.0
308;"I01 Insecticiden; pyretroïden";2010;8.0;94.0
309;"I01 Insecticiden; pyretroïden";2011;9.0;100.0
310;"I01 Insecticiden; pyretroïden";2012;12.0;135.0
311;"I01 Insecticiden; pyretroïden";2013;12.0;132.0
312;"I01 Insecticiden; pyretroïden";2014;13.0;143.0
313;"I01 Insecticiden; pyretroïden";2015;16.0;178.0
314;"I01 Insecticiden; pyretroïden";2016;12.0;137.0
315;"I01 Insecticiden; pyretroïden";2017;14.0;160.0
316;"I01 Insecticiden; pyretroïden";2018;9.0;108.0
317;"I01 Insecticiden; pyretroïden";2019;13.0;148.0
318;"I01 Insecticiden; pyretroïden";2020;13.0;143.0
319;"I01 Insecticiden; pyretroïden";2021;13.0;149.0
320;"I01 Insecticiden; pyretroïden";2022;13.0;154.0
321;"I01 Insecticiden; pyretroïden";2023;13.0;144.0
322;"I02 Insecticiden; gechlor. Koolwaterst..";2010;;
323;"I02 Insecticiden; gechlor. Koolwaterst..";2011;;
324;"I02 Insecticiden; gechlor. Koolwaterst..";2012;;
325;"I02 Insecticiden; gechlor. Koolwaterst..";2013;;
326;"I02 Insecticiden; gechlor. Koolwaterst..";2014;;
327;"I02 Insecticiden; gechlor. Koolwaterst..";2015;;
328;"I02 Insecticiden; gechlor. Koolwaterst..";2016;;
329;"I02 Insecticiden; gechlor. Koolwaterst..";2017;;
330;"I02 Insecticiden; gechlor. Koolwaterst..";2018;2.0;
331;"I02 Insecticiden; gechlor. Koolwaterst..";2019;3.0;
332;"I02 Insecticiden; gechlor. Koolwaterst..";2020;3.0;
333;"I02 Insecticiden; gechlor. Koolwaterst..";2021;3.0;
334;"I02 Insecticiden; gechlor. Koolwaterst..";2022;4.0;
335;"I02 Insecticiden; gechlor. Koolwaterst..";2023;5.0;
336;"I03 Insecticiden; carbamaten, oxim-c..";2010;86.0;90.0
337;"I03 Insecticiden; carbamaten, oxim-c..";2011;96.0;100.0
338;"I03 Insecticiden; carbamaten, oxim-c..";2012;86.0;90.0
339;"I03 Insecticiden; carbamaten, oxim-c..";2013;78.0;82.0
340;"I03 Insecticiden; carbamaten, oxim-c..";2014;93.0;97.0
341;"I03 Insecticiden; carbamaten, oxim-c..";2015;56.0;59.0
342;"I03 Insecticiden; carbamaten, oxim-c..";2016;32.0;33.0
343;"I03 Insecticiden; carbamaten, oxim-c..";2017;82.0;86.0
344;"I03 Insecticiden; carbamaten, oxim-c..";2018;64.0;67.0
345;"I03 Insecticiden; carbamaten, oxim-c..";2019;67.0;70.0
346;"I03 Insecticiden; carbamaten, oxim-c..";2020;69.0;72.0
347;"I03 Insecticiden; carbamaten, oxim-c..";2021;181.0;189.0
348;"I03 Insecticiden; carbamaten, oxim-c..";2022;93.0;97.0
349;"I03 Insecticiden; carbamaten, oxim-c..";2023;76.0;80.0
350;"I04 Insecticiden; organische fosfaten";2010;81.0;119.0
351;"I04 Insecticiden; organische fosfaten";2011;68.0;100.0
352;"I04 Insecticiden; organische fosfaten";2012;59.0;86.0
353;"I04 Insecticiden; organische fosfaten";2013;44.0;65.0
354;"I04 Insecticiden; organische fosfaten";2014;39.0;57.0
355;"I04 Insecticiden; organische fosfaten";2015;63.0;92.0
356;"I04 Insecticiden; organische fosfaten";2016;30.0;45.0
357;"I04 Insecticiden; organische fosfaten";2017;41.0;61.0
358;"I04 Insecticiden; organische fosfaten";2018;40.0;59.0
359;"I04 Insecticiden; organische fosfaten";2019;58.0;85.0
360;"I04 Insecticiden; organische fosfaten";2020;1.0;2.0
361;"I04 Insecticiden; organische fosfaten";2021;0.0;0.0
362;"I04 Insecticiden; organische fosfaten";2022;0.0;0.0
363;"I04 Insecticiden; organische fosfaten";2023;0.0;0.0
364;"I05 Insecticiden; microbiologisch, bot..";2010;4.0;89.0
365;"I05 Insecticiden; microbiologisch, bot..";2011;5.0;100.0
366;"I05 Insecticiden; microbiologisch, bot..";2012;6.0;127.0
367;"I05 Insecticiden; microbiologisch, bot..";2013;5.0;115.0
368;"I05 Insecticiden; microbiologisch, bot..";2014;7.0;148.0
369;"I05 Insecticiden; microbiologisch, bot..";2015;49.0;1048.0
370;"I05 Insecticiden; microbiologisch, bot..";2016;5.0;109.0
371;"I05 Insecticiden; microbiologisch, bot..";2017;15.0;317.0
372;"I05 Insecticiden; microbiologisch, bot..";2018;36.0;756.0
373;"I05 Insecticiden; microbiologisch, bot..";2019;12.0;263.0
374;"I05 Insecticiden; microbiologisch, bot..";2020;14.0;305.0
375;"I05 Insecticiden; microbiologisch, bot..";2021;44.0;930.0
376;"I05 Insecticiden; microbiologisch, bot..";2022;77.0;1642.0
377;"I05 Insecticiden; microbiologisch, bot..";2023;60.0;1265.0
378;I06 Acariciden;2010;2.0;48.0
379;I06 Acariciden;2011;3.0;100.0
380;I06 Acariciden;2012;4.0;123.0
381;I06 Acariciden;2013;7.0;218.0
382;I06 Acariciden;2014;6.0;203.0
383;I06 Acariciden;2015;6.0;208.0
384;I06 Acariciden;2016;6.0;200.0
385;I06 Acariciden;2017;4.0;129.0
386;I06 Acariciden;2018;4.0;128.0
387;I06 Acariciden;2019;3.0;105.0
388;I06 Acariciden;2020;3.0;110.0
389;I06 Acariciden;2021;2.0;70.0
390;I06 Acariciden;2022;4.0;118.0
391;I06 Acariciden;2023;3.0;110.0
392;"I99 Insecticiden; andere";2010;1524.0;88.0
393;"I99 Insecticiden; andere";2011;1723.0;100.0
394;"I99 Insecticiden; andere";2012;1702.0;99.0
395;"I99 Insecticiden; andere";2013;1517.0;88.0
396;"I99 Insecticiden; andere";2014;1565.0;91.0
397;"I99 Insecticiden; andere";2015;2039.0;118.0
398;"I99 Insecticiden; andere";2016;2523.0;146.0
399;"I99 Insecticiden; andere";2017;2335.0;136.0
400;"I99 Insecticiden; andere";2018;1472.0;85.0
401;"I99 Insecticiden; andere";2019;1815.0;105.0
402;"I99 Insecticiden; andere";2020;2312.0;134.0
403;"I99 Insecticiden; andere";2021;2412.0;140.0
404;"I99 Insecticiden; andere";2022;2071.0;120.0
405;"I99 Insecticiden; andere";2023;1504.0;87.0
406;M01 Mollusciciden;2010;16.0;81.0
407;M01 Mollusciciden;2011;20.0;100.0
408;M01 Mollusciciden;2012;27.0;133.0
409;M01 Mollusciciden;2013;23.0;113.0
410;M01 Mollusciciden;2014;27.0;136.0
411;M01 Mollusciciden;2015;20.0;98.0
412;M01 Mollusciciden;2016;20.0;99.0
413;M01 Mollusciciden;2017;30.0;147.0
414;M01 Mollusciciden;2018;11.0;54.0
415;M01 Mollusciciden;2019;14.0;68.0
416;M01 Mollusciciden;2020;16.0;80.0
417;M01 Mollusciciden;2021;31.0;155.0
418;M01 Mollusciciden;2022;19.0;92.0
419;M01 Mollusciciden;2023;14.0;71.0
420;PGR01 Fysiologische plantengroeireg....;2010;207.0;103.0
421;PGR01 Fysiologische plantengroeireg....;2011;201.0;100.0
422;PGR01 Fysiologische plantengroeireg....;2012;299.0;149.0
423;PGR01 Fysiologische plantengroeireg....;2013;345.0;172.0
424;PGR01 Fysiologische plantengroeireg....;2014;444.0;221.0
425;PGR01 Fysiologische plantengroeireg....;2015;418.0;208.0
426;PGR01 Fysiologische plantengroeireg....;2016;447.0;223.0
427;PGR01 Fysiologische plantengroeireg....;2017;371.0;185.0
428;PGR01 Fysiologische plantengroeireg....;2018;367.0;183.0
429;PGR01 Fysiologische plantengroeireg....;2019;510.0;254.0
430;PGR01 Fysiologische plantengroeireg....;2020;542.0;270.0
431;PGR01 Fysiologische plantengroeireg....;2021;550.0;274.0
