ID;Geslacht;Leeftijd;Perioden;FormeelOnverzekerdenOpPeildatum_1;NogOnverzekerd6MaandenNaPeildatum_2;FormeelOnverzekerdenOpPeildatum_3;NogOnverzekerd6MaandenNaPeildatum_4
45;3;9;1 mei 2006;22640;17110;1.7;1.3
46;3;9;1 mei 2007;17040;13020;1.3;1.0
47;3;9;1 mei 2008;17180;13590;1.3;1.0
48;3;9;1 mei 2009;17120;13730;1.3;1.1
49;3;9;1 mei 2010;15390;12310;1.2;1.0
50;3;10;1 mei 2006;17050;13180;1.3;1.0
51;3;10;1 mei 2007;12730;10040;1.0;0.8
52;3;10;1 mei 2008;13360;10830;1.0;0.8
53;3;10;1 mei 2009;13230;10830;1.0;0.8
54;3;10;1 mei 2010;11940;9670;0.9;0.7
55;3;11;1 mei 2006;12020;9540;1.0;0.8
56;3;11;1 mei 2007;8710;6990;0.8;0.6
57;3;11;1 mei 2008;9630;7980;0.8;0.7
58;3;11;1 mei 2009;9640;8020;0.8;0.7
59;3;11;1 mei 2010;8900;7290;0.7;0.6
60;3;12;1 mei 2006;8610;6970;0.8;0.6
61;3;12;1 mei 2007;6500;5380;0.6;0.5
62;3;12;1 mei 2008;6760;5800;0.6;0.5
63;3;12;1 mei 2009;6390;5410;0.6;0.5
64;3;12;1 mei 2010;5840;4900;0.5;0.4
65;3;13;1 mei 2006;6250;5280;0.6;0.5
66;3;13;1 mei 2007;4500;3750;0.5;0.4
67;3;13;1 mei 2008;4940;4360;0.5;0.4
68;3;13;1 mei 2009;4720;4130;0.4;0.4
69;3;13;1 mei 2010;4280;3710;0.4;0.3
70;3;14;1 mei 2006;3720;3130;0.5;0.4
71;3;14;1 mei 2007;2450;2140;0.3;0.3
72;3;14;1 mei 2008;3050;2720;0.4;0.4
73;3;14;1 mei 2009;2760;2460;0.3;0.3
74;3;14;1 mei 2010;2520;2240;0.3;0.3
75;3;15;1 mei 2006;2150;1900;0.3;0.3
76;3;15;1 mei 2007;1500;1360;0.3;0.2
77;3;15;1 mei 2008;1910;1750;0.3;0.3
78;3;15;1 mei 2009;1640;1490;0.3;0.2
79;3;15;1 mei 2010;1450;1340;0.2;0.2
80;3;16;1 mei 2006;1320;1200;0.2;0.2
81;3;16;1 mei 2007;1030;950;0.2;0.2
82;3;16;1 mei 2008;1180;1110;0.2;0.2
83;3;16;1 mei 2009;1000;930;0.2;0.2
84;3;16;1 mei 2010;810;760;0.2;0.1
85;3;17;1 mei 2006;920;840;0.2;0.2
86;3;17;1 mei 2007;620;580;0.2;0.2
87;3;17;1 mei 2008;780;740;0.2;0.2
88;3;17;1 mei 2009;690;660;0.2;0.2
89;3;17;1 mei 2010;550;520;0.1;0.1
90;3;18;1 mei 2006;590;540;0.2;0.2
91;3;18;1 mei 2007;350;330;0.2;0.2
92;3;18;1 mei 2008;410;390;0.2;0.2
93;3;18;1 mei 2009;390;370;0.2;0.2
94;3;18;1 mei 2010;300;280;0.1;0.1
95;3;19;1 mei 2006;310;290;0.3;0.2
96;3;19;1 mei 2007;140;140;0.2;0.2
97;3;19;1 mei 2008;200;200;0.2;0.2
98;3;19;1 mei 2009;210;210;0.2;0.2
99;3;19;1 mei 2010;130;130;0.1;0.1
100;3;20;1 mei 2006;180;170;0.4;0.4
101;3;20;1 mei 2007;70;60;0.4;0.4
102;3;20;1 mei 2008;100;100;0.4;0.4
103;3;20;1 mei 2009;160;160;0.6;0.6
104;3;20;1 mei 2010;50;50;0.2;0.2
105;1;99;1 mei 2006;137690;102830;1.7;1.3
106;1;99;1 mei 2007;118660;89020;1.5;1.1
107;1;99;1 mei 2008;114120;89200;1.4;1.1
108;1;99;1 mei 2009;113060;89150;1.4;1.1
109;1;99;1 mei 2010;102670;80680;1.3;1.0
110;1;1;1 mei 2006;2680;1940;1.4;1.0
111;1;1;1 mei 2007;5240;3660;1.1;0.7
112;1;1;1 mei 2008;4480;3260;1.2;0.9
113;1;1;1 mei 2009;4100;3030;1.1;0.8
114;1;1;1 mei 2010;3120;2190;0.8;0.6
115;1;2;1 mei 2006;4670;3350;0.9;0.6
116;1;2;1 mei 2007;3280;2340;0.6;0.5
117;1;2;1 mei 2008;3000;2250;0.6;0.4
118;1;2;1 mei 2009;2860;2160;0.6;0.4
119;1;2;1 mei 2010;2120;1570;0.4;0.3
120;1;3;1 mei 2006;3850;2890;0.8;0.6
121;1;3;1 mei 2007;2950;2220;0.6;0.4
122;1;3;1 mei 2008;2520;1920;0.5;0.4
123;1;3;1 mei 2009;2430;1940;0.5;0.4
124;1;3;1 mei 2010;1890;1470;0.4;0.3
125;1;4;1 mei 2006;4230;3420;0.8;0.7
126;1;4;1 mei 2007;5270;3970;1.0;0.8
127;1;4;1 mei 2008;3720;2780;0.7;0.5
128;1;4;1 mei 2009;3390;2610;0.7;0.5
129;1;4;1 mei 2010;2830;2140;0.6;0.4
130;1;5;1 mei 2006;13140;9200;2.6;1.9
131;1;5;1 mei 2007;16690;12130;3.4;2.5
132;1;5;1 mei 2008;12950;9850;2.6;2.0
133;1;5;1 mei 2009;12960;10050;2.5;2.0
134;1;5;1 mei 2010;12220;9360;2.4;1.8
135;1;6;1 mei 2006;21890;15610;4.5;3.2
136;1;6;1 mei 2007;18800;13730;3.8;2.8
137;1;6;1 mei 2008;19170;14450;3.9;2.9
138;1;6;1 mei 2009;19720;14950;3.9;3.0
139;1;6;1 mei 2010;18370;13940;3.7;2.8
140;1;7;1 mei 2006;20390;14890;4.1;3.0
141;1;7;1 mei 2007;16760;12270;3.2;2.3
142;1;7;1 mei 2008;16660;12790;3.3;2.6
143;1;7;1 mei 2009;16650;12910;3.3;2.6
144;1;7;1 mei 2010;15580;12050;3.1;2.4
145;1;8;1 mei 2006;18660;13870;3.0;2.3
146;1;8;1 mei 2007;14710;10960;2.3;1.7
147;1;8;1 mei 2008;14340;11230;2.3;1.8
148;1;8;1 mei 2009;13840;10790;2.4;1.9
149;1;8;1 mei 2010;12320;9790;2.2;1.8
150;1;9;1 mei 2006;15150;11340;2.3;1.7
151;1;9;1 mei 2007;11350;8670;1.7;1.3
152;1;9;1 mei 2008;11480;9040;1.7;1.4
153;1;9;1 mei 2009;11540;9240;1.8;1.4
154;1;9;1 mei 2010;10540;8430;1.6;1.3
155;1;10;1 mei 2006;11380;8750;1.7;1.3
156;1;10;1 mei 2007;8430;6600;1.3;1.1
157;1;10;1 mei 2008;8780;7070;1.4;1.1
158;1;10;1 mei 2009;8800;7190;1.3;1.1
159;1;10;1 mei 2010;8120;6560;1.2;1.0
160;1;11;1 mei 2006;7880;6180;1.3;1.0
161;1;11;1 mei 2007;5560;4410;1.0;0.8
162;1;11;1 mei 2008;6190;5080;1.1;0.9
163;1;11;1 mei 2009;6310;5190;1.1;0.9
164;1;11;1 mei 2010;5980;4910;1.0;0.8
165;1;12;1 mei 2006;5380;4290;1.0;0.8
166;1;12;1 mei 2007;4010;3280;0.7;0.6
167;1;12;1 mei 2008;4150;3520;0.8;0.6
168;1;12;1 mei 2009;4060;3400;0.7;0.6
169;1;12;1 mei 2010;3840;3200;0.7;0.6
170;1;13;1 mei 2006;3740;3100;0.7;0.6
171;1;13;1 mei 2007;2640;2160;0.6;0.5
172;1;13;1 mei 2008;2850;2490;0.5;0.5
173;1;13;1 mei 2009;2860;2480;0.5;0.5
174;1;13;1 mei 2010;2640;2260;0.5;0.4
175;1;14;1 mei 2006;2190;1810;0.6;0.5
176;1;14;1 mei 2007;1360;1170;0.4;0.3
177;1;14;1 mei 2008;1720;1530;0.5;0.4
178;1;14;1 mei 2009;1600;1410;0.4;0.4
179;1;14;1 mei 2010;1490;1310;0.4;0.3
180;1;15;1 mei 2006;1140;1010;0.4;0.3
181;1;15;1 mei 2007;780;690;0.3;0.3
182;1;15;1 mei 2008;1010;920;0.3;0.3
183;1;15;1 mei 2009;890;800;0.3;0.3
184;1;15;1 mei 2010;800;740;0.3;0.2
185;1;16;1 mei 2006;620;560;0.3;0.2
186;1;16;1 mei 2007;450;420;0.2;0.2
187;1;16;1 mei 2008;560;520;0.3;0.2
188;1;16;1 mei 2009;520;480;0.2;0.2
189;1;16;1 mei 2010;410;380;0.2;0.2
190;1;17;1 mei 2006;360;320;0.2;0.2
191;1;17;1 mei 2007;220;200;0.2;0.2
192;1;17;1 mei 2008;320;310;0.2;0.2
193;1;17;1 mei 2009;300;280;0.2;0.2
194;1;17;1 mei 2010;250;230;0.2;0.2
195;1;18;1 mei 2006;220;190;0.2;0.2
196;1;18;1 mei 2007;110;100;0.2;0.2
197;1;18;1 mei 2008;130;130;0.2;0.2
198;1;18;1 mei 2009;130;120;0.2;0.2
199;1;18;1 mei 2010;100;100;0.1;0.1
200;1;19;1 mei 2006;80;80;0.3;0.2
201;1;19;1 mei 2007;40;40;0.3;0.2
202;1;19;1 mei 2008;60;60;0.3;0.3
203;1;19;1 mei 2009;80;80;0.4;0.4
204;1;19;1 mei 2010;40;40;0.2;0.2
205;1;20;1 mei 2006;40;40;0.4;0.4
206;1;20;1 mei 2007;10;10;0.3;0.3
207;1;20;1 mei 2008;30;30;0.7;0.6
208;1;20;1 mei 2009;40;40;0.9;0.9
209;1;20;1 mei 2010;10;10;0.2;0.2
210;2;99;1 mei 2006;93470;69970;1.1;0.8
211;2;99;1 mei 2007;82920;61690;1.0;0.7
212;2;99;1 mei 2008;81740;63600;1.0;0.8
213;2;99;1 mei 2009;80640;63090;1.0;0.8
214;2;99;1 mei 2010;71940;55770;0.9;0.7
215;2;1;1 mei 2006;2750;2010;1.5;1.1
216;2;1;1 mei 2007;5190;3650;1.1;0.8
217;2;1;1 mei 2008;4490;3220;1.2;0.9
218;2;1;1 mei 2009;4110;3020;1.1;0.8
219;2;1;1 mei 2010;3100;2200;0.9;0.6
220;2;2;1 mei 2006;4510;3210;0.9;0.6
221;2;2;1 mei 2007;3080;2190;0.6;0.4
222;2;2;1 mei 2008;2890;2080;0.6;0.4
223;2;2;1 mei 2009;2730;2050;0.6;0.4
224;2;2;1 mei 2010;2030;1530;0.4;0.3
225;2;3;1 mei 2006;3550;2710;0.7;0.6
226;2;3;1 mei 2007;2850;2130;0.6;0.4
227;2;3;1 mei 2008;2350;1840;0.5;0.4
228;2;3;1 mei 2009;2300;1810;0.5;0.4
229;2;3;1 mei 2010;1860;1480;0.4;0.3
230;2;4;1 mei 2006;3780;3000;0.8;0.6
231;2;4;1 mei 2007;4590;3280;0.9;0.7
232;2;4;1 mei 2008;3350;2510;0.7;0.5
233;2;4;1 mei 2009;3130;2320;0.6;0.5
234;2;4;1 mei 2010;2520;1830;0.5;0.4
235;2;5;1 mei 2006;10070;6720;2.1;1.4
236;2;5;1 mei 2007;14430;10130;3.0;2.1
237;2;5;1 mei 2008;12880;9640;2.6;2.0
238;2;5;1 mei 2009;14180;10620;2.9;2.1
239;2;5;1 mei 2010;13870;10320;2.7;2.0
240;2;6;1 mei 2006;17470;12370;3.6;2.6
241;2;6;1 mei 2007;14220;10200;2.9;2.1
242;2;6;1 mei 2008;15210;11350;3.1;2.3
243;2;6;1 mei 2009;15580;11740;3.2;2.4
244;2;6;1 mei 2010;14840;11150;3.0;2.3
245;2;7;1 mei 2006;13500;9780;2.7;2.0
246;2;7;1 mei 2007;10100;7340;1.9;1.4
247;2;7;1 mei 2008;10660;8150;2.1;1.6
248;2;7;1 mei 2009;10300;7930;2.1;1.6
249;2;7;1 mei 2010;9340;7190;1.9;1.4
250;2;8;1 mei 2006;10280;7680;1.7;1.3
251;2;8;1 mei 2007;7770;5780;1.2;0.9
252;2;8;1 mei 2008;7680;5960;1.3;1.0
253;2;8;1 mei 2009;7500;5940;1.3;1.0
254;2;8;1 mei 2010;6440;5040;1.2;0.9
255;2;9;1 mei 2006;7480;5770;1.2;0.9
256;2;9;1 mei 2007;5690;4360;0.9;0.7
257;2;9;1 mei 2008;5700;4550;0.9;0.7
258;2;9;1 mei 2009;5580;4490;0.9;0.7
259;2;9;1 mei 2010;4850;3890;0.8;0.6
260;2;10;1 mei 2006;5670;4430;0.9;0.7
261;2;10;1 mei 2007;4300;3440;0.7;0.6
262;2;10;1 mei 2008;4590;3760;0.7;0.6
263;2;10;1 mei 2009;4430;3640;0.7;0.6
264;2;10;1 mei 2010;3830;3120;0.6;0.5
265;2;11;1 mei 2006;4140;3360;0.7;0.6
266;2;11;1 mei 2007;3150;2580;0.6;0.5
267;2;11;1 mei 2008;3430;2900;0.6;0.5
268;2;11;1 mei 2009;3330;2830;0.6;0.5
269;2;11;1 mei 2010;2920;2380;0.5;0.4
270;2;12;1 mei 2006;3230;2680;0.6;0.5
271;2;12;1 mei 2007;2490;2090;0.5;0.4
272;2;12;1 mei 2008;2620;2280;0.5;0.4
273;2;12;1 mei 2009;2330;2010;0.4;0.4
274;2;12;1 mei 2010;2000;1700;0.4;0.3
275;2;13;1 mei 2006;2520;2180;0.5;0.4
276;2;13;1 mei 2007;1870;1600;0.4;0.3
277;2;13;1 mei 2008;2100;1860;0.4;0.4
278;2;13;1 mei 2009;1860;1660;0.3;0.3
279;2;13;1 mei 2010;1640;1450;0.3;0.3
280;2;14;1 mei 2006;1530;1330;0.4;0.3
281;2;14;1 mei 2007;1090;970;0.3;0.3
282;2;14;1 mei 2008;1330;1200;0.3;0.3
283;2;14;1 mei 2009;1160;1050;0.3;0.3
284;2;14;1 mei 2010;1040;930;0.2;0.2
285;2;15;1 mei 2006;1000;890;0.3;0.3
286;2;15;1 mei 2007;730;670;0.2;0.2
287;2;15;1 mei 2008;910;830;0.3;0.3
288;2;15;1 mei 2009;750;690;0.2;0.2
289;2;15;1 mei 2010;650;600;0.2;0.2
290;2;16;1 mei 2006;700;640;0.2;0.2
291;2;16;1 mei 2007;580;540;0.2;0.2
292;2;16;1 mei 2008;620;580;0.2;0.2
293;2;16;1 mei 2009;480;450;0.2;0.2
294;2;16;1 mei 2010;400;380;0.1;0.1
295;2;17;1 mei 2006;560;520;0.2;0.2
296;2;17;1 mei 2007;400;380;0.2;0.2
297;2;17;1 mei 2008;460;430;0.2;0.2
298;2;17;1 mei 2009;400;380;0.2;0.2
299;2;17;1 mei 2010;300;290;0.1;0.1
300;2;18;1 mei 2006;370;350;0.2;0.2
301;2;18;1 mei 2007;240;220;0.2;0.2
302;2;18;1 mei 2008;270;260;0.2;0.2
303;2;18;1 mei 2009;260;250;0.2;0.2
304;2;18;1 mei 2010;190;190;0.1;0.1
305;2;19;1 mei 2006;220;210;0.3;0.2
306;2;19;1 mei 2007;100;100;0.2;0.2
307;2;19;1 mei 2008;140;140;0.2;0.2
308;2;19;1 mei 2009;130;130;0.2;0.2
309;2;19;1 mei 2010;90;90;0.1;0.1
310;2;20;1 mei 2006;140;140;0.4;0.4
311;2;20;1 mei 2007;60;50;0.4;0.4
312;2;20;1 mei 2008;80;70;0.4;0.4
313;2;20;1 mei 2009;120;110;0.6;0.6
314;2;20;1 mei 2010;40;40;0.2;0.2
