ID;CountryOfResidence;Regions;Periods;Guests_1;OvernightStays_2
41;All countries;Nederland;2014 2nd quarter;6367.0;11129.0
42;All countries;Nederland;2014 July;2177.0;3985.0
43;All countries;Nederland;2014 August;2337.0;4389.0
44;All countries;Nederland;2014 September;2130.0;3683.0
45;All countries;Nederland;2014 3rd quarter;6644.0;12057.0
46;All countries;Nederland;2014 October;2100.0;3551.0
47;All countries;Nederland;2014 November;1784.0;2910.0
48;All countries;Nederland;2014 December;1609.0;2685.0
49;All countries;Nederland;2014 4th quarter;5493.0;9146.0
50;All countries;Nederland;2014;23122.0;39864.0
51;All countries;Nederland;2015 January;1436.0;2383.0
52;All countries;Nederland;2015 February;1549.0;2553.0
53;All countries;Nederland;2015 March;1777.0;2946.0
54;All countries;Nederland;2015 1st quarter;4763.0;7882.0
55;All countries;Nederland;2015 April;2152.0;3773.0
56;All countries;Nederland;2015 May;2299.0;4027.0
57;All countries;Nederland;2015 June;2199.0;3771.0
58;All countries;Nederland;2015 2nd quarter;6650.0;11571.0
59;All countries;Nederland;2015 July;2335.0;4261.0
60;All countries;Nederland;2015 August;2445.0;4563.0
61;All countries;Nederland;2015 September;2182.0;3736.0
62;All countries;Nederland;2015 3rd quarter;6961.0;12560.0
63;All countries;Nederland;2015 October;2200.0;3704.0
64;All countries;Nederland;2015 November;1884.0;3035.0
65;All countries;Nederland;2015 December;1718.0;2865.0
66;All countries;Nederland;2015 4th quarter;5802.0;9605.0
67;All countries;Nederland;2015;24176.0;41617.0
68;All countries;Nederland;2016 January;1609.0;2673.0
69;All countries;Nederland;2016 February;1741.0;2860.0
70;All countries;Nederland;2016 March;2038.0;3469.0
71;All countries;Nederland;2016 1st quarter;5389.0;9002.0
72;All countries;Nederland;2016 April;2229.0;3841.0
73;All countries;Nederland;2016 May;2436.0;4218.0
74;All countries;Nederland;2016 June;2276.0;3904.0
75;All countries;Nederland;2016 2nd quarter;6941.0;11962.0
76;All countries;Nederland;2016 July;2420.0;4488.0
77;All countries;Nederland;2016 August;2506.0;4747.0
78;All countries;Nederland;2016 September;2314.0;4017.0
79;All countries;Nederland;2016 3rd quarter;7240.0;13252.0
80;All countries;Nederland;2016 October;2348.0;4041.0
81;All countries;Nederland;2016 November;1987.0;3234.0
82;All countries;Nederland;2016 December;1853.0;3100.0
83;All countries;Nederland;2016 4th quarter;6189.0;10374.0
84;All countries;Nederland;2016;25758.0;44590.0
85;All countries;Nederland;2017 January;1783.0;2921.0
86;All countries;Nederland;2017 February;1809.0;2978.0
87;All countries;Nederland;2017 March;2185.0;3572.0
88;All countries;Nederland;2017 1st quarter;5777.0;9470.0
89;All countries;Nederland;2017 April;2622.0;4557.0
90;All countries;Nederland;2017 May;2635.0;4469.0
91;All countries;Nederland;2017 June;2634.0;4528.0
92;All countries;Nederland;2017 2nd quarter;7890.0;13554.0
93;All countries;Nederland;2017 July;2750.0;4936.0
94;All countries;Nederland;2017 August;2768.0;5108.0
95;All countries;Nederland;2017 September;2525.0;4419.0
96;All countries;Nederland;2017 3rd quarter;8043.0;14462.0
97;All countries;Nederland;2017 October;2576.0;4355.0
98;All countries;Nederland;2017 November;2150.0;3544.0
99;All countries;Nederland;2017 December;2135.0;3487.0
100;All countries;Nederland;2017 4th quarter;6862.0;11387.0
101;All countries;Nederland;2017;28572.0;48873.0
102;All countries;Nederland;2018 January;1948.0;3200.0
103;All countries;Nederland;2018 February;1937.0;3229.0
104;All countries;Nederland;2018 March;2329.0;3935.0
105;All countries;Nederland;2018 1st quarter;6214.0;10364.0
106;All countries;Nederland;2018 April;2609.0;4565.0
107;All countries;Nederland;2018 May;2748.0;4809.0
108;All countries;Nederland;2018 June;2688.0;4705.0
109;All countries;Nederland;2018 2nd quarter;8045.0;14078.0
110;All countries;Nederland;2018 July;2800.0;5150.0
111;All countries;Nederland;2018 August;2914.0;5453.0
112;All countries;Nederland;2018 September;2661.0;4680.0
113;All countries;Nederland;2018 3rd quarter;8375.0;15284.0
114;All countries;Nederland;2018 October;2669.0;4588.0
115;All countries;Nederland;2018 November;2253.0;3766.0
116;All countries;Nederland;2018 December;2090.0;3530.0
117;All countries;Nederland;2018 4th quarter;7011.0;11885.0
118;All countries;Nederland;2018;29646.0;51611.0
119;All countries;Nederland;2019 January;1909.0;3258.0
120;All countries;Nederland;2019 February;1998.0;3381.0
121;All countries;Nederland;2019 March;2477.0;4240.0
122;All countries;Nederland;2019 1st quarter;6384.0;10880.0
123;All countries;Nederland;2019 April;2765.0;4974.0
124;All countries;Nederland;2019 May;2745.0;4868.0
125;All countries;Nederland;2019 June;2852.0;5085.0
126;All countries;Nederland;2019 2nd quarter;8361.0;14928.0
127;All countries;Nederland;2019 July;2853.0;5371.0
128;All countries;Nederland;2019 August;2919.0;5678.0
129;All countries;Nederland;2019 September;2663.0;4798.0
130;All countries;Nederland;2019 3rd quarter;8435.0;15847.0
131;All countries;Nederland;2019 October;2745.0;4857.0
132;All countries;Nederland;2019 November;2407.0;4060.0
133;All countries;Nederland;2019 December;2237.0;3832.0
134;All countries;Nederland;2019 4th quarter;7389.0;12749.0
135;All countries;Nederland;2019;30569.0;54403.0
136;All countries;Nederland;2020 January;2011.0;3464.0
137;All countries;Nederland;2020 February;2121.0;3705.0
138;All countries;Nederland;2020 March;989.0;1780.0
139;All countries;Nederland;2020 1st quarter;5121.0;8950.0
140;All countries;Nederland;2020 April;241.0;470.0
141;All countries;Nederland;2020 May;486.0;840.0
142;All countries;Nederland;2020 June;1228.0;2162.0
143;All countries;Nederland;2020 2nd quarter;1955.0;3472.0
144;All countries;Nederland;2020 July;2139.0;4040.0
145;All countries;Nederland;2020 August;2351.0;4447.0
146;All countries;Nederland;2020 September;1789.0;3251.0
147;All countries;Nederland;2020 3rd quarter;6278.0;11738.0
148;All countries;Nederland;2020 October;1160.0;1980.0
149;All countries;Nederland;2020 November;893.0;1406.0
150;All countries;Nederland;2020 December;756.0;1201.0
151;All countries;Nederland;2020 4th quarter;2809.0;4587.0
152;All countries;Nederland;2020;16163.0;28746.0
153;All countries;Nederland;2021 January;453.0;708.0
154;All countries;Nederland;2021 February;632.0;964.0
155;All countries;Nederland;2021 March;691.0;1102.0
156;All countries;Nederland;2021 1th quarter;1776.0;2774.0
157;All countries;Nederland;2021 April;888.0;1445.0
158;All countries;Nederland;2021 May;1443.0;2372.0
159;All countries;Nederland;2021 June;1627.0;2809.0
160;All countries;Nederland;2021 2nd quarter;3957.0;6626.0
161;All countries;Nederland;2021 July;2161.0;4021.0
162;All countries;Nederland;2021 August;2465.0;4676.0
163;All countries;Nederland;2021 September;2132.0;3984.0
164;All countries;Nederland;2021 3rd quarter;6758.0;12681.0
165;All countries;Nederland;2021 October;2386.0;4244.0
166;All countries;Nederland;2021 November;1722.0;3066.0
167;All countries;Nederland;2021 December;861.0;1475.0
168;All countries;Nederland;2021 4th quarter;4969.0;8784.0
169;All countries;Nederland;2021;17460.0;30865.0
170;All countries;Nederland;2022 January;741.0;1238.0
171;All countries;Nederland;2022 February;1393.0;2349.0
172;All countries;Nederland;2022 March;2029.0;3623.0
173;All countries;Nederland;2022 1th quarter;4164.0;7210.0
174;All countries;Nederland;2022 April;2649.0;5092.0
175;All countries;Nederland;2022 May;2895.0;5329.0
176;All countries;Nederland;2022 June;2839.0;5449.0
177;All countries;Nederland;2022 2nd quarter;8384.0;15871.0
178;All countries;Nederland;2022 July;3110.0;6150.0
179;All countries;Nederland;2022 August;3076.0;6308.0
180;All countries;Nederland;2022 September;2757.0;5360.0
181;All countries;Nederland;2022 3rd quarter;8943.0;17817.0
182;All countries;Nederland;2022 October;2941.0;5542.0
183;All countries;Nederland;2022 November;2502.0;4469.0
184;All countries;Nederland;2022 December;2325.0;4208.0
185;All countries;Nederland;2022 4th quarter;7768.0;14220.0
186;All countries;Nederland;2022;29258.0;55118.0
187;All countries;Nederland;2023 January;2001.0;3656.0
188;All countries;Nederland;2023 February;2085.0;3823.0
189;All countries;Nederland;2023 March;2447.0;4563.0
190;All countries;Nederland;2023 1st quarter;6533.0;12042.0
191;All countries;Nederland;2023 April;2928.0;5734.0
192;All countries;Nederland;2023 May;3002.0;5823.0
193;All countries;Nederland;2023 June;2955.0;5783.0
194;All countries;Nederland;2023 2nd quarter;8886.0;17341.0
195;All countries;Nederland;2023 July;3290.0;6546.0
196;All countries;Nederland;2023 August;3008.0;6309.0
197;All countries;Nederland;2023 September;2764.0;5385.0
198;All countries;Nederland;2023 3rd quarter;9062.0;18240.0
199;All countries;Nederland;2023 October;2865.0;5579.0
200;All countries;Nederland;2023 November;2431.0;4428.0
201;All countries;Nederland;2023 December;2406.0;4346.0
202;All countries;Nederland;2023 4th quarter;7702.0;14354.0
203;All countries;Nederland;2023;32182.0;61976.0
204;All countries;Nederland;2024 January;2165.0;4061.0
205;All countries;Nederland;2024 February;2170.0;4062.0
206;All countries;Nederland;2024 March;2650.0;5020.0
207;All countries;Nederland;2024 1st quarter;6985.0;13143.0
208;All countries;Nederland;2024 April;2875.0;5682.0
209;All countries;Nederland;2024 May;3102.0;6021.0
210;All countries;Nederland;2024 June;3022.0;5802.0
211;All countries;Nederland;2024 2nd quarter;8999.0;17506.0
212;All countries;Nederland;2024 July;3157.0;6345.0
213;All countries;Nederland;2024 August;3226.0;6725.0
214;All countries;Nederland;2024 September;2942.0;5784.0
215;All countries;Nederland;2024 3rd quarter;9357.0;18878.0
216;All countries;Nederland;2024 October;2918.0;5633.0
217;All countries;Nederland;2024 November;2645.0;4885.0
218;All countries;Nederland;2024 December;2552.0;4583.0
219;All countries;Nederland;2024 4th quarter;8113.0;15104.0
220;All countries;Nederland;2024;33440.0;64566.0
221;All countries;Nederland;2025 January;2235.0;4139.0
222;All countries;Nederland;2025 February;2182.0;4095.0
223;All countries;Noord-Nederland (LD);2012 January;96.0;161.0
224;All countries;Noord-Nederland (LD);2012 February;99.0;165.0
225;All countries;Noord-Nederland (LD);2012 March;120.0;209.0
226;All countries;Noord-Nederland (LD);2012 1st quarter;314.0;535.0
227;All countries;Noord-Nederland (LD);2012 April;141.0;272.0
228;All countries;Noord-Nederland (LD);2012 May;159.0;313.0
229;All countries;Noord-Nederland (LD);2012 June;153.0;294.0
230;All countries;Noord-Nederland (LD);2012 2nd quarter;452.0;879.0
231;All countries;Noord-Nederland (LD);2012 July;166.0;335.0
232;All countries;Noord-Nederland (LD);2012 August;187.0;399.0
233;All countries;Noord-Nederland (LD);2012 September;146.0;274.0
234;All countries;Noord-Nederland (LD);2012 3rd quarter;499.0;1007.0
235;All countries;Noord-Nederland (LD);2012 October;143.0;257.0
236;All countries;Noord-Nederland (LD);2012 November;111.0;189.0
237;All countries;Noord-Nederland (LD);2012 December;90.0;161.0
238;All countries;Noord-Nederland (LD);2012 4th quarter;344.0;607.0
239;All countries;Noord-Nederland (LD);2012;1610.0;3027.0
240;All countries;Noord-Nederland (LD);2013 January;89.0;154.0
241;All countries;Noord-Nederland (LD);2013 February;103.0;173.0
242;All countries;Noord-Nederland (LD);2013 March;122.0;211.0
243;All countries;Noord-Nederland (LD);2013 1st quarter;314.0;538.0
244;All countries;Noord-Nederland (LD);2013 April;131.0;244.0
245;All countries;Noord-Nederland (LD);2013 May;159.0;294.0
246;All countries;Noord-Nederland (LD);2013 June;165.0;291.0
247;All countries;Noord-Nederland (LD);2013 2nd quarter;455.0;828.0
248;All countries;Noord-Nederland (LD);2013 July;160.0;319.0
249;All countries;Noord-Nederland (LD);2013 August;194.0;388.0
250;All countries;Noord-Nederland (LD);2013 September;163.0;284.0
251;All countries;Noord-Nederland (LD);2013 3rd quarter;517.0;991.0
252;All countries;Noord-Nederland (LD);2013 October;135.0;236.0
253;All countries;Noord-Nederland (LD);2013 November;111.0;175.0
254;All countries;Noord-Nederland (LD);2013 December;115.0;192.0
255;All countries;Noord-Nederland (LD);2013 4th quarter;362.0;603.0
256;All countries;Noord-Nederland (LD);2013;1648.0;2960.0
257;All countries;Noord-Nederland (LD);2014 January;92.0;155.0
258;All countries;Noord-Nederland (LD);2014 February;99.0;167.0
259;All countries;Noord-Nederland (LD);2014 March;128.0;226.0
260;All countries;Noord-Nederland (LD);2014 1st quarter;319.0;549.0
261;All countries;Noord-Nederland (LD);2014 April;133.0;253.0
262;All countries;Noord-Nederland (LD);2014 May;158.0;297.0
263;All countries;Noord-Nederland (LD);2014 June;167.0;324.0
264;All countries;Noord-Nederland (LD);2014 2nd quarter;458.0;874.0
265;All countries;Noord-Nederland (LD);2014 July;167.0;333.0
266;All countries;Noord-Nederland (LD);2014 August;189.0;391.0
267;All countries;Noord-Nederland (LD);2014 September;165.0;307.0
268;All countries;Noord-Nederland (LD);2014 3rd quarter;521.0;1031.0
269;All countries;Noord-Nederland (LD);2014 October;146.0;268.0
270;All countries;Noord-Nederland (LD);2014 November;116.0;195.0
271;All countries;Noord-Nederland (LD);2014 December;97.0;174.0
272;All countries;Noord-Nederland (LD);2014 4th quarter;359.0;637.0
273;All countries;Noord-Nederland (LD);2014;1656.0;3091.0
274;All countries;Noord-Nederland (LD);2015 January;83.0;139.0
275;All countries;Noord-Nederland (LD);2015 February;95.0;161.0
276;All countries;Noord-Nederland (LD);2015 March;104.0;170.0
277;All countries;Noord-Nederland (LD);2015 1st quarter;283.0;469.0
278;All countries;Noord-Nederland (LD);2015 April;128.0;229.0
279;All countries;Noord-Nederland (LD);2015 May;166.0;307.0
280;All countries;Noord-Nederland (LD);2015 June;165.0;296.0
281;All countries;Noord-Nederland (LD);2015 2nd quarter;460.0;832.0
282;All countries;Noord-Nederland (LD);2015 July;170.0;337.0
283;All countries;Noord-Nederland (LD);2015 August;200.0;385.0
284;All countries;Noord-Nederland (LD);2015 September;160.0;291.0
285;All countries;Noord-Nederland (LD);2015 3rd quarter;530.0;1012.0
286;All countries;Noord-Nederland (LD);2015 October;143.0;254.0
287;All countries;Noord-Nederland (LD);2015 November;108.0;183.0
288;All countries;Noord-Nederland (LD);2015 December;98.0;167.0
289;All countries;Noord-Nederland (LD);2015 4th quarter;348.0;604.0
290;All countries;Noord-Nederland (LD);2015;1620.0;2918.0
291;All countries;Noord-Nederland (LD);2016 January;99.0;165.0
292;All countries;Noord-Nederland (LD);2016 February;120.0;192.0
293;All countries;Noord-Nederland (LD);2016 March;134.0;227.0
294;All countries;Noord-Nederland (LD);2016 1st quarter;353.0;584.0
295;All countries;Noord-Nederland (LD);2016 April;158.0;274.0
296;All countries;Noord-Nederland (LD);2016 May;185.0;329.0
297;All countries;Noord-Nederland (LD);2016 June;178.0;333.0
298;All countries;Noord-Nederland (LD);2016 2nd quarter;521.0;936.0
299;All countries;Noord-Nederland (LD);2016 July;184.0;351.0
300;All countries;Noord-Nederland (LD);2016 August;199.0;397.0
301;All countries;Noord-Nederland (LD);2016 September;183.0;325.0
302;All countries;Noord-Nederland (LD);2016 3rd quarter;566.0;1074.0
303;All countries;Noord-Nederland (LD);2016 October;172.0;307.0
304;All countries;Noord-Nederland (LD);2016 November;129.0;208.0
305;All countries;Noord-Nederland (LD);2016 December;117.0;194.0
306;All countries;Noord-Nederland (LD);2016 4th quarter;419.0;709.0
307;All countries;Noord-Nederland (LD);2016;1859.0;3303.0
308;All countries;Noord-Nederland (LD);2017 January;117.0;187.0
309;All countries;Noord-Nederland (LD);2017 February;105.0;168.0
310;All countries;Noord-Nederland (LD);2017 March;137.0;219.0
311;All countries;Noord-Nederland (LD);2017 1st quarter;359.0;574.0
312;All countries;Noord-Nederland (LD);2017 April;177.0;303.0
313;All countries;Noord-Nederland (LD);2017 May;182.0;324.0
314;All countries;Noord-Nederland (LD);2017 June;192.0;344.0
315;All countries;Noord-Nederland (LD);2017 2nd quarter;551.0;971.0
316;All countries;Noord-Nederland (LD);2017 July;208.0;379.0
317;All countries;Noord-Nederland (LD);2017 August;227.0;439.0
318;All countries;Noord-Nederland (LD);2017 September;186.0;337.0
319;All countries;Noord-Nederland (LD);2017 3rd quarter;621.0;1155.0
320;All countries;Noord-Nederland (LD);2017 October;171.0;287.0
321;All countries;Noord-Nederland (LD);2017 November;130.0;213.0
322;All countries;Noord-Nederland (LD);2017 December;129.0;209.0
323;All countries;Noord-Nederland (LD);2017 4th quarter;430.0;709.0
324;All countries;Noord-Nederland (LD);2017;1961.0;3408.0
325;All countries;Noord-Nederland (LD);2018 January;112.0;188.0
326;All countries;Noord-Nederland (LD);2018 February;106.0;176.0
327;All countries;Noord-Nederland (LD);2018 March;148.0;241.0
328;All countries;Noord-Nederland (LD);2018 1st quarter;366.0;605.0
329;All countries;Noord-Nederland (LD);2018 April;180.0;310.0
330;All countries;Noord-Nederland (LD);2018 May;209.0;376.0
331;All countries;Noord-Nederland (LD);2018 June;212.0;376.0
332;All countries;Noord-Nederland (LD);2018 2nd quarter;600.0;1063.0
333;All countries;Noord-Nederland (LD);2018 July;215.0;417.0
334;All countries;Noord-Nederland (LD);2018 August;239.0;477.0
335;All countries;Noord-Nederland (LD);2018 September;209.0;379.0
336;All countries;Noord-Nederland (LD);2018 3rd quarter;663.0;1273.0
337;All countries;Noord-Nederland (LD);2018 October;207.0;354.0
338;All countries;Noord-Nederland (LD);2018 November;156.0;260.0
339;All countries;Noord-Nederland (LD);2018 December;135.0;222.0
340;All countries;Noord-Nederland (LD);2018 4th quarter;498.0;836.0
341;All countries;Noord-Nederland (LD);2018;2127.0;3778.0
342;All countries;Noord-Nederland (LD);2019 January;111.0;182.0
343;All countries;Noord-Nederland (LD);2019 February;114.0;185.0
344;All countries;Noord-Nederland (LD);2019 March;143.0;239.0
345;All countries;Noord-Nederland (LD);2019 1st quarter;368.0;606.0
346;All countries;Noord-Nederland (LD);2019 April;170.0;302.0
347;All countries;Noord-Nederland (LD);2019 May;181.0;315.0
348;All countries;Noord-Nederland (LD);2019 June;192.0;353.0
349;All countries;Noord-Nederland (LD);2019 2nd quarter;544.0;969.0
350;All countries;Noord-Nederland (LD);2019 July;199.0;389.0
351;All countries;Noord-Nederland (LD);2019 August;205.0;416.0
352;All countries;Noord-Nederland (LD);2019 September;182.0;334.0
353;All countries;Noord-Nederland (LD);2019 3rd quarter;587.0;1138.0
354;All countries;Noord-Nederland (LD);2019 October;168.0;304.0
355;All countries;Noord-Nederland (LD);2019 November;139.0;237.0
356;All countries;Noord-Nederland (LD);2019 December;124.0;206.0
357;All countries;Noord-Nederland (LD);2019 4th quarter;431.0;747.0
358;All countries;Noord-Nederland (LD);2019;1929.0;3461.0
359;All countries;Noord-Nederland (LD);2020 January;117.0;192.0
360;All countries;Noord-Nederland (LD);2020 February;126.0;211.0
361;All countries;Noord-Nederland (LD);2020 March;64.0;118.0
362;All countries;Noord-Nederland (LD);2020 1st quarter;307.0;521.0
363;All countries;Noord-Nederland (LD);2020 April;22.0;43.0
364;All countries;Noord-Nederland (LD);2020 May;51.0;95.0
365;All countries;Noord-Nederland (LD);2020 June;147.0;270.0
366;All countries;Noord-Nederland (LD);2020 2nd quarter;220.0;408.0
367;All countries;Noord-Nederland (LD);2020 July;219.0;434.0
368;All countries;Noord-Nederland (LD);2020 August;241.0;470.0
369;All countries;Noord-Nederland (LD);2020 September;212.0;401.0
370;All countries;Noord-Nederland (LD);2020 3rd quarter;672.0;1305.0
371;All countries;Noord-Nederland (LD);2020 October;137.0;251.0
372;All countries;Noord-Nederland (LD);2020 November;86.0;144.0
373;All countries;Noord-Nederland (LD);2020 December;66.0;112.0
374;All countries;Noord-Nederland (LD);2020 4th quarter;289.0;506.0
375;All countries;Noord-Nederland (LD);2020;1488.0;2741.0
376;All countries;Noord-Nederland (LD);2021 January;32.0;57.0
377;All countries;Noord-Nederland (LD);2021 February;48.0;81.0
378;All countries;Noord-Nederland (LD);2021 March;59.0;102.0
379;All countries;Noord-Nederland (LD);2021 1th quarter;138.0;240.0
380;All countries;Noord-Nederland (LD);2021 April;89.0;160.0
381;All countries;Noord-Nederland (LD);2021 May;149.0;264.0
382;All countries;Noord-Nederland (LD);2021 June;169.0;317.0
383;All countries;Noord-Nederland (LD);2021 2nd quarter;407.0;741.0
384;All countries;Noord-Nederland (LD);2021 July;213.0;415.0
385;All countries;Noord-Nederland (LD);2021 August;238.0;465.0
386;All countries;Noord-Nederland (LD);2021 September;209.0;398.0
387;All countries;Noord-Nederland (LD);2021 3rd quarter;659.0;1278.0
388;All countries;Noord-Nederland (LD);2021 October;190.0;341.0
389;All countries;Noord-Nederland (LD);2021 November;122.0;216.0
390;All countries;Noord-Nederland (LD);2021 December;64.0;112.0
391;All countries;Noord-Nederland (LD);2021 4th quarter;376.0;668.0
392;All countries;Noord-Nederland (LD);2021;1580.0;2926.0
393;All countries;Noord-Nederland (LD);2022 January;65.0;127.0
394;All countries;Noord-Nederland (LD);2022 February;98.0;174.0
395;All countries;Noord-Nederland (LD);2022 March;149.0;257.0
396;All countries;Noord-Nederland (LD);2022 1th quarter;312.0;558.0
397;All countries;Noord-Nederland (LD);2022 April;181.0;339.0
398;All countries;Noord-Nederland (LD);2022 May;218.0;391.0
399;All countries;Noord-Nederland (LD);2022 June;228.0;420.0
400;All countries;Noord-Nederland (LD);2022 2nd quarter;627.0;1150.0
401;All countries;Noord-Nederland (LD);2022 July;236.0;453.0
402;All countries;Noord-Nederland (LD);2022 August;251.0;492.0
403;All countries;Noord-Nederland (LD);2022 September;227.0;409.0
404;All countries;Noord-Nederland (LD);2022 3rd quarter;713.0;1355.0
405;All countries;Noord-Nederland (LD);2022 October;220.0;389.0
406;All countries;Noord-Nederland (LD);2022 November;168.0;287.0
407;All countries;Noord-Nederland (LD);2022 December;151.0;258.0
408;All countries;Noord-Nederland (LD);2022 4th quarter;538.0;934.0
409;All countries;Noord-Nederland (LD);2022;2190.0;3997.0
410;All countries;Noord-Nederland (LD);2023 January;120.0;205.0
411;All countries;Noord-Nederland (LD);2023 February;127.0;219.0
412;All countries;Noord-Nederland (LD);2023 March;171.0;290.0
413;All countries;Noord-Nederland (LD);2023 1st quarter;418.0;714.0
414;All countries;Noord-Nederland (LD);2023 April;195.0;346.0
415;All countries;Noord-Nederland (LD);2023 May;205.0;384.0
416;All countries;Noord-Nederland (LD);2023 June;211.0;400.0
417;All countries;Noord-Nederland (LD);2023 2nd quarter;611.0;1130.0
418;All countries;Noord-Nederland (LD);2023 July;231.0;466.0
419;All countries;Noord-Nederland (LD);2023 August;228.0;456.0
420;All countries;Noord-Nederland (LD);2023 September;208.0;392.0
421;All countries;Noord-Nederland (LD);2023 3rd quarter;666.0;1314.0
422;All countries;Noord-Nederland (LD);2023 October;183.0;343.0
423;All countries;Noord-Nederland (LD);2023 November;150.0;253.0
424;All countries;Noord-Nederland (LD);2023 December;138.0;245.0
425;All countries;Noord-Nederland (LD);2023 4th quarter;470.0;842.0
426;All countries;Noord-Nederland (LD);2023;2165.0;3999.0
427;All countries;Noord-Nederland (LD);2024 January;147.0;259.0
428;All countries;Noord-Nederland (LD);2024 February;147.0;255.0
429;All countries;Noord-Nederland (LD);2024 March;181.0;338.0
430;All countries;Noord-Nederland (LD);2024 1st quarter;475.0;852.0
431;All countries;Noord-Nederland (LD);2024 April;188.0;331.0
432;All countries;Noord-Nederland (LD);2024 May;227.0;417.0
433;All countries;Noord-Nederland (LD);2024 June;229.0;425.0
434;All countries;Noord-Nederland (LD);2024 2nd quarter;645.0;1173.0
435;All countries;Noord-Nederland (LD);2024 July;237.0;462.0
436;All countries;Noord-Nederland (LD);2024 August;258.0;518.0
437;All countries;Noord-Nederland (LD);2024 September;232.0;436.0
438;All countries;Noord-Nederland (LD);2024 3rd quarter;726.0;1417.0
439;All countries;Noord-Nederland (LD);2024 October;203.0;371.0
440;All countries;Noord-Nederland (LD);2024 November;168.0;306.0
441;All countries;Noord-Nederland (LD);2024 December;156.0;268.0
442;All countries;Noord-Nederland (LD);2024 4th quarter;527.0;945.0
443;All countries;Noord-Nederland (LD);2024;2376.0;4395.0
444;All countries;Noord-Nederland (LD);2025 January;138.0;236.0
445;All countries;Noord-Nederland (LD);2025 February;143.0;246.0
446;All countries;Oost-Nederland (LD);2012 January;174.0;260.0
447;All countries;Oost-Nederland (LD);2012 February;196.0;296.0
448;All countries;Oost-Nederland (LD);2012 March;222.0;339.0
449;All countries;Oost-Nederland (LD);2012 1st quarter;592.0;895.0
450;All countries;Oost-Nederland (LD);2012 April;243.0;403.0
451;All countries;Oost-Nederland (LD);2012 May;254.0;426.0
452;All countries;Oost-Nederland (LD);2012 June;242.0;404.0
453;All countries;Oost-Nederland (LD);2012 2nd quarter;739.0;1233.0
454;All countries;Oost-Nederland (LD);2012 July;260.0;482.0
455;All countries;Oost-Nederland (LD);2012 August;279.0;507.0
456;All countries;Oost-Nederland (LD);2012 September;261.0;431.0
457;All countries;Oost-Nederland (LD);2012 3rd quarter;799.0;1421.0
458;All countries;Oost-Nederland (LD);2012 October;250.0;399.0
459;All countries;Oost-Nederland (LD);2012 November;211.0;321.0
460;All countries;Oost-Nederland (LD);2012 December;182.0;291.0
461;All countries;Oost-Nederland (LD);2012 4th quarter;643.0;1010.0
462;All countries;Oost-Nederland (LD);2012;2773.0;4559.0
463;All countries;Oost-Nederland (LD);2013 January;142.0;215.0
464;All countries;Oost-Nederland (LD);2013 February;162.0;247.0
465;All countries;Oost-Nederland (LD);2013 March;205.0;316.0
466;All countries;Oost-Nederland (LD);2013 1st quarter;509.0;779.0
467;All countries;Oost-Nederland (LD);2013 April;219.0;360.0
468;All countries;Oost-Nederland (LD);2013 May;253.0;421.0
469;All countries;Oost-Nederland (LD);2013 June;243.0;412.0
