ID;Vakantiekenmerken;Perioden;TotaalAantalVakanties_1;GemiddeldeVakantieduur_2;Belgie_3;Frankrijk_4;Duitsland_5;OverigeLanden_6;GeorganiseerdeReisPerAuto_7;GeorganiseerdeReisPerTouringcar_8;GeorganiseerdeReisPerVliegtuig_9;GeorganiseerdeReisMetOverigVervoer_10;NietGeorganiseerdeReizen_11;TotaleUitgavenVoorVakanties_12;TotaalGemUitgavenPerVakantieganger_13;MetEigenVervoer_14;MetOverigVervoer_15
25;Oostenrijk;2001;24.0;;;;;24.0;;;;;;11.0;;;
26;Oostenrijk;2002;17.0;;;;;17.0;;;;;;10.0;;;
27;Oostenrijk;2003;32.0;;;;;;6.0;;7.0;2.0;12.0;17.0;;;
28;Zwitserland;2000;6.0;;;;;6.0;;;;;;3.0;;;
29;Zwitserland;2001;15.0;;;;;15.0;;;;;;3.0;;;
30;Zwitserland;2002;36.0;;;;;36.0;;;;;;;;;
31;Zwitserland;2003;32.0;;;;;;5.0;;20.0;1.0;3.0;11.0;;;
32;Groot-Brittannië;2000;265.0;;;;;265.0;;;;;;95.0;;;
33;Groot-Brittannië;2001;217.0;;;;;217.0;;;;;;;;;
34;Groot-Brittannië;2002;345.0;3.3;;;;345.0;;;;;;127.0;369.0;;
35;Groot-Brittannië;2003;371.0;3.3;;;;;14.0;;155.0;142.0;35.0;105.0;284.0;;
36;Noorwegen, Zweden, Finland;2000;8.0;;;;;8.0;;;;;;;;;
37;Noorwegen, Zweden, Finland;2001;3.0;;;;;3.0;;;;;;;;;
38;Noorwegen, Zweden, Finland;2002;14.0;;;;;14.0;;;;;;;;;
39;Noorwegen, Zweden, Finland;2003;21.0;;;;;;;;16.0;;5.0;12.0;;;
40;Denemarken;2000;6.0;;;;;6.0;;;;;;;;;
41;Denemarken;2001;33.0;;;;;33.0;;;;;;;;;
42;Denemarken;2002;10.0;;;;;10.0;;;;;;;;;
43;Denemarken;2003;23.0;;;;;;2.0;;2.0;;16.0;5.0;;;
44;Duitsland;2000;642.0;3.3;;;642.0;;101.0;38.0;8.0;25.0;471.0;82.0;128.0;;
45;Duitsland;2001;550.0;3.3;;;550.0;;80.0;70.0;6.0;15.0;379.0;79.0;144.0;;
46;Duitsland;2002;983.0;3.3;;;983.0;;193.0;43.0;7.0;78.0;663.0;177.0;180.0;;
47;Duitsland;2003;931.0;3.2;;;931.0;;259.0;;4.0;63.0;536.0;148.0;159.0;149.0;
48;Italië;2000;33.0;;;;;33.0;;;;;;18.0;;;
49;Italië;2001;27.0;;;;;27.0;;;;;;17.0;;;
50;Italië;2002;43.0;;;;;43.0;;;;;;23.0;;;
51;Italië;2003;53.0;;;;;;7.0;;35.0;;4.0;32.0;;;
52;Griekenland;2000;5.0;;;;;5.0;;;;;;3.0;;;
53;Griekenland;2001;6.0;;;;;6.0;;;;;;3.0;;;
54;Griekenland;2002;2.0;;;;;2.0;;;;;;1.0;;;
55;Griekenland;2003;0.0;;;;;;;;;;;;;;
56;Hongarije;2000;2.0;;;;;2.0;;;;;;;;;
57;Hongarije;2001;6.0;;;;;6.0;;;;;;;;;
58;Hongarije;2002;5.0;;;;;5.0;;;;;;;;;
59;Hongarije;2003;4.0;;;;;;;;4.0;;;3.0;;;
60;Tsjechië;2000;30.0;;;;;30.0;;;;;;;;;
61;Tsjechië;2001;24.0;;;;;24.0;;;;;;;;;
62;Tsjechië;2002;28.0;;;;;28.0;;;;;;;;;
63;Tsjechië;2003;23.0;;;;;;11.0;;4.0;5.0;3.0;5.0;;;
64;Turkije;2000;0.0;;;;;0.0;;;;;;0.0;;;
65;Turkije;2001;0.0;;;;;0.0;;;;;;0.0;;;
66;Turkije;2002;8.0;;;;;8.0;;;;;;7.0;;;
67;Turkije;2003;4.0;;;;;;;;4.0;;;2.0;;;
68;Egypte;2000;;;;;;;;;;;;;;;
69;Egypte;2001;0.0;;;;;0.0;;;;;;;;;
70;Egypte;2002;0.0;;;;;0.0;;;;;;;;;
71;Egypte;2003;3.0;;;;;;;;3.0;;;2.0;;;
72;Verre Oosten;2000;0.0;;;;;0.0;;;;;;;;;
73;Verre Oosten;2001;0.0;;;;;0.0;;;;;;;;;
74;Verre Oosten;2002;0.0;;;;;0.0;;;;;;;;;
75;Verre Oosten;2003;2.0;;;;;;;;2.0;;;2.0;;;
76;Verenigde Staten;2000;0.0;;;;;0.0;;;;;;;;;
77;Verenigde Staten;2001;0.0;;;;;0.0;;;;;;;;;
78;Verenigde Staten;2002;6.0;;;;;6.0;;;;;;;;;
79;Verenigde Staten;2003;7.0;;;;;;;;7.0;;;3.0;;;
80;Caribisch gebied;2000;0.0;;;;;0.0;;;;;;;;;
81;Caribisch gebied;2001;0.0;;;;;0.0;;;;;;;;;
82;Caribisch gebied;2002;0.0;;;;;0.0;;;;;;;;;
83;Caribisch gebied;2003;0.0;;;;;;;;;;;;;;
84;Overige landen;2000;8.0;;;;;8.0;;;;;;;;;
85;Overige landen;2001;16.0;;;;;16.0;;;;;;;;;
86;Overige landen;2002;37.0;;;;;37.0;;;;;;;;;
87;Overige landen;2003;16.0;;;;;;;;12.0;;;13.0;;;
88;Seizoenrecreatieve logiesvormen;2000;252.0;;81.0;0.0;156.0;;;;;;252.0;10.0;;;
89;Seizoenrecreatieve logiesvormen;2001;128.0;;54.0;0.0;50.0;;;;;;128.0;8.0;;;
90;Seizoenrecreatieve logiesvormen;2002;194.0;;159.0;1.0;31.0;3.0;;;;;194.0;7.0;;;
91;Seizoenrecreatieve logiesvormen;2003;;;;;;;;;;;230.0;11.0;;;
92;SL: zomerhuisje, bungalow, tweede woning;2000;115.0;;61.0;0.0;44.0;;;;;;;;;;
93;SL: zomerhuisje, bungalow, tweede woning;2001;14.0;;4.0;0.0;0.0;;;;;;;;;;
94;SL: zomerhuisje, bungalow, tweede woning;2002;60.0;;54.0;0.0;6.0;0.0;;;;;;;;;
95;SL: zomerhuisje, bungalow, tweede woning;2003;;;;;;;;;;;67.0;5.0;;;
96;SL: caravan, vouwwagen;2000;137.0;;20.0;0.0;112.0;;;;;;;;;;
97;SL: caravan, vouwwagen;2001;114.0;;51.0;0.0;50.0;;;;;;;;;;
98;SL: caravan, vouwwagen;2002;123.0;;104.0;1.0;14.0;3.0;;;;;;;;;
99;SL: caravan, vouwwagen;2003;;;;;;;;;;;161.0;6.0;;;
100;SL: boot;2000;0.0;;0.0;0.0;0.0;;;;;;;;;;
101;SL: boot;2001;0.0;;0.0;0.0;0.0;;;;;;;;;;
102;SL: boot;2002;0.0;;0.0;0.0;0.0;0.0;;;;;;;;;
103;SL: boot;2003;;;;;;;;;;;;;;;
104;Overige seizoenrecreatieve logiesvormen;2000;0.0;;0.0;0.0;0.0;;;;;;;;;;
105;Overige seizoenrecreatieve logiesvormen;2001;0.0;;0.0;0.0;0.0;;;;;;;;;;
106;Overige seizoenrecreatieve logiesvormen;2002;10.0;;0.0;0.0;10.0;0.0;;;;;;;;;
107;Overige seizoenrecreatieve logiesvormen;2003;;;3.0;;;;;;;;3.0;0.0;;;
108;Toeristische logiesvormen;2000;2139.0;3.2;626.0;528.0;486.0;;428.0;327.0;260.0;211.0;913.0;495.0;231.0;;
109;Toeristische logiesvormen;2001;2300.0;3.3;746.0;618.0;499.0;;464.0;274.0;162.0;208.0;1191.0;457.0;199.0;;
110;Toeristische logiesvormen;2002;3391.0;3.3;1050.0;672.0;952.0;716.0;830.0;189.0;360.0;451.0;1561.0;860.0;254.0;;
111;Toeristische logiesvormen;2003;3226.0;3.3;1055.0;562.0;897.0;712.0;923.0;;348.0;404.0;1309.0;719.0;223.0;173.0;325.0
112;TL: woning familie,vrienden of kennissen;2000;;;;;;;;;;;;;;;
113;TL: woning familie,vrienden of kennissen;2001;;;;;;;;;;;;;;;
114;TL: woning familie,vrienden of kennissen;2002;444.0;3.1;130.0;48.0;177.0;88.0;;;;;;69.0;155.0;;
115;TL: woning familie,vrienden of kennissen;2003;422.0;3.2;128.0;45.0;144.0;105.0;9.0;;68.0;17.0;321.0;58.0;137.0;99.0;
116;TL: woning van andere particulier;2000;61.0;;0.0;12.0;21.0;;;;;;;10.0;;;
117;TL: woning van andere particulier;2001;78.0;;9.0;12.0;18.0;;;;;;;15.0;;;
118;TL: woning van andere particulier;2002;66.0;;42.0;2.0;8.0;15.0;;;;;;11.0;;;
119;TL: woning van andere particulier;2003;81.0;;41.0;;34.0;6.0;23.0;;;5.0;45.0;10.0;0.0;;
120;TL: hotel;2000;1519.0;3.2;330.0;470.0;336.0;;322.0;296.0;249.0;159.0;494.0;417.0;275.0;;
121;TL: hotel;2001;1400.0;3.2;287.0;492.0;390.0;;326.0;232.0;143.0;114.0;584.0;337.0;241.0;;
122;TL: hotel;2002;1841.0;3.3;451.0;507.0;473.0;410.0;534.0;161.0;285.0;301.0;560.0;596.0;324.0;;
123;TL: hotel;2003;1727.0;3.2;461.0;424.0;435.0;407.0;522.0;;243.0;259.0;504.0;493.0;285.0;217.0;378.0
124;TL: pension, bed & breakfast;2000;;;;;;;;;;;;;;;
125;TL: pension, bed & breakfast;2001;;;;;;;;;;;;;;;
126;TL: pension, bed & breakfast;2002;111.0;;22.0;14.0;52.0;23.0;;;;;;23.0;;;
127;TL: pension, bed & breakfast;2003;104.0;;19.0;9.0;45.0;32.0;24.0;;20.0;14.0;47.0;20.0;0.0;;
128;TL: appartement;2000;66.0;;19.0;2.0;32.0;;;;;;;11.0;;;
129;TL: appartement;2001;97.0;;25.0;19.0;28.0;;;;;;;19.0;;;
130;TL: appartement;2002;61.0;;14.0;13.0;20.0;14.0;;;;;;17.0;;;
131;TL: appartement;2003;65.0;;19.0;12.0;18.0;16.0;27.0;;3.0;3.0;32.0;13.0;0.0;;
132;TL: zomerhuisje, vakantiebungalow;2000;232.0;;137.0;24.0;69.0;;;;;;;27.0;;;
133;TL: zomerhuisje, vakantiebungalow;2001;316.0;;213.0;57.0;25.0;;;;;;;37.0;;;
134;TL: zomerhuisje, vakantiebungalow;2002;366.0;3.7;212.0;37.0;113.0;4.0;;;;;;58.0;157.0;;
135;TL: zomerhuisje, vakantiebungalow;2003;373.0;3.6;240.0;32.0;89.0;13.0;255.0;;5.0;;113.0;61.0;162.0;160.0;
136;TL: tent, bungalowtent;2000;86.0;;64.0;3.0;9.0;;;;;;;8.0;;;
137;TL: tent, bungalowtent;2001;137.0;;82.0;18.0;18.0;;;;;;;17.0;;;
138;TL: tent, bungalowtent;2002;148.0;;78.0;29.0;18.0;24.0;;;;;;19.0;;;
139;TL: tent, bungalowtent;2003;110.0;;54.0;13.0;28.0;15.0;14.0;;2.0;5.0;86.0;14.0;0.0;;
140;TL: caravan, vouwwagen;2000;39.0;;17.0;6.0;3.0;;;;;;;6.0;;;
141;TL: caravan, vouwwagen;2001;36.0;;14.0;13.0;9.0;;;;;;;4.0;;;
142;TL: caravan, vouwwagen;2002;55.0;;14.0;12.0;9.0;21.0;;;;;;9.0;;;
143;TL: caravan, vouwwagen;2003;73.0;;25.0;13.0;21.0;14.0;7.0;;;;66.0;9.0;0.0;;
144;TL: Camper;2000;42.0;;24.0;8.0;10.0;;;;;;;;;;
145;TL: Camper;2001;27.0;;22.0;3.0;3.0;;;;;;;;;;
146;TL: Camper;2002;68.0;;19.0;3.0;46.0;0.0;;;;;;;;;
147;TL: Camper;2003;49.0;;6.0;8.0;36.0;;4.0;;;;45.0;4.0;0.0;;
148;TL: boot;2000;40.0;;0.0;0.0;5.0;;;;;;;;;;
149;TL: boot;2001;88.0;;2.0;0.0;0.0;;;;;;;;;;
150;TL: boot;2002;94.0;;0.0;0.0;9.0;85.0;;;;;;;;;
151;TL: boot;2003;80.0;;;;5.0;75.0;3.0;;;69.0;5.0;14.0;0.0;;
152;TL: jeugdherberg of andere groepsaccom.;2000;32.0;;27.0;3.0;0.0;;;;;;;;;;
153;TL: jeugdherberg of andere groepsaccom.;2001;72.0;;64.0;4.0;3.0;;;;;;;;;;
154;TL: jeugdherberg of andere groepsaccom.;2002;84.0;;52.0;2.0;15.0;15.0;;;;;;;;;
155;TL: jeugdherberg of andere groepsaccom.;2003;107.0;;51.0;1.0;42.0;13.0;32.0;;4.0;24.0;32.0;16.0;0.0;;
156;Overige toeristische logiesvormen;2000;21.0;;8.0;0.0;3.0;;;;;;;;;;
157;Overige toeristische logiesvormen;2001;51.0;;30.0;0.0;4.0;;;;;;;;;;
158;Overige toeristische logiesvormen;2002;52.0;;17.0;4.0;12.0;19.0;;;;;;;;;
159;Overige toeristische logiesvormen;2003;34.0;;11.0;6.0;1.0;16.0;3.0;;2.0;8.0;14.0;7.0;0.0;;
160;Geboekt bij een reisbureau;2000;815.0;3.3;127.0;307.0;113.0;;;;;;;;;;
161;Geboekt bij een reisbureau;2001;661.0;3.4;96.0;272.0;80.0;;;;;;;;;;
162;Geboekt bij een reisbureau;2002;969.0;3.5;180.0;372.0;118.0;283.0;;;;;;;415.0;;
163;Geboekt bij een reisbureau;2003;864.0;3.4;175.0;263.0;133.0;276.0;;;;;;294.0;361.0;;435.0
164;Geboekt bij een bank, VVV e.d.;2000;211.0;;46.0;76.0;36.0;;;;;;;;;;
165;Geboekt bij een bank, VVV e.d.;2001;212.0;;45.0;57.0;71.0;;;;;;;;;;
166;Geboekt bij een bank, VVV e.d.;2002;213.0;;87.0;50.0;46.0;37.0;;;;;;;;;
167;Geboekt bij een bank, VVV e.d.;2003;420.0;3.2;155.0;60.0;111.0;103.0;;;;;;88.0;223.0;;
168;Geb. boekingscentr. hotel- bungalowketen;2000;;;;;;;;;;;;;;;
169;Geb. boekingscentr. hotel- bungalowketen;2001;;;;;;;;;;;;;;;
170;Geb. boekingscentr. hotel- bungalowketen;2002;225.0;;140.0;19.0;84.0;1.0;;;;;;;;;
171;Geb. boekingscentr. hotel- bungalowketen;2003;281.0;;160.0;31.0;91.0;16.0;;;;;;44.0;;;
172;Rechtstreeks geboekt bij reisorganisatie;2000;200.0;;57.0;31.0;22.0;;;;;;;;;;
173;Rechtstreeks geboekt bij reisorganisatie;2001;235.0;;51.0;103.0;19.0;;;;;;;;;;
174;Rechtstreeks geboekt bij reisorganisatie;2002;423.0;3.4;47.0;52.0;72.0;244.0;;;;;;;408.0;;
175;Rechtstreeks geboekt bij reisorganisatie;2003;351.0;;46.0;49.0;60.0;189.0;;;;;;88.0;;;
176;Log. rechtstr. geres. eigenaar/beheerder;2000;;;;;;;;;;;;;;;
177;Log. rechtstr. geres. eigenaar/beheerder;2001;;;;;;;;;;;;;;;
178;Log. rechtstr. geres. eigenaar/beheerder;2002;;;;;;;;;;;;;;;
179;Log. rechtstr. geres. eigenaar/beheerder;2003;623.0;3.3;264.0;74.0;227.0;58.0;;;;;;122.0;195.0;196.0;
180;Logies niet vooraf geboekt;2000;;;;;;;;;;;;;;;
181;Logies niet vooraf geboekt;2001;;;;;;;;;;;;;;;
182;Logies niet vooraf geboekt;2002;;;;;;;;;;;;;;;
183;Logies niet vooraf geboekt;2003;686.0;3.1;254.0;86.0;276.0;70.0;;;;;;82.0;120.0;119.0;
184;Vaste standplaats, eigen onderkomen;2000;;;;;;;;;;;;;;;
185;Vaste standplaats, eigen onderkomen;2001;;;;;;;;;;;;;;;
186;Vaste standplaats, eigen onderkomen;2002;194.0;;159.0;1.0;31.0;3.0;;;;;;;;;
187;Vaste standplaats, eigen onderkomen;2003;230.0;;184.0;2.0;34.0;10.0;;;;;;11.0;;;
188;Fiets;2000;9.0;;9.0;0.0;0.0;;;;;;;;;;
189;Fiets;2001;10.0;;7.0;0.0;0.0;;;;;;;;;;
190;Fiets;2002;7.0;;2.0;1.0;0.0;3.0;;;;;;;;;
191;Fiets;2003;12.0;;12.0;;;;;;;;;1.0;;;
192;Auto, kampeerauto;2000;1477.0;3.2;556.0;275.0;551.0;;;;;;;211.0;143.0;;
193;Auto, kampeerauto;2001;1636.0;3.2;691.0;382.0;447.0;;;;;;;240.0;147.0;;
194;Auto, kampeerauto;2002;2482.0;3.3;1060.0;429.0;808.0;184.0;;;;;;416.0;168.0;;
195;Auto, kampeerauto;2003;2399.0;3.3;1078.0;354.0;785.0;183.0;;;;;;389.0;162.0;161.0;
196;Trein, autoslaaptrein;2000;201.0;;85.0;59.0;33.0;;;;;;;48.0;;;
197;Trein, autoslaaptrein;2001;175.0;;75.0;68.0;19.0;;;;;;;41.0;;;
198;Trein, autoslaaptrein;2002;282.0;;90.0;102.0;72.0;19.0;;;;;;110.0;;;
199;Trein, autoslaaptrein;2003;260.0;;117.0;68.0;43.0;32.0;;;;;;66.0;;;
200;Touringcar;2000;327.0;;49.0;172.0;38.0;;;;;;;71.0;;;
201;Touringcar;2001;275.0;;10.0;146.0;70.0;;;;;;;55.0;;;
202;Touringcar;2002;191.0;;26.0;86.0;43.0;35.0;;;;;;59.0;;;
203;Touringcar;2003;244.0;;26.0;97.0;69.0;52.0;;;;;;63.0;;;
204;Vliegtuig;2000;271.0;;0.0;22.0;8.0;;;;;;;155.0;;;
205;Vliegtuig;2001;201.0;;0.0;22.0;6.0;;;;;;;100.0;;;
206;Vliegtuig;2002;360.0;3.5;0.0;39.0;7.0;314.0;;;;;;207.0;576.0;;
207;Vliegtuig;2003;348.0;3.4;;31.0;4.0;314.0;;;;;;172.0;493.0;;493.0
208;Boot;2000;6.0;;0.0;0.0;5.0;;;;;;;;;;
209;Boot;2001;10.0;;0.0;0.0;0.0;;;;;;;;;;
210;Boot;2002;46.0;;0.0;0.0;0.0;46.0;;;;;;;;;
211;Boot;2003;48.0;;;;3.0;46.0;;;;;;8.0;;;
212;Veerboot, ferry;2000;80.0;;0.0;0.0;0.0;;;;;;;;;;
213;Veerboot, ferry;2001;90.0;;0.0;0.0;0.0;;;;;;;;;;
214;Veerboot, ferry;2002;96.0;;0.0;0.0;0.0;96.0;;;;;;;;;
215;Veerboot, ferry;2003;77.0;;;;;77.0;;;;;;16.0;;;
216;Overige vervoermiddelen;2000;18.0;;9.0;0.0;8.0;;;;;;;;;;
217;Overige vervoermiddelen;2001;31.0;;17.0;0.0;8.0;;;;;;;;;;
218;Overige vervoermiddelen;2002;121.0;;30.0;16.0;53.0;22.0;;;;;;;;;
219;Overige vervoermiddelen;2003;68.0;;5.0;15.0;28.0;20.0;;;;;;15.0;;197.0;
220;Herfstperiode;2000;513.0;;111.0;85.0;148.0;;;;;;;;;;
221;Herfstperiode;2001;467.0;;159.0;135.0;84.0;;;;;;;;;;
222;Herfstperiode;2002;662.0;;191.0;114.0;223.0;135.0;;;;;;;;;
223;Herfstperiode;2003;550.0;;176.0;88.0;185.0;100.0;;;;;;;;;
224;Kerstperiode;2000;186.0;;48.0;40.0;33.0;;;;;;;;;;
225;Kerstperiode;2001;167.0;;27.0;61.0;41.0;;;;;;;;;;
226;Kerstperiode;2002;466.0;;129.0;87.0;143.0;107.0;;;;;;;;;
227;Kerstperiode;2003;506.0;;163.0;75.0;132.0;136.0;;;;;;;;;
228;Krokusperiode;2000;384.0;;89.0;129.0;80.0;;;;;;;;;;
229;Krokusperiode;2001;277.0;;73.0;103.0;45.0;;;;;;;;;;
230;Krokusperiode;2002;512.0;;146.0;118.0;127.0;121.0;;;;;;;;;
231;Krokusperiode;2003;446.0;;155.0;98.0;111.0;82.0;;;;;;;;;
232;Paasperiode;2000;333.0;;115.0;82.0;53.0;;;;;;;;;;
233;Paasperiode;2001;261.0;;69.0;92.0;61.0;;;;;;;;;;
234;Paasperiode;2002;428.0;;164.0;84.0;91.0;90.0;;;;;;;;;
235;Paasperiode;2003;349.0;;130.0;70.0;85.0;65.0;;;;;;;;;
236;Voorseizoen;2000;466.0;;146.0;132.0;127.0;;;;;;;;;;
237;Voorseizoen;2001;613.0;;258.0;88.0;135.0;;;;;;;;;;
238;Voorseizoen;2002;782.0;;289.0;162.0;202.0;129.0;;;;;;;;;
239;Voorseizoen;2003;849.0;;338.0;144.0;213.0;155.0;;;;;;;;;
240;Hoogseizoen;2000;351.0;;151.0;41.0;126.0;;;;;;;;;;
241;Hoogseizoen;2001;352.0;;136.0;55.0;111.0;;;;;;;;;;
242;Hoogseizoen;2002;409.0;;163.0;65.0;111.0;71.0;;;;;;;;;
243;Hoogseizoen;2003;462.0;;170.0;42.0;112.0;139.0;;;;;;;;;
244;Naseizoen;2000;157.0;;46.0;18.0;75.0;;;;;;;;;;
245;Naseizoen;2001;291.0;;79.0;83.0;73.0;;;;;;;;;;
246;Naseizoen;2002;325.0;;127.0;44.0;86.0;67.0;;;;;;;;;
247;Naseizoen;2003;294.0;;107.0;48.0;93.0;45.0;;;;;;;;;
