ID;Kenmerken;Perioden;DeelnameTotaal_1;Participatiegraad_2;WerkgerelateerdeOpleidingen_3;NietWerkgerelateerdeOpleidingen_4;InitieelOnderwijs_5;PostInitieelOnderwijs_6;RegulierPostInitieelOnderwijs_7;NietRegulierPostInitieelOnderwijs_8;VoltijdOpleidingen_9;SchriftelijkOnderwijs_10;Bedrijfsopleidingen_11
209;Opleidingsduur 1 tot 3 maanden;2009;   142;;   121;    21;      ;   142;      ;   142;    . ;    16;    74
210;Opleidingsduur 3 tot 6 maanden;2003;   154;;   132;    22;      ;   154;      ;   154;.     ;    22;    68
211;Opleidingsduur 3 tot 6 maanden;2004;   149;;   127;    23;      ;   149;      ;   149;.     ;    23;    61
212;Opleidingsduur 3 tot 6 maanden;2005;   144;;   120;    24;      ;   144;      ;   144;.     ;    23;    58
213;Opleidingsduur 3 tot 6 maanden;2006;   143;;   119;    24;      ;   143;      ;   143;.     ;    22;    61
214;Opleidingsduur 3 tot 6 maanden;2007;   150;;   125;    25;      ;   150;      ;   150;.     ;    23;    68
215;Opleidingsduur 3 tot 6 maanden;2008;   155;;   129;    25;      ;   155;      ;   155;    . ;    22;    69
216;Opleidingsduur 3 tot 6 maanden;2009;   150;;   123;    26;      ;   150;      ;   150;    . ;    23;    67
217;Opleidingsduur 6 tot 12 maanden;2003;   138;;   115;    23;     X;   138;     X;   138;     X;    34;.     
218;Opleidingsduur 6 tot 12 maanden;2004;   124;;   104;    20;     X;   124;     X;   122;     2;    31;.     
219;Opleidingsduur 6 tot 12 maanden;2005;   128;;   107;    21;X     ;   128;X     ;   128;X     ;    33;.     
220;Opleidingsduur 6 tot 12 maanden;2006;   131;;   105;    26;     2;   129;     2;   127;     4;    31;.     
221;Opleidingsduur 6 tot 12 maanden;2007;   150;;   119;    31;     4;   147;     3;   143;     7;    33;.     
222;Opleidingsduur 6 tot 12 maanden;2008;   148;;   118;    30;     4;   144;     3;   141;     7;    29;    . 
223;Opleidingsduur 6 tot 12 maanden;2009;   144;;   117;    27;     3;   140;     3;   138;     6;    29;    . 
224;Opleidingsduur 1 tot 2 jaar;2003;   141;;   114;    27;     6;   136;    49;    87;    10;    30;.     
225;Opleidingsduur 1 tot 2 jaar;2004;   163;;   103;    60;    18;   144;    65;    80;    42;    29;.     
226;Opleidingsduur 1 tot 2 jaar;2005;   161;;   100;    61;    19;   143;    61;    82;    44;    33;.     
227;Opleidingsduur 1 tot 2 jaar;2006;   161;;    99;    62;    23;   138;    50;    89;    44;    27;.     
228;Opleidingsduur 1 tot 2 jaar;2007;   165;;   125;    40;    10;   155;    49;   106;    21;    33;.     
229;Opleidingsduur 1 tot 2 jaar;2008;   163;;   132;    31;     7;   156;    47;   110;    11;    32;    . 
230;Opleidingsduur 1 tot 2 jaar;2009;   155;;   124;    31;     7;   148;    43;   105;    10;    30;    . 
231;Opleidingsduur 2 tot 3 jaar;2003;    89;;    72;    18;     6;    83;    34;    49;     8;    13;.     
232;Opleidingsduur 2 tot 3 jaar;2004;    78;;    62;    16;     3;    75;    30;    45;     6;    13;.     
233;Opleidingsduur 2 tot 3 jaar;2005;    67;;    54;    14;     3;    64;    24;    40;     5;    11;.     
234;Opleidingsduur 2 tot 3 jaar;2006;    69;;    51;    18;     6;    63;    21;    42;     9;    10;.     
235;Opleidingsduur 2 tot 3 jaar;2007;    83;;    64;    19;     8;    75;    25;    50;    10;    13;.     
236;Opleidingsduur 2 tot 3 jaar;2008;    86;;    65;    21;     9;    77;    27;    50;    10;    14;    . 
237;Opleidingsduur 2 tot 3 jaar;2009;    81;;    63;    18;     7;    74;    27;    47;     9;    12;    . 
238;Opleidingsduur langer dan 3 jaar;2003;   164;;   100;    65;    29;   135;    55;    81;    34;    23;.     
239;Opleidingsduur langer dan 3 jaar;2004;   161;;   105;    56;    22;   140;    60;    80;    27;    28;.     
240;Opleidingsduur langer dan 3 jaar;2005;   147;;    95;    52;    19;   128;    47;    81;    23;    23;.     
241;Opleidingsduur langer dan 3 jaar;2006;   168;;    96;    71;    33;   135;    44;    91;    38;    23;.     
242;Opleidingsduur langer dan 3 jaar;2007;   186;;   107;    79;    37;   148;    56;    93;    45;    29;.     
243;Opleidingsduur langer dan 3 jaar;2008;   188;;   106;    83;    42;   146;    55;    91;    49;    29;    . 
244;Opleidingsduur langer dan 3 jaar;2009;   184;;   107;    77;    41;   143;    53;    90;    48;    27;    . 
245;Studieverlof;2003;.     ;;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     
246;Studieverlof;2004;.     ;;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     
247;Studieverlof;2005;.     ;;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     
248;Studieverlof;2006;.     ;;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     
249;Studieverlof;2007;.     ;;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     
250;Studieverlof;2008;   .  ;;   .  ;   .  ;    . ;   .  ;   .  ;   .  ;    . ;   .  ;    . 
251;Studieverlof;2009;   .  ;;   .  ;   .  ;    . ;   .  ;   .  ;   .  ;    . ;    . ;    . 
252;Sector alpha;2003;    95;;    57;    38;     5;    90;    15;    75;     7;    12;.     
253;Sector alpha;2004;    99;;    57;    42;     5;    94;    19;    75;     9;    13;.     
254;Sector alpha;2005;   100;;    58;    42;     5;    95;    15;    80;     8;    14;.     
255;Sector alpha;2006;   109;;    60;    49;    11;    98;    14;    84;    15;    14;.     
256;Sector alpha;2007;   111;;    65;    46;     9;   102;    16;    86;    12;    15;.     
257;Sector alpha;2008;   106;;    59;    47;    10;    97;    16;    81;    12;    14;    . 
258;Sector alpha;2009;   105;;    58;    47;    12;    93;    16;    77;    15;    16;    . 
259;Sector beta;2003;   126;;    94;    33;    13;   113;    42;    71;    19;    17;.     
260;Sector beta;2004;   131;;    90;    41;    14;   117;    52;    65;    28;    18;.     
261;Sector beta;2005;   118;;    83;    35;    13;   105;    40;    65;    23;    17;.     
262;Sector beta;2006;   116;;    75;    40;    18;    98;    32;    65;    28;    16;.     
263;Sector beta;2007;   134;;    94;    39;    17;   116;    40;    76;    26;    20;.     
264;Sector beta;2008;   133;;    95;    38;    17;   116;    39;    77;    22;    20;    . 
265;Sector beta;2009;   122;;    90;    32;    15;   107;    33;    74;    20;    17;    . 
266;Sector economisch;2003;   211;;   178;    32;    15;   196;    47;   149;    21;    53;.     
267;Sector economisch;2004;   192;;   162;    31;    15;   177;    51;   126;    21;    53;.     
268;Sector economisch;2005;   189;;   155;    34;    16;   173;    50;   123;    24;    51;.     
269;Sector economisch;2006;   198;;   154;    44;    23;   175;    46;   129;    33;    46;.     
270;Sector economisch;2007;   222;;   180;    41;    21;   201;    52;   149;    29;    51;.     
271;Sector economisch;2008;   218;;   181;    37;    22;   196;    52;   144;    27;    48;    . 
272;Sector economisch;2009;   208;;   173;    35;    21;   187;    51;   137;    25;    44;    . 
273;Sector sociaal;2003;   109;;    74;    35;     7;   102;    35;    66;    11;    18;.     
274;Sector sociaal;2004;   109;;    69;    39;     9;   100;    37;    63;    19;    18;.     
275;Sector sociaal;2005;   101;;    62;    38;     8;    92;    29;    63;    17;    17;.     
