ID;Landen;Perioden;BreedbandaansluitingenTotaal_1;DSL_2;Kabel_3;GlasvezelLAN_4;OverigeBreedbandaansluitingen_5
71;Denemarken;2006 december;31.9;19.6;9.4;2.6;0.4
72;Denemarken;2007 juni;34.3;21.3;9.7;2.9;0.4
73;Denemarken;2007 december;35.1;20.9;9.9;3.3;0.8
74;Denemarken;2008 juni;36.7;22.5;9.8;3.2;1.1
75;Denemarken;2008 december;37.2;22.6;9.9;3.6;1.1
76;Denemarken;2009 juni;37.0;22.4;9.9;3.9;0.9
77;Denemarken;2009 december;37.5;22.4;10.1;4.2;0.8
78;Denemarken;2010 juni;38.1;22.3;10.0;4.3;1.5
79;Denemarken;2010 december;38.6;22.3;10.1;4.7;1.6
80;Duitsland;2001 juni;0.9;;;;
81;Duitsland;2001 december;2.3;;;;
82;Duitsland;2002 juni;3.2;;;;
83;Duitsland;2002 december;3.9;;;;
84;Duitsland;2003 juni;4.8;;;;
85;Duitsland;2003 december;5.6;;;;
86;Duitsland;2004 juni;6.6;;;;
87;Duitsland;2004 december;8.4;8.1;0.2;;0.1
88;Duitsland;2005 juni;10.2;9.9;0.3;;0.1
89;Duitsland;2005 december;13.0;12.6;0.3;;0.1
90;Duitsland;2006 juni;15.1;14.7;0.3;;0.1
91;Duitsland;2006 december;17.1;16.4;0.5;0.0;0.1
92;Duitsland;2007 juni;21.2;20.2;1.0;0.0;0.1
93;Duitsland;2007 december;23.8;22.5;1.2;0.0;0.1
94;Duitsland;2008 juni;26.2;24.6;1.6;0.0;0.1
95;Duitsland;2008 december;27.4;25.4;1.9;0.0;0.0
96;Duitsland;2009 juni;29.3;26.7;2.4;0.1;0.1
97;Duitsland;2009 december;30.4;27.4;2.8;0.2;0.1
98;Duitsland;2010 juni;31.3;27.9;3.2;0.2;0.1
99;Duitsland;2010 december;32.0;28.1;3.5;0.1;0.2
100;Finland;2001 juni;0.7;;;;
101;Finland;2001 december;1.3;;;;
102;Finland;2002 juni;3.5;;;;
103;Finland;2002 december;5.5;;;;
104;Finland;2003 juni;5.3;;;;
105;Finland;2003 december;9.5;;;;
106;Finland;2004 juni;10.9;;;;
107;Finland;2004 december;15.0;11.2;2.2;;1.6
108;Finland;2005 juni;18.7;16.3;2.2;;0.2
109;Finland;2005 december;22.5;19.5;2.8;;0.1
110;Finland;2006 juni;25.0;21.7;3.1;;0.2
111;Finland;2006 december;27.2;23.5;3.5;0.0;0.3
112;Finland;2007 juni;28.8;24.4;3.7;0.0;0.8
113;Finland;2007 december;30.7;25.6;4.0;0.0;1.1
114;Finland;2008 juni;30.7;26.1;4.0;0.0;0.5
115;Finland;2008 december;30.7;25.9;4.1;0.0;0.7
116;Finland;2009 juni;29.7;24.9;4.1;0.0;0.8
117;Finland;2009 december;27.3;22.2;4.2;0.2;0.7
118;Finland;2010 juni;29.1;21.8;4.3;0.3;2.8
119;Finland;2010 december;29.1;20.7;4.5;0.4;3.5
120;Frankrijk;2001 juni;0.6;;;;
121;Frankrijk;2001 december;1.0;;;;
122;Frankrijk;2002 juni;1.6;;;;
123;Frankrijk;2002 december;2.8;;;;
124;Frankrijk;2003 juni;4.0;;;;
125;Frankrijk;2003 december;5.9;;;;
126;Frankrijk;2004 juni;7.9;;;;
127;Frankrijk;2004 december;10.6;9.9;0.7;;0.0
128;Frankrijk;2005 juni;12.8;11.9;0.8;;0.0
129;Frankrijk;2005 december;15.2;14.3;0.9;;0.0
130;Frankrijk;2006 juni;17.7;16.7;1.0;;0.0
131;Frankrijk;2006 december;20.3;19.1;1.1;0.0;0.0
132;Frankrijk;2007 juni;22.5;21.4;1.1;0.0;0.0
133;Frankrijk;2007 december;24.6;23.4;1.1;0.0;0.0
134;Frankrijk;2008 juni;26.4;25.1;1.3;0.0;0.0
135;Frankrijk;2008 december;28.0;26.6;1.4;0.1;0.0
136;Frankrijk;2009 juni;29.1;27.5;1.6;0.1;0.0
137;Frankrijk;2009 december;30.4;28.7;1.6;0.1;0.0
138;Frankrijk;2010 juni;31.4;29.7;1.6;0.1;0.0
139;Frankrijk;2010 december;33.7;31.5;1.9;0.2;0.0
140;Hongarije;2001 juni;0.1;;;;
141;Hongarije;2001 december;0.3;;;;
142;Hongarije;2002 juni;0.4;;;;
143;Hongarije;2002 december;0.6;;;;
144;Hongarije;2003 juni;1.1;;;;
145;Hongarije;2003 december;2.0;;;;
146;Hongarije;2004 juni;2.5;;;;
147;Hongarije;2004 december;3.6;2.4;1.1;;0.1
148;Hongarije;2005 juni;4.6;2.9;1.6;;0.1
149;Hongarije;2005 december;6.3;4.1;2.1;;0.1
150;Hongarije;2006 juni;7.8;4.8;2.9;;0.1
151;Hongarije;2006 december;11.9;6.1;3.8;0.0;2.0
152;Hongarije;2007 juni;11.6;6.8;4.7;0.0;0.1
153;Hongarije;2007 december;13.6;7.3;5.5;0.0;0.7
154;Hongarije;2008 juni;15.7;7.8;6.5;0.0;1.3
155;Hongarije;2008 december;16.8;7.9;7.6;0.5;0.9
156;Hongarije;2009 juni;16.8;8.2;7.6;1.0;0.0
157;Hongarije;2009 december;17.8;8.2;8.4;1.1;0.1
158;Hongarije;2010 juni;19.6;8.2;8.7;1.8;1.0
159;Hongarije;2010 december;20.6;8.2;9.0;2.4;1.0
160;Ierland;2001 juni;0.0;;;;
161;Ierland;2001 december;;;;;
162;Ierland;2002 juni;0.1;;;;
163;Ierland;2002 december;0.3;;;;
164;Ierland;2003 juni;0.4;;;;
165;Ierland;2003 december;0.8;;;;
166;Ierland;2004 juni;1.6;;;;
167;Ierland;2004 december;3.4;2.9;0.2;;0.3
168;Ierland;2005 juni;4.3;3.5;0.4;;0.5
169;Ierland;2005 december;6.7;5.0;0.6;;1.1
170;Ierland;2006 juni;9.2;6.8;1.0;;1.4
171;Ierland;2006 december;12.5;9.1;1.3;0.0;2.0
172;Ierland;2007 juni;15.4;11.1;1.6;0.0;2.6
173;Ierland;2007 december;18.1;12.9;1.9;0.1;3.1
174;Ierland;2008 juni;19.1;14.0;2.1;0.1;2.8
175;Ierland;2008 december;20.6;15.1;2.4;0.1;2.9
176;Ierland;2009 juni;21.4;15.5;2.8;0.1;3.0
177;Ierland;2009 december;21.9;16.0;3.4;0.1;2.4
178;Ierland;2010 juni;22.3;16.3;3.9;0.1;1.9
179;Ierland;2010 december;22.8;16.4;4.5;0.1;1.8
180;Italië;2001 juni;0.4;;;;
181;Italië;2001 december;0.7;;;;
182;Italië;2002 juni;1.2;;;;
183;Italië;2002 december;1.7;;;;
184;Italië;2003 juni;2.8;;;;
185;Italië;2003 december;4.1;;;;
186;Italië;2004 juni;6.0;;;;
187;Italië;2004 december;8.1;7.6;0.0;;0.5
188;Italië;2005 juni;10.0;9.4;0.0;;0.6
189;Italië;2005 december;11.9;11.3;0.0;;0.6
190;Italië;2006 juni;13.2;12.6;0.0;;0.6
191;Italië;2006 december;14.8;13.8;0.0;0.4;0.6
192;Italië;2007 juni;15.8;15.4;0.0;0.4;0.0
193;Italië;2007 december;17.2;16.6;0.0;0.5;0.2
194;Italië;2008 juni;18.2;17.6;0.0;0.5;0.2
195;Italië;2008 december;19.2;18.5;0.0;0.5;0.1
196;Italië;2009 juni;19.8;19.2;0.0;0.5;0.1
197;Italië;2009 december;20.6;19.9;0.0;0.6;0.1
198;Italië;2010 juni;21.4;20.9;0.0;0.5;0.0
199;Italië;2010 december;22.1;21.6;0.0;0.5;0.0
200;Japan;2001 juni;1.1;;;;
201;Japan;2001 december;2.3;;;;
202;Japan;2002 juni;4.0;;;;
203;Japan;2002 december;6.2;;;;
204;Japan;2003 juni;8.8;;;;
205;Japan;2003 december;10.9;;;;
206;Japan;2004 juni;13.2;;;;
207;Japan;2004 december;15.0;10.4;2.3;;2.3
208;Japan;2005 juni;16.4;11.0;2.4;;3.0
209;Japan;2005 december;17.6;11.3;2.5;;3.8
210;Japan;2006 juni;19.0;11.3;2.7;;4.9
211;Japan;2006 december;20.2;11.1;2.8;6.2;0.0
212;Japan;2007 juni;21.3;10.8;2.9;7.6;0.0
213;Japan;2007 december;22.1;10.3;3.0;8.9;0.0
214;Japan;2008 juni;23.0;9.6;3.1;10.2;0.0
215;Japan;2008 december;23.6;9.1;3.2;11.3;0.0
216;Japan;2009 juni;24.2;8.5;3.3;12.4;0.0
217;Japan;2009 december;24.8;7.9;3.4;13.5;0.0
218;Japan;2010 juni;26.1;7.3;4.2;14.6;0.0
219;Japan;2010 december;26.7;6.7;4.5;15.5;0.0
220;Nederland;2001 juni;2.7;;;;
221;Nederland;2001 december;3.8;;;;
222;Nederland;2002 juni;4.9;;;;
223;Nederland;2002 december;7.0;;;;
224;Nederland;2003 juni;9.1;;;;
225;Nederland;2003 december;11.8;;;;
226;Nederland;2004 juni;15.4;;;;
227;Nederland;2004 december;19.0;11.6;7.4;;0.0
228;Nederland;2005 juni;22.5;13.6;8.9;;0.0
229;Nederland;2005 december;25.3;15.7;9.6;;0.0
230;Nederland;2006 juni;28.8;17.2;11.1;;0.5
231;Nederland;2006 december;31.8;19.5;12.0;0.4;0.0
232;Nederland;2007 juni;33.5;20.4;12.7;0.4;0.0
233;Nederland;2007 december;34.8;20.7;13.4;0.4;0.2
234;Nederland;2008 juni;35.5;21.2;13.7;0.4;0.2
235;Nederland;2008 december;35.8;21.8;13.4;0.6;0.0
236;Nederland;2009 juni;38.1;22.5;13.7;1.1;0.8
237;Nederland;2009 december;37.1;22.1;14.2;0.8;0.0
238;Nederland;2010 juni;37.8;22.1;14.8;0.9;0.0
239;Nederland;2010 december;38.1;21.6;15.4;1.1;0.0
240;Oostenrijk;2001 juni;2.4;;;;
241;Oostenrijk;2001 december;3.6;;;;
242;Oostenrijk;2002 juni;4.6;;;;
243;Oostenrijk;2002 december;5.6;;;;
244;Oostenrijk;2003 juni;6.5;;;;
245;Oostenrijk;2003 december;7.6;;;;
246;Oostenrijk;2004 juni;8.6;;;;
247;Oostenrijk;2004 december;10.2;5.5;4.7;;0.1
248;Oostenrijk;2005 juni;12.5;7.0;5.4;;0.1
249;Oostenrijk;2005 december;14.1;8.1;5.8;;0.2
250;Oostenrijk;2006 juni;17.7;11.2;6.3;;0.2
251;Oostenrijk;2006 december;17.3;10.6;6.4;0.0;0.3
252;Oostenrijk;2007 juni;18.6;11.4;6.6;0.0;0.6
253;Oostenrijk;2007 december;19.6;11.9;7.0;0.0;0.6
254;Oostenrijk;2008 juni;20.6;12.9;7.1;0.1;0.5
255;Oostenrijk;2008 december;21.6;13.9;7.2;0.1;0.5
256;Oostenrijk;2009 juni;21.8;14.5;6.8;0.1;0.5
257;Oostenrijk;2009 december;22.4;15.1;6.8;0.1;0.5
258;Oostenrijk;2010 juni;23.3;15.9;6.9;0.1;0.4
259;Oostenrijk;2010 december;24.2;16.7;7.0;0.1;0.4
260;Polen;2001 juni;;;;;
261;Polen;2001 december;0.1;;;;
262;Polen;2002 juni;0.2;;;;
263;Polen;2002 december;0.3;;;;
264;Polen;2003 juni;0.4;;;;
265;Polen;2003 december;0.8;;;;
266;Polen;2004 juni;1.2;;;;
267;Polen;2004 december;2.1;1.3;0.8;;0.0
268;Polen;2005 juni;3.3;2.5;0.7;;0.1
269;Polen;2005 december;2.4;1.6;0.7;;0.1
270;Polen;2006 juni;5.3;3.9;1.3;;0.1
271;Polen;2006 december;6.9;5.2;1.6;0.0;0.1
272;Polen;2007 juni;8.0;5.5;2.4;0.0;0.1
273;Polen;2007 december;8.8;6.2;2.5;0.0;0.1
274;Polen;2008 juni;9.6;6.7;2.7;0.0;0.1
275;Polen;2008 december;10.5;7.2;3.1;0.0;0.1
276;Polen;2009 juni;11.3;7.4;3.7;0.1;0.1
277;Polen;2009 december;12.1;8.1;3.9;0.1;0.0
278;Polen;2010 juni;13.7;7.6;4.0;0.2;1.8
279;Polen;2010 december;16.4;8.1;4.4;0.2;3.7
280;Spanje;2001 juni;0.5;;;;
281;Spanje;2001 december;1.2;;;;
282;Spanje;2002 juni;2.1;;;;
283;Spanje;2002 december;3.0;;;;
284;Spanje;2003 juni;4.2;;;;
285;Spanje;2003 december;5.4;;;;
286;Spanje;2004 juni;6.5;;;;
287;Spanje;2004 december;8.1;;;;
288;Spanje;2005 juni;9.3;7.0;2.2;;0.1
289;Spanje;2005 december;11.7;9.2;2.5;;0.1
290;Spanje;2006 juni;13.6;10.5;3.1;;0.1
291;Spanje;2006 december;15.3;12.1;3.1;0.0;0.1
292;Spanje;2007 juni;17.0;13.3;3.6;0.0;0.1
293;Spanje;2007 december;18.0;14.3;3.7;0.1;0.0
294;Spanje;2008 juni;19.8;15.5;3.9;0.1;0.3
295;Spanje;2008 december;20.8;16.5;4.0;0.1;0.2
296;Spanje;2009 juni;20.8;16.6;4.0;0.1;0.2
297;Spanje;2009 december;21.3;17.1;4.0;0.1;0.1
298;Spanje;2010 juni;22.4;18.0;4.1;0.1;0.2
299;Spanje;2010 december;23.4;18.9;4.3;0.1;0.1
300;Tsjechië;2001 juni;0.1;;;;
301;Tsjechië;2001 december;0.1;;;;
302;Tsjechië;2002 juni;0.1;;;;
303;Tsjechië;2002 december;0.2;;;;
304;Tsjechië;2003 juni;0.3;;;;
305;Tsjechië;2003 december;0.5;;;;
306;Tsjechië;2004 juni;0.8;;;;
307;Tsjechië;2004 december;2.5;;;;
308;Tsjechië;2005 juni;2.8;1.8;1.0;;0.0
309;Tsjechië;2005 december;6.4;3.0;1.4;;2.0
310;Tsjechië;2006 juni;9.4;3.9;2.0;;3.5
311;Tsjechië;2006 december;10.6;4.8;2.1;0.0;3.7
312;Tsjechië;2007 juni;12.2;5.5;2.5;0.3;3.9
313;Tsjechië;2007 december;14.6;6.0;3.0;0.5;5.1
314;Tsjechië;2008 juni;15.8;6.3;3.4;0.6;5.5
315;Tsjechië;2008 december;17.2;6.8;3.7;0.7;6.0
316;Tsjechië;2009 juni;18.1;7.0;3.9;0.9;6.3
317;Tsjechië;2009 december;19.3;7.4;4.2;1.3;6.5
318;Tsjechië;2010 juni;20.2;7.7;4.5;1.5;6.5
319;Tsjechië;2010 december;21.5;8.2;4.8;1.7;6.8
320;Verenigd Koninkrijk;2001 juni;0.3;;;;
321;Verenigd Koninkrijk;2001 december;0.6;;;;
322;Verenigd Koninkrijk;2002 juni;1.3;;;;
323;Verenigd Koninkrijk;2002 december;2.3;;;;
324;Verenigd Koninkrijk;2003 juni;3.7;;;;
325;Verenigd Koninkrijk;2003 december;5.4;;;;
326;Verenigd Koninkrijk;2004 juni;7.4;;;;
327;Verenigd Koninkrijk;2004 december;10.5;7.1;3.4;;0.0
328;Verenigd Koninkrijk;2005 juni;13.5;9.7;3.8;;0.0
329;Verenigd Koninkrijk;2005 december;15.9;11.5;4.4;;0.0
330;Verenigd Koninkrijk;2006 juni;19.4;14.6;4.9;;0.0
331;Verenigd Koninkrijk;2006 december;21.6;16.5;5.1;0.0;0.0
332;Verenigd Koninkrijk;2007 juni;23.7;18.4;5.3;0.0;0.0
333;Verenigd Koninkrijk;2007 december;25.8;20.1;5.6;0.0;0.1
334;Verenigd Koninkrijk;2008 juni;27.6;21.7;5.9;0.0;0.1
335;Verenigd Koninkrijk;2008 december;28.5;22.4;6.1;0.0;0.1
336;Verenigd Koninkrijk;2009 juni;28.9;22.8;6.1;0.0;0.1
337;Verenigd Koninkrijk;2009 december;29.5;23.3;6.2;0.0;0.0
338;Verenigd Koninkrijk;2010 juni;30.5;24.1;6.4;0.0;0.0
339;Verenigd Koninkrijk;2010 december;32.0;25.1;6.6;0.2;0.0
340;Verenigde Staten;2001 juni;3.4;;;;
341;Verenigde Staten;2001 december;4.4;;;;
342;Verenigde Staten;2002 juni;5.5;;;;
343;Verenigde Staten;2002 december;6.7;;;;
344;Verenigde Staten;2003 juni;7.9;;;;
345;Verenigde Staten;2003 december;9.6;;;;
346;Verenigde Staten;2004 juni;10.9;;;;
347;Verenigde Staten;2004 december;13.0;4.7;7.4;;0.9
348;Verenigde Staten;2005 juni;14.5;5.5;8.0;;1.1
349;Verenigde Staten;2005 december;16.8;6.5;9.0;;1.3
350;Verenigde Staten;2006 juni;19.2;8.0;9.8;;1.4
351;Verenigde Staten;2006 december;19.6;8.5;10.3;0.3;0.6
352;Verenigde Staten;2007 juni;22.1;9.3;11.5;0.6;0.7
353;Verenigde Staten;2007 december;23.3;10.0;12.0;0.6;0.7
354;Verenigde Staten;2008 juni;25.0;10.1;13.2;0.9;0.8
355;Verenigde Staten;2008 december;26.7;11.1;13.7;1.0;0.9
356;Verenigde Staten;2009 juni;26.7;10.3;13.8;1.6;0.9
357;Verenigde Staten;2009 december;26.9;10.7;14.1;1.3;0.7
358;Verenigde Staten;2010 juni;26.6;10.1;14.3;1.4;0.8
359;Verenigde Staten;2010 december;28.3;10.9;15.0;1.6;0.8
360;Zuid-Korea;2001 juni;14.1;;;;
361;Zuid-Korea;2001 december;19.7;;;;
362;Zuid-Korea;2002 juni;22.1;;;;
363;Zuid-Korea;2002 december;24.3;;;;
364;Zuid-Korea;2003 juni;25.1;;;;
365;Zuid-Korea;2003 december;26.1;;;;
366;Zuid-Korea;2004 juni;26.2;;;;
367;Zuid-Korea;2004 december;24.9;14.1;8.5;;2.2
368;Zuid-Korea;2005 juni;25.5;13.9;8.9;;2.7
369;Zuid-Korea;2005 december;25.4;13.6;8.3;;3.4
370;Zuid-Korea;2006 juni;26.4;13.2;8.8;;4.5
371;Zuid-Korea;2006 december;29.1;11.4;10.7;7.0;0.0
372;Zuid-Korea;2007 juni;29.9;10.1;10.6;9.2;0.0
373;Zuid-Korea;2007 december;30.5;9.5;10.5;10.4;0.0
374;Zuid-Korea;2008 juni;31.2;8.4;10.5;12.2;0.0
375;Zuid-Korea;2008 december;32.0;7.7;10.5;13.8;0.0
376;Zuid-Korea;2009 juni;32.8;7.2;10.5;15.1;0.0
377;Zuid-Korea;2009 december;33.5;6.6;10.6;16.4;0.0
378;Zuid-Korea;2010 juni;34.4;5.9;10.6;17.9;0.0
379;Zuid-Korea;2010 december;34.0;5.0;10.2;18.8;0.0
380;Zweden;2001 juni;3.1;;;;
381;Zweden;2001 december;5.1;;;;
382;Zweden;2002 juni;6.7;;;;
383;Zweden;2002 december;8.2;;;;
384;Zweden;2003 juni;9.2;;;;
385;Zweden;2003 december;10.6;;;;
386;Zweden;2004 juni;12.4;;;;
387;Zweden;2004 december;14.5;9.5;2.6;;2.5
388;Zweden;2005 juni;16.5;11.3;2.7;;2.5
389;Zweden;2005 december;20.3;13.3;3.4;;3.6
390;Zweden;2006 juni;22.7;14.4;4.3;;4.0
391;Zweden;2006 december;26.0;16.0;5.2;0.0;4.8
392;Zweden;2007 juni;28.6;17.9;5.6;4.6;0.4
393;Zweden;2007 december;30.3;18.9;5.9;5.5;0.1
394;Zweden;2008 juni;32.3;19.9;6.4;6.0;0.1
395;Zweden;2008 december;32.0;19.1;6.2;6.5;0.2
396;Zweden;2009 juni;31.6;18.5;6.3;6.7;0.1
397;Zweden;2009 december;32.4;17.8;6.2;7.4;1.0
398;Zweden;2010 juni;31.7;17.5;6.3;7.8;0.1
399;Zweden;2010 december;31.9;17.0;6.4;8.4;0.2
400;EU-15;2001 juni;;;;;
401;EU-15;2001 december;1.6;;;;
402;EU-15;2002 juni;2.3;;;;
403;EU-15;2002 december;3.4;;;;
404;EU-15;2003 juni;4.6;;;;
405;EU-15;2003 december;5.9;;;;
406;EU-15;2004 juni;;;;;
407;EU-15;2004 december;9.7;;;;
408;EU-15;2005 juni;;;;;
409;EU-15;2005 december;14.2;;;;
410;EU-15;2006 juni;16.5;13.7;2.5;;0.3
411;EU-15;2006 december;;;;;
412;EU-15;2007 juni;;;;;
413;EU-15;2007 december;;;;;
414;EU-15;2008 juni;;;;;
415;EU-15;2008 december;;;;;
416;EU-15;2009 juni;;;;;
417;EU-15;2009 december;;;;;
418;EU-15;2010 juni;;;;;
419;EU-15;2010 december;;;;;
420;EU-25;2001 juni;;;;;
421;EU-25;2001 december;;;;;
422;EU-25;2002 juni;;;;;
423;EU-25;2002 december;;;;;
424;EU-25;2003 juni;;;;;
425;EU-25;2003 december;;;;;
426;EU-25;2004 juni;;;;;
427;EU-25;2004 december;;;;;
428;EU-25;2005 juni;;;;;
429;EU-25;2005 december;;;;;
430;EU-25;2006 juni;;;;;
431;EU-25;2006 december;;;;;
432;EU-25;2007 juni;;;;;
433;EU-25;2007 december;;;;;
434;EU-25;2008 juni;;;;;
435;EU-25;2008 december;;;;;
436;EU-25;2009 juni;;;;;
437;EU-25;2009 december;;;;;
438;EU-25;2010 juni;;;;;
439;EU-25;2010 december;;;;;
440;OESO;2001 juni;2.0;;;;
441;OESO;2001 december;2.9;;;;
442;OESO;2002 juni;3.8;;;;
443;OESO;2002 december;4.8;;;;
444;OESO;2003 juni;5.9;;;;
445;OESO;2003 december;7.1;;;;
446;OESO;2004 juni;8.3;;;;
447;OESO;2004 december;10.2;6.2;3.4;;0.7
448;OESO;2005 juni;11.8;7.2;3.8;;0.8
449;OESO;2005 december;13.6;8.4;4.2;;1.0
450;OESO;2006 juni;15.5;9.7;4.6;;1.2
451;OESO;2006 december;16.9;10.5;4.9;1.1;0.3
452;OESO;2007 juni;18.8;11.6;5.4;1.4;0.3
453;OESO;2007 december;20.0;12.3;5.7;1.7;0.3
454;OESO;2008 juni;21.3;12.8;6.1;1.9;0.4
455;OESO;2008 december;22.6;13.6;6.4;2.2;0.4
456;OESO;2009 juni;22.8;13.7;6.6;2.1;0.5
457;OESO;2009 december;23.3;13.9;6.7;2.6;0.1
458;OESO;2010 juni;24.2;13.9;7.0;2.8;0.5
459;OESO;2010 december;25.3;14.3;7.3;3.1;0.5
