ID;SBI93;Perioden;Bedrijven_1;TotaalAantalWerkzamePersonen_2;TotaalAantalFTE_3;AantalWerknemersVanDeEigenLoonlijst_4;AantalFTEVanDeEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;NettoOmzetTotaal_7;NettoOmzetHoofdactiviteitTotaal_8;VerkopenVanZelfvervaardigdeProducten_9;IndustrieleDiensten_10;NettoOmzetNevenactiviteitenTotaal_11;VerkopenVanHandelsgoederen_12;NietIndustrieleDiensten_13;NettoOmzetBuitenland_14;OmzetHoofdactiviteitTotaalBuitenland_15;VerkopenUitProductieInEULanden_16;VerkopenUitProductieInOverigeLanden_17;IndustrieleDienstenEULanden_18;IndustrieleDienstenOverigeLanden_19;OmzetUitNevenactiviteitenBuitenland_20;VerkopenHandelsgoederenEULanden_21;VerkopenHandelsgoederenOverigeLanden_22;NietIndustrieleDienstenEULanden_23;NietIndustrieleDienstenOverigeLanden_24;TotaalOverigeBedrijfsopbrengsten_25;Voorraadmutaties_26;Beginvoorraad_27;Eindvoorraad_28;VergoedingenUitgeleendPersoneel_29;GeactiveerdeKostenZelfvervaardigde_30;OntvangenRestitutieSubsidiebedragen_31;BedrijfsschadeUitkeringen_32;OverigeOpbrengstenNietEldersGes_33;TotaleBedrijfslasten_34;InkoopwaardeOmzetTotaal_35;InkoopwaardeGrondEnHulpstoffen_36;BeginvoorraadGrondEnHulpstoffen_37;InkopenGrondEnHulpstoffen_38;EindvoorraadGrondEnHulpstoffen_39;InkoopwaardeHandelsgoederen_40;BeginvoorraadHandelsgoederen_41;InkoopkostenVanHandelsgoederen_42;EindvoorraadHandelsgoederen_43;TotaalOverigeInkoopwaarde_44;KostenUitbesteedWerk_45;InkoopwaardeNietEldersGenoemd_46;Arbeidskosten_47;BrutoLonenEnSalarissen_48;WerkgeversdeelSocVerzekeringspremies_49;PremiesPensioenVUTInkoopsommenEnz_50;OverigeSocialeLasten_51;OverigeBedrijfslasten_52;OverigeKostenMBTPersoneel_53;BetaaldeBedragenAanUitzendbedrijven_54;KostenIngehuurdPersoneel_55;KostenStudieOfOpleiding_56;OverigePersoneelskosten_57;KostenVervoermiddelen_58;KostenHuurEnLeaseVanVervoermiddelen_59;KostenReparatieOnderhoudVervoermid_60;BrandstofkostenVervoermiddelen_61;Motorrijtuigenbelasting_62;KostenVerzekeringVervoermiddelen_63;OverigeAutokosten_64;KostenEnergieverbruik_65;KostenAardgasverbruik_66;KostenElektriciteitsverbruik_67;KostenVerbruikOverigeEnergiedragers_68;KostenVanHuisvesting_69;KostenHuurLeaseGebouwenTerreinen_70;KostenOnderhoudRepGebouwenTerreinen_71;SchoonmaakkostenVanGebouwenEnTerrein_72;MilieuheffingenEnZuiveringslasten_73;Onroerendezaakbelasting_74;KostenVerzekeringGebouwenEnTerreinen_75;OverigeHuisvestingskosten_76;KostenMachinesInstallatiesED_77;KostenHuurLeaseMachInstallatED_78;KostenReparatieMachinesED_79;OverigeMachineEnInventariskosten_80;Verkoopkosten_81;ReclameBeursEnRepresentatiekosten_82;Agentenprovisie_83;KostenReisVerblijfEnRepresentatie_84;OnderzoekOntwikkelingDoorDerden_85;OverigeVerkoopkosten_86;Communicatiekosten_87;KostenVanDienstverleningDoorDerden_88;Bankzaken_89;OverigeVerzekeringspremies_90;AccountantsEnAdvieskosten_91;Automatiseringskosten_92;KostenVuilafvoerEnVuilverwerking_93;OvKostenDienstverleningDoorDerden_94;OverigeBedrijfslasten_95;OctrooirechtenLicenties_96;BetalingenIntraconcerndienstenBeheer_97;KantoorbehoeftenContributiesAbonnement_98;KostenOverigeHuurOperationeleLease_99;OverigeKostprijsverhogendeBelastingen_100;KostenOnderhoudRepOverigeActiva_101;OngespecificeerdeAlgemeneKosten_102;AfschrijvingenOpVasteActiva_103;Bedrijfsresultaat_104;FinancieleLasten_105;FinancieelResultaat_106;FinancieleBaten_107;SaldoVoorzieningen_108;OnttrekkingenVrijvalVanVoorzieningen_109;ToevoegingenAanVoorzieningen_110;SaldoBuitengewoneBatenMinusLasten_111;BuitengewoneBaten_112;BuitengewoneLasten_113;ResultaatVoorBelastingen_114
10;DA Vervaardiging van voedings- en..;2004;220.0;897.0;835.0;770.0;717.0;42420.0;41860.0;35258.0;35069.0;189.0;6601.0;6268.0;333.0;19990.0;17964.0;14791.0;3057.0;61.0;55.0;2026.0;1586.0;384.0;31.0;25.0;561.0;-88.0;2252.0;2164.0;9.0;15.0;367.0;20.0;238.0;39186.0;26676.0;21758.0;1629.0;21971.0;1842.0;4404.0;232.0;4407.0;236.0;515.0;413.0;102.0;3770.0;2949.0;393.0;364.0;64.0;7564.0;742.0;474.0;70.0;37.0;161.0;159.0;80.0;23.0;31.0;3.0;4.0;19.0;513.0;237.0;209.0;67.0;416.0;111.0;77.0;93.0;64.0;14.0;41.0;16.0;543.0;68.0;435.0;40.0;1210.0;758.0;122.0;84.0;99.0;148.0;57.0;496.0;13.0;47.0;90.0;148.0;53.0;146.0;3428.0;361.0;489.0;49.0;28.0;2256.0;14.0;231.0;1175.0;3234.0;453.0;489.0;942.0;-23.0;69.0;92.0;-132.0;153.0;284.0;3569.0
11;DA Vervaardiging van voedings- en..;2005;215.0;862.0;801.0;732.0;683.0;42246.0;41721.0;34413.0;34265.0;148.0;7308.0;7051.0;257.0;18599.0;16644.0;13085.0;3465.0;44.0;50.0;1955.0;1543.0;398.0;1.0;13.0;525.0;-21.0;1734.0;1909.0;3.0;14.0;306.0;8.0;215.0;38893.0;26360.0;20280.0;1740.0;20090.0;1550.0;5554.0;258.0;5521.0;225.0;526.0;411.0;115.0;3640.0;2861.0;369.0;336.0;73.0;7822.0;795.0;512.0;58.0;39.0;186.0;189.0;85.0;22.0;35.0;3.0;4.0;41.0;573.0;264.0;247.0;62.0;411.0;111.0;79.0;90.0;61.0;15.0;38.0;18.0;564.0;62.0;463.0;39.0;1259.0;768.0;134.0;87.0;97.0;174.0;58.0;464.0;13.0;48.0;100.0;118.0;46.0;139.0;3509.0;331.0;521.0;70.0;31.0;2313.0;17.0;226.0;1072.0;3353.0;453.0;617.0;1070.0;-96.0;52.0;148.0;-44.0;149.0;193.0;3830.0
12;15 Vervaardiging van voedingsmiddelen..;2000;225.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;15 Vervaardiging van voedingsmiddelen..;2001;230.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;15 Vervaardiging van voedingsmiddelen..;2002;245.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;15 Vervaardiging van voedingsmiddelen..;2003;240.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;15 Vervaardiging van voedingsmiddelen..;2004;210.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;15 Vervaardiging van voedingsmiddelen..;2005;210.0;815.0;757.0;690.0;644.0;36791.0;36311.0;29657.0;29514.0;143.0;6654.0;6398.0;256.0;15551.0;13778.0;10435.0;3249.0;44.0;50.0;1773.0;1397.0;363.0;0.0;13.0;480.0;-20.0;1556.0;1732.0;3.0;13.0;304.0;8.0;170.0;34810.0;25206.0;19453.0;1309.0;19458.0;1314.0;5306.0;224.0;5290.0;208.0;448.0;335.0;112.0;3402.0;2671.0;355.0;306.0;69.0;5203.0;746.0;498.0;53.0;33.0;162.0;182.0;80.0;21.0;34.0;3.0;4.0;40.0;560.0;262.0;238.0;60.0;395.0;107.0;76.0;85.0;60.0;14.0;35.0;17.0;522.0;48.0;444.0;30.0;1081.0;666.0;99.0;80.0;83.0;151.0;55.0;442.0;12.0;46.0;86.0;115.0;45.0;138.0;1220.0;63.0;387.0;67.0;31.0;446.0;17.0;208.0;1000.0;1980.0;422.0;10.0;432.0;-85.0;46.0;130.0;-49.0;129.0;178.0;1857.0
18;151 Slachterijen en vleesverwerking;2000;60.0;213.0;197.0;157.0;147.0;6222.0;6187.0;5933.0;;;255.0;;;0.0;;;;;;;;;;;35.0;-5.0;155.0;150.0;2.0;0.0;29.0;1.0;7.0;6143.0;4879.0;4603.0;105.0;4565.0;67.0;222.0;7.0;222.0;7.0;53.0;32.0;21.0;513.0;420.0;63.0;22.0;8.0;657.0;226.0;144.0;51.0;4.0;27.0;38.0;8.0;3.0;7.0;1.0;1.0;19.0;45.0;13.0;31.0;2.0;57.0;13.0;5.0;22.0;9.0;1.0;2.0;4.0;62.0;6.0;50.0;6.0;103.0;45.0;19.0;6.0;6.0;26.0;6.0;52.0;1.0;5.0;9.0;6.0;10.0;21.0;68.0;0.0;19.0;6.0;1.0;6.0;0.0;36.0;97.0;79.0;43.0;-35.0;8.0;-2.0;6.0;8.0;3.0;14.0;11.0;45.0
19;151 Slachterijen en vleesverwerking;2001;60.0;201.0;186.0;155.0;143.0;5986.0;5897.0;5594.0;5579.0;15.0;303.0;302.0;1.0;2586.0;2539.0;2475.0;64.0;0.0;0.0;47.0;40.0;0.0;7.0;0.0;90.0;52.0;127.0;179.0;1.0;0.0;14.0;1.0;21.0;5843.0;4600.0;4283.0;81.0;4285.0;83.0;249.0;7.0;251.0;9.0;67.0;38.0;29.0;533.0;437.0;64.0;26.0;6.0;609.0;218.0;152.0;36.0;5.0;25.0;24.0;7.0;3.0;5.0;1.0;1.0;7.0;44.0;14.0;29.0;1.0;59.0;14.0;6.0;21.0;9.0;2.0;2.0;6.0;55.0;6.0;46.0;3.0;86.0;39.0;20.0;4.0;6.0;17.0;6.0;51.0;1.0;5.0;9.0;7.0;15.0;14.0;66.0;1.0;19.0;5.0;1.0;8.0;1.0;31.0;102.0;144.0;53.0;-39.0;14.0;4.0;10.0;6.0;-11.0;14.0;25.0;97.0
20;151 Slachterijen en vleesverwerking;2002;60.0;199.0;180.0;151.0;141.0;5597.0;5605.0;5352.0;5349.0;3.0;253.0;253.0;1.0;2379.0;2348.0;2275.0;73.0;0.0;0.0;31.0;31.0;0.0;0.0;0.0;-8.0;-35.0;158.0;123.0;3.0;0.0;9.0;3.0;12.0;5487.0;4200.0;3942.0;85.0;3932.0;74.0;207.0;7.0;209.0;9.0;50.0;23.0;27.0;519.0;420.0;63.0;29.0;6.0;658.0;235.0;166.0;36.0;4.0;29.0;21.0;8.0;3.0;5.0;0.0;1.0;5.0;42.0;13.0;28.0;1.0;67.0;12.0;9.0;26.0;10.0;1.0;3.0;5.0;60.0;8.0;50.0;2.0;98.0;40.0;25.0;4.0;5.0;24.0;6.0;58.0;2.0;6.0;9.0;8.0;16.0;19.0;71.0;2.0;17.0;6.0;2.0;5.0;0.0;40.0;109.0;109.0;50.0;-44.0;6.0;-3.0;5.0;8.0;1.0;36.0;36.0;63.0
21;151 Slachterijen en vleesverwerking;2003;55.0;185.0;171.0;141.0;131.0;4967.0;4956.0;4767.0;4757.0;9.0;190.0;186.0;4.0;2163.0;2117.0;2053.0;64.0;0.0;0.0;46.0;46.0;0.0;0.0;0.0;11.0;-13.0;127.0;114.0;2.0;0.0;3.0;3.0;16.0;4852.0;3622.0;3399.0;63.0;3397.0;61.0;156.0;6.0;156.0;5.0;67.0;37.0;30.0;517.0;418.0;61.0;34.0;5.0;609.0;208.0;150.0;25.0;4.0;30.0;21.0;7.0;4.0;5.0;0.0;1.0;4.0;40.0;13.0;27.0;1.0;67.0;12.0;9.0;26.0;9.0;1.0;4.0;5.0;60.0;11.0;46.0;2.0;89.0;35.0;22.0;4.0;4.0;24.0;7.0;64.0;1.0;6.0;7.0;7.0;18.0;24.0;53.0;3.0;14.0;6.0;1.0;4.0;0.0;26.0;104.0;115.0;44.0;-33.0;10.0;-10.0;5.0;15.0;-3.0;11.0;14.0;68.0
