ID;Waterschapsheffingen;Waterschappen;Perioden;Begroting_1;Realisatie_2
69;Bruto waterschapsheffingen;Waterschap Roer en Overmaas (WS);2018;;
70;Bruto waterschapsheffingen;Waterschap Roer en Overmaas (WS);2019;;
71;Bruto waterschapsheffingen;Waterschap Roer en Overmaas (WS);2020;;
72;Bruto waterschapsheffingen;Waterschap Roer en Overmaas (WS);2021;;
73;Bruto waterschapsheffingen;Waterschap Roer en Overmaas (WS);2022;;
74;Bruto waterschapsheffingen;Waterschap Roer en Overmaas (WS);2023;;
75;Bruto waterschapsheffingen;Waterschap Roer en Overmaas (WS);2024;;
76;Bruto waterschapsheffingen;Waterschap Roer en Overmaas (WS);2025;;
77;Bruto waterschapsheffingen;Hoogheemraadschap van Rijnland (WS);2015;178.0;176.0
78;Bruto waterschapsheffingen;Hoogheemraadschap van Rijnland (WS);2016;187.0;188.0
79;Bruto waterschapsheffingen;Hoogheemraadschap van Rijnland (WS);2017;196.0;199.0
80;Bruto waterschapsheffingen;Hoogheemraadschap van Rijnland (WS);2018;200.0;204.0
81;Bruto waterschapsheffingen;Hoogheemraadschap van Rijnland (WS);2019;204.0;211.0
82;Bruto waterschapsheffingen;Hoogheemraadschap van Rijnland (WS);2020;213.0;213.0
83;Bruto waterschapsheffingen;Hoogheemraadschap van Rijnland (WS);2021;224.0;227.0
84;Bruto waterschapsheffingen;Hoogheemraadschap van Rijnland (WS);2022;228.0;230.0
85;Bruto waterschapsheffingen;Hoogheemraadschap van Rijnland (WS);2023;239.0;243.0
86;Bruto waterschapsheffingen;Hoogheemraadschap van Rijnland (WS);2024;273.0;
87;Bruto waterschapsheffingen;Hoogheemraadschap van Rijnland (WS);2025;314.0;
88;Bruto waterschapsheffingen;Waterschap Rivierenland (WS);2015;159.0;161.0
89;Bruto waterschapsheffingen;Waterschap Rivierenland (WS);2016;164.0;166.0
90;Bruto waterschapsheffingen;Waterschap Rivierenland (WS);2017;168.0;170.0
91;Bruto waterschapsheffingen;Waterschap Rivierenland (WS);2018;174.0;177.0
92;Bruto waterschapsheffingen;Waterschap Rivierenland (WS);2019;183.0;182.0
93;Bruto waterschapsheffingen;Waterschap Rivierenland (WS);2020;193.0;196.0
94;Bruto waterschapsheffingen;Waterschap Rivierenland (WS);2021;201.0;204.0
95;Bruto waterschapsheffingen;Waterschap Rivierenland (WS);2022;211.0;215.0
96;Bruto waterschapsheffingen;Waterschap Rivierenland (WS);2023;227.0;232.0
97;Bruto waterschapsheffingen;Waterschap Rivierenland (WS);2024;243.0;
98;Bruto waterschapsheffingen;Waterschap Rivierenland (WS);2025;255.0;
99;Bruto waterschapsheffingen;Hhs De Stichtse Rijnlanden (WS);2015;111.0;113.0
100;Bruto waterschapsheffingen;Hhs De Stichtse Rijnlanden (WS);2016;114.0;115.0
101;Bruto waterschapsheffingen;Hhs De Stichtse Rijnlanden (WS);2017;118.0;120.0
102;Bruto waterschapsheffingen;Hhs De Stichtse Rijnlanden (WS);2018;124.0;127.0
103;Bruto waterschapsheffingen;Hhs De Stichtse Rijnlanden (WS);2019;130.0;130.0
104;Bruto waterschapsheffingen;Hhs De Stichtse Rijnlanden (WS);2020;134.0;136.0
105;Bruto waterschapsheffingen;Hhs De Stichtse Rijnlanden (WS);2021;138.0;139.0
106;Bruto waterschapsheffingen;Hhs De Stichtse Rijnlanden (WS);2022;143.0;145.0
107;Bruto waterschapsheffingen;Hhs De Stichtse Rijnlanden (WS);2023;151.0;148.0
108;Bruto waterschapsheffingen;Hhs De Stichtse Rijnlanden (WS);2024;163.0;
109;Bruto waterschapsheffingen;Hhs De Stichtse Rijnlanden (WS);2025;177.0;
110;Bruto waterschapsheffingen;Waterschap Peel en Maasvallei (WS);2015;54.0;55.0
111;Bruto waterschapsheffingen;Waterschap Peel en Maasvallei (WS);2016;53.0;53.0
112;Bruto waterschapsheffingen;Waterschap Peel en Maasvallei (WS);2017;;
113;Bruto waterschapsheffingen;Waterschap Peel en Maasvallei (WS);2018;;
114;Bruto waterschapsheffingen;Waterschap Peel en Maasvallei (WS);2019;;
115;Bruto waterschapsheffingen;Waterschap Peel en Maasvallei (WS);2020;;
116;Bruto waterschapsheffingen;Waterschap Peel en Maasvallei (WS);2021;;
117;Bruto waterschapsheffingen;Waterschap Peel en Maasvallei (WS);2022;;
118;Bruto waterschapsheffingen;Waterschap Peel en Maasvallei (WS);2023;;
119;Bruto waterschapsheffingen;Waterschap Peel en Maasvallei (WS);2024;;
120;Bruto waterschapsheffingen;Waterschap Peel en Maasvallei (WS);2025;;
121;Bruto waterschapsheffingen;Waterschap Hunze en Aa's (WS);2015;83.0;84.0
122;Bruto waterschapsheffingen;Waterschap Hunze en Aa's (WS);2016;85.0;85.0
123;Bruto waterschapsheffingen;Waterschap Hunze en Aa's (WS);2017;84.0;85.0
124;Bruto waterschapsheffingen;Waterschap Hunze en Aa's (WS);2018;83.0;83.0
125;Bruto waterschapsheffingen;Waterschap Hunze en Aa's (WS);2019;84.0;85.0
126;Bruto waterschapsheffingen;Waterschap Hunze en Aa's (WS);2020;86.0;88.0
127;Bruto waterschapsheffingen;Waterschap Hunze en Aa's (WS);2021;88.0;92.0
128;Bruto waterschapsheffingen;Waterschap Hunze en Aa's (WS);2022;88.0;91.0
129;Bruto waterschapsheffingen;Waterschap Hunze en Aa's (WS);2023;92.0;93.0
130;Bruto waterschapsheffingen;Waterschap Hunze en Aa's (WS);2024;98.0;
131;Bruto waterschapsheffingen;Waterschap Hunze en Aa's (WS);2025;102.0;
132;Bruto waterschapsheffingen;Waterschap Noorderzijlvest (WS);2015;59.0;59.0
133;Bruto waterschapsheffingen;Waterschap Noorderzijlvest (WS);2016;60.0;61.0
134;Bruto waterschapsheffingen;Waterschap Noorderzijlvest (WS);2017;61.0;62.0
135;Bruto waterschapsheffingen;Waterschap Noorderzijlvest (WS);2018;64.0;64.0
136;Bruto waterschapsheffingen;Waterschap Noorderzijlvest (WS);2019;67.0;68.0
137;Bruto waterschapsheffingen;Waterschap Noorderzijlvest (WS);2020;72.0;74.0
138;Bruto waterschapsheffingen;Waterschap Noorderzijlvest (WS);2021;74.0;76.0
139;Bruto waterschapsheffingen;Waterschap Noorderzijlvest (WS);2022;77.0;80.0
140;Bruto waterschapsheffingen;Waterschap Noorderzijlvest (WS);2023;86.0;89.0
141;Bruto waterschapsheffingen;Waterschap Noorderzijlvest (WS);2024;96.0;
142;Bruto waterschapsheffingen;Waterschap Noorderzijlvest (WS);2025;104.0;
143;Bruto waterschapsheffingen;Waterschap Reest en Wieden (WS);2015;46.0;46.0
144;Bruto waterschapsheffingen;Waterschap Reest en Wieden (WS);2016;;
145;Bruto waterschapsheffingen;Waterschap Reest en Wieden (WS);2017;;
146;Bruto waterschapsheffingen;Waterschap Reest en Wieden (WS);2018;;
147;Bruto waterschapsheffingen;Waterschap Reest en Wieden (WS);2019;;
148;Bruto waterschapsheffingen;Waterschap Reest en Wieden (WS);2020;;
149;Bruto waterschapsheffingen;Waterschap Reest en Wieden (WS);2021;;
150;Bruto waterschapsheffingen;Waterschap Reest en Wieden (WS);2022;;
151;Bruto waterschapsheffingen;Waterschap Reest en Wieden (WS);2023;;
152;Bruto waterschapsheffingen;Waterschap Reest en Wieden (WS);2024;;
153;Bruto waterschapsheffingen;Waterschap Reest en Wieden (WS);2025;;
154;Bruto waterschapsheffingen;Waterschap Zuiderzeeland (WS);2015;71.0;70.0
155;Bruto waterschapsheffingen;Waterschap Zuiderzeeland (WS);2016;71.0;71.0
156;Bruto waterschapsheffingen;Waterschap Zuiderzeeland (WS);2017;72.0;70.0
157;Bruto waterschapsheffingen;Waterschap Zuiderzeeland (WS);2018;74.0;76.0
158;Bruto waterschapsheffingen;Waterschap Zuiderzeeland (WS);2019;76.0;78.0
159;Bruto waterschapsheffingen;Waterschap Zuiderzeeland (WS);2020;79.0;81.0
160;Bruto waterschapsheffingen;Waterschap Zuiderzeeland (WS);2021;83.0;86.0
161;Bruto waterschapsheffingen;Waterschap Zuiderzeeland (WS);2022;86.0;88.0
162;Bruto waterschapsheffingen;Waterschap Zuiderzeeland (WS);2023;93.0;96.0
163;Bruto waterschapsheffingen;Waterschap Zuiderzeeland (WS);2024;103.0;
164;Bruto waterschapsheffingen;Waterschap Zuiderzeeland (WS);2025;114.0;
165;Bruto waterschapsheffingen;Hhs Hollands Noorderkwartier (WS);2015;222.0;224.0
166;Bruto waterschapsheffingen;Hhs Hollands Noorderkwartier (WS);2016;227.0;226.0
167;Bruto waterschapsheffingen;Hhs Hollands Noorderkwartier (WS);2017;227.0;226.0
168;Bruto waterschapsheffingen;Hhs Hollands Noorderkwartier (WS);2018;227.0;227.0
169;Bruto waterschapsheffingen;Hhs Hollands Noorderkwartier (WS);2019;230.0;233.0
170;Bruto waterschapsheffingen;Hhs Hollands Noorderkwartier (WS);2020;237.0;237.0
171;Bruto waterschapsheffingen;Hhs Hollands Noorderkwartier (WS);2021;240.0;239.0
172;Bruto waterschapsheffingen;Hhs Hollands Noorderkwartier (WS);2022;244.0;247.0
173;Bruto waterschapsheffingen;Hhs Hollands Noorderkwartier (WS);2023;255.0;254.0
174;Bruto waterschapsheffingen;Hhs Hollands Noorderkwartier (WS);2024;280.0;
175;Bruto waterschapsheffingen;Hhs Hollands Noorderkwartier (WS);2025;299.0;
176;Bruto waterschapsheffingen;Waterschap Brabantse Delta (WS);2015;117.0;118.0
177;Bruto waterschapsheffingen;Waterschap Brabantse Delta (WS);2016;120.0;124.0
178;Bruto waterschapsheffingen;Waterschap Brabantse Delta (WS);2017;121.0;129.0
179;Bruto waterschapsheffingen;Waterschap Brabantse Delta (WS);2018;129.0;130.0
180;Bruto waterschapsheffingen;Waterschap Brabantse Delta (WS);2019;133.0;135.0
181;Bruto waterschapsheffingen;Waterschap Brabantse Delta (WS);2020;139.0;140.0
182;Bruto waterschapsheffingen;Waterschap Brabantse Delta (WS);2021;146.0;147.0
183;Bruto waterschapsheffingen;Waterschap Brabantse Delta (WS);2022;153.0;156.0
184;Bruto waterschapsheffingen;Waterschap Brabantse Delta (WS);2023;164.0;165.0
185;Bruto waterschapsheffingen;Waterschap Brabantse Delta (WS);2024;180.0;
186;Bruto waterschapsheffingen;Waterschap Brabantse Delta (WS);2025;194.0;
187;Bruto waterschapsheffingen;Wetterskip Fryslân (WS);2015;132.0;132.0
188;Bruto waterschapsheffingen;Wetterskip Fryslân (WS);2016;136.0;137.0
189;Bruto waterschapsheffingen;Wetterskip Fryslân (WS);2017;138.0;139.0
190;Bruto waterschapsheffingen;Wetterskip Fryslân (WS);2018;139.0;137.0
191;Bruto waterschapsheffingen;Wetterskip Fryslân (WS);2019;142.0;143.0
192;Bruto waterschapsheffingen;Wetterskip Fryslân (WS);2020;155.0;156.0
193;Bruto waterschapsheffingen;Wetterskip Fryslân (WS);2021;159.0;164.0
194;Bruto waterschapsheffingen;Wetterskip Fryslân (WS);2022;164.0;167.0
195;Bruto waterschapsheffingen;Wetterskip Fryslân (WS);2023;172.0;175.0
196;Bruto waterschapsheffingen;Wetterskip Fryslân (WS);2024;202.0;
197;Bruto waterschapsheffingen;Wetterskip Fryslân (WS);2025;212.0;
198;Bruto waterschapsheffingen;Waterschap Aa en Maas (WS);2015;113.0;111.0
199;Bruto waterschapsheffingen;Waterschap Aa en Maas (WS);2016;110.0;113.0
200;Bruto waterschapsheffingen;Waterschap Aa en Maas (WS);2017;113.0;116.0
201;Bruto waterschapsheffingen;Waterschap Aa en Maas (WS);2018;117.0;125.0
202;Bruto waterschapsheffingen;Waterschap Aa en Maas (WS);2019;122.0;125.0
203;Bruto waterschapsheffingen;Waterschap Aa en Maas (WS);2020;126.0;128.0
204;Bruto waterschapsheffingen;Waterschap Aa en Maas (WS);2021;131.0;130.0
205;Bruto waterschapsheffingen;Waterschap Aa en Maas (WS);2022;136.0;136.0
206;Bruto waterschapsheffingen;Waterschap Aa en Maas (WS);2023;143.0;145.0
207;Bruto waterschapsheffingen;Waterschap Aa en Maas (WS);2024;148.0;
208;Bruto waterschapsheffingen;Waterschap Aa en Maas (WS);2025;165.0;
209;Bruto waterschapsheffingen;Waterschap Hollandse Delta (WS);2015;155.0;155.0
210;Bruto waterschapsheffingen;Waterschap Hollandse Delta (WS);2016;156.0;155.0
211;Bruto waterschapsheffingen;Waterschap Hollandse Delta (WS);2017;158.0;158.0
212;Bruto waterschapsheffingen;Waterschap Hollandse Delta (WS);2018;161.0;164.0
213;Bruto waterschapsheffingen;Waterschap Hollandse Delta (WS);2019;167.0;167.0
214;Bruto waterschapsheffingen;Waterschap Hollandse Delta (WS);2020;178.0;179.0
215;Bruto waterschapsheffingen;Waterschap Hollandse Delta (WS);2021;189.0;191.0
216;Bruto waterschapsheffingen;Waterschap Hollandse Delta (WS);2022;191.0;189.0
217;Bruto waterschapsheffingen;Waterschap Hollandse Delta (WS);2023;208.0;209.0
218;Bruto waterschapsheffingen;Waterschap Hollandse Delta (WS);2024;222.0;
219;Bruto waterschapsheffingen;Waterschap Hollandse Delta (WS);2025;241.0;
220;Bruto waterschapsheffingen;Hhs van Schieland en Krimpenerwaard (WS);2015;88.0;90.0
221;Bruto waterschapsheffingen;Hhs van Schieland en Krimpenerwaard (WS);2016;90.0;92.0
222;Bruto waterschapsheffingen;Hhs van Schieland en Krimpenerwaard (WS);2017;90.0;93.0
223;Bruto waterschapsheffingen;Hhs van Schieland en Krimpenerwaard (WS);2018;92.0;94.0
224;Bruto waterschapsheffingen;Hhs van Schieland en Krimpenerwaard (WS);2019;92.0;93.0
225;Bruto waterschapsheffingen;Hhs van Schieland en Krimpenerwaard (WS);2020;96.0;100.0
226;Bruto waterschapsheffingen;Hhs van Schieland en Krimpenerwaard (WS);2021;98.0;99.0
227;Bruto waterschapsheffingen;Hhs van Schieland en Krimpenerwaard (WS);2022;102.0;102.0
228;Bruto waterschapsheffingen;Hhs van Schieland en Krimpenerwaard (WS);2023;121.0;122.0
229;Bruto waterschapsheffingen;Hhs van Schieland en Krimpenerwaard (WS);2024;131.0;
230;Bruto waterschapsheffingen;Hhs van Schieland en Krimpenerwaard (WS);2025;146.0;
231;Bruto waterschapsheffingen;Waterschap Scheldestromen (WS);2015;84.0;84.0
232;Bruto waterschapsheffingen;Waterschap Scheldestromen (WS);2016;86.0;85.0
233;Bruto waterschapsheffingen;Waterschap Scheldestromen (WS);2017;88.0;88.0
234;Bruto waterschapsheffingen;Waterschap Scheldestromen (WS);2018;90.0;91.0
235;Bruto waterschapsheffingen;Waterschap Scheldestromen (WS);2019;92.0;94.0
236;Bruto waterschapsheffingen;Waterschap Scheldestromen (WS);2020;96.0;96.0
237;Bruto waterschapsheffingen;Waterschap Scheldestromen (WS);2021;100.0;101.0
238;Bruto waterschapsheffingen;Waterschap Scheldestromen (WS);2022;105.0;108.0
239;Bruto waterschapsheffingen;Waterschap Scheldestromen (WS);2023;116.0;118.0
240;Bruto waterschapsheffingen;Waterschap Scheldestromen (WS);2024;123.0;
241;Bruto waterschapsheffingen;Waterschap Scheldestromen (WS);2025;134.0;
242;Bruto waterschapsheffingen;Waterschap Vallei en Veluwe (WS);2015;128.0;128.0
243;Bruto waterschapsheffingen;Waterschap Vallei en Veluwe (WS);2016;130.0;131.0
244;Bruto waterschapsheffingen;Waterschap Vallei en Veluwe (WS);2017;133.0;136.0
245;Bruto waterschapsheffingen;Waterschap Vallei en Veluwe (WS);2018;138.0;139.0
246;Bruto waterschapsheffingen;Waterschap Vallei en Veluwe (WS);2019;144.0;149.0
247;Bruto waterschapsheffingen;Waterschap Vallei en Veluwe (WS);2020;149.0;148.0
248;Bruto waterschapsheffingen;Waterschap Vallei en Veluwe (WS);2021;153.0;156.0
249;Bruto waterschapsheffingen;Waterschap Vallei en Veluwe (WS);2022;161.0;165.0
250;Bruto waterschapsheffingen;Waterschap Vallei en Veluwe (WS);2023;177.0;180.0
251;Bruto waterschapsheffingen;Waterschap Vallei en Veluwe (WS);2024;199.0;
252;Bruto waterschapsheffingen;Waterschap Vallei en Veluwe (WS);2025;214.0;
253;Bruto waterschapsheffingen;Waterschap Vechtstromen (WS);2015;112.0;112.0
254;Bruto waterschapsheffingen;Waterschap Vechtstromen (WS);2016;114.0;114.0
255;Bruto waterschapsheffingen;Waterschap Vechtstromen (WS);2017;117.0;120.0
256;Bruto waterschapsheffingen;Waterschap Vechtstromen (WS);2018;122.0;125.0
257;Bruto waterschapsheffingen;Waterschap Vechtstromen (WS);2019;126.0;129.0
258;Bruto waterschapsheffingen;Waterschap Vechtstromen (WS);2020;131.0;130.0
259;Bruto waterschapsheffingen;Waterschap Vechtstromen (WS);2021;133.0;136.0
260;Bruto waterschapsheffingen;Waterschap Vechtstromen (WS);2022;139.0;142.0
261;Bruto waterschapsheffingen;Waterschap Vechtstromen (WS);2023;148.0;153.0
262;Bruto waterschapsheffingen;Waterschap Vechtstromen (WS);2024;164.0;
263;Bruto waterschapsheffingen;Waterschap Vechtstromen (WS);2025;182.0;
264;Bruto waterschapsheffingen;WS Drents Overijsselse Delta (WS);2015;;
265;Bruto waterschapsheffingen;WS Drents Overijsselse Delta (WS);2016;115.0;116.0
266;Bruto waterschapsheffingen;WS Drents Overijsselse Delta (WS);2017;115.0;116.0
267;Bruto waterschapsheffingen;WS Drents Overijsselse Delta (WS);2018;112.0;112.0
268;Bruto waterschapsheffingen;WS Drents Overijsselse Delta (WS);2019;118.0;120.0
269;Bruto waterschapsheffingen;WS Drents Overijsselse Delta (WS);2020;121.0;120.0
270;Bruto waterschapsheffingen;WS Drents Overijsselse Delta (WS);2021;126.0;129.0
271;Bruto waterschapsheffingen;WS Drents Overijsselse Delta (WS);2022;131.0;133.0
272;Bruto waterschapsheffingen;WS Drents Overijsselse Delta (WS);2023;143.0;147.0
273;Bruto waterschapsheffingen;WS Drents Overijsselse Delta (WS);2024;161.0;
274;Bruto waterschapsheffingen;WS Drents Overijsselse Delta (WS);2025;169.0;
275;Bruto waterschapsheffingen;Waterschap Limburg (WS);2015;;
276;Bruto waterschapsheffingen;Waterschap Limburg (WS);2016;;
277;Bruto waterschapsheffingen;Waterschap Limburg (WS);2017;134.0;136.0
278;Bruto waterschapsheffingen;Waterschap Limburg (WS);2018;140.0;142.0
279;Bruto waterschapsheffingen;Waterschap Limburg (WS);2019;144.0;145.0
280;Bruto waterschapsheffingen;Waterschap Limburg (WS);2020;161.0;163.0
281;Bruto waterschapsheffingen;Waterschap Limburg (WS);2021;167.0;167.0
282;Bruto waterschapsheffingen;Waterschap Limburg (WS);2022;174.0;174.0
283;Bruto waterschapsheffingen;Waterschap Limburg (WS);2023;197.0;198.0
284;Bruto waterschapsheffingen;Waterschap Limburg (WS);2024;244.0;
285;Bruto waterschapsheffingen;Waterschap Limburg (WS);2025;261.0;
286;Bruto waterschapsheffingen;Waterschap Amstel, Gooi en Vecht (WS);2015;;
287;Bruto waterschapsheffingen;Waterschap Amstel, Gooi en Vecht (WS);2016;;
288;Bruto waterschapsheffingen;Waterschap Amstel, Gooi en Vecht (WS);2017;189.0;194.0
289;Bruto waterschapsheffingen;Waterschap Amstel, Gooi en Vecht (WS);2018;194.0;203.0
290;Bruto waterschapsheffingen;Waterschap Amstel, Gooi en Vecht (WS);2019;201.0;208.0
291;Bruto waterschapsheffingen;Waterschap Amstel, Gooi en Vecht (WS);2020;210.0;207.0
292;Bruto waterschapsheffingen;Waterschap Amstel, Gooi en Vecht (WS);2021;217.0;215.0
293;Bruto waterschapsheffingen;Waterschap Amstel, Gooi en Vecht (WS);2022;229.0;221.0
294;Bruto waterschapsheffingen;Waterschap Amstel, Gooi en Vecht (WS);2023;253.0;245.0
295;Bruto waterschapsheffingen;Waterschap Amstel, Gooi en Vecht (WS);2024;337.0;
296;Bruto waterschapsheffingen;Waterschap Amstel, Gooi en Vecht (WS);2025;377.0;
297;Oninbare bedragen (-);Nederland;2015;19.0;19.0
298;Oninbare bedragen (-);Nederland;2016;21.0;16.0
299;Oninbare bedragen (-);Nederland;2017;22.0;21.0
300;Oninbare bedragen (-);Nederland;2018;19.0;19.0
301;Oninbare bedragen (-);Nederland;2019;18.0;14.0
302;Oninbare bedragen (-);Nederland;2020;18.0;12.0
303;Oninbare bedragen (-);Nederland;2021;22.0;12.0
304;Oninbare bedragen (-);Nederland;2022;18.0;15.0
305;Oninbare bedragen (-);Nederland;2023;18.0;18.0
306;Oninbare bedragen (-);Nederland;2024;21.0;
307;Oninbare bedragen (-);Nederland;2025;22.0;
308;Oninbare bedragen (-);Waterschap Groot Salland (WS);2015;0.0;0.0
309;Oninbare bedragen (-);Waterschap Groot Salland (WS);2016;;
310;Oninbare bedragen (-);Waterschap Groot Salland (WS);2017;;
311;Oninbare bedragen (-);Waterschap Groot Salland (WS);2018;;
312;Oninbare bedragen (-);Waterschap Groot Salland (WS);2019;;
313;Oninbare bedragen (-);Waterschap Groot Salland (WS);2020;;
314;Oninbare bedragen (-);Waterschap Groot Salland (WS);2021;;
315;Oninbare bedragen (-);Waterschap Groot Salland (WS);2022;;
316;Oninbare bedragen (-);Waterschap Groot Salland (WS);2023;;
317;Oninbare bedragen (-);Waterschap Groot Salland (WS);2024;;
318;Oninbare bedragen (-);Waterschap Groot Salland (WS);2025;;
319;Oninbare bedragen (-);Waterschap Rijn en IJssel (WS);2015;0.0;1.0
320;Oninbare bedragen (-);Waterschap Rijn en IJssel (WS);2016;0.0;1.0
321;Oninbare bedragen (-);Waterschap Rijn en IJssel (WS);2017;0.0;1.0
322;Oninbare bedragen (-);Waterschap Rijn en IJssel (WS);2018;1.0;1.0
323;Oninbare bedragen (-);Waterschap Rijn en IJssel (WS);2019;1.0;1.0
324;Oninbare bedragen (-);Waterschap Rijn en IJssel (WS);2020;1.0;0.0
325;Oninbare bedragen (-);Waterschap Rijn en IJssel (WS);2021;1.0;0.0
326;Oninbare bedragen (-);Waterschap Rijn en IJssel (WS);2022;0.0;0.0
327;Oninbare bedragen (-);Waterschap Rijn en IJssel (WS);2023;0.0;0.0
328;Oninbare bedragen (-);Waterschap Rijn en IJssel (WS);2024;0.0;
