ID;Hoofdfuncties;Perioden;TotaalLopendeEnKapitaaluitgaven_1;TotaalLopendeEnKapitaalinkomsten_2;SaldoLopendeEnKapitaalrekening_3;UitgavenLopendeUitgaven_4;InkomstenLopendeInkomsten_5;SaldoLopendeRekening_6;UitgavenKapitaalrekening_7;InkomstenKapiltaalrekening_8;SaldoKapitaalrekening_9
24;3;2006;9282;1325;-7957;8795;1152;-7643;487;174;-314
25;3;2007;10005;1268;-8738;9419;1087;-8332;586;180;-406
26;3;2008;10783;1304;-9479;10307;1109;-9198;476;195;-281
27;3;2009*;11207;1409;-9798;10605;1179;-9426;601;230;-372
28;4;2003;17711;6596;-11115;11606;6335;-5271;6104;261;-5844
29;4;2004;16006;7236;-8770;10572;6870;-3701;5434;366;-5068
30;4;2005;15696;8507;-7189;11109;8337;-2772;4587;170;-4417
31;4;2006;15865;11414;-4451;11381;11136;-245;4484;278;-4206
32;4;2007;17133;10748;-6385;11974;10523;-1451;5160;226;-4934
33;4;2008;17706;15938;-1769;12076;15584;3508;5630;353;-5276
34;4;2009*;21718;12032;-9686;12683;11711;-972;9035;321;-8714
35;5;2003;955;160;-795;551;160;-392;404;0;-404
36;5;2004;992;183;-809;591;183;-408;401;0;-401
37;5;2005;839;199;-640;613;199;-415;226;0;-226
38;5;2006;963;193;-770;710;193;-517;253;0;-253
39;5;2007;1137;189;-948;779;188;-591;358;1;-357
40;5;2008;1157;269;-889;782;198;-584;375;70;-305
41;5;2009*;1412;263;-1150;945;262;-682;468;0;-468
42;6;2003;1623;355;-1269;1014;56;-959;609;299;-310
43;6;2004;1604;452;-1152;852;118;-734;753;334;-418
44;6;2005;1494;424;-1070;775;117;-657;720;307;-413
45;6;2006;1486;483;-1003;776;141;-635;710;343;-368
46;6;2007;1323;501;-822;756;126;-630;567;375;-192
47;6;2008;1618;464;-1153;728;140;-588;889;324;-565
48;6;2009*;2203;470;-1734;1039;131;-909;1164;339;-825
49;7;2003;7700;68;-7631;7677;64;-7613;22;4;-18
50;7;2004;9280;87;-9193;9267;78;-9189;13;9;-4
51;7;2005;9277;166;-9112;9239;155;-9085;38;11;-27
52;7;2006;7926;102;-7824;7907;92;-7815;20;11;-9
53;7;2007;8345;107;-8239;8324;94;-8230;21;13;-9
54;7;2008;9154;212;-8942;9116;197;-8918;38;15;-23
55;7;2009*;9637;138;-9499;9585;124;-9462;51;15;-37
56;8;2003;1755;530;-1224;1585;227;-1359;169;304;134
57;8;2004;1722;225;-1497;1556;224;-1331;166;1;-166
58;8;2005;1769;207;-1562;1587;204;-1383;182;3;-179
59;8;2006;1817;217;-1600;1650;217;-1433;167;1;-166
60;8;2007;1771;223;-1548;1600;222;-1378;171;1;-170
61;8;2008;1924;226;-1698;1740;225;-1515;184;1;-183
62;8;2009*;1935;224;-1711;1788;224;-1564;147;1;-147
63;9;2003;20834;533;-20301;19757;527;-19230;1077;6;-1071
64;9;2004;21604;554;-21050;20416;551;-19865;1189;3;-1185
65;9;2005;22252;322;-21930;20894;317;-20577;1358;5;-1353
66;9;2006;23428;308;-23120;22117;305;-21812;1311;3;-1309
67;9;2007;24103;325;-23778;22473;322;-22151;1630;3;-1627
68;9;2008;25610;334;-25276;23679;331;-23348;1930;3;-1927
69;9;2009*;26992;367;-26625;25040;366;-24674;1952;1;-1951
70;Sociale bescherming;2003;20564;88;-20476;20472;66;-20407;92;22;-70
71;Sociale bescherming;2004;20455;95;-20360;20383;80;-20303;72;15;-57
72;Sociale bescherming;2005;22061;32;-22029;21973;22;-21951;88;10;-78
73;Sociale bescherming;2006;26857;19;-26838;26765;12;-26754;91;7;-84
74;Sociale bescherming;2007;30506;586;-29920;30400;580;-29820;106;6;-100
75;Sociale bescherming;2008;31193;737;-30456;31109;730;-30379;83;7;-77
76;Sociale bescherming;2009*;36949;750;-36199;36813;740;-36073;137;10;-127
