ID;TypeOfMonument;Regions2019;Periods;ListedMonumentsAndHistoricBuildings_1
87;Listed monuments total;Noord-Nederland (LD);1997;6400
88;Listed monuments total;Noord-Nederland (LD);1998;6681
89;Listed monuments total;Noord-Nederland (LD);1999;7083
90;Listed monuments total;Noord-Nederland (LD);2000;7312
91;Listed monuments total;Noord-Nederland (LD);2001;7984
92;Listed monuments total;Noord-Nederland (LD);2002;8068
93;Listed monuments total;Noord-Nederland (LD);2003;8196
94;Listed monuments total;Noord-Nederland (LD);2004;8286
95;Listed monuments total;Noord-Nederland (LD);2005;8400
96;Listed monuments total;Noord-Nederland (LD);2006;8427
97;Listed monuments total;Noord-Nederland (LD);2007;8439
98;Listed monuments total;Noord-Nederland (LD);2008;8439
99;Listed monuments total;Noord-Nederland (LD);2009;8440
100;Listed monuments total;Noord-Nederland (LD);2010;8448
101;Listed monuments total;Noord-Nederland (LD);2011;8457
102;Listed monuments total;Noord-Nederland (LD);2012;8458
103;Listed monuments total;Noord-Nederland (LD);2013;8458
104;Listed monuments total;Noord-Nederland (LD);2014;8465
105;Listed monuments total;Noord-Nederland (LD);2015;8468
106;Listed monuments total;Noord-Nederland (LD);2016;8470
107;Listed monuments total;Noord-Nederland (LD);2017;8472
108;Listed monuments total;Noord-Nederland (LD);2018;8473
109;Listed monuments total;Noord-Nederland (LD);2019;8474
110;Listed monuments total;Oost-Nederland (LD);1965;424
111;Listed monuments total;Oost-Nederland (LD);1966;1283
112;Listed monuments total;Oost-Nederland (LD);1967;1835
113;Listed monuments total;Oost-Nederland (LD);1968;2390
114;Listed monuments total;Oost-Nederland (LD);1969;2439
115;Listed monuments total;Oost-Nederland (LD);1970;2746
116;Listed monuments total;Oost-Nederland (LD);1971;3947
117;Listed monuments total;Oost-Nederland (LD);1972;4516
118;Listed monuments total;Oost-Nederland (LD);1973;5091
119;Listed monuments total;Oost-Nederland (LD);1974;5182
120;Listed monuments total;Oost-Nederland (LD);1975;5311
121;Listed monuments total;Oost-Nederland (LD);1976;5445
122;Listed monuments total;Oost-Nederland (LD);1977;5547
123;Listed monuments total;Oost-Nederland (LD);1978;5680
124;Listed monuments total;Oost-Nederland (LD);1979;5713
125;Listed monuments total;Oost-Nederland (LD);1980;5799
126;Listed monuments total;Oost-Nederland (LD);1981;5845
127;Listed monuments total;Oost-Nederland (LD);1982;5877
128;Listed monuments total;Oost-Nederland (LD);1983;5898
129;Listed monuments total;Oost-Nederland (LD);1984;5914
130;Listed monuments total;Oost-Nederland (LD);1985;5943
131;Listed monuments total;Oost-Nederland (LD);1986;5980
132;Listed monuments total;Oost-Nederland (LD);1987;6005
133;Listed monuments total;Oost-Nederland (LD);1988;6015
134;Listed monuments total;Oost-Nederland (LD);1989;6020
135;Listed monuments total;Oost-Nederland (LD);1990;6038
136;Listed monuments total;Oost-Nederland (LD);1991;6085
137;Listed monuments total;Oost-Nederland (LD);1992;6133
138;Listed monuments total;Oost-Nederland (LD);1993;6180
139;Listed monuments total;Oost-Nederland (LD);1994;6265
140;Listed monuments total;Oost-Nederland (LD);1995;6291
141;Listed monuments total;Oost-Nederland (LD);1996;6294
142;Listed monuments total;Oost-Nederland (LD);1997;6476
143;Listed monuments total;Oost-Nederland (LD);1998;6603
144;Listed monuments total;Oost-Nederland (LD);1999;7089
145;Listed monuments total;Oost-Nederland (LD);2000;7587
146;Listed monuments total;Oost-Nederland (LD);2001;7985
147;Listed monuments total;Oost-Nederland (LD);2002;8763
148;Listed monuments total;Oost-Nederland (LD);2003;8845
149;Listed monuments total;Oost-Nederland (LD);2004;9114
150;Listed monuments total;Oost-Nederland (LD);2005;9583
151;Listed monuments total;Oost-Nederland (LD);2006;9922
152;Listed monuments total;Oost-Nederland (LD);2007;10054
153;Listed monuments total;Oost-Nederland (LD);2008;10106
154;Listed monuments total;Oost-Nederland (LD);2009;10119
155;Listed monuments total;Oost-Nederland (LD);2010;10268
156;Listed monuments total;Oost-Nederland (LD);2011;10307
157;Listed monuments total;Oost-Nederland (LD);2012;10438
158;Listed monuments total;Oost-Nederland (LD);2013;10445
159;Listed monuments total;Oost-Nederland (LD);2014;10525
160;Listed monuments total;Oost-Nederland (LD);2015;10579
161;Listed monuments total;Oost-Nederland (LD);2016;10591
162;Listed monuments total;Oost-Nederland (LD);2017;10606
163;Listed monuments total;Oost-Nederland (LD);2018;10609
164;Listed monuments total;Oost-Nederland (LD);2019;10608
165;Listed monuments total;West-Nederland (LD);1965;485
166;Listed monuments total;West-Nederland (LD);1966;3124
167;Listed monuments total;West-Nederland (LD);1967;5901
168;Listed monuments total;West-Nederland (LD);1968;7522
169;Listed monuments total;West-Nederland (LD);1969;9141
170;Listed monuments total;West-Nederland (LD);1970;15800
171;Listed monuments total;West-Nederland (LD);1971;16404
172;Listed monuments total;West-Nederland (LD);1972;17028
173;Listed monuments total;West-Nederland (LD);1973;18293
174;Listed monuments total;West-Nederland (LD);1974;18806
175;Listed monuments total;West-Nederland (LD);1975;19147
176;Listed monuments total;West-Nederland (LD);1976;19634
177;Listed monuments total;West-Nederland (LD);1977;19828
178;Listed monuments total;West-Nederland (LD);1978;19999
179;Listed monuments total;West-Nederland (LD);1979;20078
180;Listed monuments total;West-Nederland (LD);1980;20181
181;Listed monuments total;West-Nederland (LD);1981;20252
182;Listed monuments total;West-Nederland (LD);1982;20320
183;Listed monuments total;West-Nederland (LD);1983;20367
184;Listed monuments total;West-Nederland (LD);1984;20434
185;Listed monuments total;West-Nederland (LD);1985;20572
186;Listed monuments total;West-Nederland (LD);1986;20613
187;Listed monuments total;West-Nederland (LD);1987;20651
188;Listed monuments total;West-Nederland (LD);1988;20687
189;Listed monuments total;West-Nederland (LD);1989;20737
190;Listed monuments total;West-Nederland (LD);1990;20867
191;Listed monuments total;West-Nederland (LD);1991;21007
192;Listed monuments total;West-Nederland (LD);1992;21262
193;Listed monuments total;West-Nederland (LD);1993;21592
194;Listed monuments total;West-Nederland (LD);1994;21785
195;Listed monuments total;West-Nederland (LD);1995;21836
196;Listed monuments total;West-Nederland (LD);1996;22096
197;Listed monuments total;West-Nederland (LD);1997;22318
198;Listed monuments total;West-Nederland (LD);1998;22940
199;Listed monuments total;West-Nederland (LD);1999;23606
200;Listed monuments total;West-Nederland (LD);2000;24233
201;Listed monuments total;West-Nederland (LD);2001;25568
202;Listed monuments total;West-Nederland (LD);2002;26740
203;Listed monuments total;West-Nederland (LD);2003;27023
204;Listed monuments total;West-Nederland (LD);2004;27420
205;Listed monuments total;West-Nederland (LD);2005;27653
206;Listed monuments total;West-Nederland (LD);2006;27911
207;Listed monuments total;West-Nederland (LD);2007;28015
208;Listed monuments total;West-Nederland (LD);2008;28116
209;Listed monuments total;West-Nederland (LD);2009;28185
210;Listed monuments total;West-Nederland (LD);2010;28318
211;Listed monuments total;West-Nederland (LD);2011;28485
212;Listed monuments total;West-Nederland (LD);2012;28626
213;Listed monuments total;West-Nederland (LD);2013;28727
214;Listed monuments total;West-Nederland (LD);2014;28889
215;Listed monuments total;West-Nederland (LD);2015;28937
216;Listed monuments total;West-Nederland (LD);2016;29110
217;Listed monuments total;West-Nederland (LD);2017;29118
218;Listed monuments total;West-Nederland (LD);2018;29120
219;Listed monuments total;West-Nederland (LD);2019;29118
220;Listed monuments total;Zuid-Nederland (LD);1965;484
221;Listed monuments total;Zuid-Nederland (LD);1966;4121
222;Listed monuments total;Zuid-Nederland (LD);1967;6354
223;Listed monuments total;Zuid-Nederland (LD);1968;6721
224;Listed monuments total;Zuid-Nederland (LD);1969;6823
225;Listed monuments total;Zuid-Nederland (LD);1970;7106
226;Listed monuments total;Zuid-Nederland (LD);1971;7481
227;Listed monuments total;Zuid-Nederland (LD);1972;7688
228;Listed monuments total;Zuid-Nederland (LD);1973;8153
229;Listed monuments total;Zuid-Nederland (LD);1974;8463
230;Listed monuments total;Zuid-Nederland (LD);1975;8592
231;Listed monuments total;Zuid-Nederland (LD);1976;8800
232;Listed monuments total;Zuid-Nederland (LD);1977;8860
233;Listed monuments total;Zuid-Nederland (LD);1978;8936
234;Listed monuments total;Zuid-Nederland (LD);1979;9064
235;Listed monuments total;Zuid-Nederland (LD);1980;9204
236;Listed monuments total;Zuid-Nederland (LD);1981;9239
237;Listed monuments total;Zuid-Nederland (LD);1982;9278
238;Listed monuments total;Zuid-Nederland (LD);1983;9329
239;Listed monuments total;Zuid-Nederland (LD);1984;9604
240;Listed monuments total;Zuid-Nederland (LD);1985;9637
241;Listed monuments total;Zuid-Nederland (LD);1986;9686
242;Listed monuments total;Zuid-Nederland (LD);1987;9700
243;Listed monuments total;Zuid-Nederland (LD);1988;9710
244;Listed monuments total;Zuid-Nederland (LD);1989;9747
245;Listed monuments total;Zuid-Nederland (LD);1990;9760
246;Listed monuments total;Zuid-Nederland (LD);1991;9778
247;Listed monuments total;Zuid-Nederland (LD);1992;9821
248;Listed monuments total;Zuid-Nederland (LD);1993;9878
249;Listed monuments total;Zuid-Nederland (LD);1994;9907
250;Listed monuments total;Zuid-Nederland (LD);1995;9960
251;Listed monuments total;Zuid-Nederland (LD);1996;10054
252;Listed monuments total;Zuid-Nederland (LD);1997;10577
253;Listed monuments total;Zuid-Nederland (LD);1998;10771
254;Listed monuments total;Zuid-Nederland (LD);1999;10940
255;Listed monuments total;Zuid-Nederland (LD);2000;11386
256;Listed monuments total;Zuid-Nederland (LD);2001;12302
257;Listed monuments total;Zuid-Nederland (LD);2002;14135
258;Listed monuments total;Zuid-Nederland (LD);2003;14351
259;Listed monuments total;Zuid-Nederland (LD);2004;14637
260;Listed monuments total;Zuid-Nederland (LD);2005;14699
261;Listed monuments total;Zuid-Nederland (LD);2006;14853
262;Listed monuments total;Zuid-Nederland (LD);2007;14906
263;Listed monuments total;Zuid-Nederland (LD);2008;14906
264;Listed monuments total;Zuid-Nederland (LD);2009;14922
265;Listed monuments total;Zuid-Nederland (LD);2010;14948
266;Listed monuments total;Zuid-Nederland (LD);2011;14979
267;Listed monuments total;Zuid-Nederland (LD);2012;14981
268;Listed monuments total;Zuid-Nederland (LD);2013;15059
269;Listed monuments total;Zuid-Nederland (LD);2014;15065
270;Listed monuments total;Zuid-Nederland (LD);2015;15104
271;Listed monuments total;Zuid-Nederland (LD);2016;15115
272;Listed monuments total;Zuid-Nederland (LD);2017;15119
273;Listed monuments total;Zuid-Nederland (LD);2018;15123
274;Listed monuments total;Zuid-Nederland (LD);2019;15121
275;Listed monuments total;Groningen (PV);1965;0
276;Listed monuments total;Groningen (PV);1966;0
277;Listed monuments total;Groningen (PV);1967;0
278;Listed monuments total;Groningen (PV);1968;81
279;Listed monuments total;Groningen (PV);1969;81
280;Listed monuments total;Groningen (PV);1970;103
281;Listed monuments total;Groningen (PV);1971;489
282;Listed monuments total;Groningen (PV);1972;620
283;Listed monuments total;Groningen (PV);1973;1018
284;Listed monuments total;Groningen (PV);1974;1026
285;Listed monuments total;Groningen (PV);1975;1114
286;Listed monuments total;Groningen (PV);1976;1226
287;Listed monuments total;Groningen (PV);1977;1257
288;Listed monuments total;Groningen (PV);1978;1305
289;Listed monuments total;Groningen (PV);1979;1316
290;Listed monuments total;Groningen (PV);1980;1340
291;Listed monuments total;Groningen (PV);1981;1367
292;Listed monuments total;Groningen (PV);1982;1385
293;Listed monuments total;Groningen (PV);1983;1396
294;Listed monuments total;Groningen (PV);1984;1409
295;Listed monuments total;Groningen (PV);1985;1416
296;Listed monuments total;Groningen (PV);1986;1423
297;Listed monuments total;Groningen (PV);1987;1424
298;Listed monuments total;Groningen (PV);1988;1425
299;Listed monuments total;Groningen (PV);1989;1451
300;Listed monuments total;Groningen (PV);1990;1457
301;Listed monuments total;Groningen (PV);1991;1461
302;Listed monuments total;Groningen (PV);1992;1464
303;Listed monuments total;Groningen (PV);1993;1470
304;Listed monuments total;Groningen (PV);1994;1471
305;Listed monuments total;Groningen (PV);1995;1760
306;Listed monuments total;Groningen (PV);1996;1761
307;Listed monuments total;Groningen (PV);1997;1769
308;Listed monuments total;Groningen (PV);1998;1873
309;Listed monuments total;Groningen (PV);1999;2058
310;Listed monuments total;Groningen (PV);2000;2154
311;Listed monuments total;Groningen (PV);2001;2577
312;Listed monuments total;Groningen (PV);2002;2607
313;Listed monuments total;Groningen (PV);2003;2649
314;Listed monuments total;Groningen (PV);2004;2681
315;Listed monuments total;Groningen (PV);2005;2737
316;Listed monuments total;Groningen (PV);2006;2745
317;Listed monuments total;Groningen (PV);2007;2746
318;Listed monuments total;Groningen (PV);2008;2746
319;Listed monuments total;Groningen (PV);2009;2746
320;Listed monuments total;Groningen (PV);2010;2753
321;Listed monuments total;Groningen (PV);2011;2761
322;Listed monuments total;Groningen (PV);2012;2761
323;Listed monuments total;Groningen (PV);2013;2761
324;Listed monuments total;Groningen (PV);2014;2764
325;Listed monuments total;Groningen (PV);2015;2765
326;Listed monuments total;Groningen (PV);2016;2766
327;Listed monuments total;Groningen (PV);2017;2767
328;Listed monuments total;Groningen (PV);2018;2767
329;Listed monuments total;Groningen (PV);2019;2767
330;Listed monuments total;Friesland (PV);1965;84
331;Listed monuments total;Friesland (PV);1966;587
332;Listed monuments total;Friesland (PV);1967;1325
333;Listed monuments total;Friesland (PV);1968;1923
334;Listed monuments total;Friesland (PV);1969;1925
335;Listed monuments total;Friesland (PV);1970;2198
336;Listed monuments total;Friesland (PV);1971;2647
337;Listed monuments total;Friesland (PV);1972;2720
338;Listed monuments total;Friesland (PV);1973;2787
339;Listed monuments total;Friesland (PV);1974;2836
340;Listed monuments total;Friesland (PV);1975;3028
341;Listed monuments total;Friesland (PV);1976;3084
342;Listed monuments total;Friesland (PV);1977;3104
343;Listed monuments total;Friesland (PV);1978;3123
344;Listed monuments total;Friesland (PV);1979;3165
345;Listed monuments total;Friesland (PV);1980;3176
346;Listed monuments total;Friesland (PV);1981;3178
347;Listed monuments total;Friesland (PV);1982;3187
348;Listed monuments total;Friesland (PV);1983;3234
349;Listed monuments total;Friesland (PV);1984;3244
350;Listed monuments total;Friesland (PV);1985;3254
351;Listed monuments total;Friesland (PV);1986;3260
352;Listed monuments total;Friesland (PV);1987;3263
353;Listed monuments total;Friesland (PV);1988;3264
354;Listed monuments total;Friesland (PV);1989;3270
355;Listed monuments total;Friesland (PV);1990;3281
356;Listed monuments total;Friesland (PV);1991;3327
357;Listed monuments total;Friesland (PV);1992;3340
358;Listed monuments total;Friesland (PV);1993;3345
359;Listed monuments total;Friesland (PV);1994;3379
360;Listed monuments total;Friesland (PV);1995;3380
361;Listed monuments total;Friesland (PV);1996;3433
362;Listed monuments total;Friesland (PV);1997;3504
363;Listed monuments total;Friesland (PV);1998;3562
364;Listed monuments total;Friesland (PV);1999;3772
365;Listed monuments total;Friesland (PV);2000;3901
366;Listed monuments total;Friesland (PV);2001;4131
367;Listed monuments total;Friesland (PV);2002;4182
368;Listed monuments total;Friesland (PV);2003;4247
369;Listed monuments total;Friesland (PV);2004;4269
370;Listed monuments total;Friesland (PV);2005;4312
371;Listed monuments total;Friesland (PV);2006;4330
372;Listed monuments total;Friesland (PV);2007;4334
373;Listed monuments total;Friesland (PV);2008;4334
374;Listed monuments total;Friesland (PV);2009;4334
375;Listed monuments total;Friesland (PV);2010;4335
376;Listed monuments total;Friesland (PV);2011;4336
377;Listed monuments total;Friesland (PV);2012;4336
378;Listed monuments total;Friesland (PV);2013;4336
379;Listed monuments total;Friesland (PV);2014;4331
380;Listed monuments total;Friesland (PV);2015;4333
381;Listed monuments total;Friesland (PV);2016;4334
382;Listed monuments total;Friesland (PV);2017;4334
383;Listed monuments total;Friesland (PV);2018;4335
384;Listed monuments total;Friesland (PV);2019;4336
385;Listed monuments total;Drenthe (PV);1965;306
386;Listed monuments total;Drenthe (PV);1966;312
387;Listed monuments total;Drenthe (PV);1967;314
388;Listed monuments total;Drenthe (PV);1968;327
389;Listed monuments total;Drenthe (PV);1969;333
390;Listed monuments total;Drenthe (PV);1970;338
391;Listed monuments total;Drenthe (PV);1971;352
392;Listed monuments total;Drenthe (PV);1972;355
393;Listed monuments total;Drenthe (PV);1973;368
394;Listed monuments total;Drenthe (PV);1974;369
395;Listed monuments total;Drenthe (PV);1975;385
396;Listed monuments total;Drenthe (PV);1976;386
397;Listed monuments total;Drenthe (PV);1977;392
398;Listed monuments total;Drenthe (PV);1978;419
399;Listed monuments total;Drenthe (PV);1979;438
400;Listed monuments total;Drenthe (PV);1980;447
401;Listed monuments total;Drenthe (PV);1981;454
402;Listed monuments total;Drenthe (PV);1982;486
403;Listed monuments total;Drenthe (PV);1983;511
404;Listed monuments total;Drenthe (PV);1984;522
405;Listed monuments total;Drenthe (PV);1985;580
406;Listed monuments total;Drenthe (PV);1986;588
407;Listed monuments total;Drenthe (PV);1987;591
408;Listed monuments total;Drenthe (PV);1988;595
409;Listed monuments total;Drenthe (PV);1989;597
410;Listed monuments total;Drenthe (PV);1990;614
411;Listed monuments total;Drenthe (PV);1991;626
412;Listed monuments total;Drenthe (PV);1992;637
413;Listed monuments total;Drenthe (PV);1993;648
414;Listed monuments total;Drenthe (PV);1994;947
415;Listed monuments total;Drenthe (PV);1995;1022
416;Listed monuments total;Drenthe (PV);1996;1025
417;Listed monuments total;Drenthe (PV);1997;1127
418;Listed monuments total;Drenthe (PV);1998;1246
419;Listed monuments total;Drenthe (PV);1999;1253
420;Listed monuments total;Drenthe (PV);2000;1257
421;Listed monuments total;Drenthe (PV);2001;1276
422;Listed monuments total;Drenthe (PV);2002;1279
423;Listed monuments total;Drenthe (PV);2003;1300
424;Listed monuments total;Drenthe (PV);2004;1336
425;Listed monuments total;Drenthe (PV);2005;1351
426;Listed monuments total;Drenthe (PV);2006;1352
427;Listed monuments total;Drenthe (PV);2007;1359
428;Listed monuments total;Drenthe (PV);2008;1359
429;Listed monuments total;Drenthe (PV);2009;1360
430;Listed monuments total;Drenthe (PV);2010;1360
431;Listed monuments total;Drenthe (PV);2011;1360
432;Listed monuments total;Drenthe (PV);2012;1361
433;Listed monuments total;Drenthe (PV);2013;1361
434;Listed monuments total;Drenthe (PV);2014;1370
435;Listed monuments total;Drenthe (PV);2015;1370
436;Listed monuments total;Drenthe (PV);2016;1370
437;Listed monuments total;Drenthe (PV);2017;1371
438;Listed monuments total;Drenthe (PV);2018;1371
439;Listed monuments total;Drenthe (PV);2019;1371
440;Listed monuments total;Overijssel (PV);1965;113
441;Listed monuments total;Overijssel (PV);1966;270
442;Listed monuments total;Overijssel (PV);1967;589
443;Listed monuments total;Overijssel (PV);1968;1037
444;Listed monuments total;Overijssel (PV);1969;1045
445;Listed monuments total;Overijssel (PV);1970;1051
446;Listed monuments total;Overijssel (PV);1971;1309
447;Listed monuments total;Overijssel (PV);1972;1856
448;Listed monuments total;Overijssel (PV);1973;2256
449;Listed monuments total;Overijssel (PV);1974;2260
450;Listed monuments total;Overijssel (PV);1975;2327
451;Listed monuments total;Overijssel (PV);1976;2360
452;Listed monuments total;Overijssel (PV);1977;2406
453;Listed monuments total;Overijssel (PV);1978;2483
454;Listed monuments total;Overijssel (PV);1979;2500
455;Listed monuments total;Overijssel (PV);1980;2540
456;Listed monuments total;Overijssel (PV);1981;2554
457;Listed monuments total;Overijssel (PV);1982;2569
458;Listed monuments total;Overijssel (PV);1983;2573
459;Listed monuments total;Overijssel (PV);1984;2575
460;Listed monuments total;Overijssel (PV);1985;2596
461;Listed monuments total;Overijssel (PV);1986;2617
462;Listed monuments total;Overijssel (PV);1987;2624
463;Listed monuments total;Overijssel (PV);1988;2626
464;Listed monuments total;Overijssel (PV);1989;2628
465;Listed monuments total;Overijssel (PV);1990;2634
466;Listed monuments total;Overijssel (PV);1991;2670
467;Listed monuments total;Overijssel (PV);1992;2698
468;Listed monuments total;Overijssel (PV);1993;2700
469;Listed monuments total;Overijssel (PV);1994;2759
470;Listed monuments total;Overijssel (PV);1995;2782
471;Listed monuments total;Overijssel (PV);1996;2784
472;Listed monuments total;Overijssel (PV);1997;2958
473;Listed monuments total;Overijssel (PV);1998;3072
474;Listed monuments total;Overijssel (PV);1999;3446
475;Listed monuments total;Overijssel (PV);2000;3492
476;Listed monuments total;Overijssel (PV);2001;3515
477;Listed monuments total;Overijssel (PV);2002;3636
478;Listed monuments total;Overijssel (PV);2003;3644
479;Listed monuments total;Overijssel (PV);2004;3697
480;Listed monuments total;Overijssel (PV);2005;3851
481;Listed monuments total;Overijssel (PV);2006;3950
482;Listed monuments total;Overijssel (PV);2007;3992
483;Listed monuments total;Overijssel (PV);2008;4017
484;Listed monuments total;Overijssel (PV);2009;4025
485;Listed monuments total;Overijssel (PV);2010;4033
486;Listed monuments total;Overijssel (PV);2011;4035
487;Listed monuments total;Overijssel (PV);2012;4036
488;Listed monuments total;Overijssel (PV);2013;4037
489;Listed monuments total;Overijssel (PV);2014;4039
490;Listed monuments total;Overijssel (PV);2015;4044
491;Listed monuments total;Overijssel (PV);2016;4044
492;Listed monuments total;Overijssel (PV);2017;4044
493;Listed monuments total;Overijssel (PV);2018;4045
494;Listed monuments total;Overijssel (PV);2019;4045
495;Listed monuments total;Flevoland (PV);1965;2
496;Listed monuments total;Flevoland (PV);1966;2
497;Listed monuments total;Flevoland (PV);1967;2
498;Listed monuments total;Flevoland (PV);1968;2
499;Listed monuments total;Flevoland (PV);1969;3
500;Listed monuments total;Flevoland (PV);1970;3
501;Listed monuments total;Flevoland (PV);1971;3
502;Listed monuments total;Flevoland (PV);1972;3
503;Listed monuments total;Flevoland (PV);1973;21
504;Listed monuments total;Flevoland (PV);1974;21
505;Listed monuments total;Flevoland (PV);1975;21
506;Listed monuments total;Flevoland (PV);1976;21
507;Listed monuments total;Flevoland (PV);1977;21
508;Listed monuments total;Flevoland (PV);1978;21
509;Listed monuments total;Flevoland (PV);1979;21
510;Listed monuments total;Flevoland (PV);1980;26
511;Listed monuments total;Flevoland (PV);1981;27
512;Listed monuments total;Flevoland (PV);1982;27
513;Listed monuments total;Flevoland (PV);1983;27
514;Listed monuments total;Flevoland (PV);1984;27
515;Listed monuments total;Flevoland (PV);1985;27
516;Listed monuments total;Flevoland (PV);1986;27
517;Listed monuments total;Flevoland (PV);1987;28
518;Listed monuments total;Flevoland (PV);1988;28
519;Listed monuments total;Flevoland (PV);1989;28
520;Listed monuments total;Flevoland (PV);1990;28
521;Listed monuments total;Flevoland (PV);1991;28
522;Listed monuments total;Flevoland (PV);1992;28
523;Listed monuments total;Flevoland (PV);1993;28
524;Listed monuments total;Flevoland (PV);1994;28
525;Listed monuments total;Flevoland (PV);1995;28
526;Listed monuments total;Flevoland (PV);1996;28
527;Listed monuments total;Flevoland (PV);1997;28
528;Listed monuments total;Flevoland (PV);1998;28
529;Listed monuments total;Flevoland (PV);1999;28
530;Listed monuments total;Flevoland (PV);2000;33
531;Listed monuments total;Flevoland (PV);2001;33
532;Listed monuments total;Flevoland (PV);2002;86
533;Listed monuments total;Flevoland (PV);2003;86
534;Listed monuments total;Flevoland (PV);2004;86
535;Listed monuments total;Flevoland (PV);2005;87
536;Listed monuments total;Flevoland (PV);2006;87
537;Listed monuments total;Flevoland (PV);2007;87
538;Listed monuments total;Flevoland (PV);2008;87
539;Listed monuments total;Flevoland (PV);2009;87
540;Listed monuments total;Flevoland (PV);2010;91
541;Listed monuments total;Flevoland (PV);2011;91
542;Listed monuments total;Flevoland (PV);2012;101
543;Listed monuments total;Flevoland (PV);2013;101
544;Listed monuments total;Flevoland (PV);2014;105
