ID;Periods;OutputBasicPrices_1;IntermediateConsumption_2;TotalGrossValueAdded_3;AAgricultureForestryAndFishing_4;BEIndustryNoConstructionEnergy_5;BMiningAndQuarrying_6;CManufacturing_7;DElectricityAndGasSupply_8;EWaterSupplyAndWasteManagement_9;FConstruction_10;GITradeTransportHotelsCatering_11;JInformationAndCommunication_12;KFinancialInstitutions_13;LRealEstateActivities_14;MNBusinessServices_15;OQGovernmentAndCare_16;RUCultureRecreationOtherServices_17;TaxesLessSubsidiesOnProducts_18;TaxesOnProducts_19;SubsidiesOnProducts_20;DifferenceImputedAndPaidVAT_21;GrossDomesticProduct_22;OutputBasicPrices_23;IntermediateConsumption_24;TotalGrossValueAdded_25;AAgricultureForestryAndFishing_26;BEIndustryNoConstructionEnergy_27;BMiningAndQuarrying_28;CManufacturing_29;DElectricityAndGasSupply_30;EWaterSupplyAndWasteManagement_31;FConstruction_32;GITradeTransportHotelsCatering_33;JInformationAndCommunication_34;KFinancialInstitutions_35;LRealEstateActivities_36;MNBusinessServices_37;OQGovernmentAndCare_38;RUCultureRecreationOtherServices_39;TaxesLessSubsidiesOnProducts_40;TaxesOnProducts_41;SubsidiesOnProducts_42;DifferenceImputedAndPaidVAT_43;GrossDomesticProduct_44;OutputBasicPrices_45;IntermediateConsumption_46;TotalGrossValueAdded_47;AAgricultureForestryAndFishing_48;BEIndustryNoConstructionEnergy_49;BMiningAndQuarrying_50;CManufacturing_51;DElectricityAndGasSupply_52;EWaterSupplyAndWasteManagement_53;FConstruction_54;GITradeTransportHotelsCatering_55;JInformationAndCommunication_56;KFinancialInstitutions_57;LRealEstateActivities_58;MNBusinessServices_59;OQGovernmentAndCare_60;RUCultureRecreationOtherServices_61;TaxesLessSubsidiesOnProducts_62;TaxesOnProducts_63;SubsidiesOnProducts_64;DifferenceImputedAndPaidVAT_65;GrossDomesticProduct_66;OutputBasicPrices_67;IntermediateConsumption_68;TotalGrossValueAdded_69;AAgricultureForestryAndFishing_70;BEIndustryNoConstructionEnergy_71;BMiningAndQuarrying_72;CManufacturing_73;DElectricityAndGasSupply_74;EWaterSupplyAndWasteManagement_75;FConstruction_76;GITradeTransportHotelsCatering_77;JInformationAndCommunication_78;KFinancialInstitutions_79;LRealEstateActivities_80;MNBusinessServices_81;OQGovernmentAndCare_82;RUCultureRecreationOtherServices_83;TaxesLessSubsidiesOnProducts_84;TaxesOnProducts_85;SubsidiesOnProducts_86;DifferenceImputedAndPaidVAT_87;GrossDomesticProduct_88;TotalCompensationOfEmployees_89;WagesAndSalaries_90;EmployersSocialContributions_91;TaxesLessSubsidies_92;TaxesOnProductionAndImports_93;Subsidies_94;Gross_95;ConsumptionOfFixedCapital_96;Net_97;GrossDomesticProduct_98;TotalCompensationOfEmployees_99;WagesAndSalaries_100;EmployersSocialContributions_101;TaxesLessSubsidies_102;TaxesOnProductionAndImports_103;Subsidies_104;Gross_105;ConsumptionOfFixedCapital_106;Net_107;GrossDomesticProduct_108;TotalCompensationOfEmployees_109;WagesAndSalaries_110;EmployersSocialContributions_111;TaxesLessSubsidies_112;TaxesOnProductionAndImports_113;Subsidies_114;Gross_115;ConsumptionOfFixedCapital_116;Net_117;GrossDomesticProduct_118;TotalCompensationOfEmployees_119;WagesAndSalaries_120;EmployersSocailContributions_121;TaxesLessSubsidies_122;TaxesOnProductionAndImports_123;Subsidies_124;Gross_125;ConsumptionOfFixedCapital_126;Net_127;GrossDomesticProduct_128;TotalGrossNationalFinalExpenditure_129;Total_130;Households_131;GeneralGovernment_132;Total_133;CorporationsAndHouseholds_134;GeneralGovernment_135;ChangesInInventories_136;Total_137;Goods_138;Services_139;Total_140;Goods_141;Services_142;GrossDomesticProduct_143;TotalGrossNationalFinalExpenditure_144;Total_145;Households_146;GeneralGovernment_147;Total_148;CorporationsAndHouseholds_149;GeneralGovernment_150;ChangesInInventories_151;Total_152;Goods_153;Services_154;Total_155;Goods_156;Services_157;GrossDomesticProduct_158;TotalGrossNationalFinalExpenditure_159;Total_160;Households_161;GeneralGovernment_162;Total_163;CorporationsAndHouseholds_164;GeneralGovernment_165;ChangesInInventories_166;Total_167;Goods_168;Services_169;Total_170;Goods_171;Services_172;GrossDomesticProduct_173;TotalGrossNationalFinalExpenditure_174;Total_175;Households_176;GeneralGovernment_177;Total_178;CorporationsAndHouseholds_179;GeneralGovernment_180;ChangesInInventories_181;Total_182;Goods_183;Services_184;Total_185;Goods_186;Services_187;GrossDomesticProduct_188
10;1979;291064;152081;138983;5179;31554;6322;25232;2805;1073;9625;25572;3424;7650;6387;9378;33131;3205;12517;16100;4212;629;151500;504041;254092;250575;3913;20826;14416;34699;5917;2293;23167;40727;4918;17547;15598;20638;66658;8018;16947;31428;3547;;278666;4.0;5.6;2.2;11.8;15.0;4.9;2.6;-1.9;3.4;-8.8;2.3;3.5;5.6;2.7;1.5;2.6;4.3;-0.2;1.8;4.1;;2.0;57.7;59.9;55.5;132.3;151.5;43.9;72.7;47.4;46.8;41.5;62.8;69.6;43.6;40.9;45.4;49.7;40.0;73.9;51.2;118.8;;54.4;88494;68370;20124;12857;17579;4722;50149;19283;30866;151500;;;;29901;34207;3986;;29861;;278666;;;;1.5;2.3;4.5;;3.6;;2.0;;;;43.0;51.4;118.5;;64.6;;54.4;151319;117980;80619;37361;33113;27168;5945;226;75227;61226;14001;75046;61405;13641;151500;277827;227026;156389;70888;49526;40754;8716;1021;91571;69149;22857;88179;62446;27062;278666;1.1;2.6;2.2;3.7;-2.7;-2.4;-4.1;;8.6;10.3;2.0;6.6;6.5;7.0;2.0;54.5;52.0;51.6;52.7;66.9;66.7;68.2;;82.2;88.5;61.3;85.1;98.3;50.4;54.4
11;1980;318412;168558;149854;5491;34469;8484;25985;3114;1138;10647;27386;3619;8089;6930;10066;35448;3457;13237;16534;4307;1010;163091;512014;258287;254349;4100;23187;14546;34543;5290;2406;23218;41799;5004;17352;16350;20891;68531;8328;16866;31397;3572;;282406;1.6;1.7;1.5;4.8;11.3;0.9;-0.5;-10.6;4.9;0.2;2.6;1.8;-1.1;4.8;1.2;2.8;3.9;-0.5;-0.1;0.7;;1.3;62.2;65.3;58.9;133.9;148.7;58.3;75.2;58.9;47.3;45.9;65.5;72.3;46.6;42.4;48.2;51.7;41.5;78.5;52.7;120.6;;57.8;94001;72414;21587;13260;18123;4863;55830;21366;34464;163091;;;;29790;34193;4021;;30951;;282406;;;;-0.4;0.0;0.9;;3.7;;1.3;;;;44.5;53.0;121.0;;69.0;;57.8;163274;126014;86098;39916;36578;29953;6625;682;85313;69446;15867;85496;70086;15410;163091;281756;228412;156316;72326;51071;42001;9013;2769;93546;69944;24358;90212;63614;28217;282406;1.4;0.6;0.0;2.0;3.1;3.1;3.4;;2.2;1.1;6.6;2.3;1.9;4.3;1.3;57.9;55.2;55.1;55.2;71.6;71.3;73.5;;91.2;99.3;65.1;94.8;110.2;54.6;57.8
12;1981;339656;180984;158672;6506;37827;11211;26616;3810;1176;10068;28499;3740;8411;7536;10436;37102;3561;13481;16534;4194;1141;172153;506582;253617;253789;4470;25716;14229;34218;5171;2419;20472;41991;4952;17015;16980;20651;70215;8266;15658;29824;3635;;280193;-1.1;-1.8;-0.2;9.0;10.9;-2.2;-0.9;-2.2;0.5;-11.8;0.5;-1.1;-1.9;3.9;-1.2;2.5;-0.8;-7.2;-5.0;1.8;;-0.8;67.0;71.4;62.5;145.6;147.1;78.8;77.8;73.7;48.6;49.2;67.9;75.5;49.4;44.4;50.5;52.8;43.1;86.1;55.4;115.4;;61.4;96120;74133;21987;13512;18278;4766;62521;23458;39063;172153;;;;27911;32725;4069;;31775;;280193;;;;-6.3;-4.3;1.2;;2.7;;-0.8;;;;48.4;55.9;117.1;;73.8;;61.4;165403;130928;88736;42192;35409;28646;6763;-934;98042;80255;17787;91292;75176;16116;172153;271469;226492;152587;74129;46271;37519;8683;-3175;96225;71562;25642;87848;62047;27276;280193;-3.7;-0.8;-2.4;2.5;-9.4;-10.7;-3.7;;2.9;2.3;5.3;-2.6;-2.5;-3.3;-0.8;60.9;57.8;58.2;56.9;76.5;76.4;77.9;;101.9;112.1;69.4;103.9;121.2;59.1;61.4
13;1982;351912;187624;164288;6909;38802;11611;27191;3339;1249;9598;29442;3932;9376;8531;10493;38892;3725;13590;17355;4699;934;177878;501632;251871;250473;4659;27778;13048;33872;4133;2441;19376;40871;4924;17863;17741;20017;71141;8263;15585;29662;3596;;276716;-1.0;-0.7;-1.3;4.2;8.0;-8.3;-1.0;-20.1;0.9;-5.4;-2.7;-0.6;5.0;4.5;-3.1;1.3;0.0;-0.5;-0.5;-1.1;;-1.2;70.2;74.5;65.6;148.3;139.7;89.0;80.3;80.8;51.2;49.5;72.0;79.9;52.5;48.1;52.4;54.7;45.1;87.2;58.5;130.7;;64.3;99040;76717;22323;13825;19225;5400;65013;24878;40135;177878;;;;27688;32618;4110;;32524;;276716;;;;-0.8;-0.3;1.0;;2.4;;-1.2;;;;49.9;58.9;131.4;;76.5;;64.3;170174;136297;91812;44485;35484;28840;6644;-1607;101322;83427;17895;93618;77200;16418;177878;268036;225579;150380;75456;44994;36619;8311;-5170;95217;71160;24812;86903;61505;26724;276716;-1.3;-0.4;-1.4;1.8;-2.8;-2.4;-4.3;;-1.0;-0.6;-3.2;-1.1;-0.9;-2.0;-1.2;63.5;60.4;61.1;59.0;78.9;78.8;79.9;;106.4;117.2;72.1;107.7;125.5;61.4;64.3
14;1983;364407;194159;170248;6840;39977;12258;27719;3276;1356;9308;30794;4155;10428;9635;11055;39552;3872;13834;18152;5205;887;184082;511442;256568;255631;4522;32050;13869;34926;3872;2469;18934;41644;5020;18880;18463;20273;72642;8164;15927;30226;3653;;282444;2.0;1.9;2.1;-2.9;15.4;6.3;3.1;-6.3;1.1;-2.3;1.9;2.0;5.7;4.1;1.3;2.1;-1.2;2.2;1.9;1.6;;2.1;71.3;75.7;66.6;151.2;124.7;88.4;79.4;84.6;54.9;49.2;73.9;82.8;55.2;52.2;54.5;54.4;47.4;86.9;60.1;142.5;;65.2;100344;76829;23515;14131;20131;6000;69607;25683;43924;184082;;;;28173;33285;4224;;33264;;282444;;;;1.8;2.0;2.8;;2.3;;2.1;;;;50.2;60.5;142.0;;77.2;;65.2;177921;141331;95533;45798;36528;30249;6279;62;104260;86363;17897;98099;81102;16997;184082;275657;229721;152274;77740;45965;38089;7822;-119;97386;73403;24366;90119;64069;27124;282444;2.8;1.8;1.3;3.0;2.2;4.0;-5.9;;2.3;3.2;-1.8;3.7;4.2;1.5;2.1;64.5;61.5;62.7;58.9;79.5;79.4;80.3;;107.1;117.7;73.5;108.9;126.6;62.7;65.2
15;1984;389163;209900;179263;7167;45147;13820;31327;3209;1358;9415;32629;4324;10499;10683;11571;39295;3966;14832;19652;5850;1030;194095;530340;266833;264185;5030;37666;14695;37270;3632;2445;19538;43478;5197;18384;18741;20968;73506;8240;15857;30647;3884;;291092;3.7;4.0;3.3;11.2;17.5;6.0;6.7;-6.2;-1.0;3.2;4.4;3.5;-2.6;1.5;3.4;1.2;0.9;-0.4;1.4;6.3;;3.1;73.4;78.7;67.9;142.5;119.9;94.0;84.1;88.4;55.5;48.2;75.0;83.2;57.1;57.0;55.2;53.5;48.1;93.5;64.1;150.6;;66.7;100809;77456;23353;15010;21685;6675;78276;26738;51538;194095;;;;28021;33723;4465;;34247;;291092;;;;-0.5;1.3;5.7;;3.0;;3.1;;;;53.6;64.3;149.5;;78.1;;66.7;183883;144195;98738;45457;39490;32492;6998;198;117596;97795;19801;107384;88662;18722;194095;280327;230191;153195;77250;49281;40633;8587;-292;104924;79161;26129;95124;67408;29075;291092;1.7;0.2;0.6;-0.6;7.2;6.7;9.8;;7.7;7.8;7.2;5.6;5.2;7.2;3.1;65.6;62.6;64.5;58.8;80.1;80.0;81.5;;112.1;123.5;75.8;112.9;131.5;64.4;66.7
16;1985;405490;219672;185818;7457;47307;15766;31541;3371;1401;9477;34123;4507;10676;11119;12307;39959;4114;15009;20653;6390;746;200827;543762;273439;271041;5236;43151;15376;38391;4088;2483;19779;44911;5294;18290;18797;21927;74521;8302;16238;31620;4096;;298603;2.5;2.5;2.6;4.1;14.6;4.6;3.0;12.6;1.5;1.2;3.3;1.9;-0.5;0.3;4.6;1.4;0.8;2.4;3.2;5.5;;2.6;74.6;80.3;68.6;142.4;109.6;102.5;82.2;82.5;56.4;47.9;76.0;85.1;58.4;59.2;56.1;53.6;49.6;92.4;65.3;156.0;;67.3;104641;80723;23918;15571;22749;7178;80615;27870;52745;200827;;;;28723;34721;4642;;35496;;298603;;;;2.5;3.0;4.0;;3.6;;2.6;;;;54.2;65.5;154.6;;78.5;;67.3;192308;150595;102920;47675;42349;35504;6845;-636;124813;104187;20626;116294;96100;20194;200827;288544;235220;155324;80271;53035;44670;8317;840;109600;83069;26674;100105;70998;30474;298603;2.9;2.2;1.4;3.9;7.6;9.9;-3.1;;4.5;4.9;2.1;5.2;5.3;4.8;2.6;66.6;64.0;66.3;59.4;79.9;79.5;82.3;;113.9;125.4;77.3;116.2;135.4;66.3;67.3
17;1986;397861;206779;191082;7931;43689;10284;33405;3322;1494;10128;37460;4982;10999;12144;13592;41021;4320;15779;22099;6667;347;206861;560199;283923;276635;5781;46563;13494;39688;3894;2471;20793;46200;5683;19011;19870;23471;75280;8227;18144;34770;4303;;306925;3.0;3.8;2.1;10.4;7.9;-12.2;3.4;-4.7;-0.5;5.1;2.9;7.3;3.9;5.7;7.0;1.0;-0.9;11.7;10.0;5.1;;2.8;71.0;72.8;69.1;137.2;93.8;76.2;84.2;85.3;60.5;48.7;81.1;87.7;57.9;61.1;57.9;54.5;52.5;87.0;63.6;154.9;;67.4;109164;84351;24813;16777;24251;7474;80920;28922;51998;206861;;;;31987;37942;4863;;37054;;306925;;;;11.4;9.3;4.8;;4.4;;2.8;;;;52.4;63.9;153.7;;78.1;;67.4;199589;154123;105189;48934;44804;38317;6487;662;108993;89697;19296;101721;83301;18420;206861;298027;240030;159002;81354;56645;48652;7974;369;111844;85342;26292;102927;74150;28983;306925;3.3;2.0;2.4;1.3;6.8;8.9;-4.1;;2.0;2.7;-1.4;2.8;4.4;-4.9;2.8;67.0;64.2;66.2;60.1;79.1;78.8;81.3;;97.5;105.1;73.4;98.8;112.3;63.6;67.4
18;1987;398163;205251;192912;7905;40752;6505;34247;3441;1421;10646;38595;5298;10846;12857;14167;42431;4553;15735;23364;7982;353;208647;572096;289635;282845;5713;52487;12460;40454;5037;2322;21385;48264;5954;18994;20782;23743;76462;8406;17805;36036;5021;;312852;2.1;2.0;2.2;-1.2;12.7;-7.7;1.9;29.3;-6.0;2.8;4.5;4.8;-0.1;4.6;1.2;1.6;2.2;-1.9;3.6;16.7;;1.9;69.6;70.9;68.2;138.4;77.6;52.2;84.7;68.3;61.2;49.8;80.0;89.0;57.1;61.9;59.7;55.5;54.2;88.4;64.8;159.0;;66.7;112894;87380;25514;16819;25669;8850;78934;30517;48417;208647;;;;31396;39267;5616;;38812;;312852;;;;-1.8;3.5;15.5;;4.7;;1.9;;;;53.6;65.4;157.6;;78.6;;66.7;203930;158255;106878;51377;45826;39071;6755;-151;107044;87301;19743;102327;83432;18895;208647;303217;246422;162303;84546;57472;49139;8307;-345;116078;88407;27524;106576;77114;29419;312852;1.7;2.7;2.1;3.9;1.5;1.0;4.2;;3.8;3.6;4.7;3.5;4.0;1.5;1.9;67.3;64.2;65.9;60.8;79.7;79.5;81.3;;92.2;98.7;71.7;96.0;108.2;64.2;66.7
19;1988;417495;216632;200863;8144;46795;5847;36084;3227;1637;12183;39985;5690;11753;13460;15224;42840;4789;16347;24167;7820;386;217596;594501;303081;291736;6161;59946;12228;41561;4873;2689;23974;50091;6323;19241;21152;25142;76563;8731;30540;37574;4979;;323624;3.9;4.6;3.1;7.8;14.2;-1.9;2.7;-3.3;15.8;12.1;3.8;6.2;1.3;1.8;5.9;0.1;3.9;7.1;4.3;-0.9;;3.4;70.2;71.5;68.9;132.2;78.1;47.8;86.8;66.2;60.9;50.8;79.8;90.0;61.1;63.6;60.6;56.0;54.8;53.5;64.3;157.1;;67.2;116037;90554;25483;17821;26536;8715;83738;32355;51383;217596;;;;33434;40876;5590;;40676;;323624;;;;6.5;4.1;-0.5;;4.8;;3.4;;;;53.3;64.9;155.9;;73.5;;67.2;212194;161674;109436;52238;50945;43826;7119;-425;116797;95166;21631;111395;88598;22797;217596;312731;249971;164821;85568;63103;54403;8681;165;126410;96466;29713;115686;82122;34602;323624;3.1;1.4;1.6;1.2;9.8;10.7;4.5;;8.9;9.1;8.0;8.5;6.5;17.6;3.4;67.9;64.7;66.4;61.0;80.7;80.6;82.0;;92.4;98.7;72.8;96.3;107.9;65.9;67.2
20;1989;448007;235515;212492;9327;49330;6144;38167;3311;1708;12825;42897;6161;12105;14473;16607;43730;5037;17214;24015;6801;571;230277;623018;319408;303873;6516;62437;12588;43466;4988;2760;24759;52715;6675;20459;22070;27234;77341;8913;32960;39054;4760;;337929;4.8;5.4;4.2;5.8;4.2;2.9;4.6;2.4;2.6;3.3;5.2;5.6;6.3;4.3;8.3;1.0;2.1;7.9;3.9;-4.4;;4.4;71.9;73.7;69.9;143.1;79.0;48.8;87.8;66.4;61.9;51.8;81.4;92.3;59.2;65.6;61.0;56.5;56.5;52.2;61.5;142.9;;68.1;119628;94712;24916;18662;26437;7775;91987;34382;57605;230277;;;;35743;42403;5436;;42535;;337929;;;;6.9;3.7;-2.8;;4.6;;4.4;;;;52.2;62.3;143.0;;80.8;;68.1;223425;168261;114809;53452;53089;45838;7251;2075;131475;106870;24605;124623;99775;24848;230277;324890;256515;170021;86846;65172;56397;8759;3266;137296;103832;33546;124711;89038;36466;337929;3.9;2.6;3.2;1.5;3.3;3.7;0.9;;8.6;7.6;12.9;7.8;8.4;5.4;4.4;68.8;65.6;67.5;61.5;81.5;81.3;82.8;;95.8;102.9;73.3;99.9;112.1;68.1;68.1
21;1990;470618;246786;223832;9554;52124;7391;39704;3365;1664;13146;45865;6812;11065;15431;18697;45824;5314;19007;25444;6437;813;243652;648744;333281;315701;7098;64415;13239;44971;4936;2692;24398;55660;7331;21469;22783;29514;78223;9103;35456;40802;4600;;352065;4.1;4.3;3.9;8.9;3.2;5.2;3.5;-1.0;-2.5;-1.5;5.6;9.8;4.9;3.2;8.4;1.1;2.1;7.6;4.5;-3.4;;4.2;72.5;74.0;70.9;134.6;80.9;55.8;88.3;68.2;61.8;53.9;82.4;92.9;51.5;67.7;63.4;58.6;58.4;53.6;62.4;139.9;;69.2;127116;109225;17891;20580;27976;7396;95956;36596;59360;243652;;;;38465;44289;5265;;44506;;352065;;;;7.6;4.4;-3.2;;4.6;;4.2;;;;53.5;63.2;140.5;;82.2;;69.2;234372;177223;121102;56121;55328;47500;7828;1821;137551;111679;25872;128271;102919;25352;243652;335280;265405;176890;88784;67050;57726;9303;3015;145065;110145;34832;129667;93505;36386;352065;3.2;3.5;4.0;2.2;2.9;2.4;6.2;;5.7;6.1;3.8;4.0;5.0;-0.2;4.2;69.9;66.8;68.5;63.2;82.5;82.3;84.1;;94.8;101.4;74.3;98.9;110.1;69.7;69.2
22;1991;497936;261007;236929;9811;54470;8929;40192;3580;1769;13535;48853;7163;12229;16618;20600;48062;5588;20093;27366;7273;353;257375;670015;346662;323489;7275;66002;14608;45316;5174;2778;24324;57664;7599;21574;23522;31304;78827;9267;36281;42242;4926;;360652;3.3;4.0;2.5;2.5;2.5;10.3;0.8;4.8;3.2;-0.3;3.6;3.7;0.5;3.2;6.1;0.8;1.8;2.3;3.5;7.1;;2.4;74.3;75.3;73.2;134.9;82.5;61.1;88.7;69.2;63.7;55.6;84.7;94.3;56.7;70.7;65.8;61.0;60.3;55.4;64.8;147.6;;71.4;135023;115946;19077;22061;30002;7941;100291;38773;61518;257375;;;;39968;45837;5389;;46302;;360652;;;;3.9;3.5;2.4;;4.0;;2.4;;;;55.2;65.5;147.4;;83.7;;71.4;246761;188658;128838;59820;56927;48737;8190;1176;147152;117199;29953;136538;107287;29251;257375;342407;272490;181679;91081;67897;58332;9541;2474;154651;116225;38769;137883;98559;40069;360652;2.1;2.7;2.7;2.6;1.3;1.1;2.6;;6.6;5.5;11.3;6.3;5.4;10.1;2.4;72.1;69.2;70.9;65.7;83.8;83.6;85.8;;95.2;100.8;77.3;99.0;108.9;73.0;71.4
23;1992;513027;266812;246215;9540;54064;7614;40846;3665;1939;14241;50895;7610;12878;18241;22013;50765;5968;20593;28112;7519;1491;268299;681094;353025;328190;7539;66196;14153;45818;5061;2889;24128;58381;7854;22701;24265;32073;79518;9430;37881;43582;4914;;366805;1.7;1.8;1.5;3.6;0.3;-3.1;1.1;-2.2;4.0;-0.8;1.2;3.4;5.2;3.2;2.5;0.9;1.8;4.4;3.2;-0.2;;1.7;75.3;75.6;75.0;126.6;81.7;53.8;89.1;72.4;67.1;59.0;87.2;96.9;56.7;75.2;68.6;63.8;63.3;54.4;64.5;153.0;;73.1;142980;122527;20453;22915;31030;8115;102404;40900;61504;268299;;;;41948;47469;5372;;48145;;366805;;;;5.0;3.6;-0.3;;4.0;;1.7;;;;54.6;65.4;151.1;;85.0;;73.1;258139;197593;133777;63816;58773;49945;8828;1773;148574;116612;31962;138414;106624;31790;268299;347892;276021;182979;93400;69107;58917;10153;3107;159203;119020;40727;141815;100544;42442;366805;1.6;1.3;0.7;2.5;1.8;1.0;6.4;;2.9;2.4;5.1;2.9;2.0;5.9;1.7;74.2;71.6;73.1;68.3;85.0;84.8;86.9;;93.3;98.0;78.5;97.6;106.0;74.9;73.1
24;1993;519935;267134;252801;8594;54545;7264;41383;3849;2049;14513;52040;7983;13677;19172;23202;52816;6259;23260;30543;7283;-48;276013;686517;354585;332063;7752;66043;14521;45492;5108;2791;23564;58766;7932;23969;24988;32736;80931;9529;38694;44570;5041;;371418;0.8;0.4;1.2;2.8;-0.2;2.6;-0.7;0.9;-3.4;-2.3;0.7;1.0;5.6;3.0;2.1;1.8;1.1;2.1;2.3;2.6;;1.3;75.7;75.3;76.1;110.9;82.6;50.0;91.0;75.3;73.4;61.6;88.6;100.6;57.1;76.7;70.9;65.3;65.7;60.1;68.5;144.5;;74.3;147027;126702;20325;25782;33656;7874;103204;42437;60767;276013;;;;42876;48462;5466;;49633;;371418;;;;2.2;2.1;1.7;;3.1;;1.3;;;;60.1;69.4;144.1;;85.5;;74.3;261029;204231;137805;66426;58302;49429;8873;-1504;150658;117104;33554;135674;103345;32329;276013;345228;279476;184463;95431;67976;57827;10110;-1169;165521;124148;41838;142374;101232;42196;371418;-0.8;1.3;0.8;2.2;-1.6;-1.9;-0.4;;4.0;4.3;2.7;0.4;0.7;-0.6;1.3;75.6;73.1;74.7;69.6;85.8;85.5;87.8;;91.0;94.3;80.2;95.3;102.1;76.6;74.3
25;1994;545755;281274;264481;9107;56338;7133;43021;3957;2227;14959;54290;8427;15394;20712;24901;53970;6383;24086;30740;6654;1481;290048;707859;366665;341340;7950;68856;14657;47912;5084;2888;23812;60985;8311;23334;26444;34616;80856;9499;40512;45968;4948;;382416;3.1;3.4;2.8;2.6;4.3;0.9;5.3;-0.5;3.5;1.1;3.8;4.8;-2.6;5.8;5.7;-0.1;-0.3;4.7;3.1;-1.9;;3.0;77.1;76.7;77.5;114.5;81.8;48.7;89.8;77.8;77.1;62.8;89.0;101.4;66.0;78.3;71.9;66.7;67.2;59.5;66.9;134.5;;75.8;150603;130352;20251;26724;34018;7294;112721;43636;69085;290048;;;;44684;49946;5427;;50919;;382416;;;;4.2;3.1;-0.7;;2.6;;3.0;;;;59.8;68.1;134.4;;85.7;;75.8;273716;213338;144084;69254;59649;50418;9231;729;164709;128770;35939;148377;114022;34355;290048;354974;285017;188063;97385;69361;58843;10474;1478;179871;136182;43970;155236;111965;43893;382416;2.8;2.0;2.0;2.0;2.0;1.8;3.6;;8.7;9.7;5.1;9.0;10.6;4.0;3.0;77.1;74.9;76.6;71.1;86.0;85.7;88.1;;91.6;94.6;81.7;95.6;101.8;78.3;75.8
26;1995;573964;298278;275686;9261;59630;7367;45714;4152;2397;15217;55801;8978;17384;20436;27191;55170;6618;28558;32666;4108;1017;305261;732536;381250;351455;8105;70957;14454;49760;5145;3033;23540;63216;8870;24329;27633;37470;80516;9718;42292;47479;4913;;394332;3.5;4.0;3.0;1.9;3.1;-1.4;3.9;1.2;5.0;-1.1;3.7;6.7;4.3;4.5;8.2;-0.4;2.3;4.4;3.3;-0.7;;3.1;78.4;78.2;78.4;114.3;84.0;51.0;91.9;80.7;79.0;64.6;88.3;101.2;71.5;74.0;72.6;68.5;68.1;67.5;68.8;83.6;;77.4;155837;133469;22368;31035;35973;4938;118389;45226;73163;305261;;;;46040;51338;5529;;52399;;394332;;;;3.0;2.8;1.9;;2.9;;3.1;;;;67.4;70.1;89.3;;86.3;;77.4;287918;223745;151058;72687;63500;53868;9632;673;181219;144366;36853;163876;126867;37009;305261;366572;292466;193074;99828;73446;62532;10874;1334;196435;151098;45272;171006;124683;46604;394332;3.3;2.6;2.7;2.5;5.9;6.3;3.8;;9.2;11.0;3.0;10.2;11.4;6.2;3.1;78.5;76.5;78.2;72.8;86.5;86.1;88.6;;92.3;95.5;81.4;95.8;101.8;79.4;77.4
27;1996;607125;320046;287079;9095;60890;8207;45732;4367;2584;15648;57596;10204;18235;22251;30392;55813;6955;31524;35010;3486;1152;319755;762986;401083;362089;7912;72743;15470;50501;5386;3168;23223;65578;9731;25530;28654;40902;80657;9878;45120;49511;4300;;407765;4.2;5.2;3.0;-2.4;2.5;7.0;1.5;4.7;4.5;-1.3;3.7;9.7;4.9;3.7;9.2;0.2;1.6;6.7;4.3;-12.5;;3.4;79.6;79.8;79.3;114.9;83.7;53.1;90.6;81.1;81.6;67.4;87.8;104.9;71.4;77.7;74.3;69.2;70.4;69.9;70.7;81.1;;78.4;161820;138394;23426;33382;38435;5053;124553;47150;77403;319755;;;;47814;53640;5996;;54285;;407765;;;;3.9;4.5;8.4;;3.6;;3.4;;;;69.8;71.7;84.3;;86.9;;78.4;302870;233488;160658;72830;69149;58494;10655;233;190674;150899;39775;173789;133461;40328;319755;380754;300272;201375;99109;79712;67737;11927;1057;205031;156787;48336;180053;130768;49725;407765;3.9;2.7;4.3;-0.7;8.5;8.3;9.7;;4.4;3.8;6.8;5.3;4.9;6.7;3.4;79.5;77.8;79.8;73.5;86.7;86.4;89.3;;93.0;96.2;82.3;96.5;102.1;81.1;78.4
28;1997;650820;344281;306539;10250;62207;8415;47078;3906;2808;16447;63409;12156;18975;24480;32858;58233;7524;34723;38263;3540;975;342237;800566;423408;377338;8521;72610;14441;51229;4891;3387;23677;70539;11605;27518;29786;43108;81750;10132;47248;51708;4382;;425211;4.9;5.6;4.2;7.7;-0.2;-6.7;1.4;-9.2;6.9;2.0;7.6;19.3;7.8;4.0;5.4;1.4;2.6;4.7;4.4;1.9;;4.3;81.3;81.3;81.2;120.3;85.7;58.3;91.9;79.9;82.9;69.5;89.9;104.7;69.0;82.2;76.2;71.2;74.3;73.5;74.0;80.8;;80.5;171222;146979;24243;36131;41702;5571;134884;49309;85575;342237;;;;49176;55795;6700;;56604;;425211;;;;2.8;4.0;11.7;;4.3;;4.3;;;;73.5;74.7;83.2;;87.1;;80.5;322830;246651;170179;76472;75118;65088;10030;1061;216691;170935;45756;197284;151852;45432;342237;397831;309813;208427;101549;86506;75226;11285;1431;227349;172928;54681;201457;146558;55327;425211;4.5;3.2;3.5;2.5;8.5;11.1;-5.4;;10.9;10.3;13.1;11.9;12.1;11.3;4.3;81.1;79.6;81.6;75.3;86.8;86.5;88.9;;95.3;98.8;83.7;97.9;103.6;82.1;80.5
