ID;Sex;Characteristics;Periods;VictimsMurderManslaughter_1;VictimsMurderManslaughterRelative_2
51;Total male and female;Age: younger than 20 years;2019;10;2.6
52;Total male and female;Age: younger than 20 years;2020;18;4.8
53;Total male and female;Age: younger than 20 years;2021;15;4.0
54;Total male and female;Age: younger than 20 years;2022;17;4.5
55;Total male and female;Age: younger than 20 years;2023;11;2.9
56;Total male and female;Age: 20 to 29 years;1996;67;28.5
57;Total male and female;Age: 20 to 29 years;1997;70;30.6
58;Total male and female;Age: 20 to 29 years;1998;54;24.2
59;Total male and female;Age: 20 to 29 years;1999;56;25.8
60;Total male and female;Age: 20 to 29 years;2000;60;28.5
61;Total male and female;Age: 20 to 29 years;2001;56;27.2
62;Total male and female;Age: 20 to 29 years;2002;58;28.7
63;Total male and female;Age: 20 to 29 years;2003;45;22.6
64;Total male and female;Age: 20 to 29 years;2004;36;18.3
65;Total male and female;Age: 20 to 29 years;2005;36;18.4
66;Total male and female;Age: 20 to 29 years;2006;26;13.3
67;Total male and female;Age: 20 to 29 years;2007;33;16.8
68;Total male and female;Age: 20 to 29 years;2008;36;18.2
69;Total male and female;Age: 20 to 29 years;2009;34;17.0
70;Total male and female;Age: 20 to 29 years;2010;26;12.8
71;Total male and female;Age: 20 to 29 years;2011;38;18.5
72;Total male and female;Age: 20 to 29 years;2012;24;11.6
73;Total male and female;Age: 20 to 29 years;2013;29;13.9
74;Total male and female;Age: 20 to 29 years;2014;27;12.8
75;Total male and female;Age: 20 to 29 years;2015;27;12.7
76;Total male and female;Age: 20 to 29 years;2016;23;10.7
77;Total male and female;Age: 20 to 29 years;2017;33;15.2
78;Total male and female;Age: 20 to 29 years;2018;25;11.4
79;Total male and female;Age: 20 to 29 years;2019;27;12.2
80;Total male and female;Age: 20 to 29 years;2020;22;9.8
81;Total male and female;Age: 20 to 29 years;2021;25;11.1
82;Total male and female;Age: 20 to 29 years;2022;25;10.9
83;Total male and female;Age: 20 to 29 years;2023;22;9.4
84;Total male and female;Age: 30 to 39 years;1996;51;19.9
85;Total male and female;Age: 30 to 39 years;1997;50;19.3
86;Total male and female;Age: 30 to 39 years;1998;49;18.8
87;Total male and female;Age: 30 to 39 years;1999;65;24.8
88;Total male and female;Age: 30 to 39 years;2000;55;20.9
89;Total male and female;Age: 30 to 39 years;2001;70;26.5
90;Total male and female;Age: 30 to 39 years;2002;65;24.7
91;Total male and female;Age: 30 to 39 years;2003;67;25.8
92;Total male and female;Age: 30 to 39 years;2004;62;24.4
93;Total male and female;Age: 30 to 39 years;2005;51;20.7
94;Total male and female;Age: 30 to 39 years;2006;44;18.3
95;Total male and female;Age: 30 to 39 years;2007;35;15.0
96;Total male and female;Age: 30 to 39 years;2008;46;20.2
97;Total male and female;Age: 30 to 39 years;2009;38;17.2
98;Total male and female;Age: 30 to 39 years;2010;36;16.7
99;Total male and female;Age: 30 to 39 years;2011;30;14.3
100;Total male and female;Age: 30 to 39 years;2012;33;16.0
101;Total male and female;Age: 30 to 39 years;2013;31;15.3
102;Total male and female;Age: 30 to 39 years;2014;31;15.4
103;Total male and female;Age: 30 to 39 years;2015;21;10.4
104;Total male and female;Age: 30 to 39 years;2016;28;13.7
105;Total male and female;Age: 30 to 39 years;2017;26;12.6
106;Total male and female;Age: 30 to 39 years;2018;20;9.6
107;Total male and female;Age: 30 to 39 years;2019;27;12.7
108;Total male and female;Age: 30 to 39 years;2020;27;12.5
109;Total male and female;Age: 30 to 39 years;2021;21;9.5
110;Total male and female;Age: 30 to 39 years;2022;34;15.1
111;Total male and female;Age: 30 to 39 years;2023;26;11.2
112;Total male and female;Age: 40 to 49 years;1996;41;17.5
113;Total male and female;Age: 40 to 49 years;1997;31;13.3
114;Total male and female;Age: 40 to 49 years;1998;38;16.4
115;Total male and female;Age: 40 to 49 years;1999;41;17.5
116;Total male and female;Age: 40 to 49 years;2000;41;17.3
117;Total male and female;Age: 40 to 49 years;2001;59;24.6
118;Total male and female;Age: 40 to 49 years;2002;29;11.9
119;Total male and female;Age: 40 to 49 years;2003;37;15.0
120;Total male and female;Age: 40 to 49 years;2004;37;14.8
121;Total male and female;Age: 40 to 49 years;2005;36;14.3
122;Total male and female;Age: 40 to 49 years;2006;29;11.4
123;Total male and female;Age: 40 to 49 years;2007;29;11.4
124;Total male and female;Age: 40 to 49 years;2008;37;14.4
125;Total male and female;Age: 40 to 49 years;2009;30;11.6
126;Total male and female;Age: 40 to 49 years;2010;29;11.2
127;Total male and female;Age: 40 to 49 years;2011;35;13.5
128;Total male and female;Age: 40 to 49 years;2012;40;15.5
129;Total male and female;Age: 40 to 49 years;2013;28;11.0
130;Total male and female;Age: 40 to 49 years;2014;31;12.4
131;Total male and female;Age: 40 to 49 years;2015;27;11.1
132;Total male and female;Age: 40 to 49 years;2016;18;7.6
133;Total male and female;Age: 40 to 49 years;2017;32;13.7
134;Total male and female;Age: 40 to 49 years;2018;21;9.2
135;Total male and female;Age: 40 to 49 years;2019;22;9.8
136;Total male and female;Age: 40 to 49 years;2020;15;6.9
137;Total male and female;Age: 40 to 49 years;2021;19;8.8
138;Total male and female;Age: 40 to 49 years;2022;24;11.3
139;Total male and female;Age: 40 to 49 years;2023;27;12.7
140;Total male and female;Age: 50 to 59 years;1996;24;13.9
141;Total male and female;Age: 50 to 59 years;1997;23;12.6
142;Total male and female;Age: 50 to 59 years;1998;12;6.3
143;Total male and female;Age: 50 to 59 years;1999;19;9.6
144;Total male and female;Age: 50 to 59 years;2000;24;11.8
145;Total male and female;Age: 50 to 59 years;2001;31;14.9
146;Total male and female;Age: 50 to 59 years;2002;26;12.2
147;Total male and female;Age: 50 to 59 years;2003;34;15.6
148;Total male and female;Age: 50 to 59 years;2004;30;13.6
149;Total male and female;Age: 50 to 59 years;2005;21;9.3
150;Total male and female;Age: 50 to 59 years;2006;17;7.5
151;Total male and female;Age: 50 to 59 years;2007;26;11.6
152;Total male and female;Age: 50 to 59 years;2008;23;10.3
153;Total male and female;Age: 50 to 59 years;2009;30;13.3
154;Total male and female;Age: 50 to 59 years;2010;16;7.0
155;Total male and female;Age: 50 to 59 years;2011;23;10.0
156;Total male and female;Age: 50 to 59 years;2012;15;6.4
157;Total male and female;Age: 50 to 59 years;2013;19;8.0
158;Total male and female;Age: 50 to 59 years;2014;17;7.1
159;Total male and female;Age: 50 to 59 years;2015;18;7.4
160;Total male and female;Age: 50 to 59 years;2016;13;5.3
161;Total male and female;Age: 50 to 59 years;2017;26;10.5
162;Total male and female;Age: 50 to 59 years;2018;21;8.4
163;Total male and female;Age: 50 to 59 years;2019;19;7.5
164;Total male and female;Age: 50 to 59 years;2020;21;8.3
165;Total male and female;Age: 50 to 59 years;2021;23;9.0
166;Total male and female;Age: 50 to 59 years;2022;16;6.3
167;Total male and female;Age: 50 to 59 years;2023;16;6.3
168;Total male and female;Age: 60 years or older;1996;28;10.1
169;Total male and female;Age: 60 years or older;1997;27;9.7
170;Total male and female;Age: 60 years or older;1998;29;10.3
171;Total male and female;Age: 60 years or older;1999;23;8.0
172;Total male and female;Age: 60 years or older;2000;16;5.5
173;Total male and female;Age: 60 years or older;2001;23;7.8
174;Total male and female;Age: 60 years or older;2002;18;6.1
175;Total male and female;Age: 60 years or older;2003;34;11.3
176;Total male and female;Age: 60 years or older;2004;33;10.7
177;Total male and female;Age: 60 years or older;2005;26;8.3
178;Total male and female;Age: 60 years or older;2006;20;6.2
179;Total male and female;Age: 60 years or older;2007;13;3.9
180;Total male and female;Age: 60 years or older;2008;18;5.2
181;Total male and female;Age: 60 years or older;2009;20;5.6
182;Total male and female;Age: 60 years or older;2010;27;7.4
183;Total male and female;Age: 60 years or older;2011;21;5.6
184;Total male and female;Age: 60 years or older;2012;24;6.3
185;Total male and female;Age: 60 years or older;2013;21;5.4
186;Total male and female;Age: 60 years or older;2014;24;6.0
187;Total male and female;Age: 60 years or older;2015;18;4.4
188;Total male and female;Age: 60 years or older;2016;18;4.3
189;Total male and female;Age: 60 years or older;2017;24;5.6
190;Total male and female;Age: 60 years or older;2018;19;4.4
191;Total male and female;Age: 60 years or older;2019;20;4.5
192;Total male and female;Age: 60 years or older;2020;18;4.0
193;Total male and female;Age: 60 years or older;2021;23;5.0
194;Total male and female;Age: 60 years or older;2022;27;5.7
195;Total male and female;Age: 60 years or older;2023;23;4.8
196;Total male and female;Method hanging/strangulation/suffocation;1996;22;
197;Total male and female;Method hanging/strangulation/suffocation;1997;33;
198;Total male and female;Method hanging/strangulation/suffocation;1998;23;
199;Total male and female;Method hanging/strangulation/suffocation;1999;19;
200;Total male and female;Method hanging/strangulation/suffocation;2000;24;
201;Total male and female;Method hanging/strangulation/suffocation;2001;12;
202;Total male and female;Method hanging/strangulation/suffocation;2002;14;
203;Total male and female;Method hanging/strangulation/suffocation;2003;16;
204;Total male and female;Method hanging/strangulation/suffocation;2004;23;
205;Total male and female;Method hanging/strangulation/suffocation;2005;24;
206;Total male and female;Method hanging/strangulation/suffocation;2006;12;
207;Total male and female;Method hanging/strangulation/suffocation;2007;16;
208;Total male and female;Method hanging/strangulation/suffocation;2008;12;
209;Total male and female;Method hanging/strangulation/suffocation;2009;13;
210;Total male and female;Method hanging/strangulation/suffocation;2010;12;
211;Total male and female;Method hanging/strangulation/suffocation;2011;13;
212;Total male and female;Method hanging/strangulation/suffocation;2012;15;
213;Total male and female;Method hanging/strangulation/suffocation;2013;21;
214;Total male and female;Method hanging/strangulation/suffocation;2014;17;
215;Total male and female;Method hanging/strangulation/suffocation;2015;13;
216;Total male and female;Method hanging/strangulation/suffocation;2016;9;
217;Total male and female;Method hanging/strangulation/suffocation;2017;14;
218;Total male and female;Method hanging/strangulation/suffocation;2018;18;
219;Total male and female;Method hanging/strangulation/suffocation;2019;6;
220;Total male and female;Method hanging/strangulation/suffocation;2020;14;
221;Total male and female;Method hanging/strangulation/suffocation;2021;16;
222;Total male and female;Method hanging/strangulation/suffocation;2022;14;
223;Total male and female;Method hanging/strangulation/suffocation;2023;12;
224;Total male and female;Method: Beating or kicking;1996;13;
225;Total male and female;Method: Beating or kicking;1997;9;
226;Total male and female;Method: Beating or kicking;1998;9;
227;Total male and female;Method: Beating or kicking;1999;21;
228;Total male and female;Method: Beating or kicking;2000;6;
229;Total male and female;Method: Beating or kicking;2001;9;
230;Total male and female;Method: Beating or kicking;2002;18;
231;Total male and female;Method: Beating or kicking;2003;17;
232;Total male and female;Method: Beating or kicking;2004;18;
233;Total male and female;Method: Beating or kicking;2005;7;
234;Total male and female;Method: Beating or kicking;2006;8;
235;Total male and female;Method: Beating or kicking;2007;15;
236;Total male and female;Method: Beating or kicking;2008;16;
237;Total male and female;Method: Beating or kicking;2009;19;
238;Total male and female;Method: Beating or kicking;2010;18;
239;Total male and female;Method: Beating or kicking;2011;18;
240;Total male and female;Method: Beating or kicking;2012;21;
241;Total male and female;Method: Beating or kicking;2013;12;
242;Total male and female;Method: Beating or kicking;2014;14;
243;Total male and female;Method: Beating or kicking;2015;13;
244;Total male and female;Method: Beating or kicking;2016;13;
245;Total male and female;Method: Beating or kicking;2017;21;
246;Total male and female;Method: Beating or kicking;2018;10;
247;Total male and female;Method: Beating or kicking;2019;22;
248;Total male and female;Method: Beating or kicking;2020;25;
249;Total male and female;Method: Beating or kicking;2021;14;
250;Total male and female;Method: Beating or kicking;2022;20;
251;Total male and female;Method: Beating or kicking;2023;17;
252;Total male and female;Method: Firearm;1996;86;
253;Total male and female;Method: Firearm;1997;78;
254;Total male and female;Method: Firearm;1998;74;
255;Total male and female;Method: Firearm;1999;89;
256;Total male and female;Method: Firearm;2000;81;
257;Total male and female;Method: Firearm;2001;91;
258;Total male and female;Method: Firearm;2002;80;
259;Total male and female;Method: Firearm;2003;75;
260;Total male and female;Method: Firearm;2004;67;
261;Total male and female;Method: Firearm;2005;63;
262;Total male and female;Method: Firearm;2006;43;
263;Total male and female;Method: Firearm;2007;47;
264;Total male and female;Method: Firearm;2008;52;
265;Total male and female;Method: Firearm;2009;55;
266;Total male and female;Method: Firearm;2010;41;
267;Total male and female;Method: Firearm;2011;60;
268;Total male and female;Method: Firearm;2012;54;
269;Total male and female;Method: Firearm;2013;35;
270;Total male and female;Method: Firearm;2014;47;
271;Total male and female;Method: Firearm;2015;41;
272;Total male and female;Method: Firearm;2016;31;
273;Total male and female;Method: Firearm;2017;46;
274;Total male and female;Method: Firearm;2018;40;
275;Total male and female;Method: Firearm;2019;33;
276;Total male and female;Method: Firearm;2020;32;
277;Total male and female;Method: Firearm;2021;34;
278;Total male and female;Method: Firearm;2022;38;
279;Total male and female;Method: Firearm;2023;29;
280;Total male and female;Method: Stabbing or battle weapon;1996;88;
281;Total male and female;Method: Stabbing or battle weapon;1997;76;
282;Total male and female;Method: Stabbing or battle weapon;1998;73;
283;Total male and female;Method: Stabbing or battle weapon;1999;81;
284;Total male and female;Method: Stabbing or battle weapon;2000;75;
285;Total male and female;Method: Stabbing or battle weapon;2001;103;
286;Total male and female;Method: Stabbing or battle weapon;2002;77;
287;Total male and female;Method: Stabbing or battle weapon;2003;95;
288;Total male and female;Method: Stabbing or battle weapon;2004;87;
289;Total male and female;Method: Stabbing or battle weapon;2005;70;
290;Total male and female;Method: Stabbing or battle weapon;2006;66;
291;Total male and female;Method: Stabbing or battle weapon;2007;66;
292;Total male and female;Method: Stabbing or battle weapon;2008;75;
293;Total male and female;Method: Stabbing or battle weapon;2009;69;
294;Total male and female;Method: Stabbing or battle weapon;2010;75;
295;Total male and female;Method: Stabbing or battle weapon;2011;62;
296;Total male and female;Method: Stabbing or battle weapon;2012;53;
297;Total male and female;Method: Stabbing or battle weapon;2013;56;
298;Total male and female;Method: Stabbing or battle weapon;2014;57;
299;Total male and female;Method: Stabbing or battle weapon;2015;49;
300;Total male and female;Method: Stabbing or battle weapon;2016;51;
301;Total male and female;Method: Stabbing or battle weapon;2017;68;
302;Total male and female;Method: Stabbing or battle weapon;2018;49;
303;Total male and female;Method: Stabbing or battle weapon;2019;59;
304;Total male and female;Method: Stabbing or battle weapon;2020;46;
305;Total male and female;Method: Stabbing or battle weapon;2021;55;
306;Total male and female;Method: Stabbing or battle weapon;2022;60;
307;Total male and female;Method: Stabbing or battle weapon;2023;58;
308;Total male and female;Method: other or unknown;1996;31;
309;Total male and female;Method: other or unknown;1997;41;
310;Total male and female;Method: other or unknown;1998;29;
311;Total male and female;Method: other or unknown;1999;20;
312;Total male and female;Method: other or unknown;2000;37;
313;Total male and female;Method: other or unknown;2001;49;
314;Total male and female;Method: other or unknown;2002;35;
315;Total male and female;Method: other or unknown;2003;44;
316;Total male and female;Method: other or unknown;2004;28;
317;Total male and female;Method: other or unknown;2005;33;
318;Total male and female;Method: other or unknown;2006;30;
319;Total male and female;Method: other or unknown;2007;20;
320;Total male and female;Method: other or unknown;2008;21;
321;Total male and female;Method: other or unknown;2009;19;
322;Total male and female;Method: other or unknown;2010;12;
323;Total male and female;Method: other or unknown;2011;12;
324;Total male and female;Method: other or unknown;2012;14;
325;Total male and female;Method: other or unknown;2013;23;
326;Total male and female;Method: other or unknown;2014;9;
327;Total male and female;Method: other or unknown;2015;4;
328;Total male and female;Method: other or unknown;2016;4;
329;Total male and female;Method: other or unknown;2017;9;
330;Total male and female;Method: other or unknown;2018;2;
331;Total male and female;Method: other or unknown;2019;5;
332;Total male and female;Method: other or unknown;2020;4;
333;Total male and female;Method: other or unknown;2021;7;
334;Total male and female;Method: other or unknown;2022;11;
335;Total male and female;Method: other or unknown;2023;9;
336;Total male and female;Location: house of the victim or others;1996;97;
337;Total male and female;Location: house of the victim or others;1997;70;
338;Total male and female;Location: house of the victim or others;1998;66;
339;Total male and female;Location: house of the victim or others;1999;95;
340;Total male and female;Location: house of the victim or others;2000;101;
341;Total male and female;Location: house of the victim or others;2001;133;
342;Total male and female;Location: house of the victim or others;2002;115;
343;Total male and female;Location: house of the victim or others;2003;113;
344;Total male and female;Location: house of the victim or others;2004;105;
345;Total male and female;Location: house of the victim or others;2005;114;
346;Total male and female;Location: house of the victim or others;2006;83;
347;Total male and female;Location: house of the victim or others;2007;92;
348;Total male and female;Location: house of the victim or others;2008;94;
349;Total male and female;Location: house of the victim or others;2009;102;
350;Total male and female;Location: house of the victim or others;2010;98;
351;Total male and female;Location: house of the victim or others;2011;93;
352;Total male and female;Location: house of the victim or others;2012;87;
353;Total male and female;Location: house of the victim or others;2013;91;
354;Total male and female;Location: house of the victim or others;2014;71;
355;Total male and female;Location: house of the victim or others;2015;65;
356;Total male and female;Location: house of the victim or others;2016;58;
357;Total male and female;Location: house of the victim or others;2017;77;
358;Total male and female;Location: house of the victim or others;2018;80;
359;Total male and female;Location: house of the victim or others;2019;61;
360;Total male and female;Location: house of the victim or others;2020;74;
361;Total male and female;Location: house of the victim or others;2021;81;
362;Total male and female;Location: house of the victim or others;2022;74;
363;Total male and female;Location: house of the victim or others;2023;69;
364;Total male and female;Location:  for trade and services;1996;15;
365;Total male and female;Location:  for trade and services;1997;15;
366;Total male and female;Location:  for trade and services;1998;9;
367;Total male and female;Location:  for trade and services;1999;10;
368;Total male and female;Location:  for trade and services;2000;21;
369;Total male and female;Location:  for trade and services;2001;13;
370;Total male and female;Location:  for trade and services;2002;13;
371;Total male and female;Location:  for trade and services;2003;19;
372;Total male and female;Location:  for trade and services;2004;15;
373;Total male and female;Location:  for trade and services;2005;18;
374;Total male and female;Location:  for trade and services;2006;12;
375;Total male and female;Location:  for trade and services;2007;18;
376;Total male and female;Location:  for trade and services;2008;8;
377;Total male and female;Location:  for trade and services;2009;10;
378;Total male and female;Location:  for trade and services;2010;10;
379;Total male and female;Location:  for trade and services;2011;21;
380;Total male and female;Location:  for trade and services;2012;11;
381;Total male and female;Location:  for trade and services;2013;8;
382;Total male and female;Location:  for trade and services;2014;11;
383;Total male and female;Location:  for trade and services;2015;4;
384;Total male and female;Location:  for trade and services;2016;10;
385;Total male and female;Location:  for trade and services;2017;11;
386;Total male and female;Location:  for trade and services;2018;11;
387;Total male and female;Location:  for trade and services;2019;6;
388;Total male and female;Location:  for trade and services;2020;2;
389;Total male and female;Location:  for trade and services;2021;4;
390;Total male and female;Location:  for trade and services;2022;14;
391;Total male and female;Location:  for trade and services;2023;8;
392;Total male and female;Location: public road;1996;40;
393;Total male and female;Location: public road;1997;51;
394;Total male and female;Location: public road;1998;47;
395;Total male and female;Location: public road;1999;58;
396;Total male and female;Location: public road;2000;40;
397;Total male and female;Location: public road;2001;67;
398;Total male and female;Location: public road;2002;63;
399;Total male and female;Location: public road;2003;65;
400;Total male and female;Location: public road;2004;70;
401;Total male and female;Location: public road;2005;47;
402;Total male and female;Location: public road;2006;30;
403;Total male and female;Location: public road;2007;34;
404;Total male and female;Location: public road;2008;50;
405;Total male and female;Location: public road;2009;42;
406;Total male and female;Location: public road;2010;36;
407;Total male and female;Location: public road;2011;31;
408;Total male and female;Location: public road;2012;34;
409;Total male and female;Location: public road;2013;25;
410;Total male and female;Location: public road;2014;44;
411;Total male and female;Location: public road;2015;35;
412;Total male and female;Location: public road;2016;31;
413;Total male and female;Location: public road;2017;45;
414;Total male and female;Location: public road;2018;22;
415;Total male and female;Location: public road;2019;42;
416;Total male and female;Location: public road;2020;33;
417;Total male and female;Location: public road;2021;28;
418;Total male and female;Location: public road;2022;28;
419;Total male and female;Location: public road;2023;31;
420;Total male and female;Location: other or unknown location;1996;88;
421;Total male and female;Location: other or unknown location;1997;101;
422;Total male and female;Location: other or unknown location;1998;86;
423;Total male and female;Location: other or unknown location;1999;67;
424;Total male and female;Location: other or unknown location;2000;61;
425;Total male and female;Location: other or unknown location;2001;51;
426;Total male and female;Location: other or unknown location;2002;33;
427;Total male and female;Location: other or unknown location;2003;50;
428;Total male and female;Location: other or unknown location;2004;33;
429;Total male and female;Location: other or unknown location;2005;18;
430;Total male and female;Location: other or unknown location;2006;34;
431;Total male and female;Location: other or unknown location;2007;20;
432;Total male and female;Location: other or unknown location;2008;24;
433;Total male and female;Location: other or unknown location;2009;21;
434;Total male and female;Location: other or unknown location;2010;14;
435;Total male and female;Location: other or unknown location;2011;20;
436;Total male and female;Location: other or unknown location;2012;25;
437;Total male and female;Location: other or unknown location;2013;23;
438;Total male and female;Location: other or unknown location;2014;18;
439;Total male and female;Location: other or unknown location;2015;16;
440;Total male and female;Location: other or unknown location;2016;9;
441;Total male and female;Location: other or unknown location;2017;25;
442;Total male and female;Location: other or unknown location;2018;6;
443;Total male and female;Location: other or unknown location;2019;16;
444;Total male and female;Location: other or unknown location;2020;12;
445;Total male and female;Location: other or unknown location;2021;13;
446;Total male and female;Location: other or unknown location;2022;27;
447;Total male and female;Location: other or unknown location;2023;17;
448;Male;Total;1996;171;22.3
449;Male;Total;1997;170;22.0
450;Male;Total;1998;158;20.3
451;Male;Total;1999;168;21.5
452;Male;Total;2000;153;19.4
453;Male;Total;2001;178;22.4
454;Male;Total;2002;159;19.9
455;Male;Total;2003;159;19.8
456;Male;Total;2004;164;20.4
457;Male;Total;2005;130;16.1
458;Male;Total;2006;103;12.7
459;Male;Total;2007;113;14.0
460;Male;Total;2008;126;15.5
461;Male;Total;2009;126;15.4
462;Male;Total;2010;101;12.3
463;Male;Total;2011;111;13.4
464;Male;Total;2012;104;12.5
465;Male;Total;2013;89;10.7
466;Male;Total;2014;113;13.5
467;Male;Total;2015;77;9.2
468;Male;Total;2016;74;8.8
469;Male;Total;2017;112;13.2
470;Male;Total;2018;76;8.9
471;Male;Total;2019;81;9.4
472;Male;Total;2020;77;8.9
473;Male;Total;2021;88;10.1
474;Male;Total;2022;95;10.8
475;Male;Total;2023;84;9.5
476;Male;Age: younger than 20 years;1996;16;8.3
477;Male;Age: younger than 20 years;1997;23;11.8
478;Male;Age: younger than 20 years;1998;18;9.2
479;Male;Age: younger than 20 years;1999;15;7.6
480;Male;Age: younger than 20 years;2000;15;7.5
481;Male;Age: younger than 20 years;2001;12;6.0
482;Male;Age: younger than 20 years;2002;16;7.9
483;Male;Age: younger than 20 years;2003;22;10.8
484;Male;Age: younger than 20 years;2004;20;9.8
485;Male;Age: younger than 20 years;2005;14;6.9
486;Male;Age: younger than 20 years;2006;11;5.4
487;Male;Age: younger than 20 years;2007;17;8.4
488;Male;Age: younger than 20 years;2008;7;3.5
489;Male;Age: younger than 20 years;2009;14;7.0
490;Male;Age: younger than 20 years;2010;15;7.5
491;Male;Age: younger than 20 years;2011;10;5.0
492;Male;Age: younger than 20 years;2012;11;5.5
493;Male;Age: younger than 20 years;2013;11;5.6
494;Male;Age: younger than 20 years;2014;10;5.1
495;Male;Age: younger than 20 years;2015;3;1.5
496;Male;Age: younger than 20 years;2016;5;2.6
497;Male;Age: younger than 20 years;2017;9;4.6
498;Male;Age: younger than 20 years;2018;10;5.1
499;Male;Age: younger than 20 years;2019;5;2.6
500;Male;Age: younger than 20 years;2020;11;5.7
501;Male;Age: younger than 20 years;2021;11;5.7
502;Male;Age: younger than 20 years;2022;11;5.7
503;Male;Age: younger than 20 years;2023;8;4.2
504;Male;Age: 20 to 29 years;1996;49;41.0
505;Male;Age: 20 to 29 years;1997;50;43.1
506;Male;Age: 20 to 29 years;1998;45;39.8
507;Male;Age: 20 to 29 years;1999;40;36.5
508;Male;Age: 20 to 29 years;2000;39;36.6
509;Male;Age: 20 to 29 years;2001;39;37.5
510;Male;Age: 20 to 29 years;2002;36;35.3
511;Male;Age: 20 to 29 years;2003;25;24.9
512;Male;Age: 20 to 29 years;2004;24;24.2
513;Male;Age: 20 to 29 years;2005;25;25.3
514;Male;Age: 20 to 29 years;2006;19;19.3
515;Male;Age: 20 to 29 years;2007;23;23.3
516;Male;Age: 20 to 29 years;2008;27;27.1
517;Male;Age: 20 to 29 years;2009;29;28.7
518;Male;Age: 20 to 29 years;2010;22;21.6
519;Male;Age: 20 to 29 years;2011;23;22.3
520;Male;Age: 20 to 29 years;2012;21;20.1
521;Male;Age: 20 to 29 years;2013;21;19.9
522;Male;Age: 20 to 29 years;2014;22;20.6
523;Male;Age: 20 to 29 years;2015;23;21.4
524;Male;Age: 20 to 29 years;2016;19;17.5
525;Male;Age: 20 to 29 years;2017;27;24.6
526;Male;Age: 20 to 29 years;2018;16;14.4
527;Male;Age: 20 to 29 years;2019;20;17.8
528;Male;Age: 20 to 29 years;2020;16;14.1
529;Male;Age: 20 to 29 years;2021;17;14.8
530;Male;Age: 20 to 29 years;2022;21;18.0
531;Male;Age: 20 to 29 years;2023;18;15.2
532;Male;Age: 30 to 39 years;1996;38;29.0
533;Male;Age: 30 to 39 years;1997;41;31.1
534;Male;Age: 30 to 39 years;1998;36;27.1
535;Male;Age: 30 to 39 years;1999;50;37.4
536;Male;Age: 30 to 39 years;2000;43;32.0
537;Male;Age: 30 to 39 years;2001;47;34.9
538;Male;Age: 30 to 39 years;2002;53;39.6
539;Male;Age: 30 to 39 years;2003;44;33.4
540;Male;Age: 30 to 39 years;2004;45;35.0
541;Male;Age: 30 to 39 years;2005;29;23.3
542;Male;Age: 30 to 39 years;2006;28;23.2
543;Male;Age: 30 to 39 years;2007;23;19.6
544;Male;Age: 30 to 39 years;2008;38;33.4
545;Male;Age: 30 to 39 years;2009;29;26.2
546;Male;Age: 30 to 39 years;2010;20;18.6
547;Male;Age: 30 to 39 years;2011;23;21.9
