ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpDeEigenLoonlijst_5;BrutoLonenEnSalarissen_6;TotaleBedrijfsopbrengsten_7;TotaleNettoOmzet_8;Hoofdactiviteit_9;Nevenactiviteiten_10;Buitenland_11;Binnenland_12;OverigeBedrijfsopbrengsten_13;TotaleBedrijfslasten_14;InkoopwaardeOmzet_15;Arbeidskosten_16;AfschrijvingenOpVasteActiva_17;TotaleOverigeBedrijfslasten_18;Verkoopkosten_19;Communicatiekosten_20;KostenEnergieverbruik_21;KostenVanDienstverleningDoorDerden_22;OverigePersoneelskosten_23;KostenVervoermiddelen_24;Huisvestingskosten_25;KostenInventaris_26;NietEerderGenoemdeBedrijfslasten_27;Bedrijfsresultaat_28;SaldoFinancieleBatenEnLasten_29;FinancieleBaten_30;FinancieleLasten_31;SaldoVoorzieningen_32;OnttrekkingenVrijvalVanVoorzieningen_33;ToevoegingenAanVoorzieningen_34;SaldoBuitengewoneBatenEnLasten_35;BuitengewoneBaten_36;BuitengewoneLasten_37;ResultaatVoorBelastingen_38
27;5122 Groothandel in bloemen en planten;2003;2345;22.9;19.7;19.0;16.2;499.0;8499.0;8485.0;8430.0;55.0;4824.0;3661.0;14.0;8234.0;6762.0;602.0;108.0;762.0;98.0;25.0;23.0;152.0;116.0;107.0;121.0;30.0;89.0;264.0;-43.0;20.0;63.0;-18.0;5.0;23.0;-2.0;9.0;11.0;202.0
28;5122 Groothandel in bloemen en planten;2004;2415;;;;;490.0;8216.0;8200.0;8159.0;41.0;5036.0;3164.0;16.0;7955.0;6587.0;587.0;90.0;691.0;79.0;22.0;19.0;150.0;102.0;98.0;117.0;23.0;80.0;261.0;-29.0;19.0;48.0;-5.0;4.0;9.0;-1.0;8.0;9.0;227.0
29;5122 Groothandel in bloemen en planten;2005;2370;22.0;18.5;18.8;15.6;484.0;8256.0;8238.0;8180.0;58.0;5391.0;2847.0;18.0;8036.0;6607.0;578.0;92.0;759.0;82.0;24.0;22.0;208.0;110.0;100.0;120.0;24.0;70.0;220.0;-29.0;17.0;46.0;-4.0;3.0;7.0;0.0;10.0;10.0;188.0
30;5123a Gh dieren,huiden,leder,ruwe tabak;2000;1395;4.9;4.5;3.1;2.7;80.0;4548.0;4536.0;4498.0;38.0;1043.0;3493.0;12.0;4461.0;4187.0;99.0;30.0;145.0;26.0;4.0;5.0;10.0;11.0;37.0;22.0;6.0;21.0;87.0;-19.0;7.0;26.0;0.0;1.0;0.0;5.0;8.0;3.0;74.0
31;5123a Gh dieren,huiden,leder,ruwe tabak;2001;1355;4.8;4.5;2.6;2.3;68.0;4376.0;4365.0;4338.0;27.0;1163.0;3202.0;11.0;4286.0;4046.0;85.0;24.0;131.0;25.0;4.0;3.0;10.0;12.0;33.0;11.0;5.0;30.0;92.0;-16.0;7.0;24.0;-1.0;1.0;3.0;2.0;3.0;1.0;75.0
32;5123a Gh dieren,huiden,leder,ruwe tabak;2002;1380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;5123a Gh dieren,huiden,leder,ruwe tabak;2003;1365;4.4;3.9;2.9;2.4;72.0;3936.0;3912.0;3901.0;11.0;1018.0;2894.0;24.0;3877.0;3616.0;90.0;21.0;150.0;19.0;3.0;4.0;44.0;7.0;27.0;16.0;4.0;23.0;58.0;-17.0;7.0;24.0;-2.0;0.0;2.0;-5.0;3.0;9.0;33.0
34;5123a Gh dieren,huiden,leder,ruwe tabak;2004;1390;;;;;56.0;3956.0;3948.0;3935.0;13.0;865.0;3083.0;8.0;3898.0;3716.0;69.0;16.0;97.0;13.0;3.0;2.0;19.0;9.0;20.0;9.0;3.0;17.0;57.0;-8.0;4.0;13.0;1.0;1.0;0.0;-2.0;1.0;3.0;48.0
35;5123a Gh dieren,huiden,leder,ruwe tabak;2005;1370;;;;;55.0;4148.0;4139.0;4131.0;8.0;1072.0;3067.0;9.0;4086.0;3884.0;66.0;12.0;124.0;17.0;4.0;2.0;27.0;9.0;23.0;12.0;4.0;24.0;62.0;-10.0;6.0;16.0;0.0;0.0;0.0;-7.0;0.0;7.0;45.0
36;513 Groothand. voedings- & genotmiddelen;2000;6475;90.1;75.1;78.7;64.6;1765.0;44007.0;43631.0;43182.0;449.0;11278.0;32353.0;376.0;42809.0;37354.0;2130.0;415.0;2910.0;796.0;63.0;90.0;340.0;362.0;321.0;316.0;119.0;501.0;1198.0;-131.0;139.0;271.0;-36.0;26.0;62.0;-116.0;80.0;196.0;914.0
37;513 Groothand. voedings- & genotmiddelen;2001;6480;89.3;75.8;76.6;64.7;1848.0;47753.0;47384.0;46171.0;1213.0;11946.0;35438.0;369.0;46082.0;40350.0;2237.0;481.0;3014.0;872.0;66.0;95.0;266.0;415.0;344.0;371.0;111.0;473.0;1672.0;-117.0;196.0;313.0;-4.0;59.0;63.0;7.0;152.0;145.0;1557.0
38;513 Groothand. voedings- & genotmiddelen;2002;6555;86.3;74.3;74.1;63.5;1906.0;49207.0;48943.0;47829.0;1114.0;13164.0;35779.0;264.0;47256.0;40591.0;2297.0;693.0;3675.0;1068.0;76.0;92.0;402.0;436.0;379.0;378.0;142.0;700.0;1951.0;-126.0;192.0;319.0;-6.0;55.0;61.0;-740.0;128.0;868.0;1079.0
39;513 Groothand. voedings- & genotmiddelen;2003;6580;78.5;68.5;67.9;58.7;1863.0;48710.0;48246.0;47760.0;486.0;13411.0;34835.0;464.0;47060.0;40242.0;2281.0;1051.0;3486.0;1092.0;77.0;86.0;510.0;412.0;314.0;348.0;119.0;528.0;1650.0;-193.0;101.0;294.0;-52.0;22.0;74.0;20.0;121.0;101.0;1426.0
40;513 Groothand. voedings- & genotmiddelen;2004;6670;77.7;66.5;67.4;57.1;1885.0;51942.0;51493.0;50884.0;609.0;14078.0;37415.0;449.0;49870.0;43252.0;2319.0;666.0;3633.0;956.0;94.0;95.0;712.0;438.0;340.0;369.0;126.0;503.0;2071.0;-114.0;250.0;363.0;-18.0;47.0;65.0;-187.0;100.0;287.0;1752.0
