ID;Perioden;BrutoBinnenlandsProductMarktprijzen_1;VerbruikVanVasteActiva_2;ExploitatieoverschotEnGemengdInkomen_3;NationaalInkomenBruto_4;BeschikbaarNationaalInkomenBruto_5;NationaleBesparingenBruto_6;InvesteringenBruto_7;NationaalVorderingensaldo_8;SaldoKredietenAanPrivateSector_9;KredietAanPrivateSectorUltimoStand_10;ArbeidsvolumeWerkzamePersonen_11;BrutoToegevoegdeWaarde_12;ExploitatieoverschotBruto_13;BrutowinstVoorBelasting_14;WinstVanBuitenlandseDochters_15;Winstquote_16;Investeringsquote_17;ArbeidsvolumeWerknemers_18;BrutoToegevoegdeWaarde_19;BrutoWinstVoorBelasting_20;WinstVanBuitenlandseDochters_21;FinancieelVermogen_22;OntvangenInkomenUitVermogen_23;BetaaldInkomenUitVermogen_24;LiquiditeitRatioMonetaireInstellingen_25;FinancieleActivaPensioenfondsen_26;ArbeidsvolumeWerknemers_27;TotaalInkomsten_28;BelastingEnPremieontvangsten_29;TotaalUitgaven_30;OverheidsschuldEMU_31;OverheidssaldoEMU_32;ArbeidsvolumeWerknemers_33;ExploitatieoverschotEnGemengdInkomen_34;GemengdInkomen_35;BeschikbaarInkomenBruto_36;ReeelBeschikbaarInkomenNetto_37;AlternatiefBeschikbaarInkomenBruto_38;ConsumptieveBestedingenBruto_39;VrijeIndividueleBesparingen_40;Spaarquote_41;Investeringsquote_42;SpaartegoedenEnOverigeDepositoS_43;VerzekeringsEnPensioenregelingen_44;VoorzieningenPensioenverzekeringen_45;Woninghypotheken_46;SaldoOpgenomenEnAfgelosteHypotheken_47;ArbeidsvolumeWerknemers_48;ArbeidsvolumeZelfstandigen_49;AandeelUitvoeroverschotInBbp_50;Uitvoeroverschot_51;SaldoPrimaireInkomensBuitenland_52;SaldoInkomensoverdrachtenBuitenland_53;SaldoKapitaaloverdrachtenBuitenland_54;SaldoLopendeRekening_55;ExternVermogen_56;ExternVermogenMarktwaarde_57
10;2000 2e kwartaal;113173;17274;38499;112973;111225;30475;25204;4973;19.2;205.9;;63200;18735;19506;;29.6;19.1;;7410;8042;;-28892;3.5;2.6;18.5;469118;;44.3;37.0;43.6;56.6;0.7;;12886;9467;66134;;80718;56433;9701;20.1;11.9;150572;532001;424656;331071;10790;;;6.4;7228;-200;-1757;-297;5271;-390353;
11;2000 3e kwartaal;111016;17295;46751;111942;110147;31386;23892;7133;18.2;208.1;;63839;25264;25435;;39.6;20.4;;7440;8900;;-55409;3.6;2.6;19.7;478679;;44.1;36.7;43.3;55.6;0.8;;13810;10276;56964;;70461;56820;144;7.5;12.1;152335;543268;436445;341964;10307;;;7.5;8375;926;-1807;-360;7494;-397686;
12;2000 4e kwartaal;118873;17328;50124;116838;114885;33414;27557;5751;20.0;210.7;;66514;27654;28455;;41.6;18.1;;7511;6972;;-77559;3.7;2.8;18.7;464692;;44.3;36.9;43.2;52.2;1.1;;14084;10664;56831;2.6;71052;56910;-79;6.7;11.5;154097;560062;448234;349592;9830;;;8.3;9855;-2035;-1963;-105;5857;-387524;
13;2000;452191;69098;180662;448542;441182;123149;101557;20743;20.0;210.7;6719.0;255625;95498;96428;;37.4;18.9;4178.0;29850;29425;;-77559;3.7;2.8;18.7;464692;243.0;44.3;36.9;43.2;52.2;1.1;977.0;54118;40410;235627;2.6;292271;225287;10340;10.8;12.2;154097;560062;448234;349592;39100;371.0;949.0;7.2;32643;-3649;-7402;-845;21592;-387524;
14;2001 1e kwartaal;118367;18562;49588;115042;113168;31417;27200;4293;16.5;207.2;;68630;28350;26424;;41.3;17.8;;7751;7245;;-88985;3.7;2.7;22.6;450264;;44.2;36.8;43.2;51.5;1.0;;12500;10713;59719;1.9;75236;57861;1858;7.5;13.3;164562;568317;453503;357117;7219;;;8.0;9431;-3325;-1889;71;4217;-389803;
15;2001 2e kwartaal;121698;18639;42269;119400;117602;31449;27157;4261;15.7;207.7;;69452;22570;18675;;32.5;18.0;;8005;8290;;-79615;3.7;2.8;19.9;458730;;43.9;36.2;43.4;52.6;0.6;;12122;10322;72938;3.4;89009;59718;13220;21.2;11.9;168045;567517;459240;366310;8887;;;6.9;8397;-2298;-1807;-37;4292;-384088;
16;2001 3e kwartaal;117722;18667;48916;115622;113654;29902;26390;3445;13.6;207.8;;68047;27300;26427;;40.1;16.6;;7998;7337;;-102136;3.7;2.8;21.0;415250;;44.0;36.2;43.7;51.2;0.3;;13250;11227;63281;4.6;78014;59814;3467;10.0;10.8;172322;576990;465106;374790;8175;;;6.5;7595;-2100;-1983;-72;3512;-353335;
17;2001 4e kwartaal;125154;18697;52121;120706;118713;31651;28419;3298;12.2;210.1;;69809;29171;29767;;41.8;19.0;;8630;6791;;-65647;3.4;2.7;20.9;450975;;43.6;35.8;44.1;49.5;-0.5;;13088;11307;62327;6.1;78010;60346;1981;7.4;13.5;171537;581076;470782;382875;7780;;;7.7;9685;-4448;-2005;60;3232;-344075;
18;2001;482941;74565;192894;470770;463137;124419;109166;15297;12.2;210.1;6825.0;275938;107391;101294;;38.9;17.9;4265.0;32384;29663;;-65647;3.4;2.7;20.9;450975;244.0;43.6;35.8;44.1;49.5;-0.5;999.0;50960;43569;258265;6.1;320269;237739;20526;12.0;12.3;171537;581076;470782;382875;32061;381.0;936.0;7.3;35108;-12171;-7684;22;15253;-344075;
19;2002 1e kwartaal;122927;19783;50354;120423;118553;31412;26644;4834;13.1;209.8;;70521;28477;27711;;40.4;16.7;;9009;5573;;-56570;3.3;2.6;20.4;466257;;43.6;35.8;44.3;50.0;-0.7;;12474;10233;61331;4.8;78243;60914;417;6.6;13.9;178996;588208;480533;389256;7265;;;7.4;9158;-2504;-1886;66;4768;-352073;
20;2002 2e kwartaal;126957;19859;43247;122077;120054;28530;26569;1953;9.8;208.3;;71975;22579;19834;;31.4;17.1;;8694;7093;;-73624;3.3;2.6;20.3;431301;;43.3;35.8;44.5;50.1;-1.2;;12497;10397;76698;3.3;94786;62584;14114;22.6;11.1;183411;601345;490686;398536;9183;;;7.0;8873;-4880;-2032;-8;1961;-348516;
21;2002 3e kwartaal;123183;19889;52106;120384;118779;29630;25068;4166;12.7;210.8;;71895;29992;30010;;41.7;15.6;;8186;5594;;-59190;3.2;2.6;20.0;413358;;42.8;35.4;44.6;49.4;-1.8;;13703;11398;64614;1.0;80996;62874;1740;8.8;11.5;186157;620477;500771;408010;9290;;;7.3;8982;-2799;-1621;-396;4562;-283783;
22;2002 4e kwartaal;129834;19933;53726;125533;123535;31344;27156;4242;10.6;210.7;;72809;30656;31759;;42.1;15.6;;8257;4226;;-49177;3.1;2.5;19.4;429584;;42.6;35.3;44.8;48.8;-2.2;;13973;11866;64565;-0.5;82058;62842;1723;8.3;11.6;187520;632333;510534;417227;8900;;;8.1;10502;-4301;-2013;54;4188;-274853;
23;2002;502901;79464;199433;488417;480921;120916;105437;15195;10.6;210.7;6813.0;287200;111704;109315;;38.9;16.2;4248.0;34146;22486;;-49177;3.1;2.5;19.4;429584;242.0;42.6;35.3;44.8;48.8;-2.2;1020.0;52647;43894;267208;-0.5;336083;249214;17994;12.1;12.0;187520;632333;510534;417227;34638;377.0;926.0;7.5;37515;-14484;-7552;-284;15479;-274853;
24;2003 1e kwartaal;126858;20614;52808;123207;121232;30450;26220;4342;11.2;211.5;;72523;29832;29257;;41.1;15.1;;9045;4766;;-45870;3.0;2.4;21.3;424651;;42.5;35.2;45.0;49.8;-2.4;;13226;10909;61913;-0.7;79949;62950;-1037;4.9;13.9;194354;645455;520513;425279;6751;;;7.8;9873;-3651;-1992;108;4230;-233100;
25;2003 2e kwartaal;129628;20694;43796;127508;125394;30592;26161;4442;13.2;213.6;;73005;21948;21969;;30.1;16.6;;9233;6991;;-44498;2.8;2.2;20.1;452967;;42.5;35.2;45.2;49.4;-2.7;;12898;10406;77193;-1.7;96392;64148;13045;21.9;11.1;200502;658581;531522;435145;8498;;;6.7;8676;-2120;-2125;7;4431;-229163;
26;2003 3e kwartaal;125400;20736;51795;125283;122957;30831;24617;6229;11.4;216.2;;70863;28076;30654;;39.6;14.3;;9009;6741;;-48250;2.7;2.1;20.3;461062;;42.4;35.1;45.6;50.3;-3.2;;14242;11276;66583;-1.1;84131;64176;2407;10.2;10.7;205579;668057;542150;448502;11979;;;6.9;8674;-117;-2343;11;6214;-219977;
27;2003 4e kwartaal;133015;20791;54639;132496;130953;35841;28202;7751;11.3;225.7;;73646;30328;33463;;41.2;17.2;;8668;5686;;-38653;2.6;2.0;20.8;479672;;42.6;35.1;45.8;49.9;-3.2;;14489;11469;64715;-1.7;83335;63924;791;7.6;12.7;205216;675793;552580;457229;7373;;;7.3;9717;-519;-1559;108;7639;-225716;
28;2003;514901;82835;203038;508494;500536;127714;105200;22764;11.3;225.7;6733.0;290037;110184;115342;;38.0;15.8;4167.0;35955;24184;;-38653;2.6;2.0;20.8;479672;236.0;42.6;35.1;45.8;49.9;-3.2;1039.0;54855;44060;270404;-1.7;343807;255198;15206;11.7;12.0;205216;675793;552580;457229;34601;370.0;921.0;7.2;36940;-6407;-8019;234;22514;-225716;
29;2004 1e kwartaal;129990;21349;55026;128767;126097;33670;26833;6974;9.9;225.1;;74327;31036;36445;;41.8;14.4;;9386;6251;;-31992;2.6;2.0;20.8;501848;;42.4;34.9;45.6;50.8;-3.2;;13606;10918;62844;-1.1;81068;64109;-1265;4.5;15.2;208992;680142;549109;464575;7710;;;8.3;10748;-1223;-2688;127;6837;-216386;
30;2004 2e kwartaal;134167;21437;45715;131030;129044;32181;26514;5714;8.7;224.6;;75659;23492;26175;;31.0;16.2;;8841;5737;;-31672;2.6;2.1;21.1;512265;;42.3;34.7;45.3;51.1;-3.0;;13503;10509;80634;0.2;100751;65656;14978;23.7;11.3;221508;672832;546824;473681;9533;;;8.1;10802;-3137;-1998;37;5667;-213676;
31;2004 3e kwartaal;129615;21487;55167;128276;126044;31788;25206;6615;8.0;224.9;;73970;31091;36053;;42.0;14.9;;9184;6872;;-14753;2.6;2.1;20.4;517711;;42.7;34.8;44.9;51.6;-2.2;;14395;11155;65702;-0.6;83732;65775;-73;6.9;11.0;224120;675125;543663;483489;10274;;;7.8;10168;-1339;-2247;23;6582;-173924;
32;2004 4e kwartaal;137801;21548;57818;135911;134109;37358;29013;8482;9.2;226.1;;76489;32650;41271;;42.7;16.2;;9042;6217;;-10071;2.5;2.1;20.2;537243;;42.8;35.0;44.7;50.2;-1.8;;14763;11354;65664;0.1;85051;65018;646;7.4;13.3;220026;678489;540455;489965;6959;;;8.7;12050;-1890;-1815;126;8345;-186575;
33;2004;531573;85821;213726;523984;515294;134997;107566;27785;9.2;226.1;6684.0;300445;118269;139942;;39.4;15.5;4123.0;36453;25077;;-10071;2.5;2.1;20.2;537243;231.0;42.8;35.0;44.7;50.2;-1.8;1021.0;56267;43936;274844;0.1;350602;260558;14286;11.4;12.6;220026;678489;540455;489965;34476;365.0;943.0;8.2;43768;-7589;-8748;313;27431;-186575;
34;2005 1e kwartaal;134225;22102;58220;132940;130028;35890;27184;8611;11.3;226.3;;76348;32841;41112;;43.0;15.4;;9557;6076;;8480;2.5;2.0;22.1;573840;;42.9;35.1;44.2;50.0;-1.4;;14097;11221;62928;-0.4;81795;64936;-2008;4.4;14.6;224067;697909;554014;497306;7350;;;9.6;12920;-1285;-2929;-96;8706;-154744;
35;2005 2e kwartaal;139590;22189;49149;135519;133726;34498;28369;6235;15.4;230.9;;79481;26234;34016;;33.0;15.9;;9264;7164;;24635;2.4;2.0;21.8;624183;;42.6;35.1;43.8;52.2;-1.2;;13671;10737;80680;-1.8;101305;67103;13577;21.2;12.3;229570;723249;568803;505129;7822;;;8.6;12004;-4071;-1804;101;6129;-137975;
36;2005 3e kwartaal;135254;22245;58203;131962;130081;32695;26763;6041;16.2;232.1;;77409;33476;40277;;43.2;15.8;;9289;8433;;57507;2.5;2.0;23.3;663648;;42.6;35.2;43.5;50.5;-0.8;;14891;11725;68359;-0.5;87450;67961;398;7.8;13.1;232014;739427;583074;516756;11630;;;8.2;11123;-3292;-1899;103;5932;-111742;
37;2005 4e kwartaal;144053;22307;61833;144915;142780;42457;30473;11669;13.4;230.4;;79753;34871;42345;;43.7;15.4;;9526;8914;;53094;2.5;2.0;21.0;695919;;42.9;35.3;43.4;49.6;-0.5;;15207;11588;66103;-0.9;86109;67616;-1513;5.1;14.1;231257;754310;596118;525942;9195;;;9.2;13269;862;-2147;-321;11984;-153646;
38;2005;553122;88843;227405;545336;536615;145540;112789;32556;13.4;230.4;6700.0;312991;127422;157750;;40.7;15.6;4140.0;37636;30587;;53094;2.5;2.0;21.0;695919;230.0;42.9;35.3;43.4;49.6;-0.5;1002.0;57866;45271;278070;-0.9;356659;267616;10454;10.2;13.5;231257;754310;596118;525942;35997;361.0;966.0;8.9;49316;-7786;-8779;-213;32751;-153646;
39;2006 1e kwartaal;143129;23093;64774;145787;143075;43931;29252;14606;12.7;228.9;;81634;37258;48365;;45.6;15.0;;9661;10917;;81343;2.6;2.1;23.7;717508;;43.1;35.5;43.6;49.0;-0.4;;15476;11968;65346;-0.4;87094;66892;-1546;3.0;15.1;236445;734359;589541;535555;9828;;;10.3;14736;2658;-2715;114;14679;-149913;
40;2006 2e kwartaal;148135;23195;54375;143336;141329;36600;30158;6398;9.7;227.7;;84134;29487;35209;;35.0;16.3;;9387;8942;;78989;2.8;2.3;22.7;702076;;43.5;35.6;43.8;48.4;-0.3;;15809;11826;84072;0.5;107772;69420;14652;21.4;12.8;241118;723796;587251;545415;10044;;;8.9;13250;-4799;-2009;-55;6442;-150499;
41;2006 3e kwartaal;143199;23202;63758;140520;138024;35714;29144;6469;11.3;229.3;;82167;37022;42749;;45.1;15.6;;9156;10071;;86813;2.9;2.4;23.3;726691;;43.7;35.8;44.0;47.3;-0.3;;16706;12201;69119;-0.6;91116;69686;-567;3.8;13.8;241959;732347;587125;553246;7743;;;8.2;11746;-2679;-2497;-112;6570;-150213;
42;2006 4e kwartaal;152981;23274;65760;153517;150510;45674;34429;10487;11.6;227.1;;84496;36464;43873;;43.2;17.5;;9140;9522;;81770;3.0;2.5;23.8;742465;;44.0;36.2;44.0;45.0;0.0;;17244;12358;71856;1.5;95015;68714;3142;6.4;15.3;242181;747696;595011;564045;10921;;;9.0;13701;536;-2992;-17;11245;-145136;
43;2006;587444;92764;248667;583160;572938;161919;122983;37960;11.6;227.1;6846.0;332431;140231;170196;;42.2;16.1;4234.0;37344;39452;;81770;3.0;2.5;23.8;742465;239.0;44.0;36.2;44.0;45.0;0.0;996.0;65235;48353;290393;1.5;380997;274712;15681;9.4;14.2;242181;747696;595011;564045;38536;366.0;1011.0;9.1;53433;-4284;-10213;-70;38936;-145136;
44;2007 1e kwartaal;152466;24261;68683;152742;150086;46294;32800;13486;14.7;228.7;;86674;39522;49832;;45.6;16.1;;9227;10082;;85619;3.0;2.6;25.5;758422;;44.0;36.1;43.8;45.2;0.2;;17751;13294;68443;1.8;91609;69422;-979;3.1;17.2;247599;756664;596460;575866;11896;;;10.4;15872;276;-2654;-22;13494;-110746;
45;2007 2e kwartaal;156556;24336;58908;150594;148774;39520;33467;5950;15.2;228.4;;89952;32816;47494;;36.5;16.6;;9029;6144;;91856;3.1;2.7;25.6;767066;;43.7;36.1;43.7;45.4;0.0;;17392;12292;87073;1.9;112020;71694;15379;21.5;14.0;257380;751530;587683;584458;8779;;;8.8;13832;-5962;-1817;-113;6053;-142531;
46;2007 3e kwartaal;151720;24403;69215;149994;147775;40964;32866;8063;13.8;228.3;;88395;40584;52154;;45.9;15.9;;9650;11607;;101749;3.3;2.9;25.2;774260;;43.0;35.7;43.4;44.4;-0.5;;18137;12494;71872;2.9;94806;72264;-392;4.1;14.3;258430;749849;586358;596169;11648;;;7.9;12042;-1726;-2218;-47;8098;-159673;
47;2007 4e kwartaal;162033;24499;69530;161506;158892;48129;45529;6345;14.4;226.9;;90199;38789;49436;;43.0;29.4;;9509;10638;;114546;3.3;2.9;25.1;761407;;43.0;35.6;43.3;42.8;-0.3;;18866;12826;74735;1.7;99916;72493;2242;6.5;15.5;261427;738955;583035;603899;7779;;;3.5;5721;-527;-2594;-305;2600;-189224;
48;2007;622775;97499;266336;614836;605527;174907;144662;33844;14.4;226.9;7034.0;355220;151711;198916;;42.7;19.5;4362.0;37415;38471;;114546;3.3;2.9;25.1;761407;240.0;43.0;35.6;43.3;42.8;-0.3;999.0;72146;50906;302123;1.7;398351;285873;16250;9.5;15.2;261427;738955;583035;603899;40102;374.0;1057.0;7.6;47467;-7939;-9283;-487;30245;-189224;
49;2008 1e kwartaal;160481;25556;71679;152736;149883;41296;35090;5265;14.2;228.9;;91300;40192;48509;;44.0;16.1;;9652;5542;;73898;3.5;3.0;24.9;746916;;43.5;35.8;43.6;43.7;-0.1;;18600;13447;70079;1.2;94239;72349;-2270;2.5;17.6;267390;767103;615466;610038;6049;;;10.5;16820;-7745;-2869;-793;6206;-146532;
50;2008 2e kwartaal;165102;25680;60484;155752;153932;39434;36418;2572;15.4;230.1;;94602;33317;42436;;35.2;17.8;;9334;2732;;78171;3.5;3.0;24.3;716197;;43.7;35.9;43.8;43.6;0.0;;17968;12168;91134;1.2;117424;74911;16223;23.1;13.1;276286;747108;596863;619317;9545;;;8.6;14194;-9350;-1828;-144;3016;-161353;
51;2008 3e kwartaal;159601;25770;71774;154756;152962;41768;35505;5853;13.9;229.9;;93257;42633;51472;;45.7;17.5;;9332;8027;;29721;3.6;2.9;24.0;679210;;44.0;36.1;43.8;43.9;0.2;;18756;12997;74121;0.8;98319;74721;-600;5.3;14.2;276789;784777;633948;626921;7471;;;8.1;12913;-4845;-1805;-163;6263;-140344;
52;2008 4e kwartaal;166115;25864;71018;155962;153258;39839;37614;1735;12.1;229.7;;92822;39264;46398;;42.3;17.7;;8943;-895;;-42544;3.5;2.8;20.7;710368;;44.3;36.1;44.3;54.3;0.0;;18738;13517;76544;0.7;103225;72923;3621;11.0;14.2;280758;874639;711132;636343;7397;;;9.1;15076;-10153;-2698;-321;2225;-96407;
53;2008;651299;102870;274955;619206;610035;162337;144627;15425;12.1;229.7;7160.0;371981;155406;188815;;41.8;17.3;4456.0;37261;15406;;-42544;3.5;2.8;20.7;710368;234.0;44.3;36.1;44.3;54.3;0.0;1016.0;74062;52129;311878;0.7;413207;294904;16974;11.3;14.6;280758;874639;711132;636343;30462;380.0;1072.0;9.1;59003;-32093;-9200;-1421;17710;-96407;
54;2009 1e kwartaal;157417;26531;67834;147854;144684;34890;34430;186;10.6;234.4;;90892;38695;45806;8331.0;42.6;16.5;;10719;1654;-2956.0;-53648;3.3;2.7;20.0;681486;;44.2;36.1;45.0;57.1;-0.9;;15621;12010;69150;0.2;95382;71030;-1880;5.1;15.6;291746;863411;712375;642419;5975;;;8.4;13203;-9563;-3180;-184;460;-112986;
55;2009 2e kwartaal;158785;26645;54404;155711;156727;42643;33007;9464;8.8;239.1;;90193;28324;35715;8956.0;31.4;17.7;;10567;3470;741.0;11923;2.9;2.3;19.0;679751;;43.9;35.8;45.8;56.3;-1.9;;15544;12500;92703;0.8;120940;71660;21043;28.5;11.3;299603;832900;685618;649577;7266;;;7.4;11709;-3074;1001;-230;9636;-81931;
56;2009 3e kwartaal;153012;26728;66249;146268;144599;33529;30189;3190;8.9;243.5;;88034;37535;43472;7797.0;42.6;16.5;;11306;5142;-1497.0;50301;2.5;1.9;18.7;720730;;43.9;35.8;47.3;56.8;-3.4;;16173;13591;72849;0.6;99085;71991;858;8.4;11.4;300887;851759;701714;655596;5926;;;7.7;11774;-6744;-1690;-79;3340;-65655;
57;2009 4e kwartaal;160959;26836;66932;157704;155533;40932;32043;8486;9.8;250.7;;88294;35006;43592;9536.0;39.6;16.4;;11916;7816;1235.0;13076;2.2;1.7;18.5;734692;;43.3;35.3;48.4;56.3;-5.1;;16834;13607;77855;0.9;106407;71246;6609;13.9;11.7;295993;887820;732542;668193;4862;;;8.9;14320;-3255;-2176;-223;8889;-157585;
58;2009;630173;106740;255419;607537;601543;151994;129669;21326;9.8;250.7;7077.0;357413;139560;168585;34620.0;39.0;16.8;4368.0;44508;18082;-2477.0;13076;2.2;1.7;18.5;734692;232.0;43.3;35.3;48.4;56.3;-5.1;1030.0;64172;51708;312557;0.9;421814;285927;26630;15.0;12.4;295993;887820;732542;668193;24029;375.0;1070.0;8.1;51006;-22636;-6045;-716;22325;-157585;
59;2010 1e kwartaal;156203;27243;67869;152990;149973;39118;31286;7426;7.6;253.2;;87328;36617;42904;7276.0;41.9;16.8;;12381;8110;1542.0;9718;2.0;1.6;19.1;778186;;43.4;35.3;48.8;57.2;-5.5;;15693;13539;72756;2.4;100092;70897;1859;7.9;12.1;302286;922286;768894;672237;3949;;;9.0;14050;-3213;-3005;-421;7832;-132197;
60;2010 2e kwartaal;163370;27356;59580;165133;163373;46788;35552;9976;6.6;254.4;;91918;31214;42560;12077.0;34.0;17.9;;12881;6889;1180.0;-39262;2.0;1.5;18.9;781743;;43.7;35.7;49.3;58.8;-5.6;;15308;13092;89722;-0.3;119412;72861;16861;23.3;10.3;308340;978724;830180;679533;7245;;;6.9;11218;1763;-1745;-130;11236;-134807;
61;2010 3e kwartaal;157373;27433;70640;156402;154340;40412;30475;9530;4.5;252.0;;90142;40097;48659;9978.0;44.5;15.2;;13204;8398;1008.0;-70486;1.9;1.5;18.7;822197;;43.3;35.5;49.1;58.7;-5.8;;15907;13688;75875;0.5;103489;73637;2238;8.8;10.7;307341;1044721;892133;684055;4545;;;8.2;12964;-971;-2056;-414;9937;-113135;
62;2010 4e kwartaal;166076;27537;69313;165081;163326;45180;31530;12589;3.2;250.3;;90461;36029;46065;11134.0;39.8;15.2;;13255;8240;1564.0;1478;1.9;1.5;18.1;798727;;43.6;35.8;48.9;58.9;-5.3;;16481;13241;77697;-0.6;107610;73462;4235;10.4;10.9;305853;976719;823314;687594;3733;;;9.9;16380;-995;-1735;-1050;13650;-123363;
