ID;BuildingPhases;Aspects;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;Agriculture_5;ManufacturingAndConstructionIndustry_6;TradeHotelsAndRestaurants_7;TransportStorageAndCommunication_8;ProvisionOfBusinessServices_9;GovernmentAndPublicAdministration_10;Education_11;HealthAndSocialWork_12;OtherServiceActivities_13
30;Orders received by contractors;0;1996 November;1288.0;233.0;1055.0;760.0;29.0;57.0;57.0;25.0;43.0;13.0;15.0;19.0;38.0
31;Orders received by contractors;0;1996 December;1192.0;178.0;1014.0;673.0;27.0;62.0;54.0;41.0;80.0;17.0;3.0;25.0;29.0
32;Orders received by contractors;0;1996 4th quarter;3761.0;617.0;3144.0;2175.0;88.0;191.0;164.0;88.0;203.0;36.0;29.0;69.0;102.0
33;Orders received by contractors;0;1996;13368.0;2469.0;10899.0;7102.0;306.0;730.0;719.0;277.0;814.0;191.0;147.0;322.0;291.0
34;Orders received by contractors;0;1997 January;900.0;173.0;727.0;464.0;21.0;44.0;50.0;39.0;54.0;2.0;5.0;15.0;33.0
35;Orders received by contractors;0;1997 February;835.0;150.0;685.0;431.0;20.0;44.0;48.0;24.0;52.0;10.0;10.0;26.0;21.0
36;Orders received by contractors;0;1997 March;1099.0;182.0;917.0;578.0;29.0;66.0;52.0;39.0;52.0;10.0;26.0;17.0;49.0
37;Orders received by contractors;0;1997 1st quarter;2834.0;505.0;2329.0;1473.0;70.0;154.0;150.0;101.0;158.0;22.0;41.0;57.0;103.0
38;Orders received by contractors;0;1997 April;1180.0;211.0;969.0;570.0;34.0;74.0;52.0;22.0;131.0;45.0;3.0;19.0;19.0
39;Orders received by contractors;0;1997 May;1055.0;161.0;894.0;534.0;45.0;95.0;42.0;18.0;107.0;6.0;19.0;10.0;19.0
40;Orders received by contractors;0;1997 June;1368.0;269.0;1099.0;707.0;44.0;68.0;69.0;27.0;98.0;4.0;17.0;30.0;36.0
41;Orders received by contractors;0;1997 2nd quarter;3603.0;640.0;2963.0;1810.0;123.0;237.0;163.0;67.0;337.0;55.0;39.0;60.0;73.0
42;Orders received by contractors;0;1997 July;1100.0;214.0;886.0;546.0;50.0;41.0;103.0;17.0;71.0;11.0;17.0;18.0;12.0
43;Orders received by contractors;0;1997 August;981.0;168.0;813.0;524.0;48.0;39.0;64.0;35.0;44.0;8.0;15.0;18.0;18.0
44;Orders received by contractors;0;1997 September;1543.0;241.0;1302.0;851.0;65.0;64.0;92.0;40.0;90.0;48.0;12.0;20.0;20.0
45;Orders received by contractors;0;1997 3rd quarter;3624.0;623.0;3001.0;1921.0;164.0;144.0;258.0;93.0;204.0;68.0;44.0;55.0;50.0
46;Orders received by contractors;0;1997 October;1383.0;256.0;1127.0;788.0;39.0;56.0;51.0;17.0;78.0;37.0;20.0;15.0;27.0
47;Orders received by contractors;0;1997 November;1432.0;260.0;1172.0;711.0;47.0;83.0;90.0;72.0;102.0;20.0;10.0;14.0;23.0
48;Orders received by contractors;0;1997 December;1369.0;263.0;1106.0;716.0;48.0;45.0;49.0;51.0;93.0;23.0;18.0;36.0;25.0
49;Orders received by contractors;0;1997 4th quarter;4183.0;779.0;3404.0;2215.0;134.0;185.0;191.0;140.0;273.0;80.0;48.0;64.0;75.0
50;Orders received by contractors;0;1997;14246.0;2547.0;11699.0;7419.0;491.0;720.0;761.0;401.0;972.0;224.0;172.0;237.0;301.0
51;Orders received by contractors;0;1998 January;1025.0;231.0;794.0;454.0;34.0;58.0;68.0;25.0;86.0;5.0;15.0;21.0;28.0
52;Orders received by contractors;0;1998 February;1071.0;180.0;891.0;526.0;38.0;77.0;63.0;35.0;67.0;8.0;37.0;9.0;29.0
53;Orders received by contractors;0;1998 March;1376.0;325.0;1051.0;643.0;36.0;52.0;68.0;13.0;151.0;24.0;14.0;13.0;37.0
54;Orders received by contractors;0;1998 1st quarter;3471.0;736.0;2735.0;1623.0;108.0;187.0;199.0;74.0;304.0;36.0;67.0;44.0;94.0
55;Orders received by contractors;0;1998 April;1106.0;224.0;882.0;460.0;40.0;98.0;74.0;50.0;104.0;10.0;9.0;28.0;10.0
56;Orders received by contractors;0;1998 May;1045.0;176.0;869.0;480.0;47.0;51.0;84.0;38.0;103.0;12.0;26.0;15.0;12.0
57;Orders received by contractors;0;1998 June;1235.0;235.0;1000.0;535.0;46.0;83.0;79.0;40.0;113.0;26.0;17.0;29.0;32.0
58;Orders received by contractors;0;1998 2nd quarter;3387.0;635.0;2752.0;1476.0;134.0;232.0;238.0;128.0;320.0;48.0;52.0;72.0;53.0
59;Orders received by contractors;0;1998 July;1293.0;250.0;1043.0;538.0;42.0;97.0;48.0;57.0;109.0;20.0;41.0;25.0;66.0
60;Orders received by contractors;0;1998 August;1044.0;201.0;843.0;417.0;46.0;63.0;59.0;31.0;71.0;26.0;19.0;38.0;73.0
61;Orders received by contractors;0;1998 September;1375.0;271.0;1104.0;616.0;49.0;70.0;85.0;41.0;128.0;30.0;17.0;28.0;38.0
62;Orders received by contractors;0;1998 3rd quarter;3711.0;722.0;2989.0;1571.0;137.0;230.0;192.0;129.0;308.0;76.0;77.0;92.0;177.0
63;Orders received by contractors;0;1998 October;1376.0;230.0;1146.0;688.0;33.0;46.0;82.0;46.0;187.0;7.0;14.0;28.0;14.0
64;Orders received by contractors;0;1998 November;1355.0;242.0;1113.0;669.0;40.0;101.0;99.0;28.0;80.0;39.0;10.0;20.0;26.0
65;Orders received by contractors;0;1998 December;1726.0;314.0;1412.0;820.0;46.0;103.0;119.0;55.0;155.0;36.0;16.0;27.0;35.0
66;Orders received by contractors;0;1998 4th quarter;4457.0;786.0;3671.0;2177.0;118.0;250.0;300.0;129.0;423.0;82.0;39.0;76.0;75.0
67;Orders received by contractors;0;1998;15026.0;2879.0;12147.0;6848.0;498.0;899.0;929.0;460.0;1355.0;242.0;235.0;283.0;399.0
68;Orders received by contractors;0;1999 January;1151.0;196.0;955.0;484.0;36.0;50.0;83.0;59.0;168.0;24.0;12.0;20.0;19.0
69;Orders received by contractors;0;1999 February;971.0;216.0;755.0;428.0;39.0;51.0;39.0;30.0;93.0;5.0;20.0;27.0;21.0
70;Orders received by contractors;0;1999 March;1382.0;285.0;1097.0;574.0;47.0;49.0;62.0;44.0;226.0;13.0;5.0;15.0;60.0
71;Orders received by contractors;0;1999 1st quarter;3503.0;697.0;2806.0;1487.0;123.0;152.0;186.0;133.0;487.0;42.0;35.0;63.0;100.0
72;Orders received by contractors;0;1999 April;1221.0;233.0;988.0;569.0;49.0;49.0;83.0;32.0;108.0;38.0;25.0;15.0;21.0
73;Orders received by contractors;0;1999 May;1427.0;250.0;1177.0;635.0;67.0;110.0;66.0;102.0;125.0;12.0;18.0;27.0;16.0
74;Orders received by contractors;0;1999 June;1438.0;267.0;1171.0;636.0;46.0;71.0;62.0;44.0;175.0;52.0;5.0;46.0;32.0
75;Orders received by contractors;0;1999 2nd quarter;4085.0;750.0;3335.0;1840.0;162.0;230.0;211.0;178.0;408.0;102.0;47.0;88.0;69.0
76;Orders received by contractors;0;1999 July;1523.0;242.0;1281.0;746.0;43.0;40.0;72.0;28.0;232.0;10.0;12.0;59.0;39.0
77;Orders received by contractors;0;1999 August;1236.0;255.0;981.0;562.0;51.0;57.0;46.0;20.0;132.0;51.0;6.0;33.0;22.0
78;Orders received by contractors;0;1999 September;1281.0;224.0;1057.0;614.0;36.0;59.0;99.0;58.0;121.0;19.0;17.0;24.0;10.0
79;Orders received by contractors;0;1999 3rd quarter;4040.0;721.0;3319.0;1922.0;131.0;157.0;218.0;106.0;485.0;79.0;35.0;115.0;71.0
80;Orders received by contractors;0;1999 October;1372.0;316.0;1056.0;584.0;393.0;46.0;79.0;53.0;157.0;6.0;22.0;26.0;44.0
81;Orders received by contractors;0;1999 November;1497.0;244.0;1253.0;733.0;42.0;61.0;101.0;58.0;175.0;17.0;20.0;33.0;13.0
82;Orders received by contractors;0;1999 December;1539.0;244.0;1295.0;785.0;51.0;63.0;80.0;39.0;177.0;15.0;17.0;42.0;27.0
83;Orders received by contractors;0;1999 4th quarter;4408.0;803.0;3605.0;2102.0;132.0;169.0;260.0;150.0;510.0;39.0;59.0;101.0;84.0
84;Orders received by contractors;0;1999;16037.0;2970.0;13067.0;7351.0;548.0;707.0;874.0;566.0;1890.0;261.0;177.0;367.0;325.0
85;Orders received by contractors;0;2000 January;1150.0;202.0;948.0;485.0;40.0;73.0;48.0;23.0;211.0;2.0;3.0;52.0;10.0
86;Orders received by contractors;0;2000 February;1394.0;257.0;1137.0;593.0;35.0;60.0;78.0;26.0;260.0;1.0;29.0;25.0;31.0
87;Orders received by contractors;0;2000 March;1403.0;265.0;1138.0;698.0;40.0;61.0;79.0;30.0;108.0;36.0;11.0;50.0;24.0
88;Orders received by contractors;0;2000 1st quarter;3947.0;725.0;3223.0;1777.0;115.0;193.0;205.0;79.0;579.0;39.0;43.0;127.0;65.0
89;Orders received by contractors;0;2000 April;1189.0;183.0;1007.0;595.0;48.0;78.0;66.0;31.0;136.0;2.0;11.0;15.0;25.0
90;Orders received by contractors;0;2000 May;1519.0;318.0;1201.0;687.0;34.0;75.0;106.0;69.0;155.0;6.0;13.0;32.0;25.0
91;Orders received by contractors;0;2000 June;1421.0;278.0;1143.0;569.0;42.0;83.0;76.0;18.0;268.0;5.0;17.0;42.0;23.0
92;Orders received by contractors;0;2000 2nd quarter;4130.0;779.0;3351.0;1851.0;125.0;236.0;248.0;118.0;559.0;13.0;40.0;88.0;73.0
93;Orders received by contractors;0;2000 July;1264.0;312.0;952.0;542.0;49.0;50.0;65.0;20.0;92.0;61.0;21.0;37.0;15.0
94;Orders received by contractors;0;2000 August;1487.0;320.0;1167.0;566.0;34.0;62.0;126.0;36.0;238.0;10.0;33.0;37.0;25.0
95;Orders received by contractors;0;2000 September;1383.0;313.0;1070.0;614.0;43.0;55.0;86.0;52.0;120.0;12.0;44.0;30.0;13.0
96;Orders received by contractors;0;2000 3rd quarter;4133.0;944.0;3189.0;1723.0;126.0;168.0;276.0;109.0;450.0;83.0;98.0;105.0;52.0
97;Orders received by contractors;0;2000 October;1399.0;280.0;1120.0;594.0;42.0;81.0;67.0;40.0;207.0;10.0;19.0;18.0;42.0
98;Orders received by contractors;0;2000 November;1493.0;267.0;1226.0;591.0;44.0;58.0;100.0;54.0;215.0;5.0;75.0;38.0;46.0
99;Orders received by contractors;0;2000 December;1654.0;295.0;1359.0;801.0;43.0;102.0;80.0;38.0;186.0;28.0;25.0;23.0;33.0
100;Orders received by contractors;0;2000 4th quarter;4546.0;841.0;3705.0;1986.0;129.0;241.0;247.0;132.0;609.0;43.0;119.0;79.0;121.0
101;Orders received by contractors;0;2000;16757.0;3289.0;13468.0;7336.0;495.0;838.0;976.0;438.0;2197.0;178.0;300.0;398.0;311.0
102;Orders received by contractors;0;2001 January;1166.0;243.0;923.0;436.0;26.0;57.0;54.0;47.0;135.0;13.0;7.0;53.0;95.0
103;Orders received by contractors;0;2001 February;1257.0;306.0;951.0;457.0;41.0;89.0;67.0;72.0;140.0;22.0;33.0;19.0;11.0
104;Orders received by contractors;0;2001 March;1426.0;322.0;1104.0;586.0;52.0;84.0;71.0;24.0;173.0;13.0;26.0;49.0;25.0
105;Orders received by contractors;0;2001 1st quarter;3849.0;870.0;2978.0;1479.0;119.0;230.0;192.0;144.0;448.0;48.0;66.0;121.0;131.0
106;Orders received by contractors;0;2001 April;1054.0;300.0;754.0;347.0;38.0;78.0;38.0;46.0;143.0;7.0;11.0;19.0;26.0
107;Orders received by contractors;0;2001 May;1590.0;309.0;1281.0;564.0;53.0;77.0;79.0;205.0;130.0;12.0;24.0;107.0;30.0
108;Orders received by contractors;0;2001 June;1559.0;345.0;1213.0;580.0;42.0;67.0;139.0;39.0;228.0;35.0;16.0;36.0;30.0
109;Orders received by contractors;0;2001 2nd quarter;4203.0;954.0;3249.0;1491.0;133.0;222.0;256.0;290.0;502.0;55.0;51.0;162.0;86.0
110;Orders received by contractors;0;2001 July;1703.0;365.0;1338.0;690.0;47.0;76.0;123.0;34.0;274.0;24.0;29.0;24.0;16.0
111;Orders received by contractors;0;2001 August;1437.0;304.0;1133.0;556.0;38.0;61.0;74.0;95.0;212.0;16.0;17.0;28.0;38.0
112;Orders received by contractors;0;2001 September;1683.0;344.0;1340.0;763.0;49.0;98.0;70.0;27.0;247.0;18.0;16.0;32.0;19.0
113;Orders received by contractors;0;2001 3rd quarter;4823.0;1013.0;3810.0;2009.0;134.0;235.0;267.0;157.0;732.0;57.0;62.0;84.0;73.0
114;Orders received by contractors;0;2001 October;2070.0;434.0;1636.0;924.0;57.0;92.0;113.0;48.0;230.0;46.0;31.0;61.0;34.0
115;Orders received by contractors;0;2001 November;1519.0;319.0;1200.0;656.0;37.0;87.0;123.0;36.0;144.0;29.0;34.0;31.0;22.0
116;Orders received by contractors;0;2001 December;1992.0;400.0;1593.0;877.0;62.0;100.0;106.0;34.0;203.0;30.0;32.0;96.0;53.0
117;Orders received by contractors;0;2001 4th quarter;5581.0;1152.0;4429.0;2458.0;157.0;279.0;342.0;118.0;576.0;105.0;97.0;188.0;109.0
118;Orders received by contractors;0;2001;18456.0;3990.0;14466.0;7437.0;543.0;967.0;1058.0;709.0;2258.0;265.0;277.0;554.0;398.0
119;Orders received by contractors;0;2002 January;1239.0;277.0;962.0;536.0;36.0;68.0;78.0;28.0;97.0;29.0;16.0;37.0;37.0
120;Orders received by contractors;0;2002 February;1230.0;250.0;979.0;535.0;34.0;54.0;59.0;45.0;120.0;49.0;37.0;31.0;16.0
121;Orders received by contractors;0;2002 March;1351.0;291.0;1060.0;574.0;44.0;54.0;83.0;49.0;154.0;28.0;21.0;43.0;9.0
122;Orders received by contractors;0;2002 1st quarter;3820.0;818.0;3001.0;1645.0;114.0;176.0;220.0;122.0;371.0;105.0;74.0;111.0;63.0
123;Orders received by contractors;0;2002 April;1551.0;400.0;1151.0;622.0;48.0;107.0;76.0;29.0;116.0;49.0;42.0;33.0;29.0
124;Orders received by contractors;0;2002 May;1415.0;304.0;1111.0;676.0;46.0;63.0;67.0;43.0;117.0;17.0;20.0;43.0;19.0
125;Orders received by contractors;0;2002 June;1637.0;345.0;1292.0;799.0;47.0;93.0;72.0;30.0;128.0;20.0;19.0;52.0;31.0
126;Orders received by contractors;0;2002 2nd quarter;4603.0;1050.0;3554.0;2098.0;140.0;262.0;216.0;102.0;361.0;85.0;81.0;128.0;80.0
127;Orders received by contractors;0;2002 July;1845.0;480.0;1365.0;726.0;52.0;62.0;114.0;71.0;231.0;22.0;29.0;39.0;20.0
128;Orders received by contractors;0;2002 August;1406.0;279.0;1127.0;665.0;37.0;35.0;51.0;42.0;140.0;15.0;67.0;37.0;38.0
129;Orders received by contractors;0;2002 September;1502.0;345.0;1157.0;719.0;42.0;77.0;60.0;22.0;92.0;43.0;43.0;24.0;36.0
130;Orders received by contractors;0;2002 3rd quarter;4753.0;1103.0;3649.0;2110.0;130.0;174.0;225.0;135.0;463.0;79.0;139.0;100.0;94.0
131;Orders received by contractors;0;2002 October;2270.0;528.0;1743.0;1137.0;35.0;85.0;66.0;86.0;175.0;17.0;24.0;67.0;51.0
132;Orders received by contractors;0;2002 November;2030.0;422.0;1608.0;1004.0;56.0;83.0;125.0;32.0;153.0;31.0;55.0;33.0;35.0
133;Orders received by contractors;0;2002 December;2106.0;390.0;1716.0;1187.0;50.0;63.0;121.0;26.0;121.0;27.0;30.0;50.0;42.0
134;Orders received by contractors;0;2002 4th quarter;6406.0;1339.0;5067.0;3328.0;141.0;231.0;313.0;143.0;448.0;75.0;109.0;150.0;128.0
135;Orders received by contractors;0;2002;19582.0;4311.0;15271.0;9181.0;525.0;844.0;974.0;503.0;1643.0;346.0;404.0;488.0;364.0
136;Orders received by contractors;0;2003 January;814.0;163.0;651.0;353.0;27.0;47.0;78.0;10.0;26.0;17.0;61.0;28.0;3.0
137;Orders received by contractors;0;2003 February;1259.0;254.0;1006.0;629.0;25.0;63.0;72.0;28.0;66.0;9.0;20.0;31.0;63.0
138;Orders received by contractors;0;2003 March;1744.0;291.0;1452.0;1050.0;45.0;46.0;73.0;47.0;66.0;9.0;21.0;74.0;21.0
139;Orders received by contractors;0;2003 1st quarter;3817.0;708.0;3110.0;2032.0;97.0;157.0;223.0;85.0;158.0;35.0;102.0;133.0;88.0
140;Orders received by contractors;0;2003 April;1273.0;211.0;1062.0;649.0;35.0;67.0;72.0;30.0;103.0;6.0;15.0;60.0;24.0
141;Orders received by contractors;0;2003 May;1065.0;179.0;885.0;670.0;21.0;30.0;16.0;38.0;36.0;2.0;19.0;36.0;18.0
142;Orders received by contractors;0;2003 June;1412.0;305.0;1108.0;751.0;44.0;54.0;76.0;13.0;61.0;14.0;32.0;39.0;24.0
143;Orders received by contractors;0;2003 2nd quarter;3750.0;695.0;3055.0;2070.0;99.0;151.0;164.0;81.0;200.0;22.0;66.0;135.0;66.0
144;Orders received by contractors;0;2003 July;1131.0;260.0;871.0;566.0;39.0;36.0;70.0;37.0;61.0;7.0;17.0;23.0;15.0
145;Orders received by contractors;0;2003 August;1149.0;301.0;848.0;590.0;42.0;32.0;27.0;20.0;47.0;12.0;26.0;34.0;18.0
146;Orders received by contractors;0;2003 September;1310.0;340.0;971.0;651.0;43.0;46.0;41.0;19.0;63.0;16.0;19.0;51.0;21.0
147;Orders received by contractors;0;2003 3rd quarter;3590.0;901.0;2689.0;1807.0;124.0;114.0;138.0;76.0;172.0;35.0;62.0;108.0;53.0
148;Orders received by contractors;0;2003 October;1626.0;312.0;1314.0;769.0;34.0;86.0;107.0;21.0;89.0;20.0;43.0;121.0;23.0
149;Orders received by contractors;0;2003 November;1349.0;258.0;1091.0;776.0;47.0;42.0;36.0;20.0;69.0;14.0;12.0;29.0;46.0
150;Orders received by contractors;0;2003 December;2390.0;421.0;1969.0;1345.0;47.0;62.0;95.0;49.0;117.0;18.0;104.0;98.0;33.0
151;Orders received by contractors;0;2003 4th quarter;5365.0;992.0;4373.0;2890.0;128.0;190.0;237.0;91.0;276.0;51.0;160.0;249.0;101.0
152;Orders received by contractors;0;2003;16522.0;3295.0;13227.0;8799.0;448.0;612.0;762.0;332.0;805.0;144.0;390.0;626.0;308.0
153;Orders received by contractors;0;2004 January;1014.0;208.0;807.0;503.0;26.0;28.0;24.0;19.0;63.0;10.0;37.0;59.0;37.0
154;Orders received by contractors;0;2004 February;1179.0;292.0;886.0;471.0;35.0;31.0;113.0;36.0;49.0;6.0;37.0;24.0;82.0
155;Orders received by contractors;0;2004 March;1506.0;344.0;1162.0;707.0;44.0;40.0;99.0;17.0;68.0;40.0;18.0;122.0;6.0
156;Orders received by contractors;0;2004 1st quarter;3699.0;844.0;2855.0;1681.0;105.0;99.0;237.0;73.0;180.0;56.0;93.0;205.0;126.0
157;Orders received by contractors;0;2004 April;1481.0;283.0;1197.0;783.0;40.0;51.0;28.0;16.0;35.0;167.0;23.0;48.0;7.0
158;Orders received by contractors;0;2004 May;1157.0;224.0;932.0;610.0;29.0;32.0;45.0;27.0;32.0;15.0;66.0;44.0;33.0
159;Orders received by contractors;0;2004 June;1590.0;368.0;1222.0;690.0;48.0;57.0;108.0;9.0;91.0;17.0;40.0;118.0;43.0
160;Orders received by contractors;0;2004 2nd quarter;4227.0;875.0;3352.0;2083.0;117.0;139.0;180.0;52.0;159.0;200.0;129.0;210.0;82.0
161;Orders received by contractors;0;2004 July;1301.0;356.0;945.0;607.0;56.0;25.0;52.0;9.0;50.0;18.0;23.0;66.0;40.0
162;Orders received by contractors;0;2004 August;1508.0;356.0;1152.0;662.0;40.0;40.0;43.0;12.0;131.0;18.0;33.0;123.0;51.0
163;Orders received by contractors;0;2004 September;1307.0;336.0;971.0;562.0;34.0;38.0;89.0;24.0;59.0;17.0;32.0;30.0;86.0
164;Orders received by contractors;0;2004 3rd quarter;4116.0;1048.0;3069.0;1832.0;129.0;102.0;185.0;44.0;240.0;53.0;88.0;220.0;176.0
165;Orders received by contractors;0;2004 October;1612.0;314.0;1298.0;872.0;34.0;70.0;32.0;21.0;79.0;16.0;48.0;103.0;23.0
166;Orders received by contractors;0;2004 November;1877.0;351.0;1526.0;1065.0;36.0;36.0;76.0;16.0;62.0;22.0;84.0;53.0;77.0
167;Orders received by contractors;0;2004 December;2968.0;524.0;2444.0;1761.0;66.0;93.0;126.0;20.0;76.0;77.0;51.0;110.0;63.0
168;Orders received by contractors;0;2004 4th quarter;6457.0;1190.0;5267.0;3698.0;136.0;198.0;234.0;57.0;218.0;115.0;183.0;265.0;164.0
169;Orders received by contractors;0;2004;18500.0;3957.0;14542.0;9293.0;487.0;539.0;836.0;226.0;796.0;423.0;493.0;901.0;548.0
170;Orders received by contractors;0;2005 January;1053.0;250.0;803.0;574.0;31.0;37.0;18.0;3.0;26.0;18.0;26.0;47.0;23.0
171;Orders received by contractors;0;2005 February;1325.0;225.0;1101.0;689.0;35.0;35.0;123.0;47.0;60.0;1.0;43.0;22.0;47.0
172;Orders received by contractors;0;2005 March;1383.0;309.0;1074.0;711.0;32.0;74.0;72.0;17.0;34.0;22.0;45.0;40.0;27.0
173;Orders received by contractors;0;2005 1st quarter;3761.0;783.0;2978.0;1974.0;98.0;146.0;213.0;66.0;120.0;41.0;114.0;108.0;96.0
174;Orders received by contractors;0;2005 April;1295.0;244.0;1051.0;752.0;38.0;29.0;40.0;35.0;62.0;8.0;22.0;53.0;13.0
175;Orders received by contractors;0;2005 May;1399.0;294.0;1104.0;688.0;50.0;41.0;51.0;14.0;70.0;19.0;58.0;84.0;28.0
176;Orders received by contractors;0;2005 June;1830.0;493.0;1337.0;933.0;51.0;51.0;29.0;25.0;127.0;8.0;21.0;75.0;16.0
177;Orders received by contractors;0;2005 2nd quarter;4523.0;1031.0;3492.0;2373.0;139.0;121.0;120.0;74.0;259.0;36.0;102.0;211.0;57.0
178;Orders received by contractors;0;2005 July;1441.0;359.0;1082.0;688.0;32.0;47.0;72.0;46.0;72.0;36.0;17.0;49.0;24.0
179;Orders received by contractors;0;2005 August;1366.0;287.0;1079.0;770.0;24.0;43.0;62.0;26.0;38.0;23.0;9.0;36.0;48.0
180;Orders received by contractors;0;2005 September;1474.0;292.0;1182.0;740.0;36.0;37.0;87.0;61.0;75.0;15.0;41.0;45.0;46.0
181;Orders received by contractors;0;2005 3rd quarter;4282.0;938.0;3344.0;2198.0;92.0;126.0;221.0;133.0;184.0;75.0;67.0;130.0;118.0
182;Orders received by contractors;0;2005 October;1973.0;436.0;1537.0;976.0;52.0;60.0;46.0;64.0;82.0;61.0;100.0;50.0;46.0
183;Orders received by contractors;0;2005 November;2366.0;587.0;1779.0;1264.0;56.0;38.0;88.0;19.0;109.0;10.0;84.0;74.0;40.0
184;Orders received by contractors;0;2005 December;2164.0;344.0;1820.0;1308.0;61.0;69.0;91.0;29.0;106.0;18.0;53.0;52.0;33.0
185;Orders received by contractors;0;2005 4th quarter;6503.0;1367.0;5137.0;3548.0;169.0;167.0;224.0;111.0;298.0;89.0;237.0;175.0;119.0
