ID;GewichtVolleWagen;Brandstofsoort;LeeftijdVoertuig;Perioden;TotaalKilometersInNederland_1;KilometersDoorNederlandseVoertuigen_2;KilometersDoorBuitenlandseVoertuigen_3;TotaalKilometers_4;KilometersInNederland_5;KilometersInHetBuitenland_6
155;Meer dan 3 500 kg;Totaal;0 tot 5 jaar;2023;131.9;117.3;14.6;150.2;117.3;32.9
156;Meer dan 3 500 kg;Totaal;5 tot 10 jaar;2018;99.2;87.8;11.4;114.4;87.8;26.6
157;Meer dan 3 500 kg;Totaal;5 tot 10 jaar;2019;86.9;77.0;10.0;99.7;77.0;22.8
158;Meer dan 3 500 kg;Totaal;5 tot 10 jaar;2020;83.1;73.9;9.2;93.5;73.9;19.5
159;Meer dan 3 500 kg;Totaal;5 tot 10 jaar;2021;93.7;83.1;10.6;107.1;83.1;24.0
160;Meer dan 3 500 kg;Totaal;5 tot 10 jaar;2022;103.4;91.7;11.7;118.3;91.7;26.5
161;Meer dan 3 500 kg;Totaal;5 tot 10 jaar;2023;116.4;102.9;13.5;134.0;102.9;31.1
162;Meer dan 3 500 kg;Totaal;10 jaar of ouder;2018;94.7;82.4;12.3;114.8;82.4;32.4
163;Meer dan 3 500 kg;Totaal;10 jaar of ouder;2019;96.7;85.6;11.1;113.3;85.6;27.8
164;Meer dan 3 500 kg;Totaal;10 jaar of ouder;2020;83.7;75.2;8.5;95.0;75.2;19.8
165;Meer dan 3 500 kg;Totaal;10 jaar of ouder;2021;86.8;78.9;7.9;98.2;78.9;19.2
166;Meer dan 3 500 kg;Totaal;10 jaar of ouder;2022;91.3;84.0;7.4;102.5;84.0;18.6
167;Meer dan 3 500 kg;Totaal;10 jaar of ouder;2023;88.1;81.1;7.0;98.9;81.1;17.7
168;Meer dan 3 500 kg;Diesel;Totaal;2018;308.3;266.9;41.5;374.4;266.9;107.5
169;Meer dan 3 500 kg;Diesel;Totaal;2019;310.5;271.2;39.3;368.0;271.2;96.8
170;Meer dan 3 500 kg;Diesel;Totaal;2020;303.8;267.8;36.0;348.7;267.8;80.9
171;Meer dan 3 500 kg;Diesel;Totaal;2021;306.8;272.5;34.3;353.0;272.5;80.5
172;Meer dan 3 500 kg;Diesel;Totaal;2022;321.8;288.2;33.6;366.2;288.2;78.0
173;Meer dan 3 500 kg;Diesel;Totaal;2023;328.6;293.9;34.7;374.9;293.9;81.0
174;Meer dan 3 500 kg;Diesel;0 tot 5 jaar;2018;117.7;99.6;18.1;148.9;99.6;49.4
175;Meer dan 3 500 kg;Diesel;0 tot 5 jaar;2019;130.2;111.7;18.5;158.7;111.7;47.0
176;Meer dan 3 500 kg;Diesel;0 tot 5 jaar;2020;139.7;121.2;18.6;163.2;121.2;42.0
177;Meer dan 3 500 kg;Diesel;0 tot 5 jaar;2021;129.4;113.3;16.1;151.0;113.3;37.7
178;Meer dan 3 500 kg;Diesel;0 tot 5 jaar;2022;130.5;115.8;14.7;149.2;115.8;33.4
179;Meer dan 3 500 kg;Diesel;0 tot 5 jaar;2023;127.9;113.4;14.4;146.2;113.4;32.7
180;Meer dan 3 500 kg;Diesel;5 tot 10 jaar;2018;96.8;85.5;11.3;111.9;85.5;26.4
181;Meer dan 3 500 kg;Diesel;5 tot 10 jaar;2019;84.4;74.6;9.8;97.2;74.6;22.6
182;Meer dan 3 500 kg;Diesel;5 tot 10 jaar;2020;80.9;71.9;9.0;91.2;71.9;19.4
183;Meer dan 3 500 kg;Diesel;5 tot 10 jaar;2021;91.4;81.0;10.4;104.8;81.0;23.8
184;Meer dan 3 500 kg;Diesel;5 tot 10 jaar;2022;101.0;89.5;11.5;115.9;89.5;26.4
185;Meer dan 3 500 kg;Diesel;5 tot 10 jaar;2023;114.2;100.7;13.4;131.7;100.7;31.0
186;Meer dan 3 500 kg;Diesel;10 jaar of ouder;2018;93.9;81.8;12.1;113.6;81.8;31.8
187;Meer dan 3 500 kg;Diesel;10 jaar of ouder;2019;95.9;84.9;11.0;112.1;84.9;27.2
188;Meer dan 3 500 kg;Diesel;10 jaar of ouder;2020;83.2;74.8;8.4;94.3;74.8;19.5
189;Meer dan 3 500 kg;Diesel;10 jaar of ouder;2021;86.0;78.2;7.8;97.2;78.2;19.0
190;Meer dan 3 500 kg;Diesel;10 jaar of ouder;2022;90.3;83.0;7.3;101.2;83.0;18.2
191;Meer dan 3 500 kg;Diesel;10 jaar of ouder;2023;86.5;79.7;6.8;97.0;79.7;17.3
192;Meer dan 3 500 kg;Overige (excl. Diesel);Totaal;2018;7.4;6.5;0.9;8.8;6.5;2.3
193;Meer dan 3 500 kg;Overige (excl. Diesel);Totaal;2019;7.1;6.4;0.7;7.7;6.4;1.3
194;Meer dan 3 500 kg;Overige (excl. Diesel);Totaal;2020;6.9;6.4;0.5;7.1;6.4;0.7
195;Meer dan 3 500 kg;Overige (excl. Diesel);Totaal;2021;7.1;6.6;0.5;7.3;6.6;0.7
196;Meer dan 3 500 kg;Overige (excl. Diesel);Totaal;2022;7.5;7.1;0.4;7.8;7.1;0.7
197;Meer dan 3 500 kg;Overige (excl. Diesel);Totaal;2023;7.8;7.4;0.4;8.1;7.4;0.7
198;Meer dan 3 500 kg;Overige (excl. Diesel);0 tot 5 jaar;2018;;;;;;
199;Meer dan 3 500 kg;Overige (excl. Diesel);0 tot 5 jaar;2019;;;;;;
200;Meer dan 3 500 kg;Overige (excl. Diesel);0 tot 5 jaar;2020;;;;;;
201;Meer dan 3 500 kg;Overige (excl. Diesel);0 tot 5 jaar;2021;;;;;;
202;Meer dan 3 500 kg;Overige (excl. Diesel);0 tot 5 jaar;2022;;;;;;
203;Meer dan 3 500 kg;Overige (excl. Diesel);0 tot 5 jaar;2023;;;;;;
204;Meer dan 3 500 kg;Overige (excl. Diesel);5 tot 10 jaar;2018;;;;;;
205;Meer dan 3 500 kg;Overige (excl. Diesel);5 tot 10 jaar;2019;;;;;;
206;Meer dan 3 500 kg;Overige (excl. Diesel);5 tot 10 jaar;2020;;;;;;
207;Meer dan 3 500 kg;Overige (excl. Diesel);5 tot 10 jaar;2021;;;;;;
208;Meer dan 3 500 kg;Overige (excl. Diesel);5 tot 10 jaar;2022;;;;;;
209;Meer dan 3 500 kg;Overige (excl. Diesel);5 tot 10 jaar;2023;;;;;;
210;Meer dan 3 500 kg;Overige (excl. Diesel);10 jaar of ouder;2018;0.8;0.6;0.2;1.3;0.6;0.6
211;Meer dan 3 500 kg;Overige (excl. Diesel);10 jaar of ouder;2019;0.8;0.7;0.2;1.2;0.7;0.5
212;Meer dan 3 500 kg;Overige (excl. Diesel);10 jaar of ouder;2020;0.5;0.5;0.1;0.7;0.5;0.2
213;Meer dan 3 500 kg;Overige (excl. Diesel);10 jaar of ouder;2021;0.8;0.7;0.1;1.0;0.7;0.3
214;Meer dan 3 500 kg;Overige (excl. Diesel);10 jaar of ouder;2022;1.1;1.0;0.1;1.3;1.0;0.3
215;Meer dan 3 500 kg;Overige (excl. Diesel);10 jaar of ouder;2023;1.6;1.5;0.1;1.9;1.5;0.4
