ID;SBI93GK;Perioden;Bedrijven_1;TotaalWerkzamePersonen_2;TotaalBaten_3;TotaalOpbrengsten_4;TotaalMilieudienstverlening_5;OpbrengstVoorOverheden_6;OpbrengstVoorBedrijven_7;EnergieEnRestproducten_8;Nevenactiviteiten_9;OverigeBedrijfsopbrengsten_10;VrijvalVoorzieningen_11;OntvangenRente_12;BuitengewoneBaten_13;TotaalLasten_14;GrondEnHulpstoffen_15;TotaalUitbestedeWerkzaamheden_16;KostenUitbestedeVerwerkingAfval_17;KostenUitbesteedTransportAfval_18;KostenUitbestedeSaneringDerden_19;KostenOverigeUitbestedingen_20;InkoopwaardeHandelsactiviteiten_21;TotaalArbeidskosten_22;BrutoLonenEnSalarissen_23;SocialePremiesWerkgever_24;PensioenlastenBijdrageVUT_25;OverigeUitgavenSocVoorzieningen_26;KostenVanUitzendkrachten_27;KostenIngeleendPersoneel_28;OntvangstenUitgeleendPersoneel_29;TotaalAutokosten_30;HuurInclOperationalLease_31;OnderhoudEnReparatie_32;Motorbrandstoffen_33;HouderschapsEnMotorrijtBelasting_34;Verzekeringspremies_35;OverigeAutokosten_36;Energieverbruik_37;Afschrijvingen_38;TotaalOverigeBedrijfskosten_39;HeffingenEnBelExclMotorBel_40;PremiesSchadeverzekeringen_41;OnderhoudEnRepExclVervoermiddelen_42;HuurGebTerreinenMachinesEd_43;OverigePersoneelskosten_44;AdministratieEnAdviesAccountantskn_45;VerkoopReclameAdvertentiekosten_46;AutomatiseringKantoorbEnCommunic_47;OnderzoekOntwLaborAnalyse_48;DoorbelasteKostenAlgBeheer_49;OverigeOvBedrKn_50;ToevoegingenAanVoorzieningen_51;BetaaldeRente_52;BuitengewoneLasten_53;ResultaatVoorBelastingen_54;TotaalInvesteringen_55;GrondEnTerreinen_56;Bedrijfsruimten_57;GWWWerken_58;VervoermiddelenExternTransport_59;MiddelenVoorInternTransport_60;Computers_61;OverigeMachinesApparatenEnInstall_62;OverigeMaterieleVasteActiva_63;ImmaterieleActiva_64
10;9000.2 Afvalinzameling;1997;216;7829;1007;992;952;225;727;10;31;3;2.0;3;7;938;3;396;334;47;0.0;15;3.0;239;185;14;7;5;21;12;-4;100;19;37;34;3;7;1.0;4;72;92;2;1;12;17;7;5;5;10;2;26;4;9;17;5;69;83;2;11;0;31;1.0;;15;18;5
11;9000.2 Afvalinzameling;1998;218;8984;1142;1118;1078;301;777;10;29;3;2.0;5;14;1102;6;452;389;41;0.0;22;3.0;286;206;28;9;6;30;11;3;103;20;39;31;4;7;1.0;4;87;113;3;2;16;24;10;5;7;14;1;23;6;8;24;16;40;300;3;15;10;31;2.0;;28;13;198
12;9000.2 Afvalinzameling;1999;218;10221;1245;1222;1176;314;861;10;35;4;2.0;4;14;1196;10;481;420;49;0.0;12;5.0;329;233;33;11;5;39;10;2;121;25;44;38;4;7;3.0;4;89;118;4;3;20;26;12;7;7;14;2;19;6;7;22;9;49;113;2;17;0;47;5.0;;19;24;1
13;9000.2 Afvalinzameling;2000;200;10758;1463;1429;1385;395;991;10;33;5;3.0;6;19;1385;14;579;501;63;0.0;14;9.0;371;262;35;13;8;49;8;4;131;32;43;42;3;8;3.0;5;95;139;5;3;22;28;15;7;5;16;1;19;18;4;30;8;78;144;8;31;2;55;6.0;;16;19;6
14;9000.2 Afvalinzameling;2001;199;11412;1651;1615;1557;442;1115;14;43;8;15.0;4;10;1565;15;690;590;85;0.0;14;5.0;403;277;37;22;8;53;9;3;146;37;48;45;4;6;6.0;6;90;160;5;4;27;33;17;12;8;21;0;24;9;16;20;15;87;155;9;20;7;58;;4.0;30;17;11
15;9000.3 Afvalbehandeling;1997;156;4373;1267;1170;1075;504;571;80;15;36;16.0;21;23;1202;24;290;229;39;0.0;22;0.0;162;111;7;7;3;16;27;-9;10;3;4;3;0;1;0.0;25;201;242;22;11;82;48;8;10;5;10;7;22;16;75;149;23;64;967;25;191;17;5;2.0;;701;16;10
16;9000.3 Afvalbehandeling;1998;169;4778;1443;1331;1221;552;668;86;25;27;29.0;22;34;1390;28;383;314;52;1.0;15;4.0;181;122;12;9;5;19;30;16;12;4;4;3;0;1;0.0;25;203;293;25;12;110;62;10;13;6;11;7;23;15;83;163;15;54;164;10;34;10;5;4.0;;87;11;5
17;9000.3 Afvalbehandeling;1999;176;5385;1548;1466;1338;590;748;103;25;27;15.0;22;17;1484;33;390;295;61;8.0;27;2.0;207;139;15;10;2;25;39;23;14;4;5;3;0;1;0.0;34;245;314;34;11;125;42;12;14;4;10;9;39;14;62;167;15;64;150;22;25;8;5;4.0;;71;15;1
18;9000.3 Afvalbehandeling;2000;178;5649;1763;1690;1511;646;865;143;36;20;12.0;25;16;1699;59;500;384;89;6.0;20;3.0;232;143;16;10;4;31;41;12;15;6;3;5;0;1;0.0;44;261;350;31;11;131;53;12;14;4;11;8;38;36;68;137;31;64;196;9;11;10;5;3.0;;134;19;6
19;9000.3 Afvalbehandeling;2001;171;5940;1935;1807;1650;775;875;115;42;35;10.0;41;41;1851;57;583;451;102;5.0;25;4.0;262;147;15;12;5;37;51;5;17;7;3;5;0;1;0.0;42;215;412;48;17;170;63;14;15;4;18;9;31;24;64;160;36;83;152;5;31;13;2;;4.0;72;21;5
20;9000.31 Exploitatie van stortplaatsen;1997;24;683;279;241;234;74;159;4;3;19;2.0;13;5;226;2;49;29;5;0.0;14;0.0;25;14;1;1;0;4;5;0;2;1;1;0;0;0;0.0;1;38;43;3;0;8;12;1;3;1;2;2;3;7;48;7;10;53;50;13;6;11;0;0.0;;8;3;8
21;9000.31 Exploitatie van stortplaatsen;1998;23;700;271;238;230;76;154;5;4;8;6.0;15;5;208;2;48;34;6;0.0;7;0.0;25;19;1;1;0;3;7;6;2;1;0;0;0;0;0.0;1;33;39;3;0;8;10;1;3;1;1;1;1;8;49;6;3;64;23;4;9;6;0;0.0;;3;1;0
22;9000.31 Exploitatie van stortplaatsen;1999;22;649;296;264;252;80;172;7;5;8;3.0;14;7;228;2;67;40;8;6.0;12;0.0;25;21;1;1;0;5;4;7;1;0;0;0;0;0;0.0;2;35;42;5;0;9;5;1;2;1;1;1;9;6;45;7;2;69;23;4;7;5;0;1.0;;5;1;0
23;9000.31 Exploitatie van stortplaatsen;2000;19;610;309;281;267;54;213;10;5;8;1.0;14;5;258;3;84;65;12;0.0;6;0.0;25;19;1;2;0;5;6;8;1;0;0;0;0;0;0.0;2;31;55;7;0;13;11;2;3;1;2;2;14;2;40;8;8;51;29;4;5;8;0;1.0;;10;1;0
24;9000.31 Exploitatie van stortplaatsen;2001;21;616;317;258;241;105;136;4;13;18;3.0;30;7;240;3;50;26;12;5.0;8;1.0;27;13;1;1;1;4;7;0;1;0;0;0;0;0;0.0;3;31;64;15;1;17;14;2;3;0;2;1;6;2;43;16;1;77;21;2;3;9;0;;0.0;6;1;0
25;9000.32 Afvalverbrandingsinrichtingen;1997;8;1112;443;417;349;242;107;66;2;10;4.0;3;8;422;6;60;53;8;0.0;0;0.0;45;37;2;4;1;3;5;-7;0;0;0;0;0;0;0.0;9;96;81;14;7;36;5;3;2;1;3;1;6;2;10;113;0;21;726;1;140;0;1;1.0;;574;8;0
26;9000.32 Afvalverbrandingsinrichtingen;1998;9;1233;546;499;416;279;137;76;6;8;15.0;3;21;520;10;73;63;10;1.0;0;0.0;55;44;3;4;2;5;4;7;0;0;0;0;0;0;0.0;10;103;125;15;8;58;21;4;3;1;5;1;6;2;19;125;0;25;55;2;3;3;0;1.0;;44;2;0
27;9000.32 Afvalverbrandingsinrichtingen;1999;9;1327;534;515;425;285;140;87;3;10;4.0;4;2;532;8;63;54;8;0.0;0;0.0;58;51;5;5;0;4;5;12;0;0;0;0;0;0;0.0;17;118;134;21;6;74;3;4;5;0;3;2;14;2;8;125;1;2;38;1;4;0;0;1.0;;25;6;0
28;9000.32 Afvalverbrandingsinrichtingen;2000;9;1363;577;564;456;295;160;104;4;6;1.0;5;1;556;9;98;80;18;0.0;0;0.0;63;46;4;5;1;5;5;2;0;0;0;0;0;0;0.0;20;146;122;15;6;67;5;4;4;0;3;1;8;8;7;90;0;21;34;0;1;0;0;0.0;;22;11;0
29;9000.32 Afvalverbrandingsinrichtingen;2001;10;1360;636;623;538;344;193;81;4;1;2.0;6;3;635;26;149;132;16;;1;;69;49;4;5;1;4;9;4;0;0;0;0;0;0;;19;101;140;21;9;72;6;6;4;1;7;1;8;6;10;108;12;1;32;1;2;0;0;;1.0;16;12;0
30;9000.33 Scheidingsinstal./sorteerhallen;1997;29;620;118;117;112;33;79;3;2;0;1.0;0;0;117;0;69;60;8;0.0;1;0.0;16;10;1;0;0;4;2;0;2;0;0;1;0;0;0.0;1;6;17;0;0;4;7;0;0;0;1;0;2;1;0;2;0;2;21;6;4;1;1;0.0;;7;1;0
31;9000.33 Scheidingsinstal./sorteerhallen;1998;33;620;128;125;119;40;79;1;5;2;0.0;0;0;131;0;83;71;10;0.0;2;1.0;16;9;1;0;0;5;2;1;2;0;1;1;0;0;0.0;1;7;15;0;0;3;5;1;0;0;0;0;3;2;0;2;2;-3;19;0;9;0;0;0.0;;3;5;0
32;9000.33 Scheidingsinstal./sorteerhallen;1999;41;930;184;181;168;45;124;3;9;1;0.0;0;2;179;1;106;91;11;0.0;4;1.0;28;13;2;1;0;7;6;1;4;0;1;1;0;0;0.0;1;9;24;1;0;6;8;1;1;1;1;1;2;0;1;3;0;5;15;0;2;1;2;0.0;;6;1;0
33;9000.33 Scheidingsinstal./sorteerhallen;2000;47;1092;215;212;184;56;128;11;18;1;0.0;1;1;215;12;108;94;11;0.0;2;3.0;35;13;2;0;0;9;10;1;6;1;2;2;0;0;0.0;2;11;32;1;1;9;10;2;1;1;1;1;4;1;1;5;1;0;35;2;2;0;2;1.0;;24;3;1
34;9000.33 Scheidingsinstal./sorteerhallen;2001;41;1045;211;205;185;67;118;4;15;2;;0;4;215;4;123;103;17;;2;0.0;35;14;2;1;0;10;8;0;5;1;1;2;0;0;0.0;2;9;31;1;1;9;12;1;1;0;1;0;3;2;1;4;1;-3;22;0;3;0;1;;1.0;15;1;0
35;9000.34 Be- & verwerken gevaarlijk afval;1997;17;1219;223;214;210;20;191;2;2;1;1.0;1;5;235;7;68;58;9;0.0;1;0.0;50;34;2;1;1;3;9;0;4;1;1;1;0;0;0.0;5;30;46;2;2;20;6;2;2;1;2;2;5;2;8;7;9;-12;32;0;8;0;2;1.0;;20;1;0
36;9000.34 Be- & verwerken gevaarlijk afval;1998;20;1310;230;221;216;19;197;2;4;4;1.0;1;2;254;12;77;62;12;0.0;3;0.0;50;32;5;2;1;5;7;1;5;1;2;1;0;0;0.0;5;32;52;2;2;23;7;2;3;1;2;3;6;1;7;7;8;-25;25;1;6;0;4;0.0;;13;1;0
37;9000.34 Be- & verwerken gevaarlijk afval;1999;15;1575;254;240;235;19;216;3;2;2;6.0;3;3;257;14;66;54;8;0.0;4;0.0;63;39;5;2;1;6;10;0;6;2;2;1;0;0;0.0;6;30;55;3;3;20;9;4;2;1;2;3;6;4;2;7;7;-3;28;0;2;0;2;0.0;;18;5;0
38;9000.34 Be- & verwerken gevaarlijk afval;2000;14;1504;309;293;276;21;255;14;2;1;9.0;2;4;330;17;95;84;11;0.0;0;0.0;67;45;6;2;2;6;5;0;6;4;0;2;0;0;0.0;9;33;72;2;3;22;6;2;2;1;3;2;6;23;3;10;19;-21;77;0;1;0;2;0.0;;66;3;5
39;9000.34 Be- & verwerken gevaarlijk afval;2001;14;1856;371;347;331;21;310;16;1;2;2.0;1;19;394;13;112;95;15;;2;0.0;87;49;4;4;3;13;15;1;7;5;0;2;0;0;0.0;8;36;102;4;5;48;9;3;3;1;5;4;8;12;4;11;14;-23;26;0;3;1;1;;2.0;14;5;0
40;9000.35 Composteer- en vergistingsinr.;1997;49;352;99;93;90;75;15;1;1;4;1.0;0;1;101;1;21;14;4;0.0;4;0.0;11;6;0;0;0;2;3;0;1;0;0;0;0;0;0.0;4;19;29;1;0;8;10;0;0;1;1;1;5;2;1;11;2;-2;12;0;6;1;0;0.0;;4;0;0
41;9000.35 Composteer- en vergistingsinr.;1998;52;411;96;92;90;72;18;1;1;0;1.0;1;1;94;1;20;15;4;0.0;2;0.0;13;6;1;0;0;0;5;0;1;0;0;0;0;0;0.0;3;16;25;1;0;7;9;0;1;2;0;1;4;1;1;13;1;2;13;1;2;1;0;1.0;;5;0;2
42;9000.35 Composteer- en vergistingsinr.;1999;55;351;118;110;108;80;28;1;1;1;3.0;1;3;113;1;27;22;4;0.0;2;0.0;13;5;1;0;0;1;5;0;1;0;0;0;0;0;0.0;3;20;29;1;0;8;9;0;1;0;0;0;5;0;0;13;5;5;15;1;3;1;0;0.0;;8;0;0
43;9000.35 Composteer- en vergistingsinr.;2000;56;401;124;120;116;83;33;1;2;2;0.0;1;1;121;2;36;27;6;0.0;3;0.0;14;5;1;0;0;2;7;0;2;1;1;0;0;0;0.0;4;20;28;1;1;9;9;0;1;1;1;1;4;1;1;12;2;3;11;1;1;2;0;0.0;;7;1;0
44;9000.35 Composteer- en vergistingsinr.;2001;53;392;133;127;124;91;33;2;1;2;0.0;1;3;124;1;39;26;9;0.0;4;0.0;14;6;1;0;0;2;5;0;2;0;1;0;0;0;0.0;4;19;31;2;1;10;10;0;1;1;1;0;3;2;1;11;1;9;35;3;17;1;0;;0.0;9;1;4
45;9000.36 Overige afvalbehandeling;1997;29;387;106;89;80;61;20;4;5;2;7.0;3;4;103;7;22;15;5;0.0;2;0.0;15;11;0;0;0;1;3;-1;1;0;0;0;0;0;0.0;4;12;25;2;0;6;7;1;1;0;1;1;1;2;7;9;2;3;127;4;27;4;0;0.0;;89;1;1
46;9000.36 Overige afvalbehandeling;1998;32;504;172;157;150;66;83;1;5;4;5.0;1;5;182;3;83;69;11;0.0;2;2.0;21;11;1;1;0;2;5;0;1;0;0;0;0;0;0.0;5;12;37;3;1;12;10;1;2;0;1;0;3;1;7;10;1;-10;29;2;5;0;0;0.0;;19;0;2
47;9000.36 Overige afvalbehandeling;1999;34;554;162;156;149;82;67;2;4;5;0.0;1;1;176;7;62;33;21;2.0;5;0.0;22;11;1;0;0;2;8;1;0;0;0;0;0;0;0.0;5;34;31;3;1;8;8;2;3;1;2;2;3;0;5;11;0;-14;33;15;7;0;0;0.0;;8;1;0
48;9000.36 Overige afvalbehandeling;2000;33;679;229;219;211;136;75;3;5;2;1.0;3;4;219;17;80;34;31;6.0;8;0.0;28;14;2;1;0;4;8;1;1;0;0;0;0;0;0.0;6;18;42;5;1;12;12;2;3;1;2;2;2;1;15;12;1;10;10;2;1;0;0;0.0;;5;1;0
49;9000.36 Overige afvalbehandeling;2001;32;671;266;247;231;146;85;7;9;9;2.0;2;6;244;9;111;69;33;0.0;9;3.0;30;16;2;1;0;4;6;0;1;1;0;0;0;0;0.0;5;19;44;6;1;15;11;2;3;1;2;1;1;1;5;11;7;23;17;0;2;1;0;;0.0;12;1;0
50;9000.4 Sanering milieuverontreiniging;1997;148;1304;251;218;216;73;143;0;3;1;24.0;5;4;241;13;128;24;8;75.0;21;0.0;43;28;2;1;1;3;9;-1;5;2;0;1;0;0;0.0;5;9;32;0;0;5;7;2;2;1;2;4;5;1;3;1;3;10;11;0;1;0;1;0.0;;8;0;0
51;9000.4 Sanering milieuverontreiniging;1998;178;1361;276;243;240;77;163;0;3;1;24.0;6;2;267;19;139;30;7;80.0;21;2.0;49;29;5;1;1;3;12;2;5;2;1;1;0;0;0.0;5;9;35;0;1;6;9;2;2;1;3;3;5;2;3;2;1;9;17;1;4;1;2;0.0;;7;1;1
52;9000.4 Sanering milieuverontreiniging;1999;174;1794;295;263;245;76;169;0;17;2;21.0;3;6;281;32;124;24;12;74.0;15;2.0;64;36;5;2;1;5;15;0;6;3;1;2;0;0;0.0;5;10;34;0;1;6;8;3;2;2;3;3;5;1;1;3;1;13;11;0;1;0;2;0.0;;6;1;0
53;9000.4 Sanering milieuverontreiniging;2000;184;1746;266;260;244;72;172;1;15;3;0.0;1;2;260;33;106;32;17;34.0;23;1.0;62;36;5;2;1;6;12;0;7;2;1;2;0;1;0.0;3;10;32;0;1;4;8;3;3;1;2;3;4;1;2;2;2;5;11;0;1;0;3;1.0;;6;0;0
54;9000.4 Sanering milieuverontreiniging;2001;196;1683;282;274;270;83;188;1;2;4;1.0;1;2;271;30;108;35;15;36.0;21;2.0;64;38;5;2;1;6;12;0;6;3;1;2;0;1;0.0;5;10;39;1;2;5;10;3;2;2;3;4;6;2;1;3;2;11;20;0;10;0;2;;0.0;6;1;1
55;9000.41 Sanering verontreinigde grond;1997;55;802;206;172;171;64;106;0;1;1;24.0;5;3;201;9;115;20;6;75.0;15;0.0;30;20;1;1;0;1;7;-1;3;2;0;0;0;0;0.0;5;8;24;0;0;5;5;1;1;1;2;4;3;1;3;1;3;5;9;0;1;0;0;0.0;;7;0;0
56;9000.41 Sanering verontreinigde grond;1998;56;744;217;186;183;67;116;0;2;1;24.0;6;1;210;15;122;22;5;79.0;15;1.0;30;16;3;1;1;2;8;0;3;1;0;0;0;0;0.0;4;6;25;0;0;5;7;1;1;1;2;2;3;1;2;1;1;7;9;0;2;0;1;0.0;;4;1;0
57;9000.41 Sanering verontreinigde grond;1999;56;985;227;196;184;65;119;0;11;1;21.0;3;5;220;25;111;20;10;73.0;9;2.0;38;21;3;1;1;2;10;0;4;2;0;1;0;0;0.0;5;8;24;0;0;5;6;1;1;1;2;2;3;1;1;2;1;7;7;0;0;0;0;0.0;;5;0;0
58;9000.41 Sanering verontreinigde grond;2000;54;892;179;175;162;60;102;1;13;1;0.0;1;1;178;24;78;20;14;33.0;10;1.0;36;21;3;1;0;2;9;0;3;1;1;1;0;0;0.0;3;7;20;0;1;3;6;2;1;1;2;3;2;1;2;1;2;1;6;0;0;0;1;0.0;;3;0;0
59;9000.41 Sanering verontreinigde grond;2001;55;730;176;172;169;60;109;1;2;1;1.0;1;1;170;22;75;24;11;32.0;8;1.0;31;18;2;1;0;1;9;0;2;1;0;1;0;0;0.0;5;6;23;1;1;3;6;1;2;1;2;3;3;1;1;2;1;6;15;0;8;0;1;;0.0;4;0;1
60;9000.42 Asbestsanering en verwijdering;1997;93;502;46;45;44;8;36;0;1;0;0.0;0;0;41;5;13;5;2;0.0;6;0.0;13;8;0;0;0;2;2;0;2;1;0;0;0;0;0.0;0;1;7;0;0;1;1;0;0;0;0;0;2;0;0;0;0;5;2;0;0;0;1;0.0;;1;0;0
61;9000.42 Asbestsanering en verwijdering;1998;122;618;59;58;56;10;47;0;1;0;0.0;0;0;57;4;17;8;1;1.0;6;0.0;18;12;2;0;0;1;4;2;2;0;0;0;0;0;0.0;0;3;10;0;0;1;2;1;1;0;1;1;3;0;0;1;0;2;8;1;1;0;1;0.0;;3;0;0
62;9000.42 Asbestsanering en verwijdering;1999;118;809;68;67;61;11;50;0;5;1;0.0;0;0;62;6;13;4;2;2.0;6;0.0;25;15;2;0;0;3;5;0;3;1;0;1;0;0;0.0;0;2;10;0;0;1;2;1;1;0;1;1;2;0;0;0;0;6;4;0;0;0;1;0.0;;1;0;0
63;9000.42 Asbestsanering en verwijdering;2000;130;854;87;85;82;12;70;0;2;2;0.0;0;0;83;9;28;12;3;1.0;12;0.0;26;15;2;1;0;4;4;0;3;1;1;1;0;0;0.0;0;3;12;0;1;2;2;1;1;1;1;1;2;1;0;1;0;4;5;0;1;0;1;0.0;;2;0;0
64;9000.42 Asbestsanering en verwijdering;2001;141;953;106;102;101;23;78;0;1;3;0.0;0;0;101;7;33;11;5;4.0;14;1.0;34;21;3;1;1;5;4;0;4;1;1;1;0;0;0.0;0;4;16;0;1;2;3;2;1;1;1;1;3;1;0;1;1;5;5;0;2;0;1;;0.0;2;0;0
65;0 tot 10 werkzame personen;1997;310;1120;200;196;185;68;118;4;7;1;0.0;2;1;182;5;74;40;12;12.0;10;1.0;28;18;1;1;0;3;7;-2;8;1;2;3;0;1;0.0;2;19;31;1;0;6;7;1;2;2;2;1;6;1;1;9;3;17;26;3;6;1;5;0.0;;8;2;1
66;0 tot 10 werkzame personen;1998;328;1090;213;204;196;55;140;3;5;1;3.0;3;1;204;7;87;56;11;10.0;10;1.0;30;18;2;1;0;3;8;2;7;1;2;2;0;1;0.0;2;18;33;1;0;5;9;1;3;2;2;1;6;2;8;8;2;9;32;3;6;6;4;1.0;;8;1;1
67;0 tot 10 werkzame personen;1999;331;1266;265;253;233;82;152;8;12;1;4.0;3;5;268;8;91;62;11;9.0;10;2.0;40;25;3;2;0;2;10;1;8;1;2;3;0;1;0.0;2;50;42;1;1;12;8;2;3;1;2;1;9;1;3;14;6;-2;26;2;10;0;4;1.0;;6;2;0
68;0 tot 10 werkzame personen;2000;340;1151;272;259;247;85;162;4;8;4;1.0;3;5;251;11;109;70;17;11.0;12;5.0;34;19;2;1;0;2;11;1;9;2;3;3;0;1;0.0;2;24;38;3;1;7;9;1;3;1;2;2;7;2;7;10;2;20;21;1;2;2;4;1.0;;9;1;0
69;0 tot 10 werkzame personen;2001;351;1364;290;277;268;101;167;4;6;4;3.0;3;2;270;12;119;81;20;6.0;12;2.0;44;24;3;1;1;4;11;0;10;2;3;3;0;1;0.0;3;23;40;3;1;9;9;2;3;1;2;2;5;3;6;11;1;20;36;2;12;1;5;;0.0;10;2;4
70;10 tot 100 werkzame personen;1997;212;5883;1175;1090;1036;362;674;16;37;9;34.0;19;23;1093;23;415;261;50;62.0;42;2.0;182;128;9;5;3;16;25;-5;57;12;19;19;2;5;1.0;14;115;161;7;4;36;42;7;7;5;10;5;23;15;59;49;15;82;468;22;102;15;20;2.0;;283;14;10
71;10 tot 100 werkzame personen;1998;238;6780;1369;1269;1210;403;806;19;41;11;35.0;20;32;1289;32;515;350;59;71.0;34;7.0;224;144;20;7;4;19;35;5;56;11;19;18;2;5;1.0;16;124;187;9;5;48;46;8;9;7;11;5;21;16;63;56;9;80;133;9;29;12;21;3.0;;42;14;5
72;10 tot 100 werkzame personen;1999;236;7259;1422;1354;1274;448;826;24;56;9;27.0;16;16;1333;53;506;322;73;74.0;38;6.0;245;151;21;9;3;28;39;6;58;10;19;20;2;5;1.0;18;126;203;13;5;58;42;10;10;8;11;7;25;12;50;56;12;88;116;6;19;7;24;4.0;;42;13;2
