ID;EmissionSources;EmissionToAir;Periods;EmissionToAir_1
60;Total stationary and mobile sources;Dinitrogen oxide (N2O);2006;48.9
61;Total stationary and mobile sources;Dinitrogen oxide (N2O);2007;43.6
62;Total stationary and mobile sources;Dinitrogen oxide (N2O);2008;31.1
63;Total stationary and mobile sources;Dinitrogen oxide (N2O);2009;30.5
64;Total stationary and mobile sources;Dinitrogen oxide (N2O);2010;29.4
65;Total stationary and mobile sources;Dinitrogen oxide (N2O);2011;28.7
66;Total stationary and mobile sources;Dinitrogen oxide (N2O);2012;28.2
67;Total stationary and mobile sources;Dinitrogen oxide (N2O);2013;28.8
68;Total stationary and mobile sources;Dinitrogen oxide (N2O);2014;29.4
69;Total stationary and mobile sources;Dinitrogen oxide (N2O);2015;30.3
70;Total stationary and mobile sources;Dinitrogen oxide (N2O);2016;29.3
71;Total stationary and mobile sources;Dinitrogen oxide (N2O);2017;30.0
72;Total stationary and mobile sources;Dinitrogen oxide (N2O);2018;29.3
73;Total stationary and mobile sources;Dinitrogen oxide (N2O);2019;28.7
74;Total stationary and mobile sources;Dinitrogen oxide (N2O);2020;28.1
75;Total stationary and mobile sources;Dinitrogen oxide (N2O);2021;27.0
76;Total stationary and mobile sources;Dinitrogen oxide (N2O);2022;25.2
77;Total stationary and mobile sources;Dinitrogen oxide (N2O);2023;24.7
78;Total stationary and mobile sources;Ammonia (NH3);1990;346.6
79;Total stationary and mobile sources;Ammonia (NH3);1995;219.7
80;Total stationary and mobile sources;Ammonia (NH3);2000;174.9
81;Total stationary and mobile sources;Ammonia (NH3);2001;168.7
82;Total stationary and mobile sources;Ammonia (NH3);2002;161.2
83;Total stationary and mobile sources;Ammonia (NH3);2003;158.2
84;Total stationary and mobile sources;Ammonia (NH3);2004;158.0
85;Total stationary and mobile sources;Ammonia (NH3);2005;155.3
86;Total stationary and mobile sources;Ammonia (NH3);2006;157.9
87;Total stationary and mobile sources;Ammonia (NH3);2007;154.1
88;Total stationary and mobile sources;Ammonia (NH3);2008;141.3
89;Total stationary and mobile sources;Ammonia (NH3);2009;137.0
90;Total stationary and mobile sources;Ammonia (NH3);2010;134.1
91;Total stationary and mobile sources;Ammonia (NH3);2011;131.4
92;Total stationary and mobile sources;Ammonia (NH3);2012;127.5
93;Total stationary and mobile sources;Ammonia (NH3);2013;124.2
94;Total stationary and mobile sources;Ammonia (NH3);2014;128.0
95;Total stationary and mobile sources;Ammonia (NH3);2015;129.4
96;Total stationary and mobile sources;Ammonia (NH3);2016;130.7
97;Total stationary and mobile sources;Ammonia (NH3);2017;133.1
98;Total stationary and mobile sources;Ammonia (NH3);2018;131.6
99;Total stationary and mobile sources;Ammonia (NH3);2019;125.1
100;Total stationary and mobile sources;Ammonia (NH3);2020;124.5
101;Total stationary and mobile sources;Ammonia (NH3);2021;123.0
102;Total stationary and mobile sources;Ammonia (NH3);2022;120.6
103;Total stationary and mobile sources;Ammonia (NH3);2023;116.4
104;Total stationary and mobile sources;Nitrogen oxides (NOx);1990;718.5
105;Total stationary and mobile sources;Nitrogen oxides (NOx);1995;615.4
106;Total stationary and mobile sources;Nitrogen oxides (NOx);2000;548.9
107;Total stationary and mobile sources;Nitrogen oxides (NOx);2001;539.6
108;Total stationary and mobile sources;Nitrogen oxides (NOx);2002;525.0
109;Total stationary and mobile sources;Nitrogen oxides (NOx);2003;519.7
110;Total stationary and mobile sources;Nitrogen oxides (NOx);2004;511.6
111;Total stationary and mobile sources;Nitrogen oxides (NOx);2005;501.7
112;Total stationary and mobile sources;Nitrogen oxides (NOx);2006;492.1
113;Total stationary and mobile sources;Nitrogen oxides (NOx);2007;464.9
114;Total stationary and mobile sources;Nitrogen oxides (NOx);2008;440.4
115;Total stationary and mobile sources;Nitrogen oxides (NOx);2009;405.7
116;Total stationary and mobile sources;Nitrogen oxides (NOx);2010;406.4
117;Total stationary and mobile sources;Nitrogen oxides (NOx);2011;394.4
118;Total stationary and mobile sources;Nitrogen oxides (NOx);2012;375.2
119;Total stationary and mobile sources;Nitrogen oxides (NOx);2013;358.1
120;Total stationary and mobile sources;Nitrogen oxides (NOx);2014;352.2
121;Total stationary and mobile sources;Nitrogen oxides (NOx);2015;359.3
122;Total stationary and mobile sources;Nitrogen oxides (NOx);2016;351.8
123;Total stationary and mobile sources;Nitrogen oxides (NOx);2017;341.3
124;Total stationary and mobile sources;Nitrogen oxides (NOx);2018;340.2
125;Total stationary and mobile sources;Nitrogen oxides (NOx);2019;333.5
126;Total stationary and mobile sources;Nitrogen oxides (NOx);2020;309.0
127;Total stationary and mobile sources;Nitrogen oxides (NOx);2021;301.4
128;Total stationary and mobile sources;Nitrogen oxides (NOx);2022;293.7
129;Total stationary and mobile sources;Nitrogen oxides (NOx);2023;279.8
130;Total stationary and mobile sources;Sulphur dioxide (SO2);1990;243.6
131;Total stationary and mobile sources;Sulphur dioxide (SO2);1995;183.2
132;Total stationary and mobile sources;Sulphur dioxide (SO2);2000;139.6
133;Total stationary and mobile sources;Sulphur dioxide (SO2);2001;140.6
134;Total stationary and mobile sources;Sulphur dioxide (SO2);2002;132.9
135;Total stationary and mobile sources;Sulphur dioxide (SO2);2003;127.6
136;Total stationary and mobile sources;Sulphur dioxide (SO2);2004;127.9
137;Total stationary and mobile sources;Sulphur dioxide (SO2);2005;129.1
138;Total stationary and mobile sources;Sulphur dioxide (SO2);2006;132.5
139;Total stationary and mobile sources;Sulphur dioxide (SO2);2007;122.0
140;Total stationary and mobile sources;Sulphur dioxide (SO2);2008;92.8
141;Total stationary and mobile sources;Sulphur dioxide (SO2);2009;77.7
142;Total stationary and mobile sources;Sulphur dioxide (SO2);2010;69.9
143;Total stationary and mobile sources;Sulphur dioxide (SO2);2011;59.8
144;Total stationary and mobile sources;Sulphur dioxide (SO2);2012;58.2
145;Total stationary and mobile sources;Sulphur dioxide (SO2);2013;51.9
146;Total stationary and mobile sources;Sulphur dioxide (SO2);2014;52.8
147;Total stationary and mobile sources;Sulphur dioxide (SO2);2015;42.5
148;Total stationary and mobile sources;Sulphur dioxide (SO2);2016;33.8
149;Total stationary and mobile sources;Sulphur dioxide (SO2);2017;32.0
150;Total stationary and mobile sources;Sulphur dioxide (SO2);2018;29.5
151;Total stationary and mobile sources;Sulphur dioxide (SO2);2019;26.8
152;Total stationary and mobile sources;Sulphur dioxide (SO2);2020;22.9
153;Total stationary and mobile sources;Sulphur dioxide (SO2);2021;24.1
154;Total stationary and mobile sources;Sulphur dioxide (SO2);2022;23.3
155;Total stationary and mobile sources;Sulphur dioxide (SO2);2023;20.4
156;Total stationary and mobile sources;NMVOC;1990;601.5
157;Total stationary and mobile sources;NMVOC;1995;427.4
158;Total stationary and mobile sources;NMVOC;2000;336.1
159;Total stationary and mobile sources;NMVOC;2001;308.0
160;Total stationary and mobile sources;NMVOC;2002;292.6
161;Total stationary and mobile sources;NMVOC;2003;285.9
162;Total stationary and mobile sources;NMVOC;2004;267.7
163;Total stationary and mobile sources;NMVOC;2005;270.4
164;Total stationary and mobile sources;NMVOC;2006;264.6
165;Total stationary and mobile sources;NMVOC;2007;266.0
166;Total stationary and mobile sources;NMVOC;2008;259.7
167;Total stationary and mobile sources;NMVOC;2009;259.7
168;Total stationary and mobile sources;NMVOC;2010;272.1
169;Total stationary and mobile sources;NMVOC;2011;266.8
170;Total stationary and mobile sources;NMVOC;2012;262.7
171;Total stationary and mobile sources;NMVOC;2013;262.5
172;Total stationary and mobile sources;NMVOC;2014;248.0
173;Total stationary and mobile sources;NMVOC;2015;258.1
174;Total stationary and mobile sources;NMVOC;2016;255.4
175;Total stationary and mobile sources;NMVOC;2017;256.4
176;Total stationary and mobile sources;NMVOC;2018;250.0
177;Total stationary and mobile sources;NMVOC;2019;246.3
178;Total stationary and mobile sources;NMVOC;2020;255.7
179;Total stationary and mobile sources;NMVOC;2021;242.8
180;Total stationary and mobile sources;NMVOC;2022;244.0
181;Total stationary and mobile sources;NMVOC;2023;241.3
182;Total stationary and mobile sources;PM10 (Particulate matter);1990;83.7
183;Total stationary and mobile sources;PM10 (Particulate matter);1995;66.2
184;Total stationary and mobile sources;PM10 (Particulate matter);2000;55.6
185;Total stationary and mobile sources;PM10 (Particulate matter);2001;54.1
186;Total stationary and mobile sources;PM10 (Particulate matter);2002;52.3
187;Total stationary and mobile sources;PM10 (Particulate matter);2003;50.3
188;Total stationary and mobile sources;PM10 (Particulate matter);2004;49.5
189;Total stationary and mobile sources;PM10 (Particulate matter);2005;48.4
190;Total stationary and mobile sources;PM10 (Particulate matter);2006;47.7
191;Total stationary and mobile sources;PM10 (Particulate matter);2007;45.8
192;Total stationary and mobile sources;PM10 (Particulate matter);2008;43.2
193;Total stationary and mobile sources;PM10 (Particulate matter);2009;40.6
194;Total stationary and mobile sources;PM10 (Particulate matter);2010;40.4
195;Total stationary and mobile sources;PM10 (Particulate matter);2011;37.9
196;Total stationary and mobile sources;PM10 (Particulate matter);2012;36.5
197;Total stationary and mobile sources;PM10 (Particulate matter);2013;36.1
198;Total stationary and mobile sources;PM10 (Particulate matter);2014;35.2
199;Total stationary and mobile sources;PM10 (Particulate matter);2015;34.9
200;Total stationary and mobile sources;PM10 (Particulate matter);2016;33.6
201;Total stationary and mobile sources;PM10 (Particulate matter);2017;32.7
202;Total stationary and mobile sources;PM10 (Particulate matter);2018;32.2
203;Total stationary and mobile sources;PM10 (Particulate matter);2019;31.2
204;Total stationary and mobile sources;PM10 (Particulate matter);2020;29.1
205;Total stationary and mobile sources;PM10 (Particulate matter);2021;29.2
206;Total stationary and mobile sources;PM10 (Particulate matter);2022;29.2
207;Total stationary and mobile sources;PM10 (Particulate matter);2023;28.6
208;Total stationary and mobile sources;PM2.5 (Particulate matter);1990;60.1
209;Total stationary and mobile sources;PM2.5 (Particulate matter);1995;48.5
210;Total stationary and mobile sources;PM2.5 (Particulate matter);2000;39.9
211;Total stationary and mobile sources;PM2.5 (Particulate matter);2001;38.8
212;Total stationary and mobile sources;PM2.5 (Particulate matter);2002;36.9
213;Total stationary and mobile sources;PM2.5 (Particulate matter);2003;36.2
214;Total stationary and mobile sources;PM2.5 (Particulate matter);2004;35.2
215;Total stationary and mobile sources;PM2.5 (Particulate matter);2005;34.2
216;Total stationary and mobile sources;PM2.5 (Particulate matter);2006;33.8
217;Total stationary and mobile sources;PM2.5 (Particulate matter);2007;31.3
218;Total stationary and mobile sources;PM2.5 (Particulate matter);2008;28.8
219;Total stationary and mobile sources;PM2.5 (Particulate matter);2009;26.8
220;Total stationary and mobile sources;PM2.5 (Particulate matter);2010;26.5
221;Total stationary and mobile sources;PM2.5 (Particulate matter);2011;23.9
222;Total stationary and mobile sources;PM2.5 (Particulate matter);2012;22.6
223;Total stationary and mobile sources;PM2.5 (Particulate matter);2013;22.2
224;Total stationary and mobile sources;PM2.5 (Particulate matter);2014;21.1
225;Total stationary and mobile sources;PM2.5 (Particulate matter);2015;20.9
226;Total stationary and mobile sources;PM2.5 (Particulate matter);2016;19.7
227;Total stationary and mobile sources;PM2.5 (Particulate matter);2017;19.0
228;Total stationary and mobile sources;PM2.5 (Particulate matter);2018;18.8
229;Total stationary and mobile sources;PM2.5 (Particulate matter);2019;18.0
230;Total stationary and mobile sources;PM2.5 (Particulate matter);2020;16.7
231;Total stationary and mobile sources;PM2.5 (Particulate matter);2021;16.8
232;Total stationary and mobile sources;PM2.5 (Particulate matter);2022;16.6
233;Total stationary and mobile sources;PM2.5 (Particulate matter);2023;16.0
234;Total stationary and mobile sources;Carbon monoxide (CO);1990;1183.7
235;Total stationary and mobile sources;Carbon monoxide (CO);1995;914.0
236;Total stationary and mobile sources;Carbon monoxide (CO);2000;760.0
237;Total stationary and mobile sources;Carbon monoxide (CO);2001;755.9
238;Total stationary and mobile sources;Carbon monoxide (CO);2002;740.4
239;Total stationary and mobile sources;Carbon monoxide (CO);2003;739.2
240;Total stationary and mobile sources;Carbon monoxide (CO);2004;759.7
241;Total stationary and mobile sources;Carbon monoxide (CO);2005;732.7
242;Total stationary and mobile sources;Carbon monoxide (CO);2006;717.7
243;Total stationary and mobile sources;Carbon monoxide (CO);2007;686.0
244;Total stationary and mobile sources;Carbon monoxide (CO);2008;675.5
245;Total stationary and mobile sources;Carbon monoxide (CO);2009;608.9
246;Total stationary and mobile sources;Carbon monoxide (CO);2010;632.8
247;Total stationary and mobile sources;Carbon monoxide (CO);2011;584.9
248;Total stationary and mobile sources;Carbon monoxide (CO);2012;568.2
249;Total stationary and mobile sources;Carbon monoxide (CO);2013;548.1
250;Total stationary and mobile sources;Carbon monoxide (CO);2014;520.7
251;Total stationary and mobile sources;Carbon monoxide (CO);2015;525.3
252;Total stationary and mobile sources;Carbon monoxide (CO);2016;519.2
253;Total stationary and mobile sources;Carbon monoxide (CO);2017;502.4
254;Total stationary and mobile sources;Carbon monoxide (CO);2018;504.7
255;Total stationary and mobile sources;Carbon monoxide (CO);2019;485.5
256;Total stationary and mobile sources;Carbon monoxide (CO);2020;433.4
257;Total stationary and mobile sources;Carbon monoxide (CO);2021;431.1
258;Total stationary and mobile sources;Carbon monoxide (CO);2022;418.1
259;Total stationary and mobile sources;Carbon monoxide (CO);2023;393.7
260;"Stationary sources; total";Carbon dioxide (CO2);1990;136700.0
261;"Stationary sources; total";Carbon dioxide (CO2);1995;144700.0
262;"Stationary sources; total";Carbon dioxide (CO2);2000;142400.0
263;"Stationary sources; total";Carbon dioxide (CO2);2001;147500.0
264;"Stationary sources; total";Carbon dioxide (CO2);2002;147000.0
265;"Stationary sources; total";Carbon dioxide (CO2);2003;149700.0
266;"Stationary sources; total";Carbon dioxide (CO2);2004;151900.0
267;"Stationary sources; total";Carbon dioxide (CO2);2005;149000.0
268;"Stationary sources; total";Carbon dioxide (CO2);2006;143400.0
269;"Stationary sources; total";Carbon dioxide (CO2);2007;143700.0
270;"Stationary sources; total";Carbon dioxide (CO2);2008;148000.0
271;"Stationary sources; total";Carbon dioxide (CO2);2009;145500.0
272;"Stationary sources; total";Carbon dioxide (CO2);2010;157900.0
273;"Stationary sources; total";Carbon dioxide (CO2);2011;144400.0
274;"Stationary sources; total";Carbon dioxide (CO2);2012;143100.0
275;"Stationary sources; total";Carbon dioxide (CO2);2013;143000.0
276;"Stationary sources; total";Carbon dioxide (CO2);2014;136900.0
277;"Stationary sources; total";Carbon dioxide (CO2);2015;143600.0
278;"Stationary sources; total";Carbon dioxide (CO2);2016;144600.0
279;"Stationary sources; total";Carbon dioxide (CO2);2017;141600.0
280;"Stationary sources; total";Carbon dioxide (CO2);2018;137400.0
281;"Stationary sources; total";Carbon dioxide (CO2);2019;134100.0
282;"Stationary sources; total";Carbon dioxide (CO2);2020;125800.0
283;"Stationary sources; total";Carbon dioxide (CO2);2021;131400.0
284;"Stationary sources; total";Carbon dioxide (CO2);2022;117900.0
285;"Stationary sources; total";Carbon dioxide (CO2);2023;103600.0
286;"Stationary sources; total";Methane (CH4);1990;1274.3
287;"Stationary sources; total";Methane (CH4);1995;1186.4
288;"Stationary sources; total";Methane (CH4);2000;969.5
289;"Stationary sources; total";Methane (CH4);2001;943.3
290;"Stationary sources; total";Methane (CH4);2002;897.7
291;"Stationary sources; total";Methane (CH4);2003;866.7
292;"Stationary sources; total";Methane (CH4);2004;850.9
293;"Stationary sources; total";Methane (CH4);2005;792.3
294;"Stationary sources; total";Methane (CH4);2006;773.7
295;"Stationary sources; total";Methane (CH4);2007;774.8
296;"Stationary sources; total";Methane (CH4);2008;783.1
297;"Stationary sources; total";Methane (CH4);2009;775.9
298;"Stationary sources; total";Methane (CH4);2010;772.8
299;"Stationary sources; total";Methane (CH4);2011;749.9
300;"Stationary sources; total";Methane (CH4);2012;733.3
301;"Stationary sources; total";Methane (CH4);2013;732.0
302;"Stationary sources; total";Methane (CH4);2014;714.5
303;"Stationary sources; total";Methane (CH4);2015;722.4
304;"Stationary sources; total";Methane (CH4);2016;727.1
305;"Stationary sources; total";Methane (CH4);2017;713.9
306;"Stationary sources; total";Methane (CH4);2018;689.5
307;"Stationary sources; total";Methane (CH4);2019;684.2
308;"Stationary sources; total";Methane (CH4);2020;673.8
309;"Stationary sources; total";Methane (CH4);2021;663.0
310;"Stationary sources; total";Methane (CH4);2022;640.8
311;"Stationary sources; total";Methane (CH4);2023;634.9
312;"Stationary sources; total";Dinitrogen oxide (N2O);1990;59.8
313;"Stationary sources; total";Dinitrogen oxide (N2O);1995;59.8
314;"Stationary sources; total";Dinitrogen oxide (N2O);2000;52.7
315;"Stationary sources; total";Dinitrogen oxide (N2O);2001;49.7
316;"Stationary sources; total";Dinitrogen oxide (N2O);2002;46.8
317;"Stationary sources; total";Dinitrogen oxide (N2O);2003;46.3
318;"Stationary sources; total";Dinitrogen oxide (N2O);2004;47.6
319;"Stationary sources; total";Dinitrogen oxide (N2O);2005;47.4
320;"Stationary sources; total";Dinitrogen oxide (N2O);2006;47.7
321;"Stationary sources; total";Dinitrogen oxide (N2O);2007;42.5
322;"Stationary sources; total";Dinitrogen oxide (N2O);2008;29.9
323;"Stationary sources; total";Dinitrogen oxide (N2O);2009;29.3
324;"Stationary sources; total";Dinitrogen oxide (N2O);2010;28.2
325;"Stationary sources; total";Dinitrogen oxide (N2O);2011;27.5
326;"Stationary sources; total";Dinitrogen oxide (N2O);2012;26.9
327;"Stationary sources; total";Dinitrogen oxide (N2O);2013;27.6
328;"Stationary sources; total";Dinitrogen oxide (N2O);2014;28.2
329;"Stationary sources; total";Dinitrogen oxide (N2O);2015;29.0
330;"Stationary sources; total";Dinitrogen oxide (N2O);2016;28.0
331;"Stationary sources; total";Dinitrogen oxide (N2O);2017;28.6
332;"Stationary sources; total";Dinitrogen oxide (N2O);2018;27.9
333;"Stationary sources; total";Dinitrogen oxide (N2O);2019;27.4
334;"Stationary sources; total";Dinitrogen oxide (N2O);2020;26.8
335;"Stationary sources; total";Dinitrogen oxide (N2O);2021;25.7
336;"Stationary sources; total";Dinitrogen oxide (N2O);2022;23.8
337;"Stationary sources; total";Dinitrogen oxide (N2O);2023;23.3
338;"Stationary sources; total";Ammonia (NH3);1990;345.6
339;"Stationary sources; total";Ammonia (NH3);1995;217.4
340;"Stationary sources; total";Ammonia (NH3);2000;170.5
341;"Stationary sources; total";Ammonia (NH3);2001;163.8
342;"Stationary sources; total";Ammonia (NH3);2002;156.1
343;"Stationary sources; total";Ammonia (NH3);2003;152.9
344;"Stationary sources; total";Ammonia (NH3);2004;152.5
345;"Stationary sources; total";Ammonia (NH3);2005;150.2
346;"Stationary sources; total";Ammonia (NH3);2006;153.1
347;"Stationary sources; total";Ammonia (NH3);2007;149.6
348;"Stationary sources; total";Ammonia (NH3);2008;137.2
349;"Stationary sources; total";Ammonia (NH3);2009;133.3
350;"Stationary sources; total";Ammonia (NH3);2010;130.4
351;"Stationary sources; total";Ammonia (NH3);2011;127.8
352;"Stationary sources; total";Ammonia (NH3);2012;124.0
353;"Stationary sources; total";Ammonia (NH3);2013;120.8
354;"Stationary sources; total";Ammonia (NH3);2014;124.5
355;"Stationary sources; total";Ammonia (NH3);2015;125.8
356;"Stationary sources; total";Ammonia (NH3);2016;127.1
357;"Stationary sources; total";Ammonia (NH3);2017;129.4
358;"Stationary sources; total";Ammonia (NH3);2018;127.8
359;"Stationary sources; total";Ammonia (NH3);2019;121.4
360;"Stationary sources; total";Ammonia (NH3);2020;121.1
361;"Stationary sources; total";Ammonia (NH3);2021;119.4
362;"Stationary sources; total";Ammonia (NH3);2022;116.8
363;"Stationary sources; total";Ammonia (NH3);2023;112.5
364;"Stationary sources; total";Nitrogen oxides (NOx);1990;280.9
365;"Stationary sources; total";Nitrogen oxides (NOx);1995;238.2
366;"Stationary sources; total";Nitrogen oxides (NOx);2000;184.8
367;"Stationary sources; total";Nitrogen oxides (NOx);2001;181.5
368;"Stationary sources; total";Nitrogen oxides (NOx);2002;176.1
369;"Stationary sources; total";Nitrogen oxides (NOx);2003;176.1
370;"Stationary sources; total";Nitrogen oxides (NOx);2004;168.0
371;"Stationary sources; total";Nitrogen oxides (NOx);2005;163.9
372;"Stationary sources; total";Nitrogen oxides (NOx);2006;157.3
373;"Stationary sources; total";Nitrogen oxides (NOx);2007;145.9
374;"Stationary sources; total";Nitrogen oxides (NOx);2008;144.1
375;"Stationary sources; total";Nitrogen oxides (NOx);2009;131.8
376;"Stationary sources; total";Nitrogen oxides (NOx);2010;138.6
377;"Stationary sources; total";Nitrogen oxides (NOx);2011;126.6
378;"Stationary sources; total";Nitrogen oxides (NOx);2012;122.4
379;"Stationary sources; total";Nitrogen oxides (NOx);2013;120.7
380;"Stationary sources; total";Nitrogen oxides (NOx);2014;110.7
381;"Stationary sources; total";Nitrogen oxides (NOx);2015;113.1
382;"Stationary sources; total";Nitrogen oxides (NOx);2016;106.7
383;"Stationary sources; total";Nitrogen oxides (NOx);2017;103.2
384;"Stationary sources; total";Nitrogen oxides (NOx);2018;99.7
385;"Stationary sources; total";Nitrogen oxides (NOx);2019;95.6
386;"Stationary sources; total";Nitrogen oxides (NOx);2020;90.3
387;"Stationary sources; total";Nitrogen oxides (NOx);2021;90.2
388;"Stationary sources; total";Nitrogen oxides (NOx);2022;83.7
389;"Stationary sources; total";Nitrogen oxides (NOx);2023;78.1
390;"Stationary sources; total";Sulphur dioxide (SO2);1990;170.7
391;"Stationary sources; total";Sulphur dioxide (SO2);1995;109.7
392;"Stationary sources; total";Sulphur dioxide (SO2);2000;63.1
393;"Stationary sources; total";Sulphur dioxide (SO2);2001;67.1
394;"Stationary sources; total";Sulphur dioxide (SO2);2002;60.6
395;"Stationary sources; total";Sulphur dioxide (SO2);2003;56.4
396;"Stationary sources; total";Sulphur dioxide (SO2);2004;59.1
397;"Stationary sources; total";Sulphur dioxide (SO2);2005;57.9
398;"Stationary sources; total";Sulphur dioxide (SO2);2006;58.3
399;"Stationary sources; total";Sulphur dioxide (SO2);2007;55.3
400;"Stationary sources; total";Sulphur dioxide (SO2);2008;47.8
401;"Stationary sources; total";Sulphur dioxide (SO2);2009;35.4
402;"Stationary sources; total";Sulphur dioxide (SO2);2010;32.9
403;"Stationary sources; total";Sulphur dioxide (SO2);2011;33.3
404;"Stationary sources; total";Sulphur dioxide (SO2);2012;33.6
405;"Stationary sources; total";Sulphur dioxide (SO2);2013;29.3
406;"Stationary sources; total";Sulphur dioxide (SO2);2014;28.8
407;"Stationary sources; total";Sulphur dioxide (SO2);2015;30.0
408;"Stationary sources; total";Sulphur dioxide (SO2);2016;27.9
409;"Stationary sources; total";Sulphur dioxide (SO2);2017;26.3
410;"Stationary sources; total";Sulphur dioxide (SO2);2018;24.3
411;"Stationary sources; total";Sulphur dioxide (SO2);2019;22.0
412;"Stationary sources; total";Sulphur dioxide (SO2);2020;19.0
413;"Stationary sources; total";Sulphur dioxide (SO2);2021;20.2
414;"Stationary sources; total";Sulphur dioxide (SO2);2022;19.0
415;"Stationary sources; total";Sulphur dioxide (SO2);2023;16.8
416;"Stationary sources; total";NMVOC;1990;398.3
417;"Stationary sources; total";NMVOC;1995;292.3
418;"Stationary sources; total";NMVOC;2000;248.6
419;"Stationary sources; total";NMVOC;2001;227.4
420;"Stationary sources; total";NMVOC;2002;219.2
421;"Stationary sources; total";NMVOC;2003;217.9
422;"Stationary sources; total";NMVOC;2004;204.7
423;"Stationary sources; total";NMVOC;2005;212.5
424;"Stationary sources; total";NMVOC;2006;210.5
425;"Stationary sources; total";NMVOC;2007;215.7
426;"Stationary sources; total";NMVOC;2008;213.0
427;"Stationary sources; total";NMVOC;2009;216.9
428;"Stationary sources; total";NMVOC;2010;231.2
429;"Stationary sources; total";NMVOC;2011;226.2
430;"Stationary sources; total";NMVOC;2012;223.1
431;"Stationary sources; total";NMVOC;2013;223.7
432;"Stationary sources; total";NMVOC;2014;210.1
433;"Stationary sources; total";NMVOC;2015;220.5
