ID;HuishoudensKenmerken;Perioden;BrutoExploitatieoverschot_1;BrutoGemengdInkomen_2;BrutoSaldoPrimaireInkomens_3;BrutoBeschikbaarInkomen_4;BrutoAlternatiefBeschikbaarInkomen_5;Totaal_6;BeloningVanWerknemers_7;InkomenUitVermogen_8;SocialeUitkeringenInGeld_9;OverigeInkomensoverdrachten_10;SocialeOverdrachtenInNatura_11;Totaal_12;InkomenUitVermogen_13;BelastingenOpInkomenEnVermogen_14;SocialePremies_15;OverigeInkomensoverdrachten_16;CorrectieMutatiesInPensioenrechten_17;BrutoExploitatieoverschot_18;BrutoGemengdInkomen_19;BrutoSaldoPrimaireInkomens_20;BrutoBeschikbaarInkomen_21;BrutoAlternatiefBeschikbaarInkomen_22;Totaal_23;BeloningVanWerknemers_24;InkomenUitVermogen_25;SocialeUitkeringenInGeld_26;OverigeInkomensoverdrachten_27;SocialeOverdrachtenInNatura_28;Totaal_29;InkomenUitVermogen_30;BelastingenOpInkomenEnVermogen_31;SocialePremies_32;OverigeInkomensoverdrachten_33;CorrectieMutatiesInPensioenrechten_34;BrutoExploitatieoverschot_35;BrutoGemengdInkomen_36;BrutoSaldoPrimaireInkomens_37;BrutoBeschikbaarInkomen_38;BrutoAlternatiefBeschikbaarInkomen_39;Totaal_40;BeloningVanWerknemers_41;InkomenUitVermogen_42;SocialeUitkeringenInGeld_43;OverigeInkomensoverdrachten_44;SocialeOverdrachtenInNatura_45;Totaal_46;InkomenUitVermogen_47;BelastingenOpInkomenEnVermogen_48;SocialePremies_49;OverigeInkomensoverdrachten_50;CorrectieMutatiesInPensioenrechten_51;BrutoExploitatieoverschot_52;BrutoGemengdInkomen_53;BrutoSaldoPrimaireInkomens_54;BrutoBeschikbaarInkomen_55;BrutoAlternatiefBeschikbaarInkomen_56;Totaal_57;BeloningVanWerknemers_58;InkomenUitVermogen_59;SocialeUitkeringenInGeld_60;OverigeInkomensoverdrachten_61;SocialeOverdrachtenInNatura_62;Totaal_63;InkomenUitVermogen_64;BelastingenOpInkomenEnVermogen_65;SocialePremies_66;OverigeInkomensoverdrachten_67
10;Gest. besteedbaar inkomen: 1e 20%-groep;2005;544;801;11133;20668;37653;45583;9703;1408;15427;2061;16985;9274;1322;710;5265;1978;257;0.4;0.5;7.6;14.1;25.7;31.1;6.6;1.0;10.5;1.4;11.6;6.3;0.9;0.5;3.6;1.3;0.2;0.3;0.4;6.0;11.2;20.5;24.8;5.3;0.8;8.4;1.1;9.2;5.0;0.7;0.4;2.9;1.1;0.1;1.4;2.1;29.6;54.9;100;121.1;25.8;3.7;41.0;5.5;45.1;24.6;3.5;1.9;14.0;5.3
11;Gest. besteedbaar inkomen: 1e 20%-groep;2006;796;964;11257;21698;40198;47539;9408;1695;16444;1492;18500;9101;1606;644;5397;1454;38;0.5;0.7;7.6;14.7;27.2;32.2;6.4;1.1;11.1;1.0;12.5;6.2;1.1;0.4;3.7;1.0;0.0;0.4;0.5;6.1;11.8;21.9;25.9;5.1;0.9;8.9;0.8;10.1;5.0;0.9;0.4;2.9;0.8;0.0;2.0;2.4;28.0;54.0;100;118.3;23.4;4.2;40.9;3.7;46.0;22.6;4.0;1.6;13.4;3.6
12;Gest. besteedbaar inkomen: 1e 20%-groep;2007;1139;699;11439;21890;41292;49536;10127;1561;16834;1612;19402;10081;2087;815;5533;1646;68;0.8;0.5;7.7;14.7;27.8;33.4;6.8;1.1;11.3;1.1;13.1;6.8;1.4;0.5;3.7;1.1;0.0;0.6;0.4;6.2;11.9;22.5;27.0;5.5;0.9;9.2;0.9;10.6;5.5;1.1;0.4;3.0;0.9;0.0;2.8;1.7;27.7;53.0;100;120.0;24.5;3.8;40.8;3.9;47.0;24.4;5.1;2.0;13.4;4.0
13;Gest. besteedbaar inkomen: 1e 20%-groep;2008;1192;757;12587;21675;41982;52151;11312;1743;17133;1656;20306;12119;2417;877;6437;2387;167;0.8;0.5;8.4;14.5;28.0;34.8;7.6;1.2;11.4;1.1;13.6;8.1;1.6;0.6;4.3;1.6;0.1;0.6;0.4;6.8;11.8;22.8;28.3;6.1;0.9;9.3;0.9;11.0;6.6;1.3;0.5;3.5;1.3;0.1;2.8;1.8;30.0;51.6;100;124.2;26.9;4.2;40.8;3.9;48.4;28.9;5.8;2.1;15.3;5.7
14;Gest. besteedbaar inkomen: 1e 20%-groep;2009;382;444;12583;23407;44906;55047;11647;1515;18432;1955;21499;10967;1404;1049;6737;1776;238;0.3;0.3;8.3;15.5;29.7;36.4;7.7;1.0;12.2;1.3;14.2;7.3;0.9;0.7;4.5;1.2;0.2;0.2;0.2;6.7;12.5;23.9;29.3;6.2;0.8;9.8;1.0;11.4;5.8;0.7;0.6;3.6;0.9;0.1;0.9;1.0;28.0;52.1;100;122.6;25.9;3.4;41.0;4.4;47.9;24.4;3.1;2.3;15.0;4.0
15;Gest. besteedbaar inkomen: 1e 20%-groep;2010;208;1327;12965;24309;46420;55477;10890;1581;18933;1962;22111;10592;1041;972;6669;1910;83;0.1;0.9;8.5;15.9;30.4;36.4;7.1;1.0;12.4;1.3;14.5;6.9;0.7;0.6;4.4;1.3;0.1;0.1;0.7;6.9;12.9;24.6;29.4;5.8;0.8;10.0;1.0;11.7;5.6;0.6;0.5;3.5;1.0;0.0;0.4;2.9;27.9;52.4;100;119.5;23.5;3.4;40.8;4.2;47.6;22.8;2.2;2.1;14.4;4.1
16;Gest. besteedbaar inkomen: 1e 20%-groep;2011;334;734;12457;23949;45971;56377;10864;1689;19734;2068;22022;11474;1165;983;7196;2131;174;0.2;0.5;8.1;15.6;29.9;36.6;7.1;1.1;12.8;1.3;14.3;7.5;0.8;0.6;4.7;1.4;0.1;0.2;0.4;6.6;12.6;24.2;29.7;5.7;0.9;10.4;1.1;11.6;6.0;0.6;0.5;3.8;1.1;0.1;0.7;1.6;27.1;52.1;100;122.6;23.6;3.7;42.9;4.5;47.9;25.0;2.5;2.1;15.7;4.6
17;Gest. besteedbaar inkomen: 1e 20%-groep;2012;86;1268;13497;24460;46977;56735;11097;1694;19654;1772;22518;11112;648;826;7565;2073;281;0.1;0.8;8.7;15.8;30.3;36.6;7.2;1.1;12.7;1.1;14.5;7.2;0.4;0.5;4.9;1.3;0.2;0.0;0.7;7.0;12.7;24.5;29.6;5.8;0.9;10.2;0.9;11.7;5.8;0.3;0.4;3.9;1.1;0.1;0.2;2.7;28.7;52.1;100;120.8;23.6;3.6;41.8;3.8;47.9;23.7;1.4;1.8;16.1;4.4
18;Gest. besteedbaar inkomen: 1e 20%-groep;2013;185;1105;12755;24208;45971;55852;10318;1680;20030;2061;21763;11171;533;1117;7620;1901;165;0.1;0.7;8.2;15.5;29.4;35.7;6.6;1.1;12.8;1.3;13.9;7.2;0.3;0.7;4.9;1.2;0.1;0.1;0.6;6.6;12.6;23.8;29.0;5.3;0.9;10.4;1.1;11.3;5.8;0.3;0.6;4.0;1.0;0.1;0.4;2.4;27.7;52.7;100;121.5;22.4;3.7;43.6;4.5;47.3;24.3;1.2;2.4;16.6;4.1
19;Gest. besteedbaar inkomen: 1e 20%-groep;2014;256;1812;13389;25460;47627;56081;10086;1731;20136;1962;22167;10522;496;1044;7448;1534;288;0.2;1.2;8.5;16.2;30.2;35.6;6.4;1.1;12.8;1.2;14.1;6.7;0.3;0.7;4.7;1.0;0.2;0.1;0.9;6.9;13.1;24.5;28.9;5.2;0.9;10.4;1.0;11.4;5.4;0.3;0.5;3.8;0.8;0.1;0.5;3.8;28.1;53.5;100;117.8;21.2;3.6;42.3;4.1;46.5;22.1;1.0;2.2;15.6;3.2
20;Gest. besteedbaar inkomen: 2e 20%-groep;2005;875;2702;29494;34576;52476;67246;24695;2984;18899;2768;17900;18346;1761;1091;12894;2600;664;0.6;1.8;20.1;23.6;35.8;45.9;16.8;2.0;12.9;1.9;12.2;12.5;1.2;0.7;8.8;1.8;0.5;0.4;1.4;15.0;17.6;26.7;34.2;12.5;1.5;9.6;1.4;9.1;9.3;0.9;0.6;6.5;1.3;0.3;1.7;5.1;56.2;65.9;100;128.1;47.1;5.7;36.0;5.3;34.1;35.0;3.4;2.1;24.6;5.0
21;Gest. besteedbaar inkomen: 2e 20%-groep;2006;1339;2669;30288;35415;55857;70632;25315;3226;19528;2120;20442;18783;2261;1216;13227;2078;67;0.9;1.8;20.5;24.0;37.9;47.9;17.2;2.2;13.2;1.4;13.9;12.7;1.5;0.8;9.0;1.4;0.0;0.7;1.4;15.3;17.9;28.3;35.8;12.8;1.6;9.9;1.1;10.4;9.5;1.1;0.6;6.7;1.1;0.0;2.4;4.8;54.2;63.4;100;126.5;45.3;5.8;35.0;3.8;36.6;33.6;4.0;2.2;23.7;3.7
22;Gest. besteedbaar inkomen: 2e 20%-groep;2007;1785;2466;31702;36868;57915;73597;27085;3350;19994;2121;21047;19932;2984;1249;13793;1906;-15;1.2;1.7;21.4;24.8;39.0;49.6;18.2;2.3;13.5;1.4;14.2;13.4;2.0;0.8;9.3;1.3;0.0;0.9;1.2;16.1;18.7;29.3;37.3;13.7;1.7;10.1;1.1;10.7;10.1;1.5;0.6;7.0;1.0;0.0;3.1;4.3;54.7;63.7;100;127.1;46.8;5.8;34.5;3.7;36.3;34.4;5.2;2.2;23.8;3.3
23;Gest. besteedbaar inkomen: 2e 20%-groep;2008;1871;2690;34353;38393;60670;78290;29315;3806;20786;2107;22277;22181;3329;1430;15782;1640;517;1.2;1.8;23.0;25.7;40.5;52.3;19.6;2.5;13.9;1.4;14.9;14.8;2.2;1.0;10.5;1.1;0.3;0.9;1.4;17.3;19.3;30.5;39.4;14.7;1.9;10.5;1.1;11.2;11.2;1.7;0.7;7.9;0.8;0.3;3.1;4.4;56.6;63.3;100;129.0;48.3;6.3;34.3;3.5;36.7;36.6;5.5;2.4;26.0;2.7
24;Gest. besteedbaar inkomen: 2e 20%-groep;2009;489;3076;33097;38769;62784;79630;27811;3477;22141;2185;24016;20411;1756;1728;14908;2019;411;0.3;2.0;21.9;25.7;41.5;52.7;18.4;2.3;14.6;1.4;15.9;13.5;1.2;1.1;9.9;1.3;0.3;0.2;1.5;16.6;19.5;31.5;40.0;14.0;1.7;11.1;1.1;12.1;10.3;0.9;0.9;7.5;1.0;0.2;0.8;4.9;52.7;61.7;100;126.8;44.3;5.5;35.3;3.5;38.3;32.5;2.8;2.8;23.7;3.2
25;Gest. besteedbaar inkomen: 2e 20%-groep;2010;252;3009;32449;39136;63937;80668;27494;3094;22795;2484;24801;19991;1399;1748;14862;1982;7;0.2;2.0;21.3;25.6;41.9;52.9;18.0;2.0;14.9;1.6;16.3;13.1;0.9;1.1;9.7;1.3;0.0;0.1;1.5;16.2;19.5;31.9;40.3;13.7;1.5;11.4;1.2;12.4;10.0;0.7;0.9;7.4;1.0;0.0;0.4;4.7;50.8;61.2;100;126.2;43.0;4.8;35.7;3.9;38.8;31.3;2.2;2.7;23.2;3.1
26;Gest. besteedbaar inkomen: 2e 20%-groep;2011;464;2867;32987;40062;65073;82698;27499;3710;23591;2887;25011;20955;1552;1681;15836;1886;306;0.3;1.9;21.4;26.0;42.3;53.7;17.9;2.4;15.3;1.9;16.2;13.6;1.0;1.1;10.3;1.2;0.2;0.2;1.4;16.5;20.0;32.5;41.3;13.7;1.9;11.8;1.4;12.5;10.5;0.8;0.8;7.9;0.9;0.2;0.7;4.4;50.7;61.6;100;127.1;42.3;5.7;36.3;4.4;38.4;32.2;2.4;2.6;24.3;2.9
27;Gest. besteedbaar inkomen: 2e 20%-groep;2012;51;2960;33714;40367;66229;83978;27800;3783;24060;2474;25862;20760;879;1558;16395;1928;424;0.0;1.9;21.7;26.0;42.7;54.1;17.9;2.4;15.5;1.6;16.7;13.4;0.6;1.0;10.6;1.2;0.3;0.0;1.5;16.7;20.0;32.8;41.5;13.8;1.9;11.9;1.2;12.8;10.3;0.4;0.8;8.1;1.0;0.2;0.1;4.5;50.9;61.0;100;126.8;42.0;5.7;36.3;3.7;39.0;31.3;1.3;2.4;24.8;2.9
28;Gest. besteedbaar inkomen: 2e 20%-groep;2013;234;3112;31646;41087;67739;83832;25242;3775;25676;2487;26651;19440;718;1678;14976;2068;111;0.1;2.0;20.2;26.3;43.3;53.6;16.2;2.4;16.4;1.6;17.1;12.4;0.5;1.1;9.6;1.3;0.1;0.1;1.5;15.6;20.3;33.4;41.4;12.5;1.9;12.7;1.2;13.2;9.6;0.4;0.8;7.4;1.0;0.1;0.3;4.6;46.7;60.7;100;123.8;37.3;5.6;37.9;3.7;39.3;28.7;1.1;2.5;22.1;3.1
29;Gest. besteedbaar inkomen: 2e 20%-groep;2014;386;3192;30829;40641;67900;83290;24222;3712;25676;2421;27259;18968;683;1502;14572;2211;199;0.2;2.0;19.6;25.8;43.1;52.9;15.4;2.4;16.3;1.5;17.3;12.0;0.4;1.0;9.3;1.4;0.1;0.2;1.6;15.2;20.0;33.5;41.1;11.9;1.8;12.7;1.2;13.4;9.4;0.3;0.7;7.2;1.1;0.1;0.6;4.7;45.4;59.9;100;122.7;35.7;5.5;37.8;3.6;40.1;27.9;1.0;2.2;21.5;3.3
30;Gest. besteedbaar inkomen: 3e 20%-groep;2005;1376;4632;56478;46301;62694;90144;48058;5208;16617;3869;16393;33458;2796;2818;23739;4105;3231;0.9;3.2;38.5;31.6;42.8;61.5;32.8;3.6;11.3;2.6;11.2;22.8;1.9;1.9;16.2;2.8;2.2;0.7;2.2;27.0;22.2;30.0;43.2;23.0;2.5;8.0;1.9;7.8;16.0;1.3;1.3;11.4;2.0;1.5;2.2;7.4;90.1;73.9;100;143.8;76.7;8.3;26.5;6.2;26.1;53.4;4.5;4.5;37.9;6.5
31;Gest. besteedbaar inkomen: 3e 20%-groep;2006;2138;4896;57813;47301;66431;93257;49056;5523;17139;2408;19131;33860;3801;3030;24321;2708;2073;1.4;3.3;39.2;32.1;45.0;63.2;33.3;3.7;11.6;1.6;13.0;23.0;2.6;2.1;16.5;1.8;1.4;1.0;2.3;27.5;22.5;31.7;44.4;23.4;2.6;8.2;1.1;9.1;16.1;1.8;1.4;11.6;1.3;1.0;3.2;7.4;87.0;71.2;100;140.4;73.8;8.3;25.8;3.6;28.8;51.0;5.7;4.6;36.6;4.1
32;Gest. besteedbaar inkomen: 3e 20%-groep;2007;2853;4634;59658;49029;68953;97652;51628;5613;17976;2511;19925;36186;5069;3185;25241;2690;2186;1.9;3.1;40.2;33.0;46.4;65.8;34.8;3.8;12.1;1.7;13.4;24.4;3.4;2.1;17.0;1.8;1.5;1.4;2.2;28.3;23.3;32.7;46.3;24.5;2.7;8.5;1.2;9.4;17.2;2.4;1.5;12.0;1.3;1.0;4.1;6.7;86.5;71.1;100;141.6;74.9;8.1;26.1;3.6;28.9;52.5;7.4;4.6;36.6;3.9
33;Gest. besteedbaar inkomen: 3e 20%-groep;2008;2960;4798;62960;50319;71622;103668;54389;6381;19048;2547;21303;39804;5568;3535;28196;2505;3035;2.0;3.2;42.1;33.6;47.8;69.3;36.3;4.3;12.7;1.7;14.2;26.6;3.7;2.4;18.8;1.7;2.0;1.4;2.3;29.8;23.8;33.8;49.0;25.7;3.0;9.0;1.2;10.1;18.8;2.6;1.7;13.3;1.2;1.4;4.1;6.7;87.9;70.3;100;144.7;75.9;8.9;26.6;3.6;29.7;55.6;7.8;4.9;39.4;3.5
34;Gest. besteedbaar inkomen: 3e 20%-groep;2009;837;5571;63023;52036;74881;105161;53594;6032;20098;2592;22845;36689;3011;4250;26827;2600;3093;0.6;3.7;41.7;34.4;49.5;69.6;35.5;4.0;13.3;1.7;15.1;24.3;2.0;2.8;17.7;1.7;2.0;0.4;2.6;29.6;24.5;35.2;49.4;25.2;2.8;9.4;1.2;10.7;17.2;1.4;2.0;12.6;1.2;1.5;1.1;7.4;84.2;69.5;100;140.4;71.6;8.1;26.8;3.5;30.5;49.0;4.0;5.7;35.8;3.5
35;Gest. besteedbaar inkomen: 3e 20%-groep;2010;409;5276;61522;52089;75627;106162;52625;5518;21579;2901;23538;36220;2306;4319;26684;2911;1954;0.3;3.5;40.3;34.1;49.6;69.6;34.5;3.6;14.1;1.9;15.4;23.7;1.5;2.8;17.5;1.9;1.3;0.2;2.5;28.7;24.3;35.3;49.6;24.6;2.6;10.1;1.4;11.0;16.9;1.1;2.0;12.5;1.4;0.9;0.5;7.0;81.3;68.9;100;140.4;69.6;7.3;28.5;3.8;31.1;47.9;3.0;5.7;35.3;3.8
36;Gest. besteedbaar inkomen: 3e 20%-groep;2011;740;5320;63857;52774;76451;109402;54203;6308;22059;3156;23677;39012;2714;4135;28802;3360;2540;0.5;3.5;41.5;34.3;49.7;71.1;35.2;4.1;14.3;2.1;15.4;25.3;1.8;2.7;18.7;2.2;1.6;0.3;2.5;29.7;24.5;35.5;50.8;25.2;2.9;10.2;1.5;11.0;18.1;1.3;1.9;13.4;1.6;1.2;1.0;7.0;83.5;69.0;100;143.1;70.9;8.3;28.9;4.1;31.0;51.0;3.6;5.4;37.7;4.4
37;Gest. besteedbaar inkomen: 3e 20%-groep;2012;107;5153;64816;53169;77351;110909;54724;6364;22682;2957;24182;38818;1532;4025;30227;3034;2960;0.1;3.3;41.8;34.3;49.9;71.5;35.3;4.1;14.6;1.9;15.6;25.0;1.0;2.6;19.5;2.0;1.9;0.0;2.4;30.0;24.6;35.8;51.3;25.3;2.9;10.5;1.4;11.2;17.9;0.7;1.9;14.0;1.4;1.4;0.1;6.7;83.8;68.7;100;143.4;70.7;8.2;29.3;3.8;31.3;50.2;2.0;5.2;39.1;3.9
38;Gest. besteedbaar inkomen: 3e 20%-groep;2013;405;5482;63841;55613;79701;110363;52900;6348;23851;3176;24088;36549;1294;3974;28263;3018;2712;0.3;3.5;40.9;35.6;51.0;70.7;33.9;4.1;15.3;2.0;15.4;23.4;0.8;2.5;18.1;1.9;1.7;0.2;2.5;29.4;25.6;36.6;50.7;24.3;2.9;11.0;1.5;11.1;16.8;0.6;1.8;13.0;1.4;1.2;0.5;6.9;80.1;69.8;100;138.5;66.4;8.0;29.9;4.0;30.2;45.9;1.6;5.0;35.5;3.8
39;Gest. besteedbaar inkomen: 3e 20%-groep;2014;785;5805;64049;56580;80917;110233;52455;6293;24103;3044;24338;35905;1289;3739;27948;2929;2669;0.5;3.7;40.7;35.9;51.4;70.0;33.3;4.0;15.3;1.9;15.5;22.8;0.8;2.4;17.7;1.9;1.7;0.4;2.7;29.3;25.9;37.0;50.4;24.0;2.9;11.0;1.4;11.1;16.4;0.6;1.7;12.8;1.3;1.2;1.0;7.2;79.2;69.9;100;136.2;64.8;7.8;29.8;3.8;30.1;44.4;1.6;4.6;34.5;3.6
40;Gest. besteedbaar inkomen: 4e 20%-groep;2005;1951;8056;85252;60500;76426;117048;70716;8254;17105;5047;15925;50629;3724;6526;34429;5950;6067;1.3;5.5;58.2;41.3;52.1;79.8;48.2;5.6;11.7;3.4;10.9;34.5;2.5;4.5;23.5;4.1;4.1;0.9;3.7;39.5;28.0;35.4;54.2;32.8;3.8;7.9;2.3;7.4;23.4;1.7;3.0;15.9;2.8;2.8;2.6;10.5;111.5;79.2;100;153.2;92.5;10.8;22.4;6.6;20.8;66.2;4.9;8.5;45.0;7.8
41;Gest. besteedbaar inkomen: 4e 20%-groep;2006;2932;8616;87128;62195;81004;120046;72126;8556;17635;2919;18810;50589;5103;6924;35260;3303;4490;2.0;5.8;59.1;42.2;54.9;81.4;48.9;5.8;12.0;2.0;12.7;34.3;3.5;4.7;23.9;2.2;3.0;1.4;4.0;40.2;28.7;37.4;55.4;33.3;3.9;8.1;1.3;8.7;23.3;2.4;3.2;16.3;1.5;2.1;3.6;10.6;107.6;76.8;100;148.2;89.0;10.6;21.8;3.6;23.2;62.5;6.3;8.5;43.5;4.1
42;Gest. besteedbaar inkomen: 4e 20%-groep;2007;3943;8199;91001;64502;84139;126592;76716;9043;18205;2990;19637;54595;6900;7335;36943;3417;5004;2.7;5.5;61.3;43.4;56.7;85.3;51.7;6.1;12.3;2.0;13.2;36.8;4.6;4.9;24.9;2.3;3.4;1.8;3.8;41.8;29.6;38.6;58.1;35.2;4.2;8.4;1.4;9.0;25.1;3.2;3.4;17.0;1.6;2.3;4.7;9.7;108.2;76.7;100;150.5;91.2;10.7;21.6;3.6;23.3;64.9;8.2;8.7;43.9;4.1
