ID;RegioS;Kiesgerechtigden_1;Opkomstpercentage_2;TotaalStemmen_3;GeldigeStemmen_4;OngeldigeStemmen_5;AmsterdamAnders_6;CDA_7;CU_8;CUSGP_9;D66_10;DeGroenen_11;DeGroenenNoordHollandAnders_12;DemocratischPlatformNederland_13;DrenthsBelangDOP_14;FNP_15;GemeentebelangenFrieslandGF_16;GL_17;LeefbaarBrabantBOF_18;LeefbaarFlevoland_19;LeefbaarGelderlandDeGroenen_20;LeefbaarNoordHolland_21;LeefbaarProvincialePartijLPP_22;LeefbaarProvincieUtrecht_23;LeefbaarZuidHolland_24;LijstHolsteijn_25;LijstNieuwePolitiekLNP_26;LijstVeldhoen_27;LPF_28;MOOIZUIDHOLLANDDeGroenen_29;NederlandseVolksUnieNVU_30;NieuweCommunistischePartijNCPN_31;NieuweToekomstPartijNTP_32;NSap_33;OnafhankelijkePartijDrenthe_34;OuderenpartijNHVSP_35;PartijNieuwLimburgPNL_36;PartijVoorHetNoorden_37;PARTIJVOORZEELANDPVZ_38;PolitiekePartijAlianza_39;PvdA_40;SGP_41;SP_42;VERENIGDESENIORENPARTIJ_43;VIPVooruitstrevendeIntegratiePartij_44;VVD_45;AmsterdamAnders_46;CDA_47;CU_48;CUSGP_49;D66_50;DeGroenen_51;DeGroenenNoordHollandAnders_52;DemocratischPlatformNederland_53;DrenthsBelangDOP_54;FNP_55;GemeentebelangenFrieslandGF_56;GL_57;LeefbaarBrabantBOF_58;LeefbaarFlevoland_59;LeefbaarGelderlandDeGroenen_60;LeefbaarNoordHolland_61;LeefbaarProvincialePartijLPP_62;LeefbaarProvincieUtrecht_63;LeefbaarZuidHolland_64;LijstHolsteijn_65;LijstNieuwePolitiekLNP_66;LijstVeldhoen_67;LPF_68;MOOIZUIDHOLLANDDeGroenen_69;NederlandseVolksUnieNVU_70;NieuweCommunistischePartijNCPN_71;NieuweToekomstPartijNTP_72;NSap_73;OnafhankelijkePartijDrenthe_74;OuderenpartijNHVSP_75;PartijNieuwLimburgPNL_76;PartijVoorHetNoorden_77;PARTIJVOORZEELANDPVZ_78;PolitiekePartijAlianza_79;PvdA_80;SGP_81;SP_82;VERENIGDESENIORENPARTIJ_83;VIPVooruitstrevendeIntegratiePartij_84;VVD_85;Gemeente_86;Landsdeel_87;Provincie_88;COROPGebied_89;Kamerkieskring_90;Stadsgewest_91;GrootstedelijkeAgglomeratie_92
17;Amerongen;5408;57.9;3133;3131;2;;938;170.0;;150;6.0;;;;;;126;;;;;;13.0;;;;;65;;;;;;;;;;;;485;415.0;97.0;;;666;;30.0;5.4;;4.8;0.2;;;;;;4.0;;;;;;0.4;;;;;2.1;;;;;;;;;;;;15.5;13.3;3.1;;;21.3;0306;3;26;17;08;00;00
18;Amersfoort;94851;49.5;46952;46908;44;;9977;3569.0;;2709;112.0;;;;;;4961;;;;;;577.0;;;;;863;;;;;;;;;;;;11414;645.0;3187.0;;;8894;;21.3;7.6;;5.8;0.2;;;;;;10.6;;;;;;1.2;;;;;1.8;;;;;;;;;;;;24.3;1.4;6.8;;;19.0;0307;3;26;17;08;08;08
19;Amstelveen;57481;53.5;30734;30699;35;34.0;5998;;446.0;2409;;122.0;;;;;2798;;;;147.0;94.0;;;;;;874;;;27.0;32.0;;;301.0;;;;;6744;;1514.0;;;9159;0.1;19.5;;1.5;7.8;;0.4;;;;;9.1;;;;0.5;0.3;;;;;;2.8;;;0.1;0.1;;;1.0;;;;;22.0;;4.9;;;29.8;0362;3;27;23;10;10;10
20;Amsterdam;524338;39.3;206263;205473;790;1480.0;16969;;2083.0;16951;;1986.0;;;;;32062;;;;584.0;470.0;;;;;;7113;;;435.0;447.0;;;1762.0;;;;;67056;;21367.0;;;34708;0.7;8.3;;1.0;8.2;;1.0;;;;;15.6;;;;0.3;0.2;;;;;;3.5;;;0.2;0.2;;;0.9;;;;;32.6;;10.4;;;16.9;0363;3;27;23;09;10;10
21;Andijk;4710;52.3;2461;2459;2;2.0;876;;239.0;67;;3.0;;;;;158;;;;8.0;7.0;;;;;;88;;;1.0;2.0;;;15.0;;;;;436;;107.0;;;450;0.1;35.6;;9.7;2.7;;0.1;;;;;6.4;;;;0.3;0.3;;;;;;3.6;;;0.0;0.1;;;0.6;;;;;17.7;;4.4;;;18.3;0364;3;27;18;11;00;00
22;Angerlo;3799;53.6;2038;2033;5;;839;6.0;;64;;;;;;;83;;;22.0;;;;;;;;65;;3.0;;;;;;;;;;504;2.0;105.0;;;340;;41.3;0.3;;3.1;;;;;;;4.1;;;1.1;;;;;;;;3.2;;0.1;;;;;;;;;;24.8;0.1;5.2;;;16.7;0199;2;25;15;07;06;00
23;Anna Paulowna;10293;47.7;4913;4911;2;3.0;1417;;95.0;190;;13.0;;;;;135;;;;37.0;29.0;;;;;;162;;;1.0;6.0;;;60.0;;;;;1077;;147.0;;;1539;0.1;28.9;;1.9;3.9;;0.3;;;;;2.7;;;;0.8;0.6;;;;;;3.3;;;0.0;0.1;;;1.2;;;;;21.9;;3.0;;;31.3;0366;3;27;18;11;00;00
24;Apeldoorn;118554;50.1;59435;59391;44;;16066;2796.0;;2585;;;;;;;3893;;;749.0;;;;;;;;1596;;151.0;;;;;;;;;;14925;2401.0;3014.0;;;11215;;27.1;4.7;;4.4;;;;;;;6.6;;;1.3;;;;;;;;2.7;;0.3;;;;;;;;;;25.1;4.0;5.1;;;18.9;0200;2;25;13;07;05;05
25;Appingedam;9819;51.3;5034;5033;1;;1224;215.0;;173;;;;;;;175;;;;;;;;;;;114;;;40.0;;;;;;233.0;;;2080;;199.0;;;580;;24.3;4.3;;3.4;;;;;;;3.5;;;;;;;;;;;2.3;;;0.8;;;;;;4.6;;;41.3;;4.0;;;11.5;0003;1;20;02;01;00;00
26;Arcen en Velden;6620;52.3;3465;3461;4;;1847;;;78;;;;;;;111;;;;;;;;;;;50;;;;;;;;67.0;;;;696;;94.0;;;518;;53.4;;;2.3;;;;;;;3.2;;;;;;;;;;;1.4;;;;;;;;1.9;;;;20.1;;2.7;;;15.0;0885;4;31;37;19;00;00
27;Arnhem;106908;42.6;45572;45482;90;;8534;1027.0;;2663;;;;;;;5499;;;979.0;;;;;;;;1133;;164.0;;;;;;;;;;13319;115.0;4638.0;;;7411;;18.8;2.3;;5.9;;;;;;;12.1;;;2.2;;;;;;;;2.5;;0.4;;;;;;;;;;29.3;0.3;10.2;;;16.3;0202;2;25;15;07;06;06
28;Assen;45765;55.0;25148;25123;25;;4759;2515.0;;1085;;;;338.0;;;2439;;;;;;;;;;;518;;;;;;482.0;;;;;;9166;72.0;;;;3749;;18.9;10.0;;4.3;;;;1.3;;;9.7;;;;;;;;;;;2.1;;;;;;1.9;;;;;;36.5;0.3;;;;14.9;0106;1;22;07;03;00;00
29;Asten;12016;50.3;6048;6044;4;;3070;;17.0;237;;;;;;;204;34.0;;;;;;;;3.0;;161;;;;;;;;;;;;1183;;261.0;24.0;;850;;50.8;;0.3;3.9;;;;;;;3.4;0.6;;;;;;;;0.0;;2.7;;;;;;;;;;;;19.6;;4.3;0.4;;14.1;0743;4;30;36;18;00;00
30;Baarle-Nassau;4961;43.8;2172;2172;0;;1167;;4.0;57;;;;;;;65;8.0;;;;;;;;1.0;;46;;;;;;;;;;;;320;;118.0;15.0;;371;;53.7;;0.2;2.6;;;;;;;3.0;0.4;;;;;;;;0.0;;2.1;;;;;;;;;;;;14.7;;5.4;0.7;;17.1;0744;4;30;34;17;00;00
31;Baarn;18339;53.5;9817;9802;15;;2464;452.0;;539;27.0;;;;;;691;;;;;;62.0;;;;;317;;;;;;;;;;;;2025;105.0;487.0;;;2633;;25.1;4.6;;5.5;0.3;;;;;;7.0;;;;;;0.6;;;;;3.2;;;;;;;;;;;;20.7;1.1;5.0;;;26.9;0308;3;26;17;08;00;00
32;Barendrecht;26381;47.5;12522;12513;9;;3250;646.0;;516;;;3.0;;;;621;;;;;;;101.0;1.0;2.0;7.0;619;37.0;;;2.0;0.0;;;;;;2.0;2291;1045.0;379.0;97.0;2.0;2892;;26.0;5.2;;4.1;;;0.0;;;;5.0;;;;;;;0.8;0.0;0.0;0.1;4.9;0.3;;;0.0;0.0;;;;;;0.0;18.3;8.4;3.0;0.8;0.0;23.1;0489;3;28;29;14;14;14
33;Barneveld;34415;64.9;22334;22323;11;;8013;2549.0;;270;;;;;;;383;;;136.0;;;;;;;;640;;19.0;;;;;;;;;;1610;5442.0;363.0;;;2898;;35.9;11.4;;1.2;;;;;;;1.7;;;0.6;;;;;;;;2.9;;0.1;;;;;;;;;;7.2;24.4;1.6;;;13.0;0203;2;25;13;07;00;00
34;Bathmen;4093;75.5;3092;3070;22;;1059;15.0;;110;;;;;;;130;;;;;;;;;;;73;;;;;;;;;;;;779;2.0;89.0;;;813;;34.5;0.5;;3.6;;;;;;;4.2;;;;;;;;;;;2.4;;;;;;;;;;;;25.4;0.1;2.9;;;26.5;0144;2;23;11;04;00;00
35;Bedum;8077;67.4;5446;5441;5;;1937;801.0;;154;;;;;;;268;;;;;;;;;;;38;;;6.0;;;;;;268.0;;;1300;;195.0;;;474;;35.6;14.7;;2.8;;;;;;;4.9;;;;;;;;;;;0.7;;;0.1;;;;;;4.9;;;23.9;;3.6;;;8.7;0005;1;20;03;01;01;00
36;Beek;13099;51.3;6716;6709;7;;2843;;;597;;;;;;;289;;;;;;;;;;;151;;;;;;;;168.0;;;;1230;;231.0;;;1200;;42.4;;;8.9;;;;;;;4.3;;;;;;;;;;;2.3;;;;;;;;2.5;;;;18.3;;3.4;;;17.9;0888;4;31;39;19;20;20
37;Beemster;6449;57.5;3706;3697;9;3.0;868;;15.0;172;;20.0;;;;;206;;;;20.0;67.0;;;;;;92;;;3.0;4.0;;;44.0;;;;;934;;141.0;;;1108;0.1;23.5;;0.4;4.7;;0.5;;;;;5.6;;;;0.5;1.8;;;;;;2.5;;;0.1;0.1;;;1.2;;;;;25.3;;3.8;;;30.0;0370;3;27;23;11;00;00
38;Beesel;10133;43.7;4433;4431;2;;1977;;;65;;;;;;;152;;;;;;;;;;;109;;;;;;;;66.0;;;;877;;148.0;;;1037;;44.6;;;1.5;;;;;;;3.4;;;;;;;;;;;2.5;;;;;;;;1.5;;;;19.8;;3.3;;;23.4;0889;4;31;37;19;00;00
39;Bellingwedde;7527;56.5;4253;4250;3;;640;92.0;;97;;;;;;;263;;;;;;;;;;;127;;;41.0;;;;;;185.0;;;1993;;172.0;;;640;;15.1;2.2;;2.3;;;;;;;6.2;;;;;;;;;;;3.0;;;1.0;;;;;;4.4;;;46.9;;4.0;;;15.1;0007;1;20;01;01;00;00
40;Bennebroek;4112;62.8;2584;2583;1;2.0;762;;28.0;164;;9.0;;;;;135;;;;6.0;3.0;;;;;;34;;;1.0;1.0;;;7.0;;;;;404;;68.0;;;959;0.1;29.5;;1.1;6.3;;0.3;;;;;5.2;;;;0.2;0.1;;;;;;1.3;;;0.0;0.0;;;0.3;;;;;15.6;;2.6;;;37.1;0372;3;27;21;10;11;00
41;Bergambacht;6860;60.6;4156;4154;2;;891;263.0;;122;;;;;;;147;;;;;;;28.0;1.0;0.0;0.0;110;9.0;;;0.0;0.0;;;;;;0.0;910;713.0;107.0;4.0;0.0;849;;21.4;6.3;;2.9;;;;;;;3.5;;;;;;;0.7;0.0;0.0;0.0;2.6;0.2;;;0.0;0.0;;;;;;0.0;21.9;17.2;2.6;0.1;0.0;20.4;0491;3;28;28;15;00;00
42;Bergeijk;13488;47.8;6442;6438;4;;2958;;24.0;166;;;;;;;172;48.0;;;;;;;;4.0;;127;;;;;;;;;;;;893;;253.0;20.0;;1773;;45.9;;0.4;2.6;;;;;;;2.7;0.7;;;;;;;;0.1;;2.0;;;;;;;;;;;;13.9;;3.9;0.3;;27.5;1724;4;30;36;18;00;00
43;Bergen (L.);10063;45.1;4539;4536;3;;2344;;;248;;;;;;;110;;;;;;;;;;;99;;;;;;;;47.0;;;;760;;148.0;;;780;;51.7;;;5.5;;;;;;;2.4;;;;;;;;;;;2.2;;;;;;;;1.0;;;;16.8;;3.3;;;17.2;0893;4;31;37;19;00;00
44;Bergen (NH.);24410;53.6;13095;13088;7;19.0;2829;;77.0;1149;;74.0;;;;;1165;;;;72.0;75.0;;;;;;371;;;20.0;14.0;;;142.0;;;;;2914;;580.0;;;3587;0.1;21.6;;0.6;8.8;;0.6;;;;;8.9;;;;0.6;0.6;;;;;;2.8;;;0.2;0.1;;;1.1;;;;;22.3;;4.4;;;27.4;0373;3;27;19;11;00;00
45;Bergen op Zoom;48424;36.5;17669;17646;23;;5215;;153.0;756;;;;;;;911;381.0;;;;;;;;10.0;;634;;;;;;;;;;;;4076;;1081.0;78.0;;4351;;29.6;;0.9;4.3;;;;;;;5.2;2.2;;;;;;;;0.1;;3.6;;;;;;;;;;;;23.1;;6.1;0.4;;24.7;0748;4;30;33;17;00;00
46;Bergh;14061;42.8;6022;6016;6;;2790;22.0;;138;;;;;;;190;;;68.0;;;;;;;;127;;8.0;;;;;;;;;;1374;12.0;269.0;;;1018;;46.4;0.4;;2.3;;;;;;;3.2;;;1.1;;;;;;;;2.1;;0.1;;;;;;;;;;22.8;0.2;4.5;;;16.9;0207;2;25;14;07;00;00
47;Bergschenhoek;10839;49.0;5316;5312;4;;1639;323.0;;256;;;;;;;234;;;;;;;54.0;2.0;7.0;2.0;245;17.0;;;0.0;0.0;;;;;;2.0;756;50.0;148.0;10.0;0.0;1567;;30.9;6.1;;4.8;;;;;;;4.4;;;;;;;1.0;0.0;0.1;0.0;4.6;0.3;;;0.0;0.0;;;;;;0.0;14.2;0.9;2.8;0.2;0.0;29.5;0492;3;28;29;15;00;00
48;Berkel en Rodenrijs;12651;54.3;6867;6862;5;;2437;760.0;;280;;;;;;;343;;;;;;;64.0;0.0;3.0;1.0;265;29.0;;;0.0;2.0;;;;;;2.0;973;68.0;185.0;17.0;0.0;1433;;35.5;11.1;;4.1;;;;;;;5.0;;;;;;;0.9;0.0;0.0;0.0;3.9;0.4;;;0.0;0.0;;;;;;0.0;14.2;1.0;2.7;0.2;0.0;20.9;0493;3;28;29;15;00;00
49;Bernheze;21419;44.3;9485;9469;16;;4791;;13.0;271;;;;;;;385;141.0;;;;;;;;5.0;;124;;;;;;;;;;;;1392;;957.0;34.0;;1356;;50.6;;0.1;2.9;;;;;;;4.1;1.5;;;;;;;;0.1;;1.3;;;;;;;;;;;;14.7;;10.1;0.4;;14.3;1721;4;30;35;18;00;00
50;Bernisse;9826;48.4;4752;4743;9;;1321;109.0;;185;;;1.0;;;;156;;;;;;;98.0;4.0;2.0;5.0;225;19.0;;;2.0;0.0;;;;;;3.0;1104;97.0;130.0;25.0;1.0;1256;;27.9;2.3;;3.9;;;0.0;;;;3.3;;;;;;;2.1;0.1;0.0;0.1;4.7;0.4;;;0.0;0.0;;;;;;0.1;23.3;2.0;2.7;0.5;0.0;26.5;0568;3;28;29;14;14;00
51;Best;20817;43.8;9125;9119;6;;3426;;220.0;494;;;;;;;410;53.0;;;;;;;;22.0;;220;;;;;;;;;;;;1816;;479.0;72.0;;1907;;37.6;;2.4;5.4;;;;;;;4.5;0.6;;;;;;;;0.2;;2.4;;;;;;;;;;;;19.9;;5.3;0.8;;20.9;0753;4;30;36;18;19;00
52;Beuningen;18613;41.5;7717;7707;10;;2504;49.0;;362;;;;;;;494;;;92.0;;;;;;;;164;;13.0;;;;;;;;;;2049;16.0;525.0;;;1439;;32.5;0.6;;4.7;;;;;;;6.4;;;1.2;;;;;;;;2.1;;0.2;;;;;;;;;;26.6;0.2;6.8;;;18.7;0209;2;25;15;06;07;00
53;Beverwijk;27677;41.6;11505;11489;16;16.0;2551;;119.0;444;;51.0;;;;;1156;;;;82.0;43.0;;;;;;447;;;12.0;4.0;;;160.0;;;;;3538;;671.0;;;2195;0.1;22.2;;1.0;3.9;;0.4;;;;;10.1;;;;0.7;0.4;;;;;;3.9;;;0.1;0.0;;;1.4;;;;;30.8;;5.8;;;19.1;0375;3;27;20;10;11;00
54;het Bildt;7965;59.5;4740;4737;3;;1500;;150.0;59;;;;;581.0;83.0;168;;;;;;;;;;;106;;;5.0;;;;;;;;;1327;;251.0;;;507;;31.7;;3.2;1.2;;;;;12.3;1.8;3.5;;;;;;;;;;;2.2;;;0.1;;;;;;;;;28.0;;5.3;;;10.7;0063;1;21;04;02;02;00
55;De Bilt;32214;61.1;19698;19683;15;;4257;570.0;;1637;70.0;;;;;;1917;;;;;;126.0;;;;;444;;;;;;;;;;;;3542;801.0;1060.0;;;5259;;21.6;2.9;;8.3;0.4;;;;;;9.7;;;;;;0.6;;;;;2.3;;;;;;;;;;;;18.0;4.1;5.4;;;26.7;0310;3;26;17;08;09;00
56;Binnenmaas;15007;52.5;7872;7866;6;;1883;217.0;;376;;;2.0;;;;380;;;;;;;164.0;1.0;2.0;8.0;324;38.0;;;0.0;0.0;;;;;;1.0;1653;654.0;244.0;13.0;0.0;1906;;23.9;2.8;;4.8;;;0.0;;;;4.8;;;;;;;2.1;0.0;0.0;0.1;4.1;0.5;;;0.0;0.0;;;;;;0.0;21.0;8.3;3.1;0.2;0.0;24.2;0585;3;28;29;14;00;00
57;Bladel;14369;45.7;6564;6560;4;;3862;;19.0;160;;;;;;;190;101.0;;;;;;;;6.0;;97;;;;;;;;;;;;893;;295.0;33.0;;904;;58.9;;0.3;2.4;;;;;;;2.9;1.5;;;;;;;;0.1;;1.5;;;;;;;;;;;;13.6;;4.5;0.5;;13.8;1728;4;30;36;18;00;00
58;Blaricum;7214;58.7;4233;4228;5;6.0;922;;53.0;315;;11.0;;;;;246;;;;13.0;11.0;;;;;;86;;;2.0;0.0;;;34.0;;;;;733;;137.0;;;1659;0.1;21.8;;1.3;7.5;;0.3;;;;;5.8;;;;0.3;0.3;;;;;;2.0;;;0.0;0.0;;;0.8;;;;;17.3;;3.2;;;39.2;0376;3;27;24;10;00;00
59;Bleiswijk;7393;53.7;3972;3972;0;;1511;226.0;;124;;;;;;;105;;;;;;;24.0;1.0;0.0;1.0;200;14.0;;;2.0;1.0;;;;;;0.0;531;87.0;97.0;9.0;1.0;1038;;38.0;5.7;;3.1;;;;;;;2.6;;;;;;;0.6;0.0;0.0;0.0;5.0;0.4;;;0.1;0.0;;;;;;0.0;13.4;2.2;2.4;0.2;0.0;26.1;0495;3;28;29;15;00;00
60;Bloemendaal;12620;66.9;8447;8443;4;3.0;1644;;77.0;718;;36.0;;;;;621;;;;29.0;13.0;;;;;;146;;;2.0;0.0;;;43.0;;;;;1240;;237.0;;;3634;0.0;19.5;;0.9;8.5;;0.4;;;;;7.4;;;;0.3;0.2;;;;;;1.7;;;0.0;0.0;;;0.5;;;;;14.7;;2.8;;;43.0;0377;3;27;21;10;11;11
