ID;Grootteklasse;RegioS;Rechtsvorm;Perioden;Bedrijven_1;TotaalAantalWerknemers_2;AantalVasteWerknemers_3;AantalLosseWerknemers_4;TotaalArbeid_5;ArbeidOndernemers_6;ArbeidHuwelijksPartners_7;ArbeidOverigeGezinsleden_8;TotaalBedrijfsopbrengsten_9;NettoOmzet_10;OverigeBedrijfsopbrengsten_11;TotaalBedrijfslasten_12;InkoopwaardeOmzet_13;Personeelslasten_14;OverigeBedrijfslasten_15;TotaalOverigeOpbrengstenEnLasten_16;SaldoInterest_17;SaldoBuitengewoneBatenEnLasten_18;SaldoVoorzieningen_19;ResultaatVoorBelastingen_20;TotaalInvesteringen_21;TotaalInvesteringenInNieuweActiva_22;TotaalInvesteringenIn2eHandseActiva_23;TotaalNettoOmzet_24;AgrarischLoonwerk_25;OverigLoonwerk_26;TotaalOverigeBedrijfsopbrengsten_27;OpbrengstenUitContributies_28;OpbrengstenLandbouwactiviteiten_29;OpbrengstenVerhuurMachines_30;UitkeringenSchadeverzekeringen_31;OverigeBedrijfsopbrengstenNEG_32;TotaalInkoopwaardeOmzet_33;TotaalInkopenGrondEnHulpstoffen_34;Kunstmest_35;Bestrijdingsmiddelen_36;ZaaiPlantEnPootgoed_37;OverigeGrondEnHulpstoffen_38;InkopenHandelsgoederen_39;WerkDoorDerden_40;TotaalPersoneelslasten_41;BrutoLonen_42;SocialeLasten_43;OverigePersoneelslasten_44;TotaalOverigeBedrijfslasten_45;TotaleEnergiekosten_46;BrandstoffenTrekkracht_47;Aardgas_48;Elektriciteit_49;OverigeBrandstoffen_50;OverigeBetaaldeArbeid_51;TotaleAlgemeneKosten_52;HuurGebouwenEnTerreinen_53;HuurTransportmMachinesWerktuigen_54;OnderhoudGebouwen_55;OnderhTransportmMachinesEtc_56;PremiesSchadeverzekeringen_57;KostenPrivegebruikBedrijfsauto_58;KostprijsverhBelastingenEnHeffingen_59;OverigeAlgemeneKosten_60;TotaleAfschrijvingen_61;Gebouwen_62;MachinesEnWerktuigen_63;OverigeMaterieleActiva_64;TotaalInvesteringen_65;TotaalInvesteringenInNieuweActiva_66;GrondEnTerreinen_67;Woonruimten_68;Bedrijfsruimten_69;GrondWegenEnWaterbouwkWerken_70;ExterneTransportmiddelen_71;Trekkers_72;OverigeInterneTransportmiddelen_73;Kantoormachines_74;MachinesEnWerktuigen_75;Installaties_76;OverigeMaterieleActiva_77;ImmaterieleActiva_78;TotaalInvesteringenIn2eHandseActiva_79;GrondEnTerreinen_80;Woonruimten_81;Bedrijfsruimten_82;GrondWegenEnWaterbouwkWerken_83;ExterneTransportmiddelen_84;Trekkers_85;OverigeInterneTransportmiddelen_86;Kantoormachines_87;MachinesEnWerktuigen_88;Installaties_89;OverigeMaterieleActiva_90;ImmaterieleActiva_91;TotaalDesinvesteringen_92;GrondEnTerreinen_93;Woonruimten_94;Bedrijfsruimten_95;GrondWegenEnWaterbouwkWerken_96;ExterneTransportmiddelen_97;Trekkers_98;OverigeInterneTransportmiddelen_99;Kantoormachines_100;MachinesEnWerktuigen_101;Installaties_102;OverigeMaterieleActiva_103;ImmaterieleActiva_104
14;Totaal grootteklassen;Totaal Nederland;Andere rechtsvormen;1998;88;1.2;0.3;0.8;94.0;85.0;8.0;0.0;39.0;36.0;3.0;35.0;6.0;18.0;11.0;0.0;-1.0;0.0;0.0;4.0;8.0;5.0;3.0;36.0;30.0;6.0;3.0;1.0;2.0;0.0;0.0;1.0;6.0;3.0;0.0;2.0;0.0;0.0;1.0;2.0;18.0;13.0;4.0;1.0;11.0;1.0;1.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;5.0;0.0;4.0;0.0;8.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
15;Totaal grootteklassen;Noord-Nederland;Totaal rechtsvormen;1992;743;1.7;0.6;1.1;551.0;476.0;70.0;6.0;127.0;119.0;8.0;108.0;22.0;34.0;51.0;-6.0;-6.0;0.0;0.0;13.0;35.0;30.0;5.0;119.0;105.0;14.0;8.0;0.0;5.0;0.0;0.0;3.0;22.0;15.0;1.0;6.0;4.0;4.0;2.0;6.0;34.0;24.0;8.0;1.0;51.0;6.0;5.0;0.0;0.0;0.0;1.0;22.0;1.0;1.0;1.0;11.0;2.0;-1.0;0.0;7.0;23.0;1.0;22.0;1.0;35.0;30.0;1.0;0.0;1.0;0.0;1.0;4.0;0.0;0.0;22.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0
16;Totaal grootteklassen;Noord-Nederland;Totaal rechtsvormen;1995;704;3.9;2.0;1.9;769.0;689.0;71.0;10.0;304.0;248.0;56.0;274.0;59.0;126.0;89.0;-5.0;-6.0;2.0;0.0;25.0;52.0;45.0;8.0;248.0;210.0;38.0;56.0;15.0;9.0;2.0;0.0;30.0;59.0;25.0;2.0;6.0;5.0;12.0;12.0;22.0;126.0;109.0;14.0;3.0;89.0;9.0;8.0;0.0;0.0;1.0;2.0;43.0;1.0;3.0;1.0;19.0;4.0;-1.0;0.0;16.0;35.0;3.0;32.0;1.0;52.0;45.0;2.0;0.0;3.0;0.0;1.0;7.0;2.0;0.0;28.0;0.0;1.0;0.0;8.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;5.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0;0.0;0.0;0.0
17;Totaal grootteklassen;Noord-Nederland;Totaal rechtsvormen;1998;764;4.4;3.0;1.4;844.0;778.0;60.0;7.0;283.0;241.0;42.0;249.0;53.0;104.0;92.0;-6.0;-6.0;1.0;-1.0;28.0;57.0;48.0;10.0;241.0;187.0;55.0;42.0;2.0;15.0;1.0;0.0;24.0;53.0;24.0;1.0;6.0;5.0;12.0;14.0;15.0;104.0;76.0;22.0;6.0;92.0;9.0;8.0;0.0;1.0;1.0;2.0;44.0;2.0;4.0;1.0;19.0;4.0;-1.0;1.0;15.0;36.0;2.0;33.0;1.0;57.0;48.0;1.0;0.0;3.0;1.0;3.0;7.0;1.0;0.0;30.0;0.0;1.0;0.0;10.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;6.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;5.0;0.0;1.0;0.0
18;Totaal grootteklassen;Noord-Nederland;Coöperatieve vereniging;1992;45;0.1;0.1;0.1;0.0;0.0;0.0;0.0;10.0;10.0;1.0;10.0;2.0;3.0;4.0;-1.0;-1.0;0.0;0.0;0.0;3.0;3.0;0.0;10.0;9.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;3.0;3.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;Totaal grootteklassen;Noord-Nederland;Coöperatieve vereniging;1995;34;1.4;1.1;0.3;3.0;3.0;0.0;0.0;106.0;81.0;24.0;103.0;16.0;73.0;14.0;1.0;0.0;1.0;0.0;3.0;7.0;7.0;1.0;81.0;74.0;7.0;24.0;15.0;1.0;0.0;0.0;8.0;16.0;5.0;0.0;1.0;1.0;3.0;5.0;6.0;73.0;70.0;3.0;0.0;14.0;1.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;5.0;4.0;1.0;3.0;0.0;7.0;7.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
20;Totaal grootteklassen;Noord-Nederland;Coöperatieve vereniging;1998;22;1.5;1.5;0.0;0.0;0.0;0.0;0.0;58.0;53.0;5.0;57.0;5.0;45.0;7.0;-1.0;0.0;0.0;-1.0;0.0;3.0;3.0;0.0;53.0;52.0;1.0;5.0;2.0;0.0;0.0;0.0;3.0;5.0;2.0;0.0;2.0;0.0;0.0;0.0;3.0;45.0;32.0;10.0;3.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;Totaal grootteklassen;Noord-Nederland;Gezinsbedrijf;1992;603;1.1;0.3;0.8;540.0;465.0;69.0;6.0;89.0;82.0;7.0;72.0;13.0;22.0;37.0;-4.0;-5.0;0.0;0.0;12.0;25.0;21.0;5.0;82.0;73.0;9.0;7.0;0.0;5.0;0.0;0.0;2.0;13.0;9.0;1.0;3.0;3.0;3.0;1.0;3.0;22.0;16.0;5.0;1.0;37.0;4.0;4.0;0.0;0.0;0.0;0.0;16.0;1.0;1.0;0.0;8.0;2.0;-1.0;0.0;5.0;17.0;1.0;16.0;0.0;25.0;21.0;0.0;0.0;1.0;0.0;1.0;3.0;0.0;0.0;15.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
22;Totaal grootteklassen;Noord-Nederland;Gezinsbedrijf;1995;586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Totaal grootteklassen;Noord-Nederland;Gezinsbedrijf;1998;642;1.6;0.8;0.8;827.0;761.0;59.0;7.0;136.0;122.0;13.0;111.0;25.0;32.0;55.0;-3.0;-4.0;1.0;0.0;21.0;39.0;30.0;8.0;122.0;95.0;27.0;13.0;0.0;5.0;0.0;0.0;7.0;25.0;13.0;1.0;3.0;3.0;6.0;6.0;6.0;32.0;23.0;7.0;2.0;55.0;6.0;5.0;0.0;0.0;0.0;1.0;24.0;1.0;1.0;1.0;11.0;2.0;-1.0;0.0;8.0;24.0;1.0;22.0;1.0;39.0;30.0;1.0;0.0;1.0;0.0;2.0;5.0;1.0;0.0;19.0;0.0;1.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;5.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0
24;Totaal grootteklassen;Noord-Nederland;NV of BV;1992;86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
