ID;BedrijfstakkenBranchesSBI2008;Perioden;BeloningVanWerknemers_1;Lonen_2;SocialePremiesTLVWerkgevers_3;Loonkosten_4;BeloningVanWerknemers_5;Lonen_6;Loonkosten_7;BeloningPerArbeidsjaar_8;LonenPerArbeidsjaar_9;LoonkostenPerArbeidsjaar_10;BeloningPerGewerktUur_11;LonenPerGewerktUur_12;LoonkostenPerGewerktUur_13;BeloningPerArbeidsjaar_14;LonenPerArbeidsjaar_15;LoonkostenPerArbeidsjaar_16;BeloningPerGewerktUur_17;LonenPerGewerktUur_18;LoonkostenPerGewerktUur_19;Arbeidsjaren_20;GewerkteUren_21;BetaaldeUren_22;OvereengekomenUren_23;BetaaldeOverwerkuren_24;Arbeidsjaren_25;GewerkteUren_26;Totaal_27;Mannen_28;Vrouwen_29;Totaal_30;Mannen_31;Vrouwen_32;Totaal_33;Mannen_34;Vrouwen_35;Totaal_36
31;A-U Alle economische activiteiten;2000;225800.0;178225.0;47575.0;223592.0;8.2;7.2;8.3;39.2;30.9;38.8;23.3;18.4;23.1;5.9;4.9;5.9;6.7;5.7;6.8;5766.0;9686.0;;;;2.2;1.4;7377.0;4216.0;3161.0;;;;;;;2.6
32;A-U Alle economische activiteiten;2001;238391.0;190976.0;47415.0;236016.0;5.6;7.2;5.6;40.5;32.4;40.1;24.1;19.3;23.9;3.4;5.0;3.4;3.4;4.9;3.4;5887.0;9892.0;;;;2.1;2.1;7537.0;4269.0;3268.0;;;;;;;2.2
33;A-U Alle economische activiteiten;2002;250067.0;198430.0;51637.0;247471.0;4.9;3.9;4.9;42.5;33.7;42.1;25.3;20.1;25.1;5.0;4.0;4.9;5.1;4.1;5.0;5883.0;9877.0;;;;-0.1;-0.1;7589.0;4252.0;3337.0;;;;;;;0.7
34;A-U Alle economische activiteiten;2003;256910.0;202614.0;54296.0;254707.0;2.7;2.1;2.9;44.2;34.9;43.8;26.2;20.7;26.0;4.0;3.4;4.2;3.7;3.0;3.9;5810.0;9789.0;;;;-1.2;-0.9;7544.0;4197.0;3347.0;;;;;;;-0.6
35;A-U Alle economische activiteiten;2004;260672.0;204707.0;55965.0;257809.0;1.5;1.0;1.2;45.4;35.7;44.9;26.7;21.0;26.4;2.7;2.3;2.5;1.7;1.3;1.5;5740.0;9763.0;;;;-1.2;-0.3;7466.0;4132.0;3334.0;;;;;;;-1.0
36;A-U Alle economische activiteiten;2005;264776.0;208631.0;56145.0;262617.0;1.6;1.9;1.9;46.2;36.4;45.8;27.4;21.6;27.1;1.7;2.0;2.0;2.5;2.8;2.8;5735.0;9675.0;;;;-0.1;-0.9;7508.0;4125.0;3384.0;;;;;;;0.6
37;A-U Alle economische activiteiten;2006;274119.0;218250.0;55869.0;272099.0;3.5;4.6;3.6;47.0;37.4;46.6;28.0;22.3;27.8;1.7;2.8;1.8;2.2;3.3;2.3;5838.0;9802.0;;;;1.8;1.3;7655.0;4215.0;3440.0;;;;;;;2.0
38;A-U Alle economische activiteiten;2007;290933.0;231327.0;59606.0;288809.0;6.1;6.0;6.1;48.6;38.7;48.3;28.9;23.0;28.7;3.6;3.5;3.6;3.5;3.3;3.5;5981.0;10055.0;;;;2.4;2.6;7880.0;4326.0;3554.0;;;;;;;2.9
39;A-U Alle economische activiteiten;2008;307355.0;242160.0;65195.0;305149.0;5.6;4.7;5.7;50.4;39.7;50.1;30.0;23.6;29.7;3.7;2.7;3.7;3.5;2.6;3.6;6095.0;10258.0;;;;1.9;2.0;8025.0;4378.0;3646.0;;;;;;;1.8
40;A-U Alle economische activiteiten;2009;311679.0;245616.0;66063.0;308592.0;1.4;1.4;1.1;51.8;40.8;51.3;30.9;24.3;30.6;2.8;2.8;2.5;3.1;3.1;2.8;6013.0;10092.0;;;;-1.4;-1.6;7948.0;4289.0;3659.0;;;;;;;-1.0
41;A-U Alle economische activiteiten;2010;310471.0;246542.0;63929.0;307476.0;-0.4;0.4;-0.4;52.1;41.4;51.6;31.1;24.7;30.8;0.6;1.3;0.6;0.7;1.5;0.7;5955.0;9982.0;11905.0;11751.0;154.0;-1.0;-1.1;7890.0;4190.0;3700.0;3908.0;2978.0;930.0;3982.0;1211.0;2771.0;-0.7
42;A-U Alle economische activiteiten;2011;318040.0;251715.0;66325.0;315462.0;2.4;2.1;2.6;53.4;42.2;52.9;31.6;25.0;31.4;2.4;2.0;2.5;1.7;1.3;1.8;5958.0;10057.0;11884.0;11728.0;156.0;0.0;0.7;7962.0;4214.0;3748.0;3809.0;2915.0;894.0;4153.0;1298.0;2855.0;0.9
43;A-U Alle economische activiteiten;2012;322825.0;253193.0;69632.0;320389.0;1.5;0.6;1.6;54.7;42.9;54.3;32.5;25.5;32.3;2.5;1.6;2.5;2.9;1.9;2.9;5901.0;9924.0;11810.0;11661.0;150.0;-1.0;-1.3;7908.0;4162.0;3746.0;3720.0;2849.0;871.0;4188.0;1314.0;2875.0;-0.7
44;A-U Alle economische activiteiten;2013;324595.0;254034.0;70561.0;323402.0;0.5;0.3;0.9;55.9;43.7;55.7;33.1;25.9;33.0;2.2;2.0;2.6;1.8;1.6;2.2;5807.0;9804.0;11675.0;11521.0;154.0;-1.6;-1.2;7769.0;4078.0;3692.0;3637.0;2790.0;847.0;4133.0;1287.0;2845.0;-1.8
45;A-U Alle economische activiteiten;2014;327963.0;253880.0;74083.0;327382.0;1.0;-0.1;1.2;56.8;44.0;56.7;33.4;25.9;33.3;1.6;0.5;1.8;0.9;-0.2;1.1;5774.0;9819.0;11615.0;11464.0;151.0;-0.6;0.2;7730.0;4056.0;3674.0;3589.0;2749.0;840.0;4141.0;1307.0;2835.0;-0.5
46;A-U Alle economische activiteiten;2015;330060.0;259619.0;70441.0;328857.0;0.6;2.3;0.5;56.6;44.6;56.4;33.4;26.3;33.3;-0.3;1.3;-0.5;0.1;1.7;-0.1;5827.0;9869.0;11737.0;11581.0;156.0;0.9;0.5;7809.0;4105.0;3704.0;3586.0;2751.0;835.0;4223.0;1354.0;2869.0;1.0
47;A-U Alle economische activiteiten;2016;339804.0;267717.0;72087.0;338128.0;3.0;3.1;2.8;57.3;45.1;57.0;33.7;26.5;33.5;1.2;1.3;1.0;0.7;0.8;0.5;5930.0;10093.0;11970.0;11817.0;153.0;1.8;2.3;7920.0;4164.0;3756.0;3618.0;2772.0;846.0;4302.0;1392.0;2910.0;1.4
48;A Landbouw, bosbouw en visserij;1969;371.0;283.0;88.0;;;;;5.8;4.4;;3.1;2.4;;;;;;;;64.0;121.0;;;;;;75.0;67.0;8.0;;;;;;;
49;A Landbouw, bosbouw en visserij;1970;389.0;298.0;91.0;;4.7;5.2;;6.3;4.8;;3.4;2.6;;8.9;9.5;;11.1;11.6;;61.0;114.0;;;;-3.9;-5.8;72.0;64.0;8.0;;;;;;;-3.8
50;A Landbouw, bosbouw en visserij;1971;409.0;310.0;99.0;;5.1;3.9;;7.0;5.3;;3.9;3.0;;11.2;9.9;;13.8;12.6;;58.0;105.0;;;;-5.5;-7.7;68.0;60.0;8.0;;;;;;;-5.3
51;A Landbouw, bosbouw en visserij;1972;446.0;337.0;109.0;;9.3;8.8;;7.8;5.9;;4.4;3.3;;10.9;10.4;;13.1;12.6;;57.0;101.0;;;;-1.4;-3.3;67.0;59.0;8.0;;;;;;;-1.4
52;A Landbouw, bosbouw en visserij;1973;513.0;384.0;129.0;;14.9;13.9;;8.9;6.7;;5.1;3.8;;14.7;13.8;;15.9;15.0;;57.0;101.0;;;;0.1;-0.9;68.0;58.0;9.0;;;;;;;0.4
53;A Landbouw, bosbouw en visserij;1974;555.0;417.0;138.0;;8.3;8.7;;9.8;7.4;;5.8;4.4;;9.8;10.2;;13.8;14.2;;57.0;96.0;;;;-1.4;-4.9;67.0;57.0;10.0;;;;;;;-1.2
54;A Landbouw, bosbouw en visserij;1975;633.0;468.0;165.0;;14.0;12.2;;11.4;8.4;;6.9;5.1;;15.7;13.9;;19.0;17.1;;56.0;92.0;;;;-1.5;-4.2;66.0;56.0;10.0;;;;;;;-1.2
55;A Landbouw, bosbouw en visserij;1976;688.0;505.0;183.0;;8.7;7.9;;12.3;9.1;;7.4;5.4;;8.5;7.8;;7.1;6.4;;56.0;93.0;;;;0.1;1.5;66.0;56.0;11.0;;;;;;;0.5
56;A Landbouw, bosbouw en visserij;1977;734.0;549.0;185.0;;6.7;8.7;;13.2;9.8;;7.9;5.9;;6.7;8.6;;6.7;8.7;;56.0;93.0;;;;0.1;0.0;67.0;55.0;12.0;;;;;;;0.5
57;A Landbouw, bosbouw en visserij;1978;794.0;605.0;189.0;;8.1;10.2;;14.0;10.7;;8.5;6.5;;6.5;8.5;;8.2;10.2;;57.0;93.0;;;;1.5;0.0;68.0;56.0;12.0;;;;;;;2.0
58;A Landbouw, bosbouw en visserij;1979;828.0;632.0;196.0;;4.1;4.4;;14.6;11.1;;9.0;6.9;;4.0;4.3;;5.2;5.4;;57.0;92.0;;;;0.1;-1.0;68.0;56.0;12.0;;;;;;;0.4
59;A Landbouw, bosbouw en visserij;1980;866.0;658.0;208.0;;4.7;4.2;;15.2;11.6;;9.7;7.3;;4.5;4.0;;7.3;6.8;;57.0;90.0;;;;0.2;-2.5;69.0;55.0;14.0;;;;;;;0.7
60;A Landbouw, bosbouw en visserij;1981;929.0;699.0;230.0;;7.3;6.2;;16.6;12.5;;9.9;7.4;;8.9;7.8;;2.4;1.4;;56.0;94.0;;;;-1.5;4.8;68.0;54.0;14.0;;;;;;;-1.2
61;A Landbouw, bosbouw en visserij;1982;969.0;733.0;236.0;;4.3;4.9;;17.3;13.1;;10.4;7.9;;4.3;4.9;;5.2;5.8;;56.0;93.0;;;;0.0;-0.9;68.0;54.0;15.0;;;;;;;0.5
62;A Landbouw, bosbouw en visserij;1983;990.0;753.0;237.0;;2.2;2.8;;17.4;13.2;;10.5;7.9;;0.6;1.1;;0.5;1.0;;57.0;95.0;;;;1.6;1.7;70.0;54.0;15.0;;;;;;;2.2
63;A Landbouw, bosbouw en visserij;1984;999.0;771.0;228.0;;0.9;2.3;;17.2;13.3;;10.5;8.1;;-0.9;0.5;;0.0;1.5;;58.0;96.0;;;;1.8;0.8;71.0;53.0;18.0;;;;;;;2.3
64;A Landbouw, bosbouw en visserij;1985;1055.0;829.0;226.0;;5.6;7.5;;18.0;14.1;;10.9;8.6;;4.1;6.0;;4.7;6.6;;59.0;96.0;;;;1.5;0.9;72.0;55.0;18.0;;;;;;;1.4
65;A Landbouw, bosbouw en visserij;1986;1106.0;879.0;227.0;;4.8;6.0;;18.5;14.7;;11.4;9.0;;3.3;4.5;;3.7;4.9;;60.0;97.0;;;;1.5;1.1;74.0;55.0;18.0;;;;;;;1.8
66;A Landbouw, bosbouw en visserij;1987;1246.0;1026.0;220.0;;12.7;16.8;;20.6;17.0;;12.7;10.5;;11.1;15.2;;12.1;16.2;;60.0;98.0;;;;1.4;0.5;75.0;56.0;19.0;;;;;;;1.7
67;A Landbouw, bosbouw en visserij;1988;1316.0;1079.0;237.0;;5.6;5.2;;20.8;17.1;;12.6;10.3;;1.0;0.6;;-1.4;-1.7;;63.0;105.0;;;;4.6;7.0;80.0;60.0;20.0;;;;;;;6.6
68;A Landbouw, bosbouw en visserij;1989;1330.0;1097.0;233.0;;1.1;1.6;;20.5;16.9;;12.3;10.1;;-1.4;-0.9;;-2.2;-1.7;;65.0;108.0;;;;2.5;3.4;83.0;64.0;19.0;;;;;;;3.9
69;A Landbouw, bosbouw en visserij;1990;1479.0;1292.0;187.0;;11.2;17.8;;21.8;19.1;;13.1;11.4;;6.4;12.7;;6.4;12.7;;68.0;113.0;;;;4.5;4.5;86.0;64.0;22.0;;;;;;;3.2
70;A Landbouw, bosbouw en visserij;1991;1556.0;1363.0;193.0;;5.2;5.5;;22.5;19.7;;13.6;11.9;;3.0;3.3;;4.0;4.3;;69.0;115.0;;;;2.1;1.2;90.0;67.0;23.0;;;;;;;5.0
71;A Landbouw, bosbouw en visserij;1992;1628.0;1409.0;219.0;;4.6;3.4;;22.6;19.6;;13.7;11.8;;0.5;-0.7;;0.8;-0.4;;72.0;119.0;;;;4.1;3.7;94.0;70.0;24.0;;;;;;;4.7
72;A Landbouw, bosbouw en visserij;1993;1670.0;1440.0;230.0;;2.6;2.2;;23.0;19.8;;13.5;11.6;;1.6;1.2;;-1.6;-2.0;;73.0;124.0;;;;1.0;4.3;101.0;70.0;31.0;;;;;;;7.1
73;A Landbouw, bosbouw en visserij;1994;1664.0;1431.0;233.0;;-0.3;-0.6;;23.8;20.5;;13.9;11.9;;3.8;3.5;;3.1;2.8;;70.0;120.0;;;;-3.9;-3.3;100.0;68.0;32.0;;;;;;;-1.0
74;A Landbouw, bosbouw en visserij;1995;1676.0;1439.0;237.0;1668.0;0.6;0.5;;24.1;20.7;23.9;14.2;12.2;14.1;1.0;0.9;;2.3;2.3;;70.0;118.0;;;;-0.4;-1.7;102.0;72.0;30.0;;;;;;;2.3
75;A Landbouw, bosbouw en visserij;1996;1734.0;1489.0;245.0;1713.0;3.5;3.5;2.7;24.9;21.4;24.6;14.6;12.5;14.4;3.4;3.4;2.7;2.6;2.6;1.9;70.0;119.0;;;;0.0;0.8;103.0;72.0;31.0;;;;;;;1.2
76;A Landbouw, bosbouw en visserij;1997;1786.0;1548.0;238.0;1742.0;3.1;4.0;1.8;25.1;21.7;24.5;14.8;12.8;14.5;0.7;1.6;-0.6;1.7;2.6;0.4;71.0;120.0;;;;2.4;1.4;108.0;74.0;34.0;;;;;;;4.5
77;A Landbouw, bosbouw en visserij;1998;1859.0;1534.0;325.0;1805.0;4.0;-0.9;3.5;25.4;21.0;24.6;14.9;12.3;14.5;1.2;-3.5;0.8;0.5;-4.2;0.1;73.0;125.0;;;;2.7;3.5;110.0;73.0;37.0;;;;;;;1.8
78;A Landbouw, bosbouw en visserij;1999;1991.0;1620.0;371.0;1937.0;7.1;5.6;7.3;26.1;21.2;25.3;15.3;12.5;14.9;2.6;1.2;2.8;2.7;1.3;2.9;76.0;130.0;;;;4.3;4.2;116.0;75.0;41.0;;;;;;;5.6
79;A Landbouw, bosbouw en visserij;2000;2102.0;1680.0;422.0;2047.0;5.7;3.7;5.8;27.4;21.9;26.7;16.2;12.9;15.8;5.2;3.3;5.3;5.9;3.9;6.0;77.0;130.0;;;;0.4;-0.2;115.0;76.0;39.0;;;;;;;-0.6
80;A Landbouw, bosbouw en visserij;2001;2209.0;1797.0;412.0;2150.0;5.1;7.0;5.0;28.3;23.0;27.6;16.4;13.4;16.0;3.3;5.2;3.3;1.4;3.2;1.3;78.0;134.0;;;;1.7;3.6;121.0;79.0;42.0;;;;;;;4.8
81;A Landbouw, bosbouw en visserij;2002;2350.0;1910.0;440.0;2287.0;6.4;6.3;6.4;30.0;24.4;29.2;17.4;14.1;16.9;5.9;5.8;5.9;5.9;5.7;5.9;78.0;135.0;;;;0.5;0.5;120.0;80.0;41.0;;;;;;;-0.3
82;A Landbouw, bosbouw en visserij;2003;2374.0;1900.0;474.0;2313.0;0.9;-0.5;1.1;31.4;25.1;30.5;18.1;14.5;17.6;4.5;3.0;4.6;3.9;2.4;4.0;76.0;131.0;;;;-3.4;-2.9;116.0;77.0;39.0;;;;;;;-3.4
83;A Landbouw, bosbouw en visserij;2004;2326.0;1877.0;449.0;2269.0;-2.0;-1.2;-1.9;31.5;25.4;30.7;18.0;14.5;17.5;0.3;1.1;0.5;-0.7;0.1;-0.5;74.0;130.0;;;;-2.3;-1.3;116.0;78.0;39.0;;;;;;;0.1
84;A Landbouw, bosbouw en visserij;2005;2313.0;1875.0;438.0;2263.0;-0.6;-0.1;-0.3;31.4;25.5;30.7;18.0;14.6;17.7;-0.2;0.3;0.1;0.5;0.9;0.7;74.0;128.0;;;;-0.4;-1.0;113.0;75.0;38.0;;;;;;;-3.2
85;A Landbouw, bosbouw en visserij;2006;2351.0;1924.0;427.0;2303.0;1.6;2.6;1.7;31.7;25.9;31.0;18.3;15.0;17.9;0.8;1.8;0.9;1.3;2.3;1.4;74.0;129.0;;;;0.8;0.3;113.0;75.0;38.0;;;;;;;0.3
86;A Landbouw, bosbouw en visserij;2007;2480.0;2022.0;458.0;2432.0;5.5;5.1;5.6;32.9;26.9;32.3;19.0;15.5;18.6;4.0;3.6;4.1;3.9;3.5;4.0;75.0;131.0;;;;1.5;1.6;114.0;77.0;38.0;;;;;;;1.3
87;A Landbouw, bosbouw en visserij;2008;2543.0;2075.0;468.0;2494.0;2.6;2.6;2.6;34.4;28.1;33.7;19.8;16.1;19.4;4.5;4.6;4.5;4.1;4.2;4.1;74.0;129.0;;;;-1.9;-1.5;111.0;74.0;37.0;;;;;;;-3.1
88;A Landbouw, bosbouw en visserij;2009;2563.0;2087.0;476.0;2507.0;0.8;0.6;0.6;35.0;28.5;34.2;19.7;16.1;19.3;1.6;1.4;1.3;-0.1;-0.4;-0.4;73.0;130.0;;;;-0.8;1.0;108.0;72.0;36.0;;;;;;;-2.6
89;A Landbouw, bosbouw en visserij;2010;2603.0;2114.0;489.0;2545.0;1.5;1.2;1.5;36.2;29.4;35.4;20.5;16.7;20.1;3.5;3.2;3.5;3.9;3.6;3.9;72.0;127.0;148.0;145.0;3.0;-1.9;-2.3;106.0;72.0;35.0;51.0;42.0;8.0;56.0;29.0;27.0;-1.6
90;A Landbouw, bosbouw en visserij;2011;2677.0;2149.0;528.0;2625.0;2.7;1.6;3.0;37.4;30.1;36.7;21.0;16.9;20.6;3.4;2.3;3.7;2.5;1.3;2.8;71.0;127.0;148.0;145.0;3.0;-0.7;0.3;106.0;71.0;35.0;49.0;41.0;8.0;57.0;30.0;26.0;-0.5
91;A Landbouw, bosbouw en visserij;2012;2739.0;2178.0;561.0;2696.0;2.4;1.4;2.8;38.7;30.7;38.1;21.7;17.3;21.4;3.3;2.3;3.7;3.4;2.4;3.8;71.0;126.0;147.0;144.0;3.0;-0.9;-1.0;105.0;71.0;34.0;49.0;40.0;8.0;57.0;30.0;26.0;-0.6
92;A Landbouw, bosbouw en visserij;2013;2792.0;2225.0;567.0;2754.0;2.0;2.2;2.3;39.1;31.1;38.6;21.9;17.4;21.6;1.1;1.2;1.3;0.6;0.7;0.8;72.0;128.0;150.0;146.0;4.0;1.0;1.5;104.0;70.0;34.0;50.0;42.0;8.0;54.0;29.0;25.0;-1.1
93;A Landbouw, bosbouw en visserij;2014;2799.0;2216.0;583.0;2771.0;0.2;-0.4;0.5;39.6;31.4;39.2;22.0;17.4;21.8;1.4;0.8;1.7;0.7;0.1;1.1;71.0;127.0;149.0;145.0;4.0;-1.2;-0.5;103.0;69.0;33.0;49.0;41.0;8.0;54.0;29.0;25.0;-0.9
