ID;RegioIndeling2015;Perioden;Levendgeborenen_1;Overledenen_2;Immigratie_3;EmigratieInclusiefCorrecties_4;VestigersUitAndereGemeente_5;VertrekkersNaarAndereGemeente_6;Woningbouwveronderstellingen_7;BevolkingAanHetEindVanDePeriode_8
52;Zeeland (PV);2025 tot 2030;20.0;20.7;15.8;14.7;66.5;69.3;1.3;377.8
53;Zeeland (PV);2030 tot 2035;19.7;21.5;15.4;14.3;66.6;68.8;;374.8
54;Zeeland (PV);2035 tot 2040;18.7;22.3;15.1;13.9;66.5;68.5;;370.3
55;Noord-Brabant (PV);2015 tot 2020;122.0;110.5;138.0;91.7;500.8;489.1;50.0;2558.2
56;Noord-Brabant (PV);2020 tot 2025;132.6;117.4;119.5;98.3;520.0;515.6;42.6;2599.1
57;Noord-Brabant (PV);2025 tot 2030;137.9;126.1;116.2;100.1;523.4;522.1;28.7;2628.1
58;Noord-Brabant (PV);2030 tot 2035;137.5;134.1;115.2;99.2;522.7;521.1;;2649.1
59;Noord-Brabant (PV);2035 tot 2040;132.1;142.1;114.1;97.7;523.8;521.3;;2657.9
60;Limburg (PV);2015 tot 2020;46.5;59.6;76.4;53.7;208.9;216.0;7.5;1120.4
61;Limburg (PV);2020 tot 2025;50.6;62.1;66.4;56.1;213.4;218.6;4.0;1114.0
62;Limburg (PV);2025 tot 2030;52.3;65.6;65.5;56.9;215.7;217.4;1.2;1107.6
63;Limburg (PV);2030 tot 2035;51.5;68.7;65.1;56.3;214.1;214.8;;1098.4
64;Limburg (PV);2035 tot 2040;49.3;71.8;64.8;55.5;214.1;214.1;;1085.2
65;Oost-Groningen (CR);2015 tot 2020;6.6;8.8;18.0;3.8;30.9;41.3;0.2;150.4
66;Oost-Groningen (CR);2020 tot 2025;6.6;8.7;4.3;3.6;31.9;35.4;-0.2;145.5
67;Oost-Groningen (CR);2025 tot 2030;6.5;9.0;3.8;3.4;32.4;33.9;-0.4;141.8
68;Oost-Groningen (CR);2030 tot 2035;6.4;9.5;3.5;3.2;34.3;32.9;;140.4
69;Oost-Groningen (CR);2035 tot 2040;6.2;9.8;3.4;3.1;31.4;32.5;;136.0
70;Delfzijl en omgeving (CR);2015 tot 2020;2.0;2.9;2.9;1.2;9.4;11.8;-0.3;45.9
71;Delfzijl en omgeving (CR);2020 tot 2025;2.0;2.6;1.9;1.3;9.0;10.8;-0.6;44.1
72;Delfzijl en omgeving (CR);2025 tot 2030;2.0;2.6;1.7;1.3;8.8;10.0;-0.6;42.6
73;Delfzijl en omgeving (CR);2030 tot 2035;1.9;2.6;1.6;1.2;8.3;9.7;;40.9
74;Delfzijl en omgeving (CR);2035 tot 2040;1.8;2.6;1.5;1.2;8.0;9.3;;39.1
75;Overig Groningen (CR);2015 tot 2020;19.4;16.4;34.6;27.4;114.5;113.2;4.3;399.0
76;Overig Groningen (CR);2020 tot 2025;22.4;16.2;34.1;33.0;117.8;119.0;3.6;405.0
77;Overig Groningen (CR);2025 tot 2030;23.8;16.8;34.5;34.5;113.6;121.6;3.2;404.0
78;Overig Groningen (CR);2030 tot 2035;23.3;17.5;33.6;33.5;108.8;120.1;;398.7
79;Overig Groningen (CR);2035 tot 2040;22.1;18.5;32.7;32.1;114.9;117.5;;400.5
80;Noord-Friesland (CR);2015 tot 2020;16.6;15.1;12.6;8.9;72.3;74.0;3.7;327.5
81;Noord-Friesland (CR);2020 tot 2025;17.5;15.6;11.2;9.7;74.6;77.6;2.5;328.1
82;Noord-Friesland (CR);2025 tot 2030;18.2;16.5;10.9;9.8;74.4;77.3;1.7;328.0
83;Noord-Friesland (CR);2030 tot 2035;18.2;17.5;10.8;9.6;74.7;76.3;;328.3
84;Noord-Friesland (CR);2035 tot 2040;17.6;18.5;10.6;9.4;73.4;75.5;;326.6
85;Zuidwest-Friesland (CR);2015 tot 2020;6.4;6.8;2.4;2.0;19.8;20.6;1.4;134.7
86;Zuidwest-Friesland (CR);2020 tot 2025;6.6;7.2;2.4;2.3;21.5;21.1;1.1;134.6
87;Zuidwest-Friesland (CR);2025 tot 2030;7.0;7.8;2.4;2.4;21.7;21.0;0.7;134.6
88;Zuidwest-Friesland (CR);2030 tot 2035;7.1;8.3;2.3;2.4;21.7;20.6;;134.4
89;Zuidwest-Friesland (CR);2035 tot 2040;6.8;8.7;2.3;2.4;21.7;20.3;;133.9
90;Zuidoost-Friesland (CR);2015 tot 2020;8.6;9.3;4.9;2.8;40.0;40.0;2.4;188.1
91;Zuidoost-Friesland (CR);2020 tot 2025;9.1;9.6;3.9;3.2;42.3;42.1;1.4;188.6
92;Zuidoost-Friesland (CR);2025 tot 2030;9.3;10.0;3.7;3.4;43.2;41.8;1.1;189.8
93;Zuidoost-Friesland (CR);2030 tot 2035;9.4;10.5;3.7;3.3;42.9;41.5;;190.5
94;Zuidoost-Friesland (CR);2035 tot 2040;9.2;10.9;3.6;3.3;39.5;41.0;;187.7
95;Noord-Drenthe (CR);2015 tot 2020;8.0;9.8;5.4;2.9;42.2;41.7;2.3;190.6
96;Noord-Drenthe (CR);2020 tot 2025;9.0;10.2;3.6;3.4;43.4;42.7;2.2;190.5
97;Noord-Drenthe (CR);2025 tot 2030;9.7;10.8;3.6;3.6;45.0;42.6;1.6;191.7
98;Noord-Drenthe (CR);2030 tot 2035;10.1;11.4;3.7;3.7;46.5;42.7;;194.1
99;Noord-Drenthe (CR);2035 tot 2040;10.0;12.1;3.7;3.7;47.3;43.3;;195.9
100;Zuidoost-Drenthe (CR);2015 tot 2020;7.0;8.9;6.0;3.6;25.2;27.3;0.7;167.1
101;Zuidoost-Drenthe (CR);2020 tot 2025;7.0;9.0;4.8;3.8;25.2;28.1;0.7;163.2
102;Zuidoost-Drenthe (CR);2025 tot 2030;6.9;9.3;4.5;3.8;24.8;27.1;0.4;159.1
103;Zuidoost-Drenthe (CR);2030 tot 2035;6.7;9.6;4.2;3.6;24.1;26.2;;154.8
104;Zuidoost-Drenthe (CR);2035 tot 2040;6.3;9.9;4.0;3.5;23.3;25.2;;149.8
105;Zuidwest-Drenthe (CR);2015 tot 2020;6.1;6.8;4.6;1.6;22.9;23.8;1.5;131.9
106;Zuidwest-Drenthe (CR);2020 tot 2025;6.2;6.9;2.3;1.8;24.2;23.9;1.1;132.0
107;Zuidwest-Drenthe (CR);2025 tot 2030;6.5;7.3;2.2;1.8;24.4;23.7;0.8;132.3
108;Zuidwest-Drenthe (CR);2030 tot 2035;6.6;7.7;2.2;1.8;24.8;23.6;;132.8
109;Zuidwest-Drenthe (CR);2035 tot 2040;6.4;8.2;2.2;1.8;24.8;23.6;;132.6
110;Noord-Overijssel (CR);2015 tot 2020;21.5;14.5;9.3;6.6;65.9;66.5;7.0;370.8
111;Noord-Overijssel (CR);2020 tot 2025;22.2;15.0;7.5;7.0;67.8;68.8;6.4;377.4
112;Noord-Overijssel (CR);2025 tot 2030;22.7;16.0;7.5;7.1;68.9;70.4;4.7;383.1
113;Noord-Overijssel (CR);2030 tot 2035;23.0;16.9;7.5;7.1;68.1;70.5;;387.2
114;Noord-Overijssel (CR);2035 tot 2040;22.4;18.0;7.4;7.0;67.3;70.0;;389.4
115;Zuidwest-Overijssel (CR);2015 tot 2020;7.9;6.8;7.2;4.6;27.6;28.9;2.7;155.3
116;Zuidwest-Overijssel (CR);2020 tot 2025;8.2;7.1;6.2;4.8;28.3;29.9;1.7;156.1
117;Zuidwest-Overijssel (CR);2025 tot 2030;8.3;7.6;6.0;4.9;28.6;29.7;1.4;156.8
118;Zuidwest-Overijssel (CR);2030 tot 2035;8.2;8.1;5.9;4.8;28.7;29.4;;157.2
119;Zuidwest-Overijssel (CR);2035 tot 2040;7.8;8.8;5.8;4.7;28.1;28.9;;156.5
120;Twente (CR);2015 tot 2020;30.7;29.6;26.1;21.2;97.6;100.2;5.9;629.4
121;Twente (CR);2020 tot 2025;31.6;29.9;22.2;22.2;100.5;102.5;6.0;629.0
122;Twente (CR);2025 tot 2030;32.0;31.1;21.7;22.3;100.5;102.5;4.2;627.2
123;Twente (CR);2030 tot 2035;31.8;32.5;21.3;21.9;99.3;100.5;;624.7
124;Twente (CR);2035 tot 2040;30.3;34.0;20.8;21.3;98.1;98.6;;620.0
125;Veluwe (CR);2015 tot 2020;36.5;29.3;27.2;22.0;129.3;127.9;12.5;681.7
126;Veluwe (CR);2020 tot 2025;39.0;30.0;25.2;24.0;134.0;132.4;9.6;693.6
127;Veluwe (CR);2025 tot 2030;40.4;31.6;24.9;24.5;136.3;134.7;6.3;704.4
128;Veluwe (CR);2030 tot 2035;40.5;33.3;24.9;24.4;138.4;135.6;;714.9
129;Veluwe (CR);2035 tot 2040;39.5;35.2;24.8;24.1;138.5;136.8;;721.4
130;Achterhoek (CR);2015 tot 2020;16.1;20.3;9.6;5.6;71.4;74.6;3.6;395.3
131;Achterhoek (CR);2020 tot 2025;16.6;21.3;7.0;6.2;73.0;77.4;2.7;387.1
132;Achterhoek (CR);2025 tot 2030;16.6;22.6;6.7;6.3;73.1;76.3;1.4;378.3
133;Achterhoek (CR);2030 tot 2035;16.2;23.8;6.4;6.0;72.5;73.8;;369.8
134;Achterhoek (CR);2035 tot 2040;15.3;24.9;6.1;5.8;71.5;71.4;;360.6
135;Arnhem/Nijmegen (CR);2015 tot 2020;34.8;32.1;33.8;27.5;179.5;173.2;14.1;737.6
136;Arnhem/Nijmegen (CR);2020 tot 2025;36.9;33.4;30.3;30.2;188.4;179.3;11.9;750.3
137;Arnhem/Nijmegen (CR);2025 tot 2030;38.5;35.8;30.3;30.9;190.0;180.4;7.2;762.0
138;Arnhem/Nijmegen (CR);2030 tot 2035;39.4;38.3;30.2;30.8;191.3;181.1;;772.8
139;Arnhem/Nijmegen (CR);2035 tot 2040;38.5;41.1;30.1;30.4;196.7;184.8;;781.8
140;Zuidwest-Gelderland (CR);2015 tot 2020;11.9;9.3;6.1;4.4;41.8;44.0;3.2;239.5
141;Zuidwest-Gelderland (CR);2020 tot 2025;12.4;9.9;5.5;4.8;42.7;45.2;2.3;240.3
142;Zuidwest-Gelderland (CR);2025 tot 2030;12.7;10.7;5.3;5.0;42.6;45.4;1.6;239.8
143;Zuidwest-Gelderland (CR);2030 tot 2035;12.6;11.5;5.2;4.9;42.1;44.7;;238.5
144;Zuidwest-Gelderland (CR);2035 tot 2040;11.9;12.3;5.1;4.8;42.3;43.8;;236.9
145;Utrecht (CR);2015 tot 2020;73.2;47.8;65.9;47.9;311.6;304.0;28.9;1314.6
146;Utrecht (CR);2020 tot 2025;78.8;50.6;62.3;53.8;316.2;315.5;25.0;1352.2
147;Utrecht (CR);2025 tot 2030;82.1;54.7;62.3;55.6;327.5;326.2;22.8;1387.4
148;Utrecht (CR);2030 tot 2035;83.6;59.3;62.5;55.6;327.8;329.9;;1416.5
149;Utrecht (CR);2035 tot 2040;82.2;64.0;62.4;55.2;328.7;332.2;;1438.6
150;Kop van Noord-Holland (CR);2015 tot 2020;17.6;16.3;14.1;9.0;64.7;69.0;4.4;374.2
151;Kop van Noord-Holland (CR);2020 tot 2025;17.9;17.3;11.2;9.6;68.4;69.6;3.9;375.1
152;Kop van Noord-Holland (CR);2025 tot 2030;18.1;18.9;10.7;9.8;68.3;69.0;2.5;374.4
153;Kop van Noord-Holland (CR);2030 tot 2035;17.9;20.4;10.5;9.6;68.8;68.5;;373.1
154;Kop van Noord-Holland (CR);2035 tot 2040;17.3;21.7;10.3;9.4;68.9;68.1;;370.5
155;Alkmaar en omgeving (CR);2015 tot 2020;11.9;10.5;10.8;6.4;53.3;52.6;3.9;247.0
156;Alkmaar en omgeving (CR);2020 tot 2025;12.6;11.2;9.0;7.0;53.4;53.1;3.6;250.8
157;Alkmaar en omgeving (CR);2025 tot 2030;13.0;12.1;8.6;7.2;53.3;53.6;2.1;252.8
158;Alkmaar en omgeving (CR);2030 tot 2035;13.0;13.0;8.5;7.1;53.4;53.6;;254.0
159;Alkmaar en omgeving (CR);2035 tot 2040;12.6;13.8;8.4;7.0;54.6;53.5;;255.2
160;IJmond (CR);2015 tot 2020;9.3;9.5;6.8;5.4;40.8;39.2;1.9;196.9
161;IJmond (CR);2020 tot 2025;10.0;9.5;6.2;6.0;39.3;38.9;1.9;197.8
162;IJmond (CR);2025 tot 2030;10.1;9.8;5.9;6.2;41.5;39.1;1.5;200.3
163;IJmond (CR);2030 tot 2035;10.1;10.2;6.0;6.2;42.2;39.2;;203.0
164;IJmond (CR);2035 tot 2040;9.8;10.7;5.9;6.1;40.6;39.2;;203.3
165;Agglomeratie Haarlem (CR);2015 tot 2020;12.4;11.4;12.3;9.5;66.3;59.3;5.4;238.4
166;Agglomeratie Haarlem (CR);2020 tot 2025;13.9;11.1;11.9;10.6;67.9;61.7;3.2;248.7
167;Agglomeratie Haarlem (CR);2025 tot 2030;14.4;11.4;11.8;11.0;64.9;61.8;2.1;255.6
168;Agglomeratie Haarlem (CR);2030 tot 2035;14.2;11.9;11.9;11.0;65.4;62.3;;262.0
169;Agglomeratie Haarlem (CR);2035 tot 2040;14.2;12.5;12.0;11.1;65.7;63.4;;266.9
170;Zaanstreek (CR);2015 tot 2020;9.0;7.1;7.4;6.2;29.6;26.0;3.0;173.8
171;Zaanstreek (CR);2020 tot 2025;9.5;7.3;6.7;6.2;27.4;26.0;3.2;177.8
172;Zaanstreek (CR);2025 tot 2030;9.4;7.8;6.5;6.1;30.5;26.6;2.8;183.7
173;Zaanstreek (CR);2030 tot 2035;9.5;8.4;6.6;6.2;30.2;27.1;;188.3
174;Zaanstreek (CR);2035 tot 2040;9.4;8.8;6.6;6.2;30.0;27.6;;191.6
175;Groot-Amsterdam (CR);2015 tot 2020;82.7;48.0;185.1;135.8;312.7;313.8;36.1;1396.8
176;Groot-Amsterdam (CR);2020 tot 2025;91.0;50.4;167.9;144.7;322.0;324.2;37.4;1458.3
177;Groot-Amsterdam (CR);2025 tot 2030;94.1;54.6;164.8;147.9;341.0;337.5;30.2;1518.2
178;Groot-Amsterdam (CR);2030 tot 2035;94.9;59.5;167.4;149.4;344.8;347.2;;1569.1
179;Groot-Amsterdam (CR);2035 tot 2040;94.7;65.0;170.4;150.8;351.2;354.3;;1615.2
180;Het Gooi en Vechtstreek (CR);2015 tot 2020;11.0;12.7;12.4;9.9;66.3;61.8;3.0;251.8
181;Het Gooi en Vechtstreek (CR);2020 tot 2025;12.9;12.4;11.5;10.7;67.2;64.6;3.4;255.8
182;Het Gooi en Vechtstreek (CR);2025 tot 2030;13.7;12.7;11.4;11.0;66.1;65.7;2.7;257.6
183;Het Gooi en Vechtstreek (CR);2030 tot 2035;13.7;13.3;11.5;11.0;66.3;65.2;;259.6
184;Het Gooi en Vechtstreek (CR);2035 tot 2040;13.5;13.9;11.5;10.9;66.4;64.9;;261.2
185;Agglomeratie Leiden en Bollenstreek (CR);2015 tot 2020;21.2;17.3;31.1;22.2;102.1;93.8;12.3;436.2
186;Agglomeratie Leiden en Bollenstreek (CR);2020 tot 2025;24.3;18.2;27.7;24.9;101.6;97.9;7.1;448.8
187;Agglomeratie Leiden en Bollenstreek (CR);2025 tot 2030;25.6;19.5;27.5;25.5;101.3;100.6;4.9;457.7
188;Agglomeratie Leiden en Bollenstreek (CR);2030 tot 2035;25.4;20.8;27.5;25.4;101.4;101.0;;464.7
189;Agglomeratie Leiden en Bollenstreek (CR);2035 tot 2040;24.8;22.1;27.6;25.3;100.4;101.5;;468.7
190;Agglomeratie 's-Gravenhage (CR);2015 tot 2020;51.3;34.6;98.2;73.9;178.2;178.2;15.8;879.1
191;Agglomeratie 's-Gravenhage (CR);2020 tot 2025;54.6;36.1;87.3;78.1;192.1;187.4;14.5;911.4
192;Agglomeratie 's-Gravenhage (CR);2025 tot 2030;55.5;38.7;84.1;78.6;194.7;194.1;11.8;934.3
193;Agglomeratie 's-Gravenhage (CR);2030 tot 2035;55.7;41.5;84.7;78.8;198.5;198.3;;954.8
194;Agglomeratie 's-Gravenhage (CR);2035 tot 2040;55.8;44.4;86.7;79.9;202.7;199.6;;976.1
195;Delft en Westland (CR);2015 tot 2020;11.3;8.9;36.9;30.7;49.9;48.6;6.8;234.0
196;Delft en Westland (CR);2020 tot 2025;12.7;9.5;32.7;29.5;53.1;51.2;5.5;242.2
197;Delft en Westland (CR);2025 tot 2030;13.6;10.4;32.9;29.5;58.1;54.7;3.2;252.3
198;Delft en Westland (CR);2030 tot 2035;14.1;11.2;34.9;31.0;58.4;57.7;;259.8
199;Delft en Westland (CR);2035 tot 2040;13.9;11.9;35.7;31.4;55.8;58.8;;263.1
200;Oost-Zuid-Holland (CR);2015 tot 2020;16.8;12.9;10.0;6.9;55.2;55.2;7.2;325.7
201;Oost-Zuid-Holland (CR);2020 tot 2025;17.9;14.2;9.2;7.9;56.9;56.6;5.6;331.0
202;Oost-Zuid-Holland (CR);2025 tot 2030;18.0;15.5;9.0;8.2;55.0;57.5;3.7;331.9
203;Oost-Zuid-Holland (CR);2030 tot 2035;17.3;16.5;8.9;8.0;55.0;57.4;;331.2
204;Oost-Zuid-Holland (CR);2035 tot 2040;16.5;17.5;8.8;7.8;54.4;56.9;;328.7
205;Groot-Rijnmond (CR);2015 tot 2020;80.9;61.3;96.1;80.0;270.8;271.3;13.3;1439.1
206;Groot-Rijnmond (CR);2020 tot 2025;84.2;62.9;86.8;84.7;278.5;275.7;16.1;1465.2
207;Groot-Rijnmond (CR);2025 tot 2030;84.5;66.6;84.4;85.4;278.2;275.5;14.1;1484.9
208;Groot-Rijnmond (CR);2030 tot 2035;83.6;70.4;84.6;84.8;281.8;279.3;;1500.3
209;Groot-Rijnmond (CR);2035 tot 2040;82.0;74.5;85.1;84.7;283.8;281.5;;1510.6
210;Zuidoost-Zuid-Holland (CR);2015 tot 2020;22.5;17.5;11.8;9.6;67.5;69.4;5.1;405.6
211;Zuidoost-Zuid-Holland (CR);2020 tot 2025;23.0;18.0;10.9;10.8;67.8;69.3;4.0;409.1
212;Zuidoost-Zuid-Holland (CR);2025 tot 2030;22.8;19.1;10.6;11.0;68.0;68.9;2.3;411.6
213;Zuidoost-Zuid-Holland (CR);2030 tot 2035;22.4;20.1;10.5;10.9;68.3;69.0;;412.7
214;Zuidoost-Zuid-Holland (CR);2035 tot 2040;21.7;21.1;10.4;10.7;67.8;68.8;;412.0
215;Zeeuwsch-Vlaanderen (CR);2015 tot 2020;4.6;6.1;7.2;5.3;12.3;13.0;1.2;105.5
216;Zeeuwsch-Vlaanderen (CR);2020 tot 2025;5.0;6.0;6.3;6.0;12.8;13.8;0.4;103.8
217;Zeeuwsch-Vlaanderen (CR);2025 tot 2030;5.2;6.1;5.8;6.1;12.8;13.5;0.0;101.9
218;Zeeuwsch-Vlaanderen (CR);2030 tot 2035;5.1;6.2;5.7;6.0;12.7;13.3;;100.0
219;Zeeuwsch-Vlaanderen (CR);2035 tot 2040;4.9;6.2;5.6;5.8;12.7;13.2;;98.0
220;Overig Zeeland (CR);2015 tot 2020;13.6;13.9;11.8;7.9;52.0;54.5;3.1;276.3
221;Overig Zeeland (CR);2020 tot 2025;14.5;13.9;10.4;8.5;53.6;55.9;2.5;276.4
222;Overig Zeeland (CR);2025 tot 2030;14.8;14.6;9.9;8.6;53.7;55.8;1.3;275.8
223;Overig Zeeland (CR);2030 tot 2035;14.5;15.4;9.7;8.4;53.9;55.5;;274.8
224;Overig Zeeland (CR);2035 tot 2040;13.8;16.1;9.5;8.2;53.9;55.3;;272.4
225;West-Noord-Brabant (CR);2015 tot 2020;30.0;29.0;31.5;23.5;123.7;120.7;10.4;635.9
226;West-Noord-Brabant (CR);2020 tot 2025;32.0;30.0;27.1;24.1;131.8;128.4;9.8;644.2
227;West-Noord-Brabant (CR);2025 tot 2030;33.0;32.0;26.6;24.3;133.7;130.1;6.7;651.1
228;West-Noord-Brabant (CR);2030 tot 2035;33.0;34.2;26.5;24.1;133.5;130.4;;655.4
229;West-Noord-Brabant (CR);2035 tot 2040;31.9;36.3;26.3;23.8;134.1;130.7;;656.9
230;Midden-Noord-Brabant (CR);2015 tot 2020;23.2;19.9;30.4;18.3;93.1;93.3;9.8;482.0
231;Midden-Noord-Brabant (CR);2020 tot 2025;25.8;21.0;26.1;20.2;98.7;99.4;8.2;491.9
232;Midden-Noord-Brabant (CR);2025 tot 2030;27.2;22.7;25.0;20.8;98.2;100.7;5.6;498.1
233;Midden-Noord-Brabant (CR);2030 tot 2035;27.3;24.1;24.9;20.7;98.8;100.3;;504.1
234;Midden-Noord-Brabant (CR);2035 tot 2040;26.3;25.4;24.8;20.5;100.1;100.3;;509.1
235;Noordoost-Noord-Brabant (CR);2015 tot 2020;31.6;28.1;25.2;15.5;129.0;123.7;14.6;664.1
236;Noordoost-Noord-Brabant (CR);2020 tot 2025;34.5;30.2;20.6;17.3;130.5;129.5;12.2;672.9
237;Noordoost-Noord-Brabant (CR);2025 tot 2030;35.8;32.7;20.1;17.8;131.1;131.1;8.0;678.3
238;Noordoost-Noord-Brabant (CR);2030 tot 2035;35.4;35.0;19.8;17.6;130.2;130.5;;680.7
239;Noordoost-Noord-Brabant (CR);2035 tot 2040;33.8;37.4;19.4;17.2;128.2;129.6;;677.9
240;Zuidoost-Noord-Brabant (CR);2015 tot 2020;37.2;33.5;50.8;34.5;155.0;151.4;15.2;776.2
241;Zuidoost-Noord-Brabant (CR);2020 tot 2025;40.3;36.2;45.8;36.7;159.0;158.3;12.4;790.1
242;Zuidoost-Noord-Brabant (CR);2025 tot 2030;41.8;38.8;44.5;37.3;160.4;160.2;8.4;800.6
243;Zuidoost-Noord-Brabant (CR);2030 tot 2035;41.7;40.9;44.0;36.8;160.2;159.9;;809.0
244;Zuidoost-Noord-Brabant (CR);2035 tot 2040;40.1;43.1;43.6;36.2;161.4;160.8;;814.0
245;Noord-Limburg (CR);2015 tot 2020;12.7;13.0;13.4;9.0;38.3;42.7;3.2;280.2
246;Noord-Limburg (CR);2020 tot 2025;13.2;14.1;12.1;9.6;39.0;44.3;1.9;276.5
247;Noord-Limburg (CR);2025 tot 2030;13.2;15.2;11.5;9.5;39.7;44.0;0.8;272.1
248;Noord-Limburg (CR);2030 tot 2035;12.8;16.0;11.1;9.2;39.3;42.8;;267.2
