ID;GeslachtVanBetrokkenPartners;Perioden;Totaal_1;Huwelijkssluitingen_2;SluitingenVanGeregistreerdePartner_3;Totaal_4;ScheidingNaHuwelijk_5;ScheidingNaGeregistreerdPartnerschap_6;OverlijdenNaHuwelijk_7;OverlijdenNaGeregistreerdPartnerschap_8
49;Totaal;2013 november;3865;3067;798;7349;2548;126;4640;35
50;Totaal;2013 december;4862;3975;887;7687;2754;129;4761;43
51;Totaal;2013;73994;64549;9445;92535;33636;1568;56775;556
52;Totaal;2014 januari;3155;2437;718;8166;3105;132;4880;49
53;Totaal;2014 februari;3759;3027;732;7412;2767;138;4455;52
54;Totaal;2014 maart;3805;3013;792;8039;3066;145;4780;48
55;Totaal;2014 april;5919;5155;764;7658;2905;153;4557;43
56;Totaal;2014 mei;8910;8234;676;7483;2667;117;4657;42
57;Totaal;2014 juni;9465;8677;788;7384;2964;161;4207;52
58;Totaal;2014 juli;7757;6887;870;8149;3200;170;4724;55
59;Totaal;2014 augustus;8880;8025;855;7609;2856;165;4535;53
60;Totaal;2014 september;9389;8400;989;7679;3004;148;4480;47
61;Totaal;2014 oktober;5905;4861;1044;7973;3043;167;4712;51
62;Totaal;2014 november;4045;3067;978;7679;2756;174;4707;42
63;Totaal;2014 december;4707;3550;1157;8586;3076;153;5299;58
64;Totaal;2014;75696;65333;10363;93817;35409;1823;55993;592
65;Totaal;2015 januari;3215;2348;867;8698;2824;137;5669;68
66;Totaal;2015 februari;3442;2572;870;7972;2794;133;4997;48
67;Totaal;2015 maart;4301;3236;1065;8657;3147;195;5269;46
68;Totaal;2015 april;4987;4111;876;7823;2841;158;4765;59
69;Totaal;2015 mei;10172;9323;849;7376;2460;133;4739;44
70;Totaal;2015 juni;9841;8634;1207;7769;2998;170;4562;39
71;Totaal;2015 juli;7730;6605;1125;8266;3344;203;4670;49
72;Totaal;2015 augustus;8554;7456;1098;7636;2898;139;4546;53
73;Totaal;2015 september;9878;8770;1108;7519;2755;156;4556;52
74;Totaal;2015 oktober;6127;4998;1129;7786;2717;152;4870;47
75;Totaal;2015 november;4245;3012;1233;7633;2676;151;4757;49
76;Totaal;2015 december;4588;3243;1345;7961;2778;210;4920;53
77;Totaal;2015;77080;64308;12772;95096;34232;1937;58320;607
78;Totaal;2016 januari;3424;2366;1058;8609;2938;155;5464;52
79;Totaal;2016 februari;4083;2845;1238;8096;2798;146;5086;66
80;Totaal;2016 maart;4220;3063;1157;8491;2954;161;5319;57
81;Totaal;2016 april;6274;5070;1204;7792;2803;160;4781;48
82;Totaal;2016 mei;8301;6984;1317;7771;2751;152;4810;58
83;Totaal;2016 juni;11143;9824;1319;7646;2929;163;4492;62
84;Totaal;2016 juli;8892;7555;1337;7719;2811;183;4668;57
85;Totaal;2016 augustus;8701;7237;1464;7608;2793;165;4603;47
86;Totaal;2016 september;10542;9277;1265;7509;2722;151;4570;66
87;Totaal;2016 oktober;6250;4744;1506;7437;2369;151;4867;50
88;Totaal;2016 november;4522;3065;1457;7840;2745;173;4866;56
89;Totaal;2016 december;4603;3219;1384;8359;2801;197;5289;72
90;Totaal;2016;80955;65249;15706;94877;33414;1957;58815;691
91;Totaal;2017 januari;4173;2725;1448;9096;2982;159;5897;58
92;Totaal;2017 februari;4086;2718;1368;8203;2716;180;5243;64
93;Totaal;2017 maart;4724;3256;1468;8358;3040;199;5071;48
94;Totaal;2017 april;5577;4293;1284;7213;2332;159;4670;52
95;Totaal;2017 mei;8479;6890;1589;7745;2761;194;4741;49
96;Totaal;2017 juni;9433;8145;1288;7601;2823;202;4532;44
97;Totaal;2017 juli;10431;8904;1527;7779;2896;182;4646;55
98;Totaal;2017 augustus;8253;6673;1580;7767;2922;207;4581;57
99;Totaal;2017 september;11200;9809;1391;7275;2373;185;4656;61
100;Totaal;2017 oktober;6425;4687;1738;7680;2649;188;4781;62
101;Totaal;2017 november;4631;3076;1555;8005;2863;219;4863;60
102;Totaal;2017 december;4856;3226;1630;7938;2411;178;5281;68
103;Totaal;2017;82268;64402;17866;94660;32768;2252;58962;678
104;Totaal;2018 januari;4429;2757;1672;8767;2889;170;5624;84
105;Totaal;2018 februari;4239;2700;1539;8299;2609;176;5450;64
106;Totaal;2018 maart;4644;3098;1546;9232;2756;217;6184;75
107;Totaal;2018 april;6062;4454;1608;7698;2553;209;4870;66
108;Totaal;2018 mei;8518;6924;1594;7676;2690;205;4720;61
109;Totaal;2018 juni;10653;9014;1639;7166;2442;209;4460;55
110;Totaal;2018 juli;8427;6608;1819;7674;2652;226;4732;64
111;Totaal;2018 augustus;10754;9120;1634;7481;2495;199;4722;65
112;Totaal;2018 september;10237;8686;1551;7142;2339;161;4597;45
113;Totaal;2018 oktober;6856;4874;1982;7705;2445;224;4967;69
114;Totaal;2018 november;4715;3035;1680;7775;2629;209;4871;66
115;Totaal;2018 december;4611;3045;1566;7673;2230;227;5154;62
116;Totaal;2018;84145;64315;19830;94288;30729;2432;60351;776
117;Totaal;2019 januari;4486;2768;1718;8614;2849;227;5470;68
118;Totaal;2019 februari;4483;2793;1690;7709;2448;209;4995;57
119;Totaal;2019 maart;4860;3216;1644;8409;2610;222;5510;67
120;Totaal;2019 april;6332;4420;1912;7772;2545;224;4926;77
121;Totaal;2019 mei;9480;7612;1868;7782;2654;221;4844;63
122;Totaal;2019 juni;10002;8384;1618;7318;2321;256;4674;67
123;Totaal;2019 juli;8802;6752;2050;7981;2791;247;4876;67
124;Totaal;2019 augustus;9019;7213;1806;7415;2405;201;4746;63
125;Totaal;2019 september;10801;9008;1793;6964;2139;211;4573;41
126;Totaal;2019 oktober;6894;4864;2030;7926;2496;268;5094;68
127;Totaal;2019 november;5013;3171;1842;7833;2391;201;5172;69
128;Totaal;2019 december;5278;3364;1914;8073;2392;248;5358;75
129;Totaal;2019;85450;63565;21885;93796;30041;2735;60238;782
130;Totaal;2020 januari;4479;2756;1723;8531;2692;231;5530;78
131;Totaal;2020 februari;5590;3772;1818;7626;2383;210;4948;85
132;Totaal;2020 maart;4747;2786;1961;9285;2409;251;6540;85
133;Totaal;2020 april;3723;2298;1425;9772;2135;222;7318;97
134;Totaal;2020 mei;4552;2969;1583;7704;2352;248;5036;68
135;Totaal;2020 juni;6651;4533;2118;7624;2653;262;4628;81
136;Totaal;2020 juli;7809;5487;2322;7773;2783;295;4616;79
137;Totaal;2020 augustus;8957;6651;2306;7555;2385;223;4866;81
138;Totaal;2020 september;9661;7481;2180;7272;2263;219;4706;84
139;Totaal;2020 oktober;7280;5129;2151;8314;2145;220;5856;93
140;Totaal;2020 november;5273;3042;2231;8587;2305;204;6000;78
141;Totaal;2020 december;5647;3329;2318;9408;2460;252;6605;91
142;Totaal;2020;74369;50233;24136;99451;28965;2837;66649;1000
143;Totaal;2021 januari;4338;2351;1987;9445;2423;233;6688;101
144;Totaal;2021 februari;4779;2766;2013;8008;2247;219;5464;78
145;Totaal;2021 maart;5601;3171;2430;8532;2644;257;5546;85
146;Totaal;2021 april;5159;3223;1936;8043;2188;235;5533;87
147;Totaal;2021 mei;7177;4990;2187;7662;2076;206;5311;69
148;Totaal;2021 juni;8614;6189;2425;7363;2229;199;4847;88
149;Totaal;2021 juli;8923;6602;2321;7558;2278;252;4934;94
150;Totaal;2021 augustus;9567;7283;2284;7429;2021;228;5082;98
151;Totaal;2021 september;10373;8215;2158;7246;1966;194;5004;82
152;Totaal;2021 oktober;6930;4820;2110;7793;1860;182;5664;87
153;Totaal;2021 november;5704;3494;2210;8842;1931;225;6596;90
154;Totaal;2021 december;5403;3315;2088;9448;2099;256;6989;104
155;Totaal;2021;82568;56419;26149;97369;25962;2686;67658;1063
156;Totaal;2022 januari;4140;2303;1837;7901;2049;191;5572;89
157;Totaal;2022 februari;6287;4255;2032;7450;1934;261;5168;87
158;Totaal;2022 maart;5644;3542;2102;8485;2239;269;5880;97
159;Totaal;2022 april;6966;5081;1885;7673;1876;224;5502;71
160;Totaal;2022 mei;10563;8389;2174;7601;2003;287;5240;71
161;Totaal;2022 juni;11551;9556;1995;7289;1846;239;5107;97
162;Totaal;2022 juli;10534;8501;2033;7537;2013;242;5198;84
163;Totaal;2022 augustus;9916;7790;2126;7474;2006;265;5095;108
164;Totaal;2022 september;11210;9232;1978;7159;1787;240;5014;118
165;Totaal;2022 oktober;6858;4798;2060;7752;1744;273;5636;99
166;Totaal;2022 november;5830;3756;2074;7971;2140;323;5417;91
167;Totaal;2022 december;5237;3405;1832;8934;1966;302;6554;112
168;Totaal;2022;94736;70608;24128;93226;23603;3116;65383;1124
169;Totaal;2023 januari;4997;3070;1927;8812;2241;275;6182;114
170;Totaal;2023 februari;4865;3054;1811;7421;1855;253;5218;95
171;Totaal;2023 maart;6068;4103;1965;8662;2280;308;5939;135
172;Totaal;2023 april;5934;4215;1719;7267;1731;250;5198;88
173;Totaal;2023 mei;9751;7776;1975;7544;2023;323;5098;100
174;Totaal;2023 juni;12146;10207;1939;7544;2109;293;5062;80
175;Totaal;2023 juli;9426;7445;1981;7382;2151;292;4842;97
176;Totaal;2023 augustus;9061;7081;1980;7485;2095;341;4945;104
177;Totaal;2023 september;11088;9194;1894;7197;1843;256;5007;91
178;Totaal;2023 oktober;7250;5102;2148;7851;1951;307;5489;104
179;Totaal;2023 november;5335;3379;1956;8064;2093;314;5547;110
180;Totaal;2023 december;5068;3333;1735;8533;1938;332;6156;107
181;Totaal;2023;90989;67959;23030;93762;24310;3544;64683;1225
182;Totaal;2024 januari;4821;2873;1948;9133;2292;378;6364;99
183;Totaal;2024 februari;5003;3096;1907;8357;2093;352;5797;115
184;Totaal;2024 maart;5155;3266;1889;8364;2042;346;5862;114
185;Totaal;2024 april;7608;5480;2128;7956;1952;318;5572;114
186;Totaal;2024 mei;9893;8022;1871;7675;1903;348;5298;126
187;Totaal;2024 juni;11072;9240;1832;7521;2059;303;5061;98
188;Totaal;2024 juli;9428;7050;2378;7778;2228;356;5083;111
189;Totaal;2024 augustus;9751;7728;2023;7726;2094;342;5179;111
190;Totaal;2024 september;10583;8576;2007;7476;1867;294;5198;117
191;Totaal;2024 oktober;7493;5155;2338;8151;2120;328;5583;120
192;Totaal;2024 november;5699;3557;2142;7934;1999;359;5458;118
193;Totaal;2024 december;6180;3857;2323;8181;2038;317;5716;110
194;Totaal;2024;92686;67900;24786;96252;24687;4041;66171;1353
195;Totaal;2025 januari;5166;3125;2041;9100;2168;379;6424;129
196;Totaal;2025 februari;5422;3359;2063;8541;2156;323;5939;123
197;Man - man;2010 januari;42;26;16;32;13;4;7;8
198;Man - man;2010 februari;47;27;20;23;6;3;5;9
199;Man - man;2010 maart;62;43;19;28;13;2;8;5
200;Man - man;2010 april;69;48;21;27;9;5;6;7
201;Man - man;2010 mei;103;84;19;20;6;5;6;3
202;Man - man;2010 juni;109;91;18;25;8;4;9;4
203;Man - man;2010 juli;76;60;16;18;4;2;8;4
204;Man - man;2010 augustus;73;58;15;28;11;9;3;5
205;Man - man;2010 september;104;82;22;22;11;6;0;5
206;Man - man;2010 oktober;87;70;17;25;6;5;8;6
207;Man - man;2010 november;56;33;23;25;9;3;3;10
208;Man - man;2010 december;66;38;28;30;15;6;5;4
209;Man - man;2010;894;660;234;303;111;54;68;70
210;Man - man;2011 januari;35;22;13;20;5;6;7;2
211;Man - man;2011 februari;38;20;18;22;11;3;4;4
212;Man - man;2011 maart;39;19;20;19;9;5;3;2
213;Man - man;2011 april;68;44;24;23;9;5;4;5
214;Man - man;2011 mei;87;56;31;23;10;5;4;4
215;Man - man;2011 juni;79;65;14;28;13;3;9;3
216;Man - man;2011 juli;90;68;22;28;7;5;9;7
217;Man - man;2011 augustus;90;72;18;30;9;5;9;7
218;Man - man;2011 september;108;84;24;32;14;7;5;6
219;Man - man;2011 oktober;49;38;11;33;11;8;12;2
220;Man - man;2011 november;102;77;25;24;14;2;4;4
221;Man - man;2011 december;51;36;15;19;5;5;5;4
222;Man - man;2011;836;601;235;301;117;59;75;50
223;Man - man;2012 januari;29;15;14;27;7;3;8;9
224;Man - man;2012 februari;39;26;13;20;8;2;6;4
225;Man - man;2012 maart;54;38;16;29;9;5;9;6
226;Man - man;2012 april;62;44;18;21;5;6;5;5
227;Man - man;2012 mei;71;51;20;25;11;5;5;4
228;Man - man;2012 juni;103;86;17;35;16;6;10;3
229;Man - man;2012 juli;72;46;26;31;12;7;12;0
230;Man - man;2012 augustus;68;50;18;22;4;9;5;4
231;Man - man;2012 september;93;72;21;29;10;8;7;4
232;Man - man;2012 oktober;54;39;15;26;10;6;7;3
233;Man - man;2012 november;46;23;23;24;10;3;7;4
234;Man - man;2012 december;70;54;16;24;9;3;9;3
235;Man - man;2012;761;544;217;313;111;63;90;49
236;Man - man;2013 januari;27;16;11;29;14;3;7;5
237;Man - man;2013 februari;41;23;18;27;14;3;3;7
238;Man - man;2013 maart;40;27;13;20;5;4;8;3
239;Man - man;2013 april;60;42;18;25;8;4;7;6
240;Man - man;2013 mei;72;49;23;23;8;4;7;4
241;Man - man;2013 juni;86;69;17;25;11;4;4;6
242;Man - man;2013 juli;60;47;13;23;13;4;5;1
243;Man - man;2013 augustus;83;62;21;26;11;6;3;6
244;Man - man;2013 september;88;70;18;17;4;5;3;5
245;Man - man;2013 oktober;55;33;22;36;14;7;7;8
246;Man - man;2013 november;53;39;14;28;9;6;8;5
247;Man - man;2013 december;65;45;20;30;11;7;8;4
248;Man - man;2013;730;522;208;309;122;57;70;60
249;Man - man;2014 januari;41;24;17;31;12;8;6;5
250;Man - man;2014 februari;48;31;17;35;13;8;4;10
251;Man - man;2014 maart;39;27;12;25;12;4;7;2
252;Man - man;2014 april;56;41;15;18;7;5;1;5
253;Man - man;2014 mei;77;64;13;26;12;5;7;2
254;Man - man;2014 juni;90;67;23;15;4;3;4;4
255;Man - man;2014 juli;78;67;11;38;14;8;11;5
256;Man - man;2014 augustus;70;58;12;24;11;3;6;4
257;Man - man;2014 september;73;53;20;35;12;5;6;12
258;Man - man;2014 oktober;72;47;25;36;10;7;10;9
259;Man - man;2014 november;42;24;18;39;19;4;7;9
260;Man - man;2014 december;47;29;18;23;7;3;7;6
261;Man - man;2014;733;532;201;345;133;63;76;73
262;Man - man;2015 januari;42;21;21;38;14;7;8;9
263;Man - man;2015 februari;41;27;14;24;9;7;5;3
264;Man - man;2015 maart;40;27;13;29;12;6;10;1
265;Man - man;2015 april;57;46;11;25;3;8;2;12
266;Man - man;2015 mei;116;93;23;30;12;3;7;8
267;Man - man;2015 juni;90;73;17;25;13;8;4;0
268;Man - man;2015 juli;107;88;19;42;15;10;8;9
269;Man - man;2015 augustus;96;82;14;27;10;4;8;5
270;Man - man;2015 september;83;62;21;28;15;4;6;3
271;Man - man;2015 oktober;80;64;16;22;8;1;6;7
272;Man - man;2015 november;46;31;15;41;13;9;9;10
273;Man - man;2015 december;51;33;18;39;13;3;13;10
274;Man - man;2015;849;647;202;370;137;70;86;77
275;Man - man;2016 januari;42;33;9;30;9;6;6;9
276;Man - man;2016 februari;58;31;27;34;13;4;11;6
277;Man - man;2016 maart;54;35;19;39;16;8;11;4
278;Man - man;2016 april;55;41;14;28;13;4;7;4
279;Man - man;2016 mei;96;66;30;40;20;6;4;10
280;Man - man;2016 juni;127;99;28;41;15;8;10;8
281;Man - man;2016 juli;87;69;18;33;12;4;7;10
282;Man - man;2016 augustus;98;79;19;38;18;7;9;4
283;Man - man;2016 september;112;89;23;25;12;2;5;6
284;Man - man;2016 oktober;82;51;31;26;8;7;8;3
285;Man - man;2016 november;60;24;36;25;12;1;10;2
286;Man - man;2016 december;80;48;32;30;12;5;5;8
287;Man - man;2016;951;665;286;389;160;62;93;74
288;Man - man;2017 januari;38;25;13;32;13;3;9;7
289;Man - man;2017 februari;47;28;19;30;13;4;5;8
290;Man - man;2017 maart;58;35;23;26;11;3;7;5
291;Man - man;2017 april;69;37;32;36;18;4;7;7
292;Man - man;2017 mei;86;60;26;24;11;5;4;4
293;Man - man;2017 juni;104;77;27;24;8;5;8;3
294;Man - man;2017 juli;118;87;31;28;11;5;9;3
295;Man - man;2017 augustus;77;59;18;39;16;5;12;6
296;Man - man;2017 september;113;85;28;32;14;3;9;6
297;Man - man;2017 oktober;94;50;44;37;18;7;4;8
298;Man - man;2017 november;64;38;26;40;13;10;12;5
299;Man - man;2017 december;68;39;29;31;13;4;6;8
300;Man - man;2017;936;620;316;379;159;58;92;70
301;Man - man;2018 januari;55;35;20;20;6;4;7;3
302;Man - man;2018 februari;58;28;30;24;10;6;2;6
303;Man - man;2018 maart;52;30;22;41;13;9;7;12
304;Man - man;2018 april;71;41;30;24;3;5;10;6
305;Man - man;2018 mei;95;68;27;22;7;7;4;4
306;Man - man;2018 juni;105;79;26;24;11;4;5;4
307;Man - man;2018 juli;97;64;33;22;6;2;10;4
308;Man - man;2018 augustus;144;116;28;33;12;6;13;2
309;Man - man;2018 september;115;88;27;25;12;1;10;2
310;Man - man;2018 oktober;73;51;22;26;11;4;7;4
311;Man - man;2018 november;79;52;27;25;7;3;9;6
312;Man - man;2018 december;49;30;19;34;11;5;13;5
313;Man - man;2018;993;682;311;320;109;56;97;58
314;Man - man;2019 januari;47;24;23;37;15;6;11;5
315;Man - man;2019 februari;67;37;30;29;13;2;8;6
316;Man - man;2019 maart;60;34;26;32;9;6;12;5
317;Man - man;2019 april;81;45;36;30;11;6;10;3
318;Man - man;2019 mei;85;58;27;34;11;6;12;5
319;Man - man;2019 juni;128;103;25;37;14;5;13;5
320;Man - man;2019 juli;101;75;26;34;14;5;11;4
321;Man - man;2019 augustus;93;60;33;32;10;2;13;7
322;Man - man;2019 september;118;92;26;29;10;6;8;5
323;Man - man;2019 oktober;93;62;31;31;7;6;11;7
324;Man - man;2019 november;77;41;36;27;5;8;9;5
325;Man - man;2019 december;73;44;29;36;15;1;15;5
326;Man - man;2019;1023;675;348;388;134;59;133;62
327;Man - man;2020 januari;55;30;25;36;14;6;7;9
328;Man - man;2020 februari;67;39;28;45;10;7;17;11
329;Man - man;2020 maart;65;36;29;34;11;3;13;7
330;Man - man;2020 april;42;23;19;39;13;3;13;10
331;Man - man;2020 mei;61;41;20;29;12;6;7;4
332;Man - man;2020 juni;72;38;34;27;11;0;9;7
333;Man - man;2020 juli;76;33;43;41;13;9;10;9
334;Man - man;2020 augustus;80;52;28;36;11;4;14;7
335;Man - man;2020 september;88;59;29;39;12;4;15;8
336;Man - man;2020 oktober;63;32;31;35;10;7;10;8
337;Man - man;2020 november;60;30;30;37;9;5;13;10
338;Man - man;2020 december;66;35;31;54;25;9;11;9
339;Man - man;2020;795;448;347;452;151;63;139;99
340;Man - man;2021 januari;37;19;18;35;10;3;13;9
341;Man - man;2021 februari;50;22;28;28;9;4;9;6
342;Man - man;2021 maart;77;34;43;29;9;3;9;8
343;Man - man;2021 april;52;33;19;30;11;5;6;8
344;Man - man;2021 mei;79;53;26;36;12;4;13;7
345;Man - man;2021 juni;80;52;28;28;11;2;7;8
346;Man - man;2021 juli;75;43;32;37;8;14;9;6
347;Man - man;2021 augustus;97;64;33;32;11;4;13;4
348;Man - man;2021 september;117;79;38;33;10;5;14;4
349;Man - man;2021 oktober;90;61;29;27;5;3;11;8
350;Man - man;2021 november;61;35;26;34;12;2;11;9
351;Man - man;2021 december;75;32;43;33;13;5;10;5
352;Man - man;2021;890;527;363;382;121;54;125;82
353;Man - man;2022 januari;52;23;29;30;8;2;16;4
354;Man - man;2022 februari;90;56;34;33;17;2;8;6
355;Man - man;2022 maart;54;25;29;44;13;4;13;14
356;Man - man;2022 april;75;52;23;28;5;3;15;5
357;Man - man;2022 mei;112;88;24;29;9;4;12;4
358;Man - man;2022 juni;150;104;46;28;6;1;14;7
359;Man - man;2022 juli;136;100;36;21;7;4;6;4
360;Man - man;2022 augustus;112;87;25;36;11;3;13;9
361;Man - man;2022 september;128;91;37;31;6;4;11;10
362;Man - man;2022 oktober;82;45;37;36;10;3;15;8
363;Man - man;2022 november;78;50;28;57;19;4;23;11
364;Man - man;2022 december;76;44;32;31;7;3;15;6
365;Man - man;2022;1145;765;380;404;118;37;161;88
366;Man - man;2023 januari;69;40;29;43;10;5;20;8
367;Man - man;2023 februari;61;32;29;36;10;6;12;8
368;Man - man;2023 maart;79;53;26;43;11;6;13;13
369;Man - man;2023 april;75;49;26;33;6;5;15;7
370;Man - man;2023 mei;115;86;29;31;8;5;9;9
371;Man - man;2023 juni;142;104;38;36;10;5;10;11
372;Man - man;2023 juli;134;90;44;39;17;4;13;5
373;Man - man;2023 augustus;117;76;41;29;8;4;9;8
374;Man - man;2023 september;150;109;41;38;7;2;24;5
375;Man - man;2023 oktober;105;75;30;42;15;7;12;8
376;Man - man;2023 november;67;36;31;34;4;7;13;10
377;Man - man;2023 december;75;49;26;32;13;4;9;6
378;Man - man;2023;1189;799;390;436;119;60;159;98
379;Man - man;2024 januari;54;26;28;38;15;7;12;4
380;Man - man;2024 februari;74;31;43;44;11;4;14;15
381;Man - man;2024 maart;79;49;30;45;10;10;17;8
382;Man - man;2024 april;94;51;43;29;8;5;7;9
383;Man - man;2024 mei;123;89;34;46;15;7;11;13
384;Man - man;2024 juni;168;129;39;41;11;6;20;4
385;Man - man;2024 juli;128;84;44;31;9;3;13;6
386;Man - man;2024 augustus;121;91;30;47;14;11;15;7
387;Man - man;2024 september;136;97;39;41;7;5;17;12
388;Man - man;2024 oktober;123;73;50;44;12;10;15;7
389;Man - man;2024 november;83;50;33;40;9;3;17;11
390;Man - man;2024 december;85;50;35;30;7;4;11;8
391;Man - man;2024;1268;820;448;476;128;75;169;104
392;Man - man;2025 januari;74;41;33;49;7;9;18;15
393;Man - man;2025 februari;66;30;36;36;9;6;9;12
394;Man - vrouw;2010 januari;3443;2744;699;7913;2773;71;5048;21
395;Man - vrouw;2010 februari;3801;3085;716;7095;2416;70;4588;21
396;Man - vrouw;2010 maart;4591;3746;845;7970;2968;123;4850;29
397;Man - vrouw;2010 april;6228;5560;668;7263;2652;84;4512;15
398;Man - vrouw;2010 mei;9858;9144;714;6990;2303;68;4596;23
399;Man - vrouw;2010 juni;10312;9601;711;7422;2875;102;4424;21
400;Man - vrouw;2010 juli;8522;7790;732;7217;2664;71;4456;26
401;Man - vrouw;2010 augustus;8603;7857;746;7131;2702;97;4301;31
402;Man - vrouw;2010 september;11306;10546;760;7292;2768;86;4413;25
403;Man - vrouw;2010 oktober;7295;6551;744;7420;2647;84;4666;23
404;Man - vrouw;2010 november;4486;3598;888;7250;2594;88;4544;24
405;Man - vrouw;2010 december;4684;3823;861;8162;2892;111;5133;26
406;Man - vrouw;2010;83129;74045;9084;89125;32254;1055;55531;285
407;Man - vrouw;2011 januari;3365;2659;706;7890;2863;80;4924;23
408;Man - vrouw;2011 februari;3811;3061;750;7147;2660;87;4374;26
409;Man - vrouw;2011 maart;3957;3209;748;7926;3009;115;4780;22
410;Man - vrouw;2011 april;5622;4935;687;7216;2512;84;4592;28
411;Man - vrouw;2011 mei;9457;8595;862;7525;2773;108;4623;21
412;Man - vrouw;2011 juni;10497;9835;662;6985;2531;91;4344;19
413;Man - vrouw;2011 juli;8789;8036;753;7330;2661;90;4551;28
414;Man - vrouw;2011 augustus;7886;7015;871;7476;2898;85;4471;22
415;Man - vrouw;2011 september;10318;9586;732;7072;2668;82;4287;35
416;Man - vrouw;2011 oktober;5644;4819;825;6975;2333;74;4541;27
417;Man - vrouw;2011 november;5917;4969;948;7468;2703;106;4634;25
418;Man - vrouw;2011 december;4418;3498;920;7713;2567;102;5013;31
419;Man - vrouw;2011;79681;70217;9464;88723;32178;1104;55134;307
420;Man - vrouw;2012 januari;3344;2627;717;7839;2776;104;4929;30
421;Man - vrouw;2012 februari;3579;2826;753;7629;2632;95;4870;32
422;Man - vrouw;2012 maart;4030;3348;682;8102;2763;113;5191;35
423;Man - vrouw;2012 april;5964;5354;610;7268;2392;94;4748;34
424;Man - vrouw;2012 mei;9141;8343;798;7400;2606;107;4661;26
425;Man - vrouw;2012 juni;11168;10420;748;7478;2834;109;4500;35
426;Man - vrouw;2012 juli;7042;6332;710;7579;2954;115;4471;39
427;Man - vrouw;2012 augustus;7880;7200;680;7659;3139;89;4408;23
