ID;Vormen;Wijken;Perioden;TotaalJongerenMetJeugdzorgInNatura_1;k_0Tot4Jaar_2;k_4Tot12Jaar_3;k_12Tot18Jaar_4;k_18Tot23Jaar_5;ThuiswonendKindInEenouderhuishouden_6;ThuiswonendKindBijEenPaar_7;AnderHuishouden_8;TotaalTrajectenInNatura_9;GemeentelijkeToegang_10;Huisarts_11;Jeugdarts_12;GecertificeerdeInstelling_13;MedischSpecialist_14;RechterOfficierVanJustitie_15;GeenVerwijzer_16;VerwijzerOnbekend_17;Gemeentenaam_18;SoortRegio_19;Codering_20;IndelingswijzigingWijken_21
31;Totaal alle jeugdzorg in natura;Wijk 04 Dinxperlo;1e halfjaar 2024;165.0;15.0;70.0;80.0;;45.0;115.0;;235.0;105.0;35.0;;;10.0;;70.0;;Aalten                                  ;Wijk     ;WK019704  ;1.0
32;Totaal alle jeugdzorg in natura;Achtkarspelen;1e halfjaar 2024;615.0;35.0;290.0;275.0;15.0;125.0;435.0;55.0;830.0;330.0;245.0;20.0;80.0;30.0;;30.0;20.0;Achtkarspelen                           ;Gemeente ;GM0059    ;1.0
33;Totaal alle jeugdzorg in natura;Wijk 00 Noord;1e halfjaar 2024;225.0;10.0;110.0;100.0;;50.0;155.0;20.0;295.0;125.0;95.0;10.0;25.0;10.0;;10.0;10.0;Achtkarspelen                           ;Wijk     ;WK005900  ;1.0
34;Totaal alle jeugdzorg in natura;Wijk 01 Centrum;1e halfjaar 2024;80.0;;40.0;30.0;;10.0;60.0;10.0;110.0;60.0;30.0;;;;;;;Achtkarspelen                           ;Wijk     ;WK005901  ;1.0
35;Totaal alle jeugdzorg in natura;Wijk 02 Zuid;1e halfjaar 2024;255.0;15.0;120.0;115.0;;50.0;190.0;15.0;330.0;135.0;115.0;;35.0;15.0;;10.0;10.0;Achtkarspelen                           ;Wijk     ;WK005902  ;1.0
36;Totaal alle jeugdzorg in natura;Alblasserdam;1e halfjaar 2024;565.0;25.0;270.0;250.0;20.0;130.0;405.0;30.0;835.0;185.0;190.0;;45.0;20.0;;345.0;;Alblasserdam                            ;Gemeente ;GM0482    ;1.0
37;Totaal alle jeugdzorg in natura;Wijk 01 Centrum;1e halfjaar 2024;120.0;;50.0;60.0;;25.0;90.0;;155.0;30.0;40.0;;10.0;;;70.0;;Alblasserdam                            ;Wijk     ;WK048201  ;1.0
38;Totaal alle jeugdzorg in natura;Wijk 02 Kinderdijk;1e halfjaar 2024;85.0;;45.0;40.0;;15.0;60.0;10.0;145.0;45.0;35.0;;;;;45.0;;Alblasserdam                            ;Wijk     ;WK048202  ;1.0
39;Totaal alle jeugdzorg in natura;Wijk 03 Blokweer;1e halfjaar 2024;200.0;10.0;100.0;90.0;;40.0;160.0;;285.0;50.0;70.0;;10.0;15.0;;130.0;;Alblasserdam                            ;Wijk     ;WK048203  ;1.0
40;Totaal alle jeugdzorg in natura;Wijk 04 Souburgh;1e halfjaar 2024;95.0;;45.0;45.0;;20.0;70.0;;160.0;35.0;35.0;;10.0;;;70.0;;Alblasserdam                            ;Wijk     ;WK048204  ;1.0
41;Totaal alle jeugdzorg in natura;Wijk 05 Bedrijventerrein;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Alblasserdam                            ;Wijk     ;WK048205  ;1.0
42;Totaal alle jeugdzorg in natura;Wijk 06 Landelijk gebied;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Alblasserdam                            ;Wijk     ;WK048206  ;1.0
43;Totaal alle jeugdzorg in natura;Albrandswaard;1e halfjaar 2024;485.0;15.0;245.0;225.0;;90.0;375.0;20.0;615.0;140.0;330.0;10.0;15.0;40.0;;40.0;;Albrandswaard                           ;Gemeente ;GM0613    ;1.0
44;Totaal alle jeugdzorg in natura;Wijk 01 Poortugaal-Noord;1e halfjaar 2024;50.0;;20.0;25.0;;10.0;40.0;;55.0;10.0;35.0;;;;;;;Albrandswaard                           ;Wijk     ;WK061301  ;1.0
45;Totaal alle jeugdzorg in natura;Wijk 02 Rhoon-Noord;1e halfjaar 2024;20.0;;10.0;10.0;;;20.0;;25.0;;15.0;;;;;;;Albrandswaard                           ;Wijk     ;WK061302  ;1.0
46;Totaal alle jeugdzorg in natura;Wijk 03 Poortugaal-Zuid;1e halfjaar 2024;105.0;;40.0;55.0;;25.0;75.0;;130.0;30.0;70.0;;;10.0;;;;Albrandswaard                           ;Wijk     ;WK061303  ;1.0
47;Totaal alle jeugdzorg in natura;Wijk 04 Rhoon-Zuid;1e halfjaar 2024;115.0;;65.0;50.0;;20.0;95.0;;155.0;45.0;85.0;;;10.0;;;;Albrandswaard                           ;Wijk     ;WK061304  ;1.0
48;Totaal alle jeugdzorg in natura;Wijk 05 Buitengebied Albrandswaard;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Albrandswaard                           ;Wijk     ;WK061305  ;1.0
49;Totaal alle jeugdzorg in natura;Wijk 06 Portland;1e halfjaar 2024;150.0;;75.0;70.0;;20.0;120.0;;185.0;35.0;115.0;;;10.0;;;;Albrandswaard                           ;Wijk     ;WK061306  ;1.0
50;Totaal alle jeugdzorg in natura;Wijk 07 Rotterdam-Albrandswaard;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Albrandswaard                           ;Wijk     ;WK061307  ;1.0
51;Totaal alle jeugdzorg in natura;Alkmaar;1e halfjaar 2024;2895.0;135.0;1425.0;1250.0;85.0;890.0;1805.0;200.0;3990.0;1365.0;1770.0;25.0;315.0;80.0;;95.0;;Alkmaar                                 ;Gemeente ;GM0361    ;1.0
52;Totaal alle jeugdzorg in natura;Zuid;1e halfjaar 2024;285.0;;145.0;120.0;15.0;95.0;165.0;30.0;375.0;115.0;185.0;;15.0;;;;;Alkmaar                                 ;Wijk     ;WK036101  ;1.0
53;Totaal alle jeugdzorg in natura;Oudorp;1e halfjaar 2024;315.0;15.0;175.0;120.0;;85.0;220.0;10.0;405.0;120.0;215.0;;10.0;10.0;;;;Alkmaar                                 ;Wijk     ;WK036102  ;1.0
54;Totaal alle jeugdzorg in natura;Overdie;1e halfjaar 2024;180.0;15.0;95.0;70.0;;85.0;85.0;15.0;240.0;75.0;105.0;;20.0;;;;;Alkmaar                                 ;Wijk     ;WK036103  ;1.0
55;Totaal alle jeugdzorg in natura;West;1e halfjaar 2024;240.0;10.0;135.0;95.0;;65.0;170.0;10.0;320.0;105.0;160.0;;15.0;10.0;;;;Alkmaar                                 ;Wijk     ;WK036104  ;1.0
56;Totaal alle jeugdzorg in natura;Huiswaard;1e halfjaar 2024;180.0;;100.0;65.0;;65.0;105.0;10.0;240.0;80.0;100.0;;25.0;;;;;Alkmaar                                 ;Wijk     ;WK036105  ;1.0
57;Totaal alle jeugdzorg in natura;De Mare;1e halfjaar 2024;405.0;20.0;205.0;175.0;;125.0;260.0;20.0;560.0;185.0;275.0;;45.0;10.0;;;;Alkmaar                                 ;Wijk     ;WK036106  ;1.0
58;Totaal alle jeugdzorg in natura;Daalmeer/Koedijk;1e halfjaar 2024;340.0;20.0;165.0;150.0;;85.0;245.0;10.0;430.0;105.0;255.0;;25.0;10.0;;;;Alkmaar                                 ;Wijk     ;WK036107  ;1.0
59;Totaal alle jeugdzorg in natura;Centrum;1e halfjaar 2024;135.0;;55.0;70.0;;45.0;80.0;;170.0;45.0;90.0;;10.0;;;;;Alkmaar                                 ;Wijk     ;WK036108  ;1.0
60;Totaal alle jeugdzorg in natura;Schermer;1e halfjaar 2024;90.0;;40.0;45.0;;35.0;55.0;;120.0;55.0;55.0;;;;;;;Alkmaar                                 ;Wijk     ;WK036109  ;1.0
61;Totaal alle jeugdzorg in natura;Graft-De Rijp;1e halfjaar 2024;90.0;;40.0;45.0;;30.0;60.0;;115.0;35.0;65.0;;;;;;;Alkmaar                                 ;Wijk     ;WK036110  ;1.0
62;Totaal alle jeugdzorg in natura;Vroonermeer;1e halfjaar 2024;140.0;;75.0;60.0;;25.0;115.0;;165.0;60.0;100.0;;;;;;;Alkmaar                                 ;Wijk     ;WK036111  ;1.0
63;Totaal alle jeugdzorg in natura;Almelo;1e halfjaar 2024;2020.0;120.0;925.0;875.0;105.0;610.0;1175.0;240.0;3180.0;1025.0;950.0;125.0;405.0;105.0;;230.0;;Almelo                                  ;Gemeente ;GM0141    ;1.0
64;Totaal alle jeugdzorg in natura;Binnenstad;1e halfjaar 2024;100.0;10.0;45.0;40.0;;50.0;40.0;15.0;135.0;50.0;35.0;10.0;15.0;10.0;;;;Almelo                                  ;Wijk     ;WK014110  ;1.0
65;Totaal alle jeugdzorg in natura;De Riet;1e halfjaar 2024;220.0;15.0;105.0;90.0;10.0;90.0;115.0;15.0;325.0;100.0;100.0;15.0;35.0;10.0;;25.0;;Almelo                                  ;Wijk     ;WK014111  ;1.0
66;Totaal alle jeugdzorg in natura;Noorderkwartier;1e halfjaar 2024;145.0;;70.0;70.0;;45.0;90.0;10.0;220.0;55.0;80.0;;20.0;15.0;;20.0;;Almelo                                  ;Wijk     ;WK014112  ;1.0
67;Totaal alle jeugdzorg in natura;Sluitersveld;1e halfjaar 2024;190.0;15.0;80.0;85.0;;60.0;120.0;15.0;300.0;110.0;100.0;10.0;30.0;10.0;;20.0;;Almelo                                  ;Wijk     ;WK014113  ;1.0
68;Totaal alle jeugdzorg in natura;Wierdense Hoek;1e halfjaar 2024;145.0;15.0;65.0;60.0;10.0;50.0;90.0;10.0;230.0;100.0;45.0;;25.0;;;15.0;;Almelo                                  ;Wijk     ;WK014114  ;1.0
69;Totaal alle jeugdzorg in natura;Nieuwstraat-Kwartier;1e halfjaar 2024;100.0;10.0;50.0;40.0;;40.0;50.0;10.0;165.0;55.0;40.0;10.0;20.0;;;;;Almelo                                  ;Wijk     ;WK014115  ;1.0
70;Totaal alle jeugdzorg in natura;Ossenkoppelerhoek;1e halfjaar 2024;180.0;15.0;80.0;75.0;;75.0;90.0;15.0;295.0;105.0;85.0;;20.0;10.0;;20.0;;Almelo                                  ;Wijk     ;WK014116  ;1.0
71;Totaal alle jeugdzorg in natura;Hofkamp;1e halfjaar 2024;75.0;;35.0;35.0;;15.0;55.0;;100.0;15.0;50.0;10.0;;10.0;;;;Almelo                                  ;Wijk     ;WK014117  ;1.0
72;Totaal alle jeugdzorg in natura;Schelfhorst;1e halfjaar 2024;300.0;15.0;145.0;130.0;10.0;90.0;185.0;25.0;470.0;175.0;155.0;25.0;35.0;10.0;;35.0;;Almelo                                  ;Wijk     ;WK014118  ;1.0
73;Totaal alle jeugdzorg in natura;Windmolenbroek;1e halfjaar 2024;315.0;15.0;135.0;150.0;20.0;60.0;235.0;15.0;490.0;160.0;205.0;20.0;35.0;25.0;;20.0;;Almelo                                  ;Wijk     ;WK014119  ;1.0
74;Totaal alle jeugdzorg in natura;Aadorp;1e halfjaar 2024;30.0;;15.0;10.0;;;25.0;;40.0;10.0;15.0;;;;;;;Almelo                                  ;Wijk     ;WK014120  ;1.0
75;Totaal alle jeugdzorg in natura;Bornerbroek;1e halfjaar 2024;30.0;;10.0;20.0;;;25.0;;50.0;15.0;15.0;;;;;;;Almelo                                  ;Wijk     ;WK014121  ;1.0
76;Totaal alle jeugdzorg in natura;Almere;1e halfjaar 2024;6120.0;370.0;2945.0;2610.0;200.0;2010.0;3595.0;515.0;8165.0;1700.0;2955.0;900.0;780.0;810.0;15.0;210.0;15.0;Almere                                  ;Gemeente ;GM0034    ;1.0
77;Totaal alle jeugdzorg in natura;Centrum Almere Haven;1e halfjaar 2024;30.0;;15.0;10.0;;20.0;;;45.0;15.0;;;;;;;;Almere                                  ;Wijk     ;WK003401  ;1.0
78;Totaal alle jeugdzorg in natura;De Werven;1e halfjaar 2024;75.0;;35.0;35.0;;35.0;35.0;;100.0;15.0;40.0;15.0;;15.0;;;;Almere                                  ;Wijk     ;WK003402  ;1.0
79;Totaal alle jeugdzorg in natura;De Hoven;1e halfjaar 2024;60.0;;30.0;25.0;;25.0;35.0;;75.0;20.0;25.0;10.0;;10.0;;;;Almere                                  ;Wijk     ;WK003403  ;1.0
80;Totaal alle jeugdzorg in natura;De Meenten;1e halfjaar 2024;45.0;;20.0;20.0;;15.0;30.0;;60.0;15.0;25.0;;;;;;;Almere                                  ;Wijk     ;WK003404  ;1.0
81;Totaal alle jeugdzorg in natura;De Grienden;1e halfjaar 2024;60.0;10.0;25.0;25.0;;15.0;40.0;;75.0;20.0;25.0;10.0;;10.0;;;;Almere                                  ;Wijk     ;WK003405  ;1.0
82;Totaal alle jeugdzorg in natura;De Marken;1e halfjaar 2024;100.0;;55.0;40.0;;45.0;50.0;;155.0;25.0;50.0;25.0;20.0;15.0;;;;Almere                                  ;Wijk     ;WK003406  ;1.0
83;Totaal alle jeugdzorg in natura;De Gouwen;1e halfjaar 2024;50.0;;30.0;15.0;;10.0;40.0;;75.0;10.0;35.0;10.0;10.0;;;;;Almere                                  ;Wijk     ;WK003407  ;1.0
84;Totaal alle jeugdzorg in natura;De Wierden;1e halfjaar 2024;115.0;15.0;50.0;45.0;;75.0;30.0;10.0;150.0;35.0;50.0;20.0;15.0;10.0;;;;Almere                                  ;Wijk     ;WK003408  ;1.0
85;Totaal alle jeugdzorg in natura;De Velden;1e halfjaar 2024;35.0;;15.0;15.0;;;30.0;;40.0;;25.0;;;;;;;Almere                                  ;Wijk     ;WK003409  ;1.0
86;Totaal alle jeugdzorg in natura;Overgooi;1e halfjaar 2024;15.0;;10.0;;;;10.0;;15.0;;10.0;;;;;;;Almere                                  ;Wijk     ;WK003410  ;1.0
87;Totaal alle jeugdzorg in natura;De Laren;1e halfjaar 2024;25.0;;15.0;10.0;;10.0;15.0;;30.0;;15.0;;;10.0;;;;Almere                                  ;Wijk     ;WK003411  ;1.0
88;Totaal alle jeugdzorg in natura;De Steiger;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Almere                                  ;Wijk     ;WK003414  ;1.0
89;Totaal alle jeugdzorg in natura;Stichtsekant;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Almere                                  ;Wijk     ;WK003415  ;1.0
90;Totaal alle jeugdzorg in natura;Overig Almere Haven;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Almere                                  ;Wijk     ;WK003416  ;1.0
91;Totaal alle jeugdzorg in natura;Centrum Almere Stad;1e halfjaar 2024;75.0;15.0;30.0;25.0;;35.0;20.0;20.0;85.0;25.0;20.0;15.0;10.0;;;;;Almere                                  ;Wijk     ;WK003417  ;1.0
92;Totaal alle jeugdzorg in natura;Filmwijk;1e halfjaar 2024;190.0;15.0;90.0;80.0;;70.0;110.0;15.0;265.0;45.0;100.0;40.0;20.0;35.0;;;;Almere                                  ;Wijk     ;WK003418  ;1.0
93;Totaal alle jeugdzorg in natura;Danswijk;1e halfjaar 2024;120.0;;60.0;55.0;;45.0;70.0;10.0;150.0;30.0;60.0;20.0;15.0;15.0;;;;Almere                                  ;Wijk     ;WK003419  ;1.0
94;Totaal alle jeugdzorg in natura;Parkwijk;1e halfjaar 2024;125.0;;50.0;70.0;;35.0;85.0;;165.0;25.0;75.0;15.0;10.0;20.0;;;;Almere                                  ;Wijk     ;WK003420  ;1.0
95;Totaal alle jeugdzorg in natura;Verzetswijk;1e halfjaar 2024;80.0;;35.0;35.0;10.0;25.0;55.0;;100.0;15.0;45.0;;10.0;15.0;;;;Almere                                  ;Wijk     ;WK003421  ;1.0
96;Totaal alle jeugdzorg in natura;Waterwijk;1e halfjaar 2024;150.0;15.0;65.0;65.0;;35.0;100.0;15.0;200.0;40.0;75.0;25.0;15.0;30.0;;;;Almere                                  ;Wijk     ;WK003422  ;1.0
97;Totaal alle jeugdzorg in natura;Tussen de Vaarten Noord;1e halfjaar 2024;130.0;;45.0;70.0;;40.0;80.0;10.0;160.0;35.0;65.0;15.0;;25.0;;;;Almere                                  ;Wijk     ;WK003423  ;1.0
98;Totaal alle jeugdzorg in natura;Tussen de Vaarten Zuid;1e halfjaar 2024;255.0;15.0;90.0;135.0;15.0;80.0;155.0;20.0;335.0;70.0;140.0;20.0;30.0;40.0;;;;Almere                                  ;Wijk     ;WK003424  ;1.0
99;Totaal alle jeugdzorg in natura;Staatsliedenwijk;1e halfjaar 2024;55.0;;30.0;15.0;;35.0;15.0;;80.0;10.0;20.0;10.0;;;;;;Almere                                  ;Wijk     ;WK003425  ;1.0
100;Totaal alle jeugdzorg in natura;Kruidenwijk;1e halfjaar 2024;165.0;15.0;80.0;65.0;;65.0;80.0;15.0;225.0;65.0;70.0;25.0;10.0;30.0;;;;Almere                                  ;Wijk     ;WK003426  ;1.0
101;Totaal alle jeugdzorg in natura;Stedenwijk;1e halfjaar 2024;225.0;25.0;95.0;95.0;15.0;85.0;120.0;20.0;320.0;65.0;95.0;35.0;25.0;50.0;;;;Almere                                  ;Wijk     ;WK003427  ;1.0
102;Totaal alle jeugdzorg in natura;Muziekwijk Noord;1e halfjaar 2024;240.0;15.0;110.0;105.0;;60.0;160.0;15.0;300.0;55.0;135.0;25.0;25.0;35.0;;;;Almere                                  ;Wijk     ;WK003428  ;1.0
103;Totaal alle jeugdzorg in natura;Muziekwijk Zuid;1e halfjaar 2024;115.0;;50.0;50.0;;30.0;70.0;15.0;145.0;35.0;55.0;10.0;15.0;15.0;;;;Almere                                  ;Wijk     ;WK003429  ;1.0
104;Totaal alle jeugdzorg in natura;Literatuurwijk;1e halfjaar 2024;185.0;10.0;85.0;80.0;10.0;55.0;120.0;10.0;240.0;60.0;85.0;15.0;20.0;35.0;;;;Almere                                  ;Wijk     ;WK003430  ;1.0
105;Totaal alle jeugdzorg in natura;Noorderplassen;1e halfjaar 2024;185.0;;90.0;80.0;;25.0;150.0;10.0;225.0;40.0;115.0;15.0;;30.0;;;;Almere                                  ;Wijk     ;WK003431  ;1.0
106;Totaal alle jeugdzorg in natura;Hortus;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Almere                                  ;Wijk     ;WK003432  ;1.0
107;Totaal alle jeugdzorg in natura;Randstad;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Almere                                  ;Wijk     ;WK003434  ;1.0
108;Totaal alle jeugdzorg in natura;Markerkant;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Almere                                  ;Wijk     ;WK003435  ;1.0
109;Totaal alle jeugdzorg in natura;Hollandsekant;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Almere                                  ;Wijk     ;WK003436  ;1.0
110;Totaal alle jeugdzorg in natura;Gooisekant;1e halfjaar 2024;;;;;;;;;15.0;;;;;;;;;Almere                                  ;Wijk     ;WK003437  ;1.0
111;Totaal alle jeugdzorg in natura;Veluwsekant;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Almere                                  ;Wijk     ;WK003438  ;1.0
112;Totaal alle jeugdzorg in natura;Sallandsekant;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Almere                                  ;Wijk     ;WK003439  ;1.0
113;Totaal alle jeugdzorg in natura;Overig Almere Stad;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Almere                                  ;Wijk     ;WK003440  ;1.0
114;Totaal alle jeugdzorg in natura;Centrum Almere Buiten;1e halfjaar 2024;25.0;;10.0;10.0;;15.0;;;35.0;;10.0;;;;;;;Almere                                  ;Wijk     ;WK003441  ;1.0
115;Totaal alle jeugdzorg in natura;Oostvaardersbuurt;1e halfjaar 2024;120.0;;55.0;60.0;;30.0;80.0;15.0;170.0;35.0;65.0;10.0;25.0;15.0;;;;Almere                                  ;Wijk     ;WK003442  ;1.0
116;Totaal alle jeugdzorg in natura;Seizoenenbuurt;1e halfjaar 2024;125.0;10.0;45.0;60.0;;30.0;80.0;10.0;150.0;25.0;60.0;20.0;10.0;25.0;;;;Almere                                  ;Wijk     ;WK003443  ;1.0
117;Totaal alle jeugdzorg in natura;Molenbuurt;1e halfjaar 2024;95.0;10.0;45.0;40.0;;45.0;55.0;;140.0;25.0;45.0;15.0;20.0;15.0;;;;Almere                                  ;Wijk     ;WK003444  ;1.0
118;Totaal alle jeugdzorg in natura;Bouwmeesterbuurt;1e halfjaar 2024;100.0;;55.0;35.0;;35.0;55.0;10.0;130.0;30.0;45.0;;10.0;15.0;;;;Almere                                  ;Wijk     ;WK003445  ;1.0
119;Totaal alle jeugdzorg in natura;Landgoederenbuurt;1e halfjaar 2024;95.0;;45.0;40.0;;35.0;55.0;;125.0;30.0;55.0;;10.0;10.0;;;;Almere                                  ;Wijk     ;WK003446  ;1.0
