ID;ExportCharacteristics;Periods;ExportGrowth_1;ContributionToTotalExportGrowth_2
57;Brazil;2014;623689.0;0.1
58;Brazil;2015;;
59;Brazil;2016;587529.0;0.1
60;Brazil;2017;-817938.0;-0.2
61;Brazil;2018;14613.0;0.0
62;Brazil;2019;248717.0;0.0
63;Brazil;2020;-550016.0;-0.1
64;Brazil;2021;769918.0;0.2
65;Brazil;2022;;
66;Bulgaria;2012;100352.0;0.0
67;Bulgaria;2013;67316.0;0.0
68;Bulgaria;2014;107008.0;0.0
69;Bulgaria;2015;;
70;Bulgaria;2016;-51137.0;0.0
71;Bulgaria;2017;135775.0;0.0
72;Bulgaria;2018;104998.0;0.0
73;Bulgaria;2019;19032.0;0.0
74;Bulgaria;2020;-2305.0;0.0
75;Bulgaria;2021;504621.0;0.1
76;Bulgaria;2022;;
77;Canada;2012;198390.0;0.0
78;Canada;2013;655312.0;0.2
79;Canada;2014;-72028.0;0.0
80;Canada;2015;;
81;Canada;2016;84179.0;0.0
82;Canada;2017;302290.0;0.1
83;Canada;2018;532842.0;0.1
84;Canada;2019;431604.0;0.1
85;Canada;2020;-1076491.0;-0.2
86;Canada;2021;433262.0;0.1
87;Canada;2022;;
88;Cayman Islands;2012;-94076.0;0.0
89;Cayman Islands;2013;21708.0;0.0
90;Cayman Islands;2014;-126246.0;0.0
91;Cayman Islands;2015;;
92;Cayman Islands;2016;994898.0;0.2
93;Cayman Islands;2017;-559606.0;-0.1
94;Cayman Islands;2018;514045.0;0.1
95;Cayman Islands;2019;868460.0;0.2
96;Cayman Islands;2020;-245350.0;0.0
97;Cayman Islands;2021;1065554.0;0.2
98;Cayman Islands;2022;;
99;China;2012;950132.0;0.2
100;China;2013;64741.0;0.0
101;China;2014;208953.0;0.0
102;China;2015;;
103;China;2016;1143197.0;0.3
104;China;2017;1651105.0;0.4
105;China;2018;414071.0;0.1
106;China;2019;1054520.0;0.2
107;China;2020;1328276.0;0.3
108;China;2021;-61731.0;0.0
109;China;2022;;
110;Denmark;2012;92004.0;0.0
111;Denmark;2013;186999.0;0.0
112;Denmark;2014;82629.0;0.0
113;Denmark;2015;;
114;Denmark;2016;57064.0;0.0
115;Denmark;2017;51129.0;0.0
116;Denmark;2018;391782.0;0.1
117;Denmark;2019;3437.0;0.0
118;Denmark;2020;266302.0;0.1
119;Denmark;2021;1403757.0;0.3
120;Denmark;2022;;
121;Germany;2012;6951614.0;1.7
122;Germany;2013;787436.0;0.2
123;Germany;2014;-2457342.0;-0.6
124;Germany;2015;;
125;Germany;2016;-1494254.0;-0.4
126;Germany;2017;9835369.0;2.3
127;Germany;2018;6132930.0;1.3
128;Germany;2019;1365612.0;0.3
129;Germany;2020;-7551524.0;-1.5
130;Germany;2021;26601251.0;5.5
131;Germany;2022;;
132;Egypt;2012;229015.0;0.1
133;Egypt;2013;-77790.0;0.0
134;Egypt;2014;208199.0;0.0
135;Egypt;2015;;
136;Egypt;2016;-72065.0;0.0
137;Egypt;2017;-118786.0;0.0
138;Egypt;2018;152176.0;0.0
139;Egypt;2019;247769.0;0.0
140;Egypt;2020;-94749.0;0.0
141;Egypt;2021;649899.0;0.1
142;Egypt;2022;;
143;Finland;2012;-73198.0;0.0
144;Finland;2013;-117282.0;0.0
145;Finland;2014;278638.0;0.1
146;Finland;2015;;
147;Finland;2016;-149219.0;0.0
148;Finland;2017;289216.0;0.1
149;Finland;2018;222204.0;0.0
150;Finland;2019;-115798.0;0.0
151;Finland;2020;-231446.0;0.0
152;Finland;2021;1140971.0;0.2
153;Finland;2022;;
154;France;2012;1469.0;0.0
155;France;2013;-309789.0;-0.1
156;France;2014;-442952.0;-0.1
157;France;2015;;
158;France;2016;1189522.0;0.3
159;France;2017;3371228.0;0.8
160;France;2018;1367727.0;0.3
161;France;2019;1197169.0;0.2
162;France;2020;-3077760.0;-0.6
163;France;2021;10238338.0;2.1
164;France;2022;;
165;Greece;2012;-226724.0;-0.1
166;Greece;2013;102207.0;0.0
167;Greece;2014;106355.0;0.0
168;Greece;2015;;
169;Greece;2016;53339.0;0.0
170;Greece;2017;169699.0;0.0
171;Greece;2018;33943.0;0.0
172;Greece;2019;158114.0;0.0
173;Greece;2020;19984.0;0.0
174;Greece;2021;252915.0;0.1
175;Greece;2022;;
176;Hungary;2012;-35492.0;0.0
177;Hungary;2013;-79420.0;0.0
178;Hungary;2014;263950.0;0.1
179;Hungary;2015;;
180;Hungary;2016;99262.0;0.0
181;Hungary;2017;337609.0;0.1
182;Hungary;2018;543600.0;0.1
183;Hungary;2019;304007.0;0.1
184;Hungary;2020;-576775.0;-0.1
185;Hungary;2021;963712.0;0.2
186;Hungary;2022;;
187;Hong Kong;2012;246988.0;0.1
188;Hong Kong;2013;65863.0;0.0
189;Hong Kong;2014;315970.0;0.1
190;Hong Kong;2015;;
191;Hong Kong;2016;-135394.0;0.0
192;Hong Kong;2017;-2367.0;0.0
193;Hong Kong;2018;80730.0;0.0
194;Hong Kong;2019;181566.0;0.0
195;Hong Kong;2020;-329736.0;-0.1
196;Hong Kong;2021;-149127.0;0.0
197;Hong Kong;2022;;
198;Ireland;2012;21330.0;0.0
199;Ireland;2013;469465.0;0.1
200;Ireland;2014;429315.0;0.1
201;Ireland;2015;;
202;Ireland;2016;36531.0;0.0
203;Ireland;2017;274598.0;0.1
204;Ireland;2018;324633.0;0.1
205;Ireland;2019;420364.0;0.1
206;Ireland;2020;343273.0;0.1
207;Ireland;2021;1292166.0;0.3
208;Ireland;2022;;
209;India;2012;51765.0;0.0
210;India;2013;-282284.0;-0.1
211;India;2014;223499.0;0.1
212;India;2015;;
213;India;2016;-131822.0;0.0
214;India;2017;294570.0;0.1
215;India;2018;65571.0;0.0
216;India;2019;7652.0;0.0
217;India;2020;-361095.0;-0.1
218;India;2021;605295.0;0.1
219;India;2022;;
220;Israel;2012;-78471.0;0.0
221;Israel;2013;89425.0;0.0
222;Israel;2014;-154214.0;0.0
223;Israel;2015;;
224;Israel;2016;547601.0;0.1
225;Israel;2017;350453.0;0.1
226;Israel;2018;-241797.0;-0.1
227;Israel;2019;-258150.0;-0.1
228;Israel;2020;147913.0;0.0
229;Israel;2021;200464.0;0.0
230;Israel;2022;;
231;Italy;2012;53643.0;0.0
232;Italy;2013;206764.0;0.0
233;Italy;2014;-1061202.0;-0.2
234;Italy;2015;;
235;Italy;2016;243840.0;0.1
236;Italy;2017;1364258.0;0.3
237;Italy;2018;1372896.0;0.3
238;Italy;2019;114705.0;0.0
239;Italy;2020;-1211676.0;-0.2
240;Italy;2021;6230018.0;1.3
241;Italy;2022;;
242;Japan;2012;125455.0;0.0
243;Japan;2013;-361209.0;-0.1
244;Japan;2014;141935.0;0.0
245;Japan;2015;;
246;Japan;2016;-130816.0;0.0
247;Japan;2017;387721.0;0.1
248;Japan;2018;703387.0;0.2
249;Japan;2019;113297.0;0.0
250;Japan;2020;245644.0;0.0
251;Japan;2021;-501138.0;-0.1
252;Japan;2022;;
253;Lithuania;2012;64033.0;0.0
254;Lithuania;2013;11948.0;0.0
255;Lithuania;2014;-63365.0;0.0
256;Lithuania;2015;;
257;Lithuania;2016;62934.0;0.0
258;Lithuania;2017;227489.0;0.1
259;Lithuania;2018;112777.0;0.0
260;Lithuania;2019;69053.0;0.0
261;Lithuania;2020;-32094.0;0.0
262;Lithuania;2021;400538.0;0.1
263;Lithuania;2022;;
264;Luxembourg;2012;-83360.0;0.0
265;Luxembourg;2013;-334279.0;-0.1
266;Luxembourg;2014;110504.0;0.0
267;Luxembourg;2015;;
268;Luxembourg;2016;-28481.0;0.0
269;Luxembourg;2017;116461.0;0.0
270;Luxembourg;2018;90646.0;0.0
271;Luxembourg;2019;221999.0;0.0
272;Luxembourg;2020;-128583.0;0.0
273;Luxembourg;2021;277656.0;0.1
274;Luxembourg;2022;;
275;Malaysia;2012;210619.0;0.1
276;Malaysia;2013;-53422.0;0.0
277;Malaysia;2014;94148.0;0.0
278;Malaysia;2015;;
279;Malaysia;2016;51534.0;0.0
280;Malaysia;2017;233386.0;0.1
281;Malaysia;2018;-293929.0;-0.1
282;Malaysia;2019;9820.0;0.0
283;Malaysia;2020;-68006.0;0.0
284;Malaysia;2021;-39740.0;0.0
285;Malaysia;2022;;
286;Morocco;2012;123171.0;0.0
287;Morocco;2013;-245333.0;-0.1
288;Morocco;2014;130090.0;0.0
289;Morocco;2015;;
290;Morocco;2016;169896.0;0.0
291;Morocco;2017;-41064.0;0.0
292;Morocco;2018;57296.0;0.0
293;Morocco;2019;25182.0;0.0
294;Morocco;2020;-112666.0;0.0
295;Morocco;2021;294506.0;0.1
296;Morocco;2022;;
297;Mexico;2012;678977.0;0.2
298;Mexico;2013;-228582.0;-0.1
299;Mexico;2014;-7181.0;0.0
300;Mexico;2015;;
301;Mexico;2016;-437996.0;-0.1
302;Mexico;2017;371933.0;0.1
303;Mexico;2018;295459.0;0.1
304;Mexico;2019;-54462.0;0.0
305;Mexico;2020;-371130.0;-0.1
306;Mexico;2021;510284.0;0.1
307;Mexico;2022;;
308;Nigeria;2012;-1136646.0;-0.3
309;Nigeria;2013;12929.0;0.0
310;Nigeria;2014;-65308.0;0.0
311;Nigeria;2015;;
312;Nigeria;2016;-617047.0;-0.1
313;Nigeria;2017;185868.0;0.0
314;Nigeria;2018;1699440.0;0.4
315;Nigeria;2019;1041790.0;0.2
316;Nigeria;2020;-1375240.0;-0.3
317;Nigeria;2021;-76066.0;0.0
318;Nigeria;2022;;
319;Norway;2012;466111.0;0.1
320;Norway;2013;-20372.0;0.0
321;Norway;2014;32259.0;0.0
322;Norway;2015;;
323;Norway;2016;185142.0;0.0
324;Norway;2017;460565.0;0.1
325;Norway;2018;-78147.0;0.0
326;Norway;2019;549375.0;0.1
327;Norway;2020;-185766.0;0.0
328;Norway;2021;382144.0;0.1
329;Norway;2022;;
330;Ukraine;2012;197922.0;0.0
331;Ukraine;2013;-77463.0;0.0
332;Ukraine;2014;-419531.0;-0.1
333;Ukraine;2015;;
334;Ukraine;2016;91756.0;0.0
335;Ukraine;2017;142921.0;0.0
336;Ukraine;2018;108241.0;0.0
337;Ukraine;2019;136590.0;0.0
338;Ukraine;2020;-14045.0;0.0
339;Ukraine;2021;144383.0;0.0
340;Ukraine;2022;;
341;Austria;2012;-233409.0;-0.1
342;Austria;2013;20987.0;0.0
343;Austria;2014;156829.0;0.0
344;Austria;2015;;
345;Austria;2016;197421.0;0.0
346;Austria;2017;606219.0;0.1
347;Austria;2018;532676.0;0.1
348;Austria;2019;-8404.0;0.0
349;Austria;2020;-538343.0;-0.1
350;Austria;2021;1614202.0;0.3
351;Austria;2022;;
352;Poland;2012;127097.0;0.0
353;Poland;2013;652828.0;0.2
354;Poland;2014;431598.0;0.1
355;Poland;2015;;
356;Poland;2016;353338.0;0.1
357;Poland;2017;1566484.0;0.4
358;Poland;2018;1056146.0;0.2
359;Poland;2019;535213.0;0.1
360;Poland;2020;689125.0;0.1
361;Poland;2021;4229309.0;0.9
362;Poland;2022;;
363;Portugal;2012;-56362.0;0.0
364;Portugal;2013;57815.0;0.0
365;Portugal;2014;131602.0;0.0
366;Portugal;2015;;
367;Portugal;2016;14556.0;0.0
368;Portugal;2017;450983.0;0.1
369;Portugal;2018;261312.0;0.1
370;Portugal;2019;229669.0;0.0
371;Portugal;2020;-334357.0;-0.1
372;Portugal;2021;867200.0;0.2
373;Portugal;2022;;
374;Romania;2012;59004.0;0.0
375;Romania;2013;120106.0;0.0
376;Romania;2014;108153.0;0.0
377;Romania;2015;;
378;Romania;2016;359582.0;0.1
379;Romania;2017;163063.0;0.0
380;Romania;2018;93620.0;0.0
381;Romania;2019;102719.0;0.0
382;Romania;2020;-57855.0;0.0
383;Romania;2021;480446.0;0.1
384;Romania;2022;;
385;Russia;2012;663364.0;0.2
386;Russia;2013;-240002.0;-0.1
387;Russia;2014;-539154.0;-0.1
388;Russia;2015;;
389;Russia;2016;110902.0;0.0
390;Russia;2017;1083119.0;0.3
391;Russia;2018;2372.0;0.0
392;Russia;2019;1054128.0;0.2
393;Russia;2020;-410662.0;-0.1
394;Russia;2021;567976.0;0.1
395;Russia;2022;;
396;Saudi Arabia;2012;501482.0;0.1
397;Saudi Arabia;2013;31675.0;0.0
398;Saudi Arabia;2014;251298.0;0.1
399;Saudi Arabia;2015;;
400;Saudi Arabia;2016;-379645.0;-0.1
401;Saudi Arabia;2017;385397.0;0.1
402;Saudi Arabia;2018;615429.0;0.1
403;Saudi Arabia;2019;223532.0;0.0
404;Saudi Arabia;2020;-200472.0;0.0
405;Saudi Arabia;2021;-321357.0;-0.1
406;Saudi Arabia;2022;;
407;Singapore;2012;1265937.0;0.3
408;Singapore;2013;-418958.0;-0.1
409;Singapore;2014;-255359.0;-0.1
410;Singapore;2015;;
411;Singapore;2016;870621.0;0.2
412;Singapore;2017;508571.0;0.1
413;Singapore;2018;-83997.0;0.0
414;Singapore;2019;-1639448.0;-0.3
415;Singapore;2020;-939774.0;-0.2
416;Singapore;2021;417734.0;0.1
417;Singapore;2022;;
418;Slovakia;2012;82614.0;0.0
419;Slovakia;2013;94174.0;0.0
420;Slovakia;2014;85936.0;0.0
421;Slovakia;2015;;
422;Slovakia;2016;89938.0;0.0
423;Slovakia;2017;24274.0;0.0
424;Slovakia;2018;112520.0;0.0
425;Slovakia;2019;29956.0;0.0
426;Slovakia;2020;-63945.0;0.0
427;Slovakia;2021;228218.0;0.0
428;Slovakia;2022;;
429;Spain;2012;-386913.0;-0.1
430;Spain;2013;-626707.0;-0.1
431;Spain;2014;768138.0;0.2
432;Spain;2015;;
433;Spain;2016;399590.0;0.1
434;Spain;2017;1152833.0;0.3
435;Spain;2018;1008871.0;0.2
436;Spain;2019;873558.0;0.2
437;Spain;2020;-1201445.0;-0.2
438;Spain;2021;4025284.0;0.8
439;Spain;2022;;
440;Taiwan;2012;616700.0;0.2
441;Taiwan;2013;715395.0;0.2
442;Taiwan;2014;-1091415.0;-0.3
443;Taiwan;2015;;
444;Taiwan;2016;367806.0;0.1
445;Taiwan;2017;321573.0;0.1
446;Taiwan;2018;1034782.0;0.2
447;Taiwan;2019;3495973.0;0.7
448;Taiwan;2020;-1540595.0;-0.3
449;Taiwan;2021;3313757.0;0.7
450;Taiwan;2022;;
451;Thailand;2012;161342.0;0.0
452;Thailand;2013;-128576.0;0.0
453;Thailand;2014;15622.0;0.0
454;Thailand;2015;;
455;Thailand;2016;14316.0;0.0
456;Thailand;2017;19302.0;0.0
457;Thailand;2018;5257.0;0.0
458;Thailand;2019;-34211.0;0.0
459;Thailand;2020;-119981.0;0.0
460;Thailand;2021;88965.0;0.0
461;Thailand;2022;;
462;Togo;2012;1127810.0;0.3
463;Togo;2013;-572105.0;-0.1
464;Togo;2014;210166.0;0.0
465;Togo;2015;;
466;Togo;2016;-230358.0;-0.1
467;Togo;2017;175291.0;0.0
468;Togo;2018;679456.0;0.1
469;Togo;2019;-822688.0;-0.2
470;Togo;2020;426870.0;0.1
471;Togo;2021;-215443.0;0.0
472;Togo;2022;;
473;Czech Republic;2012;45451.0;0.0
474;Czech Republic;2013;22636.0;0.0
475;Czech Republic;2014;528913.0;0.1
476;Czech Republic;2015;;
477;Czech Republic;2016;136987.0;0.0
478;Czech Republic;2017;276473.0;0.1
479;Czech Republic;2018;505459.0;0.1
480;Czech Republic;2019;440054.0;0.1
481;Czech Republic;2020;22071.0;0.0
482;Czech Republic;2021;1103514.0;0.2
483;Czech Republic;2022;;
484;Turkey;2012;-77271.0;0.0
485;Turkey;2013;148131.0;0.0
486;Turkey;2014;246949.0;0.1
487;Turkey;2015;;
488;Turkey;2016;-133285.0;0.0
489;Turkey;2017;817683.0;0.2
490;Turkey;2018;-443280.0;-0.1
491;Turkey;2019;158130.0;0.0
492;Turkey;2020;44466.0;0.0
493;Turkey;2021;563644.0;0.1
494;Turkey;2022;;
495;United Kingdom;2012;2318067.0;0.6
496;United Kingdom;2013;1891184.0;0.4
497;United Kingdom;2014;216162.0;0.0
498;United Kingdom;2015;;
499;United Kingdom;2016;2297942.0;0.5
500;United Kingdom;2017;445509.0;0.1
501;United Kingdom;2018;913828.0;0.2
502;United Kingdom;2019;-287356.0;-0.1
503;United Kingdom;2020;-4908013.0;-1.0
504;United Kingdom;2021;3062205.0;0.6
505;United Kingdom;2022;;
506;United Arab Emirates;2012;225376.0;0.1
507;United Arab Emirates;2013;-1625.0;0.0
508;United Arab Emirates;2014;422112.0;0.1
509;United Arab Emirates;2015;;
510;United Arab Emirates;2016;11787.0;0.0
511;United Arab Emirates;2017;-51174.0;0.0
512;United Arab Emirates;2018;427909.0;0.1
513;United Arab Emirates;2019;-557099.0;-0.1
514;United Arab Emirates;2020;-127076.0;0.0
515;United Arab Emirates;2021;198277.0;0.0
516;United Arab Emirates;2022;;
517;United States;2012;626949.0;0.2
518;United States;2013;-3364331.0;-0.8
519;United States;2014;2085056.0;0.5
520;United States;2015;;
521;United States;2016;-377168.0;-0.1
522;United States;2017;2132013.0;0.5
523;United States;2018;3278761.0;0.7
524;United States;2019;3560129.0;0.7
525;United States;2020;-2392759.0;-0.5
526;United States;2021;3858882.0;0.8
527;United States;2022;;
528;Viet Nam;2012;51048.0;0.0
529;Viet Nam;2013;-6709.0;0.0
530;Viet Nam;2014;-25145.0;0.0
531;Viet Nam;2015;;
532;Viet Nam;2016;22136.0;0.0
533;Viet Nam;2017;31596.0;0.0
534;Viet Nam;2018;211592.0;0.0
535;Viet Nam;2019;-42427.0;0.0
536;Viet Nam;2020;-71532.0;0.0
537;Viet Nam;2021;2508.0;0.0
538;Viet Nam;2022;;
539;South Africa;2012;346861.0;0.1
540;South Africa;2013;-214212.0;0.0
541;South Africa;2014;-190748.0;0.0
542;South Africa;2015;;
543;South Africa;2016;-160487.0;0.0
544;South Africa;2017;5290.0;0.0
545;South Africa;2018;64149.0;0.0
546;South Africa;2019;-2407.0;0.0
547;South Africa;2020;-279335.0;-0.1
548;South Africa;2021;595865.0;0.1
549;South Africa;2022;;
550;South Korea;2012;-281512.0;-0.1
551;South Korea;2013;142850.0;0.0
552;South Korea;2014;236539.0;0.1
553;South Korea;2015;;
554;South Korea;2016;-532782.0;-0.1
555;South Korea;2017;2339071.0;0.6
556;South Korea;2018;82799.0;0.0
557;South Korea;2019;-1665085.0;-0.3
558;South Korea;2020;2125852.0;0.4
559;South Korea;2021;2099065.0;0.4
560;South Korea;2022;;
561;Sweden;2012;-57045.0;0.0
562;Sweden;2013;426412.0;0.1
563;Sweden;2014;229962.0;0.1
564;Sweden;2015;;
565;Sweden;2016;882327.0;0.2
566;Sweden;2017;986059.0;0.2
567;Sweden;2018;289441.0;0.1
568;Sweden;2019;-86027.0;0.0
569;Sweden;2020;-544533.0;-0.1
570;Sweden;2021;2724975.0;0.6
571;Sweden;2022;;
572;Switzerland;2012;592887.0;0.1
573;Switzerland;2013;-110350.0;0.0
574;Switzerland;2014;-65736.0;0.0
575;Switzerland;2015;;
576;Switzerland;2016;82839.0;0.0
577;Switzerland;2017;209278.0;0.0
578;Switzerland;2018;264794.0;0.1
579;Switzerland;2019;874886.0;0.2
580;Switzerland;2020;667754.0;0.1
581;Switzerland;2021;968305.0;0.2
582;Switzerland;2022;;
583;Other countries;2012;2477395.0;0.6
584;Other countries;2013;5835931.0;1.4
585;Other countries;2014;-1778707.0;-0.4
586;Other countries;2015;;
587;Other countries;2016;-2245792.0;-0.5
588;Other countries;2017;6703751.0;1.6
589;Other countries;2018;1914096.0;0.4
590;Other countries;2019;909284.0;0.2
591;Other countries;2020;-4744520.0;-0.9
592;Other countries;2021;6171279.0;1.3
593;Other countries;2022;;
594;0 Food and live animals;2012;2002224.0;0.5
595;0 Food and live animals;2013;3824811.0;0.9
596;0 Food and live animals;2014;2102278.0;0.5
597;0 Food and live animals;2015;;
598;0 Food and live animals;2016;2303201.0;0.5
599;0 Food and live animals;2017;3651865.0;0.9
600;0 Food and live animals;2018;971874.0;0.2
601;0 Food and live animals;2019;3301702.0;0.7
602;0 Food and live animals;2020;-510838.0;-0.1
603;0 Food and live animals;2021;4837863.0;1.0
604;0 Food and live animals;2022;;
605;00 Live animals other than animals of...;2012;168922.0;0.0
606;00 Live animals other than animals of...;2013;190847.0;0.0
607;00 Live animals other than animals of...;2014;-245201.0;-0.1
608;00 Live animals other than animals of...;2015;;
609;00 Live animals other than animals of...;2016;127297.0;0.0
610;00 Live animals other than animals of...;2017;219688.0;0.1
611;00 Live animals other than animals of...;2018;-291932.0;-0.1
612;00 Live animals other than animals of...;2019;94492.0;0.0
613;00 Live animals other than animals of...;2020;-285148.0;-0.1
614;00 Live animals other than animals of...;2021;-20460.0;0.0
615;00 Live animals other than animals of...;2022;;
616;01 Meat and meat preparations;2012;512043.0;0.1
617;01 Meat and meat preparations;2013;227272.0;0.1
618;01 Meat and meat preparations;2014;275715.0;0.1
619;01 Meat and meat preparations;2015;;
620;01 Meat and meat preparations;2016;135544.0;0.0
621;01 Meat and meat preparations;2017;426400.0;0.1
622;01 Meat and meat preparations;2018;-89200.0;0.0
623;01 Meat and meat preparations;2019;873248.0;0.2
624;01 Meat and meat preparations;2020;-465249.0;-0.1
625;01 Meat and meat preparations;2021;976447.0;0.2
626;01 Meat and meat preparations;2022;;
627;02 Dairy products and birds' eggs;2012;46328.0;0.0
628;02 Dairy products and birds' eggs;2013;1029553.0;0.2
629;02 Dairy products and birds' eggs;2014;45803.0;0.0
630;02 Dairy products and birds' eggs;2015;;
631;02 Dairy products and birds' eggs;2016;155019.0;0.0
632;02 Dairy products and birds' eggs;2017;1459660.0;0.3
633;02 Dairy products and birds' eggs;2018;-271534.0;-0.1
634;02 Dairy products and birds' eggs;2019;126767.0;0.0
635;02 Dairy products and birds' eggs;2020;-253130.0;0.0
636;02 Dairy products and birds' eggs;2021;665162.0;0.1
637;02 Dairy products and birds' eggs;2022;;
638;03 Fish (not marine mammals), crustac...;2012;77597.0;0.0
639;03 Fish (not marine mammals), crustac...;2013;-5844.0;0.0
640;03 Fish (not marine mammals), crustac...;2014;277162.0;0.1
641;03 Fish (not marine mammals), crustac...;2015;;
642;03 Fish (not marine mammals), crustac...;2016;354225.0;0.1
643;03 Fish (not marine mammals), crustac...;2017;272427.0;0.1
644;03 Fish (not marine mammals), crustac...;2018;150376.0;0.0
645;03 Fish (not marine mammals), crustac...;2019;186698.0;0.0
646;03 Fish (not marine mammals), crustac...;2020;-85425.0;0.0
647;03 Fish (not marine mammals), crustac...;2021;507006.0;0.1
648;03 Fish (not marine mammals), crustac...;2022;;
649;04 Cereals and cereal preparations;2012;132387.0;0.0
650;04 Cereals and cereal preparations;2013;192948.0;0.0
651;04 Cereals and cereal preparations;2014;145149.0;0.0
652;04 Cereals and cereal preparations;2015;;
653;04 Cereals and cereal preparations;2016;99951.0;0.0
654;04 Cereals and cereal preparations;2017;154190.0;0.0
655;04 Cereals and cereal preparations;2018;227121.0;0.0
656;04 Cereals and cereal preparations;2019;272250.0;0.1
657;04 Cereals and cereal preparations;2020;-99745.0;0.0
658;04 Cereals and cereal preparations;2021;333761.0;0.1
659;04 Cereals and cereal preparations;2022;;
660;05 Vegetables and fruit;2012;438212.0;0.1
661;05 Vegetables and fruit;2013;1141726.0;0.3
662;05 Vegetables and fruit;2014;133114.0;0.0
663;05 Vegetables and fruit;2015;;
664;05 Vegetables and fruit;2016;1336012.0;0.3
665;05 Vegetables and fruit;2017;869552.0;0.2
666;05 Vegetables and fruit;2018;633303.0;0.1
667;05 Vegetables and fruit;2019;1155498.0;0.2
668;05 Vegetables and fruit;2020;131115.0;0.0
669;05 Vegetables and fruit;2021;949637.0;0.2
670;05 Vegetables and fruit;2022;;
671;06 Sugars, sugar preparations and honey;2012;123479.0;0.0
672;06 Sugars, sugar preparations and honey;2013;135025.0;0.0
673;06 Sugars, sugar preparations and honey;2014;65650.0;0.0
674;06 Sugars, sugar preparations and honey;2015;;
675;06 Sugars, sugar preparations and honey;2016;97087.0;0.0
676;06 Sugars, sugar preparations and honey;2017;110688.0;0.0
677;06 Sugars, sugar preparations and honey;2018;31142.0;0.0
678;06 Sugars, sugar preparations and honey;2019;-91858.0;0.0
679;06 Sugars, sugar preparations and honey;2020;-5433.0;0.0
680;06 Sugars, sugar preparations and honey;2021;205864.0;0.0
681;06 Sugars, sugar preparations and honey;2022;;
682;07 Coffee, tea, cocoa, spices and man...;2012;-83461.0;0.0
683;07 Coffee, tea, cocoa, spices and man...;2013;51403.0;0.0
684;07 Coffee, tea, cocoa, spices and man...;2014;799735.0;0.2
685;07 Coffee, tea, cocoa, spices and man...;2015;;
686;07 Coffee, tea, cocoa, spices and man...;2016;202921.0;0.0
687;07 Coffee, tea, cocoa, spices and man...;2017;219725.0;0.1
688;07 Coffee, tea, cocoa, spices and man...;2018;-333564.0;-0.1
689;07 Coffee, tea, cocoa, spices and man...;2019;161609.0;0.0
690;07 Coffee, tea, cocoa, spices and man...;2020;-225817.0;0.0
691;07 Coffee, tea, cocoa, spices and man...;2021;670769.0;0.1
692;07 Coffee, tea, cocoa, spices and man...;2022;;
693;08 Feeding stuff for animals (not inc...;2012;222134.0;0.1
694;08 Feeding stuff for animals (not inc...;2013;419639.0;0.1
695;08 Feeding stuff for animals (not inc...;2014;-76067.0;0.0
696;08 Feeding stuff for animals (not inc...;2015;;
697;08 Feeding stuff for animals (not inc...;2016;-473148.0;-0.1
698;08 Feeding stuff for animals (not inc...;2017;124129.0;0.0
699;08 Feeding stuff for animals (not inc...;2018;245669.0;0.1
