ID;Bronnen;Perioden;CO2_1;CH4_2;N2O_3
149;192 Aardolie-industrie;2011;10800;1.48;0.03
150;192 Aardolie-industrie;2012;10500;1.31;0.03
151;192 Aardolie-industrie;2013;10300;0.86;0.03
152;192 Aardolie-industrie;2014;10700;0.87;0.03
153;192 Aardolie-industrie;2015;11100;0.9;0.03
154;192 Aardolie-industrie;2016;10700;0.92;0.03
155;192 Aardolie-industrie;2017;10100;0.91;0.03
156;192 Aardolie-industrie;2018;10200;1.04;0.03
157;192 Aardolie-industrie;2019;11000;1.08;0.03
158;192 Aardolie-industrie;2020;10000;1.03;0.03
159;192 Aardolie-industrie;2021;10500;0.94;0.03
160;35 Energiebedrijven;1990;39500;1.53;0.38
161;35 Energiebedrijven;1991 ;39900;1.8;0.35
162;35 Energiebedrijven;1992;40500;1.89;0.34
163;35 Energiebedrijven;1993 ;41700;2.05;0.34
164;35 Energiebedrijven;1994 ;45600;2.14;0.38
165;35 Energiebedrijven;1995;47600;2.3;0.41
166;35 Energiebedrijven;1996 ;48100;2.59;0.39
167;35 Energiebedrijven;1997 ;48300;2.72;0.37
168;35 Energiebedrijven;1998 ;50100;2.81;0.39
169;35 Energiebedrijven;1999 ;47000;2.89;0.34
170;35 Energiebedrijven;2000;48200;2.96;0.38
171;35 Energiebedrijven;2001;51700;3.23;0.42
172;35 Energiebedrijven;2002;52700;3.41;0.44
173;35 Energiebedrijven;2003;53500;3.32;0.44
174;35 Energiebedrijven;2004;54700;3.69;0.45
175;35 Energiebedrijven;2005;51900;4.01;0.5
176;35 Energiebedrijven;2006;47600;3.77;0.46
177;35 Energiebedrijven;2007;50400;3.5;0.45
178;35 Energiebedrijven;2008;49800;3.56;0.43
179;35 Energiebedrijven;2009;49700;3.86;0.45
180;35 Energiebedrijven;2010;51800;4.23;0.46
181;35 Energiebedrijven;2011;47600;3.89;0.43
182;35 Energiebedrijven;2012;44600;3.3;0.46
183;35 Energiebedrijven;2013;44700;2.98;0.43
184;35 Energiebedrijven;2014;48400;2.81;0.46
185;35 Energiebedrijven;2015;52900;3.34;0.56
186;35 Energiebedrijven;2016;51700;3.49;0.52
187;35 Energiebedrijven;2017;48100;3.3;0.45
188;35 Energiebedrijven;2018;44400;3.32;0.41
189;35 Energiebedrijven;2019;41300;4.02;0.36
190;35 Energiebedrijven;2020;32300;4.7;0.36
191;35 Energiebedrijven;2021;32200;4.37;0.49
192;Nijverheid (geen energiesector);1990;40300;14.0;24.01
193;Nijverheid (geen energiesector);1991 ;42600;14.17;24.01
194;Nijverheid (geen energiesector);1992;43900;14.34;24.2
195;Nijverheid (geen energiesector);1993 ;38600;14.0;25.81
196;Nijverheid (geen energiesector);1994 ;39000;14.06;25.27
197;Nijverheid (geen energiesector);1995;35300;14.04;24.03
198;Nijverheid (geen energiesector);1996 ;36000;14.29;24.06
199;Nijverheid (geen energiesector);1997 ;35400;14.26;23.88
200;Nijverheid (geen energiesector);1998 ;34900;14.32;23.94
201;Nijverheid (geen energiesector);1999 ;34100;14.8;22.82
202;Nijverheid (geen energiesector);2000;33400;14.81;23.35
203;Nijverheid (geen energiesector);2001;32800;14.6;21.35
204;Nijverheid (geen energiesector);2002;33200;15.93;20.45
205;Nijverheid (geen energiesector);2003;33700;15.98;20.65
206;Nijverheid (geen energiesector);2004;33700;15.99;22.58
207;Nijverheid (geen energiesector);2005;33400;15.88;22.72
208;Nijverheid (geen energiesector);2006;33400;14.7;22.57
209;Nijverheid (geen energiesector);2007;34000;14.74;18.26
210;Nijverheid (geen energiesector);2008;33400;14.42;6.08
211;Nijverheid (geen energiesector);2009;30500;13.97;6.28
212;Nijverheid (geen energiesector);2010;33700;14.82;5.35
213;Nijverheid (geen energiesector);2011;32900;14.56;5.36
214;Nijverheid (geen energiesector);2012;32100;14.56;5.4
215;Nijverheid (geen energiesector);2013;31700;14.37;5.41
216;Nijverheid (geen energiesector);2014;30800;14.61;5.65
217;Nijverheid (geen energiesector);2015;30400;14.59;5.67
218;Nijverheid (geen energiesector);2016;32200;14.74;4.98
219;Nijverheid (geen energiesector);2017;33800;15.05;5.27
220;Nijverheid (geen energiesector);2018;33400;14.56;4.82
221;Nijverheid (geen energiesector);2019;32100;15.12;4.82
222;Nijverheid (geen energiesector);2020;32400;16.19;4.38
223;Nijverheid (geen energiesector);2021;32500;15.94;3.68
224;20-21 Chemie en farmaceutische industrie;1990;21500;12.25;23.82
225;20-21 Chemie en farmaceutische industrie;1991 ;23300;12.32;23.83
226;20-21 Chemie en farmaceutische industrie;1992;24800;12.4;24.01
227;20-21 Chemie en farmaceutische industrie;1993 ;19100;12.0;25.62
228;20-21 Chemie en farmaceutische industrie;1994 ;18600;12.0;25.09
229;20-21 Chemie en farmaceutische industrie;1995;16600;11.95;23.84
230;20-21 Chemie en farmaceutische industrie;1996 ;16900;12.02;23.87
231;20-21 Chemie en farmaceutische industrie;1997 ;16600;11.96;23.69
232;20-21 Chemie en farmaceutische industrie;1998 ;16500;11.9;23.74
233;20-21 Chemie en farmaceutische industrie;1999 ;16000;12.39;22.63
234;20-21 Chemie en farmaceutische industrie;2000;15700;12.42;23.15
235;20-21 Chemie en farmaceutische industrie;2001;15200;12.34;21.15
236;20-21 Chemie en farmaceutische industrie;2002;15600;13.78;20.29
237;20-21 Chemie en farmaceutische industrie;2003;16100;13.82;20.49
238;20-21 Chemie en farmaceutische industrie;2004;16000;13.88;22.42
239;20-21 Chemie en farmaceutische industrie;2005;15700;13.75;22.56
240;20-21 Chemie en farmaceutische industrie;2006;16300;12.62;22.42
241;20-21 Chemie en farmaceutische industrie;2007;16800;12.7;18.08
242;20-21 Chemie en farmaceutische industrie;2008;16500;12.31;5.88
243;20-21 Chemie en farmaceutische industrie;2009;15600;11.94;6.08
244;20-21 Chemie en farmaceutische industrie;2010;17600;12.81;5.17
245;20-21 Chemie en farmaceutische industrie;2011;16900;12.58;5.17
246;20-21 Chemie en farmaceutische industrie;2012;17000;12.71;5.21
247;20-21 Chemie en farmaceutische industrie;2013;16900;12.59;5.22
248;20-21 Chemie en farmaceutische industrie;2014;16500;12.81;5.46
249;20-21 Chemie en farmaceutische industrie;2015;15600;12.66;5.47
250;20-21 Chemie en farmaceutische industrie;2016;17200;12.75;4.78
251;20-21 Chemie en farmaceutische industrie;2017;18000;13.08;5.06
252;20-21 Chemie en farmaceutische industrie;2018;18100;12.55;4.6
253;20-21 Chemie en farmaceutische industrie;2019;17400;13.16;4.6
254;20-21 Chemie en farmaceutische industrie;2020;18900;14.29;4.17
255;20-21 Chemie en farmaceutische industrie;2021;18400;13.92;3.46
256;24 Basismetaalindustrie;1990;7500;0.42;0.03
257;24 Basismetaalindustrie;1991 ;7600;0.42;0.02
258;24 Basismetaalindustrie;1992;7200;0.42;0.02
259;24 Basismetaalindustrie;1993 ;7600;0.42;0.03
260;24 Basismetaalindustrie;1994 ;8600;0.44;0.03
261;24 Basismetaalindustrie;1995;7800;0.44;0.03
262;24 Basismetaalindustrie;1996 ;7800;0.44;0.03
263;24 Basismetaalindustrie;1997 ;7700;0.44;0.03
264;24 Basismetaalindustrie;1998 ;7200;0.44;0.03
265;24 Basismetaalindustrie;1999 ;6600;0.38;0.03
266;24 Basismetaalindustrie;2000;6400;0.35;0.02
267;24 Basismetaalindustrie;2001;6500;0.36;0.03
268;24 Basismetaalindustrie;2002;6700;0.35;0.03
269;24 Basismetaalindustrie;2003;7100;0.35;0.03
270;24 Basismetaalindustrie;2004;7200;0.35;0.03
271;24 Basismetaalindustrie;2005;7200;0.36;0.03
272;24 Basismetaalindustrie;2006;7100;0.34;0.03
273;24 Basismetaalindustrie;2007;7300;0.35;0.03
274;24 Basismetaalindustrie;2008;7300;0.34;0.03
275;24 Basismetaalindustrie;2009;6100;0.28;0.02
276;24 Basismetaalindustrie;2010;6900;0.33;0.02
277;24 Basismetaalindustrie;2011;7000;0.33;0.03
278;24 Basismetaalindustrie;2012;6400;0.31;0.03
279;24 Basismetaalindustrie;2013;6600;0.32;0.03
280;24 Basismetaalindustrie;2014;6200;0.32;0.03
281;24 Basismetaalindustrie;2015;6600;0.33;0.03
282;24 Basismetaalindustrie;2016;6600;0.33;0.03
283;24 Basismetaalindustrie;2017;7200;0.32;0.03
284;24 Basismetaalindustrie;2018;6900;0.32;0.03
285;24 Basismetaalindustrie;2019;6700;0.32;0.03
286;24 Basismetaalindustrie;2020;6100;0.3;0.02
287;24 Basismetaalindustrie;2021;6300;0.31;0.03
288;Overige industrie;1990;10800;1.29;0.16
289;Overige industrie;1991 ;11100;1.38;0.16
290;Overige industrie;1992;11300;1.48;0.16
291;Overige industrie;1993 ;11300;1.53;0.16
292;Overige industrie;1994 ;11100;1.58;0.16
293;Overige industrie;1995;10300;1.6;0.16
294;Overige industrie;1996 ;10600;1.77;0.16
295;Overige industrie;1997 ;10400;1.8;0.16
296;Overige industrie;1998 ;10500;1.93;0.16
297;Overige industrie;1999 ;10900;1.97;0.16
298;Overige industrie;2000;10700;1.98;0.17
299;Overige industrie;2001;10200;1.83;0.16
300;Overige industrie;2002;10100;1.73;0.13
301;Overige industrie;2003;9700;1.73;0.13
302;Overige industrie;2004;9600;1.68;0.13
303;Overige industrie;2005;9700;1.7;0.13
304;Overige industrie;2006;9200;1.66;0.12
305;Overige industrie;2007;9200;1.63;0.14
306;Overige industrie;2008;8800;1.7;0.17
307;Overige industrie;2009;8100;1.68;0.18
308;Overige industrie;2010;8400;1.6;0.16
309;Overige industrie;2011;8200;1.57;0.16
310;Overige industrie;2012;7900;1.46;0.16
311;Overige industrie;2013;7500;1.38;0.16
312;Overige industrie;2014;7500;1.41;0.16
313;Overige industrie;2015;7600;1.53;0.17
314;Overige industrie;2016;7800;1.59;0.17
315;Overige industrie;2017;8000;1.56;0.18
316;Overige industrie;2018;7800;1.61;0.2
317;Overige industrie;2019;7400;1.56;0.19
318;Overige industrie;2020;7000;1.53;0.18
319;Overige industrie;2021;7300;1.63;0.19
320;F Bouwnijverheid;1990;500;0.04;0.0
321;F Bouwnijverheid;1991 ;600;0.05;0.0
322;F Bouwnijverheid;1992;500;0.04;0.0
323;F Bouwnijverheid;1993 ;600;0.05;0.0
324;F Bouwnijverheid;1994 ;800;0.05;0.0
325;F Bouwnijverheid;1995;700;0.05;0.0
326;F Bouwnijverheid;1996 ;700;0.06;0.0
327;F Bouwnijverheid;1997 ;600;0.05;0.0
328;F Bouwnijverheid;1998 ;700;0.06;0.0
329;F Bouwnijverheid;1999 ;700;0.06;0.0
330;F Bouwnijverheid;2000;700;0.06;0.0
331;F Bouwnijverheid;2001;800;0.07;0.0
332;F Bouwnijverheid;2002;800;0.07;0.0
333;F Bouwnijverheid;2003;900;0.08;0.0
334;F Bouwnijverheid;2004;800;0.08;0.0
335;F Bouwnijverheid;2005;800;0.07;0.0
336;F Bouwnijverheid;2006;800;0.07;0.0
337;F Bouwnijverheid;2007;800;0.07;0.0
338;F Bouwnijverheid;2008;800;0.07;0.0
339;F Bouwnijverheid;2009;700;0.07;0.0
340;F Bouwnijverheid;2010;800;0.08;0.0
341;F Bouwnijverheid;2011;700;0.07;0.0
342;F Bouwnijverheid;2012;800;0.08;0.0
343;F Bouwnijverheid;2013;700;0.08;0.0
344;F Bouwnijverheid;2014;600;0.07;0.0
345;F Bouwnijverheid;2015;600;0.07;0.0
346;F Bouwnijverheid;2016;600;0.08;0.0
347;F Bouwnijverheid;2017;600;0.09;0.0
348;F Bouwnijverheid;2018;600;0.08;0.0
349;F Bouwnijverheid;2019;600;0.08;0.0
350;F Bouwnijverheid;2020;500;0.08;0.0
351;F Bouwnijverheid;2021;500;0.08;0.0
352;Particulier huishouden;1990;20900;21.96;0.2
353;Particulier huishouden;1991 ;24000;24.28;0.22
354;Particulier huishouden;1992;22000;22.42;0.22
355;Particulier huishouden;1993 ;23200;23.17;0.25
356;Particulier huishouden;1994 ;21700;21.83;0.24
357;Particulier huishouden;1995;23500;23.32;0.28
358;Particulier huishouden;1996 ;27300;26.53;0.34
359;Particulier huishouden;1997 ;22900;22.62;0.3
360;Particulier huishouden;1998 ;21800;21.49;0.32
361;Particulier huishouden;1999 ;20700;20.24;0.3
362;Particulier huishouden;2000;20700;20.02;0.27
363;Particulier huishouden;2001;22000;20.74;0.24
364;Particulier huishouden;2002;21200;19.93;0.24
365;Particulier huishouden;2003;21700;20.32;0.25
366;Particulier huishouden;2004;20700;19.51;0.29
367;Particulier huishouden;2005;19900;18.9;0.3
368;Particulier huishouden;2006;20100;18.68;0.32
369;Particulier huishouden;2007;17900;16.69;0.28
370;Particulier huishouden;2008;20300;18.56;0.31
371;Particulier huishouden;2009;20100;18.5;0.35
372;Particulier huishouden;2010;23400;21.32;0.37
373;Particulier huishouden;2011;18300;16.93;0.35
374;Particulier huishouden;2012;19500;18.02;0.35
375;Particulier huishouden;2013;20700;18.95;0.36
376;Particulier huishouden;2014;15500;14.55;0.34
377;Particulier huishouden;2015;16500;15.41;0.35
378;Particulier huishouden;2016;17200;15.83;0.36
379;Particulier huishouden;2017;16700;15.22;0.35
380;Particulier huishouden;2018;16600;15.05;0.38
381;Particulier huishouden;2019;16000;14.46;0.37
382;Particulier huishouden;2020;15300;13.71;0.36
383;Particulier huishouden;2021;17400;15.34;0.33
384;A,E,G-U Overige sectoren (stationair);1990;16600;1151.59;35.58
385;A,E,G-U Overige sectoren (stationair);1991 ;18700;1166.05;36.18
386;A,E,G-U Overige sectoren (stationair);1992;17700;1151.98;36.8
387;A,E,G-U Overige sectoren (stationair);1993 ;18900;1133.89;35.99
388;A,E,G-U Overige sectoren (stationair);1994 ;17600;1094.12;34.88
389;A,E,G-U Overige sectoren (stationair);1995;18000;1062.98;35.47
390;A,E,G-U Overige sectoren (stationair);1996 ;20500;1037.68;35.55
391;A,E,G-U Overige sectoren (stationair);1997 ;18100;1000.05;34.89
392;A,E,G-U Overige sectoren (stationair);1998 ;17800;972.02;32.86
393;A,E,G-U Overige sectoren (stationair);1999 ;17100;929.08;31.79
394;A,E,G-U Overige sectoren (stationair);2000;17400;888.0;29.03
395;A,E,G-U Overige sectoren (stationair);2001;17700;861.77;27.93
396;A,E,G-U Overige sectoren (stationair);2002;17000;817.2;25.79
397;A,E,G-U Overige sectoren (stationair);2003;17800;786.54;25.2
398;A,E,G-U Overige sectoren (stationair);2004;19000;772.87;24.48
399;A,E,G-U Overige sectoren (stationair);2005;18400;712.14;24.15
400;A,E,G-U Overige sectoren (stationair);2006;17800;699.45;24.61
401;A,E,G-U Overige sectoren (stationair);2007;17400;700.82;23.6
402;A,E,G-U Overige sectoren (stationair);2008;18900;706.92;23.15
403;A,E,G-U Overige sectoren (stationair);2009;19400;705.84;22.34
404;A,E,G-U Overige sectoren (stationair);2010;22100;696.22;22.25
405;A,E,G-U Overige sectoren (stationair);2011;19100;677.9;21.54
406;A,E,G-U Overige sectoren (stationair);2012;20100;662.9;20.89
407;A,E,G-U Overige sectoren (stationair);2013;20100;665.13;21.65
408;A,E,G-U Overige sectoren (stationair);2014;17100;653.0;21.92
409;A,E,G-U Overige sectoren (stationair);2015;18000;660.98;22.53
410;A,E,G-U Overige sectoren (stationair);2016;18100;666.98;22.25
411;A,E,G-U Overige sectoren (stationair);2017;18100;657.73;22.79
412;A,E,G-U Overige sectoren (stationair);2018;18000;637.18;22.55
413;A,E,G-U Overige sectoren (stationair);2019;17400;632.68;22.15
414;A,E,G-U Overige sectoren (stationair);2020;16300;622.71;22.19
415;A,E,G-U Overige sectoren (stationair);2021;17100;613.87;21.62
416;01 Landbouw (stationaire bronnen);1990;8000;583.87;32.11
417;01 Landbouw (stationaire bronnen);1991 ;9000;592.95;32.63
418;01 Landbouw (stationaire bronnen);1992;8700;589.3;33.14
419;01 Landbouw (stationaire bronnen);1993 ;9100;585.21;32.27
420;01 Landbouw (stationaire bronnen);1994 ;8400;565.64;31.13
421;01 Landbouw (stationaire bronnen);1995;8400;561.13;31.75
422;01 Landbouw (stationaire bronnen);1996 ;9300;550.17;31.81
423;01 Landbouw (stationaire bronnen);1997 ;7800;527.15;31.1
424;01 Landbouw (stationaire bronnen);1998 ;7800;518.07;29.11
425;01 Landbouw (stationaire bronnen);1999 ;7500;511.76;28.15
426;01 Landbouw (stationaire bronnen);2000;7600;494.09;25.51
427;01 Landbouw (stationaire bronnen);2001;7400;490.24;24.36
428;01 Landbouw (stationaire bronnen);2002;7000;464.71;22.32
429;01 Landbouw (stationaire bronnen);2003;7100;456.06;21.84
430;01 Landbouw (stationaire bronnen);2004;7300;455.99;21.11
431;01 Landbouw (stationaire bronnen);2005;7600;455.6;20.76
432;01 Landbouw (stationaire bronnen);2006;6900;460.84;21.26
433;01 Landbouw (stationaire bronnen);2007;7400;477.36;20.24
434;01 Landbouw (stationaire bronnen);2008;8200;496.7;19.77
435;01 Landbouw (stationaire bronnen);2009;8200;504.51;18.98
436;01 Landbouw (stationaire bronnen);2010;9700;508.24;18.92
437;01 Landbouw (stationaire bronnen);2011;8600;501.09;18.14
438;01 Landbouw (stationaire bronnen);2012;8700;495.49;17.51
439;01 Landbouw (stationaire bronnen);2013;8400;505.86;18.29
440;01 Landbouw (stationaire bronnen);2014;7200;503.47;18.55
441;01 Landbouw (stationaire bronnen);2015;7600;521.86;19.13
442;01 Landbouw (stationaire bronnen);2016;7500;533.46;18.7
443;01 Landbouw (stationaire bronnen);2017;7600;532.48;19.28
444;01 Landbouw (stationaire bronnen);2018;7800;515.76;19.02
445;01 Landbouw (stationaire bronnen);2019;7800;515.88;18.63
446;01 Landbouw (stationaire bronnen);2020;7400;512.39;18.68
447;01 Landbouw (stationaire bronnen);2021;7800;507.54;18.12
448;Diensten, afval en water;1990;8600;567.72;3.47
449;Diensten, afval en water;1991 ;9700;573.1;3.55
450;Diensten, afval en water;1992;9000;562.68;3.65
451;Diensten, afval en water;1993 ;9800;548.68;3.72
452;Diensten, afval en water;1994 ;9200;528.47;3.75
453;Diensten, afval en water;1995;9600;501.85;3.72
454;Diensten, afval en water;1996 ;11200;487.5;3.74
455;Diensten, afval en water;1997 ;10200;472.89;3.79
456;Diensten, afval en water;1998 ;10000;453.95;3.75
457;Diensten, afval en water;1999 ;9700;417.31;3.64
458;Diensten, afval en water;2000;9800;393.91;3.52
459;Diensten, afval en water;2001;10300;371.53;3.57
460;Diensten, afval en water;2002;10000;352.5;3.47
461;Diensten, afval en water;2003;10800;330.48;3.36
462;Diensten, afval en water;2004;11700;316.88;3.37
463;Diensten, afval en water;2005;10800;256.54;3.38
464;Diensten, afval en water;2006;10900;238.61;3.36
465;Diensten, afval en water;2007;10000;223.46;3.36
466;Diensten, afval en water;2008;10800;210.22;3.38
467;Diensten, afval en water;2009;11200;201.32;3.35
468;Diensten, afval en water;2010;12400;187.98;3.32
469;Diensten, afval en water;2011;10500;176.81;3.4
