ID;ArbeidsmarktpositieBijUitstroom;PeilmomentenArbeidsmarktpositie;Regiokenmerken;Perioden;InstromersTotaal_1;InstromersVolgtRegulierOnderwijs_2;InstromersGeenRegulierOnderwijs_3
51;Totaal;Op instroommoment;Zuid-Nederland (LD);Jaar van instroom: 2014;246.0;91.0;155.0
52;Totaal;Op instroommoment;Zuid-Nederland (LD);Jaar van instroom: 2015;255.0;97.0;157.0
53;Totaal;Op instroommoment;Zuid-Nederland (LD);Jaar van instroom: 2016;255.0;94.0;161.0
54;Totaal;Op instroommoment;Zuid-Nederland (LD);Jaar van instroom: 2017;258.0;94.0;164.0
55;Totaal;Op instroommoment;Niet in te delen (LD);Jaar van instroom: 2007;0.0;0.0;0.0
56;Totaal;Op instroommoment;Niet in te delen (LD);Jaar van instroom: 2008;0.0;0.0;0.0
57;Totaal;Op instroommoment;Niet in te delen (LD);Jaar van instroom: 2009;0.0;0.0;0.0
58;Totaal;Op instroommoment;Niet in te delen (LD);Jaar van instroom: 2010;0.0;0.0;0.0
59;Totaal;Op instroommoment;Niet in te delen (LD);Jaar van instroom: 2011;0.0;0.0;0.0
60;Totaal;Op instroommoment;Niet in te delen (LD);Jaar van instroom: 2012;3.0;1.0;2.0
61;Totaal;Op instroommoment;Niet in te delen (LD);Jaar van instroom: 2013;0.0;0.0;0.0
62;Totaal;Op instroommoment;Niet in te delen (LD);Jaar van instroom: 2014;7.0;3.0;4.0
63;Totaal;Op instroommoment;Niet in te delen (LD);Jaar van instroom: 2015;0.0;0.0;0.0
64;Totaal;Op instroommoment;Niet in te delen (LD);Jaar van instroom: 2016;0.0;0.0;0.0
65;Totaal;Op instroommoment;Niet in te delen (LD);Jaar van instroom: 2017;0.0;0.0;0.0
66;Totaal;Op instroommoment;Groningen (PV);Jaar van instroom: 2007;49.0;23.0;26.0
67;Totaal;Op instroommoment;Groningen (PV);Jaar van instroom: 2008;49.0;24.0;25.0
68;Totaal;Op instroommoment;Groningen (PV);Jaar van instroom: 2009;44.0;21.0;23.0
69;Totaal;Op instroommoment;Groningen (PV);Jaar van instroom: 2010;46.0;22.0;24.0
70;Totaal;Op instroommoment;Groningen (PV);Jaar van instroom: 2011;46.0;22.0;24.0
71;Totaal;Op instroommoment;Groningen (PV);Jaar van instroom: 2012;44.0;21.0;23.0
72;Totaal;Op instroommoment;Groningen (PV);Jaar van instroom: 2013;45.0;20.0;24.0
73;Totaal;Op instroommoment;Groningen (PV);Jaar van instroom: 2014;49.0;22.0;26.0
74;Totaal;Op instroommoment;Groningen (PV);Jaar van instroom: 2015;47.0;23.0;25.0
75;Totaal;Op instroommoment;Groningen (PV);Jaar van instroom: 2016;48.0;23.0;25.0
76;Totaal;Op instroommoment;Groningen (PV);Jaar van instroom: 2017;49.0;23.0;26.0
77;Totaal;Op instroommoment;Friesland (PV);Jaar van instroom: 2007;49.0;21.0;29.0
78;Totaal;Op instroommoment;Friesland (PV);Jaar van instroom: 2008;47.0;20.0;27.0
79;Totaal;Op instroommoment;Friesland (PV);Jaar van instroom: 2009;42.0;18.0;24.0
80;Totaal;Op instroommoment;Friesland (PV);Jaar van instroom: 2010;47.0;19.0;28.0
81;Totaal;Op instroommoment;Friesland (PV);Jaar van instroom: 2011;45.0;19.0;25.0
82;Totaal;Op instroommoment;Friesland (PV);Jaar van instroom: 2012;44.0;18.0;26.0
83;Totaal;Op instroommoment;Friesland (PV);Jaar van instroom: 2013;44.0;18.0;26.0
84;Totaal;Op instroommoment;Friesland (PV);Jaar van instroom: 2014;41.0;17.0;25.0
85;Totaal;Op instroommoment;Friesland (PV);Jaar van instroom: 2015;46.0;19.0;27.0
86;Totaal;Op instroommoment;Friesland (PV);Jaar van instroom: 2016;45.0;19.0;26.0
87;Totaal;Op instroommoment;Friesland (PV);Jaar van instroom: 2017;47.0;20.0;27.0
88;Totaal;Op instroommoment;Drenthe (PV);Jaar van instroom: 2007;34.0;13.0;21.0
89;Totaal;Op instroommoment;Drenthe (PV);Jaar van instroom: 2008;34.0;13.0;21.0
90;Totaal;Op instroommoment;Drenthe (PV);Jaar van instroom: 2009;30.0;11.0;18.0
91;Totaal;Op instroommoment;Drenthe (PV);Jaar van instroom: 2010;32.0;12.0;19.0
92;Totaal;Op instroommoment;Drenthe (PV);Jaar van instroom: 2011;31.0;12.0;19.0
93;Totaal;Op instroommoment;Drenthe (PV);Jaar van instroom: 2012;30.0;11.0;19.0
94;Totaal;Op instroommoment;Drenthe (PV);Jaar van instroom: 2013;32.0;11.0;20.0
95;Totaal;Op instroommoment;Drenthe (PV);Jaar van instroom: 2014;32.0;12.0;20.0
96;Totaal;Op instroommoment;Drenthe (PV);Jaar van instroom: 2015;32.0;13.0;19.0
97;Totaal;Op instroommoment;Drenthe (PV);Jaar van instroom: 2016;32.0;12.0;20.0
98;Totaal;Op instroommoment;Drenthe (PV);Jaar van instroom: 2017;33.0;12.0;20.0
99;Totaal;Op instroommoment;Overijssel (PV);Jaar van instroom: 2007;85.0;36.0;48.0
100;Totaal;Op instroommoment;Overijssel (PV);Jaar van instroom: 2008;83.0;36.0;47.0
101;Totaal;Op instroommoment;Overijssel (PV);Jaar van instroom: 2009;73.0;31.0;42.0
102;Totaal;Op instroommoment;Overijssel (PV);Jaar van instroom: 2010;81.0;34.0;47.0
103;Totaal;Op instroommoment;Overijssel (PV);Jaar van instroom: 2011;78.0;33.0;44.0
104;Totaal;Op instroommoment;Overijssel (PV);Jaar van instroom: 2012;76.0;32.0;44.0
105;Totaal;Op instroommoment;Overijssel (PV);Jaar van instroom: 2013;76.0;31.0;44.0
106;Totaal;Op instroommoment;Overijssel (PV);Jaar van instroom: 2014;82.0;32.0;50.0
107;Totaal;Op instroommoment;Overijssel (PV);Jaar van instroom: 2015;81.0;33.0;48.0
108;Totaal;Op instroommoment;Overijssel (PV);Jaar van instroom: 2016;82.0;34.0;48.0
109;Totaal;Op instroommoment;Overijssel (PV);Jaar van instroom: 2017;83.0;34.0;49.0
110;Totaal;Op instroommoment;Flevoland (PV);Jaar van instroom: 2007;36.0;13.0;22.0
111;Totaal;Op instroommoment;Flevoland (PV);Jaar van instroom: 2008;35.0;13.0;21.0
112;Totaal;Op instroommoment;Flevoland (PV);Jaar van instroom: 2009;31.0;12.0;19.0
113;Totaal;Op instroommoment;Flevoland (PV);Jaar van instroom: 2010;31.0;12.0;19.0
114;Totaal;Op instroommoment;Flevoland (PV);Jaar van instroom: 2011;32.0;12.0;19.0
115;Totaal;Op instroommoment;Flevoland (PV);Jaar van instroom: 2012;31.0;12.0;19.0
116;Totaal;Op instroommoment;Flevoland (PV);Jaar van instroom: 2013;30.0;12.0;19.0
117;Totaal;Op instroommoment;Flevoland (PV);Jaar van instroom: 2014;32.0;12.0;20.0
118;Totaal;Op instroommoment;Flevoland (PV);Jaar van instroom: 2015;34.0;13.0;21.0
119;Totaal;Op instroommoment;Flevoland (PV);Jaar van instroom: 2016;34.0;13.0;22.0
120;Totaal;Op instroommoment;Flevoland (PV);Jaar van instroom: 2017;35.0;13.0;22.0
121;Totaal;Op instroommoment;Gelderland (PV);Jaar van instroom: 2007;154.0;60.0;94.0
122;Totaal;Op instroommoment;Gelderland (PV);Jaar van instroom: 2008;145.0;59.0;86.0
123;Totaal;Op instroommoment;Gelderland (PV);Jaar van instroom: 2009;131.0;54.0;77.0
124;Totaal;Op instroommoment;Gelderland (PV);Jaar van instroom: 2010;137.0;56.0;81.0
125;Totaal;Op instroommoment;Gelderland (PV);Jaar van instroom: 2011;138.0;57.0;81.0
126;Totaal;Op instroommoment;Gelderland (PV);Jaar van instroom: 2012;130.0;52.0;78.0
127;Totaal;Op instroommoment;Gelderland (PV);Jaar van instroom: 2013;133.0;52.0;80.0
128;Totaal;Op instroommoment;Gelderland (PV);Jaar van instroom: 2014;141.0;56.0;85.0
129;Totaal;Op instroommoment;Gelderland (PV);Jaar van instroom: 2015;145.0;58.0;87.0
130;Totaal;Op instroommoment;Gelderland (PV);Jaar van instroom: 2016;145.0;58.0;87.0
131;Totaal;Op instroommoment;Gelderland (PV);Jaar van instroom: 2017;150.0;60.0;91.0
132;Totaal;Op instroommoment;Utrecht (PV);Jaar van instroom: 2007;102.0;40.0;62.0
133;Totaal;Op instroommoment;Utrecht (PV);Jaar van instroom: 2008;99.0;39.0;60.0
134;Totaal;Op instroommoment;Utrecht (PV);Jaar van instroom: 2009;88.0;36.0;52.0
135;Totaal;Op instroommoment;Utrecht (PV);Jaar van instroom: 2010;90.0;38.0;53.0
136;Totaal;Op instroommoment;Utrecht (PV);Jaar van instroom: 2011;92.0;38.0;54.0
137;Totaal;Op instroommoment;Utrecht (PV);Jaar van instroom: 2012;89.0;36.0;53.0
138;Totaal;Op instroommoment;Utrecht (PV);Jaar van instroom: 2013;88.0;35.0;53.0
139;Totaal;Op instroommoment;Utrecht (PV);Jaar van instroom: 2014;94.0;37.0;57.0
140;Totaal;Op instroommoment;Utrecht (PV);Jaar van instroom: 2015;96.0;39.0;58.0
141;Totaal;Op instroommoment;Utrecht (PV);Jaar van instroom: 2016;100.0;39.0;61.0
142;Totaal;Op instroommoment;Utrecht (PV);Jaar van instroom: 2017;102.0;39.0;62.0
143;Totaal;Op instroommoment;Noord-Holland (PV);Jaar van instroom: 2007;217.0;77.0;140.0
144;Totaal;Op instroommoment;Noord-Holland (PV);Jaar van instroom: 2008;207.0;75.0;132.0
145;Totaal;Op instroommoment;Noord-Holland (PV);Jaar van instroom: 2009;189.0;70.0;119.0
146;Totaal;Op instroommoment;Noord-Holland (PV);Jaar van instroom: 2010;197.0;75.0;122.0
147;Totaal;Op instroommoment;Noord-Holland (PV);Jaar van instroom: 2011;197.0;73.0;124.0
148;Totaal;Op instroommoment;Noord-Holland (PV);Jaar van instroom: 2012;187.0;69.0;119.0
149;Totaal;Op instroommoment;Noord-Holland (PV);Jaar van instroom: 2013;191.0;70.0;121.0
150;Totaal;Op instroommoment;Noord-Holland (PV);Jaar van instroom: 2014;201.0;72.0;129.0
151;Totaal;Op instroommoment;Noord-Holland (PV);Jaar van instroom: 2015;206.0;73.0;133.0
152;Totaal;Op instroommoment;Noord-Holland (PV);Jaar van instroom: 2016;214.0;75.0;139.0
153;Totaal;Op instroommoment;Noord-Holland (PV);Jaar van instroom: 2017;216.0;74.0;142.0
154;Totaal;Op instroommoment;Zuid-Holland (PV);Jaar van instroom: 2007;282.0;108.0;174.0
155;Totaal;Op instroommoment;Zuid-Holland (PV);Jaar van instroom: 2008;273.0;106.0;167.0
156;Totaal;Op instroommoment;Zuid-Holland (PV);Jaar van instroom: 2009;244.0;95.0;148.0
157;Totaal;Op instroommoment;Zuid-Holland (PV);Jaar van instroom: 2010;253.0;99.0;154.0
158;Totaal;Op instroommoment;Zuid-Holland (PV);Jaar van instroom: 2011;253.0;99.0;154.0
159;Totaal;Op instroommoment;Zuid-Holland (PV);Jaar van instroom: 2012;239.0;94.0;145.0
160;Totaal;Op instroommoment;Zuid-Holland (PV);Jaar van instroom: 2013;244.0;93.0;151.0
161;Totaal;Op instroommoment;Zuid-Holland (PV);Jaar van instroom: 2014;251.0;95.0;156.0
162;Totaal;Op instroommoment;Zuid-Holland (PV);Jaar van instroom: 2015;260.0;102.0;158.0
163;Totaal;Op instroommoment;Zuid-Holland (PV);Jaar van instroom: 2016;270.0;103.0;167.0
164;Totaal;Op instroommoment;Zuid-Holland (PV);Jaar van instroom: 2017;282.0;106.0;177.0
165;Totaal;Op instroommoment;Zeeland (PV);Jaar van instroom: 2007;27.0;10.0;17.0
166;Totaal;Op instroommoment;Zeeland (PV);Jaar van instroom: 2008;26.0;10.0;16.0
167;Totaal;Op instroommoment;Zeeland (PV);Jaar van instroom: 2009;23.0;9.0;15.0
168;Totaal;Op instroommoment;Zeeland (PV);Jaar van instroom: 2010;25.0;9.0;15.0
169;Totaal;Op instroommoment;Zeeland (PV);Jaar van instroom: 2011;24.0;9.0;15.0
170;Totaal;Op instroommoment;Zeeland (PV);Jaar van instroom: 2012;24.0;9.0;15.0
171;Totaal;Op instroommoment;Zeeland (PV);Jaar van instroom: 2013;24.0;8.0;16.0
172;Totaal;Op instroommoment;Zeeland (PV);Jaar van instroom: 2014;24.0;8.0;15.0
173;Totaal;Op instroommoment;Zeeland (PV);Jaar van instroom: 2015;24.0;9.0;15.0
174;Totaal;Op instroommoment;Zeeland (PV);Jaar van instroom: 2016;24.0;9.0;15.0
175;Totaal;Op instroommoment;Zeeland (PV);Jaar van instroom: 2017;25.0;9.0;16.0
176;Totaal;Op instroommoment;Noord-Brabant (PV);Jaar van instroom: 2007;182.0;70.0;113.0
177;Totaal;Op instroommoment;Noord-Brabant (PV);Jaar van instroom: 2008;175.0;68.0;106.0
178;Totaal;Op instroommoment;Noord-Brabant (PV);Jaar van instroom: 2009;156.0;63.0;93.0
179;Totaal;Op instroommoment;Noord-Brabant (PV);Jaar van instroom: 2010;168.0;66.0;102.0
180;Totaal;Op instroommoment;Noord-Brabant (PV);Jaar van instroom: 2011;167.0;66.0;101.0
181;Totaal;Op instroommoment;Noord-Brabant (PV);Jaar van instroom: 2012;160.0;63.0;97.0
182;Totaal;Op instroommoment;Noord-Brabant (PV);Jaar van instroom: 2013;164.0;61.0;103.0
183;Totaal;Op instroommoment;Noord-Brabant (PV);Jaar van instroom: 2014;171.0;64.0;106.0
184;Totaal;Op instroommoment;Noord-Brabant (PV);Jaar van instroom: 2015;179.0;70.0;110.0
185;Totaal;Op instroommoment;Noord-Brabant (PV);Jaar van instroom: 2016;178.0;67.0;111.0
186;Totaal;Op instroommoment;Noord-Brabant (PV);Jaar van instroom: 2017;182.0;67.0;115.0
187;Totaal;Op instroommoment;Limburg (PV);Jaar van instroom: 2007;84.0;31.0;53.0
188;Totaal;Op instroommoment;Limburg (PV);Jaar van instroom: 2008;78.0;31.0;47.0
189;Totaal;Op instroommoment;Limburg (PV);Jaar van instroom: 2009;70.0;28.0;41.0
190;Totaal;Op instroommoment;Limburg (PV);Jaar van instroom: 2010;76.0;30.0;46.0
191;Totaal;Op instroommoment;Limburg (PV);Jaar van instroom: 2011;75.0;29.0;45.0
192;Totaal;Op instroommoment;Limburg (PV);Jaar van instroom: 2012;73.0;28.0;45.0
193;Totaal;Op instroommoment;Limburg (PV);Jaar van instroom: 2013;74.0;27.0;47.0
194;Totaal;Op instroommoment;Limburg (PV);Jaar van instroom: 2014;75.0;27.0;48.0
195;Totaal;Op instroommoment;Limburg (PV);Jaar van instroom: 2015;75.0;28.0;48.0
196;Totaal;Op instroommoment;Limburg (PV);Jaar van instroom: 2016;76.0;27.0;49.0
197;Totaal;Op instroommoment;Limburg (PV);Jaar van instroom: 2017;75.0;27.0;49.0
198;Totaal;Op instroommoment;Niet in te delen (PV);Jaar van instroom: 2007;0.0;0.0;0.0
199;Totaal;Op instroommoment;Niet in te delen (PV);Jaar van instroom: 2008;0.0;0.0;0.0
200;Totaal;Op instroommoment;Niet in te delen (PV);Jaar van instroom: 2009;0.0;0.0;0.0
201;Totaal;Op instroommoment;Niet in te delen (PV);Jaar van instroom: 2010;0.0;0.0;0.0
202;Totaal;Op instroommoment;Niet in te delen (PV);Jaar van instroom: 2011;0.0;0.0;0.0
203;Totaal;Op instroommoment;Niet in te delen (PV);Jaar van instroom: 2012;3.0;1.0;2.0
204;Totaal;Op instroommoment;Niet in te delen (PV);Jaar van instroom: 2013;0.0;0.0;0.0
205;Totaal;Op instroommoment;Niet in te delen (PV);Jaar van instroom: 2014;7.0;3.0;4.0
206;Totaal;Op instroommoment;Niet in te delen (PV);Jaar van instroom: 2015;0.0;0.0;0.0
207;Totaal;Op instroommoment;Niet in te delen (PV);Jaar van instroom: 2016;0.0;0.0;0.0
208;Totaal;Op instroommoment;Niet in te delen (PV);Jaar van instroom: 2017;0.0;0.0;0.0
209;Totaal;Op instroommoment;Oost-Groningen (CR);Jaar van instroom: 2007;10.0;4.0;6.0
210;Totaal;Op instroommoment;Oost-Groningen (CR);Jaar van instroom: 2008;10.0;4.0;7.0
211;Totaal;Op instroommoment;Oost-Groningen (CR);Jaar van instroom: 2009;9.0;3.0;6.0
212;Totaal;Op instroommoment;Oost-Groningen (CR);Jaar van instroom: 2010;9.0;3.0;6.0
213;Totaal;Op instroommoment;Oost-Groningen (CR);Jaar van instroom: 2011;9.0;3.0;6.0
214;Totaal;Op instroommoment;Oost-Groningen (CR);Jaar van instroom: 2012;9.0;3.0;6.0
215;Totaal;Op instroommoment;Oost-Groningen (CR);Jaar van instroom: 2013;9.0;3.0;6.0
216;Totaal;Op instroommoment;Oost-Groningen (CR);Jaar van instroom: 2014;10.0;3.0;7.0
217;Totaal;Op instroommoment;Oost-Groningen (CR);Jaar van instroom: 2015;9.0;4.0;6.0
218;Totaal;Op instroommoment;Oost-Groningen (CR);Jaar van instroom: 2016;9.0;3.0;6.0
219;Totaal;Op instroommoment;Oost-Groningen (CR);Jaar van instroom: 2017;10.0;3.0;6.0
220;Totaal;Op instroommoment;Delfzijl en omgeving (CR);Jaar van instroom: 2007;4.0;2.0;2.0
221;Totaal;Op instroommoment;Delfzijl en omgeving (CR);Jaar van instroom: 2008;3.0;1.0;2.0
222;Totaal;Op instroommoment;Delfzijl en omgeving (CR);Jaar van instroom: 2009;3.0;1.0;2.0
223;Totaal;Op instroommoment;Delfzijl en omgeving (CR);Jaar van instroom: 2010;3.0;1.0;2.0
224;Totaal;Op instroommoment;Delfzijl en omgeving (CR);Jaar van instroom: 2011;3.0;1.0;2.0
225;Totaal;Op instroommoment;Delfzijl en omgeving (CR);Jaar van instroom: 2012;3.0;1.0;2.0
226;Totaal;Op instroommoment;Delfzijl en omgeving (CR);Jaar van instroom: 2013;3.0;1.0;2.0
227;Totaal;Op instroommoment;Delfzijl en omgeving (CR);Jaar van instroom: 2014;3.0;1.0;2.0
228;Totaal;Op instroommoment;Delfzijl en omgeving (CR);Jaar van instroom: 2015;3.0;1.0;2.0
229;Totaal;Op instroommoment;Delfzijl en omgeving (CR);Jaar van instroom: 2016;3.0;1.0;2.0
230;Totaal;Op instroommoment;Delfzijl en omgeving (CR);Jaar van instroom: 2017;3.0;1.0;2.0
231;Totaal;Op instroommoment;Overig Groningen (CR);Jaar van instroom: 2007;35.0;18.0;17.0
232;Totaal;Op instroommoment;Overig Groningen (CR);Jaar van instroom: 2008;35.0;18.0;17.0
233;Totaal;Op instroommoment;Overig Groningen (CR);Jaar van instroom: 2009;32.0;17.0;15.0
234;Totaal;Op instroommoment;Overig Groningen (CR);Jaar van instroom: 2010;33.0;18.0;16.0
235;Totaal;Op instroommoment;Overig Groningen (CR);Jaar van instroom: 2011;33.0;17.0;16.0
236;Totaal;Op instroommoment;Overig Groningen (CR);Jaar van instroom: 2012;32.0;16.0;16.0
237;Totaal;Op instroommoment;Overig Groningen (CR);Jaar van instroom: 2013;33.0;16.0;16.0
238;Totaal;Op instroommoment;Overig Groningen (CR);Jaar van instroom: 2014;35.0;18.0;17.0
239;Totaal;Op instroommoment;Overig Groningen (CR);Jaar van instroom: 2015;35.0;18.0;17.0
240;Totaal;Op instroommoment;Overig Groningen (CR);Jaar van instroom: 2016;36.0;18.0;18.0
241;Totaal;Op instroommoment;Overig Groningen (CR);Jaar van instroom: 2017;36.0;18.0;18.0
242;Totaal;Op instroommoment;Noord-Friesland (CR);Jaar van instroom: 2007;26.0;11.0;15.0
243;Totaal;Op instroommoment;Noord-Friesland (CR);Jaar van instroom: 2008;25.0;11.0;14.0
244;Totaal;Op instroommoment;Noord-Friesland (CR);Jaar van instroom: 2009;22.0;10.0;12.0
245;Totaal;Op instroommoment;Noord-Friesland (CR);Jaar van instroom: 2010;25.0;11.0;14.0
246;Totaal;Op instroommoment;Noord-Friesland (CR);Jaar van instroom: 2011;24.0;11.0;13.0
247;Totaal;Op instroommoment;Noord-Friesland (CR);Jaar van instroom: 2012;24.0;10.0;13.0
248;Totaal;Op instroommoment;Noord-Friesland (CR);Jaar van instroom: 2013;24.0;10.0;13.0
249;Totaal;Op instroommoment;Noord-Friesland (CR);Jaar van instroom: 2014;23.0;10.0;13.0
250;Totaal;Op instroommoment;Noord-Friesland (CR);Jaar van instroom: 2015;24.0;10.0;14.0
251;Totaal;Op instroommoment;Noord-Friesland (CR);Jaar van instroom: 2016;24.0;11.0;13.0
252;Totaal;Op instroommoment;Noord-Friesland (CR);Jaar van instroom: 2017;24.0;11.0;14.0
253;Totaal;Op instroommoment;Zuidwest-Friesland (CR);Jaar van instroom: 2007;8.0;3.0;5.0
254;Totaal;Op instroommoment;Zuidwest-Friesland (CR);Jaar van instroom: 2008;7.0;3.0;4.0
255;Totaal;Op instroommoment;Zuidwest-Friesland (CR);Jaar van instroom: 2009;7.0;3.0;4.0
256;Totaal;Op instroommoment;Zuidwest-Friesland (CR);Jaar van instroom: 2010;8.0;3.0;4.0
257;Totaal;Op instroommoment;Zuidwest-Friesland (CR);Jaar van instroom: 2011;7.0;3.0;4.0
258;Totaal;Op instroommoment;Zuidwest-Friesland (CR);Jaar van instroom: 2012;7.0;3.0;4.0
259;Totaal;Op instroommoment;Zuidwest-Friesland (CR);Jaar van instroom: 2013;7.0;3.0;4.0
260;Totaal;Op instroommoment;Zuidwest-Friesland (CR);Jaar van instroom: 2014;6.0;2.0;3.0
261;Totaal;Op instroommoment;Zuidwest-Friesland (CR);Jaar van instroom: 2015;9.0;4.0;6.0
262;Totaal;Op instroommoment;Zuidwest-Friesland (CR);Jaar van instroom: 2016;9.0;4.0;6.0
263;Totaal;Op instroommoment;Zuidwest-Friesland (CR);Jaar van instroom: 2017;10.0;4.0;6.0
264;Totaal;Op instroommoment;Zuidoost-Friesland (CR);Jaar van instroom: 2007;15.0;6.0;9.0
265;Totaal;Op instroommoment;Zuidoost-Friesland (CR);Jaar van instroom: 2008;15.0;6.0;9.0
266;Totaal;Op instroommoment;Zuidoost-Friesland (CR);Jaar van instroom: 2009;13.0;5.0;8.0
267;Totaal;Op instroommoment;Zuidoost-Friesland (CR);Jaar van instroom: 2010;14.0;6.0;9.0
268;Totaal;Op instroommoment;Zuidoost-Friesland (CR);Jaar van instroom: 2011;13.0;5.0;8.0
269;Totaal;Op instroommoment;Zuidoost-Friesland (CR);Jaar van instroom: 2012;13.0;5.0;8.0
270;Totaal;Op instroommoment;Zuidoost-Friesland (CR);Jaar van instroom: 2013;13.0;5.0;8.0
271;Totaal;Op instroommoment;Zuidoost-Friesland (CR);Jaar van instroom: 2014;12.0;5.0;8.0
