ID;AreasCivilEngineeringWorks;Periods;InputPriceIndices_1;ChangesComparedTo1YearEarlier_2
234;4213  Bridges and tunnels;2018 July;111.9;3.6
235;4213  Bridges and tunnels;2018 October;112.5;2.5
236;4213  Bridges and tunnels;2019 January;113.4;2.4
237;4213  Bridges and tunnels;2019 April;112.9;1.9
238;4213  Bridges and tunnels;2019 July;114.2;2.1
239;4213  Bridges and tunnels;2019 October;113.4;0.8
240;4221  Constructions for fluids;2008 January;97.5;
241;4221  Constructions for fluids;2008 April;99.1;
242;4221  Constructions for fluids;2008 July;102.4;
243;4221  Constructions for fluids;2008 October;101.8;
244;4221  Constructions for fluids;2009 January;101.1;3.7
245;4221  Constructions for fluids;2009 April;100.4;1.3
246;4221  Constructions for fluids;2009 July;99.9;-2.5
247;4221  Constructions for fluids;2009 October;99.3;-2.4
248;4221  Constructions for fluids;2010 January;99.2;-1.9
249;4221  Constructions for fluids;2010 April;99.9;-0.5
250;4221  Constructions for fluids;2010 July;100.3;0.4
251;4221  Constructions for fluids;2010 October;100.2;0.9
252;4221  Constructions for fluids;2011 January;101.2;2.0
253;4221  Constructions for fluids;2011 April;102.4;2.5
254;4221  Constructions for fluids;2011 July;102.7;2.4
255;4221  Constructions for fluids;2011 October;102.8;2.5
256;4221  Constructions for fluids;2012 January;104.3;3.0
257;4221  Constructions for fluids;2012 April;104.8;2.4
258;4221  Constructions for fluids;2012 July;105.1;2.3
259;4221  Constructions for fluids;2012 October;106.1;3.2
260;4221  Constructions for fluids;2013 January;105.9;1.6
261;4221  Constructions for fluids;2013 April;105.7;0.9
262;4221  Constructions for fluids;2013 July;106.2;1.1
263;4221  Constructions for fluids;2013 October;106.0;0.0
264;4221  Constructions for fluids;2014 January;106.6;0.6
265;4221  Constructions for fluids;2014 April;106.0;0.3
266;4221  Constructions for fluids;2014 July;106.3;0.1
267;4221  Constructions for fluids;2014 October;106.9;0.8
268;4221  Constructions for fluids;2015 January;106.0;-0.5
269;4221  Constructions for fluids;2015 April;106.4;0.3
270;4221  Constructions for fluids;2015 July;107.0;0.6
271;4221  Constructions for fluids;2015 October;106.5;-0.4
272;4221  Constructions for fluids;2016 January;105.7;-0.3
273;4221  Constructions for fluids;2016 April;105.1;-1.2
274;4221  Constructions for fluids;2016 July;106.7;-0.3
275;4221  Constructions for fluids;2016 October;108.3;1.7
276;4221  Constructions for fluids;2017 January;108.1;2.3
277;4221  Constructions for fluids;2017 April;108.7;3.3
278;4221  Constructions for fluids;2017 July;108.4;1.6
279;4221  Constructions for fluids;2017 October;108.4;0.2
280;4221  Constructions for fluids;2018 January;110.5;2.3
281;4221  Constructions for fluids;2018 April;111.1;2.3
282;4221  Constructions for fluids;2018 July;111.9;3.3
283;4221  Constructions for fluids;2018 October;114.2;5.3
284;4221  Constructions for fluids;2019 January;113.9;3.1
285;4221  Constructions for fluids;2019 April;115.3;3.8
286;4221  Constructions for fluids;2019 July;116.0;3.6
287;4221  Constructions for fluids;2019 October;116.1;1.7
288;4291  Constructions for water projects;2008 January;94.5;
289;4291  Constructions for water projects;2008 April;97.3;
290;4291  Constructions for water projects;2008 July;102.6;
291;4291  Constructions for water projects;2008 October;99.4;
292;4291  Constructions for water projects;2009 January;94.6;0.1
293;4291  Constructions for water projects;2009 April;93.9;-3.6
294;4291  Constructions for water projects;2009 July;95.0;-7.4
295;4291  Constructions for water projects;2009 October;95.7;-3.7
296;4291  Constructions for water projects;2010 January;97.4;3.0
297;4291  Constructions for water projects;2010 April;100.1;6.7
298;4291  Constructions for water projects;2010 July;100.2;5.5
299;4291  Constructions for water projects;2010 October;100.7;5.2
300;4291  Constructions for water projects;2011 January;103.6;6.3
301;4291  Constructions for water projects;2011 April;106.7;6.6
302;4291  Constructions for water projects;2011 July;106.5;6.3
303;4291  Constructions for water projects;2011 October;106.8;6.0
304;4291  Constructions for water projects;2012 January;108.6;4.9
305;4291  Constructions for water projects;2012 April;110.0;3.1
306;4291  Constructions for water projects;2012 July;109.4;2.7
307;4291  Constructions for water projects;2012 October;110.7;3.7
308;4291  Constructions for water projects;2013 January;110.5;1.8
309;4291  Constructions for water projects;2013 April;109.7;-0.3
310;4291  Constructions for water projects;2013 July;110.5;1.0
311;4291  Constructions for water projects;2013 October;110.1;-0.6
312;4291  Constructions for water projects;2014 January;110.9;0.3
313;4291  Constructions for water projects;2014 April;110.5;0.8
314;4291  Constructions for water projects;2014 July;110.6;0.1
315;4291  Constructions for water projects;2014 October;110.0;-0.1
316;4291  Constructions for water projects;2015 January;104.4;-5.9
317;4291  Constructions for water projects;2015 April;105.7;-4.4
318;4291  Constructions for water projects;2015 July;106.1;-4.1
319;4291  Constructions for water projects;2015 October;104.0;-5.4
320;4291  Constructions for water projects;2016 January;99.9;-4.2
321;4291  Constructions for water projects;2016 April;101.5;-3.9
322;4291  Constructions for water projects;2016 July;105.1;-1.0
323;4291  Constructions for water projects;2016 October;105.6;1.6
324;4291  Constructions for water projects;2017 January;108.4;8.5
325;4291  Constructions for water projects;2017 April;107.7;6.1
326;4291  Constructions for water projects;2017 July;106.2;1.1
327;4291  Constructions for water projects;2017 October;107.9;2.1
328;4291  Constructions for water projects;2018 January;110.7;2.1
329;4291  Constructions for water projects;2018 April;110.5;2.6
330;4291  Constructions for water projects;2018 July;113.6;6.9
331;4291  Constructions for water projects;2018 October;116.7;8.2
332;4291  Constructions for water projects;2019 January;113.8;2.8
333;4291  Constructions for water projects;2019 April;114.8;3.8
334;4291  Constructions for water projects;2019 July;115.6;1.8
335;4291  Constructions for water projects;2019 October;115.7;-0.8
336;4312  Site preparation works;2008 January;93.6;
337;4312  Site preparation works;2008 April;95.3;
338;4312  Site preparation works;2008 July;99.4;
339;4312  Site preparation works;2008 October;97.7;
340;4312  Site preparation works;2009 January;95.5;2.0
341;4312  Site preparation works;2009 April;95.3;0.0
342;4312  Site preparation works;2009 July;96.4;-3.0
343;4312  Site preparation works;2009 October;96.9;-0.7
344;4312  Site preparation works;2010 January;98.3;3.0
345;4312  Site preparation works;2010 April;100.1;5.1
346;4312  Site preparation works;2010 July;99.9;3.6
347;4312  Site preparation works;2010 October;100.4;3.5
348;4312  Site preparation works;2011 January;102.9;4.6
349;4312  Site preparation works;2011 April;105.1;5.0
350;4312  Site preparation works;2011 July;105.0;5.1
351;4312  Site preparation works;2011 October;105.4;5.0
352;4312  Site preparation works;2012 January;106.7;3.7
353;4312  Site preparation works;2012 April;107.3;2.1
354;4312  Site preparation works;2012 July;106.9;1.8
355;4312  Site preparation works;2012 October;107.5;2.0
356;4312  Site preparation works;2013 January;108.0;1.2
357;4312  Site preparation works;2013 April;106.9;-0.3
358;4312  Site preparation works;2013 July;107.8;0.9
359;4312  Site preparation works;2013 October;107.4;-0.1
360;4312  Site preparation works;2014 January;107.8;-0.2
361;4312  Site preparation works;2014 April;107.5;0.5
362;4312  Site preparation works;2014 July;108.2;0.4
363;4312  Site preparation works;2014 October;107.5;0.1
364;4312  Site preparation works;2015 January;103.6;-3.9
365;4312  Site preparation works;2015 April;104.4;-2.9
366;4312  Site preparation works;2015 July;104.7;-3.2
367;4312  Site preparation works;2015 October;103.3;-3.9
368;4312  Site preparation works;2016 January;101.0;-2.5
369;4312  Site preparation works;2016 April;102.1;-2.2
370;4312  Site preparation works;2016 July;104.3;-0.4
371;4312  Site preparation works;2016 October;104.9;1.5
372;4312  Site preparation works;2017 January;107.1;6.0
373;4312  Site preparation works;2017 April;105.5;3.3
374;4312  Site preparation works;2017 July;103.7;-0.6
375;4312  Site preparation works;2017 October;104.4;-0.5
376;4312  Site preparation works;2018 January;109.4;2.2
377;4312  Site preparation works;2018 April;107.7;2.1
378;4312  Site preparation works;2018 July;110.8;6.8
379;4312  Site preparation works;2018 October;114.7;9.9
380;4312  Site preparation works;2019 January;114.0;4.1
381;4312  Site preparation works;2019 April;115.2;6.9
382;4312  Site preparation works;2019 July;113.7;2.6
383;4312  Site preparation works;2019 October;116.1;1.2
384;4321  Electrical installation works;2008 January;95.9;
385;4321  Electrical installation works;2008 April;97.0;
386;4321  Electrical installation works;2008 July;98.9;
387;4321  Electrical installation works;2008 October;100.3;
388;4321  Electrical installation works;2009 January;98.2;2.4
389;4321  Electrical installation works;2009 April;97.9;0.9
390;4321  Electrical installation works;2009 July;97.7;-1.2
391;4321  Electrical installation works;2009 October;97.8;-2.5
392;4321  Electrical installation works;2010 January;98.7;0.5
393;4321  Electrical installation works;2010 April;99.8;2.0
394;4321  Electrical installation works;2010 July;100.1;2.5
395;4321  Electrical installation works;2010 October;100.0;2.3
396;4321  Electrical installation works;2011 January;101.9;3.3
397;4321  Electrical installation works;2011 April;101.9;2.2
398;4321  Electrical installation works;2011 July;102.3;2.2
399;4321  Electrical installation works;2011 October;101.8;1.9
400;4321  Electrical installation works;2012 January;103.0;1.0
401;4321  Electrical installation works;2012 April;103.2;1.3
402;4321  Electrical installation works;2012 July;103.8;1.5
403;4321  Electrical installation works;2012 October;103.6;1.7
404;4321  Electrical installation works;2013 January;103.7;0.7
405;4321  Electrical installation works;2013 April;103.2;0.0
406;4321  Electrical installation works;2013 July;102.7;-1.1
407;4321  Electrical installation works;2013 October;102.3;-1.3
408;4321  Electrical installation works;2014 January;102.8;-0.9
409;4321  Electrical installation works;2014 April;102.4;-0.8
410;4321  Electrical installation works;2014 July;102.6;-0.1
411;4321  Electrical installation works;2014 October;103.8;1.5
412;4321  Electrical installation works;2015 January;105.0;2.2
413;4321  Electrical installation works;2015 April;107.1;4.6
414;4321  Electrical installation works;2015 July;106.8;4.1
415;4321  Electrical installation works;2015 October;106.2;2.3
416;4321  Electrical installation works;2016 January;107.4;2.3
417;4321  Electrical installation works;2016 April;106.8;-0.2
418;4321  Electrical installation works;2016 July;107.3;0.4
419;4321  Electrical installation works;2016 October;107.6;1.3
420;4321  Electrical installation works;2017 January;111.2;3.6
421;4321  Electrical installation works;2017 April;110.9;3.8
422;4321  Electrical installation works;2017 July;110.0;2.5
423;4321  Electrical installation works;2017 October;110.5;2.7
424;4321  Electrical installation works;2018 January;111.2;0.0
425;4321  Electrical installation works;2018 April;112.0;1.0
426;4321  Electrical installation works;2018 July;113.3;3.0
427;4321  Electrical installation works;2018 October;114.0;3.2
428;4321  Electrical installation works;2019 January;114.3;2.8
429;4321  Electrical installation works;2019 April;114.9;2.6
430;4321  Electrical installation works;2019 July;115.5;2.0
431;4321  Electrical installation works;2019 October;115.6;1.4
