ID;Perioden;TotaalLedenVakverenigingen_1;FNV_2;NVV_3;NKV_4;CNV_5;VCP_6;EVC_7;AVC_8;OverigeVakverenigingen_9
32;1933;829.0;529.0;336.0;193.0;115.0;;;;185.0
33;1934;796.0;512.0;322.0;190.0;116.0;;;;168.0
34;1935;752.0;479.0;299.0;180.0;113.0;;;;161.0
35;1936;728.0;459.0;286.0;174.0;109.0;;;;160.0
36;1937;724.0;451.0;283.0;168.0;108.0;;;;164.0
37;1938;743.0;464.0;294.0;170.0;110.0;;;;169.0
38;1939;769.0;483.0;306.0;177.0;114.0;;;;172.0
39;1940;798.0;505.0;319.0;186.0;119.0;;;;174.0
40;1941;724.0;505.0;331.0;173.0;113.0;;;;106.0
41;1942;;;;;;;;;
42;1943;;;;;;;;;
43;1944;;;;;;;;;
44;1945;;;;;;;;;
45;1946;805.0;425.0;243.0;183.0;94.0;;162.0;;123.0
46;1947;961.0;525.0;300.0;225.0;119.0;;169.0;;147.0
47;1948;1053.0;582.0;331.0;252.0;132.0;;177.0;;162.0
48;1949;1106.0;634.0;365.0;269.0;148.0;;163.0;;161.0
49;1950;1160.0;678.0;382.0;296.0;156.0;;163.0;;163.0
50;1951;1214.0;717.0;406.0;311.0;167.0;;164.0;;167.0
51;1952;1258.0;742.0;421.0;322.0;175.0;;164.0;;177.0
52;1953;1138.0;770.0;436.0;335.0;182.0;;;;185.0
53;1954;1185.0;801.0;454.0;347.0;191.0;;;;192.0
54;1955;1221.0;824.0;463.0;361.0;200.0;;;;198.0
55;1956;1258.0;850.0;468.0;382.0;206.0;;;;202.0
56;1957;1335.0;912.0;500.0;412.0;216.0;;;;206.0
57;1958;1332.0;881.0;486.0;395.0;219.0;;;;232.0
58;1959;1333.0;873.0;477.0;396.0;218.0;;;;242.0
59;1960;1354.0;887.0;487.0;400.0;219.0;;;;248.0
60;1961;1399.0;919.0;507.0;412.0;224.0;;;;256.0
61;1962;1420.0;925.0;508.0;418.0;225.0;;;;269.0
62;1963;1434.0;931.0;513.0;418.0;227.0;;;;277.0
63;1964;1471.0;950.0;529.0;421.0;229.0;;;;292.0
64;1965;1462.0;933.0;526.0;407.0;229.0;;;;300.0
65;1966;1487.0;947.0;536.0;411.0;234.0;;;;306.0
66;1967;1534.0;982.0;556.0;426.0;239.0;;;;314.0
67;1968;1545.0;988.0;559.0;428.0;241.0;;;;317.0
68;1969;1531.0;966.0;556.0;411.0;240.0;;;;324.0
69;1970;1524.0;963.0;563.0;400.0;239.0;;;;323.0
70;1971;1578.0;1017.0;613.0;405.0;238.0;;;;323.0
71;1972;1617.0;1023.0;624.0;400.0;239.0;;;;354.0
72;1973;1654.0;1053.0;657.0;396.0;235.0;;;;366.0
73;1974;1684.0;1069.0;671.0;398.0;231.0;;;;384.0
74;1975;1710.0;1044.0;684.0;360.0;228.0;123.0;;;314.0
75;1976;1725.0;1055.0;703.0;353.0;230.0;112.0;;;328.0
76;1977;1769.0;1067.0;720.0;347.0;259.0;114.0;;;329.0
77;1978;1786.0;1070.0;731.0;340.0;294.0;114.0;;;307.0
78;1979;1792.0;1078.0;746.0;332.0;301.0;117.0;;;296.0
79;1980;1790.0;1078.0;752.0;326.0;304.0;118.0;;;289.0
80;1981;1737.0;1042.0;734.0;308.0;297.0;115.0;;;282.0
81;1982;1724.0;1016.0;;;342.0;113.0;;;253.0
82;1983;1646.0;979.0;;;332.0;112.0;;;224.0
83;1984;1583.0;933.0;;;311.0;110.0;;;229.0
84;1985;1541.0;899.0;;;300.0;108.0;;;234.0
85;1986;1542.0;893.0;;;298.0;108.0;;;244.0
86;1987;1554.0;896.0;;;294.0;111.0;;;253.0
87;1988;1571.0;906.0;;;292.0;117.0;;;257.0
88;1989;1615.0;937.0;;;295.0;122.0;;;260.0
89;1990;1653.0;975.0;;;302.0;125.0;;;251.0
90;1991;1707.0;1025.0;;;309.0;133.0;;;241.0
91;1992;1773.0;1068.0;;;320.0;142.0;;;242.0
92;1993;1810.0;1092.0;;;327.0;146.0;;107.0;138.0
93;1994;1840.0;1111.0;;;338.0;156.0;;111.0;124.0
94;1995;1873.0;1147.0;;;344.0;159.0;;112.0;110.0
95;1996;1889.0;1162.0;;;350.0;162.0;;106.0;109.0
96;1997;1902.0;1194.0;;;354.0;161.0;;21.0;172.0
97;1998;1914.0;1224.0;;;357.0;186.0;;;148.0
98;1999;1935.0;1233.0;;;361.0;219.0;;;123.0
99;2000;1912.0;1225.0;;;357.0;207.0;;;124.0
100;2001;1919.0;1223.0;;;356.0;215.0;;;125.0
101;2002;1923.0;1225.0;;;354.0;200.0;;;144.0
102;2003;1921.0;1205.0;;;355.0;169.0;;;191.0
103;2005;1899.0;1194.0;;;347.0;159.0;;;199.0
104;2006;1866.0;1171.0;;;342.0;161.0;;;192.0
105;2007;1878.0;1182.0;;;335.0;167.0;;;194.0
106;2008;1898.0;1192.0;;;334.0;169.0;;;203.0
107;2009;1887.0;1197.0;;;336.0;135.0;;;219.0
108;2010;1870.0;1198.0;;;336.0;129.0;;;207.0
109;2011;1876.0;1197.0;;;341.0;130.0;;;207.0
110;2012;1849.0;1180.0;;;341.0;132.0;;;196.0
111;2013;1792.0;1142.0;;;291.0;65.0;;;294.0
112;2014;1762.0;1132.0;;;287.0;54.0;;;289.0
113;2015;1734.0;1095.0;;;289.0;103.0;;;248.0
114;2016;1717.0;1078.0;;;282.0;100.0;;;257.0
115;2017;1703.0;1060.0;;;262.0;151.0;;;229.0
116;2019;1602.0;1014.0;;;236.0;164.0;;;188.0
117;2021;1504.0;916.0;;;225.0;163.0;;;200.0
118;2023;1441.0;877.0;;;210.0;153.0;;;202.0
