ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;NettoOmzet_26;TotaalVerleendeDiensten_27;BurgelijkeEnUtiliteitsbouw_28;StedebouwVerkeerskundeED_29;GrondWegEnWaterbouw_30;ElectroInstallatietechniekED_31;WerktuigMachineEnApparatenbouw_32;Procestechniek_33;MilieutechniekEnAdvies_34;OverigTechnischOntwerp_35;OverigeDienstverlening_36;TotaalHandel_37;OntvangstenVoorUitleenEnSubsidie_38;TotaalPersoneelskosten_39;BrutoLonenEnSalarissen_40;SocialeLasten_41;Pensioenpremies_42;KostenUitzendkrachten_43;KostenIngeleendPersoneel_44;OverigePersoneelskosten_45;TotaalOverigeBedrijfslasten_46;TotaalHuisvestingskosten_47;BetaaldeHurenPachtenEDVanLeasing_48;OnroerendeZaakbelastingMilieuheffing_49;Energiekosten_50;ReparatieEnOnderhoudskosten_51;Verzekeringen_52;OverigeHuisvestingskosten_53;TotaalInventarisEnMachinekosten_54;BetaaldeHurenEnKostenVanOperLease_55;Onderhoudskosten_56;OverigeInventarisEnMachinekosten_57;TotaalAutokosten_58;BetaaldeHurenEnKostenVanOperLease_59;Brandstof_60;OverigeAutokosten_61;TotaalVerkoopkosten_62;ReclameEnAdvertentiekosten_63;ReisVerblijfsEnRepresentatiekosten_64;OverigeVerkoopkosten_65;TotaalAndereKosten_66;AccountantsEnAdviesdiensten_67;KantoorbenodigdhDrukwerkVakliteratuur_68;OverigeVerzekeringen_69;OverigeKostprijsverhogendeBelastingen_70;Communicatiekosten_71;Beheerskosten_72;OverigeAutomatiseringskosten_73;NogNietEerderGenoemdeBedrijfskosten_74;TotaalAantalWerkzamePersonen_75;WerknemersOpDeLoonlijst_76;WerknemersNietOpLoonlijst_77;OverigPersoneel_78;AantalVte_79;TotaalInvesteringen_80;TotaalMaterieleVasteActiva_81;Bedrijfsruimten_82;Vervoermiddelen_83;Computers_84;OverigeMachinesApparatenED_85;OverigeMaterieleVasteActiva_86;TotaalImmaterieleVasteActiva_87
10;250 000 tot 2 000 000 euro;1998;20.9;1504;1470;1451;12;34;1369;20.4;53.9;4.3;21.4;294;58;15;36;33;151;134;-9;125;81.0;8.6;8.3;5.3;;1470;98.7;38.1;9.2;5.4;11.5;8.8;3.0;11.4;9.9;1.5;1.3;0.8;738;75.6;8.1;3.9;2.9;4.4;5.9;294;58;;;;;;;15;;;;36;;;;33;;;;151;;;;;;;;;218;90.8;2.8;6.3;194;79;94.5;13.9;19.3;28.6;15.1;17.6;5.5
11;250 000 tot 2 000 000 euro;1999;26.1;1803;1805;1780;15;-2;1620;21.6;53.0;4.7;20.7;336;69;17;47;35;168;183;-15;168;80.6;9.4;9.3;6.4;;1805;98.7;40.3;7.9;6.0;14.0;9.4;3.6;10.3;6.4;0.8;1.3;1.0;859;75.2;8.9;4.0;2.8;4.0;6.1;336;69;;;;;;;17;;;;47;;;;35;;;;168;;;;;;;;;255;91.1;2.5;6.4;226;115;81.7;16.2;13.0;19.4;20.4;12.7;18.3
12;2 000 000 tot 5 000 000 euro;1996;2.6;858;838;810;15;20;797;23.1;54.7;3.9;18.3;146;33;9;19;20;66;62;-13;49;78.0;6.4;5.7;4.7;;838;96.6;29.4;6.0;7.2;10.5;15.3;7.8;9.1;9.9;1.4;3.4;1.0;436;78.1;5.2;3.7;3.0;5.3;5.6;146;33;66.3;1.5;9.4;9.0;1.8;12.1;9;24.1;38.2;37.7;19;54.7;21.1;28.1;20;26.9;52.5;20.6;66;14.7;15.6;5.8;0.1;10.9;34.7;4.8;13.4;116;93.6;0.9;5.4;111;41;81.6;11.8;8.2;26.7;16.3;18.5;18.4
13;2 000 000 tot 5 000 000 euro;1997;2.5;826;805;785;14;21;760;20.0;58.3;3.8;17.8;135;33;8;18;16;60;65;-10;55;81.1;7.1;6.6;3.8;;805;97.6;32.3;6.9;9.5;12.1;10.8;6.2;6.2;11.0;2.5;2.4;1.0;444;79.7;4.9;3.7;2.9;4.3;5.5;135;33;70.7;1.2;8.8;6.9;1.9;10.5;8;31.1;37.3;31.7;18;59.0;17.5;23.5;16;29.1;51.4;19.5;60;16.1;15.1;6.0;0.6;10.9;34.8;4.1;12.4;112;94.1;0.5;5.5;106;32;79.7;4.8;8.3;33.6;21.5;11.4;20.3
14;2 000 000 tot 5 000 000 euro;1998;2.7;913;900;885;10;13;831;19.5;59.3;3.6;17.7;147;33;8;18;18;69;83;-8;75;82.0;8.4;8.3;3.7;;900;98.3;34.6;7.4;7.0;13.4;11.1;5.0;7.7;9.6;2.6;1.7;1.1;492;76.9;8.4;4.0;3.5;2.9;5.6;147;33;;;;;;;8;;;;18;;;;18;;;;69;;;;;;;;;126;94.3;0.2;5.6;118;34;93.9;9.4;9.0;40.1;17.0;18.5;6.1
15;2 000 000 tot 5 000 000 euro;1999;2.7;864;861;850;7;3;780;18.0;59.3;3.8;19.0;148;34;7;19;17;71;84;-8;76;83.7;9.0;8.9;6.3;;861;98.7;35.2;8.5;6.5;15.3;13.5;3.5;7.0;7.9;1.4;1.3;0.7;463;74.2;8.6;4.0;3.8;4.0;6.1;148;34;;;;;;;7;;;;19;;;;17;;;;71;;;;;;;;;119;92.1;0.2;7.7;107;54;72.6;11.7;7.3;25.5;11.2;16.8;27.4
16;5 000 000 euro en meer;1996;1.2;3210;3299;3254;40;-89;3067;38.7;46.4;2.0;12.8;394;86;30;44;66;167;144;11;155;64.0;4.9;4.8;2.2;;3299;98.6;9.4;8.3;10.6;6.5;11.9;32.8;8.0;8.9;2.0;1.4;0.1;1424;72.5;4.9;3.9;9.1;5.3;4.5;394;86;69.3;0.9;7.7;7.0;1.0;14.1;30;39.0;29.2;31.7;44;61.9;9.3;28.7;66;17.8;59.4;22.8;167;12.2;14.6;3.6;0.1;12.8;30.6;6.8;19.3;335;87.4;0.1;12.5;317;71;96.3;10.4;4.4;42.4;25.9;13.2;3.7
17;5 000 000 euro en meer;1997;1.3;3386;3267;3240;24;119;3244;38.0;46.8;1.9;13.3;431;91;32;47;78;183;142;8;150;62.2;4.1;4.4;1.8;;3267;99.2;11.2;10.4;12.0;7.8;8.2;32.9;7.0;6.7;3.0;0.8;0.2;1518;71.8;4.4;3.9;9.2;6.1;4.7;431;91;69.5;0.8;7.0;6.9;1.3;14.6;32;28.1;31.0;40.9;47;65.5;12.6;21.9;78;19.6;59.6;20.8;183;13.3;14.5;3.9;0.1;12.0;33.1;8.2;14.9;347;87.0;0.0;13.0;331;63;95.4;4.2;5.3;47.3;19.7;18.9;4.6
18;5 000 000 euro en meer;1998;1.5;3731;3530;3505;23;201;3608;36.6;46.3;2.3;14.8;534;111;44;54;96;229;123;5;128;62.6;3.6;3.4;3.1;;3530;99.3;11.7;11.4;12.2;8.5;5.7;31.6;7.8;7.8;2.6;0.7;0.3;1671;68.2;7.5;3.9;8.7;6.9;5.1;534;111;;;;;;;44;;;;54;;;;96;;;;229;;;;;;;;;366;86.8;0.0;13.2;352;117;94.9;17.5;4.0;34.7;24.5;14.3;5.1
19;5 000 000 euro en meer;1999;1.6;4058;3857;3847;7;201;3942;38.8;45.3;2.3;13.6;536;122;43;58;84;230;115;9;124;60.3;3.1;3.1;2.4;;3857;99.8;12.6;10.7;11.6;8.7;5.9;34.5;7.9;5.8;2.0;0.2;0.5;1786;69.7;8.0;4.0;9.3;4.4;5.0;536;122;;;;;;;43;;;;58;;;;84;;;;230;;;;;;;;;384;88.3;0.0;11.7;359;98;94.0;19.0;3.3;38.3;8.1;25.4;6.0
