ID;SectorBranchesSIC2008;Periods;ConsolidatedProduction_1;ContributionOfLabour_2;ContributionOfHoursWorked_3;ContributionOfLabourComposition_4;ContributionOfCapital_5;ContributionOfICTCapital_6;ContributionOfNonICTCapital_7;ContributionOfIntermediateConsumption_8;ContributionOfEnergy_9;ContributionOfMaterials_10;ContributionOfServices_11;ContributionOfMfp_12;ValueAdded_13;ContributionOfLabour_14;ContributionOfHoursWorked_15;ContributionOfLabourComposition_16;ContributionOfCapital_17;ContributionOfICTCapital_18;ContributionOfNonICTCapital_19;ContributionOfMfp_20;LabourProductivityChange_21;LabourProductivity2015100_22;LabourProductivityChange_23;LabourProductivity2015100_24;CapitalProductivityChange_25;CapitalProductivity2015100_26;CapitalProductivityChange_27;CapitalProductivity2015100_28;ConsolidatedProductionInMlnEuros_29;ConsolidatedProduction2015100_30;Total_31;ConsumptionOfEnergy_32;ConsumptionOfMaterials_33;ConsumptionOfServices_34;Total_35;ConsumptionOfEnergy_36;ConsumptionOfMaterials_37;ConsumptionOfServices_38;ValueAddedMlnEuros_39;ValueAdded2015100_40;HoursWorked_41;CompensationOfLabourMlnEuros_42;CompensationOfLabour2015100_43;CapitalServicesMlnEuros_44;CapitalServicesHoursWorkedEuros_45;ICTCapitalServicesMlnEuros_46;NonICTCaptalServicesMlnEuros_47;CapitalServicesNeoclassMlnEuros_48;CapitalServices2015100_49;CapitalServicesHoursWorked2015100_50;ICTCapitalServices2015100_51;NonICTCaptalServices2015100_52;CapitalServicesNeoclassical2015100_53;TotalInputKLEMS_54;TotalInputCapitalAndLabour_55;TotalInputKLEMS_56;TotalInputCapitalAndLabour_57
10;A-U Market sector (excl L,O,P,T);2005;;;;;;;;;;;;;2.4;0.5;-0.2;0.6;-0.1;0.2;-0.3;2.0;;;2.7;93.6;;;2.6;95.7;;;;;;;;;;;396803.0;88.7;10460.0;260138.0;90.3;95763.0;9.2;13147.0;82616.0;;92.6;97.8;56.0;101.6;;;355901.0;;90.8
11;A-U Market sector (excl L,O,P,T);2006;;;;;;;;;;;;;3.9;2.4;1.8;0.6;0.2;0.3;-0.1;1.4;;;1.5;95.0;;;3.3;98.8;;;;;;;;;;;418871.0;92.2;10710.0;270184.0;93.2;105409.0;9.8;13776.0;91633.0;;93.2;96.1;60.2;101.2;;;375593.0;;93.1
12;A-U Market sector (excl L,O,P,T);2007;;;;;;;;;;;;;4.5;2.4;2.2;0.2;0.6;0.4;0.2;1.5;;;1.4;96.4;;;2.3;101.1;;;;;;;;;;;442866.0;96.3;11038.0;286708.0;96.3;104736.0;9.5;15401.0;89335.0;;95.2;95.3;66.4;102.1;;;391444.0;;95.9
13;A-U Market sector (excl L,O,P,T);2008;;;;;;;;;;;;;2.7;1.2;1.0;0.2;1.1;0.4;0.7;0.4;;;1.3;97.6;;;-1.3;99.8;;;;;;;;;;;463453.0;99.0;11195.0;301986.0;97.9;116556.0;10.4;17046.0;99510.0;;99.1;97.8;73.6;105.1;;;418541.0;;98.1
14;A-U Market sector (excl L,O,P,T);2009;;;;;;;;;;;;;-4.3;-0.7;-1.4;0.7;0.1;0.3;-0.2;-3.7;;;-2.4;95.3;;;-4.6;95.3;;;;;;;;;;;454384.0;94.7;10976.0;302474.0;96.9;117306.0;10.7;17678.0;99628.0;;99.4;100.0;79.2;104.1;;;419780.0;;97.5
15;A-U Market sector (excl L,O,P,T);2010;;;;;;;;;;;;;1.3;-0.1;-0.6;0.6;0.5;0.2;0.3;0.8;;;2.2;97.4;;;-0.5;94.8;;;;;;;;;;;466685.0;95.9;10879.0;302383.0;96.9;113183.0;10.4;18376.0;94807.0;;101.2;102.7;82.6;105.5;;;415566.0;;98.0
16;A-U Market sector (excl L,O,P,T);2011;;;;;;;;;;;;;2.2;1.2;0.9;0.2;-0.2;0.2;-0.4;1.2;;;0.9;98.2;;;3.0;97.6;;;;;;;;;;;476453.0;98.0;11020.0;312047.0;98.4;119826.0;10.9;19169.0;100657.0;;100.4;100.6;86.2;103.6;;;431873.0;;98.9
17;A-U Market sector (excl L,O,P,T);2012;;;;;;;;;;;;;-1.2;-0.1;-0.6;0.5;0.2;0.2;0.0;-1.3;;;-0.4;97.9;;;-1.9;95.7;;;;;;;;;;;484363.0;96.9;10930.0;317104.0;98.3;114174.0;10.4;18730.0;95444.0;;101.2;102.2;89.5;103.8;;;431278.0;;99.0
18;A-U Market sector (excl L,O,P,T);2013;;;;;;;;;;;;;-0.1;-0.2;-0.7;0.5;0.6;0.2;0.4;-0.5;;;0.8;98.7;;;-2.2;93.6;;;;;;;;;;;486777.0;96.7;10826.0;318067.0;98.0;115688.0;10.7;19404.0;96284.0;;103.3;105.4;93.7;105.5;;;433755.0;;99.4
19;A-U Market sector (excl L,O,P,T);2014;;;;;;;;;;;;;1.5;0.7;0.6;0.2;-0.6;0.2;-0.8;1.3;;;0.7;99.4;;;3.7;97.0;;;;;;;;;;;491904.0;98.2;10909.0;324186.0;99.0;115745.0;10.6;20342.0;95403.0;;101.1;102.4;98.2;101.8;;;439931.0;;99.6
20;A-U Market sector (excl L,O,P,T);2015;;;;;;;;;;;;;1.9;0.7;0.9;-0.2;-0.3;0.1;-0.4;1.5;;100.0;0.6;100.0;;100.0;3.0;100.0;765914.0;100.0;260164.0;36421.0;105811.0;117932.0;100.0;100.0;100.0;100.0;505750.0;100.0;11044.0;328103.0;100.0;109486.0;9.9;20905.0;88581.0;;100.0;100.0;100.0;100.0;;697754.0;437589.0;100.0;100.0
21;A-U Market sector (excl L,O,P,T);2016;2.3;1.0;1.2;-0.1;0.5;0.3;0.2;0.8;0.0;0.6;0.2;0.0;2.4;1.7;1.9;-0.2;0.7;0.5;0.2;0.0;-0.2;99.8;-0.1;99.9;-0.6;99.4;-0.5;99.5;773702.0;102.3;257960.0;30390.0;108208.0;119362.0;102.2;100.6;104.1;101.0;515742.0;102.4;11320.0;338877.0;102.2;105509.0;9.3;22955.0;82554.0;;102.9;100.4;110.1;101.2;;702346.0;444386.0;102.3;102.4
22;A-U Market sector (excl L,O,P,T);2017;4.0;1.0;1.2;-0.2;0.2;0.2;0.0;2.1;0.0;0.8;1.3;0.7;3.2;1.6;1.9;-0.3;0.4;0.4;0.0;1.2;1.4;101.2;0.6;100.5;2.3;101.7;1.5;101.0;818070.0;106.4;282242.0;36336.0;116663.0;129243.0;107.9;100.0;109.4;108.7;535828.0;105.6;11606.0;352951.0;104.4;105175.0;9.1;24204.0;80971.0;;104.6;99.5;117.7;101.4;;740368.0;458126.0;105.7;104.4
23;A-U Market sector (excl L,O,P,T);2018;3.7;1.2;1.3;-0.1;0.3;0.2;0.1;2.3;0.1;0.8;1.4;0.0;2.6;2.0;2.1;-0.1;0.4;0.3;0.2;0.2;0.9;102.2;-0.2;100.3;1.9;104.0;0.7;102.1;867186.0;110.4;308312.0;43184.0;123014.0;142114.0;114.3;102.1;114.6;117.5;558874.0;108.3;11928.0;368816.0;107.1;108545.0;9.1;25314.0;83230.0;;106.2;98.3;123.4;101.9;;785673.0;477361.0;109.6;106.9
24;A-U Market sector (excl L,O,P,T);2019;1.1;1.3;1.2;0.0;0.2;0.1;0.1;-0.3;0.0;0.0;-0.3;-0.1;2.1;2.1;2.0;0.1;0.4;0.1;0.2;-0.4;-1.5;100.6;-0.5;99.8;-0.6;102.7;0.4;101.9;892219.0;111.5;306752.0;41449.0;122864.0;142439.0;113.4;102.6;114.7;115.2;585467.0;110.6;12242.0;390949.0;110.0;111446.0;9.1;27248.0;84197.0;;108.6;97.9;126.6;104.1;;809146.0;502394.0;111.0;109.7
25;A-U Market sector (excl L,O,P,T);2020;-4.7;-1.7;-2.3;0.7;0.2;0.1;0.1;-1.3;-0.4;-0.3;-0.5;-2.0;-5.4;-2.7;-3.7;1.1;0.4;0.2;0.2;-3.0;0.1;100.7;-0.6;99.1;-6.2;96.7;-6.9;95.2;850419.0;106.3;286417.0;28417.0;118290.0;139710.0;109.6;94.5;112.3;111.7;564002.0;104.7;11660.0;386627.0;106.2;97190.0;8.3;27866.0;69324.0;;110.0;104.2;130.8;104.8;;770234.0;483817.0;108.0;107.0
26;A-U Market sector (excl L,O,P,T);2021;5.2;1.7;1.6;0.1;0.2;0.1;0.1;0.1;0.0;0.1;0.1;3.2;7.7;2.7;2.5;0.2;0.3;0.2;0.1;4.6;1.9;102.7;4.3;103.4;3.5;100.1;6.0;100.9;941681.0;111.8;321205.0;44706.0;132643.0;143856.0;110.0;94.6;112.8;112.0;620476.0;112.7;12032.0;409635.0;109.8;108845.0;9.0;30533.0;78311.0;;111.7;102.5;135.2;105.7;;839685.0;518480.0;110.2;110.3
27;A-U Market sector (excl L,O,P,T);2022;4.6;1.8;2.0;-0.2;0.1;0.1;0.0;1.3;0.1;0.1;1.1;1.4;5.2;2.9;3.3;-0.4;0.2;0.2;0.0;2.2;0.4;103.1;1.0;104.5;3.7;103.8;4.3;105.2;1086372.0;117.0;399351.0;79858.0;159394.0;160099.0;113.7;96.1;113.7;119.1;687021.0;118.6;12530.0;451023.0;113.8;141728.0;11.3;33807.0;107922.0;;112.7;99.3;139.9;105.5;;992103.0;592752.0;113.7;113.7
28;A Agriculture, forestry and fishing;1995;;;;;;;;;;;;;;;;;;;;;;;;68.2;;;;87.8;;;;;;;;;;;10230.0;78.6;429.0;4924.0;101.7;8170.0;19.1;43.0;8127.0;;89.6;77.7;14.6;91.1;;;13093.0;;94.0
29;A Agriculture, forestry and fishing;1996;;;;;;;;;;;;;-4.6;-0.9;0.7;-1.6;-0.6;0.1;-0.7;-3.1;;;-6.5;63.8;;;-3.7;84.6;;;;;;;;;;;9916.0;75.0;437.0;5340.0;99.2;6553.0;15.0;43.0;6510.0;;88.7;75.4;18.0;90.1;;;11893.0;;92.6
30;A Agriculture, forestry and fishing;1997;;;;;;;;;;;;;7.2;1.5;0.0;1.5;0.1;0.1;0.0;5.6;;;7.2;68.4;;;7.1;90.6;;;;;;;;;;;10953.0;80.4;437.0;5648.0;102.6;7068.0;16.2;50.0;7018.0;;88.8;75.5;22.2;90.1;;;12716.0;;94.1
31;A Agriculture, forestry and fishing;1998;;;;;;;;;;;;;-4.7;-1.9;-3.6;1.8;-0.7;0.1;-0.8;-2.0;;;3.7;70.9;;;-3.4;87.5;;;;;;;;;;;10082.0;76.7;402.0;5131.0;98.1;7025.0;17.5;55.0;6970.0;;87.6;81.0;26.6;88.8;;;12156.0;;91.6
32;A Agriculture, forestry and fishing;1999;;;;;;;;;;;;;6.8;2.0;3.0;-0.9;0.1;0.1;0.0;4.6;;;-0.3;70.7;;;6.6;93.2;;;;;;;;;;;9772.0;81.8;431.0;5451.0;102.9;6431.0;14.9;58.0;6373.0;;87.8;75.8;34.2;88.7;;;11882.0;;93.5
33;A Agriculture, forestry and fishing;2000;;;;;;;;;;;;;1.1;3.2;3.7;-0.5;0.3;0.2;0.1;-2.4;;;-6.5;66.1;;;0.5;93.7;;;;;;;;;;;10390.0;82.7;465.0;6182.0;110.0;6484.0;13.9;72.0;6412.0;;88.3;70.5;45.0;88.9;;;12666.0;;96.8
34;A Agriculture, forestry and fishing;2001;;;;;;;;;;;;;-5.0;-0.4;-1.8;1.5;0.2;0.1;0.1;-4.8;;;-1.4;65.2;;;-5.4;88.7;;;;;;;;;;;10720.0;78.5;448.0;6182.0;109.2;6860.0;15.3;85.0;6776.0;;88.6;73.5;54.5;89.1;;;13042.0;;96.6
35;A Agriculture, forestry and fishing;2002;;;;;;;;;;;;;0.9;0.0;-0.4;0.3;0.2;0.1;0.1;0.8;;;1.7;66.3;;;0.5;89.2;;;;;;;;;;;10412.0;79.2;444.0;5989.0;109.0;7963.0;17.9;88.0;7876.0;;88.8;74.4;61.0;89.2;;;13953.0;;96.7
36;A Agriculture, forestry and fishing;2003;;;;;;;;;;;;;2.7;-2.0;-2.3;0.3;0.0;0.1;-0.1;4.8;;;8.6;72.1;;;2.8;91.7;;;;;;;;;;;10563.0;81.4;420.0;5887.0;104.0;8052.0;19.2;84.0;7968.0;;88.8;78.6;66.4;89.0;;;13939.0;;94.7
37;A Agriculture, forestry and fishing;2004;;;;;;;;;;;;;5.6;0.1;-0.4;0.4;0.4;0.0;0.4;5.1;;;6.4;76.7;;;4.8;96.1;;;;;;;;;;;9878.0;85.9;417.0;5561.0;104.1;8052.0;19.3;85.0;7967.0;;89.4;79.8;69.9;89.6;;;13613.0;;95.2
38;A Agriculture, forestry and fishing;2005;;;;;;;;;;;;;0.3;-1.2;-0.6;-0.6;0.0;0.0;-0.1;1.6;;;1.8;78.1;;;0.4;96.5;;;;;;;;;;;10235.0;86.2;411.0;5807.0;101.0;7183.0;17.5;84.0;7098.0;;89.3;80.9;72.3;89.5;;;12989.0;;94.0
39;A Agriculture, forestry and fishing;2006;;;;;;;;;;;;;0.4;-0.5;-1.2;0.7;0.0;0.0;-0.1;0.9;;;3.0;80.4;;;0.4;96.9;;;;;;;;;;;11375.0;86.5;400.0;5967.0;99.9;7733.0;19.3;82.0;7651.0;;89.3;83.0;74.5;89.4;;;13699.0;;93.5
40;A Agriculture, forestry and fishing;2007;;;;;;;;;;;;;2.5;-0.2;-0.6;0.4;0.4;0.0;0.3;2.4;;;4.0;83.6;;;1.9;98.7;;;;;;;;;;;11251.0;88.7;394.0;5978.0;99.5;7526.0;19.1;84.0;7442.0;;89.8;84.7;77.6;90.0;;;13504.0;;93.7
41;A Agriculture, forestry and fishing;2008;;;;;;;;;;;;;2.6;0.0;-0.2;0.2;0.7;0.0;0.7;1.8;;;3.1;86.2;;;1.2;99.9;;;;;;;;;;;10582.0;90.9;392.0;5568.0;99.5;9031.0;23.0;87.0;8944.0;;91.0;86.3;82.3;91.1;;;14599.0;;94.4
42;A Agriculture, forestry and fishing;2009;;;;;;;;;;;;;3.5;-0.1;-0.3;0.2;0.9;0.0;0.8;2.8;;;4.3;89.9;;;2.1;102.0;;;;;;;;;;;9705.0;94.1;389.0;5136.0;99.2;10163.0;26.1;84.0;10079.0;;92.3;88.2;85.6;92.3;;;15299.0;;95.0
43;A Agriculture, forestry and fishing;2010;;;;;;;;;;;;;0.2;0.0;-0.5;0.6;0.1;0.0;0.1;0.0;;;1.9;91.6;;;0.0;102.0;;;;;;;;;;;11368.0;94.3;383.0;6050.0;99.3;8110.0;21.2;83.0;8027.0;;92.5;89.8;87.6;92.5;;;14159.0;;95.2
44;A Agriculture, forestry and fishing;2011;;;;;;;;;;;;;-0.9;0.0;-0.3;0.3;0.5;0.0;0.5;-1.5;;;-0.2;91.4;;;-1.8;100.1;;;;;;;;;;;10269.0;93.5;380.0;5657.0;99.4;8771.0;23.1;84.0;8687.0;;93.4;91.3;90.4;93.4;;;14428.0;;95.8
45;A Agriculture, forestry and fishing;2012;;;;;;;;;;;;;-0.7;-0.3;-0.6;0.3;1.3;0.0;1.2;-1.6;;;0.9;92.2;;;-2.7;97.4;;;;;;;;;;;10836.0;92.9;374.0;6118.0;98.5;7654.0;20.4;79.0;7576.0;;95.3;94.7;92.4;95.3;;;13772.0;;96.6
46;A Agriculture, forestry and fishing;2013;;;;;;;;;;;;;0.9;0.4;-0.2;0.5;1.2;0.0;1.2;-0.7;;;1.3;93.4;;;-1.3;96.1;;;;;;;;;;;11828.0;93.7;373.0;6564.0;99.3;7534.0;20.2;77.0;7457.0;;97.4;97.2;93.1;97.5;;;14098.0;;98.2
47;A Agriculture, forestry and fishing;2014;;;;;;;;;;;;;4.6;0.8;0.4;0.3;0.7;0.0;0.7;3.1;;;3.7;96.9;;;3.2;99.2;;;;;;;;;;;11674.0;98.0;376.0;6267.0;100.9;8768.0;23.3;78.0;8690.0;;98.7;97.6;95.2;98.8;;;15035.0;;99.6
48;A Agriculture, forestry and fishing;2015;;;;;;;;;;;;;2.1;-0.4;-0.5;0.1;0.8;0.0;0.7;1.7;;100.0;3.2;100.0;;100.0;0.8;100.0;25101.0;100.0;13203.0;1892.0;6656.0;4655.0;100.0;100.0;100.0;100.0;11898.0;100.0;372.0;6607.0;100.0;8566.0;23.0;83.0;8482.0;;100.0;100.0;100.0;100.0;;28376.0;15173.0;100.0;100.0
49;A Agriculture, forestry and fishing;2016;2.4;0.8;0.7;0.1;0.0;0.0;0.0;1.2;0.1;1.0;0.2;0.4;2.2;1.5;1.3;0.2;-0.1;0.0;-0.1;0.8;-0.4;99.6;-0.6;99.4;2.5;102.5;2.3;102.3;25523.0;102.4;13010.0;1590.0;6713.0;4707.0;102.6;100.9;104.3;101.0;12513.0;102.2;383.0;7231.0;103.5;7804.0;20.4;89.0;7715.0;;99.9;97.1;105.7;99.8;;28045.0;15034.0;102.0;101.5
50;A Agriculture, forestry and fishing;2017;0.3;0.6;0.6;0.0;0.0;0.0;0.0;0.1;0.0;-0.2;0.3;-0.3;0.5;1.0;1.1;0.0;0.0;0.0;0.0;-0.6;-1.8;97.7;-1.7;97.7;0.3;102.8;0.4;102.8;27054.0;102.8;13357.0;1720.0;6840.0;4797.0;102.8;100.9;103.5;102.6;13697.0;102.7;391.0;7935.0;105.7;7401.0;18.9;94.0;7308.0;;99.9;95.0;110.5;99.8;;28693.0;15337.0;102.7;102.5
51;A Agriculture, forestry and fishing;2018;-1.0;0.3;0.2;0.1;0.2;0.0;0.2;-0.4;-0.2;0.1;-0.2;-1.2;-1.3;0.6;0.4;0.3;0.4;0.0;0.4;-2.4;-1.7;96.0;-2.0;95.7;-1.9;104.8;-2.2;104.5;26479.0;101.7;13703.0;1833.0;7033.0;4837.0;102.1;97.7;103.9;101.1;12776.0;101.4;394.0;7494.0;107.0;8060.0;20.5;97.0;7963.0;;97.0;91.6;114.4;96.9;;29257.0;15554.0;101.7;101.3
52;A Agriculture, forestry and fishing;2019;1.5;0.7;0.5;0.2;0.6;0.0;0.5;0.6;0.1;0.3;0.2;-0.4;1.7;1.4;1.0;0.4;1.1;0.0;1.0;-0.7;-0.5;95.6;-0.3;95.5;-0.6;96.9;-0.3;96.8;27383.0;103.2;14083.0;1840.0;7194.0;5049.0;103.4;99.0;105.3;102.2;13300.0;103.1;402.0;8324.0;110.0;6946.0;17.3;105.0;6841.0;;106.5;98.6;118.0;106.4;;29352.0;15270.0;105.9;108.1
53;A Agriculture, forestry and fishing;2020;0.4;-0.4;-0.6;0.1;0.3;0.0;0.3;0.0;0.0;0.2;-0.2;0.5;0.8;-0.8;-1.1;0.2;0.6;0.0;0.6;1.1;2.5;97.9;2.9;98.2;-0.9;99.9;-0.5;100.2;26618.0;103.7;13881.0;1561.0;7199.0;5121.0;103.4;99.7;106.0;101.1;12737.0;104.0;394.0;7891.0;108.3;7155.0;18.2;111.0;7044.0;;103.8;98.0;126.3;103.5;;28927.0;15046.0;104.6;105.6
54;A Agriculture, forestry and fishing;2021;0.7;0.4;0.2;0.3;0.2;0.0;0.1;0.1;0.1;-0.7;0.7;0.0;1.3;0.9;0.3;0.6;0.3;0.0;0.3;0.1;0.2;98.1;0.7;98.9;0.1;100.0;0.6;100.8;28954.0;104.4;15748.0;2231.0;7994.0;5523.0;103.6;101.3;103.0;105.1;13206.0;105.3;396.0;8099.0;110.0;7478.0;18.9;121.0;7356.0;;104.5;98.1;132.3;104.1;;31324.0;15576.0;105.3;106.9
55;A Agriculture, forestry and fishing;2022;-2.8;0.5;0.2;0.2;0.1;0.0;0.1;-1.4;-0.9;-0.4;0.0;-2.0;-2.9;0.9;0.5;0.4;0.1;0.0;0.1;-4.0;-3.7;94.4;-3.8;95.2;-3.1;96.9;-3.2;97.6;34281.0;101.5;19855.0;3609.0;10360.0;5886.0;100.8;87.8;101.4;105.0;14426.0;102.2;400.0;8843.0;112.0;9187.0;23.0;130.0;9057.0;;104.8;97.5;133.2;104.4;;37885.0;18030.0;104.4;108.0
56;B Mining and quarrying;1995;;;;;;;;;;;;;;;;;;;;;;;;155.5;;;;133.2;;;;;;;;;;;7145.0;157.2;20.0;746.0;83.7;5826.0;290.3;25.0;5801.0;;118.0;116.8;15.0;119.9;;;6572.0;;115.4
57;B Mining and quarrying;1996;;;;;;;;;;;;;13.7;1.1;0.4;0.6;8.4;0.0;8.4;4.2;;;9.4;170.2;;;3.9;138.4;;;;;;;;;;;8509.0;178.8;21.0;772.0;92.0;7224.0;346.4;23.0;7201.0;;129.2;123.0;16.1;131.3;;;7996.0;;126.3
58;B Mining and quarrying;1997;;;;;;;;;;;;;-10.6;-0.3;-0.4;0.1;-7.2;0.1;-7.3;-3.1;;;-7.1;158.1;;;-2.9;134.4;;;;;;;;;;;8228.0;159.8;20.0;759.0;89.0;6697.0;333.6;30.0;6667.0;;118.9;117.6;22.2;120.6;;;7456.0;;116.9
59;B Mining and quarrying;1998;;;;;;;;;;;;;-3.7;0.3;0.4;-0.1;-2.4;0.2;-2.5;-1.7;;;-7.4;146.3;;;-1.1;132.9;;;;;;;;;;;7481.0;153.9;21.0;772.0;91.5;5934.0;284.3;41.0;5893.0;;115.8;110.1;32.0;117.2;;;6707.0;;114.4
60;B Mining and quarrying;1999;;;;;;;;;;;;;-5.2;0.1;-0.5;0.7;-2.0;0.3;-2.3;-3.4;;;-0.9;145.0;;;-3.1;128.9;;;;;;;;;;;6460.0;145.8;20.0;737.0;92.5;5081.0;254.5;56.0;5025.0;;113.2;112.5;46.5;114.2;;;5818.0;;112.3
61;B Mining and quarrying;2000;;;;;;;;;;;;;-6.6;-0.3;-0.3;0.1;-1.3;0.3;-1.6;-5.1;;;-4.0;139.2;;;-5.2;122.1;;;;;;;;;;;9174.0;136.2;19.0;812.0;90.6;7694.0;396.3;72.0;7623.0;;111.5;114.0;60.9;112.1;;;8507.0;;110.6
62;B Mining and quarrying;2001;;;;;;;;;;;;;3.1;-0.5;-0.4;-0.1;5.9;0.1;5.8;-2.4;;;7.0;149.0;;;-3.3;118.1;;;;;;;;;;;11538.0;140.3;19.0;783.0;86.3;11127.0;595.1;86.0;11042.0;;118.8;126.2;71.3;119.3;;;11910.0;;116.7
63;B Mining and quarrying;2002;;;;;;;;;;;;;1.0;0.4;0.4;0.0;-1.1;0.1;-1.3;1.8;;;-4.8;141.8;;;2.3;120.8;;;;;;;;;;;10576.0;141.8;20.0;872.0;91.6;9899.0;498.8;99.0;9800.0;;117.4;117.4;83.3;117.7;;;10771.0;;115.8
64;B Mining and quarrying;2003;;;;;;;;;;;;;-1.1;-0.4;-0.5;0.1;-0.9;0.1;-1.0;0.3;;;5.1;149.1;;;0.0;120.7;;;;;;;;;;;11057.0;140.3;19.0;882.0;87.0;10673.0;571.6;105.0;10569.0;;116.2;123.5;93.4;116.4;;;11556.0;;114.2
65;B Mining and quarrying;2004;;;;;;;;;;;;;8.8;0.0;-0.1;0.1;10.3;0.1;10.2;-1.5;;;9.9;163.8;;;-2.1;118.2;;;;;;;;;;;11721.0;152.6;18.0;912.0;86.7;11458.0;619.4;112.0;11347.0;;129.2;138.6;101.1;129.4;;;12370.0;;126.0
