ID;BedrijfstakkenBranchesSBI2008;Perioden;Productie_1;GemiddeldeDagproductie_2;Productie_3;GemiddeldeDagproductie_4
141;B-E Nijverheid (geen bouw) en energie;1963 december;31.3;31.3;;6.7
142;B-E Nijverheid (geen bouw) en energie;1963;29.6;29.6;;4.5
143;B-E Nijverheid (geen bouw) en energie;1964 januari;31.5;30.6;20.6;12.7
144;B-E Nijverheid (geen bouw) en energie;1964 februari;29.7;31.5;10.1;13.9
145;B-E Nijverheid (geen bouw) en energie;1964 maart;31.9;32.2;12.6;12.1
146;B-E Nijverheid (geen bouw) en energie;1964 april;32.9;32.2;10.9;8.5
147;B-E Nijverheid (geen bouw) en energie;1964 mei;30.4;33.3;0.9;11.1
148;B-E Nijverheid (geen bouw) en energie;1964 juni;33.0;32.3;6.4;6.3
149;B-E Nijverheid (geen bouw) en energie;1964 juli;30.2;28.4;8.3;3.1
150;B-E Nijverheid (geen bouw) en energie;1964 augustus;29.3;29.7;4.4;6.8
151;B-E Nijverheid (geen bouw) en energie;1964 september;32.9;32.4;8.4;7.6
152;B-E Nijverheid (geen bouw) en energie;1964 oktober;36.1;35.2;11.1;9.7
153;B-E Nijverheid (geen bouw) en energie;1964 november;34.6;35.2;4.8;7.8
154;B-E Nijverheid (geen bouw) en energie;1964 december;34.9;34.2;11.5;9.0
155;B-E Nijverheid (geen bouw) en energie;1964;32.3;32.3;9.0;9.0
156;B-E Nijverheid (geen bouw) en energie;1965 januari;30.8;32.4;-2.1;5.9
157;B-E Nijverheid (geen bouw) en energie;1965 februari;30.8;33.0;3.9;4.5
158;B-E Nijverheid (geen bouw) en energie;1965 maart;35.1;33.0;10.2;2.5
159;B-E Nijverheid (geen bouw) en energie;1965 april;33.2;33.7;1.1;4.7
160;B-E Nijverheid (geen bouw) en energie;1965 mei;31.9;34.8;5.1;4.6
161;B-E Nijverheid (geen bouw) en energie;1965 juni;33.9;34.4;2.9;6.4
162;B-E Nijverheid (geen bouw) en energie;1965 juli;30.8;29.9;2.0;5.1
163;B-E Nijverheid (geen bouw) en energie;1965 augustus;31.8;30.9;8.5;4.1
164;B-E Nijverheid (geen bouw) en energie;1965 september;35.4;34.5;7.3;6.7
165;B-E Nijverheid (geen bouw) en energie;1965 oktober;36.9;37.1;2.3;5.5
166;B-E Nijverheid (geen bouw) en energie;1965 november;37.9;37.1;9.5;5.3
167;B-E Nijverheid (geen bouw) en energie;1965 december;38.1;35.9;9.2;5.0
168;B-E Nijverheid (geen bouw) en energie;1965;33.9;33.9;5.0;5.0
169;B-E Nijverheid (geen bouw) en energie;1966 januari;33.1;33.3;7.2;2.9
170;B-E Nijverheid (geen bouw) en energie;1966 februari;31.9;34.0;3.7;3.3
171;B-E Nijverheid (geen bouw) en energie;1966 maart;36.4;35.3;3.7;6.8
172;B-E Nijverheid (geen bouw) en energie;1966 april;34.7;36.4;4.3;7.9
173;B-E Nijverheid (geen bouw) en energie;1966 mei;34.6;36.2;8.4;3.9
174;B-E Nijverheid (geen bouw) en energie;1966 juni;37.0;36.1;9.0;4.9
175;B-E Nijverheid (geen bouw) en energie;1966 juli;30.0;30.0;-2.8;0.5
176;B-E Nijverheid (geen bouw) en energie;1966 augustus;35.5;33.3;11.6;7.7
177;B-E Nijverheid (geen bouw) en energie;1966 september;36.9;36.0;4.4;4.3
178;B-E Nijverheid (geen bouw) en energie;1966 oktober;38.1;38.2;3.3;3.0
179;B-E Nijverheid (geen bouw) en energie;1966 november;39.3;38.5;3.9;3.7
180;B-E Nijverheid (geen bouw) en energie;1966 december;36.9;37.1;-3.1;3.4
181;B-E Nijverheid (geen bouw) en energie;1966;35.4;35.4;4.4;4.4
182;B-E Nijverheid (geen bouw) en energie;1967 januari;35.0;34.2;6.0;2.5
183;B-E Nijverheid (geen bouw) en energie;1967 februari;32.8;35.0;2.7;2.9
184;B-E Nijverheid (geen bouw) en energie;1967 maart;36.9;35.8;1.4;1.5
185;B-E Nijverheid (geen bouw) en energie;1967 april;35.3;37.0;1.8;1.7
186;B-E Nijverheid (geen bouw) en energie;1967 mei;36.0;36.2;3.9;0.0
187;B-E Nijverheid (geen bouw) en energie;1967 juni;38.3;37.3;3.6;3.6
188;B-E Nijverheid (geen bouw) en energie;1967 juli;30.3;30.5;1.1;1.6
189;B-E Nijverheid (geen bouw) en energie;1967 augustus;37.2;34.8;4.7;4.7
190;B-E Nijverheid (geen bouw) en energie;1967 september;37.1;37.5;0.5;4.0
191;B-E Nijverheid (geen bouw) en energie;1967 oktober;40.7;39.4;6.6;3.0
192;B-E Nijverheid (geen bouw) en energie;1967 november;41.1;40.2;4.6;4.4
193;B-E Nijverheid (geen bouw) en energie;1967 december;36.9;39.7;0.0;6.9
194;B-E Nijverheid (geen bouw) en energie;1967;36.5;36.5;3.1;3.1
195;B-E Nijverheid (geen bouw) en energie;1968 januari;37.3;36.5;6.5;6.9
196;B-E Nijverheid (geen bouw) en energie;1968 februari;37.0;37.9;12.6;8.2
197;B-E Nijverheid (geen bouw) en energie;1968 maart;38.4;38.7;4.1;8.1
198;B-E Nijverheid (geen bouw) en energie;1968 april;38.4;38.9;8.9;5.1
199;B-E Nijverheid (geen bouw) en energie;1968 mei;41.1;40.0;14.2;10.5
200;B-E Nijverheid (geen bouw) en energie;1968 juni;37.2;40.6;-2.9;8.7
201;B-E Nijverheid (geen bouw) en energie;1968 juli;34.4;32.4;13.5;6.4
202;B-E Nijverheid (geen bouw) en energie;1968 augustus;39.1;37.9;5.2;9.0
203;B-E Nijverheid (geen bouw) en energie;1968 september;39.7;40.2;7.0;7.3
204;B-E Nijverheid (geen bouw) en energie;1968 oktober;45.7;43.0;12.4;9.2
205;B-E Nijverheid (geen bouw) en energie;1968 november;44.1;44.6;7.3;10.9
206;B-E Nijverheid (geen bouw) en energie;1968 december;43.0;44.5;16.3;12.3
207;B-E Nijverheid (geen bouw) en energie;1968;39.6;39.6;8.6;8.6
208;B-E Nijverheid (geen bouw) en energie;1969 januari;41.4;40.4;10.8;10.6
209;B-E Nijverheid (geen bouw) en energie;1969 februari;39.5;42.2;6.9;11.2
210;B-E Nijverheid (geen bouw) en energie;1969 maart;43.4;43.6;13.1;12.7
211;B-E Nijverheid (geen bouw) en energie;1969 april;43.2;43.6;12.4;12.1
212;B-E Nijverheid (geen bouw) en energie;1969 mei;42.8;44.5;4.2;11.3
213;B-E Nijverheid (geen bouw) en energie;1969 juni;43.9;44.4;18.1;9.4
214;B-E Nijverheid (geen bouw) en energie;1969 juli;40.0;37.5;16.2;15.7
215;B-E Nijverheid (geen bouw) en energie;1969 augustus;40.9;41.0;4.7;8.1
216;B-E Nijverheid (geen bouw) en energie;1969 september;45.1;44.0;13.6;9.4
217;B-E Nijverheid (geen bouw) en energie;1969 oktober;50.1;47.0;9.6;9.3
218;B-E Nijverheid (geen bouw) en energie;1969 november;47.3;49.2;7.1;10.4
219;B-E Nijverheid (geen bouw) en energie;1969 december;48.2;48.1;12.1;8.1
220;B-E Nijverheid (geen bouw) en energie;1969;43.8;43.8;10.6;10.6
221;B-E Nijverheid (geen bouw) en energie;1970 januari;44.5;44.8;7.6;11.0
222;B-E Nijverheid (geen bouw) en energie;1970 februari;43.3;46.2;9.7;9.6
223;B-E Nijverheid (geen bouw) en energie;1970 maart;47.4;47.5;9.1;8.9
224;B-E Nijverheid (geen bouw) en energie;1970 april;48.1;47.1;11.4;7.9
225;B-E Nijverheid (geen bouw) en energie;1970 mei;41.5;46.6;-2.9;4.6
226;B-E Nijverheid (geen bouw) en energie;1970 juni;46.7;45.6;6.4;2.8
227;B-E Nijverheid (geen bouw) en energie;1970 juli;41.9;39.3;4.9;4.8
228;B-E Nijverheid (geen bouw) en energie;1970 augustus;41.8;41.9;2.2;2.1
229;B-E Nijverheid (geen bouw) en energie;1970 september;46.0;44.9;2.0;2.0
230;B-E Nijverheid (geen bouw) en energie;1970 oktober;50.3;48.7;0.5;3.7
231;B-E Nijverheid (geen bouw) en energie;1970 november;49.0;49.5;3.6;0.6
232;B-E Nijverheid (geen bouw) en energie;1970 december;50.4;48.8;4.6;1.4
233;B-E Nijverheid (geen bouw) en energie;1970;45.9;45.9;4.8;4.8
234;B-E Nijverheid (geen bouw) en energie;1971 januari;45.2;46.7;1.5;4.2
235;B-E Nijverheid (geen bouw) en energie;1971 februari;44.5;47.8;2.7;3.4
236;B-E Nijverheid (geen bouw) en energie;1971 maart;51.2;48.3;8.2;1.7
237;B-E Nijverheid (geen bouw) en energie;1971 april;47.3;48.3;-1.8;2.7
238;B-E Nijverheid (geen bouw) en energie;1971 mei;44.4;48.1;7.0;3.2
239;B-E Nijverheid (geen bouw) en energie;1971 juni;48.2;47.6;3.1;4.2
240;B-E Nijverheid (geen bouw) en energie;1971 juli;40.5;39.4;-3.5;0.1
241;B-E Nijverheid (geen bouw) en energie;1971 augustus;45.3;44.1;8.2;5.4
242;B-E Nijverheid (geen bouw) en energie;1971 september;48.0;47.4;4.5;5.5
243;B-E Nijverheid (geen bouw) en energie;1971 oktober;51.1;51.3;1.4;5.3
244;B-E Nijverheid (geen bouw) en energie;1971 november;53.1;52.4;8.4;5.8
245;B-E Nijverheid (geen bouw) en energie;1971 december;53.1;50.4;5.3;3.2
246;B-E Nijverheid (geen bouw) en energie;1971;47.7;47.7;3.8;3.8
247;B-E Nijverheid (geen bouw) en energie;1972 januari;49.2;49.4;8.9;5.7
248;B-E Nijverheid (geen bouw) en energie;1972 februari;49.2;50.4;10.4;5.3
249;B-E Nijverheid (geen bouw) en energie;1972 maart;54.5;50.9;6.3;5.3
250;B-E Nijverheid (geen bouw) en energie;1972 april;48.8;53.3;3.2;10.2
251;B-E Nijverheid (geen bouw) en energie;1972 mei;50.4;50.5;13.5;5.0
252;B-E Nijverheid (geen bouw) en energie;1972 juni;51.0;50.3;5.9;5.7
253;B-E Nijverheid (geen bouw) en energie;1972 juli;41.2;41.2;1.9;4.5
254;B-E Nijverheid (geen bouw) en energie;1972 augustus;49.1;46.1;8.4;4.5
255;B-E Nijverheid (geen bouw) en energie;1972 september;49.5;50.2;3.1;5.9
256;B-E Nijverheid (geen bouw) en energie;1972 oktober;55.3;53.7;8.3;4.6
257;B-E Nijverheid (geen bouw) en energie;1972 november;56.2;55.2;5.9;5.3
258;B-E Nijverheid (geen bouw) en energie;1972 december;53.2;56.6;0.4;12.5
259;B-E Nijverheid (geen bouw) en energie;1972;50.6;50.6;6.3;6.3
260;B-E Nijverheid (geen bouw) en energie;1973 januari;53.8;52.2;9.3;5.7
261;B-E Nijverheid (geen bouw) en energie;1973 februari;51.3;54.7;4.3;8.5
262;B-E Nijverheid (geen bouw) en energie;1973 maart;56.0;53.2;2.9;4.6
263;B-E Nijverheid (geen bouw) en energie;1973 april;52.6;55.7;7.8;4.5
264;B-E Nijverheid (geen bouw) en energie;1973 mei;54.6;52.7;8.2;4.4
265;B-E Nijverheid (geen bouw) en energie;1973 juni;50.7;53.1;-0.7;5.6
266;B-E Nijverheid (geen bouw) en energie;1973 juli;45.1;43.5;9.4;5.6
267;B-E Nijverheid (geen bouw) en energie;1973 augustus;51.7;48.4;5.3;4.9
268;B-E Nijverheid (geen bouw) en energie;1973 september;50.2;54.1;1.4;7.8
