ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzet_25;TotaalHandel_26;TotaalVerleendeDiensten_27;TotaalDranken_28;Gedistilleerd_29;BierAlcoholhoudend_30;BierAlcoholvrijArm_31;ZwakAlcoholischeDranken_32;KoffieEnThee_33;OverigeNietAlcoholischeDranken_34;Keuken_35;IJsEnSorbets_36;Logies_37;VerhuurZalenEnBanen_38;OverigeHorecaActiviteiten_39;OverigeDienstverlening_40;OntvangstenVoorUitleenEnSubsidie_41;TotaalPersoneelskosten_42;BrutoLonenEnSalarissen_43;SocialeLasten_44;Pensioenpremies_45;KostenUitzendkrachten_46;KostenIngeleendPersoneel_47;OverigePersoneelskosten_48;TotaalOverigeBedrijfslasten_49;TotaalHuisvestingskosten_50;BetaaldeHurenPachtenEDVanLeasing_51;OnroerendeZaakbelastingMilieuheffing_52;Energiekosten_53;ReparatieEnOnderhoudskosten_54;Verzekeringen_55;OverigeHuisvestingskosten_56;TotaalInventarisEnMachinekosten_57;BetaaldeHurenEnKostenVanOperLease_58;Onderhoudskosten_59;OverigeInventarisEnMachinekosten_60;TotaalAutokosten_61;BetaaldeHurenEnKostenVanOperLease_62;Brandstof_63;OverigeAutokosten_64;TotaalVerkoopkosten_65;ReclameEnAdvertentiekosten_66;ReisVerblijfsEnRepresentatiekosten_67;OverigeVerkoopkosten_68;TotaalAndereKosten_69;AccountantsEnAdviesdiensten_70;KantoorbenodigdhDrukwerkVakliteratuur_71;OverigeVerzekeringen_72;OverigeKostprijsverhogendeBelastingen_73;Communicatiekosten_74;Beheerskosten_75;OverigeAutomatiseringskosten_76;NogNietEerderGenoemdeBedrijfskosten_77;TotaalAantalWerkzamePersonen_78;WerknemersOpDeLoonlijst_79;WerknemersNietOpLoonlijst_80;OverigPersoneel_81;AantalVte_82;TotaalInvesteringen_83;TotaalMaterieleVasteActiva_84;Bedrijfsruimten_85;Vervoermiddelen_86;Computers_87;OverigeMachinesApparatenED_88;OverigeMaterieleVasteActiva_89;TotaalImmaterieleVasteActiva_90
10;250 000 tot 750 000 euro;1998;12.2;455;452;442;10;3;395;43.4;26.5;6.1;24.0;95;46;6;5;14;24;60;-9;51;62.1;11.8;11.2;3.7;452;2.2;97.8;18.2;1.2;5.1;0.3;1.1;4.5;6.0;71.7;4.4;0.0;0.0;3.4;0.0;1.4;105;84.5;12.1;1.2;0.9;0.2;2.5;95;46;;;;;;;6;;;;5;;;;14;;;;24;;;;;;;;;142;88.0;11.6;0.4;74;17;99.4;30.4;16.0;1.7;46.2;5.1;0.6
11;250 000 tot 750 000 euro;1999;13.1;521;517;514;3;4;449;43.0;25.9;6.2;24.9;112;55;7;6;16;27;72;-3;69;62.6;11.8;13.2;13.8;517;0.5;99.5;19.6;1.2;5.7;0.3;1.2;4.3;6.8;69.1;5.5;0.0;0.1;4.9;0.4;1.6;116;83.5;13.6;1.1;0.4;0.0;3.1;112;55;;;;;;;7;;;;6;;;;16;;;;27;;;;;;;;;174;88.4;10.9;0.7;82;72;100.0;43.5;8.4;0.6;27.1;20.3;0.0
12;750 000 tot 1 500 000 euro;1996;1.1;103;103;93;9;0;97;39.0;28.2;7.6;25.2;24;11;2;1;4;6;6;-1;5;63.2;4.6;4.9;1.6;103;9.2;90.8;22.8;1.4;5.2;0.3;1.4;5.4;9.0;61.6;4.0;0.0;0.1;1.8;0.6;1.3;27;83.7;10.8;2.8;0.7;0.0;3.2;24;11;60.6;2.9;16.7;6.8;1.4;11.6;2;5.1;43.9;51.0;1;15.7;28.7;55.6;4;50.8;4.9;44.3;6;22.9;7.4;8.1;0.6;4.4;18.7;1.8;36.2;37;96.0;3.8;0.2;18;2;86.5;15.0;12.1;2.1;28.0;29.4;13.5
13;750 000 tot 1 500 000 euro;1997;0.9;91;90;89;1;1;84;36.0;30.0;7.4;26.6;22;11;1;1;4;5;7;-2;5;66.5;5.9;5.9;2.0;90;0.7;99.3;25.6;1.6;5.9;0.4;1.7;6.5;9.5;65.0;5.2;0.0;0.0;3.2;0.3;0.4;25;84.1;11.7;1.2;0.6;0.1;2.7;22;11;65.8;1.9;14.6;5.6;2.1;10.0;1;4.6;65.3;30.2;1;14.0;22.3;63.7;4;47.2;8.6;44.2;5;22.3;14.4;11.0;2.2;6.6;14.3;0.6;28.5;32;95.7;3.7;0.5;16;2;94.9;13.8;5.0;0.2;38.4;37.6;5.1
14;750 000 tot 1 500 000 euro;1998;1.1;115;114;114;1;1;105;35.9;28.0;7.7;28.4;30;15;2;1;6;6;10;-4;6;67.1;6.7;5.6;3.2;114;0.6;99.4;20.6;0.9;3.9;0.2;0.5;5.3;9.9;73.0;3.8;0.0;0.0;1.9;0.0;0.7;29;81.3;14.7;1.1;0.4;0.2;2.9;30;15;;;;;;;2;;;;1;;;;6;;;;6;;;;;;;;;33;95.6;3.8;0.6;18;4;99.7;22.8;24.1;1.6;41.2;9.9;0.3
15;750 000 tot 1 500 000 euro;1999;1.0;109;108;108;1;1;106;34.4;30.6;7.4;27.6;29;14;2;1;5;7;3;0;3;66.3;3.3;2.8;4.7;108;0.7;99.3;23.1;0.7;6.1;0.1;0.8;5.4;10.1;70.1;5.0;0.0;0.1;1.0;0.1;1.1;33;80.1;13.7;2.9;0.2;0.3;3.9;29;14;;;;;;;2;;;;1;;;;5;;;;7;;;;;;;;;39;98.1;1.3;0.6;20;5;82.0;28.4;14.2;2.6;27.9;8.9;18.0
16;1 500 000 euro en meer;1996;0.6;258;227;225;2;31;228;30.2;27.1;8.7;34.0;78;38;3;2;20;14;30;-7;23;69.6;8.0;8.9;3.0;227;0.7;99.3;24.7;0.0;0.2;0.0;0.0;7.5;16.9;69.0;3.7;0.1;0.0;1.9;0.0;0.3;62;85.6;9.1;1.5;0.9;0.2;3.1;78;38;67.5;1.3;9.4;4.4;1.7;15.7;3;6.4;67.9;25.8;2;53.8;18.9;27.3;20;69.7;7.7;22.5;14;17.3;5.3;5.3;0.7;4.8;19.7;6.2;40.7;87;98.0;0.3;1.8;47;8;63.1;1.2;2.7;0.5;27.0;31.8;36.9
17;1 500 000 euro en meer;1997;0.7;305;270;268;2;35;271;30.7;26.2;8.4;34.8;94;47;4;2;23;18;34;-8;26;69.2;7.5;8.7;1.9;270;0.7;99.3;25.7;0.0;0.2;0.1;0.0;7.8;17.5;67.7;3.8;0.0;0.0;2.1;0.0;0.7;71;85.0;8.8;2.3;1.3;0.1;3.2;94;47;67.0;1.3;9.5;8.9;1.0;12.2;4;4.6;76.2;19.3;2;53.8;11.2;35.0;23;62.3;8.7;29.0;18;12.1;4.3;5.1;0.7;5.0;20.1;3.0;49.7;96;98.1;0.2;1.7;51;6;77.3;0.8;7.7;1.9;18.0;49.0;22.7
18;1 500 000 euro en meer;1998;0.8;344;300;299;1;44;311;30.8;27.9;8.0;33.2;103;54;5;2;25;17;32;-8;24;68.0;5.7;7.1;2.8;300;0.2;99.8;26.0;0.0;0.3;0.1;0.1;8.6;16.9;67.4;3.5;0.0;0.0;2.3;0.5;0.3;87;80.0;12.1;1.8;1.8;0.2;4.4;103;54;;;;;;;5;;;;2;;;;25;;;;17;;;;;;;;;108;98.1;0.3;1.7;61;10;98.7;5.3;1.4;1.0;64.0;26.9;1.3
19;1 500 000 euro en meer;1999;0.9;383;341;331;10;42;349;31.7;28.6;8.2;31.5;110;61;5;2;25;16;35;-9;26;67.6;6.3;6.8;7.4;341;2.8;97.2;27.1;0.0;0.3;0.0;0.0;8.7;17.9;63.8;3.5;0.0;0.0;2.2;0.7;0.6;100;80.0;13.4;1.7;1.2;0.6;3.6;110;61;;;;;;;5;;;;2;;;;25;;;;16;;;;;;;;;110;98.5;0.2;1.2;56;28;88.9;1.3;3.3;0.6;23.6;60.2;11.1
