ID;BedrijfstakBranchesSBI93;Perioden;TotaalBedrijfsopbrengsten_1;NettoOmzet_2;OverigeBedrijfsopbrengsten_3;TotaalBedrijfslasten_4;TotaleBedrijfskosten_5;Personeelskosten_6;OverigeBedrijfskosten_7;OverigeBedrijfslasten_8;Exploitatiesaldo_9;TotaalPersonen_10;InLoondienst_11;IngehuurdePersonen_12;VrijwilligersStagiaires_13;TotaalFteS_14;InLoondienst_15;IngehuurdeFteS_16;VrijwilligersStagiaires_17;Investeringen_18
14;92111/2+9212Prod/ondrst/dist video/films;2005;1637.0;1635.0;2.0;1602.0;1575.0;299.0;1276.0;27.0;34.0;9.0;6.0;2.0;0.0;6.0;5.0;1.0;0.0;79.0
15;9213 Vertoning van films;1996;124.0;117.0;7.0;113.0;80.0;31.0;50.0;32.0;12.0;4.0;2.0;0.0;1.0;2.0;1.0;1.0;;
16;9213 Vertoning van films;1999;118.0;113.0;5.0;104.0;102.0;31.0;71.0;3.0;14.0;4.0;2.0;0.0;1.0;1.0;1.0;0.0;0.0;38.0
17;9213 Vertoning van films;2001;177.0;175.0;2.0;157.0;150.0;41.0;109.0;7.0;20.0;4.0;3.0;0.0;1.0;2.0;1.0;0.0;0.0;23.0
18;9213 Vertoning van films;2003;226.0;216.0;10.0;206.0;198.0;42.0;156.0;8.0;20.0;5.0;3.0;0.0;2.0;2.0;2.0;0.0;0.0;33.0
19;9213 Vertoning van films;2005;211.0;205.0;6.0;205.0;201.0;55.0;146.0;5.0;6.0;4.0;3.0;0.0;1.0;2.0;2.0;0.0;0.0;13.0
20;922 Totaal activiteiten radio en tv;1996;1453.0;1085.0;369.0;1401.0;1126.0;294.0;832.0;275.0;52.0;24.0;8.0;3.0;13.0;8.0;6.0;2.0;;
21;922 Totaal activiteiten radio en tv;1999;2238.0;2098.0;140.0;2187.0;2094.0;571.0;1524.0;93.0;51.0;19.0;12.0;5.0;4.0;14.0;10.0;3.0;1.0;230.0
22;922 Totaal activiteiten radio en tv;2001;2104.0;2082.0;23.0;2139.0;2080.0;548.0;1534.0;58.0;24.0;21.0;13.0;3.0;6.0;15.0;12.0;2.0;1.0;88.0
23;922 Totaal activiteiten radio en tv;2003;2355.0;2180.0;175.0;2110.0;2058.0;590.0;1468.0;52.0;265.0;19.0;12.0;4.0;3.0;13.0;10.0;2.0;1.0;109.0
24;922 Totaal activiteiten radio en tv;2005;2102.0;2019.0;83.0;1966.0;1951.0;606.0;1344.0;16.0;135.0;18.0;12.0;4.0;2.0;13.0;11.0;2.0;1.0;107.0
25;"92201 Radio en tv; omroeporganisaties";1996;;;;;;;;;;;;;;;;;;
26;"92201 Radio en tv; omroeporganisaties";1999;1366.0;1247.0;119.0;1383.0;1310.0;402.0;908.0;73.0;-17.0;13.0;6.0;3.0;3.0;8.0;6.0;2.0;1.0;120.0
27;"92201 Radio en tv; omroeporganisaties";2001;1346.0;1332.0;14.0;1391.0;1349.0;340.0;1010.0;42.0;-3.0;14.0;7.0;1.0;6.0;8.0;6.0;1.0;1.0;48.0
28;"92201 Radio en tv; omroeporganisaties";2003;1552.0;1384.0;168.0;1338.0;1303.0;347.0;956.0;35.0;214.0;11.0;7.0;2.0;3.0;8.0;6.0;1.0;1.0;63.0
29;"92201 Radio en tv; omroeporganisaties";2005;1069.0;1008.0;62.0;1096.0;1090.0;352.0;739.0;6.0;-27.0;10.0;7.0;1.0;2.0;7.0;6.0;1.0;0.0;46.0
30;"92202/3 Radio/tv; prod. en onderst.";1996;;;;;;;;;;;;;;;;;;
31;"92202/3 Radio/tv; prod. en onderst.";1999;872.0;851.0;21.0;803.0;784.0;169.0;615.0;19.0;69.0;6.0;6.0;2.0;1.0;6.0;4.0;1.0;0.0;110.0
32;"92202/3 Radio/tv; prod. en onderst.";2001;759.0;750.0;9.0;748.0;732.0;208.0;524.0;16.0;27.0;7.0;6.0;2.0;0.0;7.0;6.0;1.0;0.0;40.0
33;"92202/3 Radio/tv; prod. en onderst.";2003;803.0;795.0;8.0;772.0;755.0;244.0;512.0;16.0;31.0;8.0;5.0;2.0;0.0;5.0;4.0;1.0;0.0;47.0
34;"92202/3 Radio/tv; prod. en onderst.";2005;1032.0;1011.0;21.0;870.0;860.0;255.0;606.0;10.0;162.0;8.0;5.0;2.0;0.0;6.0;5.0;1.0;0.0;61.0
