ID;Voertuigsoort;BedrijfstakkenBranchesSBI2008;KenmerkenVrachtautoSEnTrekkers;Perioden;VoertuigenInGebruik_1
101;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 6;2023;119436
102;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: onbekend;2018;0
103;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: onbekend;2019;0
104;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: onbekend;2020;0
105;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: onbekend;2021;0
106;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: onbekend;2022;0
107;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: onbekend;2023;0
108;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: tot 7 000 kg;2018;26528
109;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: tot 7 000 kg;2019;26723
110;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: tot 7 000 kg;2020;26487
111;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: tot 7 000 kg;2021;26258
112;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: tot 7 000 kg;2022;26339
113;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: tot 7 000 kg;2023;26944
114;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 7 000 tot 12 000 kg;2018;21431
115;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 7 000 tot 12 000 kg;2019;21584
116;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 7 000 tot 12 000 kg;2020;20990
117;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 7 000 tot 12 000 kg;2021;20534
118;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 7 000 tot 12 000 kg;2022;20704
119;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 7 000 tot 12 000 kg;2023;21051
120;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 12 000 tot 18 000 kg;2018;15804
121;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 12 000 tot 18 000 kg;2019;16155
122;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 12 000 tot 18 000 kg;2020;15974
123;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 12 000 tot 18 000 kg;2021;15941
124;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 12 000 tot 18 000 kg;2022;16115
125;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 12 000 tot 18 000 kg;2023;16558
126;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 18 000 tot 40 000 kg;2018;20707
127;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 18 000 tot 40 000 kg;2019;21697
128;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 18 000 tot 40 000 kg;2020;21466
129;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 18 000 tot 40 000 kg;2021;21842
130;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 18 000 tot 40 000 kg;2022;22578
131;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 18 000 tot 40 000 kg;2023;23130
132;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 40 000 kg of meer;2018;67021
133;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 40 000 kg of meer;2019;68571
134;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 40 000 kg of meer;2020;66624
135;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 40 000 kg of meer;2021;67403
136;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 40 000 kg of meer;2022;70644
137;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: 40 000 kg of meer;2023;73620
138;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: onbekend;2018;44
139;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: onbekend;2019;60
140;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: onbekend;2020;46
141;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: onbekend;2021;72
142;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: onbekend;2022;97
143;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Laadvermogen: onbekend;2023;107
144;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: tot 10000 kg;2018;15189
145;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: tot 10000 kg;2019;15526
146;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: tot 10000 kg;2020;15490
147;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: tot 10000 kg;2021;15481
148;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: tot 10000 kg;2022;15515
149;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: tot 10000 kg;2023;16373
150;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: 10000 tot 20000 kg;2018;29045
151;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: 10000 tot 20000 kg;2019;28820
152;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: 10000 tot 20000 kg;2020;27936
153;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: 10000 tot 20000 kg;2021;27111
154;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: 10000 tot 20000 kg;2022;27155
155;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: 10000 tot 20000 kg;2023;27011
156;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: 20000 kg of meer;2018;107283
157;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: 20000 kg of meer;2019;110432
158;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: 20000 kg of meer;2020;108145
159;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: 20000 kg of meer;2021;109444
160;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: 20000 kg of meer;2022;113789
161;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: 20000 kg of meer;2023;118010
162;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: onbekend;2018;18
163;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: onbekend;2019;12
164;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: onbekend;2020;16
165;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: onbekend;2021;14
166;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: onbekend;2022;18
167;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Gewicht volle wagen: onbekend;2023;16
168;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 0 tot 210 cm;2018;7346
169;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 0 tot 210 cm;2019;7937
170;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 0 tot 210 cm;2020;8157
171;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 0 tot 210 cm;2021;8393
172;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 0 tot 210 cm;2022;8617
173;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 0 tot 210 cm;2023;9634
174;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 210 tot 240 cm;2018;7620
175;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 210 tot 240 cm;2019;7459
176;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 210 tot 240 cm;2020;7229
177;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 210 tot 240 cm;2021;7076
178;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 210 tot 240 cm;2022;6924
179;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 210 tot 240 cm;2023;6866
180;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 240 tot 250 cm;2018;6487
181;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 240 tot 250 cm;2019;5884
182;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 240 tot 250 cm;2020;5199
183;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 240 tot 250 cm;2021;4606
184;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 240 tot 250 cm;2022;4329
185;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 240 tot 250 cm;2023;4026
186;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 250 tot 255 cm;2018;45055
187;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 250 tot 255 cm;2019;44675
188;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 250 tot 255 cm;2020;42453
189;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 250 tot 255 cm;2021;41826
190;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 250 tot 255 cm;2022;43189
191;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 250 tot 255 cm;2023;43160
192;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 255 tot 260 cm;2018;78639
193;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 255 tot 260 cm;2019;82257
194;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 255 tot 260 cm;2020;82069
195;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 255 tot 260 cm;2021;83734
196;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 255 tot 260 cm;2022;86874
197;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 255 tot 260 cm;2023;90883
198;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 260 cm of meer;2018;6387
199;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 260 cm of meer;2019;6577
200;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 260 cm of meer;2020;6479
201;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 260 cm of meer;2021;6414
202;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 260 cm of meer;2022;6543
203;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: 260 cm of meer;2023;6840
204;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: onbekend;2018;1
205;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: onbekend;2019;1
206;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: onbekend;2020;1
207;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: onbekend;2021;1
208;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: onbekend;2022;1
209;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Voertuigbreedte: onbekend;2023;1
210;Vrachtauto's en trekkers voor oplegger;B-E Nijverheid (geen bouw) en energie;Totaal;2018;11943
211;Vrachtauto's en trekkers voor oplegger;B-E Nijverheid (geen bouw) en energie;Totaal;2019;12422
212;Vrachtauto's en trekkers voor oplegger;B-E Nijverheid (geen bouw) en energie;Totaal;2020;12124
