ID;AGGZInstellingen;Periode;AantalInstellingen_1;AantalVestigingen_2;AantalSpreekuuradressen_3;TotaalWerkzamePersonen_4;Fulltimers_5;Parttimers_6;TotaalBezet_7;Mannen_8;Vrouwen_9;TotaalArtsen_10;Mannen_11;Vrouwen_12;TotaalOverigeAcademici_13;Mannen_14;Vrouwen_15;TotaalPsychotherapeuten_16;Mannen_17;Vrouwen_18;TotaalSocPsychVerpleegkundigen_19;Mannen_20;Vrouwen_21;TotaalMaatschappelijkWerkenden_22;Mannen_23;Vrouwen_24;TotaalAnderPersoneel_25;Mannen_26;Vrouwen_27;OproepkrachtenGewerkteUren_28;Uitzendkrachten_29;Stagiaires_30;OverigPersoneel_31
27;3;1986;18;;;1150;530;620;922;495;427;32.0;26.0;6.0;104;79.0;25.0;;;;80;35;45;444;279;165;262;76;186;;;;
28;3;1987;18;;;1157;496;661;918;498;420;33.0;28.0;5.0;105;78.0;27.0;;;;83;33;50;434;279;155;263;80;183;;;;
29;3;1988;18;;;1165;504;661;921;491;430;34.0;30.0;4.0;105;78.0;27.0;0.0;0.0;0.0;82;32;50;442;276;166;258;75;183;;;;
30;3;1989;18;;;1212;510;702;953;505;448;35.0;26.0;9.0;113;80.0;33.0;0.0;0.0;0.0;81;35;46;475;298;177;249;66;183;;;;
31;3;1990;17;;;1257;499;758;983;501;482;32.0;25.0;7.0;124;82.0;42.0;0.0;0.0;0.0;81;36;45;481;293;188;265;65;200;;;;
32;3;1991;17;;;1369;467;902;1036;517;519;32.0;25.0;7.0;116;78.0;38.0;0.0;0.0;0.0;93;37;56;492;287;205;303;90;213;;;;
33;3;1992;17;;;1319;420;899;997;500;497;31.0;21.0;10.0;87;59.0;28.0;0.0;0.0;0.0;93;33;60;500;301;199;286;86;200;;;;
34;3;1993;17;;;1331;427;904;1002;493;509;;;;78;51.0;27.0;;;;91;35;56;462;268;194;342;119;223;;;;
35;3;1994;17;;;1434;432;1002;1076;535;541;;;;66;43.0;23.0;;;;111;41;70;505;293;212;357;131;226;;;;
36;3;1995;16;;;1456;434;1022;1091;536;555;;;;77;;;;;;105;37;68;491;272;219;386;156;230;;;;
37;3;1996;17;;;1626;481;1145;1233;599;634;;;;81;;;;;;120;45;75;536;293;243;462;189;273;;;;
38;3;1997;17;;;1913;578;1335;1451;692;759;;;;56;;;;;;136;53;83;573;311;262;648;276;372;;;;
39;4;1985;11;;;519;178;341;340;137;203;77.0;48.0;29.0;41;24.0;17.0;;;;60;15;45;64;22;42;98;28;70;;;;
40;4;1986;10;;;468;173;295;299;120;179;67.0;36.0;31.0;37;23.0;14.0;;;;62;16;46;60;23;37;73;22;51;;;;
41;4;1987;10;;;453;151;302;284;117;167;50.0;24.0;26.0;13;8.0;5.0;;;;53;13;40;56;21;35;112;51;61;;;;
42;4;1988;10;;;443;147;296;280;110;170;50.0;25.0;25.0;12;9.0;3.0;31.0;19.0;12.0;53;13;40;57;21;36;77;23;54;;;;
43;4;1989;13;;;511;154;357;310;123;187;57.0;29.0;28.0;22;14.0;8.0;28.0;18.0;10.0;53;13;40;66;23;43;84;26;58;;;;
44;4;1990;12;;;327;61;266;167;77;90;17.0;10.0;7.0;21;14.0;7.0;23.0;15.0;8.0;0;0;0;41;15;26;65;23;42;;;;
45;4;1991;12;;;319;56;263;166;74;92;18.0;11.0;7.0;25;15.0;10.0;18.0;11.0;7.0;0;0;0;42;13;29;63;24;39;;;;
46;4;1992;13;;;341;62;279;190;84;106;24.0;15.0;9.0;30;17.0;13.0;11.0;8.0;3.0;6;3;3;45;14;31;74;27;47;;;;
47;4;1993;11;;;320;50;270;176;76;100;;;;13;5.0;8.0;;;;0;0;0;44;15;29;88;37;51;;;;
48;4;1994;11;;;298;48;250;169;74;95;;;;10;5.0;5.0;;;;0;0;0;42;13;29;87;36;51;;;;
49;4;1995;7;;;109;18;91;68;14;54;;;;6;;;;;;0;0;0;33;7;26;27;5;22;;;;
50;4;1996;7;;;105;17;88;69;15;54;;;;6;;;;;;0;0;0;35;9;26;27;5;22;;;;
51;4;1997;12;;;242;74;168;180;89;91;;;;5;;;;;;0;0;0;75;34;41;96;54;42;;;;
