ID;Persoonskenmerken;Perioden;PersoonlijkeVerzorging_1;VerzorgingVanAnderen_2;Onderweg_3;BetaaldWerk_4;Onderwijs_5;HuishoudelijkeVerplichtingen_6;Vrijwilligerswerk_7;VrijeTijd_8;OverigeOfOnbekendeTijdsbesteding_9;PersoonlijkeVerzorging_10;VerzorgingVanAnderen_11;Onderweg_12;BetaaldWerk_13;Onderwijs_14;HuishoudelijkeVerplichtingen_15;Vrijwilligerswerk_16;VrijeTijd_17;OverigeOfOnbekendeTijdsbesteding_18
10;Vrouwen;2001;10:31 ;0:38  ;0:48  ;1:54  ;0:34  ;3:08  ;0:09  ;5:49  ;0:29  ;100.0;28.0;56.0;29.0;13.0;85.0;6.0;98.0;29.0
11;Vrouwen;2003;10:32 ;0:34  ;0:50  ;1:53  ;0:32  ;3:05  ;0:08  ;6:01  ;0:24  ;100.0;26.0;59.0;28.0;12.0;87.0;5.0;99.0;23.0
12;12-17 jarigen;1997;11:18 ;0:19  ;0:45  ;0:38  ;3:36  ;0:38  ;0:04  ;6:07  ;0:35  ;100.0;15.0;70.0;14.0;61.0;44.0;3.0;99.0;31.0
13;12-17 jarigen;1999;11:11 ;0:14  ;0:58  ;0:53  ;3:03  ;0:55  ;0:02  ;6:02  ;0:40  ;100.0;12.0;66.0;17.0;56.0;51.0;1.0;98.0;34.0
14;12-17 jarigen;2001;11:09 ;0:06  ;0:58  ;0:59  ;3:21  ;0:43  ;0:05  ;6:11  ;0:27  ;100.0;8.0;75.0;21.0;58.0;46.0;3.0;98.0;28.0
15;12-17 jarigen;2003;11:21 ;0:06  ;0:59  ;0:39  ;3:23  ;0:43  ;0:02  ;6:21  ;0:25  ;100.0;7.0;74.0;14.0;59.0;48.0;2.0;99.0;23.0
16;18-24 jarigen;1997;10:24 ;0:10  ;1:07  ;3:10  ;1:30  ;1:05  ;0:07  ;5:53  ;0:34  ;100.0;9.0;72.0;43.0;33.0;56.0;5.0;98.0;26.0
17;18-24 jarigen;1999;10:15 ;0:08  ;1:09  ;3:27  ;1:22  ;1:26  ;0:06  ;5:44  ;0:23  ;100.0;8.0;73.0;43.0;29.0;62.0;4.0;97.0;24.0
18;18-24 jarigen;2001;10:22 ;0:06  ;1:13  ;3:15  ;1:25  ;1:16  ;0:09  ;5:52  ;0:22  ;100.0;7.0;71.0;42.0;30.0;58.0;4.0;98.0;22.0
19;18-24 jarigen;2003;10:10 ;0:07  ;1:17  ;3:11  ;1:21  ;1:22  ;0:06  ;6:04  ;0:22  ;100.0;6.0;78.0;42.0;30.0;60.0;3.0;98.0;20.0
20;25-34 jarigen;1997;10:17 ;0:56  ;0:54  ;3:47  ;0:18  ;1:46  ;0:06  ;5:23  ;0:32  ;100.0;35.0;67.0;48.0;8.0;67.0;4.0;97.0;29.0
21;25-34 jarigen;1999;9:41  ;0:50  ;0:59  ;4:12  ;0:19  ;2:15  ;0:07  ;5:10  ;0:27  ;100.0;35.0;68.0;52.0;9.0;76.0;4.0;97.0;25.0
22;25-34 jarigen;2001;9:46  ;0:48  ;1:06  ;4:39  ;0:16  ;2:05  ;0:06  ;4:54  ;0:19  ;100.0;35.0;70.0;56.0;7.0;76.0;4.0;98.0;23.0
23;25-34 jarigen;2003;9:53  ;0:49  ;1:05  ;4:25  ;0:16  ;2:04  ;0:06  ;5:01  ;0:20  ;100.0;35.0;73.0;53.0;8.0;75.0;4.0;98.0;18.0
24;35-44 jarigen;1997;10:24 ;1:07  ;0:49  ;3:30  ;0:12  ;2:07  ;0:11  ;5:09  ;0:31  ;100.0;48.0;62.0;45.0;6.0;72.0;7.0;97.0;28.0
25;35-44 jarigen;1999;9:39  ;1:02  ;1:03  ;3:46  ;0:11  ;2:45  ;0:09  ;4:54  ;0:31  ;100.0;51.0;65.0;49.0;7.0;80.0;6.0;97.0;28.0
26;35-44 jarigen;2001;9:41  ;0:58  ;0:59  ;4:01  ;0:16  ;2:38  ;0:09  ;4:54  ;0:24  ;100.0;46.0;67.0;52.0;7.0;80.0;7.0;98.0;26.0
27;35-44 jarigen;2003;9:46  ;0:56  ;1:01  ;3:46  ;0:08  ;2:47  ;0:11  ;5:04  ;0:21  ;100.0;46.0;70.0;50.0;5.0;84.0;7.0;98.0;20.0
28;45-54 jarigen;1997;10:49 ;0:27  ;0:48  ;3:01  ;0:10  ;2:15  ;0:14  ;5:34  ;0:42  ;100.0;23.0;57.0;41.0;6.0;71.0;8.0;96.0;34.0
29;45-54 jarigen;1999;10:06 ;0:20  ;0:52  ;2:58  ;0:07  ;3:10  ;0:13  ;5:40  ;0:35  ;100.0;21.0;55.0;38.0;5.0;82.0;9.0;97.0;31.0
30;45-54 jarigen;2001;10:10 ;0:20  ;0:55  ;3:16  ;0:08  ;2:54  ;0:11  ;5:38  ;0:27  ;100.0;19.0;57.0;42.0;5.0;81.0;8.0;97.0;29.0
31;45-54 jarigen;2003;9:46  ;0:17  ;0:56  ;3:35  ;0:07  ;2:57  ;0:12  ;5:45  ;0:26  ;100.0;17.0;63.0;48.0;4.0;84.0;6.0;99.0;23.0
32;55-64 jarigen;1997;11:11 ;0:25  ;0:41  ;1:08  ;0:07  ;2:30  ;0:16  ;7:01  ;0:40  ;100.0;20.0;47.0;17.0;4.0;77.0;11.0;99.0;33.0
33;55-64 jarigen;1999;10:15 ;0:24  ;0:42  ;1:37  ;0:02  ;3:25  ;0:19  ;6:36  ;0:39  ;100.0;17.0;45.0;21.0;3.0;84.0;9.0;98.0;33.0
34;55-64 jarigen;2001;10:15 ;0:23  ;0:48  ;1:40  ;0:06  ;3:23  ;0:22  ;6:28  ;0:36  ;100.0;14.0;49.0;24.0;3.0;85.0;11.0;98.0;31.0
35;55-64 jarigen;2003;10:17 ;0:17  ;0:47  ;1:41  ;0:05  ;2:59  ;0:19  ;7:07  ;0:30  ;100.0;13.0;52.0;24.0;3.0;83.0;9.0;99.0;25.0
36;65-74 jarigen;1997;11:49 ;0:15  ;0:34  ;0:09  ;0:03  ;2:25  ;0:15  ;7:52  ;0:39  ;100.0;15.0;39.0;3.0;3.0;80.0;9.0;99.0;35.0
37;65-74 jarigen;1999;10:45 ;0:21  ;0:30  ;0:06  ;0:02  ;3:37  ;0:20  ;7:33  ;0:45  ;100.0;19.0;33.0;2.0;2.0;90.0;10.0;98.0;38.0
38;65-74 jarigen;2001;10:43 ;0:16  ;0:33  ;0:11  ;0:03  ;3:12  ;0:19  ;8:03  ;0:40  ;100.0;11.0;37.0;4.0;2.0;89.0;12.0;99.0;31.0
39;65-74 jarigen;2003;10:53 ;0:09  ;0:39  ;0:07  ;0:05  ;3:15  ;0:13  ;8:10  ;0:30  ;100.0;9.0;42.0;3.0;3.0;90.0;7.0;100.0;25.0
40;75+ jarigen;1997;12:45 ;0:19  ;0:18  ;0:08  ;0:03  ;1:51  ;0:11  ;7:54  ;0:31  ;100.0;13.0;30.0;5.0;2.0;73.0;7.0;98.0;32.0
41;75+ jarigen;1999;11:41 ;0:06  ;0:21  ;0:07  ;0:06  ;3:03  ;0:10  ;7:57  ;0:30  ;100.0;6.0;27.0;2.0;3.0;86.0;6.0;99.0;32.0
42;75+ jarigen;2001;11:33 ;0:08  ;0:15  ;0:01  ;0:03  ;2:55  ;0:10  ;8:17  ;0:38  ;100.0;6.0;24.0;1.0;2.0;86.0;5.0;100.0;32.0
43;75+ jarigen;2003;11:23 ;0:03  ;0:23  ;0:04  ;0:03  ;2:58  ;0:09  ;8:28  ;0:29  ;100.0;6.0;30.0;2.0;2.0;88.0;5.0;99.0;26.0
44;Onderwijsniveau: basisonderwijs;1997;11:36 ;0:31  ;0:36  ;1:01  ;0:57  ;1:54  ;0:06  ;6:46  ;0:33  ;100.0;21.0;49.0;16.0;18.0;67.0;4.0;98.0;30.0
45;Onderwijsniveau: basisonderwijs;1999;10:55 ;0:22  ;0:42  ;1:02  ;0:53  ;2:50  ;0:08  ;6:36  ;0:32  ;100.0;19.0;45.0;15.0;18.0;77.0;4.0;98.0;29.0
46;Onderwijsniveau: basisonderwijs;2001;10:57 ;0:18  ;0:38  ;1:07  ;1:07  ;2:25  ;0:06  ;6:50  ;0:31  ;100.0;13.0;51.0;16.0;20.0;72.0;4.0;98.0;30.0
47;Onderwijsniveau: basisonderwijs;2003;10:51 ;0:15  ;0:43  ;1:11  ;1:03  ;2:25  ;0:06  ;6:55  ;0:30  ;100.0;15.0;52.0;18.0;19.0;76.0;4.0;99.0;24.0
48;Onderwijsniveau: vbo;1997;10:55 ;0:32  ;0:42  ;2:05  ;0:14  ;2:09  ;0:11  ;6:33  ;0:39  ;100.0;27.0;52.0;28.0;7.0;71.0;6.0;97.0;32.0
49;Onderwijsniveau: vbo;1999;10:13 ;0:34  ;0:44  ;2:38  ;0:12  ;2:52  ;0:09  ;5:58  ;0:40  ;100.0;28.0;51.0;33.0;6.0;76.0;6.0;97.0;32.0
50;Onderwijsniveau: vbo;2001;10:17 ;0:26  ;0:42  ;2:31  ;0:10  ;2:58  ;0:10  ;6:16  ;0:30  ;100.0;22.0;51.0;33.0;5.0;80.0;5.0;99.0;29.0
51;Onderwijsniveau: vbo;2003;10:18 ;0:21  ;0:42  ;2:19  ;0:14  ;2:53  ;0:09  ;6:39  ;0:24  ;100.0;19.0;55.0;33.0;7.0;82.0;5.0;100.0;23.0
52;Onderwijsniveau: mavo, havo/vwo 3-;1997;10:52 ;0:36  ;0:46  ;2:01  ;1:08  ;1:54  ;0:06  ;6:01  ;0:37  ;100.0;27.0;63.0;30.0;22.0;72.0;5.0;98.0;31.0
53;Onderwijsniveau: mavo, havo/vwo 3-;1999;10:29 ;0:35  ;0:54  ;1:54  ;0:53  ;2:41  ;0:13  ;5:44  ;0:39  ;100.0;25.0;56.0;27.0;18.0;76.0;6.0;96.0;36.0
54;Onderwijsniveau: mavo, havo/vwo 3-;2001;10:22 ;0:21  ;0:55  ;2:06  ;0:56  ;2:28  ;0:12  ;6:13  ;0:28  ;100.0;17.0;61.0;31.0;18.0;73.0;7.0;98.0;26.0
55;Onderwijsniveau: mavo, havo/vwo 3-;2003;10:33 ;0:20  ;0:50  ;1:57  ;0:52  ;2:28  ;0:14  ;6:23  ;0:23  ;100.0;17.0;62.0;27.0;17.0;75.0;8.0;99.0;20.0
56;Onderwijsniveau: havo/vwo, mbo;1997;10:34 ;0:38  ;0:51  ;3:06  ;0:23  ;1:54  ;0:14  ;5:46  ;0:34  ;100.0;28.0;61.0;40.0;10.0;67.0;8.0;98.0;30.0
57;Onderwijsniveau: havo/vwo, mbo;1999;9:58  ;0:36  ;0:55  ;3:20  ;0:24  ;2:33  ;0:11  ;5:33  ;0:30  ;100.0;28.0;62.0;42.0;10.0;78.0;7.0;97.0;28.0
58;Onderwijsniveau: havo/vwo, mbo;2001;9:57  ;0:35  ;1:01  ;3:30  ;0:24  ;2:24  ;0:13  ;5:31  ;0:25  ;100.0;27.0;63.0;44.0;10.0;76.0;8.0;98.0;26.0
59;Onderwijsniveau: havo/vwo, mbo;2003;10:01 ;0:32  ;1:01  ;3:17  ;0:18  ;2:30  ;0:11  ;5:47  ;0:23  ;100.0;25.0;67.0;42.0;8.0;77.0;6.0;98.0;22.0
60;Onderwijsniveau: hbo, universiteit;1997;10:24 ;0:40  ;1:04  ;3:39  ;0:30  ;1:42  ;0:12  ;5:11  ;0:38  ;100.0;28.0;68.0;47.0;13.0;68.0;9.0;97.0;30.0
61;Onderwijsniveau: hbo, universiteit;1999;9:44  ;0:31  ;1:05  ;3:37  ;0:20  ;2:19  ;0:12  ;5:42  ;0:29  ;100.0;27.0;66.0;46.0;10.0;79.0;7.0;97.0;29.0
62;Onderwijsniveau: hbo, universiteit;2001;9:55  ;0:37  ;1:08  ;3:55  ;0:22  ;2:12  ;0:13  ;5:15  ;0:24  ;100.0;28.0;67.0;49.0;9.0;78.0;9.0;98.0;26.0
63;Onderwijsniveau: hbo, universiteit;2003;9:48  ;0:34  ;1:12  ;3:45  ;0:24  ;2:11  ;0:12  ;5:33  ;0:22  ;100.0;26.0;72.0;47.0;10.0;80.0;6.0;98.0;21.0
64;Onderwijsniveau: onbekend;1997;12:32 ;0:36  ;0:39  ;0:32  ;2:19  ;0:46  ;0:01  ;6:09  ;0:26  ;100.0;23.0;65.0;10.0;48.0;48.0;3.0;96.0;35.0
65;Onderwijsniveau: onbekend;1999;11:31 ;0:27  ;0:30  ;0:24  ;2:21  ;1:04  ;0:19  ;6:24  ;1:00  ;100.0;19.0;53.0;10.0;39.0;51.0;7.0;99.0;39.0
66;Onderwijsniveau: onbekend;2001;10:47 ;0:23  ;0:51  ;2:13  ;1:23  ;1:33  ;0:10  ;5:53  ;0:46  ;100.0;22.0;62.0;28.0;30.0;68.0;10.0;98.0;38.0
67;Onderwijsniveau: onbekend;2003;9:56  ;0:17  ;0:58  ;2:07  ;0:02  ;1:39  ;0:19  ;8:13  ;0:30  ;100.0;35.0;66.0;28.0;7.0;88.0;13.0;100.0;19.0
68;Eenpersoonshuishouden;1997;11:07 ;0:10  ;0:41  ;1:58  ;0:24  ;1:58  ;0:12  ;6:58  ;0:32  ;100.0;9.0;54.0;26.0;10.0;75.0;7.0;98.0;28.0
69;Eenpersoonshuishouden;1999;10:14 ;0:11  ;0:47  ;2:15  ;0:24  ;2:26  ;0:10  ;7:02  ;0:31  ;100.0;8.0;53.0;28.0;9.0;82.0;5.0;98.0;28.0
70;Eenpersoonshuishouden;2001;10:18 ;0:10  ;0:45  ;2:24  ;0:23  ;2:22  ;0:12  ;6:57  ;0:28  ;100.0;6.0;54.0;30.0;9.0;82.0;7.0;99.0;24.0
71;Eenpersoonshuishouden;2003;10:14 ;0:07  ;0:50  ;2:05  ;0:19  ;2:33  ;0:11  ;7:20  ;0:21  ;100.0;6.0;58.0;27.0;8.0;85.0;7.0;99.0;20.0
72;Lid van eenoudergezin;1997;11:07 ;0:43  ;0:53  ;1:52  ;0:58  ;2:00  ;0:06  ;5:40  ;0:40  ;100.0;28.0;63.0;28.0;19.0;73.0;4.0;98.0;31.0
73;Lid van eenoudergezin;1999;10:21 ;0:41  ;0:48  ;2:16  ;0:53  ;2:44  ;0:07  ;5:39  ;0:32  ;100.0;34.0;57.0;31.0;19.0;79.0;4.0;96.0;24.0
74;Lid van eenoudergezin;2001;10:21 ;0:31  ;0:55  ;2:28  ;0:53  ;2:16  ;0:09  ;6:02  ;0:24  ;100.0;25.0;63.0;33.0;18.0;66.0;3.0;97.0;27.0
75;Lid van eenoudergezin;2003;10:14 ;0:26  ;1:01  ;2:15  ;0:47  ;2:25  ;0:02  ;6:22  ;0:27  ;100.0;25.0;64.0;29.0;14.0;76.0;1.0;97.0;22.0
76;Lid van paar zonder kinderen;1997;11:09 ;0:15  ;0:46  ;2:17  ;0:09  ;2:05  ;0:13  ;6:29  ;0:38  ;100.0;15.0;53.0;29.0;5.0;72.0;8.0;99.0;32.0
77;Lid van paar zonder kinderen;1999;10:20 ;0:14  ;0:49  ;2:31  ;0:08  ;2:54  ;0:14  ;6:16  ;0:33  ;100.0;12.0;53.0;31.0;5.0;83.0;7.0;98.0;30.0
78;Lid van paar zonder kinderen;2001;10:20 ;0:12  ;0:52  ;2:41  ;0:11  ;2:40  ;0:15  ;6:20  ;0:29  ;100.0;9.0;55.0;34.0;5.0;81.0;9.0;98.0;28.0
79;Lid van paar zonder kinderen;2003;10:27 ;0:09  ;0:53  ;2:24  ;0:11  ;2:43  ;0:11  ;6:36  ;0:26  ;100.0;9.0;56.0;31.0;5.0;84.0;6.0;99.0;23.0
80;Lid van paar met kinderen;1997;10:35 ;0:58  ;0:51  ;2:45  ;0:56  ;1:45  ;0:09  ;5:27  ;0:35  ;100.0;40.0;63.0;38.0;19.0;63.0;6.0;97.0;31.0
81;Lid van paar met kinderen;1999;10:07 ;0:51  ;0:58  ;2:56  ;0:48  ;2:27  ;0:09  ;5:12  ;0:33  ;100.0;42.0;62.0;39.0;18.0;71.0;6.0;97.0;31.0
82;Lid van paar met kinderen;2001;10:10 ;0:49  ;0:59  ;3:03  ;0:52  ;2:20  ;0:08  ;5:13  ;0:26  ;100.0;39.0;64.0;41.0;18.0;71.0;6.0;98.0;28.0
83;Lid van paar met kinderen;2003;10:07 ;0:45  ;1:00  ;3:06  ;0:51  ;2:14  ;0:10  ;5:22  ;0:24  ;100.0;37.0;69.0;42.0;17.0;71.0;5.0;98.0;22.0
84;Positie in het huishouden overig;1997;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
85;Positie in het huishouden overig;1999;10:36 ;0:16  ;0:47  ;2:22  ;1:10  ;2:18  ;0:23  ;5:22  ;0:46  ;100.0;7.0;52.0;35.0;18.0;79.0;7.0;97.0;38.0
86;Positie in het huishouden overig;2001;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;.     ;;;;;;;;;
87;Positie in het huishouden overig;2003;8:56  ;0:03  ;0:53  ;3:36  ;0:18  ;1:50  ;0:07  ;7:28  ;0:48  ;100.0;8.0;73.0;43.0;13.0;76.0;5.0;100.0;38.0
88;Niet stedelijke gemeenten;1997;10:47 ;0:41  ;0:49  ;2:38  ;0:32  ;2:00  ;0:09  ;5:50  ;0:36  ;100.0;29.0;58.0;35.0;12.0;69.0;6.0;98.0;32.0
89;Niet stedelijke gemeenten;1999;10:25 ;0:31  ;0:49  ;2:19  ;0:30  ;2:47  ;0:07  ;6:02  ;0:29  ;100.0;26.0;53.0;31.0;11.0;77.0;5.0;98.0;30.0
90;Niet stedelijke gemeenten;2001;10:19 ;0:24  ;0:52  ;2:40  ;0:33  ;2:35  ;0:10  ;5:54  ;0:32  ;100.0;20.0;55.0;35.0;12.0;76.0;7.0;99.0;29.0
91;Niet stedelijke gemeenten;2003;10:17 ;0:26  ;0:54  ;2:33  ;0:30  ;2:35  ;0:13  ;6:07  ;0:25  ;100.0;22.0;59.0;34.0;11.0;76.0;8.0;98.0;22.0
92;Weinig stedelijke gemeenten;1997;10:46 ;0:40  ;0:47  ;2:35  ;0:35  ;1:58  ;0:12  ;5:51  ;0:35  ;100.0;29.0;58.0;34.0;13.0;67.0;8.0;98.0;33.0
93;Weinig stedelijke gemeenten;1999;10:08 ;0:37  ;0:50  ;2:43  ;0:30  ;2:46  ;0:14  ;5:35  ;0:37  ;100.0;29.0;56.0;35.0;12.0;76.0;8.0;97.0;31.0
94;Weinig stedelijke gemeenten;2001;10:11 ;0:32  ;0:50  ;2:56  ;0:28  ;2:39  ;0:12  ;5:45  ;0:27  ;100.0;27.0;56.0;38.0;10.0;77.0;7.0;98.0;28.0
95;Weinig stedelijke gemeenten;2003;10:13 ;0:23  ;0:55  ;2:40  ;0:35  ;2:33  ;0:12  ;6:03  ;0:26  ;100.0;21.0;62.0;35.0;12.0;75.0;7.0;99.0;23.0
96;Matig stedelijke gemeenten;1997;10:47 ;0:40  ;0:48  ;2:27  ;0:39  ;1:54  ;0:12  ;5:59  ;0:35  ;100.0;28.0;58.0;34.0;15.0;66.0;7.0;97.0;29.0
97;Matig stedelijke gemeenten;1999;10:11 ;0:33  ;0:49  ;2:47  ;0:28  ;2:31  ;0:15  ;5:54  ;0:32  ;100.0;26.0;54.0;35.0;11.0;76.0;7.0;97.0;28.0
98;Matig stedelijke gemeenten;2001;10:18 ;0:27  ;0:55  ;2:40  ;0:30  ;2:27  ;0:13  ;6:05  ;0:25  ;100.0;23.0;60.0;36.0;11.0;76.0;8.0;99.0;26.0
99;Matig stedelijke gemeenten;2003;10:13 ;0:32  ;0:53  ;2:45  ;0:30  ;2:23  ;0:10  ;6:11  ;0:23  ;100.0;24.0;62.0;36.0;11.0;78.0;5.0;98.0;21.0
100;Sterk stedelijke gemeenten;1997;10:52 ;0:31  ;0:49  ;2:16  ;0:38  ;1:48  ;0:11  ;6:16  ;0:39  ;100.0;25.0;60.0;30.0;13.0;67.0;6.0;97.0;32.0
101;Sterk stedelijke gemeenten;1999;10:11 ;0:30  ;0:56  ;2:41  ;0:37  ;2:31  ;0:11  ;5:48  ;0:35  ;100.0;25.0;60.0;35.0;14.0;77.0;6.0;97.0;31.0
102;Sterk stedelijke gemeenten;2001;10:13 ;0:35  ;0:57  ;2:47  ;0:39  ;2:24  ;0:09  ;5:47  ;0:29  ;100.0;24.0;61.0;36.0;14.0;75.0;6.0;97.0;28.0
103;Sterk stedelijke gemeenten;2003;10:16 ;0:25  ;0:54  ;2:34  ;0:33  ;2:23  ;0:09  ;6:23  ;0:22  ;100.0;22.0;64.0;35.0;12.0;77.0;5.0;99.0;21.0
104;Zeer sterk stedelijke gemeenten;1997;11:12 ;0:28  ;0:45  ;2:16  ;0:38  ;1:49  ;0:08  ;6:12  ;0:31  ;100.0;20.0;58.0;31.0;14.0;72.0;5.0;98.0;28.0
105;Zeer sterk stedelijke gemeenten;1999;10:14 ;0:25  ;0:59  ;2:36  ;0:31  ;2:30  ;0:06  ;6:11  ;0:29  ;100.0;22.0;62.0;34.0;13.0;79.0;4.0;98.0;30.0
106;Zeer sterk stedelijke gemeenten;2001;10:18 ;0:22  ;0:56  ;2:53  ;0:42  ;2:08  ;0:09  ;6:09  ;0:24  ;100.0;17.0;65.0;36.0;14.0;76.0;7.0;98.0;27.0
107;Zeer sterk stedelijke gemeenten;2003;10:13 ;0:25  ;1:04  ;2:50  ;0:34  ;2:24  ;0:06  ;5:55  ;0:29  ;100.0;20.0;66.0;38.0;14.0;82.0;4.0;98.0;23.0
108;1e Kwartaal;1997;11:03 ;0:37  ;0:47  ;2:26  ;0:47  ;1:42  ;0:13  ;5:53  ;0:33  ;100.0;26.0;60.0;32.0;16.0;65.0;8.0;97.0;31.0
109;1e Kwartaal;1999;10:22 ;0:33  ;0:53  ;2:43  ;0:35  ;2:24  ;0:09  ;5:46  ;0:35  ;100.0;27.0;57.0;36.0;14.0;76.0;6.0;97.0;31.0
110;1e Kwartaal;2001;10:16 ;0:29  ;0:52  ;2:57  ;0:40  ;2:17  ;0:11  ;5:50  ;0:28  ;100.0;24.0;62.0;38.0;14.0;74.0;7.0;98.0;29.0
111;1e Kwartaal;2003;10:18 ;0:24  ;0:56  ;2:52  ;0:40  ;2:15  ;0:08  ;6:07  ;0:20  ;100.0;21.0;65.0;37.0;14.0;76.0;6.0;99.0;21.0
112;2e Kwartaal;1997;10:50 ;0:37  ;0:48  ;2:25  ;0:33  ;2:02  ;0:12  ;5:58  ;0:34  ;100.0;27.0;60.0;34.0;13.0;70.0;8.0;98.0;31.0
113;2e Kwartaal;1999;10:11 ;0:33  ;0:50  ;2:32  ;0:33  ;2:41  ;0:11  ;5:54  ;0:36  ;100.0;25.0;56.0;33.0;13.0;79.0;6.0;98.0;31.0
114;2e Kwartaal;2001;10:15 ;0:30  ;0:58  ;2:35  ;0:41  ;2:30  ;0:13  ;5:51  ;0:28  ;100.0;24.0;59.0;35.0;14.0;77.0;8.0;98.0;27.0
115;2e Kwartaal;2003;10:13 ;0:28  ;0:59  ;2:41  ;0:30  ;2:32  ;0:11  ;6:06  ;0:20  ;100.0;22.0;63.0;35.0;11.0;75.0;6.0;99.0;18.0
116;3e Kwartaal;1997;10:47 ;0:40  ;0:47  ;2:15  ;0:19  ;2:02  ;0:08  ;6:22  ;0:40  ;100.0;28.0;54.0;31.0;7.0;70.0;5.0;97.0;30.0
117;3e Kwartaal;1999;10:05 ;0:29  ;0:57  ;2:43  ;0:22  ;2:53  ;0:11  ;5:50  ;0:30  ;100.0;24.0;58.0;34.0;8.0;78.0;6.0;97.0;30.0
118;3e Kwartaal;2001;10:14 ;0:29  ;0:54  ;2:41  ;0:22  ;2:33  ;0:10  ;6:09  ;0:28  ;100.0;22.0;57.0;34.0;8.0;75.0;6.0;98.0;27.0
119;3e Kwartaal;2003;10:17 ;0:27  ;0:55  ;2:32  ;0:18  ;2:32  ;0:09  ;6:18  ;0:32  ;100.0;23.0;60.0;33.0;7.0;80.0;5.0;98.0;25.0
120;4e Kwartaal;1997;10:48 ;0:29  ;0:48  ;2:39  ;0:48  ;1:47  ;0:09  ;5:57  ;0:35  ;100.0;24.0;60.0;34.0;17.0;66.0;6.0;98.0;30.0
121;4e Kwartaal;1999;10:17 ;0:31  ;0:51  ;2:33  ;0:35  ;2:28  ;0:11  ;6:02  ;0:32  ;100.0;26.0;57.0;34.0;13.0;75.0;7.0;98.0;28.0
122;4e Kwartaal;2001;10:16 ;0:28  ;0:54  ;2:57  ;0:34  ;2:27  ;0:10  ;5:49  ;0:25  ;100.0;21.0;60.0;39.0;12.0;77.0;6.0;98.0;26.0
123;4e Kwartaal;2003;10:10 ;0:26  ;0:53  ;2:36  ;0:43  ;2:29  ;0:11  ;6:06  ;0:26  ;100.0;22.0;63.0;35.0;15.0;78.0;5.0;99.0;24.0
124;Maandag - donderdag;1997;10:34 ;0:37  ;0:52  ;3:16  ;0:56  ;1:55  ;0:11  ;5:05  ;0:33  ;100.0;27.0;66.0;43.0;18.0;69.0;7.0;97.0;31.0
125;Maandag - donderdag;1999;10:02 ;0:31  ;0:56  ;3:23  ;0:41  ;2:38  ;0:13  ;5:05  ;0:31  ;100.0;26.0;62.0;42.0;15.0;78.0;8.0;97.0;31.0
