ID;Perioden;IndexcijfersVoorraadGereedProduct_1;OntwikkelingVoorraadGereedProduct_2
114;2018 oktober;111.6;5.3
115;2018 november;108.8;4.8
116;2018 december;107.8;5.5
117;2018 4e kwartaal;109.4;5.2
118;2018;109.4;6.6
119;2019 januari;114.5;5.6
120;2019 februari;116.1;5.4
121;2019 maart;117.5;8.9
122;2019 1e kwartaal;116.0;6.6
123;2019 april;113.7;5.2
124;2019 mei;113.3;2.5
125;2019 juni;114.8;6.4
126;2019 2e kwartaal;113.9;4.7
127;2019 juli;120.1;5.8
128;2019 augustus;123.5;10.7
129;2019 september;112.9;5.5
130;2019 3e kwartaal;118.8;7.3
131;2019 oktober;118.2;5.9
132;2019 november;123.1;13.1
133;2019 december;105.7;-1.9
134;2019 4e kwartaal;115.7;5.7
135;2019;116.1;6.1
136;2020 januari;105.8;-7.6
137;2020 februari;106.7;-8.1
138;2020 maart;103.4;-12.0
139;2020 1e kwartaal;105.3;-9.3
140;2020 april;107.5;-5.5
141;2020 mei;112.2;-1.0
142;2020 juni;108.9;-5.1
143;2020 2e kwartaal;109.5;-3.9
144;2020 juli;106.4;-11.4
145;2020 augustus;109.0;-11.7
146;2020 september;106.8;-5.4
147;2020 3e kwartaal;107.4;-9.6
148;2020 oktober;104.8;-11.3
149;2020 november;106.4;-13.6
150;2020 december;104.2;-1.4
151;2020 4e kwartaal;105.1;-9.1
152;2020;106.8;-8.0
153;2021 januari;101.8;-3.8
154;2021 februari;102.1;-4.3
155;2021 maart;102.0;-1.4
156;2021 1e kwartaal;102.0;-3.2
157;2021 april;99.9;-7.1
158;2021 mei;104.0;-7.3
159;2021 juni;96.0;-11.8
160;2021 2e kwartaal;100.0;-8.7
161;2021 juli;102.7;-3.5
162;2021 augustus;103.5;-5.0
163;2021 september;100.2;-6.2
164;2021 3e kwartaal ;102.1;-4.9
165;2021 oktober;101.2;-3.4
166;2021 november;101.5;-4.6
167;2021 december;103.3;-0.9
168;2021 4e kwartaal;102.0;-3.0
169;2021;101.5;-5.0
170;2022 januari;103.0;1.2
171;2022 februari;105.4;3.2
172;2022 maart;101.3;-0.7
173;2022 1e kwartaal;103.2;1.2
174;2022 april;101.5;1.6
175;2022 mei;103.1;-0.9
176;2022 juni;105.5;9.9
177;2022 2e kwartaal;103.4;3.4
178;2022 juli;105.8;3.0
179;2022 augustus;110.2;6.5
180;2022 september;108.9;8.7
181;2022 3e kwartaal;108.3;6.0
182;2022 oktober;110.5;9.2
183;2022 november;111.9;10.2
184;2022 december;110.3;6.8
185;2022 4e kwartaal;110.9;8.7
186;2022 ;106.5;4.9
187;2023  januari;111.1;7.9
188;2023 februari;113.5;7.7
189;2023 maart;111.1;9.7
190;2023 1e kwartaal;111.9;8.4
191;2023 april;114.0;12.3
192;2023 mei;114.4;11.0
193;2023 juni;111.5;5.7
194;2023 2e kwartaal;113.3;9.6
195;2023 juli;113.8;7.6
196;2023 augustus;110.9;0.6
197;2023 september;109.3;0.4
198;2023 3e kwartaal;111.3;2.8
199;2023 oktober;112.0;1.4
200;2023 november;109.8;-1.9
201;2003 december;110.5;0.2
202;2023 4e kwartaal;110.8;-0.1
203;2023;111.8;5.0
