ID;SectorNietFinancieleVennootschappen;Perioden;Totaal_1;Output_2;SubsidiesNietProductgebonden_3;Totaal_4;RenteConformNationaleRekeningen_5;CorrectieVoorIGDFI_6;WerkelijkBetaaldeOntvangenRente_7;Totaal_8;Dividenden_9;InkomenOnttrokkenAanQuasiVennootsch_10;HerbelegdeWinstenOpDirBuitenlInv_11;Totaal_12;InkomenToegerekendAanPolishouders_13;InkTeBetalenAanPensioengerechtigden_14;InkomenToegerekendAanAandeelhouders_15;InkomenUitNatuurlijkeHulpbronnen_16;ToegSocialePremiesTLVWerkgevers_17;Totaal_18;UitkeringenSchadeverzekeringen_19;OverigeInkomensoverdrachtenNEG_20;Totaal_21;Investeringsbijdragen_22;OverigeKapitaaloverdrachten_23;Totaal_24;IntermediairVerbruik_25;Totaal_26;Lonen_27;SocialePremiesTLVWerkgevers_28;NietProductgebondenBelastingen_29;Totaal_30;RenteConformNationaleRekeningen_31;CorrectieVoorIGDFI_32;WerkelijkBetaaldeOntvangenRente_33;Totaal_34;Dividenden_35;InkomenOnttrokkenAanQuasiVennootsch_36;HerbelegdeWinstenOpDirBuitenlInv_37;InkTeBetalenAanPensioengerechtigden_38;InkomenUitNatuurlijkeHulpbronnen_39;BelastingenOpInkomen_40;UitkeringenOverigeSocialeVerzekering_41;Totaal_42;PremiesSchadeverzekeringNetto_43;OverigeInkomensoverdrachtenNEG_44;OverigeKapitaaloverdrachten_45;Totaal_46;Totaal_47;VerbruikVanVasteActiva_48;InvesteringenInVasteActivaNetto_49;Totaal_50;VeranderingenInVoorraden_51;SaldoAanEnVerkopenKostbaarheden_52;SaldoAanEnVerkopenVanNietGeprod_53;BrutoToegevoegdeWaarde_54;NettoToegevoegdeWaarde_55;BrutoExploitatieoverschot_56;NettoExploitatieoverschot_57;SaldoPrimaireInkomensBruto_58;SaldoPrimaireInkomensNetto_59;BrutoBeschikbaarInkomen_60;NettoBeschikbaarInkomen_61;BrutoBesparingen_62;NettoBesparingen_63;SaldoNettoBespEnKapitaaloverdr_64;Vorderingensaldo_65
10;Ondern. onder Nederlandse zeggenschap;2018;733708;660856;5210;54952;6991;-349;7340;42117;42008;109;5694;140;116;0;24;10;6874;3961;2333;1628;1855;508;1347;715357;360510;198346;157277;41069;4342;70105;7425;-5165;12590;59998;59998;0;-823;0;3505;12530;6874;4869;2290;2579;0;56416;52544;42247;10297;3872;3759;113;1365;300346;258099;102868;60621;87715;45468;74277;32030;74277;32030;33885;18351
11;Ondern. onder Nederlandse zeggenschap;2019;754112;689624;5656;45532;6989;-877;7866;41507;41430;77;-3081;105;77;0;28;12;7372;4041;2314;1727;1887;1406;481;748006;376277;209657;165463;44194;4587;67989;7260;-5635;12895;59696;59696;0;-1625;0;2658;14085;7372;5468;2314;3154;9;62205;57504;43486;14018;4701;4688;13;357;313347;269861;104759;61273;82302;38816;66790;23304;66790;23304;25182;6106
12;Ondern. onder Nederlandse zeggenschap;2020;741146;674090;21063;31354;6528;-994;7522;26299;26190;109;-1574;91;67;0;24;10;8121;4889;2509;2380;1629;668;961;730419;367962;217110;170624;46486;5373;54208;6510;-6152;12662;46588;46588;0;50;0;1060;14151;8121;6144;2401;3743;5;56262;56366;44489;11877;-104;-197;93;1083;306128;261639;104708;60219;81854;37365;66448;21959;66448;21959;23583;10727
13;Ondern. onder Nederlandse zeggenschap;2021;823109;742558;18829;46835;5456;-954;6410;29054;28947;107;12233;79;69;0;10;13;8550;4741;2384;2357;1596;873;723;785098;405864;224205;176393;47812;5187;56437;5893;-5907;11800;46206;46206;0;1351;0;2987;17153;8550;4844;2346;2498;45;61827;60653;45345;15308;1174;1058;116;986;336694;291349;126131;80786;116529;71184;99273;53928;99273;53928;55479;38011
14;Nederlandse multinationals;2015;286081;249725;1307;31460;4956;-239;5195;24249;24203;46;2196;57;28;0;29;2;1647;1629;886;743;313;64;249;266655;154768;54760;43712;11048;818;28813;4192;-3058;7250;22963;22963;0;1221;0;437;3200;1647;2147;890;1257;0;20270;20136;16418;3718;134;31;103;232;94957;78539;40686;24268;43333;26915;39615;23197;39615;23197;23510;19426
15;Nederlandse multinationals;2016;284745;256361;1499;22702;4666;-336;5002;26293;26246;47;-8294;35;25;0;10;2;1756;1467;915;552;960;103;857;278964;158846;56502;45124;11378;828;31234;3980;-3027;7007;26551;26551;0;270;0;433;4496;1756;2128;882;1246;1;22953;21839;16940;4899;1114;1045;69;220;97515;80575;41684;24744;33152;16212;27995;11055;27995;11055;12014;5781
16;Nederlandse multinationals;2017;314560;272299;1509;37050;5577;-234;5811;29687;29637;50;1737;47;39;0;8;2;1966;1674;1017;657;62;17;45;296302;172832;58718;46957;11761;756;32682;5653;-2666;8319;25380;25380;0;1344;0;305;4493;1966;2090;1017;1073;2;22604;21239;16410;4829;1365;1325;40;159;99467;83057;41502;25092;45870;29460;40961;24551;40961;24551;24611;18258
17;Nederlandse multinationals;2018;339482;284725;1635;49170;5119;-151;5270;38295;38248;47;5694;61;50;0;11;1;2072;1698;1009;689;182;42;140;327439;182144;61534;49038;12496;876;48590;4454;-2234;6688;44715;44715;0;-872;0;293;4852;2072;2106;990;1116;0;24974;23489;16807;6682;1485;1398;87;291;102581;85774;41806;24999;42386;25579;37126;20319;37126;20319;20501;12043
18;Nederlandse multinationals;2019;336100;289738;1634;40395;5302;-370;5672;38127;38095;32;-3081;45;33;0;12;2;2198;1684;977;707;451;420;31;327666;184108;63954;50760;13194;910;42048;4633;-2380;7013;38852;38852;0;-1724;0;287;5166;2198;2245;977;1268;0;26959;26264;16932;9332;695;683;12;78;105630;88698;42400;25468;40747;23815;35020;18088;35020;18088;18539;8434
19;Nederlandse multinationals;2020;307927;270315;5861;27064;4946;-401;5347;23653;23609;44;-1574;37;27;0;10;2;2387;1949;1011;938;351;11;340;299391;168133;65102;51408;13694;866;31768;4398;-2479;6877;27092;27092;0;5;0;273;4981;2387;2447;967;1480;0;23510;23486;17065;6421;24;-62;86;197;102182;85117;42075;25010;37371;20306;31892;14827;31892;14827;15178;8536
20;Nederlandse multinationals;2021;350648;299786;5237;41017;3905;-385;4290;24845;24802;43;12233;32;28;0;4;2;2459;1893;963;930;256;5;251;330548;188275;66447;52696;13751;860;30916;3912;-2385;6297;25464;25464;0;1246;0;294;7067;2459;1923;947;976;0;32428;31113;17301;13812;1315;1207;108;173;111511;94210;49441;32140;59542;42241;52445;35144;52445;35144;35400;20100
21;Overig grootbedrijf;2015;105492;100164;1645;368;87;-95;182;258;240;18;0;23;11;0;12;0;1497;653;355;298;1165;986;179;104527;34225;46200;36158;10042;1006;9324;886;-1221;2107;1512;1512;0;-8;0;6934;752;1497;861;357;504;0;10562;10539;8365;2174;23;8;15;100;65939;57574;20378;12013;11422;3057;10462;2097;10462;2097;3262;965
22;Overig grootbedrijf;2016;99695;95231;1597;213;32;-127;159;168;150;18;0;13;9;0;4;0;1554;585;340;245;515;391;124;98380;32966;45850;35783;10067;962;5806;746;-1146;1892;1233;1233;0;-3;0;3830;723;1554;791;328;463;0;9746;9645;8704;941;101;91;10;-18;62265;53561;17050;8346;11457;2753;10528;1824;10528;1824;2339;1315
23;Overig grootbedrijf;2017;104092;98996;1709;735;96;-91;187;622;604;18;0;17;14;0;3;0;1745;659;370;289;248;191;57;103834;34332;48081;37642;10439;990;6645;728;-1031;1759;1982;1982;0;15;0;3920;665;1745;760;370;390;1;10494;10415;9259;1156;79;71;8;121;64664;55405;17302;8043;11392;2133;10626;1367;10626;1367;1614;258
24;Overig grootbedrijf;2018;108076;102134;1753;672;120;-54;174;530;513;17;0;22;18;0;4;0;1829;644;362;282;1044;97;947;107149;36297;50124;39126;10998;1088;5124;994;-801;1795;1050;1050;0;-2;0;3082;660;1829;755;355;400;0;11074;11059;9597;1462;15;-3;18;198;65837;56240;16378;6781;11926;2329;11155;1558;11155;1558;2602;927
25;Overig grootbedrijf;2019;115284;109188;1997;501;57;-139;196;427;415;12;0;17;12;0;5;0;2006;686;368;318;906;596;310;115554;39978;54055;42042;12013;1183;4541;1071;-895;1966;1227;1227;0;-1;0;2244;994;2006;995;368;627;0;11748;11810;9978;1832;-62;-62;0;54;69210;59232;15969;5991;11929;1951;10626;648;10626;648;1554;-270
26;Overig grootbedrijf;2020;117404;107297;6332;392;30;-159;189;347;330;17;0;15;11;0;4;0;2234;826;401;425;323;192;131;120634;42083;57484;44723;12761;1805;2689;1107;-984;2091;930;930;0;2;0;650;541;2234;1045;384;661;0;12575;12574;10259;2315;1;-5;6;178;65214;54955;12257;1998;9960;-299;9200;-1059;9200;-1059;-736;-3230
27;Overig grootbedrijf;2021;127726;118559;5073;549;77;-152;229;459;442;17;0;13;11;0;2;0;2350;803;381;422;392;392;0;125581;44013;58361;45217;13144;1505;4980;857;-943;1800;1569;1569;0;3;0;2551;918;2350;843;375;468;0;12455;12627;10376;2251;-172;-179;7;156;74546;64170;19753;9377;15322;4946;14364;3988;14364;3988;4380;2145
28;Zelfstandig midden- en kleinbedrijf;2015;249162;239464;1522;3547;2024;-235;2259;1458;1415;43;0;54;27;0;27;11;2302;1562;849;713;765;455;310;238103;122094;76875;61429;15446;2216;10617;2663;-2999;5662;7858;7858;0;10;0;86;4108;2302;2058;853;1205;1;17368;15221;15770;-549;2147;2086;61;464;117370;101600;39801;24031;32731;16961;28127;12357;28127;12357;13121;11059
29;Zelfstandig midden- en kleinbedrijf;2016;259334;249178;1646;4173;2203;-327;2530;1927;1881;46;0;33;24;0;9;10;2470;1427;890;537;440;279;161;250881;125822;79639;63638;16001;2353;13910;2564;-2933;5497;11251;11251;0;-4;0;99;6468;2470;2067;856;1211;10;17725;16741;15700;1041;984;937;47;417;123356;107656;43010;27310;33273;17573;26165;10465;26165;10465;10895;8453
30;Zelfstandig midden- en kleinbedrijf;2017;268581;258014;1733;4228;1577;-224;1801;2593;2547;46;0;46;38;0;8;12;2730;1585;964;621;291;125;166;260366;130426;82174;65842;16332;2483;14832;2013;-2559;4572;12714;12714;0;11;0;94;6560;2730;1980;964;1016;12;18610;18121;15654;2467;489;417;72;559;127588;111934;44664;29010;34060;18406;27105;11451;27105;11451;11730;8215
31;Zelfstandig midden- en kleinbedrijf;2018;286150;273997;1822;5110;1752;-144;1896;3292;3247;45;0;57;48;0;9;9;2973;1619;962;657;629;369;260;280769;142069;86688;69113;17575;2378;16391;1977;-2130;4107;14233;14233;0;51;0;130;7018;2973;2008;945;1063;0;20368;17996;15843;2153;2372;2364;8;876;131928;116085;44684;28841;33403;17560;25996;10153;25996;10153;10782;5381
32;Zelfstandig midden- en kleinbedrijf;2019;302728;290698;2025;4636;1630;-368;1998;2953;2920;33;0;43;32;0;11;10;3168;1671;969;702;530;390;140;304786;152191;91648;72661;18987;2494;21400;1556;-2360;3916;19617;19617;0;100;0;127;7925;3168;2228;969;1259;9;23498;19430;16576;2854;4068;4067;1;225;138507;121931;46390;29814;29626;13050;21144;4568;21144;4568;5089;-2058
33;Zelfstandig midden- en kleinbedrijf;2020;315815;296478;8870;3898;1552;-434;1986;2299;2251;48;0;39;29;0;10;8;3500;2114;1097;1017;955;465;490;310394;157746;94524;74493;20031;2702;19751;1005;-2689;3694;18566;18566;0;43;0;137;8629;3500;2652;1050;1602;5;20177;20306;17165;3141;-129;-130;1;708;138732;121567;50376;33211;34523;17358;25356;8191;25356;8191;9141;5421
34;Zelfstandig midden- en kleinbedrijf;2021;344735;324213;8519;5269;1474;-417;1891;3750;3703;47;0;34;30;0;4;11;3741;2045;1040;1005;948;476;472;328969;173576;99397;78480;20917;2822;20541;1124;-2579;3703;19173;19173;0;102;0;142;9168;3741;2078;1024;1054;45;16944;16913;17668;-755;31;30;1;657;150637;132969;56937;39269;41665;23997;32464;14796;32464;14796;15699;15766
35;Ondern. onder buitenlandse zeggenschap;2015;419610;352630;1686;61183;11864;-329;12193;48520;48399;121;719;80;39;0;41;0;1735;2301;1251;1050;75;4;71;443255;233562;60029;48386;11643;1388;91757;12206;-4203;16409;42888;41027;1861;36358;0;305;5860;1735;3031;1256;1775;0;44582;44340;22678;21662;242;161;81;1311;119068;96390;59337;36659;28763;6085;22173;-505;22173;-505;-430;-23645
36;Ondern. onder buitenlandse zeggenschap;2016;423147;358640;1946;58467;11516;-461;11977;44533;44459;74;2370;48;35;0;13;0;1933;2052;1280;772;109;32;77;425566;235469;63798;51275;12523;1427;86690;11363;-4152;15515;47541;45655;1886;27485;0;301;7118;1933;2977;1234;1743;0;25509;24275;23319;956;1234;1184;50;645;123171;99852;59892;36573;31669;8350;23626;307;23626;307;416;-2419
37;Ondern. onder buitenlandse zeggenschap;2017;444050;389635;2176;47626;9941;-327;10268;39452;39372;80;-1836;68;56;0;12;1;2164;2396;1456;940;53;2;51;442368;255927;67077;54132;12945;1600;78365;11238;-3723;14961;41582;39514;2068;25340;0;205;6889;2164;2991;1456;1535;0;27127;25897;25376;521;1230;1195;35;228;133708;108332;67207;41831;36468;11092;28984;3608;28984;3608;3661;1682
38;Ondern. onder buitenlandse zeggenschap;2018;485774;420615;2264;57995;10523;-219;10742;51323;51254;69;-3942;90;74;0;16;1;2362;2505;1489;1016;33;4;29;479501;274608;71946;57869;14077;1934;90170;11414;-3230;14644;56887;54621;2266;21509;0;360;7979;2362;3107;1461;1646;0;27112;26972;27669;-697;140;121;19;283;146007;118338;74391;46722;42216;14547;33635;5966;33635;5966;5999;6273
39;Ondern. onder buitenlandse zeggenschap;2019;491242;425885;2408;57866;10052;-529;10581;54724;54677;47;-6977;66;48;0;18;1;2521;2464;1429;1035;98;2;96;487004;271246;75702;60587;15115;1980;90934;11137;-3401;14538;37196;34628;2568;42251;0;350;10405;2521;3285;1430;1855;0;30852;29106;29144;-38;1746;1731;15;79;154639;125495;79365;50221;46297;17153;35071;5927;35071;5927;6025;4238
40;Ondern. onder buitenlandse zeggenschap;2020;450813;390615;6426;47752;9759;-561;10320;43004;42941;63;-5065;53;39;0;14;1;2742;2817;1455;1362;461;4;457;443526;246393;77223;61532;15691;1907;77488;10107;-3469;13576;38415;35687;2728;28589;0;377;7495;2742;3521;1392;2129;0;26488;26545;31013;-4468;-57;-151;94;269;144222;113209;71518;40505;41782;10769;33583;2570;33583;2570;3031;7287
41;Ondern. onder buitenlandse zeggenschap;2021;518407;447612;6707;58284;9974;-558;10532;45774;45709;65;2488;47;41;0;6;1;2950;2826;1437;1389;28;5;23;507780;282141;82398;65903;16495;2117;94940;10442;-3453;13895;40882;37629;3253;43219;0;397;10797;2950;2893;1414;1479;0;29783;28424;33597;-5173;1359;1292;67;-239;165471;131874;87663;54066;51007;17410;40143;6546;40143;6546;6574;10627
