ID;CentralDecentralProduction;EnergyCommodities;Periods;TotalElectricityAndHeatTJ_1;ElectricityMWh_2;ElectricityTJ_3;Electricity_4;HeatTJ_5;InputTJ_6
18;Total central/decentral production;Total energy commodities;2016;593377.0;115158408.0;414570.0;100.0;178807.0;964518.0
19;Total central/decentral production;Total energy commodities;2017;602765.0;117167739.0;421804.0;100.0;180961.0;944761.0
20;Total central/decentral production;Total energy commodities;2018;582633.0;114379713.0;411767.0;100.0;170866.0;890064.0
21;Total central/decentral production;Total energy commodities;2019;611909.0;121408002.0;437069.0;100.0;174840.0;905719.0
22;Total central/decentral production;Total energy commodities;2020;615363.0;123278130.0;443801.0;100.0;171561.0;860412.0
23;Total central/decentral production;Total energy commodities;2021;613255.0;122170454.0;439814.0;100.0;173441.0;837171.0
24;Total central/decentral production;Total energy commodities;2022;592628.0;121572850.0;437662.0;100.0;154966.0;764547.0
25;Total central/decentral production;Total energy commodities;2023;580793.0;121342015.0;436831.0;100.0;143962.0;667851.0
26;Total central/decentral production;Total fossil fuels;1998;496956.0;83223769.0;299606.0;90.5;197350.0;808181.0
27;Total central/decentral production;Total fossil fuels;1999;477460.0;78689095.0;283281.0;89.8;194179.0;765969.0
28;Total central/decentral production;Total fossil fuels;2000;494081.0;80780211.0;290809.0;89.6;203272.0;786908.0
29;Total central/decentral production;Total fossil fuels;2001;501374.0;84366666.0;303720.0;89.7;197654.0;828052.0
30;Total central/decentral production;Total fossil fuels;2002;503614.0;84806891.0;305305.0;89.2;198310.0;830163.0
31;Total central/decentral production;Total fossil fuels;2003;512150.0;87285111.0;314226.0;88.9;197924.0;851862.0
32;Total central/decentral production;Total fossil fuels;2004;524141.0;90042583.0;324153.0;88.2;199988.0;865394.0
33;Total central/decentral production;Total fossil fuels;2005;516796.0;86496538.0;311388.0;85.8;205408.0;839553.0
34;Total central/decentral production;Total fossil fuels;2006;508148.0;84512744.0;304246.0;85.5;203902.0;811031.0
35;Total central/decentral production;Total fossil fuels;2007;534369.0;90737325.0;326654.0;86.3;207715.0;858450.0
36;Total central/decentral production;Total fossil fuels;2008;557155.0;91949006.0;331016.0;85.0;226138.0;882590.0
37;Total central/decentral production;Total fossil fuels;2009;544652.0;95620278.0;344233.0;84.2;200419.0;874720.0
38;Total central/decentral production;Total fossil fuels;2010;578393.0;99815556.0;359336.0;84.5;219057.0;912320.0
39;Total central/decentral production;Total fossil fuels;2011;545099.0;93237657.0;335657.0;82.5;209442.0;839180.0
40;Total central/decentral production;Total fossil fuels;2012;497022.0;82565731.0;297237.0;80.5;199785.0;774768.0
41;Total central/decentral production;Total fossil fuels;2013;490376.0;82699007.0;297716.0;82.0;192660.0;768164.0
42;Total central/decentral production;Total fossil fuels;2014;468738.0;84292092.0;303452.0;81.5;165286.0;765543.0
43;Total central/decentral production;Total fossil fuels;2015;477808.0;89363491.0;321709.0;81.1;156100.0;801054.0
44;Total central/decentral production;Total fossil fuels;2016;485408.0;93331612.0;335994.0;81.0;149414.0;799666.0
45;Total central/decentral production;Total fossil fuels;2017;484005.0;93023916.0;334886.0;79.4;149119.0;785240.0
46;Total central/decentral production;Total fossil fuels;2018;466464.0;89339829.0;321623.0;78.1;144840.0;740103.0
47;Total central/decentral production;Total fossil fuels;2019;478395.0;92191963.0;331891.0;75.9;146504.0;740714.0
48;Total central/decentral production;Total fossil fuels;2020;444070.0;83977436.0;302319.0;68.1;141751.0;667706.0
49;Total central/decentral production;Total fossil fuels;2021;410149.0;75398419.0;271434.0;61.7;138714.0;624688.0
50;Total central/decentral production;Total fossil fuels;2022;364181.0;66737291.0;240254.0;54.9;123927.0;558965.0
51;Total central/decentral production;Total fossil fuels;2023;326071.0;58193405.0;209496.0;48.0;116575.0;490118.0
52;Total central/decentral production;Natural gas;1998;345862.0;52126126.0;187654.0;56.7;158208.0;505006.0
53;Total central/decentral production;Natural gas;1999;344557.0;52581516.0;189293.0;60.0;155264.0;504104.0
54;Total central/decentral production;Natural gas;2000;352667.0;52492704.0;188974.0;58.2;163693.0;502836.0
55;Total central/decentral production;Natural gas;2001;354950.0;54408072.0;195869.0;57.8;159081.0;528436.0
56;Total central/decentral production;Natural gas;2002;358992.0;55132205.0;198476.0;58.0;160516.0;530023.0
57;Total central/decentral production;Natural gas;2003;363653.0;56172989.0;202223.0;57.2;161430.0;546585.0
58;Total central/decentral production;Natural gas;2004;385852.0;60498005.0;217793.0;59.2;168059.0;576460.0
59;Total central/decentral production;Natural gas;2005;381711.0;58207785.0;209548.0;57.8;172163.0;560704.0
60;Total central/decentral production;Natural gas;2006;377529.0;57075274.0;205471.0;57.7;172058.0;542326.0
61;Total central/decentral production;Natural gas;2007;393244.0;60888077.0;219197.0;57.9;174047.0;571361.0
62;Total central/decentral production;Natural gas;2008;426777.0;64563171.0;232427.0;59.7;194350.0;610490.0
63;Total central/decentral production;Natural gas;2009;428855.0;68494439.0;246580.0;60.3;182275.0;620780.0
64;Total central/decentral production;Natural gas;2010;462535.0;73577778.0;264880.0;62.3;197655.0;664240.0
65;Total central/decentral production;Natural gas;2011;432133.0;67946072.0;244606.0;60.1;187527.0;600715.0
66;Total central/decentral production;Natural gas;2012;376320.0;54057456.0;194607.0;52.7;181714.0;510800.0
67;Total central/decentral production;Natural gas;2013;367666.0;54028719.0;194503.0;53.6;173163.0;496747.0
68;Total central/decentral production;Natural gas;2014;331187.0;50991982.0;183571.0;49.3;147616.0;455096.0
69;Total central/decentral production;Natural gas;2015;309000.0;45813177.0;164927.0;41.6;144073.0;419312.0
70;Total central/decentral production;Natural gas;2016;326921.0;52531191.0;189112.0;45.6;137809.0;453029.0
71;Total central/decentral production;Natural gas;2017;344737.0;57733422.0;207840.0;49.3;136896.0;485849.0
72;Total central/decentral production;Natural gas;2018;340855.0;57630056.0;207468.0;50.4;133387.0;475953.0
73;Total central/decentral production;Natural gas;2019;388889.0;70719366.0;254590.0;58.2;134299.0;550912.0
74;Total central/decentral production;Natural gas;2020;392261.0;72524079.0;261087.0;58.8;131174.0;562479.0
75;Total central/decentral production;Natural gas;2021;332753.0;56690590.0;204086.0;46.4;128667.0;463271.0
76;Total central/decentral production;Natural gas;2022;281672.0;47742663.0;171874.0;39.3;109798.0;392217.0
77;Total central/decentral production;Natural gas;2023;269729.0;45956541.0;165444.0;37.9;104285.0;378974.0
78;Total central/decentral production;Hard coal;1998;97660.0;25782450.0;92817.0;28.0;4843.0;225639.0
79;Total central/decentral production;Hard coal;1999;79748.0;20809658.0;74915.0;23.8;4833.0;186545.0
80;Total central/decentral production;Hard coal;2000;89792.0;23428151.0;84341.0;26.0;5450.0;210759.0
81;Total central/decentral production;Hard coal;2001;94984.0;24910476.0;89678.0;26.5;5306.0;224740.0
82;Total central/decentral production;Hard coal;2002;94835.0;24954185.0;89835.0;26.2;5000.0;227583.0
83;Total central/decentral production;Hard coal;2003;97721.0;25881089.0;93172.0;26.4;4549.0;230580.0
84;Total central/decentral production;Hard coal;2004;92308.0;24420741.0;87915.0;23.9;4393.0;221237.0
85;Total central/decentral production;Hard coal;2005;86913.0;23059152.0;83013.0;22.9;3900.0;207063.0
86;Total central/decentral production;Hard coal;2006;87276.0;23125407.0;83251.0;23.4;4024.0;204795.0
87;Total central/decentral production;Hard coal;2007;92686.0;24599968.0;88560.0;23.4;4126.0;212644.0
88;Total central/decentral production;Hard coal;2008;84796.0;22539960.0;81144.0;20.8;3652.0;202868.0
89;Total central/decentral production;Hard coal;2009;88304.0;23434488.0;84364.0;20.6;3940.0;208480.0
90;Total central/decentral production;Hard coal;2010;82201.0;21893333.0;78816.0;18.5;3385.0;195440.0
91;Total central/decentral production;Hard coal;2011;77558.0;20766667.0;74760.0;18.4;2798.0;182128.0
92;Total central/decentral production;Hard coal;2012;90346.0;24222999.0;87203.0;23.6;3143.0;211422.0
93;Total central/decentral production;Hard coal;2013;91180.0;24560150.0;88417.0;24.3;2763.0;220710.0
94;Total central/decentral production;Hard coal;2014;106657.0;28760067.0;103536.0;27.8;3121.0;255106.0
95;Total central/decentral production;Hard coal;2015;145249.0;39390589.0;141806.0;35.7;3443.0;336632.0
96;Total central/decentral production;Hard coal;2016;136051.0;36816731.0;132540.0;32.0;3511.0;304662.0
97;Total central/decentral production;Hard coal;2017;116331.0;31378986.0;112964.0;26.8;3367.0;256496.0
98;Total central/decentral production;Hard coal;2018;101646.0;27577792.0;99280.0;24.1;2366.0;221465.0
99;Total central/decentral production;Hard coal;2019;66353.0;17693631.0;63697.0;14.6;2656.0;146631.0
100;Total central/decentral production;Hard coal;2020;29063.0;7617252.0;27422.0;6.2;1641.0;63862.0
101;Total central/decentral production;Hard coal;2021;54263.0;14599848.0;52559.0;11.9;1704.0;118464.0
102;Total central/decentral production;Hard coal;2022;54738.0;14802202.0;53288.0;12.2;1450.0;120442.0
103;Total central/decentral production;Hard coal;2023;32112.0;8711756.0;31362.0;7.2;750.0;71330.0
104;Total central/decentral production;Fuel oil;1998;13823.0;497692.0;1792.0;0.5;12031.0;16875.0
105;Total central/decentral production;Fuel oil;1999;13361.0;428137.0;1541.0;0.5;11820.0;15316.0
106;Total central/decentral production;Fuel oil;2000;12727.0;395370.0;1423.0;0.4;11304.0;14765.0
107;Total central/decentral production;Fuel oil;2001;12654.0;448035.0;1613.0;0.5;11041.0;14820.0
108;Total central/decentral production;Fuel oil;2002;12545.0;450424.0;1622.0;0.5;10924.0;15110.0
109;Total central/decentral production;Fuel oil;2003;13116.0;533030.0;1919.0;0.5;11197.0;15847.0
110;Total central/decentral production;Fuel oil;2004;12980.0;433811.0;1562.0;0.4;11418.0;15306.0
111;Total central/decentral production;Fuel oil;2005;10162.0;331940.0;1195.0;0.3;8967.0;11744.0
112;Total central/decentral production;Fuel oil;2006;9482.0;282922.0;1019.0;0.3;8463.0;11123.0
113;Total central/decentral production;Fuel oil;2007;9745.0;259745.0;935.0;0.2;8810.0;11445.0
114;Total central/decentral production;Fuel oil;2008;9722.0;257889.0;928.0;0.2;8794.0;11268.0
115;Total central/decentral production;Fuel oil;2009;303.0;54442.0;196.0;0.0;107.0;660.0
116;Total central/decentral production;Fuel oil;2010;279.0;48180.0;173.0;0.0;105.0;522.0
117;Total central/decentral production;Fuel oil;2011;224.0;35944.0;130.0;0.0;94.0;409.0
118;Total central/decentral production;Fuel oil;2012;186.0;32366.0;117.0;0.0;70.0;432.0
119;Total central/decentral production;Fuel oil;2013;340.0;89993.0;324.0;0.1;16.0;953.0
120;Total central/decentral production;Fuel oil;2014;1265.0;342284.0;1232.0;0.3;33.0;3341.0
121;Total central/decentral production;Fuel oil;2015;365.0;93248.0;336.0;0.1;30.0;810.0
122;Total central/decentral production;Fuel oil;2016;267.0;60650.0;218.0;0.1;49.0;550.0
123;Total central/decentral production;Fuel oil;2017;243.0;51988.0;187.0;0.0;56.0;497.0
124;Total central/decentral production;Fuel oil;2018;253.0;44929.0;162.0;0.0;91.0;506.0
125;Total central/decentral production;Fuel oil;2019;337.0;72401.0;261.0;0.1;76.0;794.0
126;Total central/decentral production;Fuel oil;2020;175.0;29538.0;106.0;0.0;69.0;385.0
127;Total central/decentral production;Fuel oil;2021;232.0;42349.0;152.0;0.0;79.0;512.0
128;Total central/decentral production;Fuel oil;2022;191.0;33596.0;121.0;0.0;70.0;411.0
129;Total central/decentral production;Fuel oil;2023;165.0;30361.0;109.0;0.0;56.0;368.0
130;Total central/decentral production;Other fossil fuels;1998;39610.0;4817500.0;17343.0;5.2;22267.0;60661.0
131;Total central/decentral production;Other fossil fuels;1999;39793.0;4869784.0;17531.0;5.6;22262.0;60004.0
132;Total central/decentral production;Other fossil fuels;2000;38896.0;4463986.0;16070.0;5.0;22825.0;58548.0
133;Total central/decentral production;Other fossil fuels;2001;38787.0;4600083.0;16560.0;4.9;22227.0;60056.0
134;Total central/decentral production;Other fossil fuels;2002;37242.0;4270076.0;15372.0;4.5;21870.0;57447.0
135;Total central/decentral production;Other fossil fuels;2003;37660.0;4698004.0;16913.0;4.8;20748.0;58850.0
136;Total central/decentral production;Other fossil fuels;2004;33001.0;4690026.0;16884.0;4.6;16117.0;52391.0
137;Total central/decentral production;Other fossil fuels;2005;38009.0;4897662.0;17632.0;4.9;20378.0;60042.0
138;Total central/decentral production;Other fossil fuels;2006;33862.0;4029141.0;14505.0;4.1;19357.0;52787.0
139;Total central/decentral production;Other fossil fuels;2007;38694.0;4989536.0;17962.0;4.7;20732.0;63000.0
140;Total central/decentral production;Other fossil fuels;2008;35859.0;4587985.0;16517.0;4.2;19343.0;57964.0
141;Total central/decentral production;Other fossil fuels;2009;27191.0;3636909.0;13093.0;3.2;14098.0;44800.0
142;Total central/decentral production;Other fossil fuels;2010;33378.0;4296264.0;15467.0;3.6;17912.0;52118.0
143;Total central/decentral production;Other fossil fuels;2011;35184.0;4488974.0;16161.0;4.0;19023.0;55928.0
144;Total central/decentral production;Other fossil fuels;2012;30170.0;4252910.0;15310.0;4.1;14859.0;52113.0
145;Total central/decentral production;Other fossil fuels;2013;31190.0;4020145.0;14473.0;4.0;16717.0;49755.0
146;Total central/decentral production;Other fossil fuels;2014;29628.0;4197758.0;15112.0;4.1;14516.0;51999.0
147;Total central/decentral production;Other fossil fuels;2015;23193.0;4066477.0;14639.0;3.7;8554.0;44300.0
148;Total central/decentral production;Other fossil fuels;2016;22169.0;3923040.0;14123.0;3.4;8046.0;41424.0
149;Total central/decentral production;Other fossil fuels;2017;22693.0;3859520.0;13894.0;3.3;8799.0;42398.0
150;Total central/decentral production;Other fossil fuels;2018;23709.0;4087052.0;14713.0;3.6;8996.0;42178.0
151;Total central/decentral production;Other fossil fuels;2019;22817.0;3706565.0;13344.0;3.1;9473.0;42376.0
152;Total central/decentral production;Other fossil fuels;2020;22571.0;3806568.0;13704.0;3.1;8868.0;40980.0
153;Total central/decentral production;Other fossil fuels;2021;22901.0;4065632.0;14636.0;3.3;8265.0;42441.0
154;Total central/decentral production;Other fossil fuels;2022;27580.0;4158830.0;14972.0;3.4;12609.0;45895.0
155;Total central/decentral production;Other fossil fuels;2023;24065.0;3494747.0;12581.0;2.9;11484.0;39447.0
156;Total central/decentral production;Total renewable energy;1998;10637.0;2346091.0;8446.0;2.5;2191.0;25697.0
157;Total central/decentral production;Total renewable energy;1999;11100.0;2528857.0;9104.0;2.9;1996.0;27769.0
158;Total central/decentral production;Total renewable energy;2000;12592.0;2992297.0;10772.0;3.3;1819.0;30625.0
159;Total central/decentral production;Total renewable energy;2001;14158.0;3313418.0;11928.0;3.5;2230.0;34459.0
160;Total central/decentral production;Total renewable energy;2002;16983.0;3979428.0;14326.0;4.2;2656.0;39193.0
161;Total central/decentral production;Total renewable energy;2003;16830.0;3968297.0;14286.0;4.0;2544.0;35857.0
162;Total central/decentral production;Total renewable energy;2004;21855.0;5320778.0;19155.0;5.2;2700.0;43267.0
163;Total central/decentral production;Total renewable energy;2005;30064.0;7465918.0;26877.0;7.4;3187.0;60852.0
164;Total central/decentral production;Total renewable energy;2006;32398.0;8068422.0;29046.0;8.2;3351.0;60721.0
165;Total central/decentral production;Total renewable energy;2007;31105.0;7605994.0;27382.0;7.2;3723.0;50070.0
166;Total central/decentral production;Total renewable energy;2008;37739.0;9480115.0;34128.0;8.8;3611.0;64080.0
167;Total central/decentral production;Total renewable energy;2009;43547.0;10836000.0;39010.0;9.5;4537.0;73240.0
168;Total central/decentral production;Total renewable energy;2010;45563.0;11214722.0;40373.0;9.5;5190.0;81590.0
169;Total central/decentral production;Total renewable energy;2011;50224.0;12341074.0;44428.0;10.9;5796.0;82140.0
170;Total central/decentral production;Total renewable energy;2012;56817.0;12543575.0;45157.0;12.2;11660.0;88642.0
171;Total central/decentral production;Total renewable energy;2013;54739.0;12211360.0;43961.0;12.1;10778.0;79500.0
172;Total central/decentral production;Total renewable energy;2014;56527.0;11707203.0;42146.0;11.3;14381.0;72929.0
173;Total central/decentral production;Total renewable energy;2015;66109.0;13686938.0;49273.0;12.4;16836.0;73077.0
174;Total central/decentral production;Total renewable energy;2016;69265.0;14781194.0;53212.0;12.8;16052.0;74474.0
175;Total central/decentral production;Total renewable energy;2017;81527.0;17438536.0;62779.0;14.9;18749.0;73655.0
176;Total central/decentral production;Total renewable energy;2018;85559.0;18881842.0;67975.0;16.5;17585.0;72042.0
177;Total central/decentral production;Total renewable energy;2019;102845.0;22803191.0;82091.0;18.8;20754.0;85261.0
178;Total central/decentral production;Total renewable energy;2020;140616.0;32729486.0;117826.0;26.5;22790.0;112414.0
179;Total central/decentral production;Total renewable energy;2021;172036.0;40433031.0;145559.0;33.1;26477.0;133298.0
180;Total central/decentral production;Total renewable energy;2022;196168.0;48092501.0;173133.0;39.6;23035.0;122722.0
181;Total central/decentral production;Total renewable energy;2023;224151.0;56786756.0;204432.0;46.8;19718.0;99638.0
182;Total central/decentral production;Solar photovoltaic;1998;13.0;3500.0;13.0;0.0;;
183;Total central/decentral production;Solar photovoltaic;1999;19.0;5270.0;19.0;0.0;;
184;Total central/decentral production;Solar photovoltaic;2000;28.0;7710.0;28.0;0.0;;
185;Total central/decentral production;Solar photovoltaic;2001;47.0;13060.0;47.0;0.0;;
186;Total central/decentral production;Solar photovoltaic;2002;61.0;17040.0;61.0;0.0;;
187;Total central/decentral production;Solar photovoltaic;2003;111.0;30740.0;111.0;0.0;;
188;Total central/decentral production;Solar photovoltaic;2004;119.0;33140.0;119.0;0.0;;
189;Total central/decentral production;Solar photovoltaic;2005;123.0;34199.0;123.0;0.0;;
190;Total central/decentral production;Solar photovoltaic;2006;127.0;35223.0;127.0;0.0;;
191;Total central/decentral production;Solar photovoltaic;2007;129.0;35712.0;129.0;0.0;;
192;Total central/decentral production;Solar photovoltaic;2008;140.0;38889.0;140.0;0.0;;
193;Total central/decentral production;Solar photovoltaic;2009;160.0;44444.0;160.0;0.0;;
194;Total central/decentral production;Solar photovoltaic;2010;214.0;59444.0;214.0;0.1;;
195;Total central/decentral production;Solar photovoltaic;2011;361.0;100344.0;361.0;0.1;;
196;Total central/decentral production;Solar photovoltaic;2012;914.0;253753.0;914.0;0.2;;
197;Total central/decentral production;Solar photovoltaic;2013;1857.0;515900.0;1857.0;0.5;;
198;Total central/decentral production;Solar photovoltaic;2014;2825.0;784762.0;2825.0;0.8;;
199;Total central/decentral production;Solar photovoltaic;2015;3991.0;1108520.0;3991.0;1.0;;
200;Total central/decentral production;Solar photovoltaic;2016;5767.0;1601808.0;5767.0;1.4;;
201;Total central/decentral production;Solar photovoltaic;2017;7936.0;2204346.0;7936.0;1.9;;
202;Total central/decentral production;Solar photovoltaic;2018;13348.0;3707792.0;13348.0;3.2;;
203;Total central/decentral production;Solar photovoltaic;2019;19438.0;5399406.0;19438.0;4.4;;
204;Total central/decentral production;Solar photovoltaic;2020;30841.0;8567013.0;30841.0;6.9;;
205;Total central/decentral production;Solar photovoltaic;2021;40694.0;11303873.0;40694.0;9.3;;
206;Total central/decentral production;Solar photovoltaic;2022;59964.0;16656805.0;59964.0;13.7;;
207;Total central/decentral production;Solar photovoltaic;2023;70481.0;19578188.0;70481.0;16.1;;
208;Total central/decentral production;Wind energy;1998;2304.0;640000.0;2304.0;0.7;;
209;Total central/decentral production;Wind energy;1999;2322.0;645000.0;2322.0;0.7;;
210;Total central/decentral production;Wind energy;2000;2984.0;829000.0;2984.0;0.9;;
211;Total central/decentral production;Wind energy;2001;2970.0;825000.0;2970.0;0.9;;
212;Total central/decentral production;Wind energy;2002;3406.0;946000.0;3406.0;1.0;;
213;Total central/decentral production;Wind energy;2003;4745.0;1318000.0;4745.0;1.3;;
214;Total central/decentral production;Wind energy;2004;6721.0;1867000.0;6721.0;1.8;;
215;Total central/decentral production;Wind energy;2005;7441.0;2067000.0;7441.0;2.1;;
216;Total central/decentral production;Wind energy;2006;9842.0;2734000.0;9842.0;2.8;;
217;Total central/decentral production;Wind energy;2007;12373.0;3437000.0;12373.0;3.3;;
218;Total central/decentral production;Wind energy;2008;15330.0;4258333.0;15330.0;3.9;;
219;Total central/decentral production;Wind energy;2009;16500.0;4583333.0;16500.0;4.0;;
220;Total central/decentral production;Wind energy;2010;14375.0;3993056.0;14375.0;3.4;;
221;Total central/decentral production;Wind energy;2011;18361.0;5100171.0;18361.0;4.5;;
222;Total central/decentral production;Wind energy;2012;17935.0;4981829.0;17935.0;4.9;;
223;Total central/decentral production;Wind energy;2013;20258.0;5627148.0;20258.0;5.6;;
224;Total central/decentral production;Wind energy;2014;20870.0;5797334.0;20870.0;5.6;;
225;Total central/decentral production;Wind energy;2015;27179.0;7549858.0;27179.0;6.8;;
226;Total central/decentral production;Wind energy;2016;29414.0;8170446.0;29414.0;7.1;;
227;Total central/decentral production;Wind energy;2017;38048.0;10568801.0;38048.0;9.0;;
228;Total central/decentral production;Wind energy;2018;37975.0;10548511.0;37975.0;9.2;;
229;Total central/decentral production;Wind energy;2019;41429.0;11507927.0;41429.0;9.5;;
230;Total central/decentral production;Wind energy;2020;55000.0;15277726.0;55000.0;12.4;;
231;Total central/decentral production;Wind energy;2021;65244.0;18123360.0;65244.0;14.8;;
232;Total central/decentral production;Wind energy;2022;77637.0;21565971.0;77637.0;17.7;;
233;Total central/decentral production;Wind energy;2023;106290.0;29525082.0;106290.0;24.3;;
234;Total central/decentral production;Hydro power;1998;404.0;112310.0;404.0;0.1;;
235;Total central/decentral production;Hydro power;1999;325.0;90249.0;325.0;0.1;;
236;Total central/decentral production;Hydro power;2000;513.0;142393.0;513.0;0.2;;
237;Total central/decentral production;Hydro power;2001;422.0;117324.0;422.0;0.1;;
238;Total central/decentral production;Hydro power;2002;395.0;109636.0;395.0;0.1;;
239;Total central/decentral production;Hydro power;2003;259.0;72023.0;259.0;0.1;;
240;Total central/decentral production;Hydro power;2004;345.0;95732.0;345.0;0.1;;
241;Total central/decentral production;Hydro power;2005;317.0;88000.0;317.0;0.1;;
242;Total central/decentral production;Hydro power;2006;379.0;105199.0;379.0;0.1;;
243;Total central/decentral production;Hydro power;2007;385.0;107000.0;385.0;0.1;;
244;Total central/decentral production;Hydro power;2008;360.0;100000.0;360.0;0.1;;
245;Total central/decentral production;Hydro power;2009;350.0;97222.0;350.0;0.1;;
246;Total central/decentral production;Hydro power;2010;375.0;104167.0;375.0;0.1;;
247;Total central/decentral production;Hydro power;2011;205.0;57000.0;205.0;0.1;;
248;Total central/decentral production;Hydro power;2012;376.0;104388.0;376.0;0.1;;
249;Total central/decentral production;Hydro power;2013;412.0;114312.0;412.0;0.1;;
250;Total central/decentral production;Hydro power;2014;403.0;111925.0;403.0;0.1;;
251;Total central/decentral production;Hydro power;2015;334.0;92700.0;334.0;0.1;;
252;Total central/decentral production;Hydro power;2016;360.0;100079.0;360.0;0.1;;
253;Total central/decentral production;Hydro power;2017;219.0;60757.0;219.0;0.1;;
254;Total central/decentral production;Hydro power;2018;260.0;72348.0;260.0;0.1;;
255;Total central/decentral production;Hydro power;2019;267.0;74182.0;267.0;0.1;;
256;Total central/decentral production;Hydro power;2020;166.0;46066.0;166.0;0.0;;
257;Total central/decentral production;Hydro power;2021;318.0;88240.0;318.0;0.1;;
258;Total central/decentral production;Hydro power;2022;180.0;49998.0;180.0;0.0;;
259;Total central/decentral production;Hydro power;2023;250.0;69369.0;250.0;0.1;;
260;Total central/decentral production;Biomass;1998;7916.0;1590281.0;5725.0;1.7;2191.0;25697.0
261;Total central/decentral production;Biomass;1999;8434.0;1788338.0;6438.0;2.0;1996.0;27769.0
262;Total central/decentral production;Biomass;2000;9067.0;2013194.0;7247.0;2.2;1819.0;30625.0
263;Total central/decentral production;Biomass;2001;10719.0;2358034.0;8489.0;2.5;2230.0;34459.0
264;Total central/decentral production;Biomass;2002;13121.0;2906752.0;10464.0;3.1;2656.0;39193.0
265;Total central/decentral production;Biomass;2003;11715.0;2547534.0;9171.0;2.6;2544.0;35857.0
266;Total central/decentral production;Biomass;2004;14670.0;3324906.0;11970.0;3.3;2700.0;43267.0
267;Total central/decentral production;Biomass;2005;22183.0;5276719.0;18996.0;5.2;3187.0;60852.0
268;Total central/decentral production;Biomass;2006;22050.0;5194000.0;18698.0;5.3;3351.0;60721.0
269;Total central/decentral production;Biomass;2007;18218.0;4026282.0;14495.0;3.8;3723.0;50070.0
270;Total central/decentral production;Biomass;2008;21909.0;5082893.0;18298.0;4.7;3611.0;64080.0
271;Total central/decentral production;Biomass;2009;26537.0;6111000.0;22000.0;5.4;4537.0;73240.0
272;Total central/decentral production;Biomass;2010;30599.0;7058056.0;25409.0;6.0;5190.0;81590.0
273;Total central/decentral production;Biomass;2011;31297.0;7083559.0;25501.0;6.3;5796.0;82140.0
274;Total central/decentral production;Biomass;2012;37593.0;7203605.0;25933.0;7.0;11660.0;88642.0
275;Total central/decentral production;Biomass;2013;32212.0;5954000.0;21434.0;5.9;10778.0;79500.0
276;Total central/decentral production;Biomass;2014;32428.0;5013182.0;18047.0;4.8;14381.0;72929.0
277;Total central/decentral production;Biomass;2015;34605.0;4935860.0;17769.0;4.5;16836.0;73077.0
278;Total central/decentral production;Biomass;2016;33724.0;4908861.0;17672.0;4.3;16052.0;74474.0
279;Total central/decentral production;Biomass;2017;35325.0;4604632.0;16577.0;3.9;18749.0;73655.0
280;Total central/decentral production;Biomass;2018;33976.0;4553191.0;16391.0;4.0;17585.0;72042.0
281;Total central/decentral production;Biomass;2019;41712.0;5821676.0;20958.0;4.8;20754.0;85261.0
282;Total central/decentral production;Biomass;2020;54610.0;8838681.0;31819.0;7.2;22790.0;112414.0
283;Total central/decentral production;Biomass;2021;65780.0;10917558.0;39303.0;8.9;26477.0;133298.0
284;Total central/decentral production;Biomass;2022;58386.0;9819727.0;35351.0;8.1;23035.0;122722.0
