ID;HerkomstBestemming;Perioden;TotaalAfval_1
68;Bestemming: verwerking producenten;1990;52021
69;Bestemming: verwerking producenten;1992;52549
70;Bestemming: verwerking producenten;1994;52262
71;Bestemming: verwerking producenten;1996;56408
72;Bestemming: verwerking producenten;1998;61047
73;Bestemming: verwerking producenten;2000;63588
74;Bestemming: verwerking producenten;2002;63522
75;Bestemming: verwerking producenten;2004;58514
76;Bestemming: verwerking producenten;2006;61161
77;Bestemming: verwerking producenten;2008;65720
78;Bestemming: verwerking producenten;2010;61412
79;Bestemming: verwerking producenten;2012;65262
80;Bestemming: verwerking producenten;2014;66045
81;Bestemming: verwerking producenten;2016;64915
82;Bestemming: verwerking producenten;2018;66012
83;Bestemming: verwerking producenten;2020;64164
84;Bestemming: verwerking producenten;2022;66321
85;Verwerking producenten: hergebruik;1990;31990
86;Verwerking producenten: hergebruik;1992;35324
87;Verwerking producenten: hergebruik;1994;37238
88;Verwerking producenten: hergebruik;1996;42345
89;Verwerking producenten: hergebruik;1998;47239
90;Verwerking producenten: hergebruik;2000;51455
91;Verwerking producenten: hergebruik;2002;51384
92;Verwerking producenten: hergebruik;2004;48317
93;Verwerking producenten: hergebruik;2006;48942
94;Verwerking producenten: hergebruik;2008;53220
95;Verwerking producenten: hergebruik;2010;48877
96;Verwerking producenten: hergebruik;2012;52631
97;Verwerking producenten: hergebruik;2014;52596
98;Verwerking producenten: hergebruik;2016;51556
99;Verwerking producenten: hergebruik;2018;52873
100;Verwerking producenten: hergebruik;2020;50072
101;Verwerking producenten: hergebruik;2022;53050
102;Verwerking producenten: verbranding;1990;4075
103;Verwerking producenten: verbranding;1992;4241
104;Verwerking producenten: verbranding;1994;4578
105;Verwerking producenten: verbranding;1996;5961
106;Verwerking producenten: verbranding;1998;7113
107;Verwerking producenten: verbranding;2000;7205
108;Verwerking producenten: verbranding;2002;8143
109;Verwerking producenten: verbranding;2004;8409
110;Verwerking producenten: verbranding;2006;9106
111;Verwerking producenten: verbranding;2008;10433
112;Verwerking producenten: verbranding;2010;11017
113;Verwerking producenten: verbranding;2012;11142
114;Verwerking producenten: verbranding;2014;11804
115;Verwerking producenten: verbranding;2016;11874
116;Verwerking producenten: verbranding;2018;11570
117;Verwerking producenten: verbranding;2020;12589
118;Verwerking producenten: verbranding;2022;12035
119;Verwerking producenten: storten en lozen;1990;15956
120;Verwerking producenten: storten en lozen;1992;12984
121;Verwerking producenten: storten en lozen;1994;10446
122;Verwerking producenten: storten en lozen;1996;8102
123;Verwerking producenten: storten en lozen;1998;6696
124;Verwerking producenten: storten en lozen;2000;4928
125;Verwerking producenten: storten en lozen;2002;3995
126;Verwerking producenten: storten en lozen;2004;1788
127;Verwerking producenten: storten en lozen;2006;3114
128;Verwerking producenten: storten en lozen;2008;2066
129;Verwerking producenten: storten en lozen;2010;1518
130;Verwerking producenten: storten en lozen;2012;1489
131;Verwerking producenten: storten en lozen;2014;1645
132;Verwerking producenten: storten en lozen;2016;1486
133;Verwerking producenten: storten en lozen;2018;1569
134;Verwerking producenten: storten en lozen;2020;1503
135;Verwerking producenten: storten en lozen;2022;1236
136;Bestemming: buitenland;1990;6040
137;Bestemming: buitenland;1992;6632
138;Bestemming: buitenland;1994;7330
139;Bestemming: buitenland;1996;8182
140;Bestemming: buitenland;1998;8838
141;Bestemming: buitenland;2000;10364
142;Bestemming: buitenland;2002;17046
143;Bestemming: buitenland;2004;21379
144;Bestemming: buitenland;2006;20454
145;Bestemming: buitenland;2008;21202
146;Bestemming: buitenland;2010;21249
147;Bestemming: buitenland;2012;20824
148;Bestemming: buitenland;2014;19651
149;Bestemming: buitenland;2016;19538
150;Bestemming: buitenland;2018;19522
151;Bestemming: buitenland;2020;20075
152;Bestemming: buitenland;2022;18299
