ID;Instellingen;Bedrijfsomvang;Perioden;TotaalUitgavenEigenRD_1;Totaal_2;BrutoLoonkosten_3;OverigeExploitatiekosten_4;Totaal_5;Gebouwen_6;OverigeInvesteringen_7;Totaal_8;Onderzoekers_9;Assistenten_10;OverigPersoneel_11;TotaalVrouwen_12;Onderzoekers_13;Assistenten_14;OverigPersoneel_15;ArbeidsjarenTotaal_16;Onderzoekers_17;Assistenten_18;OverigPersoneel_19;InstellingenMetEigenRD_20
36;Totaal instellingen;250 en meer werkzame personen;2005;1061.0;995.0;702.0;293.0;65.0;19.0;47.0;11658.0;6378.0;3500.0;1780.0;3485.0;1749.0;1013.0;723.0;10789.0;5935.0;3237.0;1616.0;45.0
37;Totaal instellingen;250 en meer werkzame personen;2006;1096.0;;;;;;;11942.0;6538.0;3428.0;1976.0;3931.0;1843.0;1261.0;827.0;10698.0;5944.0;3091.0;1663.0;46.0
38;Totaal instellingen;250 en meer werkzame personen;2007;1152.0;1032.0;741.0;291.0;120.0;58.0;62.0;12302.0;6935.0;3587.0;1780.0;4075.0;2001.0;1216.0;858.0;10863.0;6116.0;3203.0;1544.0;50.0
39;Totaal instellingen;250 en meer werkzame personen;2008;1135.0;;;;;;;11979.0;6750.0;3280.0;1949.0;;;;;10742.0;6148.0;2900.0;1693.0;44.0
40;Totaal instellingen;250 en meer werkzame personen;2009;1172.0;1056.0;738.0;318.0;116.0;72.0;44.0;11303.0;6614.0;2889.0;1803.0;3484.0;1930.0;883.0;673.0;10046.0;5966.0;2632.0;1448.0;35.0
41;Totaal instellingen;250 en meer werkzame personen;2010;1140.0;;;;;;;11428.0;6699.0;2824.0;1905.0;3580.0;1955.0;854.0;771.0;9890.0;5998.0;2463.0;1428.0;35.0
42;Totaal instellingen;250 en meer werkzame personen;2011;1180.0;1066.0;725.0;341.0;114.0;68.0;46.0;11587.0;6966.0;2970.0;1650.0;3983.0;2254.0;1026.0;704.0;9834.0;5914.0;2525.0;1394.0;41.0
43;Totaal instellingen;250 en meer werkzame personen;2012;1184.0;1065.0;746.0;319.0;119.0;55.0;64.0;11650.0;7345.0;;4305.0;4787.0;2806.0;;1981.0;10332.0;6517.0;;3814.0;46.0
44;Onderzoeksinstellingen;Totaal (10 en meer) werkzame personen;2002;994.0;905.0;625.0;280.0;89.0;26.0;64.0;12113.0;6267.0;3457.0;2389.0;;;;;11269.0;5887.0;3222.0;2160.0;38.0
45;Onderzoeksinstellingen;Totaal (10 en meer) werkzame personen;2003;978.0;901.0;629.0;273.0;77.0;26.0;51.0;11808.0;5967.0;3553.0;2288.0;2906.0;1291.0;871.0;744.0;11093.0;5632.0;3380.0;2082.0;38.0
46;Onderzoeksinstellingen;Totaal (10 en meer) werkzame personen;2004;1040.0;969.0;667.0;302.0;71.0;24.0;47.0;11548.0;6181.0;3317.0;2051.0;3414.0;1715.0;942.0;758.0;10790.0;5861.0;3181.0;1749.0;44.0
47;Onderzoeksinstellingen;Totaal (10 en meer) werkzame personen;2005;1007.0;941.0;657.0;284.0;67.0;21.0;45.0;10706.0;5630.0;3170.0;1906.0;3222.0;1546.0;924.0;752.0;10086.0;5331.0;3024.0;1732.0;51.0
48;Onderzoeksinstellingen;Totaal (10 en meer) werkzame personen;2006;1016.0;;;;;;;10685.0;5623.0;3060.0;2002.0;3198.0;1388.0;1022.0;788.0;9723.0;5212.0;2816.0;1695.0;39.0
49;Onderzoeksinstellingen;Totaal (10 en meer) werkzame personen;2007;1020.0;911.0;646.0;265.0;108.0;52.0;56.0;10524.0;5842.0;2989.0;1693.0;3319.0;1582.0;963.0;774.0;9431.0;5298.0;2739.0;1394.0;36.0
50;Onderzoeksinstellingen;Totaal (10 en meer) werkzame personen;2008;1064.0;;;;;;;10849.0;6053.0;2933.0;1863.0;;;;;9832.0;5556.0;2634.0;1642.0;53.0
51;Onderzoeksinstellingen;Totaal (10 en meer) werkzame personen;2009;1121.0;988.0;681.0;307.0;132.0;86.0;46.0;10232.0;5868.0;2586.0;1781.0;2932.0;1592.0;715.0;627.0;9191.0;5304.0;2419.0;1467.0;39.0
52;Onderzoeksinstellingen;Totaal (10 en meer) werkzame personen;2010;1049.0;;;;;;;10418.0;6039.0;2471.0;1908.0;3045.0;1612.0;693.0;740.0;9166.0;5432.0;2252.0;1483.0;41.0
53;Onderzoeksinstellingen;Totaal (10 en meer) werkzame personen;2011;1082.0;972.0;653.0;320.0;109.0;60.0;49.0;10015.0;5965.0;2483.0;1567.0;3038.0;1726.0;687.0;625.0;8787.0;5225.0;2240.0;1321.0;40.0
54;Onderzoeksinstellingen;Totaal (10 en meer) werkzame personen;2012;1060.0;947.0;646.0;302.0;113.0;49.0;63.0;9748.0;6103.0;;3645.0;3624.0;2098.0;;1526.0;8838.0;5526.0;;3310.0;29.0
55;Onderzoeksinstellingen;10 tot 50 werkzame personen;2002;18.0;18.0;13.0;5.0;0.0;0.0;0.0;366.0;216.0;27.0;123.0;;;;;309.0;185.0;22.0;103.0;8.0
56;Onderzoeksinstellingen;10 tot 50 werkzame personen;2003;10.0;10.0;8.0;2.0;0.0;0.0;0.0;261.0;120.0;59.0;82.0;118.0;39.0;22.0;57.0;174.0;92.0;38.0;44.0;11.0
57;Onderzoeksinstellingen;10 tot 50 werkzame personen;2004;14.0;13.0;10.0;3.0;0.0;0.0;0.0;;;;;;;;;;;;;15.0
58;Onderzoeksinstellingen;10 tot 50 werkzame personen;2005;13.0;12.0;9.0;3.0;0.0;0.0;0.0;252.0;141.0;18.0;93.0;101.0;47.0;1.0;53.0;163.0;96.0;11.0;56.0;22.0
59;Onderzoeksinstellingen;10 tot 50 werkzame personen;2006;21.0;;;;;;;419.0;240.0;75.0;104.0;141.0;58.0;27.0;56.0;296.0;162.0;57.0;77.0;15.0
60;Onderzoeksinstellingen;10 tot 50 werkzame personen;2007;20.0;19.0;13.0;6.0;1.0;0.0;1.0;321.0;194.0;31.0;96.0;144.0;65.0;8.0;71.0;217.0;141.0;19.0;57.0;13.0
61;Onderzoeksinstellingen;10 tot 50 werkzame personen;2008;18.0;;;;;;;373.0;232.0;46.0;95.0;;;;;254.0;168.0;29.0;57.0;22.0
62;Onderzoeksinstellingen;10 tot 50 werkzame personen;2009;19.0;18.0;13.0;4.0;2.0;1.0;1.0;254.0;150.0;45.0;59.0;97.0;42.0;22.0;33.0;197.0;117.0;37.0;43.0;18.0
63;Onderzoeksinstellingen;10 tot 50 werkzame personen;2010;;;;;;;;284.0;196.0;35.0;53.0;117.0;;;41.0;199.0;135.0;27.0;37.0;18.0
64;Onderzoeksinstellingen;10 tot 50 werkzame personen;2011;14.0;14.0;11.0;3.0;0.0;0.0;0.0;166.0;106.0;22.0;38.0;60.0;21.0;11.0;29.0;136.0;86.0;19.0;31.0;10.0
65;Onderzoeksinstellingen;10 tot 50 werkzame personen;2012;14.0;13.0;11.0;3.0;1.0;0.0;0.0;132.0;100.0;;33.0;29.0;13.0;;16.0;118.0;89.0;;28.0;10.0
66;Onderzoeksinstellingen;50 tot 250 werkzame personen;2002;124.0;111.0;83.0;28.0;13.0;5.0;8.0;1936.0;1072.0;303.0;561.0;;;;;1730.0;987.0;267.0;476.0;18.0
67;Onderzoeksinstellingen;50 tot 250 werkzame personen;2003;327.0;294.0;196.0;97.0;34.0;17.0;17.0;4039.0;2029.0;1185.0;825.0;1023.0;499.0;295.0;229.0;3797.0;1894.0;1147.0;757.0;19.0
68;Onderzoeksinstellingen;50 tot 250 werkzame personen;2004;321.0;299.0;185.0;114.0;22.0;14.0;8.0;;;;;;;;;;;;;15.0
69;Onderzoeksinstellingen;50 tot 250 werkzame personen;2005;76.0;70.0;49.0;21.0;6.0;2.0;4.0;1001.0;524.0;200.0;277.0;285.0;121.0;56.0;108.0;898.0;481.0;178.0;239.0;15.0
70;Onderzoeksinstellingen;50 tot 250 werkzame personen;2006;78.0;;;;;;;1153.0;663.0;202.0;288.0;292.0;122.0;51.0;119.0;963.0;556.0;164.0;243.0;10.0
71;Onderzoeksinstellingen;50 tot 250 werkzame personen;2007;41.0;40.0;28.0;11.0;2.0;1.0;1.0;707.0;411.0;82.0;214.0;169.0;73.0;18.0;78.0;481.0;362.0;38.0;82.0;7.0
72;Onderzoeksinstellingen;50 tot 250 werkzame personen;2008;74.0;;;;;;;992.0;542.0;195.0;255.0;;;;;848.0;486.0;149.0;214.0;14.0
73;Onderzoeksinstellingen;50 tot 250 werkzame personen;2009;106.0;82.0;55.0;27.0;24.0;19.0;5.0;998.0;602.0;151.0;245.0;301.0;160.0;43.0;98.0;838.0;503.0;127.0;208.0;9.0
74;Onderzoeksinstellingen;50 tot 250 werkzame personen;2010;;;;;;;;1101.0;655.0;;;329.0;;;;1006.0;603.0;176.0;227.0;10.0
75;Onderzoeksinstellingen;50 tot 250 werkzame personen;2011;94.0;88.0;61.0;27.0;6.0;1.0;5.0;1152.0;705.0;262.0;185.0;450.0;264.0;91.0;95.0;906.0;543.0;212.0;151.0;20.0
76;Onderzoeksinstellingen;50 tot 250 werkzame personen;2012;83.0;80.0;56.0;23.0;3.0;1.0;2.0;933.0;613.0;;320.0;359.0;221.0;;139.0;823.0;544.0;;279.0;10.0
77;Onderzoeksinstellingen;250 en meer werkzame personen;2002;852.0;775.0;528.0;248.0;76.0;21.0;56.0;9811.0;4979.0;3127.0;1705.0;;;;;9230.0;4715.0;2933.0;1582.0;12.0
78;Onderzoeksinstellingen;250 en meer werkzame personen;2003;641.0;598.0;425.0;174.0;43.0;10.0;33.0;7508.0;3818.0;2309.0;1381.0;1765.0;753.0;554.0;458.0;7122.0;3646.0;2195.0;1281.0;8.0
79;Onderzoeksinstellingen;250 en meer werkzame personen;2004;705.0;657.0;472.0;185.0;48.0;10.0;38.0;7772.0;4305.0;2231.0;1236.0;2177.0;1116.0;594.0;467.0;7346.0;4099.0;2116.0;1131.0;14.0
80;Onderzoeksinstellingen;250 en meer werkzame personen;2005;918.0;858.0;599.0;259.0;60.0;19.0;41.0;9453.0;4965.0;2952.0;1536.0;2836.0;1378.0;867.0;591.0;9025.0;4755.0;2834.0;1437.0;14.0
81;Onderzoeksinstellingen;250 en meer werkzame personen;2006;918.0;;;;;;;9113.0;4720.0;2783.0;1610.0;2765.0;1208.0;944.0;613.0;8464.0;4495.0;2595.0;1375.0;14.0
82;Onderzoeksinstellingen;250 en meer werkzame personen;2007;958.0;853.0;605.0;248.0;105.0;52.0;54.0;9496.0;5237.0;2876.0;1383.0;3006.0;1444.0;937.0;625.0;8733.0;4795.0;2682.0;1255.0;16.0
83;Onderzoeksinstellingen;250 en meer werkzame personen;2008;972.0;;;;;;;9484.0;5279.0;2692.0;1513.0;;;;;8730.0;4903.0;2456.0;1371.0;17.0
84;Onderzoeksinstellingen;250 en meer werkzame personen;2009;995.0;889.0;613.0;275.0;106.0;66.0;40.0;8980.0;5116.0;2390.0;1477.0;2534.0;1390.0;650.0;496.0;8155.0;4684.0;2255.0;1216.0;12.0
85;Onderzoeksinstellingen;250 en meer werkzame personen;2010;936.0;;;;;;;9033.0;5188.0;;;2599.0;1390.0;;;7960.0;4694.0;2048.0;1218.0;13.0
86;Onderzoeksinstellingen;250 en meer werkzame personen;2011;974.0;871.0;580.0;290.0;103.0;59.0;44.0;8696.0;5153.0;2199.0;1344.0;2528.0;1442.0;586.0;501.0;7744.0;4596.0;2009.0;1139.0;10.0
87;Onderzoeksinstellingen;250 en meer werkzame personen;2012;963.0;854.0;578.0;276.0;109.0;48.0;61.0;8682.0;5390.0;;3292.0;3237.0;1865.0;;1371.0;7897.0;4893.0;;3003.0;9.0
88;Rijksdiensten;Totaal (10 en meer) werkzame personen;2002;89.0;87.0;72.0;15.0;2.0;0.0;2.0;1541.0;913.0;382.0;246.0;;;;;1329.0;830.0;286.0;214.0;17.0
89;Rijksdiensten;Totaal (10 en meer) werkzame personen;2003;110.0;108.0;93.0;15.0;3.0;0.0;3.0;1627.0;1130.0;285.0;212.0;342.0;246.0;28.0;68.0;1478.0;1034.0;267.0;176.0;16.0
90;Rijksdiensten;Totaal (10 en meer) werkzame personen;2004;97.0;96.0;82.0;14.0;1.0;0.0;1.0;1441.0;1070.0;170.0;201.0;362.0;255.0;34.0;73.0;1292.0;978.0;152.0;163.0;18.0
91;Rijksdiensten;Totaal (10 en meer) werkzame personen;2005;85.0;83.0;69.0;14.0;2.0;0.0;2.0;1441.0;998.0;243.0;200.0;389.0;234.0;42.0;113.0;1107.0;805.0;153.0;149.0;18.0
92;Rijksdiensten;Totaal (10 en meer) werkzame personen;2006;104.0;;;;;;;1656.0;1144.0;302.0;210.0;524.0;304.0;88.0;132.0;1281.0;921.0;203.0;158.0;17.0
93;Rijksdiensten;Totaal (10 en meer) werkzame personen;2007;97.0;94.0;72.0;21.0;3.0;1.0;2.0;1619.0;1075.0;324.0;220.0;509.0;289.0;86.0;134.0;1190.0;818.0;232.0;140.0;17.0
94;Rijksdiensten;Totaal (10 en meer) werkzame personen;2008;63.0;;;;;;;1209.0;868.0;168.0;173.0;;;;;973.0;730.0;128.0;116.0;13.0
95;Rijksdiensten;Totaal (10 en meer) werkzame personen;2009;83.0;82.0;68.0;15.0;0.0;0.0;0.0;1295.0;935.0;186.0;174.0;457.0;299.0;60.0;98.0;1026.0;794.0;123.0;109.0;13.0
96;Rijksdiensten;Totaal (10 en meer) werkzame personen;2010;90.0;;;;;;;1260.0;864.0;250.0;146.0;388.0;262.0;;;976.0;725.0;151.0;100.0;12.0
97;Rijksdiensten;Totaal (10 en meer) werkzame personen;2011;85.0;81.0;62.0;19.0;4.0;3.0;1.0;1060.0;759.0;177.0;125.0;421.0;277.0;56.0;88.0;936.0;671.0;155.0;110.0;10.0
98;Rijksdiensten;Totaal (10 en meer) werkzame personen;2012;91.0;87.0;73.0;13.0;5.0;2.0;3.0;1500.0;1125.0;;375.0;744.0;528.0;;216.0;1255.0;966.0;;288.0;16.0
99;Rijksdiensten;10 tot 50 werkzame personen;2002;18.0;18.0;14.0;4.0;0.0;0.0;0.0;241.0;133.0;37.0;71.0;;;;;203.0;111.0;30.0;63.0;7.0
100;Rijksdiensten;10 tot 50 werkzame personen;2003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
101;Rijksdiensten;10 tot 50 werkzame personen;2004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
102;Rijksdiensten;10 tot 50 werkzame personen;2005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
103;Rijksdiensten;10 tot 50 werkzame personen;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
104;Rijksdiensten;10 tot 50 werkzame personen;2007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
105;Rijksdiensten;10 tot 50 werkzame personen;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
106;Rijksdiensten;10 tot 50 werkzame personen;2009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
107;Rijksdiensten;10 tot 50 werkzame personen;2010;0.0;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
108;Rijksdiensten;10 tot 50 werkzame personen;2011;;;;;;;;0.0;;;;;;;;;;;;
109;Rijksdiensten;10 tot 50 werkzame personen;2012;;;;;;;;;;;;;;;;;;;;
110;Rijksdiensten;50 tot 250 werkzame personen;2002;71.0;69.0;58.0;11.0;2.0;0.0;2.0;1300.0;780.0;345.0;175.0;;;;;1126.0;719.0;256.0;151.0;10.0
111;Rijksdiensten;50 tot 250 werkzame personen;2003;;;;;;;;;;;;;;;;;;;;
112;Rijksdiensten;50 tot 250 werkzame personen;2004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
113;Rijksdiensten;50 tot 250 werkzame personen;2005;;;;;;0.0;;;;;;;;;;;;;;
114;Rijksdiensten;50 tot 250 werkzame personen;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
115;Rijksdiensten;50 tot 250 werkzame personen;2007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
116;Rijksdiensten;50 tot 250 werkzame personen;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
117;Rijksdiensten;50 tot 250 werkzame personen;2009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
118;Rijksdiensten;50 tot 250 werkzame personen;2010;0.0;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
119;Rijksdiensten;50 tot 250 werkzame personen;2011;;;;;;;;0.0;;;;;;;;;;;;
120;Rijksdiensten;50 tot 250 werkzame personen;2012;;;;;;;;;;;;;;;;;;;;
121;Rijksdiensten;250 en meer werkzame personen;2002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;0.0;0.0
122;Rijksdiensten;250 en meer werkzame personen;2003;;;;;;;;;;;;;;;;;;;;
123;Rijksdiensten;250 en meer werkzame personen;2004;97.0;96.0;82.0;14.0;1.0;0.0;1.0;1441.0;1070.0;170.0;201.0;362.0;255.0;34.0;73.0;1292.0;978.0;152.0;163.0;18.0
124;Rijksdiensten;250 en meer werkzame personen;2005;;;;;;0.0;;;;;;;;;;;;;;
125;Rijksdiensten;250 en meer werkzame personen;2006;104.0;;;;;;;1656.0;1144.0;302.0;210.0;524.0;304.0;88.0;132.0;1281.0;921.0;203.0;158.0;17.0
126;Rijksdiensten;250 en meer werkzame personen;2007;97.0;94.0;72.0;21.0;3.0;1.0;2.0;1619.0;1075.0;324.0;220.0;509.0;289.0;86.0;134.0;1190.0;818.0;232.0;140.0;17.0
127;Rijksdiensten;250 en meer werkzame personen;2008;63.0;;;;;;;1209.0;868.0;168.0;173.0;;;;;973.0;730.0;128.0;116.0;13.0
128;Rijksdiensten;250 en meer werkzame personen;2009;83.0;82.0;68.0;15.0;0.0;0.0;0.0;1295.0;935.0;186.0;174.0;457.0;299.0;60.0;98.0;1026.0;794.0;123.0;109.0;13.0
129;Rijksdiensten;250 en meer werkzame personen;2010;90.0;;;;;;;1260.0;864.0;250.0;146.0;388.0;262.0;;;976.0;725.0;151.0;100.0;12.0
130;Rijksdiensten;250 en meer werkzame personen;2011;85.0;81.0;62.0;19.0;4.0;3.0;1.0;1060.0;759.0;177.0;125.0;421.0;277.0;56.0;88.0;936.0;671.0;155.0;110.0;10.0
131;Rijksdiensten;250 en meer werkzame personen;2012;91.0;87.0;73.0;13.0;5.0;2.0;3.0;1500.0;1125.0;;375.0;744.0;528.0;;216.0;1255.0;966.0;;288.0;16.0
132;Instellingen voor zorg en welzijn;Totaal (10 en meer) werkzame personen;2002;61.0;59.0;39.0;20.0;2.0;0.0;2.0;976.0;471.0;394.0;111.0;;;;;894.0;434.0;358.0;101.0;8.0
133;Instellingen voor zorg en welzijn;Totaal (10 en meer) werkzame personen;2003;94.0;90.0;64.0;26.0;4.0;0.0;4.0;1939.0;1094.0;491.0;354.0;800.0;500.0;157.0;143.0;1334.0;714.0;408.0;210.0;19.0
134;Instellingen voor zorg en welzijn;Totaal (10 en meer) werkzame personen;2004;88.0;78.0;56.0;22.0;9.0;4.0;5.0;1672.0;930.0;449.0;293.0;748.0;410.0;164.0;174.0;1171.0;683.0;330.0;158.0;25.0
