ID;Vervoerstroom;Goederensoort;Perioden;VervoerdLadinggewicht_1
67;Binnenlands;Ruwe aardolie en aardolieproducten;2019;107240
68;Binnenlands;Ruwe aardolie en aardolieproducten;2020;97863
69;Binnenlands;Ruwe aardolie en aardolieproducten;2021;102062
70;Binnenlands;Ruwe aardolie en aardolieproducten;2022;95862
71;Binnenlands;Ruwe aardolie en aardolieproducten;2023;107644
72;Binnenlands;Aardgas;2012;148325
73;Binnenlands;Aardgas;2013;161450
74;Binnenlands;Aardgas;2014;132525
75;Binnenlands;Aardgas;2015;112343
76;Binnenlands;Aardgas;2016;111516
77;Binnenlands;Aardgas;2017;103347
78;Binnenlands;Aardgas;2018;94195
79;Binnenlands;Aardgas;2019;88066
80;Binnenlands;Aardgas;2020;73686
81;Binnenlands;Aardgas;2021;71565
82;Binnenlands;Aardgas;2022;61879
83;Binnenlands;Aardgas;2023;45913
84;Binnenlands;Chemische producten;2012;4716
85;Binnenlands;Chemische producten;2013;5671
86;Binnenlands;Chemische producten;2014;5712
87;Binnenlands;Chemische producten;2015;5960
88;Binnenlands;Chemische producten;2016;5816
89;Binnenlands;Chemische producten;2017;6103
90;Binnenlands;Chemische producten;2018;6503
91;Binnenlands;Chemische producten;2019;6420
92;Binnenlands;Chemische producten;2020;5104
93;Binnenlands;Chemische producten;2021;5741
94;Binnenlands;Chemische producten;2022;4637
95;Binnenlands;Chemische producten;2023;4638
96;Totaal aan- en afvoer;Totaal;2012;124138
97;Totaal aan- en afvoer;Totaal;2013;129357
98;Totaal aan- en afvoer;Totaal;2014;127161
99;Totaal aan- en afvoer;Totaal;2015;125872
100;Totaal aan- en afvoer;Totaal;2016;132827
101;Totaal aan- en afvoer;Totaal;2017;133601
102;Totaal aan- en afvoer;Totaal;2018;133700
103;Totaal aan- en afvoer;Totaal;2019;124649
104;Totaal aan- en afvoer;Totaal;2020;113360
105;Totaal aan- en afvoer;Totaal;2021;120231
106;Totaal aan- en afvoer;Totaal;2022;132531
107;Totaal aan- en afvoer;Totaal;2023;122519
108;Totaal aan- en afvoer;Ruwe aardolie en aardolieproducten;2012;57162
109;Totaal aan- en afvoer;Ruwe aardolie en aardolieproducten;2013;53576
110;Totaal aan- en afvoer;Ruwe aardolie en aardolieproducten;2014;58230
111;Totaal aan- en afvoer;Ruwe aardolie en aardolieproducten;2015;59372
112;Totaal aan- en afvoer;Ruwe aardolie en aardolieproducten;2016;58703
113;Totaal aan- en afvoer;Ruwe aardolie en aardolieproducten;2017;58969
114;Totaal aan- en afvoer;Ruwe aardolie en aardolieproducten;2018;56341
115;Totaal aan- en afvoer;Ruwe aardolie en aardolieproducten;2019;57367
116;Totaal aan- en afvoer;Ruwe aardolie en aardolieproducten;2020;51350
117;Totaal aan- en afvoer;Ruwe aardolie en aardolieproducten;2021;57967
118;Totaal aan- en afvoer;Ruwe aardolie en aardolieproducten;2022;55820
119;Totaal aan- en afvoer;Ruwe aardolie en aardolieproducten;2023;56324
120;Totaal aan- en afvoer;Aardgas;2012;65226
121;Totaal aan- en afvoer;Aardgas;2013;74090
122;Totaal aan- en afvoer;Aardgas;2014;67315
123;Totaal aan- en afvoer;Aardgas;2015;64800
124;Totaal aan- en afvoer;Aardgas;2016;72494
125;Totaal aan- en afvoer;Aardgas;2017;72947
126;Totaal aan- en afvoer;Aardgas;2018;75080
127;Totaal aan- en afvoer;Aardgas;2019;65221
128;Totaal aan- en afvoer;Aardgas;2020;59842
129;Totaal aan- en afvoer;Aardgas;2021;60169
130;Totaal aan- en afvoer;Aardgas;2022;74887
131;Totaal aan- en afvoer;Aardgas;2023;64625
132;Totaal aan- en afvoer;Chemische producten;2012;1751
133;Totaal aan- en afvoer;Chemische producten;2013;1692
134;Totaal aan- en afvoer;Chemische producten;2014;1616
135;Totaal aan- en afvoer;Chemische producten;2015;1700
136;Totaal aan- en afvoer;Chemische producten;2016;1631
137;Totaal aan- en afvoer;Chemische producten;2017;1686
138;Totaal aan- en afvoer;Chemische producten;2018;2279
139;Totaal aan- en afvoer;Chemische producten;2019;2060
140;Totaal aan- en afvoer;Chemische producten;2020;2168
141;Totaal aan- en afvoer;Chemische producten;2021;2095
142;Totaal aan- en afvoer;Chemische producten;2022;1824
143;Totaal aan- en afvoer;Chemische producten;2023;1571
