ID;InstitutionalSectors;AssetsAndLiabilities;FinancialInstruments;StocksAndFlows;Periods;FinancialTransactionsAndBalanceSheet_1
66;General government;Assets;AF Total financial instruments;Opening balance sheet;2011 3rd quarter;225685
67;General government;Assets;AF Total financial instruments;Opening balance sheet;2011 4th quarter;224379
68;General government;Assets;AF Total financial instruments;Opening balance sheet;2011;223019
69;General government;Assets;AF Total financial instruments;Opening balance sheet;2012 1st quarter;223168
70;General government;Assets;AF Total financial instruments;Opening balance sheet;2012 2nd quarter;231916
71;General government;Assets;AF Total financial instruments;Opening balance sheet;2012 3rd quarter;240980
72;General government;Assets;AF Total financial instruments;Opening balance sheet;2012 4th quarter;234814
73;General government;Assets;AF Total financial instruments;Opening balance sheet;2012;223168
74;General government;Assets;AF Total financial instruments;Opening balance sheet;2013 1st quarter;242855
75;General government;Assets;AF Total financial instruments;Opening balance sheet;2013 2nd quarter;250746
76;General government;Assets;AF Total financial instruments;Opening balance sheet;2013 3rd quarter;249087
77;General government;Assets;AF Total financial instruments;Opening balance sheet;2013 4th quarter;243564
78;General government;Assets;AF Total financial instruments;Opening balance sheet;2013;242855
79;General government;Assets;AF Total financial instruments;Opening balance sheet;2014 1st quarter;237259
80;General government;Assets;AF Total financial instruments;Opening balance sheet;2014 2nd quarter;237794
81;General government;Assets;AF Total financial instruments;Opening balance sheet;2014 3rd quarter;244782
82;General government;Assets;AF Total financial instruments;Opening balance sheet;2014 4th quarter;240958
83;General government;Assets;AF Total financial instruments;Opening balance sheet;2014;237259
84;General government;Assets;AF Total financial instruments;Opening balance sheet;2015 1st quarter;249426
85;General government;Assets;AF Total financial instruments;Opening balance sheet;2015 2nd quarter;269360
86;General government;Assets;AF Total financial instruments;Opening balance sheet;2015 3rd quarter;249437
87;General government;Assets;AF Total financial instruments;Opening balance sheet;2015 4th quarter;240856
88;General government;Assets;AF Total financial instruments;Opening balance sheet;2015;249426
89;General government;Assets;AF Total financial instruments;Opening balance sheet;2016 1st quarter;241829
90;General government;Assets;AF Total financial instruments;Opening balance sheet;2016 2nd quarter;249081
91;General government;Assets;AF Total financial instruments;Opening balance sheet;2016 3rd quarter;250515
92;General government;Assets;AF Total financial instruments;Opening balance sheet;2016 4th quarter;239074
93;General government;Assets;AF Total financial instruments;Opening balance sheet;2016;241829
94;General government;Assets;AF Total financial instruments;Opening balance sheet;2017 1st quarter;245166
95;General government;Assets;AF Total financial instruments;Opening balance sheet;2017 2nd quarter;245103
96;General government;Assets;AF Total financial instruments;Opening balance sheet;2017 3rd quarter;241911
97;General government;Assets;AF Total financial instruments;Opening balance sheet;2017 4th quarter;234817
98;General government;Assets;AF Total financial instruments;Opening balance sheet;2017;245166
99;General government;Assets;AF Total financial instruments;Opening balance sheet;2018 1st quarter;243689
100;General government;Assets;AF Total financial instruments;Opening balance sheet;2018 2nd quarter;247870
101;General government;Assets;AF Total financial instruments;Opening balance sheet;2018 3rd quarter;248826
102;General government;Assets;AF Total financial instruments;Opening balance sheet;2018 4th quarter;243337
103;General government;Assets;AF Total financial instruments;Opening balance sheet;2018;243689
104;General government;Assets;AF Total financial instruments;Opening balance sheet;2019 1st quarter;244669
105;General government;Assets;AF Total financial instruments;Opening balance sheet;2019 2nd quarter;254701
106;General government;Assets;AF Total financial instruments;Opening balance sheet;2019 3rd quarter;267148
107;General government;Assets;AF Total financial instruments;Opening balance sheet;2019 4th quarter;261235
108;General government;Assets;AF Total financial instruments;Opening balance sheet;2019;244669
109;General government;Assets;AF Total financial instruments;Opening balance sheet;2020 1st quarter;257907
110;General government;Assets;AF Total financial instruments;Opening balance sheet;2020 2nd quarter;277733
111;General government;Assets;AF Total financial instruments;Opening balance sheet;2020 3rd quarter;301544
112;General government;Assets;AF Total financial instruments;Opening balance sheet;2020 4th quarter;292044
113;General government;Assets;AF Total financial instruments;Opening balance sheet;2020;257907
114;General government;Assets;AF Total financial instruments;Opening balance sheet;2021 1st quarter;279303
115;General government;Assets;AF Total financial instruments;Opening balance sheet;2021 2nd quarter;280290
116;General government;Assets;AF Total financial instruments;Opening balance sheet;2021 3rd quarter;285450
117;General government;Assets;AF Total financial instruments;Opening balance sheet;2021 4th quarter;276071
118;General government;Assets;AF Total financial instruments;Opening balance sheet;2021;279303
119;General government;Assets;AF Total financial instruments;Opening balance sheet;2022 1st quarter;288585
120;General government;Assets;AF Total financial instruments;Opening balance sheet;2022 2nd quarter;278335
121;General government;Assets;AF Total financial instruments;Opening balance sheet;2022 3rd quarter;280154
122;General government;Assets;AF Total financial instruments;Opening balance sheet;2022 4th quarter;257186
123;General government;Assets;AF Total financial instruments;Opening balance sheet;2022;288585
124;General government;Assets;AF Total financial instruments;Opening balance sheet;2023 1st quarter;285335
125;General government;Assets;AF Total financial instruments;Opening balance sheet;2023 2nd quarter;279957
126;General government;Assets;AF Total financial instruments;Opening balance sheet;2023 3rd quarter;278064
127;General government;Assets;AF Total financial instruments;Opening balance sheet;2023 4th quarter;259178
128;General government;Assets;AF Total financial instruments;Opening balance sheet;2023;285335
129;General government;Assets;AF Total financial instruments;Opening balance sheet;2024 1st quarter;285987
130;General government;Assets;AF Total financial instruments;Opening balance sheet;2024 2nd quarter;281658
131;General government;Assets;AF Total financial instruments;Opening balance sheet;2024 3rd quarter;287991
132;General government;Assets;AF Total financial instruments;Opening balance sheet;2024 4th quarter;283648
133;General government;Assets;AF Total financial instruments;Opening balance sheet;2024;285987
134;General government;Assets;AF Total financial instruments;Financial transactions;1995;-17039
135;General government;Assets;AF Total financial instruments;Financial transactions;1996;-249
136;General government;Assets;AF Total financial instruments;Financial transactions;1997;-4177
137;General government;Assets;AF Total financial instruments;Financial transactions;1998;-479
138;General government;Assets;AF Total financial instruments;Financial transactions;1999 1st quarter;-144
139;General government;Assets;AF Total financial instruments;Financial transactions;1999 2nd quarter;-1046
140;General government;Assets;AF Total financial instruments;Financial transactions;1999 3rd quarter;821
141;General government;Assets;AF Total financial instruments;Financial transactions;1999 4th quarter;-484
142;General government;Assets;AF Total financial instruments;Financial transactions;1999;-853
143;General government;Assets;AF Total financial instruments;Financial transactions;2000 1st quarter;4862
144;General government;Assets;AF Total financial instruments;Financial transactions;2000 2nd quarter;-7254
145;General government;Assets;AF Total financial instruments;Financial transactions;2000 3rd quarter;3309
146;General government;Assets;AF Total financial instruments;Financial transactions;2000 4th quarter;-3748
147;General government;Assets;AF Total financial instruments;Financial transactions;2000;-2831
148;General government;Assets;AF Total financial instruments;Financial transactions;2001 1st quarter;1343
149;General government;Assets;AF Total financial instruments;Financial transactions;2001 2nd quarter;5708
150;General government;Assets;AF Total financial instruments;Financial transactions;2001 3rd quarter;-3600
151;General government;Assets;AF Total financial instruments;Financial transactions;2001 4th quarter;-6139
152;General government;Assets;AF Total financial instruments;Financial transactions;2001;-2688
153;General government;Assets;AF Total financial instruments;Financial transactions;2002 1st quarter;3402
154;General government;Assets;AF Total financial instruments;Financial transactions;2002 2nd quarter;782
155;General government;Assets;AF Total financial instruments;Financial transactions;2002 3rd quarter;-4394
156;General government;Assets;AF Total financial instruments;Financial transactions;2002 4th quarter;-2175
157;General government;Assets;AF Total financial instruments;Financial transactions;2002;-2385
158;General government;Assets;AF Total financial instruments;Financial transactions;2003 1st quarter;3494
159;General government;Assets;AF Total financial instruments;Financial transactions;2003 2nd quarter;-2526
160;General government;Assets;AF Total financial instruments;Financial transactions;2003 3rd quarter;608
161;General government;Assets;AF Total financial instruments;Financial transactions;2003 4th quarter;-2456
162;General government;Assets;AF Total financial instruments;Financial transactions;2003;-880
163;General government;Assets;AF Total financial instruments;Financial transactions;2004 1st quarter;2651
164;General government;Assets;AF Total financial instruments;Financial transactions;2004 2nd quarter;3514
165;General government;Assets;AF Total financial instruments;Financial transactions;2004 3rd quarter;-2624
166;General government;Assets;AF Total financial instruments;Financial transactions;2004 4th quarter;-5669
167;General government;Assets;AF Total financial instruments;Financial transactions;2004;-2128
168;General government;Assets;AF Total financial instruments;Financial transactions;2005 1st quarter;3647
169;General government;Assets;AF Total financial instruments;Financial transactions;2005 2nd quarter;13122
170;General government;Assets;AF Total financial instruments;Financial transactions;2005 3rd quarter;-8822
171;General government;Assets;AF Total financial instruments;Financial transactions;2005 4th quarter;-2145
172;General government;Assets;AF Total financial instruments;Financial transactions;2005;5802
173;General government;Assets;AF Total financial instruments;Financial transactions;2006 1st quarter;867
174;General government;Assets;AF Total financial instruments;Financial transactions;2006 2nd quarter;480
175;General government;Assets;AF Total financial instruments;Financial transactions;2006 3rd quarter;-7861
176;General government;Assets;AF Total financial instruments;Financial transactions;2006 4th quarter;-1713
177;General government;Assets;AF Total financial instruments;Financial transactions;2006;-8227
178;General government;Assets;AF Total financial instruments;Financial transactions;2007 1st quarter;3233
179;General government;Assets;AF Total financial instruments;Financial transactions;2007 2nd quarter;5672
180;General government;Assets;AF Total financial instruments;Financial transactions;2007 3rd quarter;-4408
181;General government;Assets;AF Total financial instruments;Financial transactions;2007 4th quarter;1179
182;General government;Assets;AF Total financial instruments;Financial transactions;2007;5676
183;General government;Assets;AF Total financial instruments;Financial transactions;2008 1st quarter;7638
184;General government;Assets;AF Total financial instruments;Financial transactions;2008 2nd quarter;8877
185;General government;Assets;AF Total financial instruments;Financial transactions;2008 3rd quarter;-3421
186;General government;Assets;AF Total financial instruments;Financial transactions;2008 4th quarter;68448
187;General government;Assets;AF Total financial instruments;Financial transactions;2008;81542
188;General government;Assets;AF Total financial instruments;Financial transactions;2009 1st quarter;16134
189;General government;Assets;AF Total financial instruments;Financial transactions;2009 2nd quarter;-15905
190;General government;Assets;AF Total financial instruments;Financial transactions;2009 3rd quarter;-8899
191;General government;Assets;AF Total financial instruments;Financial transactions;2009 4th quarter;-17640
192;General government;Assets;AF Total financial instruments;Financial transactions;2009;-26310
193;General government;Assets;AF Total financial instruments;Financial transactions;2010 1st quarter;1113
194;General government;Assets;AF Total financial instruments;Financial transactions;2010 2nd quarter;1500
195;General government;Assets;AF Total financial instruments;Financial transactions;2010 3rd quarter;-13694
196;General government;Assets;AF Total financial instruments;Financial transactions;2010 4th quarter;6208
197;General government;Assets;AF Total financial instruments;Financial transactions;2010;-4873
198;General government;Assets;AF Total financial instruments;Financial transactions;2011 1st quarter;2808
199;General government;Assets;AF Total financial instruments;Financial transactions;2011 2nd quarter;28
200;General government;Assets;AF Total financial instruments;Financial transactions;2011 3rd quarter;-6369
201;General government;Assets;AF Total financial instruments;Financial transactions;2011 4th quarter;-4377
202;General government;Assets;AF Total financial instruments;Financial transactions;2011;-7910
203;General government;Assets;AF Total financial instruments;Financial transactions;2012 1st quarter;7395
204;General government;Assets;AF Total financial instruments;Financial transactions;2012 2nd quarter;6242
205;General government;Assets;AF Total financial instruments;Financial transactions;2012 3rd quarter;-9944
206;General government;Assets;AF Total financial instruments;Financial transactions;2012 4th quarter;4661
207;General government;Assets;AF Total financial instruments;Financial transactions;2012;8354
208;General government;Assets;AF Total financial instruments;Financial transactions;2013 1st quarter;8736
209;General government;Assets;AF Total financial instruments;Financial transactions;2013 2nd quarter;5199
210;General government;Assets;AF Total financial instruments;Financial transactions;2013 3rd quarter;-7204
211;General government;Assets;AF Total financial instruments;Financial transactions;2013 4th quarter;-11523
212;General government;Assets;AF Total financial instruments;Financial transactions;2013;-4792
213;General government;Assets;AF Total financial instruments;Financial transactions;2014 1st quarter;-3037
214;General government;Assets;AF Total financial instruments;Financial transactions;2014 2nd quarter;5326
215;General government;Assets;AF Total financial instruments;Financial transactions;2014 3rd quarter;-8609
216;General government;Assets;AF Total financial instruments;Financial transactions;2014 4th quarter;438
217;General government;Assets;AF Total financial instruments;Financial transactions;2014;-5882
218;General government;Assets;AF Total financial instruments;Financial transactions;2015 1st quarter;11082
219;General government;Assets;AF Total financial instruments;Financial transactions;2015 2nd quarter;-14804
220;General government;Assets;AF Total financial instruments;Financial transactions;2015 3rd quarter;-7497
221;General government;Assets;AF Total financial instruments;Financial transactions;2015 4th quarter;-7202
222;General government;Assets;AF Total financial instruments;Financial transactions;2015;-18421
223;General government;Assets;AF Total financial instruments;Financial transactions;2016 1st quarter;1569
224;General government;Assets;AF Total financial instruments;Financial transactions;2016 2nd quarter;-1327
225;General government;Assets;AF Total financial instruments;Financial transactions;2016 3rd quarter;-11363
226;General government;Assets;AF Total financial instruments;Financial transactions;2016 4th quarter;7055
227;General government;Assets;AF Total financial instruments;Financial transactions;2016;-4066
228;General government;Assets;AF Total financial instruments;Financial transactions;2017 1st quarter;-1835
229;General government;Assets;AF Total financial instruments;Financial transactions;2017 2nd quarter;-969
230;General government;Assets;AF Total financial instruments;Financial transactions;2017 3rd quarter;-10087
231;General government;Assets;AF Total financial instruments;Financial transactions;2017 4th quarter;6540
232;General government;Assets;AF Total financial instruments;Financial transactions;2017;-6351
233;General government;Assets;AF Total financial instruments;Financial transactions;2018 1st quarter;6298
234;General government;Assets;AF Total financial instruments;Financial transactions;2018 2nd quarter;-91
235;General government;Assets;AF Total financial instruments;Financial transactions;2018 3rd quarter;-4426
236;General government;Assets;AF Total financial instruments;Financial transactions;2018 4th quarter;-1377
237;General government;Assets;AF Total financial instruments;Financial transactions;2018;404
238;General government;Assets;AF Total financial instruments;Financial transactions;2019 1st quarter;6498
239;General government;Assets;AF Total financial instruments;Financial transactions;2019 2nd quarter;7575
240;General government;Assets;AF Total financial instruments;Financial transactions;2019 3rd quarter;-11280
241;General government;Assets;AF Total financial instruments;Financial transactions;2019 4th quarter;-490
242;General government;Assets;AF Total financial instruments;Financial transactions;2019;2303
243;General government;Assets;AF Total financial instruments;Financial transactions;2020 1st quarter;21495
244;General government;Assets;AF Total financial instruments;Financial transactions;2020 2nd quarter;20530
245;General government;Assets;AF Total financial instruments;Financial transactions;2020 3rd quarter;-10473
246;General government;Assets;AF Total financial instruments;Financial transactions;2020 4th quarter;-12290
247;General government;Assets;AF Total financial instruments;Financial transactions;2020;19262
248;General government;Assets;AF Total financial instruments;Financial transactions;2021 1st quarter;4669
249;General government;Assets;AF Total financial instruments;Financial transactions;2021 2nd quarter;4802
250;General government;Assets;AF Total financial instruments;Financial transactions;2021 3rd quarter;-11193
251;General government;Assets;AF Total financial instruments;Financial transactions;2021 4th quarter;9331
252;General government;Assets;AF Total financial instruments;Financial transactions;2021;7609
253;General government;Assets;AF Total financial instruments;Financial transactions;2022 1st quarter;-297
254;General government;Assets;AF Total financial instruments;Financial transactions;2022 2nd quarter;15111
255;General government;Assets;AF Total financial instruments;Financial transactions;2022 3rd quarter;-14031
256;General government;Assets;AF Total financial instruments;Financial transactions;2022 4th quarter;26450
257;General government;Assets;AF Total financial instruments;Financial transactions;2022;27233
258;General government;Assets;AF Total financial instruments;Financial transactions;2023 1st quarter;-10510
259;General government;Assets;AF Total financial instruments;Financial transactions;2023 2nd quarter;-1458
260;General government;Assets;AF Total financial instruments;Financial transactions;2023 3rd quarter;-15014
261;General government;Assets;AF Total financial instruments;Financial transactions;2023 4th quarter;14347
262;General government;Assets;AF Total financial instruments;Financial transactions;2023;-12635
263;General government;Assets;AF Total financial instruments;Financial transactions;2024 1st quarter;-5316
264;General government;Assets;AF Total financial instruments;Financial transactions;2024 2nd quarter;4748
265;General government;Assets;AF Total financial instruments;Financial transactions;2024 3rd quarter;-13124
266;General government;Assets;AF Total financial instruments;Financial transactions;2024 4th quarter;15111
267;General government;Assets;AF Total financial instruments;Financial transactions;2024;1419
268;General government;Assets;AF Total financial instruments;Other changes;1995;-1363
269;General government;Assets;AF Total financial instruments;Other changes;1996;3670
270;General government;Assets;AF Total financial instruments;Other changes;1997;4939
271;General government;Assets;AF Total financial instruments;Other changes;1998;7047
272;General government;Assets;AF Total financial instruments;Other changes;1999 1st quarter;262
273;General government;Assets;AF Total financial instruments;Other changes;1999 2nd quarter;2182
274;General government;Assets;AF Total financial instruments;Other changes;1999 3rd quarter;1158
275;General government;Assets;AF Total financial instruments;Other changes;1999 4th quarter;13973
276;General government;Assets;AF Total financial instruments;Other changes;1999;17575
277;General government;Assets;AF Total financial instruments;Other changes;2000 1st quarter;4855
278;General government;Assets;AF Total financial instruments;Other changes;2000 2nd quarter;-3146
279;General government;Assets;AF Total financial instruments;Other changes;2000 3rd quarter;-8444
280;General government;Assets;AF Total financial instruments;Other changes;2000 4th quarter;-3128
281;General government;Assets;AF Total financial instruments;Other changes;2000;-9863
282;General government;Assets;AF Total financial instruments;Other changes;2001 1st quarter;-1295
283;General government;Assets;AF Total financial instruments;Other changes;2001 2nd quarter;-3112
284;General government;Assets;AF Total financial instruments;Other changes;2001 3rd quarter;-6724
285;General government;Assets;AF Total financial instruments;Other changes;2001 4th quarter;5543
286;General government;Assets;AF Total financial instruments;Other changes;2001;-5588
287;General government;Assets;AF Total financial instruments;Other changes;2002 1st quarter;876
288;General government;Assets;AF Total financial instruments;Other changes;2002 2nd quarter;-3390
289;General government;Assets;AF Total financial instruments;Other changes;2002 3rd quarter;-2799
290;General government;Assets;AF Total financial instruments;Other changes;2002 4th quarter;-1667
291;General government;Assets;AF Total financial instruments;Other changes;2002;-6980
292;General government;Assets;AF Total financial instruments;Other changes;2003 1st quarter;-772
293;General government;Assets;AF Total financial instruments;Other changes;2003 2nd quarter;1540
294;General government;Assets;AF Total financial instruments;Other changes;2003 3rd quarter;1731
295;General government;Assets;AF Total financial instruments;Other changes;2003 4th quarter;-586
296;General government;Assets;AF Total financial instruments;Other changes;2003;1913
297;General government;Assets;AF Total financial instruments;Other changes;2004 1st quarter;1836
298;General government;Assets;AF Total financial instruments;Other changes;2004 2nd quarter;1678
299;General government;Assets;AF Total financial instruments;Other changes;2004 3rd quarter;991
300;General government;Assets;AF Total financial instruments;Other changes;2004 4th quarter;-1785
301;General government;Assets;AF Total financial instruments;Other changes;2004;2720
302;General government;Assets;AF Total financial instruments;Other changes;2005 1st quarter;999
303;General government;Assets;AF Total financial instruments;Other changes;2005 2nd quarter;1530
304;General government;Assets;AF Total financial instruments;Other changes;2005 3rd quarter;4809
305;General government;Assets;AF Total financial instruments;Other changes;2005 4th quarter;2031
306;General government;Assets;AF Total financial instruments;Other changes;2005;9369
307;General government;Assets;AF Total financial instruments;Other changes;2006 1st quarter;-4735
308;General government;Assets;AF Total financial instruments;Other changes;2006 2nd quarter;1194
309;General government;Assets;AF Total financial instruments;Other changes;2006 3rd quarter;859
310;General government;Assets;AF Total financial instruments;Other changes;2006 4th quarter;-537
311;General government;Assets;AF Total financial instruments;Other changes;2006;-3219
312;General government;Assets;AF Total financial instruments;Other changes;2007 1st quarter;1425
313;General government;Assets;AF Total financial instruments;Other changes;2007 2nd quarter;-1122
314;General government;Assets;AF Total financial instruments;Other changes;2007 3rd quarter;2813
315;General government;Assets;AF Total financial instruments;Other changes;2007 4th quarter;3425
316;General government;Assets;AF Total financial instruments;Other changes;2007;6541
317;General government;Assets;AF Total financial instruments;Other changes;2008 1st quarter;7467
318;General government;Assets;AF Total financial instruments;Other changes;2008 2nd quarter;5021
319;General government;Assets;AF Total financial instruments;Other changes;2008 3rd quarter;2755
320;General government;Assets;AF Total financial instruments;Other changes;2008 4th quarter;-8060
321;General government;Assets;AF Total financial instruments;Other changes;2008;7183
322;General government;Assets;AF Total financial instruments;Other changes;2009 1st quarter;-9565
323;General government;Assets;AF Total financial instruments;Other changes;2009 2nd quarter;-1131
324;General government;Assets;AF Total financial instruments;Other changes;2009 3rd quarter;21786
325;General government;Assets;AF Total financial instruments;Other changes;2009 4th quarter;-4050
326;General government;Assets;AF Total financial instruments;Other changes;2009;7040
327;General government;Assets;AF Total financial instruments;Other changes;2010 1st quarter;3248
328;General government;Assets;AF Total financial instruments;Other changes;2010 2nd quarter;4044
329;General government;Assets;AF Total financial instruments;Other changes;2010 3rd quarter;2346
330;General government;Assets;AF Total financial instruments;Other changes;2010 4th quarter;-4548
331;General government;Assets;AF Total financial instruments;Other changes;2010;5090
332;General government;Assets;AF Total financial instruments;Other changes;2011 1st quarter;-2671
333;General government;Assets;AF Total financial instruments;Other changes;2011 2nd quarter;2501
334;General government;Assets;AF Total financial instruments;Other changes;2011 3rd quarter;5063
335;General government;Assets;AF Total financial instruments;Other changes;2011 4th quarter;3166
336;General government;Assets;AF Total financial instruments;Other changes;2011;8059
337;General government;Assets;AF Total financial instruments;Other changes;2012 1st quarter;1353
338;General government;Assets;AF Total financial instruments;Other changes;2012 2nd quarter;2822
339;General government;Assets;AF Total financial instruments;Other changes;2012 3rd quarter;3778
340;General government;Assets;AF Total financial instruments;Other changes;2012 4th quarter;3380
341;General government;Assets;AF Total financial instruments;Other changes;2012;11333
342;General government;Assets;AF Total financial instruments;Other changes;2013 1st quarter;-845
343;General government;Assets;AF Total financial instruments;Other changes;2013 2nd quarter;-6858
344;General government;Assets;AF Total financial instruments;Other changes;2013 3rd quarter;1681
345;General government;Assets;AF Total financial instruments;Other changes;2013 4th quarter;5218
346;General government;Assets;AF Total financial instruments;Other changes;2013;-804
347;General government;Assets;AF Total financial instruments;Other changes;2014 1st quarter;3572
348;General government;Assets;AF Total financial instruments;Other changes;2014 2nd quarter;1662
349;General government;Assets;AF Total financial instruments;Other changes;2014 3rd quarter;4785
350;General government;Assets;AF Total financial instruments;Other changes;2014 4th quarter;8030
351;General government;Assets;AF Total financial instruments;Other changes;2014;18049
352;General government;Assets;AF Total financial instruments;Other changes;2015 1st quarter;8852
353;General government;Assets;AF Total financial instruments;Other changes;2015 2nd quarter;-5119
354;General government;Assets;AF Total financial instruments;Other changes;2015 3rd quarter;-1084
355;General government;Assets;AF Total financial instruments;Other changes;2015 4th quarter;8175
356;General government;Assets;AF Total financial instruments;Other changes;2015;10824
357;General government;Assets;AF Total financial instruments;Other changes;2016 1st quarter;5683
358;General government;Assets;AF Total financial instruments;Other changes;2016 2nd quarter;2761
359;General government;Assets;AF Total financial instruments;Other changes;2016 3rd quarter;-78
360;General government;Assets;AF Total financial instruments;Other changes;2016 4th quarter;-963
361;General government;Assets;AF Total financial instruments;Other changes;2016;7403
362;General government;Assets;AF Total financial instruments;Other changes;2017 1st quarter;1772
363;General government;Assets;AF Total financial instruments;Other changes;2017 2nd quarter;-2223
364;General government;Assets;AF Total financial instruments;Other changes;2017 3rd quarter;2993
365;General government;Assets;AF Total financial instruments;Other changes;2017 4th quarter;2332
366;General government;Assets;AF Total financial instruments;Other changes;2017;4874
367;General government;Assets;AF Total financial instruments;Other changes;2018 1st quarter;-2117
368;General government;Assets;AF Total financial instruments;Other changes;2018 2nd quarter;1047
369;General government;Assets;AF Total financial instruments;Other changes;2018 3rd quarter;-1063
