ID;EnergyCommodities;Periods;TotalPrimaryEnergySupplyTPES_1;IndigenousProduction_2;Imports_3;Exports_4;NetImports_5;Bunkers_6;StockChange_7;StatisticalDifferences_8;TotalEnergyConsumption_9;TotalEnergyTransformationInput_10;ElectricityAndCHPTransformationInput_11;OtherTransformationInput_12;TotalEnergyTransformationOutput_13;ElectricityCHPTransformationOutput_14;OtherTransformationOutput_15;TotalNetEnergyTransformation_16;NetElectricityCHPTransformation_17;NetOtherTransformation_18;Total_19;ProductionOfHeatAndPower_20;ExtractionOfCrudePetroleumAndGas_21;CokeOvenPlants_22;BlastFurnaces_23;OilRefineryInstallations_24;OtherInstallations_25;DistributionLosses_26;TotalFinalConsumption_27;Total_28;Total_29;IronAndSteel_30;ChemicalAndPetrochemical_31;NonFerrousMetals_32;NonMetallicMinerals_33;TransportEquipment_34;Machinery_35;MiningAndQuarrying_36;FoodAndTobacco_37;PaperPulpAndPrinting_38;WoodAndWoodProducts_39;Construction_40;TextileAndLeather_41;OtherIndustryAndNonSpecified_42;Total_43;DomesticAviation_44;RoadTransport_45;RailTransport_46;PipelineTransport_47;DomesticNavigation_48;NonSpecified_49;Total_50;ServicesWasteWaterAndRepair_51;Dwellings_52;Agriculture_53;Fishing_54;NonSpecified_55;Total_56;IndustryExcludingTheEnergySector_57;OfWhichChemicalAndPetrochemical_58;Transport_59;OtherSectors_60
352;Anthracite;1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
353;Anthracite;1983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
354;Anthracite;1984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
355;Anthracite;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
356;Anthracite;1986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
357;Anthracite;1987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358;Anthracite;1988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
359;Anthracite;1989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
360;Anthracite;1990;4.4;;4.4;;4.4;;;;4.4;;;;;;;;;;;;;;;;;;4.4;4.4;3.8;;;;0.9;;;;2.4;;;;;0.3;;;;;;;;0.6;;0.6;;;;;;;;
361;Anthracite;1991;3.3;;3.3;;3.3;;;0.0;3.3;;;;;;;;;;;;;;;;;;3.3;3.3;2.8;;;;0.8;;;;1.8;;;;;0.2;;;;;;;;0.5;;0.5;;;;;;;;
362;Anthracite;1992;3.1;;3.1;;3.1;;;0.0;3.1;;;;;;;;;;;;;;;;;;3.1;3.1;2.6;;;;0.6;;;;1.8;;;;;0.2;;;;;;;;0.5;;0.5;;;;;;;;
363;Anthracite;1993;3.5;;3.5;;3.5;;;0.0;3.5;;;;;;;;;;;;;;;;;;3.5;3.5;3.1;;;;0.6;;;;2.3;;;;;0.1;;;;;;;;0.4;;0.4;;;;;;;;
364;Anthracite;1994;2.4;;2.4;;2.4;;;;2.4;;;;;;;;;;;;;;;;;;2.4;2.4;2.1;;;;0.6;;;;1.4;;;;;0.0;;;;;;;;0.3;;0.3;;;;;;;;
365;Anthracite;1995;1.9;;1.9;;1.9;;;;1.9;;;;;;;;;;;;;;;;;;1.9;1.9;1.7;;;;0.5;;;;1.1;;;;;;;;;;;;;0.2;;0.2;;;;;;;;
366;Anthracite;1996;1.4;;1.4;;1.4;;;;1.4;;;;;;;;;;;;;;;;;;1.4;1.4;1.2;;;;0.4;;;;0.8;;;;;;;;;;;;;0.2;;0.2;;;;;;;;
367;Anthracite;1997;1.8;;1.8;;1.8;;;;1.8;;;;;;;;;;;;;;;;;;1.8;1.8;1.6;;;;0.4;;;;1.2;;;;;;;;;;;;;0.2;;0.2;;;;;;;;
368;Anthracite;1998;1.9;;1.9;;1.9;;;0.0;1.9;;;;;;;;;;;;;;;;;;1.9;1.9;1.8;;;;0.6;;;;1.1;;;;;;;;;;;;;0.1;;0.1;;;;;;;;
369;Anthracite;1999;1.9;;1.9;;1.9;;;;1.9;;;;;;;;;;;;;;;;;;1.9;1.9;1.8;;;;0.6;;;;0.9;;;;;;;;;;;;;0.1;;0.1;;;;;;;;
370;Anthracite;2000;1.8;;1.8;;1.8;;;0.0;1.8;;;;;;;;;;;;;;;;;;1.8;1.8;1.8;;;;0.5;;;;1.1;;;;;;;;;;;;;0.1;;0.1;;;;;;;;
371;Anthracite;2001;1.7;;1.7;;1.7;;;0.0;1.6;;;;;;;;;;;;;;;;;;1.6;1.6;1.6;;;;0.3;;;;1.1;;;;;;;;;;;;;0.1;;0.1;;;;;;;;
372;Anthracite;2002;1.4;;1.4;;1.4;;;0.0;1.4;;;;;;;;;;;;;;;;;;1.4;1.4;1.3;;;;0.0;;;;1.1;;;;;;;;;;;;;0.0;;0.0;;;;;;;;
373;Anthracite;2003;1.0;;1.0;;1.0;;;0.0;1.0;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;;;;;;;;0.8;;;;;;;;;;;;;0.0;;0.0;;;;;;;;
374;Anthracite;2004;0.7;;0.7;;0.7;;;0.0;0.7;;;;;;;;;;;;;;;;;;0.7;0.7;0.7;;;;;;;;0.5;;;;;;;;;;;;;0.0;;0.0;;;;;;;;
375;Anthracite;2005;0.8;;0.8;;0.8;;;0.0;0.8;;;;;;;;;;;;;;;;;;0.8;0.8;0.8;;;;;;;;0.6;;;;;;;;;;;;;0.0;;0.0;;;;;;;;
376;Anthracite;2006;1.0;;1.0;;1.0;;;0.0;1.0;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;;;;;;;;1.0;;;;;;;;;;;;;0.0;;0.0;;;;;;;;
377;Anthracite;2007;1.8;;1.8;;1.8;;;0.0;1.8;;;;;;;;;;;;;;;;;;1.8;1.8;1.8;;;;;;;;1.8;;;;;;;;;;;;;0.0;;0.0;;;;;;;;
378;Anthracite;2008;1.2;;1.2;;1.2;;;0.0;1.2;;;;;;;;;;;;;;;;;;1.2;1.2;1.2;;;;;;;;1.2;;;;;;;;;;;;;0.0;;0.0;;;;;;;;
379;Anthracite;2009;1.1;;1.1;;1.1;;;;1.1;;;;;;;;;;;;;;;;;;1.1;1.1;1.1;;;;;;;;1.1;;;;;;;;;;;;;0.0;;0.0;;;;;;;;
380;Anthracite;2010;1.1;;1.1;;1.1;;;0.0;1.1;;;;;;;;;;;;;;;;;;1.1;1.1;1.0;;;;;;;;1.0;;;;;;;;;;;;;0.0;;0.0;;;;;;;;
381;Anthracite;2011;0.0;;0.0;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;;;;;;;;
382;Anthracite;2012;0.0;;0.0;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;;;;;;;;
383;Anthracite;2013;0.0;;0.0;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;;;;;;;;
384;Anthracite;2014;0.0;;0.0;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;;;;;;;;
385;Anthracite;2015;0.1;;0.2;;0.2;;0.0;0.0;0.1;;;;;;;;;;;;;;;;;;0.1;0.0;;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;;;;0.1;0.1;;;
386;Anthracite;2016;0.1;;0.1;;0.1;;0.0;;0.1;;;;;;;;;;;;;;;;;;0.1;0.0;;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;;;;0.1;0.1;;;
387;Anthracite;2017;0.1;;0.1;;0.1;;0.0;0.0;0.1;;;;;;;;;;;;;;;;;;0.1;0.0;;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;;;;0.1;0.1;;;
388;Anthracite;2018;0.2;;0.2;;0.2;;;;0.2;;;;;;;;;;;;;;;;;;0.2;0.0;;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;;;;0.2;0.2;;;
389;Anthracite;2019;0.2;;0.2;;0.2;;;;0.2;;;;;;;;;;;;;;;;;;0.2;0.0;;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;;;;0.2;0.2;;;
390;Anthracite;2020;0.1;;0.1;;0.1;;;;0.1;;;;;;;;;;;;;;;;;;0.1;0.0;;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;;;;0.1;0.1;;;
391;Anthracite;2021;0.2;;0.2;;0.2;;;;0.2;;;;;;;;;;;;;;;;;;0.2;0.0;;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;;;;0.2;0.2;;;
392;Anthracite;2022;0.1;;0.1;;0.1;;;0.0;0.1;;;;;;;;;;;;;;;;;;0.1;0.0;;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;;;;0.1;0.1;;;
393;Anthracite;2023;0.1;;0.1;;0.1;;;;0.1;;;;;;;;;;;;;;;;;;0.1;0.0;;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;;;;0.1;0.1;;;
394;Anthracite;2024;0.1;;0.1;;0.1;;;;0.1;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
395;Coking coal;1946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
396;Coking coal;1947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
397;Coking coal;1948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
398;Coking coal;1949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
399;Coking coal;1950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400;Coking coal;1951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
401;Coking coal;1952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402;Coking coal;1953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403;Coking coal;1954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
404;Coking coal;1955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405;Coking coal;1956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
406;Coking coal;1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407;Coking coal;1958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408;Coking coal;1959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409;Coking coal;1960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
410;Coking coal;1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411;Coking coal;1962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
412;Coking coal;1963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
413;Coking coal;1964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
414;Coking coal;1965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415;Coking coal;1966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
416;Coking coal;1967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
417;Coking coal;1968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
418;Coking coal;1969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419;Coking coal;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420;Coking coal;1971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421;Coking coal;1972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422;Coking coal;1973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
423;Coking coal;1974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
424;Coking coal;1975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
425;Coking coal;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
426;Coking coal;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
427;Coking coal;1978;84.8;;81.9;0.4;81.5;;3.2;-9.4;94.2;94.2;;94.2;;;;94.2;;94.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
428;Coking coal;1979;102.0;;104.5;0.7;103.8;;-1.8;2.4;99.6;99.6;;99.6;;;;99.6;;99.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
429;Coking coal;1980;101.1;;97.6;1.1;96.5;;4.6;-4.3;105.4;105.4;;105.4;;;;105.4;;105.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
430;Coking coal;1981;97.2;;94.3;1.0;93.3;;4.0;;97.2;97.2;;97.2;;;;97.2;;97.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
431;Coking coal;1982;95.2;;93.4;0.2;93.2;;2.0;;95.2;95.2;;95.2;;;;95.2;;95.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
432;Coking coal;1983;83.0;;78.8;0.1;78.7;;4.3;;83.0;83.0;;83.0;;;;83.0;;83.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
433;Coking coal;1984;110.4;;110.1;1.1;109.0;;1.4;2.6;107.8;107.8;;107.8;;;;107.8;;107.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
434;Coking coal;1985;116.6;;119.7;3.0;116.7;;-0.1;0.2;116.4;116.4;;116.4;;;;116.4;;116.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
435;Coking coal;1986;106.3;;109.5;3.6;105.9;;0.4;-7.3;113.6;113.6;;113.6;;;;113.6;;113.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
436;Coking coal;1987;104.5;;103.7;0.3;103.4;;1.1;-3.8;108.3;108.3;;108.3;;;;108.3;;108.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
437;Coking coal;1988;114.4;;117.8;0.4;117.4;;-3.0;-1.3;115.7;115.7;;115.7;;;;115.7;;115.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438;Coking coal;1989;116.4;;112.8;0.6;112.2;;4.3;;116.4;116.4;;116.4;;;;116.4;;116.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
439;Coking coal;1990;130.0;;130.0;;130.0;;;;130.0;129.9;;129.9;;;;129.9;;129.9;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;;;
440;Coking coal;1991;135.8;;135.8;;135.8;;;;135.8;135.7;;135.7;;;;135.7;;135.7;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;;;
441;Coking coal;1992;140.3;;140.3;;140.3;;;;140.3;140.1;;140.1;;;;140.1;;140.1;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;0.2;0.1;;
442;Coking coal;1993;139.8;;139.8;;139.8;;;0.0;139.8;139.6;;139.6;;;;139.6;;139.6;;;;;;;;;0.1;0.0;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;0.0;;
443;Coking coal;1994;148.6;;148.6;;148.6;;;0.0;148.6;148.5;;148.5;;;;148.5;;148.5;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;0.1;;
444;Coking coal;1995;140.1;;141.1;;141.1;;-1.0;0.0;140.1;139.9;;139.9;;;;139.9;;139.9;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;0.2;0.0;;
445;Coking coal;1996;146.3;;140.8;;140.8;;5.4;0.0;146.3;146.0;;146.0;;;;146.0;;146.0;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0.1;;
446;Coking coal;1997;149.9;;158.9;;158.9;;-8.9;0.0;149.9;149.6;;149.6;;;;149.6;;149.6;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0.2;;
447;Coking coal;1998;145.5;;151.1;;151.1;;-5.6;0.0;145.5;145.1;;145.1;;;;145.1;;145.1;;;;;;;;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4;0.4;0.2;;
448;Coking coal;1999;126.4;;121.4;;121.4;;5.0;0.0;126.4;126.0;;126.0;;;;126.0;;126.0;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5;0.3;;
449;Coking coal;2000;116.1;;112.6;;112.6;;3.5;0.0;116.1;115.8;;115.8;;;;115.8;;115.8;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;0.2;0.0;;
450;Coking coal;2001;123.4;;127.2;;127.2;;-3.8;0.0;123.4;123.2;;123.2;;;;123.2;;123.2;;;;;;;;;0.2;0.0;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.2;0.2;;;
451;Coking coal;2002;121.0;;119.2;;119.2;;1.8;0.0;121.0;120.8;;120.8;;;;120.8;;120.8;;;;;;;;;0.2;0.0;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.2;0.2;;;
452;Coking coal;2003;125.6;;123.3;;123.3;;2.3;0.0;125.6;125.5;;125.5;;;;125.5;;125.5;;;;;;;;;0.2;0.0;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;;;
453;Coking coal;2004;132.2;;131.5;;131.5;;0.7;0.0;132.2;132.1;;132.1;;;;132.1;;132.1;;;;;;;;;0.1;0.0;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;;;
454;Coking coal;2005;134.1;;134.1;;134.1;;0.0;0.0;134.1;134.0;;134.0;;;;134.0;;134.0;;;;;;;;;0.1;0.0;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;;;
455;Coking coal;2006;125.2;;124.7;;124.7;;0.5;0.0;125.3;125.2;;125.2;;;;125.2;;125.2;;;;;;;;;0.1;0.0;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;;;
456;Coking coal;2007;134.7;;136.7;;136.7;;-2.0;0.0;134.7;134.6;;134.6;;;;134.6;;134.6;;;;;;;;;0.1;0.0;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;;;
457;Coking coal;2008;126.5;;127.9;;127.9;;-1.4;0.0;126.5;126.4;;126.4;;;;126.4;;126.4;;;;;;;;;0.1;0.0;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;;;
458;Coking coal;2009;98.0;;90.7;;90.7;;7.3;0.0;98.0;98.0;;98.0;;;;98.0;;98.0;;;;;;;;;0.1;0.0;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;
459;Coking coal;2010;113.2;;119.9;;119.9;;-6.8;0.0;113.2;113.1;;113.1;;;;113.1;;113.1;;;;;;;;;0.1;0.0;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;;;
460;Coking coal;2011;121.5;;126.9;;126.9;;-5.4;0.0;121.6;121.5;;121.5;;;;121.5;;121.5;;;;;;;;;0.1;0.0;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;;;
461;Coking coal;2012;119.6;;118.6;;118.6;;1.0;0.0;119.6;119.5;;119.5;;;;119.5;;119.5;;;;;;;;;0.1;0.0;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;;;
462;Coking coal;2013;117.7;;114.4;;114.4;;3.3;0.0;117.6;117.6;;117.6;;;;117.6;;117.6;;;;;;;;;0.1;0.0;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;;;
463;Coking coal;2014;123.4;;128.9;;128.9;;-5.5;0.0;123.4;123.2;;123.2;;;;123.2;;123.2;;;;;;;;;0.2;0.0;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.2;0.2;;;
464;Coking coal;2015;127.9;;116.0;;116.0;;11.9;;127.9;127.8;;127.8;;;;127.8;;127.8;;;;;;;;;0.1;0.0;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;;;
465;Coking coal;2016;124.7;;123.8;;123.8;;0.9;0.0;124.7;124.4;;124.4;;;;124.4;;124.4;;;;;;;;;0.3;0.3;0.3;0.3;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;;;
466;Coking coal;2017;125.9;;131.7;;131.7;;-5.9;0.0;125.9;125.3;;125.3;;;;125.3;;125.3;;;;;;;;;0.6;0.6;0.6;0.6;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
467;Coking coal;2018;122.2;;119.8;;119.8;;2.4;;122.2;121.5;;121.5;;;;121.5;;121.5;;;;;;;;;0.8;0.8;0.8;0.8;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
468;Coking coal;2019;121.9;;123.2;;123.2;;-1.3;;121.9;121.5;;121.5;;;;121.5;;121.5;;;;;;;;;0.3;0.3;0.3;0.3;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
469;Coking coal;2020;112.2;;104.1;;104.1;;8.0;;112.2;111.8;;111.8;;;;111.8;;111.8;;;;;;;;;0.3;0.3;0.3;0.3;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;
470;Coking coal;2021;116.3;;115.6;;115.6;;0.7;;116.3;115.9;;115.9;;;;115.9;;115.9;;;;;;;;;0.4;0.4;0.4;0.4;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;
471;Coking coal;2022;113.4;;112.2;;112.2;;1.2;;113.4;113.1;;113.1;;;;113.1;;113.1;;;;;;;;;0.3;0.2;0.2;0.2;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;
472;Coking coal;2023;99.2;;104.3;;104.3;;-5.1;;99.2;99.1;;99.1;;;;99.1;;99.1;;;;;;;;;0.1;0.0;0.0;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;
473;Coking coal;2024;110.0;;109.5;;109.5;;0.5;;110.0;109.9;;109.9;;;;109.9;;109.9;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
474;Steam coal;1946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
475;Steam coal;1947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
476;Steam coal;1948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
477;Steam coal;1949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478;Steam coal;1950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
479;Steam coal;1951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
480;Steam coal;1952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
481;Steam coal;1953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
482;Steam coal;1954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
483;Steam coal;1955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
484;Steam coal;1956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
485;Steam coal;1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
486;Steam coal;1958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
487;Steam coal;1959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
488;Steam coal;1960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
489;Steam coal;1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
490;Steam coal;1962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
491;Steam coal;1963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
492;Steam coal;1964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
493;Steam coal;1965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
494;Steam coal;1966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
