ID;Bedrijfsklasse;Jaren;AantalBedrijven_1;WerkzamePersonen_2;Totaal_3;InnameAfvalEnReststoffen_4;Milieudienstverlening_5;TeruggewonnenStoffen_6;EnergieEnRestproducten_7;Nevenactiviteiten_8;VoorraadmutatiesGereedProduct_9;OverigeBedrijfsopbrengsten_10;OntvangenRente_11;VrijvalVoorzieningen_12;BuitengewoneBaten_13;Totaal_14;InkopenIngenomenAfvalEnReststoffen_15;GrondEnHulpstoffen_16;UitbestedeWerkzaamheden_17;InkoopwaardeHandelsactiviteiten_18;VoorraadmutatiesInkopen_19;Personeelskosten_20;Energieverbruik_21;Afschrijvingen_22;Autokosten_23;OverigeBedrijfskosten_24;BetaaldeRente_25;ToevoegingenAanVoorzieningen_26;BuitengewoneLasten_27;ResultaatVoorBelastingen_28;Totaal_29;GrondEnTerreinen_30;Bedrijfsruimten_31;GWWWerken_32;VervoermiddelenExternTransport_33;MiddelenVoorInternTransport_34;OverigeMachinesApparatenEnInstall_35;OverigeMaterieleVasteActiva_36;ImmaterieleActiva_37
29;Milieudienstverl., >=20 werknemers;1994;104.0;8001.0;1275.0;;1140.0;;35.0;29.0;;18.0;15.0;22.0;15.0;1159.0;;26.0;377.0;3.0;;254.0;16.0;142.0;64.0;176.0;42.0;48.0;13.0;116.0;;;;;;;;;
30;Milieudienstverl., >=20 werknemers;1995;114.0;8962.0;1445.0;;1308.0;;36.0;28.0;;21.0;21.0;20.0;12.0;1295.0;;30.0;426.0;5.0;;291.0;19.0;136.0;71.0;202.0;55.0;45.0;14.0;150.0;;;;;;;;;
31;Milieudienstverl., >=20 werknemers;1996;131.0;10232.0;1760.0;;1551.0;;55.0;34.0;;27.0;26.0;15.0;52.0;1602.0;;31.0;498.0;1.0;;333.0;23.0;190.0;83.0;256.0;101.0;73.0;14.0;158.0;;;;;;;;;
32;Afvalwaterinzameling en -behandeling;1993;31.0;715.0;47.0;;45.0;;0.0;1.0;;0.0;0.0;0.0;0.0;43.0;;3.0;5.0;0.0;;17.0;0.0;4.0;4.0;8.0;1.0;0.0;0.0;5.0;6.0;0.0;2.0;0.0;1.0;1.0;0.0;2.0;
33;Afvalwaterinzameling en -behandeling;1994;29.0;725.0;52.0;;49.0;;0.0;2.0;;0.0;0.0;0.0;0.0;46.0;;3.0;7.0;0.0;;19.0;0.0;5.0;5.0;6.0;1.0;0.0;0.0;6.0;4.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;
34;Afvalwaterinzameling en -behandeling;1995;28.0;773.0;54.0;;51.0;;0.0;3.0;;0.0;0.0;0.0;0.0;48.0;;3.0;7.0;0.0;;20.0;0.0;4.0;5.0;7.0;1.0;0.0;0.0;6.0;7.0;0.0;0.0;0.0;3.0;1.0;1.0;1.0;0.0
35;Afvalwaterinzameling en -behandeling;1996;29.0;842.0;59.0;;55.0;;0.0;3.0;;0.0;0.0;0.0;0.0;55.0;;3.0;9.0;0.0;;22.0;0.0;5.0;5.0;8.0;0.0;0.0;0.0;5.0;9.0;0.0;1.0;0.0;4.0;0.0;2.0;1.0;0.0
36;Afvalinzameling;1993;240.0;5725.0;643.0;;579.0;;4.0;46.0;;5.0;2.0;4.0;4.0;594.0;;7.0;223.0;6.0;;161.0;1.0;52.0;70.0;59.0;9.0;3.0;3.0;49.0;62.0;3.0;5.0;0.0;26.0;4.0;12.0;11.0;
37;Afvalinzameling;1994;225.0;5852.0;686.0;;637.0;;8.0;29.0;;4.0;2.0;1.0;5.0;627.0;;4.0;255.0;3.0;;165.0;1.0;51.0;73.0;61.0;7.0;3.0;3.0;59.0;78.0;1.0;22.0;0.0;31.0;2.0;11.0;10.0;
38;Afvalinzameling;1995;228.0;6473.0;803.0;;754.0;;13.0;26.0;;3.0;2.0;0.0;4.0;722.0;;8.0;301.0;2.0;;193.0;2.0;51.0;79.0;74.0;8.0;2.0;3.0;80.0;79.0;5.0;9.0;0.0;30.0;4.0;14.0;16.0;2.0
39;Afvalinzameling;1996;220.0;6716.0;814.0;;767.0;;11.0;25.0;;3.0;3.0;0.0;4.0;741.0;;6.0;297.0;1.0;;198.0;2.0;55.0;85.0;79.0;10.0;3.0;3.0;73.0;72.0;2.0;6.0;1.0;29.0;2.0;16.0;12.0;2.0
40;Afvalbehandeling;1993;118.0;2719.0;747.0;;617.0;;27.0;9.0;;28.0;28.0;31.0;7.0;648.0;;16.0;173.0;4.0;;99.0;9.0;94.0;4.0;133.0;44.0;67.0;3.0;99.0;452.0;65.0;62.0;24.0;1.0;4.0;282.0;15.0;
41;Afvalbehandeling;1994;135.0;3034.0;843.0;;724.0;;30.0;11.0;;19.0;20.0;29.0;10.0;741.0;;20.0;197.0;2.0;;108.0;13.0;124.0;5.0;143.0;51.0;68.0;9.0;102.0;291.0;14.0;26.0;15.0;1.0;0.0;223.0;11.0;
42;Afvalbehandeling;1995;145.0;3451.0;953.0;;831.0;;30.0;16.0;;24.0;24.0;22.0;6.0;852.0;;22.0;237.0;4.0;;124.0;17.0;128.0;5.0;169.0;71.0;63.0;12.0;102.0;765.0;44.0;64.0;33.0;4.0;0.0;604.0;14.0;3.0
43;Afvalbehandeling;1996;159.0;4007.0;1145.0;;957.0;;51.0;20.0;;28.0;23.0;20.0;49.0;1041.0;;23.0;270.0;0.0;;142.0;21.0;167.0;7.0;216.0;110.0;69.0;16.0;104.0;590.0;9.0;105.0;22.0;7.0;3.0;341.0;101.0;3.0
44;Sanering van milieuverontreiniging;1993;41.0;595.0;173.0;;165.0;;0.0;1.0;;0.0;5.0;0.0;2.0;168.0;;9.0;74.0;0.0;;20.0;5.0;8.0;1.0;26.0;2.0;22.0;2.0;5.0;10.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;
45;Sanering van milieuverontreiniging;1994;69.0;869.0;188.0;;178.0;;1.0;1.0;;1.0;5.0;0.0;2.0;188.0;;11.0;82.0;0.0;;29.0;5.0;10.0;2.0;24.0;2.0;21.0;2.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;8.0;2.0;
46;Sanering van milieuverontreiniging;1995;101.0;1133.0;206.0;;191.0;;0.0;2.0;;1.0;4.0;0.0;6.0;199.0;;19.0;67.0;0.0;;39.0;5.0;10.0;3.0;32.0;2.0;21.0;1.0;7.0;9.0;0.0;1.0;0.0;1.0;0.0;5.0;1.0;0.0
47;Sanering van milieuverontreiniging;1996;127.0;1172.0;232.0;;217.0;;4.0;3.0;;1.0;5.0;0.0;1.0;222.0;;24.0;91.0;0.0;;41.0;5.0;9.0;4.0;31.0;1.0;15.0;2.0;10.0;14.0;0.0;4.0;0.0;1.0;0.0;7.0;1.0;0.0
