ID;Voertuigtype;Perioden;VoorSloopVrijgekomenVoertuigen_1;Benzine_2;Diesel_3;LPG_4;Overige_5
67;Bestelauto;2001;15932;5346;9798;787;1
68;Bestelauto;2002;16255;4817;10613;825;0
69;Bestelauto;2003;15670;4020;10790;856;4
70;Bestelauto;2004;15909;3887;11121;891;10
71;Bestelauto;2005;18386;3383;13921;1079;3
72;Bestelauto;2006;13740;2663;10274;798;5
73;Bestelauto;2007;10960;2005;8273;680;2
74;Bestelauto;2008;10915;1640;8730;544;1
75;Bestelauto;2009;14344;1655;12124;561;4
76;Bestelauto;2010;14783;1376;12882;523;2
77;Bestelauto;2011;13633;1154;11933;545;1
78;Bestelauto;2012;12593;891;11266;436;0
79;Bestelauto;2013;12614;821;11364;425;4
80;Bestelauto;2014;12823;701;11705;411;6
81;Bestelauto;2015;11781;360;11204;211;6
82;Bestelauto;2016;12705;329;12188;179;9
83;Bestelauto;2017;14054;304;13586;148;16
84;Bestelauto;2018;15822;322;15354;139;7
85;Bestelauto;2019;15277;281;14844;130;22
86;Bestelauto;2020;15795;249;15408;118;20
87;Bestelauto;2021;13035;270;12651;96;18
88;Vrachtauto (excl. trekker voor oplegger);2000;1123;8;1113;2;0
89;Vrachtauto (excl. trekker voor oplegger);2001;1473;17;1455;1;0
90;Vrachtauto (excl. trekker voor oplegger);2002;1160;11;1148;1;0
91;Vrachtauto (excl. trekker voor oplegger);2003;959;12;944;3;0
92;Vrachtauto (excl. trekker voor oplegger);2004;1153;15;1136;2;0
93;Vrachtauto (excl. trekker voor oplegger);2005;575;8;566;1;0
94;Vrachtauto (excl. trekker voor oplegger);2006;594;17;575;2;0
95;Vrachtauto (excl. trekker voor oplegger);2007;556;19;532;5;0
96;Vrachtauto (excl. trekker voor oplegger);2008;516;10;506;0;0
97;Vrachtauto (excl. trekker voor oplegger);2009;608;8;598;2;0
98;Vrachtauto (excl. trekker voor oplegger);2010;589;11;577;1;0
99;Vrachtauto (excl. trekker voor oplegger);2011;542;6;535;1;0
100;Vrachtauto (excl. trekker voor oplegger);2012;542;9;531;1;1
101;Vrachtauto (excl. trekker voor oplegger);2013;450;7;442;1;0
102;Vrachtauto (excl. trekker voor oplegger);2014;354;5;347;2;0
103;Vrachtauto (excl. trekker voor oplegger);2015;250;1;248;1;0
104;Vrachtauto (excl. trekker voor oplegger);2016;236;1;235;0;0
105;Vrachtauto (excl. trekker voor oplegger);2017;230;2;222;0;6
106;Vrachtauto (excl. trekker voor oplegger);2018;233;4;228;0;1
107;Vrachtauto (excl. trekker voor oplegger);2019;265;5;256;1;3
108;Vrachtauto (excl. trekker voor oplegger);2020;256;1;255;0;0
109;Vrachtauto (excl. trekker voor oplegger);2021;225;2;221;0;2
110;Trekker voor oplegger;2000;466;0;465;1;0
111;Trekker voor oplegger;2001;521;0;521;0;0
112;Trekker voor oplegger;2002;538;0;538;0;0
113;Trekker voor oplegger;2003;475;0;475;0;0
114;Trekker voor oplegger;2004;445;1;441;3;0
115;Trekker voor oplegger;2005;285;0;285;0;0
116;Trekker voor oplegger;2006;353;0;352;0;1
117;Trekker voor oplegger;2007;267;0;267;0;0
118;Trekker voor oplegger;2008;294;0;294;0;0
119;Trekker voor oplegger;2009;377;0;377;0;0
120;Trekker voor oplegger;2010;327;0;327;0;0
121;Trekker voor oplegger;2011;308;0;307;0;1
122;Trekker voor oplegger;2012;316;0;315;0;1
123;Trekker voor oplegger;2013;339;0;339;0;0
124;Trekker voor oplegger;2014;302;0;302;0;0
125;Trekker voor oplegger;2015;357;0;355;0;2
126;Trekker voor oplegger;2016;249;0;246;0;3
127;Trekker voor oplegger;2017;282;0;280;0;2
128;Trekker voor oplegger;2018;329;0;328;0;1
129;Trekker voor oplegger;2019;348;0;339;0;9
130;Trekker voor oplegger;2020;345;0;337;1;7
131;Trekker voor oplegger;2021;234;0;233;0;1
132;Speciaal voertuig;2000;578;153;395;30;0
133;Speciaal voertuig;2001;669;146;504;19;0
134;Speciaal voertuig;2002;663;160;480;23;0
135;Speciaal voertuig;2003;589;126;440;23;0
136;Speciaal voertuig;2004;673;118;529;26;0
137;Speciaal voertuig;2005;513;83;417;13;0
138;Speciaal voertuig;2006;495;103;382;9;1
139;Speciaal voertuig;2007;418;78;322;18;0
140;Speciaal voertuig;2008;362;77;276;9;0
141;Speciaal voertuig;2009;390;54;314;22;0
142;Speciaal voertuig;2010;395;58;311;26;0
143;Speciaal voertuig;2011;424;56;349;19;0
144;Speciaal voertuig;2012;385;56;313;16;0
145;Speciaal voertuig;2013;419;54;340;25;0
146;Speciaal voertuig;2014;380;44;312;24;0
147;Speciaal voertuig;2015;267;19;239;9;0
148;Speciaal voertuig;2016;208;5;194;9;0
149;Speciaal voertuig;2017;244;10;224;9;1
150;Speciaal voertuig;2018;221;10;207;1;3
151;Speciaal voertuig;2019;204;9;187;5;3
152;Speciaal voertuig;2020;164;12;149;1;2
153;Speciaal voertuig;2021;140;7;124;6;3
154;Bus;2000;38;0;38;0;0
155;Bus;2001;62;1;60;1;0
156;Bus;2002;56;0;56;0;0
157;Bus;2003;95;0;95;0;0
158;Bus;2004;111;0;109;0;2
159;Bus;2005;78;0;77;1;0
160;Bus;2006;76;0;76;0;0
161;Bus;2007;112;0;111;1;0
162;Bus;2008;117;1;115;0;1
163;Bus;2009;132;0;131;1;0
164;Bus;2010;115;0;110;5;0
165;Bus;2011;251;0;249;1;1
166;Bus;2012;154;0;148;4;2
167;Bus;2013;107;0;105;1;1
168;Bus;2014;135;0;70;63;2
169;Bus;2015;28;0;27;0;1
170;Bus;2016;28;0;27;0;1
171;Bus;2017;45;0;45;0;0
172;Bus;2018;141;0;129;0;12
173;Bus;2019;110;0;106;0;4
174;Bus;2020;62;0;60;0;2
175;Bus;2021;164;0;139;0;25
