ID;GewassenEnSectoren;MechanischeBestrijding;Perioden;AantalBedrijvenMetToepassing_1;PercentageBedrijvenMetGebruik_2;GrootteOppervlakteMetToepassing_3;PercentageOppervlakteMetToepassing_4;OppervlakteMetToepassing_5;PercentageOppervlakteMetToepassing_6;Januari_7;Februari_8;Maart_9;April_10;Mei_11;Juni_12;Juli_13;Augustus_14;September_15;Oktober_16;November_17;December_18
10;Teeltsector akkerbouw;Ov.niet-chem. onkruidbestrijding;2000;6595.0;7.3;69252.0;9.6;;;0.1;;;1.1;3.7;8.4;0.4;0.0;0.0;0.0;;
11;Teeltsector akkerbouw;Ov.niet-chem. onkruidbestrijding;2004;4890.0;5.8;66431.0;9.0;-4.1;-6.3;0.0;0.0;0.0;2.1;6.8;11.7;0.1;0.0;0.0;0.0;0.0;0.0
12;Teeltsector akkerbouw;Mechanische loofdoding;1995;;;;;;;;;;;;;;;;;;
13;Teeltsector akkerbouw;Mechanische loofdoding;1998;2822.0;2.8;37192.0;5.1;;;0.0;;;0.0;0.0;0.0;3.4;8.9;2.0;0.8;;
14;Teeltsector akkerbouw;Mechanische loofdoding;2000;;;42590.0;;;;0.0;;;0.0;0.0;0.2;4.5;4.0;4.7;0.7;;
15;Teeltsector akkerbouw;Mechanische loofdoding;2004;1554.0;1.8;27430.0;3.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.5;2.0;4.3;1.5;0.0;0.0
16;Teeltsector akkerbouw;Grondontsmetting door stomen;1995;;;;;;;;;;;;;;;;;;
17;Teeltsector akkerbouw;Grondontsmetting door stomen;1998;;;;;;;;;;;;;;;;;;
18;Teeltsector akkerbouw;Grondontsmetting door stomen;2000;;;;;;;;;;;;;;;;;;
19;Teeltsector akkerbouw;Grondontsmetting door stomen;2004;;;;;;;;;;;;;;;;;;
20;Teeltsector akkerbouw;Ov.niet-chem.plaagbestrijding;1995;46.0;0.0;218.0;0.0;;;;;;;;;;;;;;
21;Teeltsector akkerbouw;Ov.niet-chem.plaagbestrijding;1998;237.0;0.2;940.0;0.1;;;0.0;;;0.2;0.0;0.1;0.1;0.0;0.0;0.0;;
22;Teeltsector akkerbouw;Ov.niet-chem.plaagbestrijding;2000;200.0;0.2;872.0;0.1;;;0.0;;;0.0;0.0;0.1;0.0;0.0;0.0;0.0;;
23;Teeltsector akkerbouw;Ov.niet-chem.plaagbestrijding;2004;12751.0;15.1;113704.0;15.4;12941.2;12643.7;0.2;0.0;0.0;3.2;13.6;4.8;2.0;1.8;0.3;0.2;0.0;0.0
24;Teeltsector groenten open grond;Machinale onkruidbestrijding;1995;5504.0;41.7;14898.0;43.4;;;1.0;;;6.3;15.1;35.4;18.2;5.3;2.1;1.7;;
25;Teeltsector groenten open grond;Machinale onkruidbestrijding;1998;4832.0;45.1;17945.0;52.5;;;2.0;;;1.2;17.6;32.1;29.7;8.3;0.9;0.2;;
26;Teeltsector groenten open grond;Machinale onkruidbestrijding;2000;3705.0;41.5;13477.0;43.4;;;1.0;;;4.2;11.4;25.4;25.1;11.8;1.0;0.2;;
27;Teeltsector groenten open grond;Machinale onkruidbestrijding;2004;3221.0;46.1;16439.0;51.2;22.0;17.9;0.7;0.0;0.0;16.0;35.5;38.5;30.3;14.9;9.7;0.4;0.0;0.0
28;Teeltsector groenten open grond;Handmatige onkruidbestrijding;1995;1989.0;15.1;4360.0;12.7;;;0.1;;;0.8;0.9;3.3;8.3;3.9;0.7;0.2;;
29;Teeltsector groenten open grond;Handmatige onkruidbestrijding;1998;2226.0;20.8;5447.0;15.9;;;0.3;;;0.1;0.8;4.2;14.0;8.4;1.0;0.1;;
30;Teeltsector groenten open grond;Handmatige onkruidbestrijding;2000;2750.0;30.8;8262.0;26.6;;;0.1;;;0.5;1.1;12.1;19.5;13.6;2.3;0.1;;
31;Teeltsector groenten open grond;Handmatige onkruidbestrijding;2004;1339.0;19.2;5234.0;16.3;-36.7;-38.7;0.8;0.0;0.0;1.1;1.3;6.2;10.9;6.4;0.6;0.5;0.0;0.0
32;Teeltsector groenten open grond;Ov.niet-chem. onkruidbestrijding;1995;797.0;6.0;2128.0;6.2;;;0.1;;;0.3;1.1;2.9;3.7;0.9;0.2;0.2;;
33;Teeltsector groenten open grond;Ov.niet-chem. onkruidbestrijding;1998;1121.0;10.5;4188.0;12.3;;;0.1;;;0.1;1.0;4.6;6.2;5.4;3.1;0.2;;
34;Teeltsector groenten open grond;Ov.niet-chem. onkruidbestrijding;2000;809.0;9.1;2934.0;9.4;;;0.1;;;0.3;0.0;2.9;5.2;6.2;0.5;0.0;;
35;Teeltsector groenten open grond;Ov.niet-chem. onkruidbestrijding;2004;835.0;12.0;3996.0;12.4;36.2;31.7;0.0;0.0;0.0;0.8;3.2;5.1;2.8;1.9;0.8;0.6;0.0;0.0
36;Teeltsector groenten open grond;Mechanische loofdoding;1995;;;;;;;;;;;;;;;;;;
37;Teeltsector groenten open grond;Mechanische loofdoding;1998;;;;;;;;;;;;;;;;;;
38;Teeltsector groenten open grond;Mechanische loofdoding;2000;;;;;;;;;;;;;;;;;;
39;Teeltsector groenten open grond;Mechanische loofdoding;2004;;;;;;;;;;;;;;;;;;
40;Teeltsector groenten open grond;Grondontsmetting door stomen;1995;;;;;;;;;;;;;;;;;;
41;Teeltsector groenten open grond;Grondontsmetting door stomen;1998;;;;;;;;;;;;;;;;;;
42;Teeltsector groenten open grond;Grondontsmetting door stomen;2000;;;;;;;;;;;;;;;;;;
43;Teeltsector groenten open grond;Grondontsmetting door stomen;2004;;;;;;;;;;;;;;;;;;
44;Teeltsector groenten open grond;Ov.niet-chem.plaagbestrijding;1995;136.0;1.0;422.0;1.2;;;;;;;;;;;;;;
45;Teeltsector groenten open grond;Ov.niet-chem.plaagbestrijding;1998;231.0;2.2;1274.0;3.7;;;0.0;;;0.0;2.1;0.3;0.0;0.2;0.2;0.0;;
46;Teeltsector groenten open grond;Ov.niet-chem.plaagbestrijding;2000;77.0;0.9;122.0;0.4;;;0.0;;;0.0;0.2;0.2;0.0;0.1;0.0;0.0;;
47;Teeltsector groenten open grond;Ov.niet-chem.plaagbestrijding;2004;1736.0;24.9;9331.0;29.0;7572.7;7319.3;2.1;0.0;0.0;4.3;9.0;12.8;13.2;7.1;3.0;1.7;0.0;0.0
48;Teeltsector pit- en steenvruchten;Machinale onkruidbestrijding;1995;109.0;1.9;999.0;4.7;;;0.0;;;0.0;0.0;0.0;0.0;2.3;0.0;0.0;0.0;2.3
49;Teeltsector pit- en steenvruchten;Machinale onkruidbestrijding;1998;247.0;5.3;1385.0;7.6;;;0.8;;;1.7;2.9;0.7;3.2;0.0;0.0;0.0;0.0;0.0
50;Teeltsector pit- en steenvruchten;Machinale onkruidbestrijding;2000;202.0;4.5;944.0;5.0;;;0.1;;;2.1;0.8;0.1;3.4;0.0;2.2;0.0;0.0;0.0
51;Teeltsector pit- en steenvruchten;Machinale onkruidbestrijding;2004;;;;;;;;;;;;;;;;;;
52;Teeltsector pit- en steenvruchten;Handmatige onkruidbestrijding;1995;200.0;3.5;1138.0;5.4;;;0.0;;;0.0;1.6;0.0;2.3;0.2;0.0;1.4;0.0;0.0
53;Teeltsector pit- en steenvruchten;Handmatige onkruidbestrijding;1998;433.0;9.3;2408.0;13.3;;;2.5;;;1.9;5.7;4.4;1.0;1.2;0.1;0.0;0.7;0.7
54;Teeltsector pit- en steenvruchten;Handmatige onkruidbestrijding;2000;586.0;12.9;2715.0;14.4;;;1.0;;;3.0;6.7;3.8;4.3;1.2;0.3;0.6;1.3;0.8
55;Teeltsector pit- en steenvruchten;Handmatige onkruidbestrijding;2004;;;;;;;;;;;;;;;;;;
56;Teeltsector pit- en steenvruchten;Ov.niet-chem. onkruidbestrijding;1995;;;;;;;;;;;;;;;;;;
57;Teeltsector pit- en steenvruchten;Ov.niet-chem. onkruidbestrijding;1998;14.0;0.3;36.0;0.2;;;0.2;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
58;Teeltsector pit- en steenvruchten;Ov.niet-chem. onkruidbestrijding;2000;;;;;;;;;;;;;;;;;;
59;Teeltsector pit- en steenvruchten;Ov.niet-chem. onkruidbestrijding;2004;;;;;;;;;;;;;;;;;;
60;Teeltsector pit- en steenvruchten;Mechanische loofdoding;1995;;;;;;;;;;;;;;;;;;
61;Teeltsector pit- en steenvruchten;Mechanische loofdoding;1998;;;;;;;;;;;;;;;;;;
62;Teeltsector pit- en steenvruchten;Mechanische loofdoding;2000;;;;;;;;;;;;;;;;;;
63;Teeltsector pit- en steenvruchten;Mechanische loofdoding;2004;;;;;;;;;;;;;;;;;;
64;Teeltsector pit- en steenvruchten;Grondontsmetting door stomen;1995;;;;;;;;;;;;;;;;;;
65;Teeltsector pit- en steenvruchten;Grondontsmetting door stomen;1998;;;;;;;;;;;;;;;;;;
66;Teeltsector pit- en steenvruchten;Grondontsmetting door stomen;2000;;;;;;;;;;;;;;;;;;
67;Teeltsector pit- en steenvruchten;Grondontsmetting door stomen;2004;;;;;;;;;;;;;;;;;;
68;Teeltsector pit- en steenvruchten;Ov.niet-chem.plaagbestrijding;1995;700.0;12.3;4298.0;20.3;;;;;;;;;;;;;;
69;Teeltsector pit- en steenvruchten;Ov.niet-chem.plaagbestrijding;1998;240.0;5.2;1059.0;5.8;;;1.8;;;0.6;1.3;2.1;0.1;0.1;0.4;0.9;0.2;0.0
70;Teeltsector pit- en steenvruchten;Ov.niet-chem.plaagbestrijding;2000;263.0;5.8;1385.0;7.3;;;1.7;;;2.1;2.4;0.0;1.0;0.2;0.0;0.0;0.0;0.0
71;Teeltsector pit- en steenvruchten;Ov.niet-chem.plaagbestrijding;2004;954.0;26.0;6642.0;39.8;379.7;441.3;3.6;0.0;0.0;19.4;30.9;28.4;21.6;7.4;1.1;11.8;0.0;0.0
72;Teeltsector boomkwekerijgewassen;Machinale onkruidbestrijding;1995;3367.0;58.5;5517.0;64.8;;;1.0;2.0;7.1;31.9;37.8;40.1;34.8;35.0;11.9;7.7;2.1;0.1
73;Teeltsector boomkwekerijgewassen;Machinale onkruidbestrijding;1998;4093.0;55.8;7083.0;70.2;;;4.7;3.1;8.4;18.3;46.5;23.6;35.1;29.6;14.7;7.8;0.2;1.0
74;Teeltsector boomkwekerijgewassen;Machinale onkruidbestrijding;2000;4106.0;53.0;7931.0;60.0;;;0.7;0.1;4.2;26.4;34.3;34.3;38.7;31.3;28.4;3.1;0.3;0.8
75;Teeltsector boomkwekerijgewassen;Machinale onkruidbestrijding;2004;3752.0;59.7;8688.0;62.1;9.5;3.5;0.3;1.3;5.2;24.9;34.4;35.1;34.9;26.0;13.8;3.7;0.5;0.1
76;Teeltsector boomkwekerijgewassen;Handmatige onkruidbestrijding;1995;1685.0;29.3;2063.0;24.2;;;1.8;0.3;3.5;4.3;8.5;8.0;8.4;4.8;1.9;1.7;0.2;0.4
77;Teeltsector boomkwekerijgewassen;Handmatige onkruidbestrijding;1998;2678.0;36.5;2679.0;26.6;;;1.2;1.4;3.0;2.0;7.8;13.5;9.9;8.7;5.6;0.8;1.4;0.4
78;Teeltsector boomkwekerijgewassen;Handmatige onkruidbestrijding;2000;3708.0;47.8;4893.0;37.0;;;1.0;3.1;3.8;10.0;16.1;22.0;23.6;24.7;18.1;10.5;4.5;4.1
79;Teeltsector boomkwekerijgewassen;Handmatige onkruidbestrijding;2004;2840.0;45.2;5546.0;39.6;13.4;7.1;0.2;1.2;3.1;7.3;12.6;12.0;14.7;11.7;7.1;3.2;0.6;0.8
80;Teeltsector boomkwekerijgewassen;Ov.niet-chem. onkruidbestrijding;1995;190.0;3.3;436.0;5.1;;;0.7;0.0;0.4;0.8;3.4;2.7;1.7;1.3;0.0;0.0;0.0;0.0
81;Teeltsector boomkwekerijgewassen;Ov.niet-chem. onkruidbestrijding;1998;256.0;3.5;385.0;3.8;;;0.1;0.0;0.4;0.7;0.6;0.3;0.0;2.2;0.3;0.0;0.0;0.0
82;Teeltsector boomkwekerijgewassen;Ov.niet-chem. onkruidbestrijding;2000;444.0;5.7;827.0;6.3;;;0.3;0.2;0.0;2.0;1.4;3.3;1.0;2.9;2.7;0.8;0.0;1.0
83;Teeltsector boomkwekerijgewassen;Ov.niet-chem. onkruidbestrijding;2004;513.0;8.2;1212.0;8.7;46.5;38.5;0.1;0.2;1.8;3.0;4.7;7.0;3.6;1.3;1.0;0.7;0.7;0.5
84;Teeltsector boomkwekerijgewassen;Mechanische loofdoding;1995;;;;;;;;;;;;;;;;;;
85;Teeltsector boomkwekerijgewassen;Mechanische loofdoding;1998;;;;;;;;;;;;;;;;;;
86;Teeltsector boomkwekerijgewassen;Mechanische loofdoding;2000;;;;;;;;;;;;;;;;;;
87;Teeltsector boomkwekerijgewassen;Mechanische loofdoding;2004;;;;;;;;;;;;;;;;;;
88;Teeltsector boomkwekerijgewassen;Grondontsmetting door stomen;1995;;;;;;;;;;;;;;;;;;
89;Teeltsector boomkwekerijgewassen;Grondontsmetting door stomen;1998;;;;;;;;;;;;;;;;;;
90;Teeltsector boomkwekerijgewassen;Grondontsmetting door stomen;2000;;;;;;;;;;;;;;;;;;
91;Teeltsector boomkwekerijgewassen;Grondontsmetting door stomen;2004;8.0;0.1;9.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0
92;Teeltsector boomkwekerijgewassen;Ov.niet-chem.plaagbestrijding;1995;196.0;3.4;105.0;1.2;;;;;;;;;;;;;;
93;Teeltsector boomkwekerijgewassen;Ov.niet-chem.plaagbestrijding;1998;392.0;5.3;456.0;4.5;;;0.7;0.0;0.6;1.4;1.3;2.5;0.9;0.2;0.7;0.0;0.0;0.0
94;Teeltsector boomkwekerijgewassen;Ov.niet-chem.plaagbestrijding;2000;341.0;4.4;410.0;3.1;;;2.0;0.8;0.8;2.1;2.5;2.4;2.1;1.5;1.7;1.5;1.1;0.8
95;Teeltsector boomkwekerijgewassen;Ov.niet-chem.plaagbestrijding;2004;578.0;9.2;2103.0;15.0;413.0;384.9;0.1;0.1;1.3;1.4;11.1;7.9;6.7;8.6;3.9;3.5;0.6;0.4
96;Teeltsector bloembollen en -knollen;Machinale onkruidbestrijding;1995;558.0;12.5;2319.0;14.2;;;0.0;;;1.1;2.9;6.1;3.1;4.6;3.0;2.3;0.0;0.0
97;Teeltsector bloembollen en -knollen;Machinale onkruidbestrijding;1998;253.0;6.7;1565.0;9.0;;;0.5;;;0.1;1.6;4.0;1.0;3.0;0.5;0.3;0.0;0.0
98;Teeltsector bloembollen en -knollen;Machinale onkruidbestrijding;2000;140.0;3.7;819.0;4.1;;;0.0;;;0.0;2.1;2.2;1.5;1.4;0.7;0.0;0.0;0.0
99;Teeltsector bloembollen en -knollen;Machinale onkruidbestrijding;2004;278.0;9.0;921.0;4.5;12.5;10.7;0.2;0.0;0.0;0.8;1.3;2.1;3.1;0.1;1.4;0.0;0.0;0.0
100;Teeltsector bloembollen en -knollen;Handmatige onkruidbestrijding;1995;281.0;6.3;1414.0;8.7;;;0.0;;;1.8;2.1;3.7;8.5;1.8;0.7;0.0;0.0;0.0
101;Teeltsector bloembollen en -knollen;Handmatige onkruidbestrijding;1998;166.0;4.4;513.0;3.0;;;0.2;;;0.0;1.0;2.2;0.0;0.0;0.0;0.0;0.0;0.0
102;Teeltsector bloembollen en -knollen;Handmatige onkruidbestrijding;2000;497.0;13.1;2023.0;10.1;;;0.0;;;0.3;4.0;4.7;1.7;0.6;0.0;0.0;0.0;0.0
103;Teeltsector bloembollen en -knollen;Handmatige onkruidbestrijding;2004;242.0;7.8;1388.0;6.8;-31.4;-32.5;0.0;0.0;0.0;0.9;4.9;9.0;4.3;1.5;0.0;0.0;0.0;0.0
104;Teeltsector bloembollen en -knollen;Ov.niet-chem. onkruidbestrijding;1995;20.0;0.5;17.0;0.1;;;;;;;;;;;;;;
105;Teeltsector bloembollen en -knollen;Ov.niet-chem. onkruidbestrijding;1998;42.0;1.1;527.0;3.0;;;0.0;;;0.3;0.0;2.4;0.0;0.0;0.0;0.0;0.0;0.0
106;Teeltsector bloembollen en -knollen;Ov.niet-chem. onkruidbestrijding;2000;;;;;;;;;;;;;;;;;;
107;Teeltsector bloembollen en -knollen;Ov.niet-chem. onkruidbestrijding;2004;27.0;0.9;131.0;0.6;0.0;0.0;0.0;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
108;Teeltsector bloembollen en -knollen;Mechanische loofdoding;1995;;;;;;;;;;;;;;;;;;
109;Teeltsector bloembollen en -knollen;Mechanische loofdoding;1998;;;;;;;;;;;;;;;;;;
110;Teeltsector bloembollen en -knollen;Mechanische loofdoding;2000;;;;;;;;;;;;;;;;;;
111;Teeltsector bloembollen en -knollen;Mechanische loofdoding;2004;7.0;0.2;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0
112;Teeltsector bloembollen en -knollen;Grondontsmetting door stomen;1995;;;;;;;;;;;;;;;;;;
113;Teeltsector bloembollen en -knollen;Grondontsmetting door stomen;1998;19.0;0.5;265.0;1.5;;;0.0;;;0.0;0.0;0.0;0.1;2.5;0.0;0.0;0.0;0.0
114;Teeltsector bloembollen en -knollen;Grondontsmetting door stomen;2000;;;;;;;;;;;;;;;;;;
115;Teeltsector bloembollen en -knollen;Grondontsmetting door stomen;2004;;;;;;;;;;;;;;;;;;
116;Teeltsector bloembollen en -knollen;Ov.niet-chem.plaagbestrijding;1995;108.0;2.4;489.0;3.0;;;;;;;;;;;;;;
117;Teeltsector bloembollen en -knollen;Ov.niet-chem.plaagbestrijding;1998;50.0;1.3;155.0;0.9;;;0.5;;;0.5;0.0;0.0;0.0;0.0;0.3;0.3;0.5;0.0
118;Teeltsector bloembollen en -knollen;Ov.niet-chem.plaagbestrijding;2000;86.0;2.3;575.0;2.9;;;0.8;;;0.2;0.0;1.0;0.0;0.0;0.0;1.1;0.0;0.0
119;Teeltsector bloembollen en -knollen;Ov.niet-chem.plaagbestrijding;2004;290.0;9.4;2200.0;10.8;282.2;276.0;1.2;0.0;0.0;2.8;4.7;7.2;3.2;2.1;2.3;1.6;0.0;0.0
120;Teeltsector groenten onder glas;Machinale onkruidbestrijding;1995;;;;;;;;;;;;;;;;;;
121;Teeltsector groenten onder glas;Machinale onkruidbestrijding;1998;;;;;;;;;;;;;;;;;;
122;Teeltsector groenten onder glas;Machinale onkruidbestrijding;2000;;;;;;;;;;;;;;;;;;
123;Teeltsector groenten onder glas;Machinale onkruidbestrijding;2004;;;;;;;;;;;;;;;;;;
124;Teeltsector groenten onder glas;Handmatige onkruidbestrijding;1995;10.0;0.4;10.0;0.3;;;;;;;;;;;;;;
125;Teeltsector groenten onder glas;Handmatige onkruidbestrijding;1998;23.0;1.0;25.0;0.8;;;0.2;0.0;0.4;0.0;0.4;0.4;0.4;0.0;0.0;0.0;0.0;0.0
126;Teeltsector groenten onder glas;Handmatige onkruidbestrijding;2000;36.0;1.9;97.0;3.3;;;1.1;0.0;3.4;1.3;0.0;1.1;2.3;1.1;1.1;0.0;1.1;0.0
127;Teeltsector groenten onder glas;Handmatige onkruidbestrijding;2004;132.0;8.5;294.0;8.9;202.4;171.3;4.4;0.5;2.6;1.2;1.6;0.0;1.2;2.6;0.0;2.8;2.3;0.5
128;Teeltsector groenten onder glas;Ov.niet-chem. onkruidbestrijding;1995;10.0;0.4;8.0;0.3;;;;;;;;;;;;;;
129;Teeltsector groenten onder glas;Ov.niet-chem. onkruidbestrijding;1998;;;;;;;;;;;;;;;;;;
130;Teeltsector groenten onder glas;Ov.niet-chem. onkruidbestrijding;2000;;;;;;;;;;;;;;;;;;
131;Teeltsector groenten onder glas;Ov.niet-chem. onkruidbestrijding;2004;9.0;0.6;29.0;0.9;0.0;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.0
132;Teeltsector groenten onder glas;Mechanische loofdoding;1995;;;;;;;;;;;;;;;;;;
133;Teeltsector groenten onder glas;Mechanische loofdoding;1998;;;;;;;;;;;;;;;;;;
134;Teeltsector groenten onder glas;Mechanische loofdoding;2000;;;;;;;;;;;;;;;;;;
135;Teeltsector groenten onder glas;Mechanische loofdoding;2004;;;;;;;;;;;;;;;;;;
136;Teeltsector groenten onder glas;Grondontsmetting door stomen;1995;;;;;;;;;;;;;;;;;;
137;Teeltsector groenten onder glas;Grondontsmetting door stomen;1998;31.0;1.4;64.0;2.1;;;0.5;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
138;Teeltsector groenten onder glas;Grondontsmetting door stomen;2000;;;26.0;;;;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7;0.0
139;Teeltsector groenten onder glas;Grondontsmetting door stomen;2004;;;;;;;;;;;;;;;;;;
140;Teeltsector groenten onder glas;Ov.niet-chem.plaagbestrijding;1995;237.0;9.7;248.0;8.2;;;;;;;;;;;;;;
141;Teeltsector groenten onder glas;Ov.niet-chem.plaagbestrijding;1998;368.0;16.5;507.0;16.7;;;6.6;2.4;4.2;4.8;3.8;4.1;1.9;1.8;0.3;0.7;2.6;1.4
142;Teeltsector groenten onder glas;Ov.niet-chem.plaagbestrijding;2000;201.0;10.7;437.0;14.8;;;1.0;5.3;4.7;1.8;5.0;2.1;2.1;2.6;0.3;1.9;0.0;0.9
143;Teeltsector groenten onder glas;Ov.niet-chem.plaagbestrijding;2004;440.0;28.3;945.0;28.7;116.5;94.2;5.8;2.1;3.5;4.0;2.7;3.4;4.6;2.3;3.2;5.3;14.2;5.6
144;Teeltsector bloemen onder glas;Machinale onkruidbestrijding;1995;185.0;5.1;83.0;2.9;;;;;;;;;;;;;;
145;Teeltsector bloemen onder glas;Machinale onkruidbestrijding;1998;447.0;8.2;266.0;6.4;;;0.9;1.3;2.3;2.4;1.6;2.2;1.8;0.8;1.8;1.5;1.2;2.1
146;Teeltsector bloemen onder glas;Machinale onkruidbestrijding;2000;;;;;;;;;;;;;;;;;;
147;Teeltsector bloemen onder glas;Machinale onkruidbestrijding;2004;33.0;0.8;20.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
148;Teeltsector bloemen onder glas;Handmatige onkruidbestrijding;1995;231.0;6.3;135.0;4.6;;;;;;;;;;;;;;
149;Teeltsector bloemen onder glas;Handmatige onkruidbestrijding;1998;736.0;13.5;476.0;11.5;;;2.1;1.1;1.5;4.5;3.4;3.0;2.1;2.7;1.8;1.6;2.1;0.9
150;Teeltsector bloemen onder glas;Handmatige onkruidbestrijding;2000;849.0;16.5;620.0;14.3;;;2.0;3.5;4.5;5.0;5.5;5.2;5.7;5.6;6.6;2.6;2.2;2.8
151;Teeltsector bloemen onder glas;Handmatige onkruidbestrijding;2004;729.0;17.6;554.0;13.1;-10.6;-8.9;6.2;2.8;6.8;5.1;5.9;6.6;6.0;6.2;3.6;4.8;3.5;2.0
152;Teeltsector bloemen onder glas;Ov.niet-chem. onkruidbestrijding;1995;;;;;;;;;;;;;;;;;;
153;Teeltsector bloemen onder glas;Ov.niet-chem. onkruidbestrijding;1998;66.0;1.2;55.0;1.3;;;0.7;0.6;0.6;0.9;0.6;0.6;0.8;0.8;0.0;0.0;0.0;0.0
154;Teeltsector bloemen onder glas;Ov.niet-chem. onkruidbestrijding;2000;64.0;1.2;57.0;1.3;;;0.3;0.0;0.0;0.1;0.1;0.3;1.4;1.0;0.0;0.1;0.0;0.0
155;Teeltsector bloemen onder glas;Ov.niet-chem. onkruidbestrijding;2004;12.0;0.3;1.0;0.0;-97.5;-97.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
156;Teeltsector bloemen onder glas;Mechanische loofdoding;1995;;;;;;;;;;;;;;;;;;
157;Teeltsector bloemen onder glas;Mechanische loofdoding;1998;;;;;;;;;;;;;;;;;;
158;Teeltsector bloemen onder glas;Mechanische loofdoding;2000;;;;;;;;;;;;;;;;;;
159;Teeltsector bloemen onder glas;Mechanische loofdoding;2004;;;;;;;;;;;;;;;;;;
160;Teeltsector bloemen onder glas;Grondontsmetting door stomen;1995;;;;;;;;;;;;;;;;;;
161;Teeltsector bloemen onder glas;Grondontsmetting door stomen;1998;515.0;9.4;470.0;11.3;;;1.9;2.1;1.5;2.1;3.7;4.5;4.5;4.4;4.4;3.1;1.9;1.6
162;Teeltsector bloemen onder glas;Grondontsmetting door stomen;2000;;;416.0;;;;3.2;2.0;2.2;3.8;4.6;6.0;4.9;6.7;6.9;5.0;4.4;2.9
163;Teeltsector bloemen onder glas;Grondontsmetting door stomen;2004;241.0;5.8;240.0;5.6;-42.4;0.0;2.4;1.7;2.8;2.9;3.3;3.4;3.5;3.7;4.0;2.9;2.6;3.5
164;Teeltsector bloemen onder glas;Ov.niet-chem.plaagbestrijding;1995;156.0;4.3;109.0;3.7;;;;;;;;;;;;;;
165;Teeltsector bloemen onder glas;Ov.niet-chem.plaagbestrijding;1998;637.0;11.7;616.0;14.9;;;3.4;3.3;5.8;5.0;4.4;3.8;2.8;3.6;4.4;2.3;2.1;1.3
166;Teeltsector bloemen onder glas;Ov.niet-chem.plaagbestrijding;2000;641.0;12.4;777.0;17.9;;;2.9;3.9;6.5;5.0;4.5;4.0;3.1;3.0;4.4;4.9;3.5;4.8
