ID;Kwartielen;SBI93;Perioden;AantalOndernemingen_1;ToegevoegdeWaardeInNettoOmzet_2;LonenSalarissenInVanNettoOmzet_3;BrutoBedrijfsresultaatInNettoOmzet_4;NettoBedrijfsresultaatInNettoOmzet_5;FinancieelResultaatInNettoOmzet_6;VoorradenInNettoOmzet_7;RenteLastenInNettoOmzet_8;AantalOndernemingen_9;ResVoorBelastingInEigenVermogen_10;NettoresultaatInEigenVermogen_11;AantalOndernemingen_12;NettoResultaatInTotaalVermogen_13;FinanVasteActivaInTotaalVermogen_14;MaterVasteActivaInTotaalVermogen_15;VlottendeMiddelenInTotaalVermogen_16;NettoOmzetInTotaalVermogen_17;EigenVermogenInTotaalVermogen_18;VoorzieningenInTotaalVermogen_19;SchuldenLangInTotaalVermogen_20;SchuldenKortInTotaalVermogen_21;AantalOndernemingen_22;FinResultaatInBrutoBedrijfsresult_23;AantalOndernemingen_24;RenteLastenInBrutoBedrijfsresult_25
10;Kwartiel 1;CA Energiehoudende delfstoffenwinning;2001;59;2.52;0.0;0.6;-8.81;-0.75;0.0;0.0;60;-1.14;-0.01;73;-2.5;0.0;0.0;24.32;0.13;4.35;0.0;0.0;16.67;45;-6.64;45;0.0
11;Kwartiel 1;CA Energiehoudende delfstoffenwinning;2002;25;3.49;0.0;-13.33;-21.78;-2.11;0.0;0.0;20;0.14;3.38;26;-19.44;0.0;0.0;47.24;36.33;0.21;0.0;0.0;16.78;16;-18.11;16;0.02
12;Kwartiel 1;CB Zand-, grind-, klei-, zoutwinning;1999;58;27.41;0.0;10.38;2.31;-2.73;0.0;0.0;51;3.55;5.18;59;1.15;0.0;1.87;23.08;31.11;4.89;0.0;0.0;10.5;50;-18.03;50;0.09
13;Kwartiel 1;CB Zand-, grind-, klei-, zoutwinning;2000;104;19.5;0.0;4.27;1.15;-2.31;0.0;0.0;95;0.84;3.59;104;0.76;0.0;8.54;30.38;14.82;11.58;0.0;0.0;9.63;86;-10.0;86;0.0
14;Kwartiel 1;CB Zand-, grind-, klei-, zoutwinning;2001;82;20.81;3.26;6.78;0.92;-2.39;0.0;0.0;104;0.0;0.0;118;-0.53;0.0;0.0;18.52;0.0;9.33;0.0;0.0;2.08;69;-13.7;69;0.0
15;Kwartiel 1;CB Zand-, grind-, klei-, zoutwinning;2002;65;9.55;0.0;0.06;-2.15;-2.47;0.0;0.0;59;-2.26;0.0;66;-1.13;0.0;0.7;29.22;15.88;13.26;0.0;0.0;9.75;49;-22.22;49;0.12
16;Kwartiel 1;DA Voedings- en genotmiddelenindustrie;1999;1077;18.85;11.3;2.56;-1.15;-2.18;0.0;0.23;860;1.1;1.82;1084;-0.97;0.0;9.93;32.43;65.63;4.27;0.0;0.0;12.81;879;-22.58;882;2.83
17;Kwartiel 1;DA Voedings- en genotmiddelenindustrie;2000;1459;16.16;10.59;1.37;-2.14;-2.0;0.0;0.16;1158;-2.71;0.0;1466;-2.15;0.0;9.83;32.79;71.43;4.25;0.0;0.0;15.12;1164;-24.76;1164;2.7
18;Kwartiel 1;DA Voedings- en genotmiddelenindustrie;2001;1204;17.74;10.2;2.5;-0.93;-2.07;0.0;0.18;1083;0.0;0.81;1354;-1.52;0.0;1.95;32.25;25.71;5.35;0.0;0.0;10.15;995;-21.4;998;2.08
19;Kwartiel 1;DA Voedings- en genotmiddelenindustrie;2002;818;19.38;11.17;2.0;-1.29;-2.11;0.28;0.17;660;-1.53;-0.16;825;-1.57;0.0;10.03;31.5;75.63;4.64;0.0;0.0;13.03;660;-25.0;668;2.8
20;Kwartiel 1;DB Textiel- en textielproductenind.;1999;491;22.34;13.42;0.43;-3.45;-2.42;0.0;0.17;378;-1.18;0.0;495;-2.79;0.0;4.71;47.99;62.3;2.78;0.0;0.0;12.27;371;-31.64;375;2.33
21;Kwartiel 1;DB Textiel- en textielproductenind.;2000;673;20.0;13.1;0.23;-3.92;-2.24;0.0;0.13;521;-3.81;-1.06;675;-2.79;0.0;5.67;48.99;71.41;3.67;0.0;0.0;14.84;505;-30.28;505;1.72
22;Kwartiel 1;DB Textiel- en textielproductenind.;2001;511;21.43;13.42;0.68;-3.35;-2.36;0.0;0.17;437;-3.33;-0.95;566;-3.48;0.0;2.21;45.94;32.85;4.44;0.0;0.0;10.59;389;-29.36;393;2.44
23;Kwartiel 1;DB Textiel- en textielproductenind.;2002;357;20.58;12.43;0.0;-4.44;-2.57;0.0;0.12;274;-10.03;-7.14;360;-3.45;0.0;3.56;45.49;52.79;2.06;0.0;0.0;11.61;267;-30.95;267;1.25
24;Kwartiel 1;DC Leer-, lederwaren- en schoenindustrie;1999;116;18.1;9.73;-0.08;-3.13;-3.28;0.0;0.33;87;-1.5;-2.69;117;-3.86;0.0;3.64;53.47;56.89;-0.55;0.0;0.0;10.0;85;-39.17;86;4.76
25;Kwartiel 1;DC Leer-, lederwaren- en schoenindustrie;2000;155;19.74;9.66;1.08;-2.39;-3.1;1.44;0.39;113;-0.55;1.59;155;-1.31;0.0;2.84;52.36;41.14;-1.73;0.0;0.0;12.78;118;-30.95;118;5.66
26;Kwartiel 1;DC Leer-, lederwaren- en schoenindustrie;2001;119;17.97;9.77;-0.16;-3.18;-3.27;0.0;0.34;100;-2.64;-4.28;132;-4.07;0.0;0.82;51.65;33.2;1.99;0.0;0.0;7.17;87;-38.33;88;4.76
27;Kwartiel 1;DC Leer-, lederwaren- en schoenindustrie;2002;66;23.73;14.51;-1.27;-8.89;-3.88;2.63;0.38;47;-7.72;-7.69;67;-7.89;0.0;5.08;43.24;47.56;-8.15;0.0;0.0;9.28;46;-33.33;46;4.55
28;Kwartiel 1;DD Hout, kurk, riet (excl. meubels);1999;610;31.03;19.01;2.67;-0.19;-2.23;0.3;0.26;514;0.58;1.6;609;-0.06;0.0;11.41;43.84;70.6;9.0;0.0;0.0;13.04;498;-26.32;503;2.4
29;Kwartiel 1;DD Hout, kurk, riet (excl. meubels);2000;775;30.51;16.48;4.14;0.89;-2.17;0.0;0.16;667;4.08;3.66;777;0.61;0.0;8.94;41.45;58.18;9.38;0.0;0.0;13.82;660;-22.52;660;2.16
30;Kwartiel 1;DD Hout, kurk, riet (excl. meubels);2001;616;31.32;18.93;3.05;-0.03;-2.21;0.0;0.25;558;0.0;1.16;667;-0.99;0.0;7.35;42.52;42.88;8.49;0.0;0.0;11.0;506;-26.11;511;2.34
31;Kwartiel 1;DD Hout, kurk, riet (excl. meubels);2002;441;32.23;20.15;2.84;-1.55;-2.37;1.08;0.24;379;-4.55;-3.8;442;-1.74;0.0;9.33;40.67;68.73;12.42;0.0;0.0;11.94;356;-27.2;359;3.3
32;Kwartiel 1;DE Papier, karton, uitgeverijen;1999;2287;29.02;18.92;0.25;-5.63;-2.31;0.0;0.08;1707;-5.98;-2.14;2307;-4.56;0.0;3.59;41.38;63.22;-1.62;0.0;0.0;16.06;1722;-21.73;1730;1.24
33;Kwartiel 1;DE Papier, karton, uitgeverijen;2000;2991;27.11;17.83;0.57;-4.68;-2.19;0.0;0.05;2273;-2.5;0.0;3010;-3.42;0.0;3.53;43.83;60.36;0.5;0.0;0.0;19.36;2280;-20.78;2280;0.93
34;Kwartiel 1;DE Papier, karton, uitgeverijen;2001;2380;28.86;18.17;0.3;-5.55;-2.23;0.0;0.07;1969;-6.12;-2.71;2633;-4.66;0.0;1.19;40.71;33.33;-0.12;0.0;0.0;13.72;1798;-21.21;1808;1.05
35;Kwartiel 1;DE Papier, karton, uitgeverijen;2002;1681;30.56;19.1;0.81;-4.46;-2.31;0.0;0.0;1263;-7.41;-5.49;1695;-4.82;0.0;3.52;42.58;69.79;-0.47;0.0;0.0;16.09;1270;-22.58;1278;1.03
36;Kwartiel 1;DF Aardolie, splijt- en kweekstoffen;1999;12;13.81;9.15;5.2;2.86;-2.54;0.0;0.72;10;;;12;2.68;0.0;0.6;41.83;87.05;1.72;0.0;0.0;15.93;12;-33.4;12;4.22
37;Kwartiel 1;DF Aardolie, splijt- en kweekstoffen;2000;18;5.18;3.12;-2.96;-2.96;-2.12;5.4;0.01;13;11.83;9.36;18;-6.93;0.0;1.9;59.59;67.68;-0.25;0.0;0.0;19.99;12;-19.9;12;0.51
38;Kwartiel 1;DF Aardolie, splijt- en kweekstoffen;2001;16;13.81;7.6;2.18;0.69;-2.13;0.0;0.23;15;15.98;12.42;18;0.51;0.0;0.0;39.23;68.96;0.77;0.0;0.0;13.87;16;-26.84;16;4.22
39;Kwartiel 1;DF Aardolie, splijt- en kweekstoffen;2002;16;15.14;0.0;2.25;-1.04;-2.4;0.0;0.11;12;-4.72;-1.01;16;-0.62;0.0;1.57;20.56;9.87;0.54;0.0;0.0;25.09;13;-22.61;13;0.08
40;Kwartiel 1;DG Chemische producten;1999;323;19.29;11.64;-1.28;-7.66;-2.34;0.0;0.05;267;-1.74;-1.56;328;-3.9;0.0;1.39;45.52;40.68;8.35;0.0;0.0;10.27;231;-21.72;233;0.66
41;Kwartiel 1;DG Chemische producten;2000;480;19.54;8.92;2.25;-0.92;-1.91;0.0;0.06;396;1.0;1.83;483;-0.76;0.0;2.89;39.52;44.34;7.04;0.0;0.0;14.67;385;-21.45;385;0.49
42;Kwartiel 1;DG Chemische producten;2001;376;17.82;9.74;-0.21;-4.98;-2.2;0.0;0.02;348;-1.66;-1.31;427;-3.74;0.0;0.0;40.77;12.2;9.48;0.0;0.0;9.8;278;-21.61;280;0.53
43;Kwartiel 1;DG Chemische producten;2002;277;19.86;10.89;1.87;-2.08;-2.16;1.36;0.0;222;0.95;0.78;279;-1.93;0.0;5.78;42.62;59.38;6.47;0.0;0.0;14.32;215;-19.76;216;0.14
44;Kwartiel 1;DH Rubber en kunststof;1999;511;26.05;16.0;3.08;-1.66;-2.77;1.3;0.2;409;1.61;1.81;513;-1.27;0.0;8.48;37.83;61.33;4.76;0.0;0.0;14.69;416;-27.79;418;2.04
45;Kwartiel 1;DH Rubber en kunststof;2000;665;25.92;15.37;3.39;-1.82;-2.53;2.4;0.11;531;-0.44;0.15;667;-1.14;0.0;9.07;41.33;70.97;3.85;0.0;0.0;17.75;555;-25.48;555;1.29
46;Kwartiel 1;DH Rubber en kunststof;2001;534;25.97;15.61;3.3;-1.97;-2.75;1.6;0.18;466;0.42;0.91;581;-1.94;0.0;5.52;37.31;35.82;5.44;0.0;0.0;12.71;435;-27.5;437;1.96
47;Kwartiel 1;DH Rubber en kunststof;2002;396;26.05;15.66;3.27;-0.68;-2.48;2.42;0.21;314;1.11;1.47;401;-0.64;0.0;10.43;39.92;72.13;3.6;0.0;0.0;14.77;328;-22.87;329;1.97
48;Kwartiel 1;DI Glas, aardewerk, cement, kalk, gips;1999;368;28.82;15.08;3.27;-0.75;-2.18;1.21;0.15;306;0.0;0.31;369;-0.53;0.0;10.2;40.53;75.01;6.85;0.0;0.0;15.29;301;-22.22;304;2.15
49;Kwartiel 1;DI Glas, aardewerk, cement, kalk, gips;2000;566;26.53;14.31;4.55;0.57;-2.01;1.6;0.12;469;4.37;3.37;571;0.32;0.0;10.17;39.05;69.46;7.37;0.0;0.0;16.56;485;-18.22;485;1.21
50;Kwartiel 1;DI Glas, aardewerk, cement, kalk, gips;2001;432;26.53;13.37;3.99;-0.39;-2.09;1.42;0.13;405;0.0;0.31;482;-1.0;0.0;4.11;38.6;49.89;7.85;0.0;0.0;12.92;363;-20.52;366;1.98
51;Kwartiel 1;DI Glas, aardewerk, cement, kalk, gips;2002;354;25.14;12.32;2.79;-0.75;-2.2;1.63;0.15;297;-0.71;-0.07;354;-1.04;0.0;10.28;38.21;71.29;7.44;0.0;0.0;14.66;285;-19.02;286;1.61
52;Kwartiel 1;DJ Metalen en metaalproducten;1999;2485;35.64;23.16;4.35;0.06;-2.31;0.0;0.2;2096;2.22;2.63;2492;0.0;0.0;9.89;40.59;67.23;8.72;0.0;0.0;14.12;2080;-21.62;2094;1.89
53;Kwartiel 1;DJ Metalen en metaalproducten;2000;3066;34.69;22.58;4.24;0.28;-2.17;0.11;0.18;2604;2.87;3.09;3075;0.21;0.0;10.29;41.57;70.96;8.76;0.0;0.0;17.13;2611;-20.95;2611;1.64
54;Kwartiel 1;DJ Metalen en metaalproducten;2001;2566;34.95;22.77;4.11;0.0;-2.31;0.0;0.2;2337;1.13;1.74;2789;-0.75;0.0;5.95;39.73;43.78;8.77;0.0;0.0;12.1;2150;-21.77;2164;1.89
55;Kwartiel 1;DJ Metalen en metaalproducten;2002;1921;35.74;25.6;2.24;-3.17;-2.58;0.24;0.2;1591;-5.73;-3.7;1932;-2.66;0.0;11.75;39.61;70.76;6.63;0.0;0.0;13.46;1531;-25.93;1547;2.33
56;Kwartiel 1;DK Machines en apparaten;1999;1600;28.4;18.77;2.49;-0.77;-1.98;0.0;0.13;1314;2.04;2.27;1610;-0.59;0.0;5.57;49.33;69.86;6.71;0.0;0.0;15.91;1287;-23.97;1293;1.36
57;Kwartiel 1;DK Machines en apparaten;2000;2094;27.24;18.05;2.8;-0.47;-1.82;0.0;0.13;1744;2.32;1.87;2098;-0.37;0.0;5.42;48.96;65.0;6.99;0.0;0.0;19.87;1705;-20.86;1705;1.17
58;Kwartiel 1;DK Machines en apparaten;2001;1675;27.79;18.19;2.5;-0.7;-1.96;0.0;0.13;1492;1.05;1.27;1822;-1.17;0.0;3.08;47.89;43.32;7.2;0.0;0.0;14.17;1351;-23.4;1359;1.34
59;Kwartiel 1;DK Machines en apparaten;2002;1203;28.74;19.52;1.0;-2.81;-2.41;0.0;0.19;971;-3.64;-3.12;1210;-2.42;0.0;6.02;46.28;74.36;3.88;0.0;0.0;15.22;917;-26.43;924;2.86
60;Kwartiel 1;DM Transportmiddelen;1999;663;25.33;14.54;0.79;-3.37;-2.19;0.0;0.11;532;-1.57;-0.03;664;-2.41;0.0;6.68;42.88;49.44;4.71;0.0;0.0;14.95;505;-26.67;511;1.7
61;Kwartiel 1;DM Transportmiddelen;2000;825;23.82;14.55;1.6;-1.53;-2.16;0.0;0.12;668;0.0;1.53;827;-1.25;0.0;6.3;44.11;53.69;3.81;0.0;0.0;19.17;646;-26.02;646;1.53
62;Kwartiel 1;DM Transportmiddelen;2001;697;23.88;14.31;0.61;-3.51;-2.19;0.0;0.11;615;-2.3;-0.94;768;-2.64;0.0;3.75;41.76;21.5;5.02;0.0;0.0;12.0;528;-26.73;534;1.53
63;Kwartiel 1;DM Transportmiddelen;2002;518;25.74;16.44;0.42;-3.41;-1.98;0.0;0.05;414;-2.68;-0.8;522;-2.05;0.0;4.91;44.93;59.74;4.62;0.0;0.0;15.0;390;-27.43;392;1.35
64;Kwartiel 1;DL Elektrische en optische apparaten;1999;1160;27.56;19.1;2.25;-1.39;-1.96;0.0;0.08;950;0.0;1.14;1162;-1.5;0.0;4.6;51.32;72.72;6.07;0.0;0.0;15.14;930;-21.74;937;0.87
65;Kwartiel 1;DL Elektrische en optische apparaten;2000;1444;27.42;17.35;1.65;-2.14;-1.83;0.0;0.06;1162;0.23;1.57;1450;-1.48;0.0;4.33;50.64;63.85;5.13;0.0;0.0;17.47;1129;-17.75;1129;0.88
66;Kwartiel 1;DL Elektrische en optische apparaten;2001;1205;26.8;18.15;2.1;-1.77;-1.96;0.0;0.06;1060;-1.43;0.0;1315;-2.41;0.0;2.62;49.16;44.94;5.36;0.0;0.0;13.16;960;-21.63;967;0.71
67;Kwartiel 1;DL Elektrische en optische apparaten;2002;875;29.81;20.16;0.41;-3.31;-1.92;0.0;0.0;714;-1.32;0.0;883;-3.09;0.0;4.66;49.27;69.27;5.42;0.0;0.0;13.74;654;-21.33;659;0.26
68;Kwartiel 1;DN Meubels, overige goederen n.e.g.;1999;1003;27.41;17.24;1.69;-2.31;-2.41;0.0;0.16;782;-0.6;0.47;1009;-1.8;0.0;7.78;41.87;68.82;2.92;0.0;0.0;17.06;786;-26.21;794;1.96
69;Kwartiel 1;DN Meubels, overige goederen n.e.g.;2000;1226;26.66;17.44;1.52;-1.84;-2.14;0.06;0.14;936;0.08;1.74;1230;-1.81;0.0;7.82;45.92;71.59;1.49;0.0;0.0;20.91;962;-24.12;962;1.56
70;Kwartiel 1;DN Meubels, overige goederen n.e.g.;2001;1013;27.45;17.35;1.6;-2.31;-2.44;0.0;0.16;835;-1.81;0.0;1083;-2.26;0.0;5.38;41.72;52.83;2.81;0.0;0.0;15.52;793;-26.32;801;1.92
71;Kwartiel 1;DN Meubels, overige goederen n.e.g.;2002;705;29.99;20.48;0.1;-3.83;-2.59;0.31;0.13;537;-5.56;-2.3;710;-3.7;0.0;7.84;43.55;77.81;0.46;0.0;0.0;15.23;526;-28.57;529;1.43
72;Kwartiel 1;E0 Elektriciteit, aardgas en water;1999;56;30.53;0.0;12.19;2.85;-18.82;0.0;0.82;41;-2.85;0.0;58;0.45;0.0;4.42;18.45;16.13;-3.06;0.0;0.0;9.27;49;-29.05;49;9.02
73;Kwartiel 1;E0 Elektriciteit, aardgas en water;2000;93;6.1;0.0;1.09;-6.74;-12.82;0.0;0.0;73;-0.98;0.0;93;-1.6;0.0;5.91;18.19;23.04;1.35;0.0;0.0;10.24;70;-25.38;70;0.0
74;Kwartiel 1;E0 Elektriciteit, aardgas en water;2001;84;16.09;0.0;5.27;-0.65;-16.25;0.0;0.04;74;-9.38;-4.5;106;-3.29;0.0;0.0;17.3;8.78;-6.37;0.0;0.0;11.16;70;-30.25;71;2.0
75;Kwartiel 1;E0 Elektriciteit, aardgas en water;2002;71;17.22;0.0;3.74;0.0;-10.9;0.0;0.0;55;0.0;0.0;73;-0.3;0.0;2.37;18.22;24.19;0.06;0.0;0.0;10.64;58;-20.51;58;0.0
76;Kwartiel 1;F0 Bouwnijverheid;1999;11319;30.15;21.17;1.76;-0.86;-1.27;0.0;0.05;9578;2.04;2.44;11382;-0.96;0.0;5.87;51.47;72.41;8.38;0.0;0.0;15.99;8995;-16.67;9087;0.74
77;Kwartiel 1;F0 Bouwnijverheid;2000;13777;30.0;20.24;2.37;0.0;-1.16;0.0;0.05;11568;4.87;5.08;13821;0.0;0.0;5.9;54.0;79.75;7.71;0.0;0.0;19.08;11385;-14.94;11385;0.58
78;Kwartiel 1;F0 Bouwnijverheid;2001;11557;29.92;20.72;1.78;-0.82;-1.27;0.0;0.04;10577;0.31;1.27;12571;-1.66;0.0;3.31;50.75;40.94;8.61;0.0;0.0;13.74;9207;-16.67;9300;0.7
79;Kwartiel 1;F0 Bouwnijverheid;2002;8583;31.31;22.22;1.68;-1.12;-1.32;0.0;0.0;7229;0.0;0.91;8654;-1.34;0.0;5.77;51.46;78.05;8.4;0.0;0.0;15.2;6792;-18.09;6853;0.43
80;Kwartiel 1;G0 Handel;1999;34109;12.07;6.85;0.84;-1.28;-1.83;0.0;0.08;27171;0.63;1.27;34348;-1.4;0.0;2.27;51.94;60.22;3.98;0.0;0.0;14.17;26277;-27.88;26510;1.46
81;Kwartiel 1;G0 Handel;2000;43201;11.25;6.43;0.6;-1.58;-1.77;0.0;0.08;34189;0.5;1.72;43410;-1.62;0.0;2.44;52.3;58.58;3.73;0.0;0.0;16.46;33271;-26.78;33271;1.21
82;Kwartiel 1;G0 Handel;2001;34890;12.0;6.71;0.87;-1.23;-1.82;0.0;0.08;30599;0.0;0.0;38756;-2.22;0.0;0.72;50.05;27.39;3.93;0.0;0.0;12.01;27004;-27.93;27244;1.43
83;Kwartiel 1;G0 Handel;2002;25002;12.31;7.06;0.68;-1.42;-1.75;0.0;0.02;20006;0.0;0.0;25236;-1.68;0.0;2.24;52.22;64.85;4.35;0.0;0.0;13.34;19129;-28.13;19263;1.16
84;Kwartiel 1;H0 Horeca;1999;3364;36.67;22.99;3.03;-3.7;-4.72;0.0;0.27;2427;-3.85;0.0;3379;-2.98;0.0;12.78;18.41;43.44;-3.37;0.0;0.0;10.97;2709;-33.23;2721;2.97
85;Kwartiel 1;H0 Horeca;2000;4465;35.69;22.61;2.09;-4.38;-4.24;0.0;0.26;3168;-3.53;0.15;4487;-4.09;0.0;12.92;19.09;44.66;-5.41;0.0;0.0;13.41;3533;-30.56;3533;2.63
86;Kwartiel 1;H0 Horeca;2001;3428;36.75;23.04;3.09;-3.64;-4.75;0.0;0.26;2759;-4.51;-0.97;3842;-3.5;0.0;5.29;18.12;25.23;-3.33;0.0;0.0;8.99;2767;-33.33;2781;2.96
87;Kwartiel 1;H0 Horeca;2002;2333;37.5;23.77;2.67;-4.08;-4.94;0.0;0.28;1667;-4.76;-1.23;2351;-3.7;0.0;14.44;17.85;40.85;-5.15;0.0;0.0;9.68;1862;-35.48;1873;3.08
88;Kwartiel 1;I0 Vervoer, opslag en communicatie;1999;5497;23.48;9.35;2.46;-1.68;-2.5;0.0;0.06;4520;-1.05;0.18;5547;-1.6;0.0;3.88;32.02;45.78;5.07;0.0;0.0;15.37;4457;-21.74;4491;1.25
89;Kwartiel 1;I0 Vervoer, opslag en communicatie;2000;6986;23.12;8.78;2.21;-1.64;-2.44;0.0;0.05;5690;-0.39;0.39;7041;-1.47;0.0;3.89;32.96;44.79;4.63;0.0;0.0;17.02;5683;-21.82;5683;0.97
90;Kwartiel 1;I0 Vervoer, opslag en communicatie;2001;5739;23.5;8.5;2.4;-1.54;-2.47;0.0;0.04;5339;-2.22;-0.23;6519;-2.35;0.0;0.6;31.63;18.81;5.75;0.0;0.0;11.76;4658;-21.47;4696;1.08
91;Kwartiel 1;I0 Vervoer, opslag en communicatie;2002;4328;21.55;8.68;1.84;-1.92;-2.36;0.0;0.0;3575;-2.46;-0.48;4366;-1.73;0.0;3.32;32.82;46.43;5.29;0.0;0.0;13.22;3459;-22.64;3471;0.96
92;Kwartiel 1;K0 Onroerend goed;1999;38263;37.21;21.4;-1.2;-6.55;-1.52;0.0;0.0;31940;0.0;0.0;38724;-3.27;0.0;0.32;46.08;28.13;8.94;0.0;0.0;9.33;27488;-10.57;27778;0.0
93;Kwartiel 1;K0 Onroerend goed;2000;45727;36.05;20.0;-0.84;-6.03;-1.53;0.0;0.0;37915;0.77;1.5;46050;-2.89;0.0;0.42;44.99;29.08;8.71;0.0;0.0;10.45;33329;-10.19;33329;0.0
94;Kwartiel 1;K0 Onroerend goed;2001;38660;36.89;21.02;-1.21;-6.56;-1.52;0.0;0.0;36573;-2.63;-1.97;44585;-4.37;0.0;0.0;44.44;12.97;8.54;0.0;0.0;7.37;27855;-10.53;28151;0.0
95;Kwartiel 1;K0 Onroerend goed;2002;27323;35.34;21.84;-3.23;-8.53;-1.43;0.0;0.0;22627;-4.08;-2.7;27807;-4.75;0.0;0.17;48.05;28.91;8.16;0.0;0.0;8.45;18705;-10.91;18849;0.0
96;Kwartiel 2;A0 Landbouw, jacht en bosbouw;1999;3581;45.56;21.89;15.02;5.17;-1.79;0.35;2.57;2787;9.09;8.51;3705;2.89;1.58;31.21;39.67;59.34;24.41;5.41;3.03;20.48;2808;-11.34;2827;14.31
97;Kwartiel 2;A0 Landbouw, jacht en bosbouw;2000;4604;44.16;21.5;15.46;5.28;-1.61;0.52;2.21;3542;10.58;10.95;4701;3.05;1.41;31.13;41.3;60.52;23.9;5.01;5.19;24.63;3623;-10.05;3623;12.56
98;Kwartiel 2;A0 Landbouw, jacht en bosbouw;2001;3605;45.13;21.73;14.88;5.12;-1.79;0.35;2.54;3115;7.1;7.33;4156;1.57;1.87;24.79;40.2;48.91;25.33;5.15;0.0;18.81;2826;-11.24;2845;14.29
99;Kwartiel 2;A0 Landbouw, jacht en bosbouw;2002;2510;45.8;22.76;13.78;4.36;-1.77;0.28;2.41;1947;7.46;7.39;2644;2.13;1.23;32.3;39.33;60.78;22.34;4.87;5.87;19.04;1950;-12.89;1960;15.45
100;Kwartiel 2;B0 Visserij;1999;224;58.21;25.34;18.93;6.38;-2.13;0.0;3.13;165;6.08;5.58;226;2.65;3.92;23.84;22.65;42.66;36.65;4.07;0.08;18.72;171;-11.3;171;15.11
101;Kwartiel 2;B0 Visserij;2000;270;59.2;25.01;15.9;4.49;-1.14;0.0;2.55;193;5.54;5.52;268;0.84;4.52;18.19;26.04;43.24;31.4;5.39;0.0;21.36;199;-9.05;199;13.19
102;Kwartiel 2;B0 Visserij;2001;225;58.07;25.31;19.1;6.56;-2.12;0.0;3.13;192;5.55;4.87;259;1.45;4.6;15.01;25.37;35.07;38.41;3.78;0.0;16.67;175;-11.3;175;15.64
