ID;SIC2008;Periods;AutumnSurveyT1_1;SpringSurveyT_2;AutumnSurveyT_3;AutumnSurveyT1_4;AutumnSurveyT_5;AutumnSurveyT1_6;AutumnSurveyT_7;AutumnSurveyT1_8;AutumnSurveyT_9;AutumnSurveyT1_10;AutumnSurveyT_11
236;Other industry;2018;;;;;;;;;;;
237;Other industry;2019;;;;;;;;;;;
238;Other industry;2020;;;;;;;;;;;
239;Other industry;2021;;;;;;;;;;;
240;22 Manufacture rubber, plastic products;2010;;;10.0;;24.0;;58.0;;14.0;;4.0
241;22 Manufacture rubber, plastic products;2011;-22.0;58.0;44.0;34.0;37.0;35.0;36.0;26.0;21.0;5.0;6.0
242;22 Manufacture rubber, plastic products;2012;9.0;-21.0;-27.0;32.0;39.0;41.0;33.0;21.0;22.0;6.0;7.0
243;22 Manufacture rubber, plastic products;2013;18.0;9.0;17.0;36.0;29.0;40.0;39.0;16.0;25.0;7.0;7.0
244;22 Manufacture rubber, plastic products;2014;-3.0;-1.0;2.0;32.0;36.0;31.0;34.0;30.0;22.0;7.0;8.0
245;22 Manufacture rubber, plastic products;2015;3.0;11.0;10.0;34.0;31.0;41.0;43.0;19.0;21.0;6.0;5.0
246;22 Manufacture rubber, plastic products;2016;31.0;34.0;15.0;31.0;27.0;46.0;45.0;18.0;21.0;5.0;7.0
247;22 Manufacture rubber, plastic products;2017;19.0;30.0;33.0;29.0;31.0;49.0;48.0;16.0;15.0;6.0;6.0
248;22 Manufacture rubber, plastic products;2018;30.0;26.0;;27.0;29.0;47.0;47.0;20.0;17.0;6.0;7.0
249;22 Manufacture rubber, plastic products;2019;26.0;20.0;20.0;26.0;31.0;49.0;50.0;19.0;14.0;6.0;5.0
250;22 Manufacture rubber, plastic products;2020;19.0;40.0;29.0;35.0;25.0;48.0;54.0;12.0;12.0;5.0;9.0
251;22 Manufacture rubber, plastic products;2021;-1.0;-2.0;;28.0;;45.0;;14.0;;12.0;
252;22-23 Man. plastics and constructionprod;2010;;;-6.0;;37.0;;44.0;;15.0;;5.0
253;22-23 Man. plastics and constructionprod;2011;-8.0;32.0;;50.0;;23.0;;22.0;;5.0;
254;22-23 Man. plastics and constructionprod;2012;;;;;;;;;;;
255;22-23 Man. plastics and constructionprod;2013;;;;;;;;;;;
256;22-23 Man. plastics and constructionprod;2014;;;;;;;;;;;
257;22-23 Man. plastics and constructionprod;2015;;;;;;;;;;;
258;22-23 Man. plastics and constructionprod;2016;;;;;;;;;;;
259;22-23 Man. plastics and constructionprod;2017;;;;;;;;;;;
260;22-23 Man. plastics and constructionprod;2018;;;;;;;;;;;
261;22-23 Man. plastics and constructionprod;2019;;;;;;;;;;;
262;22-23 Man. plastics and constructionprod;2020;;;;;;;;;;;
263;22-23 Man. plastics and constructionprod;2021;;;;;;;;;;;
264;23 Manufacture of building materials;2010;;;-22.0;;55.0;;23.0;;15.0;;6.0
265;23 Manufacture of building materials;2011;13.0;5.0;-4.0;66.0;54.0;11.0;25.0;18.0;14.0;6.0;7.0
266;23 Manufacture of building materials;2012;-4.0;9.0;-19.0;58.0;54.0;18.0;25.0;18.0;13.0;6.0;8.0
267;23 Manufacture of building materials;2013;-11.0;10.0;10.0;54.0;55.0;23.0;18.0;13.0;17.0;10.0;10.0
268;23 Manufacture of building materials;2014;11.0;-3.0;-8.0;43.0;55.0;30.0;22.0;18.0;16.0;9.0;6.0
269;23 Manufacture of building materials;2015;0.0;-6.0;-2.0;57.0;54.0;10.0;21.0;24.0;19.0;9.0;6.0
270;23 Manufacture of building materials;2016;-1.0;-6.0;-4.0;58.0;52.0;21.0;22.0;13.0;19.0;8.0;7.0
271;23 Manufacture of building materials;2017;36.0;45.0;41.0;56.0;57.0;18.0;21.0;19.0;15.0;7.0;7.0
272;23 Manufacture of building materials;2018;5.0;-7.0;5.0;48.0;64.0;25.0;16.0;19.0;12.0;8.0;8.0
273;23 Manufacture of building materials;2019;87.0;42.0;41.0;45.0;49.0;39.0;27.0;9.0;17.0;7.0;8.0
274;23 Manufacture of building materials;2020;1.0;4.0;-10.0;54.0;58.0;26.0;19.0;13.0;15.0;7.0;8.0
275;23 Manufacture of building materials;2021;2.0;-15.0;;54.0;;24.0;;15.0;;7.0;
276;24 Manufacture of basic metals;2010;;;-66.0;;63.0;;14.0;;13.0;;10.0
277;24 Manufacture of basic metals;2011;9.0;99.0;2.0;64.0;52.0;15.0;23.0;12.0;21.0;8.0;5.0
278;24 Manufacture of basic metals;2012;-6.0;32.0;19.0;56.0;46.0;20.0;33.0;17.0;14.0;7.0;7.0
279;24 Manufacture of basic metals;2013;-15.0;-8.0;-43.0;44.0;38.0;31.0;38.0;16.0;14.0;8.0;9.0
280;24 Manufacture of basic metals;2014;1.0;-22.0;13.0;52.0;44.0;29.0;36.0;11.0;9.0;8.0;12.0
281;24 Manufacture of basic metals;2015;7.0;-15.0;11.0;42.0;51.0;35.0;27.0;9.0;13.0;13.0;9.0
282;24 Manufacture of basic metals;2016;0.0;-24.0;58.0;37.0;39.0;41.0;44.0;12.0;11.0;10.0;6.0
283;24 Manufacture of basic metals;2017;7.0;28.0;57.0;42.0;40.0;38.0;16.0;14.0;36.0;6.0;8.0
284;24 Manufacture of basic metals;2018;-29.0;-31.0;15.0;41.0;38.0;15.0;22.0;28.0;19.0;16.0;21.0
285;24 Manufacture of basic metals;2019;-2.0;1.0;2.0;38.0;38.0;20.0;35.0;20.0;6.0;22.0;20.0
286;24 Manufacture of basic metals;2020;12.0;-2.0;1.0;50.0;66.0;24.0;6.0;6.0;12.0;19.0;16.0
287;24 Manufacture of basic metals;2021;7.0;69.0;;61.0;;10.0;;12.0;;17.0;
288;24-25 Man. of basic metals and -products;2010;;;-54.0;;51.0;;25.0;;17.0;;7.0
289;24-25 Man. of basic metals and -products;2011;-3.0;21.0;9.0;52.0;41.0;26.0;36.0;15.0;19.0;7.0;4.0
290;24-25 Man. of basic metals and -products;2012;-10.0;11.0;10.0;43.0;40.0;33.0;38.0;17.0;16.0;7.0;5.0
291;24-25 Man. of basic metals and -products;2013;-4.0;-3.0;-9.0;37.0;40.0;35.0;37.0;24.0;16.0;5.0;7.0
292;24-25 Man. of basic metals and -products;2014;4.0;-8.0;19.0;47.0;37.0;31.0;42.0;16.0;15.0;6.0;6.0
293;24-25 Man. of basic metals and -products;2015;-4.0;-18.0;7.0;35.0;40.0;40.0;34.0;19.0;17.0;6.0;9.0
294;24-25 Man. of basic metals and -products;2016;15.0;-6.0;34.0;34.0;34.0;46.0;49.0;14.0;12.0;6.0;5.0
295;24-25 Man. of basic metals and -products;2017;4.0;-7.0;12.0;37.0;36.0;40.0;34.0;16.0;23.0;7.0;7.0
296;24-25 Man. of basic metals and -products;2018;-13.0;-6.0;13.0;39.0;38.0;30.0;33.0;21.0;17.0;10.0;12.0
297;24-25 Man. of basic metals and -products;2019;0.0;-10.0;-3.0;36.0;34.0;34.0;45.0;17.0;10.0;13.0;10.0
298;24-25 Man. of basic metals and -products;2020;-8.0;-21.0;-17.0;42.0;46.0;33.0;31.0;14.0;13.0;11.0;10.0
299;24-25 Man. of basic metals and -products;2021;-7.0;-4.0;;46.0;;27.0;;16.0;;11.0;
300;24-30, 33 Metalectro;2010;;;-29.0;;35.0;;34.0;;14.0;;17.0
301;24-30, 33 Metalectro;2011;16.0;24.0;32.0;35.0;35.0;35.0;32.0;17.0;22.0;13.0;11.0
302;24-30, 33 Metalectro;2012;-9.0;-1.0;2.0;39.0;34.0;38.0;33.0;13.0;23.0;10.0;10.0
303;24-30, 33 Metalectro;2013;-1.0;3.0;-8.0;34.0;45.0;34.0;28.0;23.0;17.0;9.0;10.0
304;24-30, 33 Metalectro;2014;-4.0;14.0;8.0;50.0;48.0;26.0;31.0;16.0;17.0;8.0;4.0
305;24-30, 33 Metalectro;2015;10.0;25.0;9.0;43.0;43.0;32.0;35.0;21.0;16.0;4.0;6.0
306;24-30, 33 Metalectro;2016;9.0;-12.0;11.0;41.0;42.0;38.0;39.0;16.0;14.0;5.0;6.0
307;24-30, 33 Metalectro;2017;10.0;5.0;15.0;42.0;42.0;38.0;35.0;14.0;18.0;6.0;5.0
308;24-30, 33 Metalectro;2018;1.0;9.0;21.0;41.0;33.0;33.0;38.0;19.0;20.0;7.0;9.0
309;24-30, 33 Metalectro;2019;3.0;9.0;14.0;32.0;32.0;38.0;49.0;21.0;12.0;9.0;8.0
310;24-30, 33 Metalectro;2020;-3.0;-15.0;-25.0;33.0;35.0;46.0;40.0;13.0;16.0;8.0;8.0
311;24-30, 33 Metalectro;2021;6.0;5.0;;34.0;;36.0;;21.0;;8.0;
312;25 Manufacture of metal products;2010;;;-42.0;;44.0;;31.0;;20.0;;5.0
313;25 Manufacture of metal products;2011;-10.0;-6.0;13.0;43.0;37.0;34.0;41.0;17.0;18.0;5.0;4.0
314;25 Manufacture of metal products;2012;-12.0;6.0;8.0;38.0;38.0;38.0;40.0;17.0;17.0;7.0;5.0
315;25 Manufacture of metal products;2013;0.0;-1.0;8.0;34.0;40.0;36.0;37.0;26.0;17.0;4.0;6.0
316;25 Manufacture of metal products;2014;5.0;-3.0;21.0;46.0;35.0;31.0;44.0;18.0;17.0;5.0;4.0
317;25 Manufacture of metal products;2015;-6.0;-19.0;5.0;34.0;32.0;41.0;39.0;22.0;20.0;4.0;10.0
318;25 Manufacture of metal products;2016;23.0;1.0;21.0;33.0;31.0;47.0;52.0;15.0;12.0;5.0;5.0
319;25 Manufacture of metal products;2017;3.0;-12.0;-7.0;33.0;36.0;42.0;45.0;17.0;13.0;8.0;6.0
320;25 Manufacture of metal products;2018;-2.0;3.0;11.0;39.0;39.0;37.0;39.0;17.0;15.0;7.0;7.0
321;25 Manufacture of metal products;2019;2.0;-17.0;-5.0;34.0;32.0;44.0;51.0;15.0;12.0;7.0;5.0
322;25 Manufacture of metal products;2020;-19.0;-27.0;-24.0;36.0;35.0;39.0;45.0;19.0;14.0;6.0;6.0
323;25 Manufacture of metal products;2021;-15.0;-18.0;;36.0;;38.0;;19.0;;7.0;
324;26 Manufacture of electronic products;2010;;;-40.0;;38.0;;25.0;;14.0;;23.0
325;26 Manufacture of electronic products;2011;15.0;15.0;68.0;45.0;38.0;24.0;32.0;15.0;12.0;17.0;18.0
326;26 Manufacture of electronic products;2012;-5.0;10.0;-6.0;30.0;36.0;47.0;38.0;11.0;12.0;12.0;14.0
327;26 Manufacture of electronic products;2013;7.0;39.0;76.0;37.0;43.0;32.0;21.0;13.0;14.0;18.0;22.0
328;26 Manufacture of electronic products;2014;-34.0;20.0;-15.0;33.0;61.0;26.0;24.0;29.0;11.0;12.0;4.0
329;26 Manufacture of electronic products;2015;-5.0;33.0;-3.0;38.0;29.0;40.0;56.0;18.0;9.0;4.0;5.0
330;26 Manufacture of electronic products;2016;-24.0;-23.0;3.0;36.0;34.0;42.0;47.0;16.0;13.0;6.0;6.0
331;26 Manufacture of electronic products;2017;8.0;-17.0;40.0;33.0;42.0;47.0;36.0;13.0;17.0;7.0;5.0
332;26 Manufacture of electronic products;2018;15.0;17.0;29.0;36.0;30.0;39.0;54.0;22.0;10.0;3.0;6.0
333;26 Manufacture of electronic products;2019;3.0;20.0;25.0;30.0;36.0;53.0;48.0;12.0;13.0;5.0;3.0
334;26 Manufacture of electronic products;2020;12.0;17.0;21.0;34.0;25.0;50.0;38.0;11.0;17.0;4.0;20.0
335;26 Manufacture of electronic products;2021;-3.0;33.0;;31.0;;33.0;;19.0;;17.0;
336;26-28 Manufact of electronics, machinery;2010;;;-7.0;;22.0;;41.0;;12.0;;25.0
337;26-28 Manufact of electronics, machinery;2011;17.0;21.0;57.0;26.0;29.0;42.0;38.0;14.0;15.0;18.0;19.0
338;26-28 Manufact of electronics, machinery;2012;-15.0;-15.0;-14.0;33.0;26.0;36.0;44.0;15.0;13.0;15.0;18.0
339;26-28 Manufact of electronics, machinery;2013;3.0;3.0;-36.0;26.0;36.0;44.0;28.0;13.0;16.0;17.0;21.0
340;26-28 Manufact of electronics, machinery;2014;-7.0;39.0;26.0;35.0;41.0;28.0;39.0;21.0;15.0;17.0;6.0
341;26-28 Manufact of electronics, machinery;2015;8.0;54.0;6.0;33.0;33.0;42.0;44.0;20.0;16.0;5.0;6.0
342;26-28 Manufact of electronics, machinery;2016;3.0;-21.0;4.0;40.0;36.0;38.0;37.0;17.0;19.0;5.0;8.0
343;26-28 Manufact of electronics, machinery;2017;12.0;8.0;6.0;36.0;31.0;42.0;41.0;16.0;22.0;7.0;6.0
344;26-28 Manufact of electronics, machinery;2018;32.0;36.0;47.0;32.0;28.0;40.0;42.0;21.0;22.0;7.0;8.0
345;26-28 Manufact of electronics, machinery;2019;7.0;32.0;43.0;29.0;29.0;41.0;54.0;22.0;10.0;8.0;7.0
346;26-28 Manufact of electronics, machinery;2020;1.0;1.0;-13.0;26.0;27.0;57.0;49.0;12.0;16.0;5.0;8.0
347;26-28 Manufact of electronics, machinery;2021;6.0;8.0;;27.0;;46.0;;20.0;;7.0;
348;27 Manufacture of electric equipment;2010;;;-8.0;;19.0;;26.0;;7.0;;48.0
349;27 Manufacture of electric equipment;2011;0.0;53.0;14.0;28.0;16.0;21.0;21.0;10.0;12.0;42.0;51.0
350;27 Manufacture of electric equipment;2012;13.0;11.0;1.0;21.0;17.0;24.0;19.0;11.0;11.0;45.0;53.0
351;27 Manufacture of electric equipment;2013;2.0;-3.0;-29.0;21.0;20.0;21.0;15.0;8.0;9.0;50.0;56.0
352;27 Manufacture of electric equipment;2014;-4.0;-3.0;66.0;19.0;47.0;16.0;23.0;8.0;22.0;56.0;8.0
353;27 Manufacture of electric equipment;2015;49.0;-2.0;17.0;37.0;45.0;38.0;34.0;21.0;13.0;3.0;8.0
354;27 Manufacture of electric equipment;2016;-2.0;25.0;29.0;47.0;31.0;28.0;42.0;17.0;22.0;8.0;6.0
355;27 Manufacture of electric equipment;2017;-9.0;5.0;29.0;30.0;37.0;46.0;34.0;18.0;19.0;5.0;10.0
356;27 Manufacture of electric equipment;2018;24.0;1.0;0.0;32.0;32.0;51.0;43.0;11.0;15.0;6.0;10.0
357;27 Manufacture of electric equipment;2019;17.0;15.0;35.0;26.0;43.0;49.0;27.0;16.0;15.0;9.0;15.0
358;27 Manufacture of electric equipment;2020;50.0;-21.0;-12.0;28.0;32.0;38.0;42.0;28.0;16.0;6.0;10.0
359;27 Manufacture of electric equipment;2021;19.0;-14.0;;31.0;;46.0;;14.0;;10.0;
360;28 Manufacture of machinery n.e.c.;2010;;;0.0;;21.0;;47.0;;12.0;;21.0
361;28 Manufacture of machinery n.e.c.;2011;22.0;17.0;63.0;23.0;29.0;49.0;40.0;14.0;16.0;14.0;15.0
362;28 Manufacture of machinery n.e.c.;2012;-20.0;-20.0;-17.0;36.0;25.0;37.0;49.0;17.0;13.0;11.0;13.0
363;28 Manufacture of machinery n.e.c.;2013;3.0;-1.0;-54.0;26.0;37.0;49.0;37.0;14.0;19.0;12.0;7.0
364;28 Manufacture of machinery n.e.c.;2014;6.0;49.0;36.0;40.0;34.0;32.0;45.0;22.0;15.0;6.0;6.0
365;28 Manufacture of machinery n.e.c.;2015;6.0;67.0;7.0;32.0;31.0;43.0;43.0;20.0;20.0;5.0;6.0
366;28 Manufacture of machinery n.e.c.;2016;14.0;-28.0;-2.0;39.0;39.0;39.0;31.0;17.0;20.0;5.0;10.0
367;28 Manufacture of machinery n.e.c.;2017;21.0;13.0;-3.0;38.0;28.0;38.0;43.0;17.0;23.0;7.0;6.0
368;28 Manufacture of machinery n.e.c.;2018;37.0;49.0;63.0;31.0;27.0;40.0;40.0;22.0;25.0;7.0;8.0
369;28 Manufacture of machinery n.e.c.;2019;7.0;38.0;46.0;29.0;27.0;39.0;57.0;24.0;9.0;8.0;6.0
370;28 Manufacture of machinery n.e.c.;2020;-4.0;2.0;-18.0;25.0;27.0;60.0;53.0;9.0;16.0;5.0;5.0
371;28 Manufacture of machinery n.e.c.;2021;6.0;9.0;;25.0;;48.0;;22.0;;5.0;
372;29 Manufacture of cars and trailers;2010;;;-31.0;;25.0;;36.0;;26.0;;13.0
373;29 Manufacture of cars and trailers;2011;;;;12.0;9.0;33.0;20.0;50.0;66.0;6.0;5.0
374;29 Manufacture of cars and trailers;2012;;-7.0;31.0;11.0;9.0;73.0;22.0;10.0;65.0;5.0;4.0
375;29 Manufacture of cars and trailers;2013;-3.0;26.0;99.0;8.0;27.0;29.0;28.0;58.0;40.0;5.0;6.0
376;29 Manufacture of cars and trailers;2014;-39.0;-21.0;-40.0;27.0;26.0;35.0;34.0;33.0;33.0;5.0;6.0
377;29 Manufacture of cars and trailers;2015;20.0;32.0;29.0;24.0;22.0;23.0;48.0;46.0;28.0;8.0;3.0
378;29 Manufacture of cars and trailers;2016;7.0;4.0;-5.0;16.0;24.0;43.0;45.0;37.0;24.0;4.0;8.0
379;29 Manufacture of cars and trailers;2017;25.0;73.0;98.0;21.0;16.0;55.0;59.0;18.0;19.0;5.0;6.0
380;29 Manufacture of cars and trailers;2018;-28.0;-5.0;-37.0;17.0;29.0;46.0;36.0;30.0;31.0;7.0;4.0
381;29 Manufacture of cars and trailers;2019;4.0;8.0;-10.0;25.0;26.0;31.0;34.0;39.0;32.0;5.0;7.0
382;29 Manufacture of cars and trailers;2020;1.0;31.0;24.0;30.0;31.0;37.0;34.0;25.0;28.0;8.0;7.0
383;29 Manufacture of cars and trailers;2021;69.0;124.0;;24.0;;34.0;;36.0;;5.0;
384;29-30 Transport equipment;2010;;;-24.0;;36.0;;33.0;;20.0;;11.0
385;29-30 Transport equipment;2011;83.0;111.0;46.0;21.0;17.0;31.0;24.0;37.0;55.0;11.0;4.0
386;29-30 Transport equipment;2012;-2.0;-5.0;32.0;17.0;14.0;67.0;23.0;11.0;58.0;4.0;4.0
387;29-30 Transport equipment;2013;-5.0;7.0;87.0;12.0;33.0;29.0;31.0;54.0;32.0;5.0;5.0
388;29-30 Transport equipment;2014;-31.0;-12.0;-29.0;34.0;33.0;35.0;32.0;26.0;28.0;5.0;6.0
389;29-30 Transport equipment;2015;16.0;22.0;22.0;33.0;31.0;25.0;41.0;35.0;25.0;7.0;3.0
390;29-30 Transport equipment;2016;2.0;9.0;-3.0;27.0;25.0;40.0;47.0;30.0;20.0;3.0;8.0
391;29-30 Transport equipment;2017;23.0;54.0;74.0;22.0;18.0;56.0;58.0;16.0;18.0;6.0;6.0
392;29-30 Transport equipment;2018;-21.0;-2.0;-20.0;22.0;25.0;45.0;42.0;27.0;30.0;6.0;3.0
393;29-30 Transport equipment;2019;0.0;18.0;6.0;26.0;32.0;34.0;37.0;36.0;24.0;4.0;7.0
394;29-30 Transport equipment;2020;-4.0;1.0;-28.0;31.0;31.0;38.0;39.0;22.0;23.0;8.0;7.0
395;29-30 Transport equipment;2021;38.0;89.0;;27.0;;34.0;;33.0;;5.0;
396;30 Manufacture of other transport;2010;;;-15.0;;45.0;;31.0;;14.0;;10.0
397;30 Manufacture of other transport;2011;;;;39.0;48.0;27.0;39.0;12.0;11.0;23.0;2.0
398;30 Manufacture of other transport;2012;;4.0;41.0;45.0;48.0;39.0;33.0;14.0;14.0;2.0;4.0
399;30 Manufacture of other transport;2013;-22.0;-12.0;64.0;52.0;47.0;29.0;36.0;14.0;12.0;4.0;4.0
400;30 Manufacture of other transport;2014;-14.0;19.0;12.0;47.0;55.0;33.0;27.0;14.0;13.0;5.0;4.0
401;30 Manufacture of other transport;2015;9.0;-4.0;7.0;52.0;59.0;31.0;22.0;11.0;15.0;5.0;4.0
402;30 Manufacture of other transport;2016;-10.0;24.0;4.0;59.0;28.0;29.0;51.0;10.0;11.0;2.0;9.0
403;30 Manufacture of other transport;2017;19.0;11.0;14.0;23.0;27.0;58.0;54.0;12.0;14.0;7.0;5.0
404;30 Manufacture of other transport;2018;12.0;14.0;34.0;37.0;19.0;38.0;49.0;20.0;30.0;5.0;2.0
405;30 Manufacture of other transport;2019;-6.0;42.0;40.0;27.0;39.0;38.0;41.0;32.0;13.0;3.0;6.0
406;30 Manufacture of other transport;2020;-12.0;-27.0;-58.0;34.0;31.0;40.0;48.0;18.0;15.0;9.0;6.0
407;30 Manufacture of other transport;2021;-14.0;27.0;;37.0;;36.0;;22.0;;5.0;
408;31-33 Other manufacturing and repair;2010;;;-13.0;;57.0;;27.0;;12.0;;4.0
409;31-33 Other manufacturing and repair;2011;6.0;-1.0;;62.0;;21.0;;14.0;;3.0;
410;31-33 Other manufacturing and repair;2012;;;;;;;;;;;
411;31-33 Other manufacturing and repair;2013;;;;;;;;;;;
412;31-33 Other manufacturing and repair;2014;;;;;;;;;;;
413;31-33 Other manufacturing and repair;2015;;;8.0;;74.0;;17.0;;6.0;;3.0
414;31-33 Other manufacturing and repair;2016;16.0;0.0;-6.0;65.0;76.0;22.0;14.0;9.0;7.0;4.0;3.0
415;31-33 Other manufacturing and repair;2017;5.0;-3.0;7.0;74.0;76.0;17.0;15.0;6.0;7.0;3.0;2.0
416;31-33 Other manufacturing and repair;2018;-7.0;-6.0;16.0;74.0;47.0;16.0;34.0;7.0;13.0;3.0;6.0
417;31-33 Other manufacturing and repair;2019;-4.0;-2.0;4.0;45.0;40.0;34.0;32.0;15.0;18.0;6.0;10.0
418;31-33 Other manufacturing and repair;2020;-5.0;-43.0;-44.0;39.0;40.0;27.0;33.0;14.0;14.0;20.0;13.0
419;31-33 Other manufacturing and repair;2021;2.0;-2.0;;43.0;;24.0;;19.0;;14.0;
420;31 Manufacture of furniture;2010;;;-54.0;;46.0;;37.0;;13.0;;4.0
421;31 Manufacture of furniture;2011;11.0;6.0;20.0;42.0;36.0;33.0;37.0;16.0;12.0;9.0;15.0
422;31 Manufacture of furniture;2012;5.0;4.0;18.0;49.0;39.0;28.0;32.0;15.0;19.0;8.0;9.0
423;31 Manufacture of furniture;2013;-14.0;13.0;45.0;37.0;42.0;10.0;34.0;45.0;17.0;7.0;6.0
424;31 Manufacture of furniture;2014;45.0;-26.0;5.0;42.0;32.0;35.0;55.0;20.0;10.0;3.0;3.0
425;31 Manufacture of furniture;2015;-19.0;18.0;-10.0;46.0;39.0;26.0;47.0;26.0;7.0;2.0;8.0
426;31 Manufacture of furniture;2016;3.0;7.0;21.0;48.0;40.0;30.0;31.0;13.0;17.0;8.0;13.0
427;31 Manufacture of furniture;2017;1.0;20.0;;38.0;28.0;31.0;46.0;18.0;21.0;13.0;5.0
428;31 Manufacture of furniture;2018;9.0;-15.0;48.0;38.0;42.0;39.0;36.0;15.0;18.0;8.0;4.0
429;31 Manufacture of furniture;2019;-24.0;10.0;25.0;49.0;40.0;28.0;41.0;17.0;12.0;6.0;7.0
430;31 Manufacture of furniture;2020;-24.0;-6.0;-12.0;41.0;34.0;31.0;42.0;20.0;12.0;8.0;12.0
431;31 Manufacture of furniture;2021;-12.0;9.0;;44.0;;34.0;;14.0;;8.0;
432;32 Manufacture of other products;2010;;;-6.0;;49.0;;34.0;;14.0;;3.0
433;32 Manufacture of other products;2011;-1.0;0.0;17.0;61.0;54.0;23.0;32.0;13.0;11.0;2.0;3.0
434;32 Manufacture of other products;2012;-2.0;2.0;-4.0;71.0;60.0;17.0;25.0;9.0;13.0;2.0;2.0
435;32 Manufacture of other products;2013;19.0;24.0;-13.0;57.0;56.0;23.0;26.0;11.0;15.0;9.0;3.0
436;32 Manufacture of other products;2014;7.0;1.0;25.0;56.0;64.0;27.0;23.0;15.0;9.0;3.0;3.0
437;32 Manufacture of other products;2015;-4.0;-3.0;33.0;44.0;67.0;40.0;18.0;11.0;11.0;5.0;4.0
438;32 Manufacture of other products;2016;21.0;-5.0;-11.0;55.0;61.0;25.0;22.0;13.0;12.0;7.0;5.0
439;32 Manufacture of other products;2017;-18.0;19.0;9.0;53.0;50.0;29.0;26.0;15.0;20.0;2.0;4.0
440;32 Manufacture of other products;2018;5.0;24.0;6.0;46.0;53.0;29.0;24.0;20.0;14.0;5.0;9.0
441;32 Manufacture of other products;2019;11.0;60.0;81.0;47.0;37.0;27.0;30.0;18.0;23.0;8.0;10.0
442;32 Manufacture of other products;2020;0.0;-13.0;50.0;30.0;40.0;24.0;35.0;12.0;10.0;34.0;15.0
443;32 Manufacture of other products;2021;-20.0;156.0;;38.0;;23.0;;14.0;;25.0;
444;33 Repair and installation of machinery;2010;;;5.0;;72.0;;15.0;;9.0;;4.0
445;33 Repair and installation of machinery;2011;13.0;-2.0;-13.0;69.0;82.0;15.0;10.0;14.0;7.0;3.0;0.0
446;33 Repair and installation of machinery;2012;10.0;45.0;17.0;85.0;89.0;9.0;6.0;5.0;4.0;1.0;1.0
447;33 Repair and installation of machinery;2013;2.0;12.0;24.0;90.0;82.0;6.0;12.0;4.0;4.0;1.0;1.0
448;33 Repair and installation of machinery;2014;19.0;16.0;-3.0;83.0;76.0;13.0;7.0;3.0;16.0;1.0;1.0
449;33 Repair and installation of machinery;2015;32.0;1.0;4.0;71.0;81.0;11.0;12.0;17.0;4.0;1.0;2.0
450;33 Repair and installation of machinery;2016;16.0;0.0;-8.0;72.0;86.0;20.0;10.0;6.0;3.0;2.0;1.0
451;33 Repair and installation of machinery;2017;11.0;-10.0;;84.0;91.0;13.0;7.0;2.0;2.0;1.0;0.0
452;33 Repair and installation of machinery;2018;-12.0;-10.0;7.0;88.0;47.0;9.0;40.0;2.0;9.0;1.0;4.0
453;33 Repair and installation of machinery;2019;-2.0;-39.0;-42.0;42.0;44.0;44.0;29.0;10.0;16.0;4.0;11.0
454;33 Repair and installation of machinery;2020;4.0;-56.0;-73.0;51.0;44.0;30.0;25.0;14.0;21.0;5.0;10.0
455;33 Repair and installation of machinery;2021;39.0;-45.0;;47.0;;20.0;;26.0;;7.0;
