ID;WaterBoardLevies;WaterBoards;Periods;Budget_1;Actual_2
97;Gross water board levies;Waterschap Rivierenland (WS);2024;243.0;
98;Gross water board levies;Waterschap Rivierenland (WS);2025;255.0;
99;Gross water board levies;Hhs De Stichtse Rijnlanden (WS);2015;111.0;113.0
100;Gross water board levies;Hhs De Stichtse Rijnlanden (WS);2016;114.0;115.0
101;Gross water board levies;Hhs De Stichtse Rijnlanden (WS);2017;118.0;120.0
102;Gross water board levies;Hhs De Stichtse Rijnlanden (WS);2018;124.0;127.0
103;Gross water board levies;Hhs De Stichtse Rijnlanden (WS);2019;130.0;130.0
104;Gross water board levies;Hhs De Stichtse Rijnlanden (WS);2020;134.0;136.0
105;Gross water board levies;Hhs De Stichtse Rijnlanden (WS);2021;138.0;139.0
106;Gross water board levies;Hhs De Stichtse Rijnlanden (WS);2022;143.0;145.0
107;Gross water board levies;Hhs De Stichtse Rijnlanden (WS);2023;151.0;148.0
108;Gross water board levies;Hhs De Stichtse Rijnlanden (WS);2024;163.0;
109;Gross water board levies;Hhs De Stichtse Rijnlanden (WS);2025;177.0;
110;Gross water board levies;Waterschap Peel en Maasvallei (WS);2015;54.0;55.0
111;Gross water board levies;Waterschap Peel en Maasvallei (WS);2016;53.0;53.0
112;Gross water board levies;Waterschap Peel en Maasvallei (WS);2017;;
113;Gross water board levies;Waterschap Peel en Maasvallei (WS);2018;;
114;Gross water board levies;Waterschap Peel en Maasvallei (WS);2019;;
115;Gross water board levies;Waterschap Peel en Maasvallei (WS);2020;;
116;Gross water board levies;Waterschap Peel en Maasvallei (WS);2021;;
117;Gross water board levies;Waterschap Peel en Maasvallei (WS);2022;;
118;Gross water board levies;Waterschap Peel en Maasvallei (WS);2023;;
119;Gross water board levies;Waterschap Peel en Maasvallei (WS);2024;;
120;Gross water board levies;Waterschap Peel en Maasvallei (WS);2025;;
121;Gross water board levies;Waterschap Hunze en Aa's (WS);2015;83.0;84.0
122;Gross water board levies;Waterschap Hunze en Aa's (WS);2016;85.0;85.0
123;Gross water board levies;Waterschap Hunze en Aa's (WS);2017;84.0;85.0
124;Gross water board levies;Waterschap Hunze en Aa's (WS);2018;83.0;83.0
125;Gross water board levies;Waterschap Hunze en Aa's (WS);2019;84.0;85.0
126;Gross water board levies;Waterschap Hunze en Aa's (WS);2020;86.0;88.0
127;Gross water board levies;Waterschap Hunze en Aa's (WS);2021;88.0;92.0
128;Gross water board levies;Waterschap Hunze en Aa's (WS);2022;88.0;91.0
129;Gross water board levies;Waterschap Hunze en Aa's (WS);2023;92.0;93.0
130;Gross water board levies;Waterschap Hunze en Aa's (WS);2024;98.0;
131;Gross water board levies;Waterschap Hunze en Aa's (WS);2025;102.0;
132;Gross water board levies;Waterschap Noorderzijlvest (WS);2015;59.0;59.0
133;Gross water board levies;Waterschap Noorderzijlvest (WS);2016;60.0;61.0
134;Gross water board levies;Waterschap Noorderzijlvest (WS);2017;61.0;62.0
135;Gross water board levies;Waterschap Noorderzijlvest (WS);2018;64.0;64.0
136;Gross water board levies;Waterschap Noorderzijlvest (WS);2019;67.0;68.0
137;Gross water board levies;Waterschap Noorderzijlvest (WS);2020;72.0;74.0
138;Gross water board levies;Waterschap Noorderzijlvest (WS);2021;74.0;76.0
139;Gross water board levies;Waterschap Noorderzijlvest (WS);2022;77.0;80.0
140;Gross water board levies;Waterschap Noorderzijlvest (WS);2023;86.0;89.0
141;Gross water board levies;Waterschap Noorderzijlvest (WS);2024;96.0;
142;Gross water board levies;Waterschap Noorderzijlvest (WS);2025;104.0;
143;Gross water board levies;Waterschap Reest en Wieden (WS);2015;46.0;46.0
144;Gross water board levies;Waterschap Reest en Wieden (WS);2016;;
145;Gross water board levies;Waterschap Reest en Wieden (WS);2017;;
146;Gross water board levies;Waterschap Reest en Wieden (WS);2018;;
147;Gross water board levies;Waterschap Reest en Wieden (WS);2019;;
148;Gross water board levies;Waterschap Reest en Wieden (WS);2020;;
149;Gross water board levies;Waterschap Reest en Wieden (WS);2021;;
150;Gross water board levies;Waterschap Reest en Wieden (WS);2022;;
151;Gross water board levies;Waterschap Reest en Wieden (WS);2023;;
152;Gross water board levies;Waterschap Reest en Wieden (WS);2024;;
153;Gross water board levies;Waterschap Reest en Wieden (WS);2025;;
154;Gross water board levies;Waterschap Zuiderzeeland (WS);2015;71.0;70.0
155;Gross water board levies;Waterschap Zuiderzeeland (WS);2016;71.0;71.0
156;Gross water board levies;Waterschap Zuiderzeeland (WS);2017;72.0;70.0
157;Gross water board levies;Waterschap Zuiderzeeland (WS);2018;74.0;76.0
158;Gross water board levies;Waterschap Zuiderzeeland (WS);2019;76.0;78.0
159;Gross water board levies;Waterschap Zuiderzeeland (WS);2020;79.0;81.0
160;Gross water board levies;Waterschap Zuiderzeeland (WS);2021;83.0;86.0
161;Gross water board levies;Waterschap Zuiderzeeland (WS);2022;86.0;88.0
162;Gross water board levies;Waterschap Zuiderzeeland (WS);2023;93.0;96.0
163;Gross water board levies;Waterschap Zuiderzeeland (WS);2024;103.0;
164;Gross water board levies;Waterschap Zuiderzeeland (WS);2025;114.0;
165;Gross water board levies;Hhs Hollands Noorderkwartier (WS);2015;222.0;224.0
166;Gross water board levies;Hhs Hollands Noorderkwartier (WS);2016;227.0;226.0
167;Gross water board levies;Hhs Hollands Noorderkwartier (WS);2017;227.0;226.0
168;Gross water board levies;Hhs Hollands Noorderkwartier (WS);2018;227.0;227.0
169;Gross water board levies;Hhs Hollands Noorderkwartier (WS);2019;230.0;233.0
170;Gross water board levies;Hhs Hollands Noorderkwartier (WS);2020;237.0;237.0
171;Gross water board levies;Hhs Hollands Noorderkwartier (WS);2021;240.0;239.0
172;Gross water board levies;Hhs Hollands Noorderkwartier (WS);2022;244.0;247.0
173;Gross water board levies;Hhs Hollands Noorderkwartier (WS);2023;255.0;254.0
174;Gross water board levies;Hhs Hollands Noorderkwartier (WS);2024;280.0;
175;Gross water board levies;Hhs Hollands Noorderkwartier (WS);2025;299.0;
176;Gross water board levies;Waterschap Brabantse Delta (WS);2015;117.0;118.0
177;Gross water board levies;Waterschap Brabantse Delta (WS);2016;120.0;124.0
178;Gross water board levies;Waterschap Brabantse Delta (WS);2017;121.0;129.0
179;Gross water board levies;Waterschap Brabantse Delta (WS);2018;129.0;130.0
180;Gross water board levies;Waterschap Brabantse Delta (WS);2019;133.0;135.0
181;Gross water board levies;Waterschap Brabantse Delta (WS);2020;139.0;140.0
182;Gross water board levies;Waterschap Brabantse Delta (WS);2021;146.0;147.0
183;Gross water board levies;Waterschap Brabantse Delta (WS);2022;153.0;156.0
184;Gross water board levies;Waterschap Brabantse Delta (WS);2023;164.0;165.0
185;Gross water board levies;Waterschap Brabantse Delta (WS);2024;180.0;
186;Gross water board levies;Waterschap Brabantse Delta (WS);2025;194.0;
187;Gross water board levies;Wetterskip Fryslân (WS);2015;132.0;132.0
188;Gross water board levies;Wetterskip Fryslân (WS);2016;136.0;137.0
189;Gross water board levies;Wetterskip Fryslân (WS);2017;138.0;139.0
190;Gross water board levies;Wetterskip Fryslân (WS);2018;139.0;137.0
191;Gross water board levies;Wetterskip Fryslân (WS);2019;142.0;143.0
192;Gross water board levies;Wetterskip Fryslân (WS);2020;155.0;156.0
193;Gross water board levies;Wetterskip Fryslân (WS);2021;159.0;164.0
194;Gross water board levies;Wetterskip Fryslân (WS);2022;164.0;167.0
195;Gross water board levies;Wetterskip Fryslân (WS);2023;172.0;175.0
196;Gross water board levies;Wetterskip Fryslân (WS);2024;202.0;
197;Gross water board levies;Wetterskip Fryslân (WS);2025;212.0;
198;Gross water board levies;Waterschap Aa en Maas (WS);2015;113.0;111.0
199;Gross water board levies;Waterschap Aa en Maas (WS);2016;110.0;113.0
200;Gross water board levies;Waterschap Aa en Maas (WS);2017;113.0;116.0
201;Gross water board levies;Waterschap Aa en Maas (WS);2018;117.0;125.0
202;Gross water board levies;Waterschap Aa en Maas (WS);2019;122.0;125.0
203;Gross water board levies;Waterschap Aa en Maas (WS);2020;126.0;128.0
204;Gross water board levies;Waterschap Aa en Maas (WS);2021;131.0;130.0
205;Gross water board levies;Waterschap Aa en Maas (WS);2022;136.0;136.0
206;Gross water board levies;Waterschap Aa en Maas (WS);2023;143.0;145.0
207;Gross water board levies;Waterschap Aa en Maas (WS);2024;148.0;
208;Gross water board levies;Waterschap Aa en Maas (WS);2025;165.0;
209;Gross water board levies;Waterschap Hollandse Delta (WS);2015;155.0;155.0
210;Gross water board levies;Waterschap Hollandse Delta (WS);2016;156.0;155.0
211;Gross water board levies;Waterschap Hollandse Delta (WS);2017;158.0;158.0
212;Gross water board levies;Waterschap Hollandse Delta (WS);2018;161.0;164.0
213;Gross water board levies;Waterschap Hollandse Delta (WS);2019;167.0;167.0
214;Gross water board levies;Waterschap Hollandse Delta (WS);2020;178.0;179.0
215;Gross water board levies;Waterschap Hollandse Delta (WS);2021;189.0;191.0
216;Gross water board levies;Waterschap Hollandse Delta (WS);2022;191.0;189.0
217;Gross water board levies;Waterschap Hollandse Delta (WS);2023;208.0;209.0
218;Gross water board levies;Waterschap Hollandse Delta (WS);2024;222.0;
219;Gross water board levies;Waterschap Hollandse Delta (WS);2025;241.0;
220;Gross water board levies;Hhs van Schieland en Krimpenerwaard (WS);2015;88.0;90.0
221;Gross water board levies;Hhs van Schieland en Krimpenerwaard (WS);2016;90.0;92.0
222;Gross water board levies;Hhs van Schieland en Krimpenerwaard (WS);2017;90.0;93.0
223;Gross water board levies;Hhs van Schieland en Krimpenerwaard (WS);2018;92.0;94.0
224;Gross water board levies;Hhs van Schieland en Krimpenerwaard (WS);2019;92.0;93.0
225;Gross water board levies;Hhs van Schieland en Krimpenerwaard (WS);2020;96.0;100.0
226;Gross water board levies;Hhs van Schieland en Krimpenerwaard (WS);2021;98.0;99.0
227;Gross water board levies;Hhs van Schieland en Krimpenerwaard (WS);2022;102.0;102.0
228;Gross water board levies;Hhs van Schieland en Krimpenerwaard (WS);2023;121.0;122.0
229;Gross water board levies;Hhs van Schieland en Krimpenerwaard (WS);2024;131.0;
230;Gross water board levies;Hhs van Schieland en Krimpenerwaard (WS);2025;146.0;
231;Gross water board levies;Waterschap Scheldestromen (WS);2015;84.0;84.0
232;Gross water board levies;Waterschap Scheldestromen (WS);2016;86.0;85.0
233;Gross water board levies;Waterschap Scheldestromen (WS);2017;88.0;88.0
234;Gross water board levies;Waterschap Scheldestromen (WS);2018;90.0;91.0
235;Gross water board levies;Waterschap Scheldestromen (WS);2019;92.0;94.0
236;Gross water board levies;Waterschap Scheldestromen (WS);2020;96.0;96.0
237;Gross water board levies;Waterschap Scheldestromen (WS);2021;100.0;101.0
238;Gross water board levies;Waterschap Scheldestromen (WS);2022;105.0;108.0
239;Gross water board levies;Waterschap Scheldestromen (WS);2023;116.0;118.0
240;Gross water board levies;Waterschap Scheldestromen (WS);2024;123.0;
241;Gross water board levies;Waterschap Scheldestromen (WS);2025;134.0;
242;Gross water board levies;Waterschap Vallei en Veluwe (WS);2015;128.0;128.0
243;Gross water board levies;Waterschap Vallei en Veluwe (WS);2016;130.0;131.0
244;Gross water board levies;Waterschap Vallei en Veluwe (WS);2017;133.0;136.0
245;Gross water board levies;Waterschap Vallei en Veluwe (WS);2018;138.0;139.0
246;Gross water board levies;Waterschap Vallei en Veluwe (WS);2019;144.0;149.0
247;Gross water board levies;Waterschap Vallei en Veluwe (WS);2020;149.0;148.0
248;Gross water board levies;Waterschap Vallei en Veluwe (WS);2021;153.0;156.0
249;Gross water board levies;Waterschap Vallei en Veluwe (WS);2022;161.0;165.0
250;Gross water board levies;Waterschap Vallei en Veluwe (WS);2023;177.0;180.0
251;Gross water board levies;Waterschap Vallei en Veluwe (WS);2024;199.0;
252;Gross water board levies;Waterschap Vallei en Veluwe (WS);2025;214.0;
253;Gross water board levies;Waterschap Vechtstromen (WS);2015;112.0;112.0
254;Gross water board levies;Waterschap Vechtstromen (WS);2016;114.0;114.0
255;Gross water board levies;Waterschap Vechtstromen (WS);2017;117.0;120.0
256;Gross water board levies;Waterschap Vechtstromen (WS);2018;122.0;125.0
257;Gross water board levies;Waterschap Vechtstromen (WS);2019;126.0;129.0
258;Gross water board levies;Waterschap Vechtstromen (WS);2020;131.0;130.0
259;Gross water board levies;Waterschap Vechtstromen (WS);2021;133.0;136.0
260;Gross water board levies;Waterschap Vechtstromen (WS);2022;139.0;142.0
261;Gross water board levies;Waterschap Vechtstromen (WS);2023;148.0;153.0
262;Gross water board levies;Waterschap Vechtstromen (WS);2024;164.0;
263;Gross water board levies;Waterschap Vechtstromen (WS);2025;182.0;
264;Gross water board levies;WS Drents Overijsselse Delta (WS);2015;;
265;Gross water board levies;WS Drents Overijsselse Delta (WS);2016;115.0;116.0
266;Gross water board levies;WS Drents Overijsselse Delta (WS);2017;115.0;116.0
267;Gross water board levies;WS Drents Overijsselse Delta (WS);2018;112.0;112.0
268;Gross water board levies;WS Drents Overijsselse Delta (WS);2019;118.0;120.0
269;Gross water board levies;WS Drents Overijsselse Delta (WS);2020;121.0;120.0
270;Gross water board levies;WS Drents Overijsselse Delta (WS);2021;126.0;129.0
271;Gross water board levies;WS Drents Overijsselse Delta (WS);2022;131.0;133.0
272;Gross water board levies;WS Drents Overijsselse Delta (WS);2023;143.0;147.0
273;Gross water board levies;WS Drents Overijsselse Delta (WS);2024;161.0;
274;Gross water board levies;WS Drents Overijsselse Delta (WS);2025;169.0;
275;Gross water board levies;Waterschap Limburg (WS);2015;;
276;Gross water board levies;Waterschap Limburg (WS);2016;;
277;Gross water board levies;Waterschap Limburg (WS);2017;134.0;136.0
278;Gross water board levies;Waterschap Limburg (WS);2018;140.0;142.0
279;Gross water board levies;Waterschap Limburg (WS);2019;144.0;145.0
280;Gross water board levies;Waterschap Limburg (WS);2020;161.0;163.0
281;Gross water board levies;Waterschap Limburg (WS);2021;167.0;167.0
282;Gross water board levies;Waterschap Limburg (WS);2022;174.0;174.0
283;Gross water board levies;Waterschap Limburg (WS);2023;197.0;198.0
284;Gross water board levies;Waterschap Limburg (WS);2024;244.0;
285;Gross water board levies;Waterschap Limburg (WS);2025;261.0;
286;Gross water board levies;Waterschap Amstel, Gooi en Vecht (WS);2015;;
287;Gross water board levies;Waterschap Amstel, Gooi en Vecht (WS);2016;;
288;Gross water board levies;Waterschap Amstel, Gooi en Vecht (WS);2017;189.0;194.0
289;Gross water board levies;Waterschap Amstel, Gooi en Vecht (WS);2018;194.0;203.0
290;Gross water board levies;Waterschap Amstel, Gooi en Vecht (WS);2019;201.0;208.0
291;Gross water board levies;Waterschap Amstel, Gooi en Vecht (WS);2020;210.0;207.0
292;Gross water board levies;Waterschap Amstel, Gooi en Vecht (WS);2021;217.0;215.0
293;Gross water board levies;Waterschap Amstel, Gooi en Vecht (WS);2022;229.0;221.0
294;Gross water board levies;Waterschap Amstel, Gooi en Vecht (WS);2023;253.0;245.0
295;Gross water board levies;Waterschap Amstel, Gooi en Vecht (WS);2024;337.0;
296;Gross water board levies;Waterschap Amstel, Gooi en Vecht (WS);2025;377.0;
297;Irrecoverable amounts (-);The Netherlands;2015;19.0;19.0
298;Irrecoverable amounts (-);The Netherlands;2016;21.0;16.0
299;Irrecoverable amounts (-);The Netherlands;2017;22.0;21.0
300;Irrecoverable amounts (-);The Netherlands;2018;19.0;19.0
301;Irrecoverable amounts (-);The Netherlands;2019;18.0;14.0
302;Irrecoverable amounts (-);The Netherlands;2020;18.0;12.0
303;Irrecoverable amounts (-);The Netherlands;2021;22.0;12.0
304;Irrecoverable amounts (-);The Netherlands;2022;18.0;15.0
305;Irrecoverable amounts (-);The Netherlands;2023;18.0;18.0
306;Irrecoverable amounts (-);The Netherlands;2024;21.0;
307;Irrecoverable amounts (-);The Netherlands;2025;22.0;
308;Irrecoverable amounts (-);Waterschap Groot Salland (WS);2015;0.0;0.0
309;Irrecoverable amounts (-);Waterschap Groot Salland (WS);2016;;
310;Irrecoverable amounts (-);Waterschap Groot Salland (WS);2017;;
311;Irrecoverable amounts (-);Waterschap Groot Salland (WS);2018;;
312;Irrecoverable amounts (-);Waterschap Groot Salland (WS);2019;;
313;Irrecoverable amounts (-);Waterschap Groot Salland (WS);2020;;
314;Irrecoverable amounts (-);Waterschap Groot Salland (WS);2021;;
315;Irrecoverable amounts (-);Waterschap Groot Salland (WS);2022;;
316;Irrecoverable amounts (-);Waterschap Groot Salland (WS);2023;;
317;Irrecoverable amounts (-);Waterschap Groot Salland (WS);2024;;
318;Irrecoverable amounts (-);Waterschap Groot Salland (WS);2025;;
319;Irrecoverable amounts (-);Waterschap Rijn en IJssel (WS);2015;0.0;1.0
320;Irrecoverable amounts (-);Waterschap Rijn en IJssel (WS);2016;0.0;1.0
321;Irrecoverable amounts (-);Waterschap Rijn en IJssel (WS);2017;0.0;1.0
322;Irrecoverable amounts (-);Waterschap Rijn en IJssel (WS);2018;1.0;1.0
323;Irrecoverable amounts (-);Waterschap Rijn en IJssel (WS);2019;1.0;1.0
324;Irrecoverable amounts (-);Waterschap Rijn en IJssel (WS);2020;1.0;0.0
325;Irrecoverable amounts (-);Waterschap Rijn en IJssel (WS);2021;1.0;0.0
326;Irrecoverable amounts (-);Waterschap Rijn en IJssel (WS);2022;0.0;0.0
327;Irrecoverable amounts (-);Waterschap Rijn en IJssel (WS);2023;0.0;0.0
328;Irrecoverable amounts (-);Waterschap Rijn en IJssel (WS);2024;0.0;
329;Irrecoverable amounts (-);Waterschap Rijn en IJssel (WS);2025;0.0;
330;Irrecoverable amounts (-);Hhs Amstel, Gooi en Vecht (WS);2015;2.0;3.0
331;Irrecoverable amounts (-);Hhs Amstel, Gooi en Vecht (WS);2016;2.0;2.0
332;Irrecoverable amounts (-);Hhs Amstel, Gooi en Vecht (WS);2017;;
333;Irrecoverable amounts (-);Hhs Amstel, Gooi en Vecht (WS);2018;;
334;Irrecoverable amounts (-);Hhs Amstel, Gooi en Vecht (WS);2019;;
335;Irrecoverable amounts (-);Hhs Amstel, Gooi en Vecht (WS);2020;;
336;Irrecoverable amounts (-);Hhs Amstel, Gooi en Vecht (WS);2021;;
337;Irrecoverable amounts (-);Hhs Amstel, Gooi en Vecht (WS);2022;;
338;Irrecoverable amounts (-);Hhs Amstel, Gooi en Vecht (WS);2023;;
339;Irrecoverable amounts (-);Hhs Amstel, Gooi en Vecht (WS);2024;;
340;Irrecoverable amounts (-);Hhs Amstel, Gooi en Vecht (WS);2025;;
341;Irrecoverable amounts (-);Hoogheemraadschap van Delfland (WS);2015;3.0;4.0
342;Irrecoverable amounts (-);Hoogheemraadschap van Delfland (WS);2016;4.0;3.0
343;Irrecoverable amounts (-);Hoogheemraadschap van Delfland (WS);2017;4.0;3.0
344;Irrecoverable amounts (-);Hoogheemraadschap van Delfland (WS);2018;4.0;4.0
345;Irrecoverable amounts (-);Hoogheemraadschap van Delfland (WS);2019;3.0;4.0
346;Irrecoverable amounts (-);Hoogheemraadschap van Delfland (WS);2020;3.0;4.0
347;Irrecoverable amounts (-);Hoogheemraadschap van Delfland (WS);2021;4.0;3.0
348;Irrecoverable amounts (-);Hoogheemraadschap van Delfland (WS);2022;3.0;3.0
349;Irrecoverable amounts (-);Hoogheemraadschap van Delfland (WS);2023;3.0;2.0
350;Irrecoverable amounts (-);Hoogheemraadschap van Delfland (WS);2024;4.0;
351;Irrecoverable amounts (-);Hoogheemraadschap van Delfland (WS);2025;4.0;
352;Irrecoverable amounts (-);Waterschap De Dommel (WS);2015;;
353;Irrecoverable amounts (-);Waterschap De Dommel (WS);2016;0.0;0.0
354;Irrecoverable amounts (-);Waterschap De Dommel (WS);2017;0.0;0.0
355;Irrecoverable amounts (-);Waterschap De Dommel (WS);2018;0.0;0.0
356;Irrecoverable amounts (-);Waterschap De Dommel (WS);2019;0.0;0.0
357;Irrecoverable amounts (-);Waterschap De Dommel (WS);2020;0.0;0.0
358;Irrecoverable amounts (-);Waterschap De Dommel (WS);2021;0.0;0.0
359;Irrecoverable amounts (-);Waterschap De Dommel (WS);2022;0.0;0.0
360;Irrecoverable amounts (-);Waterschap De Dommel (WS);2023;0.0;0.0
361;Irrecoverable amounts (-);Waterschap De Dommel (WS);2024;0.0;
362;Irrecoverable amounts (-);Waterschap De Dommel (WS);2025;0.0;
363;Irrecoverable amounts (-);Waterschap Roer en Overmaas (WS);2015;0.0;0.0
364;Irrecoverable amounts (-);Waterschap Roer en Overmaas (WS);2016;0.0;0.0
365;Irrecoverable amounts (-);Waterschap Roer en Overmaas (WS);2017;;
366;Irrecoverable amounts (-);Waterschap Roer en Overmaas (WS);2018;;
367;Irrecoverable amounts (-);Waterschap Roer en Overmaas (WS);2019;;
368;Irrecoverable amounts (-);Waterschap Roer en Overmaas (WS);2020;;
369;Irrecoverable amounts (-);Waterschap Roer en Overmaas (WS);2021;;
