ID;InstitutioneleBeleggers;Perioden;TotaalBeleggingen_1;TotaalLanglopendeBeleggingen_2;TotaalZakelijkeWaarden_3;TotaalDirectVastgoed_4;Woningen_5;KantoorEnWinkelgebouwen_6;LandelijkeEigendommen_7;Overig_8;Buitenland_9;NietTeSpecificerenDirectVastgoed_10;TotaalAandelenEnDeelnemingen_11;TotaalAandelen_12;AandelenVastgoed_13;AandelenOverig_14;TotaalDeelnemingenInConcernverband_15;DeelnemingInConcernverbandVastgoed_16;DeelnemingInConcernverbandOverig_17;TotaalOverigeDeelnemingen_18;DeelnemingenOverigVastgoed_19;DeelnemingenOverig_20;TotaalVastrentendeWaarden_21;Hypotheken_22;ObligatiesEnPandbrieven_23;FinancieleDerivaten_24;LeningenOpLangeTermijn_25;OverigVastrentendeWaarden_26;TotaalKortlopendeBeleggingen_27;LeningenOpKorteTermijn_28;WaardepapierenOpKorteTermijn_29;DepositoS_30;ChartaalEnGiraalGeld_31;OverigeKortlopendeBeleggingen_32
48;Totaal Institutionele beleggers;1996;527921;499649;188631;39765;11872.0;15995.0;326.0;939.0;10633.0;;148866;145764.0;6441.0;139323.0;;;;3102.0;1705.0;1398.0;311018;32914;152021;835;125248;;28271;4689;1443;18286;3853;
49;Totaal Institutionele beleggers;1997;607000;578785;239907;43362;12905.0;16795.0;313.0;1295.0;12055.0;;196544;191791.0;10831.0;180961.0;;;;4753.0;1992.0;2761.0;338878;34286;185282;2500;116810;;28215;4236;1489;17950;4540;
50;Totaal Institutionele beleggers;1998;684193;660889;293456;47501;13915.0;18819.0;293.0;1462.0;13011.0;;245956;239882.0;13144.0;226739.0;;;;6073.0;2539.0;3534.0;367432;38502;215537;3952;109440;;23304;3485;856;14494;4468;
51;Totaal Institutionele beleggers;1999;795668;768180;403969;52755;15788.0;20156.0;429.0;1259.0;15122.0;;351215;339914.0;17569.0;322345.0;;;;11300.0;4173.0;7128.0;364211;41366;222609;5011;95225;;27487;3887;859;17333;5407;
52;Totaal Institutionele beleggers;2000;830060;796886;421145;65633;17719.0;24098.0;607.0;1764.0;21444.0;;355513;342127.0;25309.0;316818.0;;;;13386.0;4046.0;9340.0;375741;45238;246417;5151;78935;;33174;6461;494;18213;8006;
53;Totaal Institutionele beleggers;2001;831249;799969;415042;71976;19761.0;25983.0;735.0;2271.0;23225.0;;343067;328729.0;24528.0;304201.0;;;;14337.0;4863.0;9474.0;384926;47308;259830;5339;72449;;31280;6355;878;16903;7144;
54;Totaal Institutionele beleggers;2002;779449;738467;339375;61697;19894.0;23435.0;731.0;1948.0;15689.0;;277678;263321.0;20538.0;242783.0;;;;14357.0;6192.0;8165.0;399092;47760;280993;6940;63399;;40982;6819;857;24258;9048;
55;Totaal Institutionele beleggers;2003;854887;813819;391968;59990;19134.0;23271.0;628.0;2096.0;14861.0;;331978;312743.0;21855.0;290888.0;;;;19235.0;8157.0;11078.0;421851;44180;307945;10378;59348;;41068;6775;1082;22882;10329;
56;Totaal Institutionele beleggers;2004;932964;893611;431483;59245;19525.0;23728.0;743.0;1659.0;13590.0;;372238;350180.0;25699.0;324481.0;;;;22058.0;10599.0;11459.0;462128;40339;361549;12915;47325;;39353;5730;696;23919;9008;
57;Totaal Institutionele beleggers;2005;1069936;1024209;528693;60643;18685.0;23268.0;1034.0;1238.0;16418.0;;468050;440410.0;31040.0;409370.0;;;;27640.0;14608.0;13032.0;495516;38398;406405;6097;44616;;45727;8955;125;25813;10834;
58;Totaal Institutionele beleggers;2006;1156377;1092524;578930;61262;15354.0;24259.0;958.0;1353.0;19338.0;;517668;480088.0;38727.0;441361.0;;;;37580.0;22098.0;15482.0;513594;36307;424678;8612;43997;;63853;12053;3233;36721;11846;
59;Totaal Institutionele beleggers;2007;1170332;1101837;585534;50898;16749.0;17985.0;1534.0;826.0;13804.0;;534636;492970.0;36562.0;456408.0;;;;41666.0;21466.0;20200.0;516303;36090;436633;1347;42233;;68495;13643;3246;37840;13766;
60;Totaal Institutionele beleggers;2008;1043948;943375;409731;48484;15445.0;16900.0;1529.0;637.0;13973.0;;361247;323465.0;31793.0;291672.0;;;;37782.0;18565.0;19217.0;533644;34832;414500;45520;38792;;100573;36182;7220;36924;20247;
61;Totaal Institutionele beleggers;2009;1385220;1270225;729776;45855;13928.0;16148.0;1510.0;635.0;13634.0;;683921;636516.0;49425.0;587091.0;;;;47405.0;22446.0;24959.0;540449;36750;455166;11327;37206;;114995;47360;7849;36113;23673;
62;Totaal Institutionele beleggers;2010;1514491;1402439;838392;46323;12701.0;15344.0;1510.0;619.0;16149.0;;792069;735519.0;61901.0;673618.0;;;;56550.0;29159.0;27391.0;564047;41252;465035;16430;41330;;112052;51296;7935;33808;19013;
63;Totaal Institutionele beleggers;2011;1611082;1493368;847153;45823;11867.0;15977.0;1525.0;584.0;15870.0;;801330;737453.0;64718.0;672735.0;;;;63877.0;42276.0;21601.0;646215;45700;508338;57881;34296;;117714;57445;8781;33294;18194;
64;Totaal Institutionele beleggers;2012;1821520;1694179;957102;44738;12208.0;15263.0;1525.0;584.0;15158.0;;912364;844538.0;79614.0;764924.0;;;;67826.0;43691.0;24135.0;737077;46444;583220;69068;38345;;127341;59459;13745;34734;19403;
65;Pensioenfondsen;1950;1579;1511;103;50;47.0;;4.0;0.0;0.0;;52;;;;;;;;;;1408;106;665;0;637;0.0;68;54;0;2;11;0.0
66;Pensioenfondsen;1951;1714;1641;112;55;51.0;;4.0;0.0;0.0;;57;;;;;;;;;;1529;115;722;0;692;0.0;74;60;0;2;11;0.0
67;Pensioenfondsen;1952;1883;1802;123;60;55.0;;5.0;0.0;0.0;;62;;;;;;;;;;1680;127;793;0;760;0.0;81;67;0;2;11;0.0
68;Pensioenfondsen;1953;2130;2039;139;68;63.0;;5.0;0.0;0.0;;71;;;;;;;;;;1900;143;897;0;859;0.0;91;78;0;3;10;0.0
69;Pensioenfondsen;1954;2399;2319;183;81;74.0;;7.0;0.0;0.0;;102;;;;;;;;;;2136;167;983;0;987;0.0;79;57;0;4;19;0.0
70;Pensioenfondsen;1955;2710;2640;227;97;88.0;;8.0;0.0;0.0;;131;;;;;;;;;;2412;202;1118;0;1092;0.0;71;50;0;3;18;0.0
71;Pensioenfondsen;1956;2976;2902;247;124;115.0;;9.0;0.0;0.0;;123;;;;;;;;;;2655;225;1162;0;1259;9.0;74;43;0;0;32;0.0
72;Pensioenfondsen;1957;3400;3285;263;151;140.0;;11.0;0.0;0.0;;113;;;;;;;;;;3022;249;1202;0;1566;5.0;115;99;0;1;15;0.0
73;Pensioenfondsen;1958;4044;3946;389;192;186.0;;6.0;0.0;0.0;;197;;;;;;;;;;3557;277;1327;0;1909;44.0;98;77;1;0;20;0.0
74;Pensioenfondsen;1959;4490;4395;484;221;214.0;;6.0;0.0;0.0;;264;;;;;;;;;;3911;281;1426;0;2140;64.0;95;85;0;0;10;0.0
75;Pensioenfondsen;1960;4922;4799;523;255;244.0;;6.0;5.0;0.0;;269;;;;;;;;;;4276;286;1568;0;2356;65.0;123;105;1;0;15;1.0
76;Pensioenfondsen;1961;5560;5401;604;312;304.0;;7.0;0.0;0.0;;292;;;;;;;;;;4796;314;1662;0;2747;74.0;159;120;0;10;20;10.0
77;Pensioenfondsen;1962;6398;6204;742;382;372.0;;10.0;0.0;0.0;;360;;;;;;;;;;5462;373;1773;0;3221;94.0;194;159;0;3;19;14.0
78;Pensioenfondsen;1963;7125;6885;897;454;445.0;;8.0;0.0;0.0;;443;;;;;;;;;;5988;419;1864;0;3627;79.0;240;201;0;1;20;18.0
79;Pensioenfondsen;1964;8023;7752;1035;540;528.0;;10.0;1.0;0.0;;496;;;;;;;;;;6717;492;1850;0;4303;72.0;271;222;0;6;23;20.0
80;Pensioenfondsen;1965;9013;8726;1197;639;626.0;;10.0;2.0;0.0;;558;;;;;;;;;;7529;564;1838;0;5047;79.0;288;235;0;5;24;24.0
81;Pensioenfondsen;1966;10219;10035;1396;780;765.0;;10.0;4.0;1.0;;616;;;;;;;;;;8639;636;1838;0;6160;5.0;184;127;0;4;33;20.0
82;Pensioenfondsen;1967;11703;11549;1772;992;957.0;;10.0;20.0;5.0;;781;;;;;;;;;;9777;669;1849;0;7256;3.0;154;79;0;21;38;16.0
83;Pensioenfondsen;1968;13854;13566;2378;1285;1271.0;;8.0;6.0;0.0;;1093;;;;;;;;;;11188;709;2016;0;8463;0.0;288;201;0;11;48;27.0
84;Pensioenfondsen;1969;15725;15339;2719;1488;1473.0;;9.0;6.0;0.0;;1230;;;;;;;;;;12621;780;2140;0;9700;0.0;386;269;0;36;46;34.0
85;Pensioenfondsen;1970;17902;17395;2999;1725;1708.0;;10.0;6.0;1.0;;1274;;;;;;;;;;14396;837;2246;0;11313;0.0;507;333;0;50;79;45.0
86;Pensioenfondsen;1971;20721;19930;3492;2012;1993.0;;9.0;7.0;3.0;;1481;;;;;;;;;;16438;892;2379;0;13167;0.0;790;545;0;32;115;99.0
87;Pensioenfondsen;1972;24098;23440;4203;2352;2331.0;;9.0;7.0;5.0;;1851;;;;;;;;;;19237;954;2554;0;15728;0.0;658;422;0;25;108;103.0
88;Pensioenfondsen;1973;27538;26760;4471;2681;2654.0;;9.0;6.0;12.0;;1789;;;;;;;;;;22289;1057;2786;0;18446;0.0;778;400;0;147;104;127.0
89;Pensioenfondsen;1974;31782;30923;4758;3117;3068.0;;18.0;6.0;25.0;;1641;;;;;;;;;;26165;1138;3018;0;22009;0.0;859;473;0;175;113;98.0
90;Pensioenfondsen;1975;37550;36502;5846;3523;3412.0;;10.0;6.0;94.0;;2322;;;;;;;;;;30656;1222;3477;0;25957;0.0;1048;451;0;341;148;109.0
91;Pensioenfondsen;1976;43615;42011;6184;3991;3806.0;;9.0;6.0;170.0;;2193;;;;;;;;;;35826;1348;3882;0;30597;0.0;1605;622;0;502;396;85.0
92;Pensioenfondsen;1977;49840;48269;6525;4468;4125.0;;12.0;25.0;306.0;;2057;;;;;;;;;;41744;1466;3982;0;36296;0.0;1571;316;2;849;314;90.0
93;Pensioenfondsen;1978;57187;55539;7363;5084;4626.0;;17.0;12.0;429.0;;2279;;;;;;;;;;48176;1824;4277;0;42073;2.0;1648;409;0;930;216;94.0
94;Pensioenfondsen;1979;64823;63348;8086;5673;5057.0;;22.0;6.0;588.0;;2414;;;;;;;;;;55261;2090;4648;0;48520;4.0;1475;281;2;887;212;93.0
95;Pensioenfondsen;1980-I;73784;72731;9208;6467;5757.0;;25.0;4.0;682.0;;2740;;;;;;;;;;63523;2399;5200;0;55921;4.0;1053;242;0;433;263;115.0
96;Pensioenfondsen;1980-II;74036;72957;9523;6348;4220.0;1205.0;48.0;212.0;663.0;;3175;2602.0;325.0;2277.0;573.0;570.0;2.0;0.0;0.0;0.0;63435;2292;5487;0;55657;;1078;158;123;596;201;
97;Pensioenfondsen;1981;83945;82537;10795;7230;4683.0;1496.0;49.0;246.0;757.0;;3565;2771.0;305.0;2466.0;794.0;791.0;3.0;0.0;0.0;0.0;71742;2989;6771;0;61982;;1408;204;167;858;180;
98;Pensioenfondsen;1982;94682;93446;13051;8401;5405.0;1742.0;47.0;300.0;907.0;;4650;3456.0;433.0;3023.0;1193.0;1189.0;4.0;2.0;2.0;0.0;80395;3797;9106;0;67492;;1236;197;199;576;264;
99;Pensioenfondsen;1983;106218;104867;16584;9367;5924.0;1936.0;58.0;295.0;1154.0;;7217;5891.0;722.0;5169.0;1299.0;1281.0;18.0;28.0;28.0;0.0;88283;4143;12037;0;72103;;1351;185;237;667;262;
100;Pensioenfondsen;1984;118725;117422;19281;10166;6382.0;2142.0;44.0;318.0;1280.0;;9115;7559.0;1085.0;6474.0;1492.0;1473.0;20.0;64.0;64.0;0.0;98141;4261;17427;0;76453;;1303;216;250;492;345;
101;Pensioenfondsen;1985;131649;129481;22571;10923;6854.0;2269.0;49.0;331.0;1420.0;;11647;9994.0;1202.0;8792.0;1541.0;1509.0;33.0;112.0;112.0;0.0;106911;4823;21235;0;80853;;2168;176;333;1229;431;
102;Pensioenfondsen;1986;143212;141666;26081;11675;7434.0;2288.0;49.0;336.0;1568.0;;14407;12809.0;1389.0;11420.0;1410.0;1384.0;26.0;187.0;187.0;0.0;115584;5144;24737;0;85703;;1546;218;302;528;499;
103;Pensioenfondsen;1987;149826;148169;26657;12547;7843.0;2462.0;64.0;352.0;1825.0;;14111;12476.0;1370.0;11106.0;1351.0;1325.0;26.0;284.0;284.0;0.0;121512;5952;26763;0;88797;;1657;203;293;474;687;
104;Pensioenfondsen;1988;163711;161364;33411;13311;7940.0;2733.0;64.0;395.0;2178.0;;20101;18117.0;1892.0;16225.0;1632.0;1606.0;26.0;352.0;352.0;0.0;127952;6757;29674;0;91522;;2347;204;365;757;1021;
105;Pensioenfondsen;1989;172128;168961;40656;13848;8136.0;2929.0;61.0;446.0;2277.0;;26808;24169.0;2354.0;21815.0;2288.0;2274.0;15.0;351.0;351.0;0.0;128305;7669;28718;0;91917;;3167;250;478;1651;787;
106;Pensioenfondsen;1990;176190;171629;40567;14233;8395.0;3154.0;44.0;495.0;2145.0;;26334;23140.0;2121.0;21019.0;2785.0;2769.0;16.0;409.0;409.0;0.0;131062;8180;31615;-693;91959;;4561;510;390;2651;1011;
107;Pensioenfondsen;1991-I;189685;184880;48516;15157;8605.0;3744.0;80.0;570.0;2158.0;;33359;29572.0;2427.0;27145.0;3373.0;3356.0;17.0;413.0;413.0;0.0;136364;8973;37450;-521;90462;;4805;411;381;2965;1049;
108;Pensioenfondsen;1991-II;189663;183986;48739;17828;7516.0;5326.0;63.0;674.0;4250.0;;30911;29811.0;2882.0;26929.0;;;;1100.0;982.0;118.0;135247;9011;37023;-521;89734;;5676;546;604;3771;755;
109;Pensioenfondsen;1992;202827;197171;54931;18465;7709.0;5776.0;66.0;640.0;4274.0;;36466;35351.0;4086.0;31265.0;;;;1115.0;996.0;119.0;142240;10132;45736;-384;86755;;5656;681;444;3667;865;
110;Pensioenfondsen;1993;230493;223461;71830;19226;8064.0;6028.0;56.0;654.0;4423.0;;52604;51308.0;5133.0;46175.0;;;;1296.0;1167.0;129.0;151631;11125;55370;-186;85321;;7032;656;280;4752;1344;
111;Pensioenfondsen;1994;232771;226586;73614;19527;8214.0;6317.0;54.0;766.0;4176.0;;54088;52276.0;3696.0;48580.0;;;;1812.0;1672.0;139.0;152972;11649;58413;38;82872;;6185;582;153;4512;937;
112;Pensioenfondsen;1995;257975;251272;89268;19450;8109.0;6486.0;76.0;776.0;4003.0;;69818;68054.0;4412.0;63642.0;;;;1765.0;1588.0;177.0;162004;11835;70283;230;79656;;6702;475;113;4930;1184;
113;Pensioenfondsen;1996;295609;287982;115500;20364;8675.0;6884.0;64.0;650.0;4091.0;;95135;93436.0;5316.0;88120.0;;;;1700.0;1585.0;115.0;172483;11965;87921;324;72272;;7627;1186;127;5210;1104;
114;Pensioenfondsen;1997;339778;332497;145785;20861;9510.0;7013.0;41.0;746.0;3551.0;;124923;122887.0;8179.0;114708.0;;;;2037.0;1915.0;122.0;186712;12179;107777;457;66299;;7281;1396;184;4421;1280;
115;Pensioenfondsen;1998;383754;376482;175051;22071;10184.0;7829.0;18.0;1030.0;3012.0;;152980;150400.0;9993.0;140407.0;;;;2580.0;2484.0;95.0;201431;13026;128584;646;59176;;7272;1009;156;4493;1615;
116;Pensioenfondsen;1999;450341;443726;246945;23470;11791.0;8070.0;122.0;435.0;3052.0;;223475;216825.0;13029.0;203796.0;;;;6650.0;4135.0;2515.0;196780;13211;136339;912;46318;;6615;810;55;4628;1121;
117;Pensioenfondsen;2000;461752;453428;245842;23330;12340.0;7245.0;187.0;506.0;3052.0;;222512;214810.0;19902.0;194908.0;;;;7702.0;4018.0;3683.0;207586;14013;157792;1287;34494;;8325;1056;77;5500;1692;
118;Pensioenfondsen;2001;458174;450928;247168;25977;13936.0;8469.0;226.0;636.0;2710.0;;221191;212436.0;19612.0;192824.0;;;;8755.0;4761.0;3994.0;203760;14898;159017;1816;28029;;7246;1432;40;3688;2086;
119;Pensioenfondsen;2002;436556;422767;202619;23414;14115.0;6881.0;213.0;629.0;1576.0;;179205;169288.0;16769.0;152519.0;;;;9917.0;6092.0;3825.0;220148;15971;178244;4254;21679;;13789;1870;3;9943;1973;
120;Pensioenfondsen;2003;488298;475758;244592;22933;13772.0;7522.0;147.0;819.0;673.0;;221659;208106.0;18063.0;190043.0;;;;13553.0;7916.0;5637.0;231166;15049;189993;8461;17663;;12540;995;208;8665;2672;
121;Pensioenfondsen;2004;547126;533364;277729;23107;13848.0;7595.0;233.0;520.0;911.0;;254622;239268.0;21396.0;217872.0;;;;15354.0;9656.0;5698.0;255635;14489;219116;10536;11494;;13762;1671;250;8238;3603;
122;Pensioenfondsen;2005;635905;618698;340850;22948;13607.0;7541.0;422.0;534.0;844.0;;317902;298308.0;26331.0;271977.0;;;;19594.0;13648.0;5946.0;277848;12593;252636;2352;10267;;17207;1711;4;11344;4148;
123;Pensioenfondsen;2006;709962;670869;367944;19795;9863.0;8058.0;313.0;652.0;909.0;;348149;320946.0;32895.0;288051.0;;;;27203.0;21069.0;6134.0;302925;12503;275559;6135;8728;;39093;8313;1922;23769;5089;
124;Pensioenfondsen;2007;720019;679457;378361;19150;10878.0;6796.0;874.0;228.0;374.0;;359211;326526.0;32154.0;294372.0;;;;32685.0;20465.0;12220.0;301096;14659;277610;-24;8851;;40562;5050;2741;26830;5941;
