ID;TransportModes;GoodsClassificationSITC;CaribbeanNetherlands;Periods;TotalImportsAndExports_1;Imports_2;Exports_3
51;Total maritime and air transport;1 Beverages and tobacco;Caribbean Netherlands;2016;7140;7100;40
52;Total maritime and air transport;1 Beverages and tobacco;Caribbean Netherlands;2017;7530;7530;0
53;Total maritime and air transport;1 Beverages and tobacco;Caribbean Netherlands;2018;8290;8280;10
54;Total maritime and air transport;1 Beverages and tobacco;Bonaire;2013;5520;5520;0
55;Total maritime and air transport;1 Beverages and tobacco;Bonaire;2014;5920;5800;120
56;Total maritime and air transport;1 Beverages and tobacco;Bonaire;2015;7200;7130;60
57;Total maritime and air transport;1 Beverages and tobacco;Bonaire;2016;6460;6420;40
58;Total maritime and air transport;1 Beverages and tobacco;Bonaire;2017;6660;6660;0
59;Total maritime and air transport;1 Beverages and tobacco;Bonaire;2018;7090;7080;10
60;Total maritime and air transport;1 Beverages and tobacco;St. Eustatius;2013;170;170;0
61;Total maritime and air transport;1 Beverages and tobacco;St. Eustatius;2014;150;150;0
62;Total maritime and air transport;1 Beverages and tobacco;St. Eustatius;2015;390;390;0
63;Total maritime and air transport;1 Beverages and tobacco;St. Eustatius;2016;600;600;0
64;Total maritime and air transport;1 Beverages and tobacco;St. Eustatius;2017;770;770;0
65;Total maritime and air transport;1 Beverages and tobacco;St. Eustatius;2018;1070;1070;0
66;Total maritime and air transport;1 Beverages and tobacco;Saba;2013;100;100;0
67;Total maritime and air transport;1 Beverages and tobacco;Saba;2014;90;90;0
68;Total maritime and air transport;1 Beverages and tobacco;Saba;2015;70;70;0
69;Total maritime and air transport;1 Beverages and tobacco;Saba;2016;80;80;0
70;Total maritime and air transport;1 Beverages and tobacco;Saba;2017;100;100;0
71;Total maritime and air transport;1 Beverages and tobacco;Saba;2018;130;130;0
72;Total maritime and air transport;2 Crude materials, inedible, except f...;Caribbean Netherlands;2013;143010;28010;115000
73;Total maritime and air transport;2 Crude materials, inedible, except f...;Caribbean Netherlands;2014;145010;44010;101000
74;Total maritime and air transport;2 Crude materials, inedible, except f...;Caribbean Netherlands;2015;136020;53020;83000
75;Total maritime and air transport;2 Crude materials, inedible, except f...;Caribbean Netherlands;2016;86180;62780;23400
76;Total maritime and air transport;2 Crude materials, inedible, except f...;Caribbean Netherlands;2017;220000;86600;133300
77;Total maritime and air transport;2 Crude materials, inedible, except f...;Caribbean Netherlands;2018;191940;129020;62920
78;Total maritime and air transport;2 Crude materials, inedible, except f...;Bonaire;2013;143010;28010;115000
79;Total maritime and air transport;2 Crude materials, inedible, except f...;Bonaire;2014;145010;44010;101000
80;Total maritime and air transport;2 Crude materials, inedible, except f...;Bonaire;2015;136020;53020;83000
81;Total maritime and air transport;2 Crude materials, inedible, except f...;Bonaire;2016;86130;62730;23400
82;Total maritime and air transport;2 Crude materials, inedible, except f...;Bonaire;2017;220000;86600;133300
83;Total maritime and air transport;2 Crude materials, inedible, except f...;Bonaire;2018;191890;128970;62920
84;Total maritime and air transport;2 Crude materials, inedible, except f...;St. Eustatius;2013;0;0;0
85;Total maritime and air transport;2 Crude materials, inedible, except f...;St. Eustatius;2014;0;0;0
86;Total maritime and air transport;2 Crude materials, inedible, except f...;St. Eustatius;2015;0;0;0
87;Total maritime and air transport;2 Crude materials, inedible, except f...;St. Eustatius;2016;50;50;0
88;Total maritime and air transport;2 Crude materials, inedible, except f...;St. Eustatius;2017;0;0;0
89;Total maritime and air transport;2 Crude materials, inedible, except f...;St. Eustatius;2018;40;40;0
90;Total maritime and air transport;2 Crude materials, inedible, except f...;Saba;2013;0;0;0
91;Total maritime and air transport;2 Crude materials, inedible, except f...;Saba;2014;0;0;0
92;Total maritime and air transport;2 Crude materials, inedible, except f...;Saba;2015;0;0;0
93;Total maritime and air transport;2 Crude materials, inedible, except f...;Saba;2016;0;0;0
94;Total maritime and air transport;2 Crude materials, inedible, except f...;Saba;2017;0;0;0
95;Total maritime and air transport;2 Crude materials, inedible, except f...;Saba;2018;10;10;0
96;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;Caribbean Netherlands;2013;10840;10840;0
97;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;Caribbean Netherlands;2014;11770;11770;0
98;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;Caribbean Netherlands;2015;32080;32070;0
99;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;Caribbean Netherlands;2016;24290;24260;30
100;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;Caribbean Netherlands;2017;31340;31320;30
101;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;Caribbean Netherlands;2018;8020;8020;0
102;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;Bonaire;2013;9170;9170;0
103;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;Bonaire;2014;9190;9190;0
104;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;Bonaire;2015;28010;28000;0
105;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;Bonaire;2016;21830;21800;30
106;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;Bonaire;2017;28860;28840;30
107;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;Bonaire;2018;5470;5470;0
108;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;St. Eustatius;2013;1250;1250;0
109;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;St. Eustatius;2014;1300;1300;0
110;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;St. Eustatius;2015;1580;1580;0
111;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;St. Eustatius;2016;1430;1430;0
112;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;St. Eustatius;2017;1580;1580;0
113;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;St. Eustatius;2018;1590;1590;0
114;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;Saba;2013;420;420;0
115;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;Saba;2014;1280;1280;0
116;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;Saba;2015;2490;2490;0
117;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;Saba;2016;1030;1030;0
118;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;Saba;2017;910;910;0
119;Total maritime and air transport;3 Mineral fuels, lubricants and relat...;Saba;2018;970;970;0
120;Total maritime and air transport;4 Animal and vegetable oils, fats and...;Caribbean Netherlands;2013;200;180;20
121;Total maritime and air transport;4 Animal and vegetable oils, fats and...;Caribbean Netherlands;2014;330;330;0
122;Total maritime and air transport;4 Animal and vegetable oils, fats and...;Caribbean Netherlands;2015;290;290;0
123;Total maritime and air transport;4 Animal and vegetable oils, fats and...;Caribbean Netherlands;2016;1000;950;50
124;Total maritime and air transport;4 Animal and vegetable oils, fats and...;Caribbean Netherlands;2017;270;250;20
125;Total maritime and air transport;4 Animal and vegetable oils, fats and...;Caribbean Netherlands;2018;410;350;70
126;Total maritime and air transport;4 Animal and vegetable oils, fats and...;Bonaire;2013;200;180;20
127;Total maritime and air transport;4 Animal and vegetable oils, fats and...;Bonaire;2014;330;330;0
128;Total maritime and air transport;4 Animal and vegetable oils, fats and...;Bonaire;2015;290;290;0
129;Total maritime and air transport;4 Animal and vegetable oils, fats and...;Bonaire;2016;1000;950;50
130;Total maritime and air transport;4 Animal and vegetable oils, fats and...;Bonaire;2017;270;250;20
131;Total maritime and air transport;4 Animal and vegetable oils, fats and...;Bonaire;2018;410;340;70
132;Total maritime and air transport;4 Animal and vegetable oils, fats and...;St. Eustatius;2013;0;0;0
133;Total maritime and air transport;4 Animal and vegetable oils, fats and...;St. Eustatius;2014;0;0;0
134;Total maritime and air transport;4 Animal and vegetable oils, fats and...;St. Eustatius;2015;0;0;0
135;Total maritime and air transport;4 Animal and vegetable oils, fats and...;St. Eustatius;2016;0;0;0
136;Total maritime and air transport;4 Animal and vegetable oils, fats and...;St. Eustatius;2017;0;0;0
137;Total maritime and air transport;4 Animal and vegetable oils, fats and...;St. Eustatius;2018;10;10;0
138;Total maritime and air transport;4 Animal and vegetable oils, fats and...;Saba;2013;0;0;0
139;Total maritime and air transport;4 Animal and vegetable oils, fats and...;Saba;2014;0;0;0
140;Total maritime and air transport;4 Animal and vegetable oils, fats and...;Saba;2015;0;0;0
141;Total maritime and air transport;4 Animal and vegetable oils, fats and...;Saba;2016;0;0;0
142;Total maritime and air transport;4 Animal and vegetable oils, fats and...;Saba;2017;0;0;0
143;Total maritime and air transport;4 Animal and vegetable oils, fats and...;Saba;2018;0;0;0
144;Total maritime and air transport;5 Chemicals and related products, n.e.s.;Caribbean Netherlands;2013;2090;2090;0
145;Total maritime and air transport;5 Chemicals and related products, n.e.s.;Caribbean Netherlands;2014;2280;2270;10
146;Total maritime and air transport;5 Chemicals and related products, n.e.s.;Caribbean Netherlands;2015;3270;3220;40
147;Total maritime and air transport;5 Chemicals and related products, n.e.s.;Caribbean Netherlands;2016;3220;3190;30
148;Total maritime and air transport;5 Chemicals and related products, n.e.s.;Caribbean Netherlands;2017;6360;6340;30
149;Total maritime and air transport;5 Chemicals and related products, n.e.s.;Caribbean Netherlands;2018;4070;4000;80
150;Total maritime and air transport;5 Chemicals and related products, n.e.s.;Bonaire;2013;2040;2040;0
151;Total maritime and air transport;5 Chemicals and related products, n.e.s.;Bonaire;2014;2220;2210;10
152;Total maritime and air transport;5 Chemicals and related products, n.e.s.;Bonaire;2015;3210;3160;40
153;Total maritime and air transport;5 Chemicals and related products, n.e.s.;Bonaire;2016;3140;3110;30
154;Total maritime and air transport;5 Chemicals and related products, n.e.s.;Bonaire;2017;6010;5980;30
155;Total maritime and air transport;5 Chemicals and related products, n.e.s.;Bonaire;2018;3520;3450;70
156;Total maritime and air transport;5 Chemicals and related products, n.e.s.;St. Eustatius;2013;50;50;0
157;Total maritime and air transport;5 Chemicals and related products, n.e.s.;St. Eustatius;2014;60;60;0
158;Total maritime and air transport;5 Chemicals and related products, n.e.s.;St. Eustatius;2015;60;60;0
159;Total maritime and air transport;5 Chemicals and related products, n.e.s.;St. Eustatius;2016;80;80;0
160;Total maritime and air transport;5 Chemicals and related products, n.e.s.;St. Eustatius;2017;350;350;0
161;Total maritime and air transport;5 Chemicals and related products, n.e.s.;St. Eustatius;2018;550;550;10
162;Total maritime and air transport;5 Chemicals and related products, n.e.s.;Saba;2013;0;0;0
163;Total maritime and air transport;5 Chemicals and related products, n.e.s.;Saba;2014;0;0;0
164;Total maritime and air transport;5 Chemicals and related products, n.e.s.;Saba;2015;0;0;0
165;Total maritime and air transport;5 Chemicals and related products, n.e.s.;Saba;2016;0;0;0
166;Total maritime and air transport;5 Chemicals and related products, n.e.s.;Saba;2017;10;10;0
167;Total maritime and air transport;5 Chemicals and related products, n.e.s.;Saba;2018;10;10;0
168;Total maritime and air transport;6 Manufactured goods classified chief...;Caribbean Netherlands;2013;19160;18480;690
169;Total maritime and air transport;6 Manufactured goods classified chief...;Caribbean Netherlands;2014;16170;16020;150
170;Total maritime and air transport;6 Manufactured goods classified chief...;Caribbean Netherlands;2015;25030;24620;400
171;Total maritime and air transport;6 Manufactured goods classified chief...;Caribbean Netherlands;2016;30400;29370;1030
172;Total maritime and air transport;6 Manufactured goods classified chief...;Caribbean Netherlands;2017;24390;23240;1150
173;Total maritime and air transport;6 Manufactured goods classified chief...;Caribbean Netherlands;2018;37750;36450;1300
174;Total maritime and air transport;6 Manufactured goods classified chief...;Bonaire;2013;19150;18470;690
175;Total maritime and air transport;6 Manufactured goods classified chief...;Bonaire;2014;16160;16010;150
176;Total maritime and air transport;6 Manufactured goods classified chief...;Bonaire;2015;25000;24590;400
177;Total maritime and air transport;6 Manufactured goods classified chief...;Bonaire;2016;30360;29330;1030
178;Total maritime and air transport;6 Manufactured goods classified chief...;Bonaire;2017;23980;22840;1140
179;Total maritime and air transport;6 Manufactured goods classified chief...;Bonaire;2018;35990;34690;1300
180;Total maritime and air transport;6 Manufactured goods classified chief...;St. Eustatius;2013;0;0;0
181;Total maritime and air transport;6 Manufactured goods classified chief...;St. Eustatius;2014;10;10;0
182;Total maritime and air transport;6 Manufactured goods classified chief...;St. Eustatius;2015;10;10;0
183;Total maritime and air transport;6 Manufactured goods classified chief...;St. Eustatius;2016;30;30;0
184;Total maritime and air transport;6 Manufactured goods classified chief...;St. Eustatius;2017;400;400;0
185;Total maritime and air transport;6 Manufactured goods classified chief...;St. Eustatius;2018;1750;1750;0
186;Total maritime and air transport;6 Manufactured goods classified chief...;Saba;2013;10;10;0
187;Total maritime and air transport;6 Manufactured goods classified chief...;Saba;2014;0;0;0
188;Total maritime and air transport;6 Manufactured goods classified chief...;Saba;2015;20;20;0
189;Total maritime and air transport;6 Manufactured goods classified chief...;Saba;2016;10;10;0
190;Total maritime and air transport;6 Manufactured goods classified chief...;Saba;2017;10;0;0
191;Total maritime and air transport;6 Manufactured goods classified chief...;Saba;2018;10;10;0
192;Total maritime and air transport;7 Machinery and transport equipment;Caribbean Netherlands;2013;6130;5570;570
193;Total maritime and air transport;7 Machinery and transport equipment;Caribbean Netherlands;2014;4480;4110;370
194;Total maritime and air transport;7 Machinery and transport equipment;Caribbean Netherlands;2015;6350;5940;410
195;Total maritime and air transport;7 Machinery and transport equipment;Caribbean Netherlands;2016;9400;9090;310
196;Total maritime and air transport;7 Machinery and transport equipment;Caribbean Netherlands;2017;8680;8350;320
197;Total maritime and air transport;7 Machinery and transport equipment;Caribbean Netherlands;2018;8220;7960;260
198;Total maritime and air transport;7 Machinery and transport equipment;Bonaire;2013;5410;4870;540
199;Total maritime and air transport;7 Machinery and transport equipment;Bonaire;2014;3960;3600;360
200;Total maritime and air transport;7 Machinery and transport equipment;Bonaire;2015;5820;5420;400
201;Total maritime and air transport;7 Machinery and transport equipment;Bonaire;2016;9070;8780;290
202;Total maritime and air transport;7 Machinery and transport equipment;Bonaire;2017;7970;7670;310
203;Total maritime and air transport;7 Machinery and transport equipment;Bonaire;2018;7050;6800;250
204;Total maritime and air transport;7 Machinery and transport equipment;St. Eustatius;2013;610;600;10
205;Total maritime and air transport;7 Machinery and transport equipment;St. Eustatius;2014;140;140;0
206;Total maritime and air transport;7 Machinery and transport equipment;St. Eustatius;2015;270;270;0
207;Total maritime and air transport;7 Machinery and transport equipment;St. Eustatius;2016;160;160;0
208;Total maritime and air transport;7 Machinery and transport equipment;St. Eustatius;2017;420;420;10
209;Total maritime and air transport;7 Machinery and transport equipment;St. Eustatius;2018;910;890;10
210;Total maritime and air transport;7 Machinery and transport equipment;Saba;2013;110;100;20
211;Total maritime and air transport;7 Machinery and transport equipment;Saba;2014;380;370;10
212;Total maritime and air transport;7 Machinery and transport equipment;Saba;2015;260;250;10
213;Total maritime and air transport;7 Machinery and transport equipment;Saba;2016;170;150;20
214;Total maritime and air transport;7 Machinery and transport equipment;Saba;2017;280;270;10
215;Total maritime and air transport;7 Machinery and transport equipment;Saba;2018;270;260;0
216;Total maritime and air transport;8 Miscellaneous manufactured articles;Caribbean Netherlands;2013;1850;1830;30
217;Total maritime and air transport;8 Miscellaneous manufactured articles;Caribbean Netherlands;2014;2130;2100;30
218;Total maritime and air transport;8 Miscellaneous manufactured articles;Caribbean Netherlands;2015;2380;2320;50
219;Total maritime and air transport;8 Miscellaneous manufactured articles;Caribbean Netherlands;2016;3150;3140;10
220;Total maritime and air transport;8 Miscellaneous manufactured articles;Caribbean Netherlands;2017;3160;3140;20
221;Total maritime and air transport;8 Miscellaneous manufactured articles;Caribbean Netherlands;2018;2980;2950;40
222;Total maritime and air transport;8 Miscellaneous manufactured articles;Bonaire;2013;1850;1830;30
223;Total maritime and air transport;8 Miscellaneous manufactured articles;Bonaire;2014;2130;2100;30
224;Total maritime and air transport;8 Miscellaneous manufactured articles;Bonaire;2015;2350;2290;50
225;Total maritime and air transport;8 Miscellaneous manufactured articles;Bonaire;2016;3140;3130;10
226;Total maritime and air transport;8 Miscellaneous manufactured articles;Bonaire;2017;3090;3070;20
227;Total maritime and air transport;8 Miscellaneous manufactured articles;Bonaire;2018;2870;2840;30
228;Total maritime and air transport;8 Miscellaneous manufactured articles;St. Eustatius;2013;0;0;0
229;Total maritime and air transport;8 Miscellaneous manufactured articles;St. Eustatius;2014;0;0;0
230;Total maritime and air transport;8 Miscellaneous manufactured articles;St. Eustatius;2015;0;0;0
231;Total maritime and air transport;8 Miscellaneous manufactured articles;St. Eustatius;2016;0;0;0
232;Total maritime and air transport;8 Miscellaneous manufactured articles;St. Eustatius;2017;70;70;0
233;Total maritime and air transport;8 Miscellaneous manufactured articles;St. Eustatius;2018;110;110;0
234;Total maritime and air transport;8 Miscellaneous manufactured articles;Saba;2013;0;0;0
235;Total maritime and air transport;8 Miscellaneous manufactured articles;Saba;2014;0;0;0
236;Total maritime and air transport;8 Miscellaneous manufactured articles;Saba;2015;30;30;0
237;Total maritime and air transport;8 Miscellaneous manufactured articles;Saba;2016;10;10;0
238;Total maritime and air transport;8 Miscellaneous manufactured articles;Saba;2017;0;0;0
239;Total maritime and air transport;8 Miscellaneous manufactured articles;Saba;2018;0;0;0
240;Total maritime and air transport;9 Commodities and transactions not cl...;Caribbean Netherlands;2013;20270;19360;900
241;Total maritime and air transport;9 Commodities and transactions not cl...;Caribbean Netherlands;2014;20240;19870;360
242;Total maritime and air transport;9 Commodities and transactions not cl...;Caribbean Netherlands;2015;17970;17680;270
243;Total maritime and air transport;9 Commodities and transactions not cl...;Caribbean Netherlands;2016;10450;10140;310
244;Total maritime and air transport;9 Commodities and transactions not cl...;Caribbean Netherlands;2017;19960;19380;590
245;Total maritime and air transport;9 Commodities and transactions not cl...;Caribbean Netherlands;2018;13000;12080;920
246;Total maritime and air transport;9 Commodities and transactions not cl...;Bonaire;2013;1930;1870;60
247;Total maritime and air transport;9 Commodities and transactions not cl...;Bonaire;2014;6770;6600;160
248;Total maritime and air transport;9 Commodities and transactions not cl...;Bonaire;2015;150;40;110
249;Total maritime and air transport;9 Commodities and transactions not cl...;Bonaire;2016;260;60;200
250;Total maritime and air transport;9 Commodities and transactions not cl...;Bonaire;2017;270;120;150
251;Total maritime and air transport;9 Commodities and transactions not cl...;Bonaire;2018;180;0;170
252;Total maritime and air transport;9 Commodities and transactions not cl...;St. Eustatius;2013;13540;12690;840
253;Total maritime and air transport;9 Commodities and transactions not cl...;St. Eustatius;2014;9610;9420;190
254;Total maritime and air transport;9 Commodities and transactions not cl...;St. Eustatius;2015;13300;13160;130
255;Total maritime and air transport;9 Commodities and transactions not cl...;St. Eustatius;2016;7780;7690;90
256;Total maritime and air transport;9 Commodities and transactions not cl...;St. Eustatius;2017;15870;15480;380
257;Total maritime and air transport;9 Commodities and transactions not cl...;St. Eustatius;2018;8750;8120;630
258;Total maritime and air transport;9 Commodities and transactions not cl...;Saba;2013;4800;4800;0
259;Total maritime and air transport;9 Commodities and transactions not cl...;Saba;2014;3860;3850;10
260;Total maritime and air transport;9 Commodities and transactions not cl...;Saba;2015;4520;4480;30
261;Total maritime and air transport;9 Commodities and transactions not cl...;Saba;2016;2410;2390;20
262;Total maritime and air transport;9 Commodities and transactions not cl...;Saba;2017;3830;3780;60
263;Total maritime and air transport;9 Commodities and transactions not cl...;Saba;2018;4080;3960;120
264;Maritime transport;Total goods;Caribbean Netherlands;2013;221090;103910;117170
265;Maritime transport;Total goods;Caribbean Netherlands;2014;222020;120170;101840
266;Maritime transport;Total goods;Caribbean Netherlands;2015;247080;162840;84240
267;Maritime transport;Total goods;Caribbean Netherlands;2016;192080;166870;25210
268;Maritime transport;Total goods;Caribbean Netherlands;2017;338100;202620;135470
269;Maritime transport;Total goods;Caribbean Netherlands;2018;290780;225200;65590
270;Maritime transport;Total goods;Bonaire;2013;199330;83030;116300
271;Maritime transport;Total goods;Bonaire;2014;204260;102620;101630
272;Maritime transport;Total goods;Bonaire;2015;223080;139010;84060
273;Maritime transport;Total goods;Bonaire;2016;177040;151960;25080
274;Maritime transport;Total goods;Bonaire;2017;312520;177500;135010
275;Maritime transport;Total goods;Bonaire;2018;270040;205230;64820
276;Maritime transport;Total goods;St. Eustatius;2013;15770;14920;850
277;Maritime transport;Total goods;St. Eustatius;2014;11430;11240;190
278;Maritime transport;Total goods;St. Eustatius;2015;15820;15690;130
279;Maritime transport;Total goods;St. Eustatius;2016;10330;10240;90
280;Maritime transport;Total goods;St. Eustatius;2017;19920;19530;390
281;Maritime transport;Total goods;St. Eustatius;2018;15240;14590;650
282;Maritime transport;Total goods;Saba;2013;5990;5960;20
283;Maritime transport;Total goods;Saba;2014;6330;6310;20
284;Maritime transport;Total goods;Saba;2015;8180;8140;50
285;Maritime transport;Total goods;Saba;2016;4710;4670;40
286;Maritime transport;Total goods;Saba;2017;5650;5590;70
287;Maritime transport;Total goods;Saba;2018;5500;5380;120
288;Maritime transport;0 Food and live animals;Caribbean Netherlands;2013;12250;12230;20
289;Maritime transport;0 Food and live animals;Caribbean Netherlands;2014;13790;13780;10
290;Maritime transport;0 Food and live animals;Caribbean Netherlands;2015;16480;16470;10
291;Maritime transport;0 Food and live animals;Caribbean Netherlands;2016;17230;17230;0
292;Maritime transport;0 Food and live animals;Caribbean Netherlands;2017;16820;16820;0
293;Maritime transport;0 Food and live animals;Caribbean Netherlands;2018;16520;16510;10
294;Maritime transport;0 Food and live animals;Bonaire;2013;11480;11460;20
295;Maritime transport;0 Food and live animals;Bonaire;2014;12860;12850;10
296;Maritime transport;0 Food and live animals;Bonaire;2015;15400;15390;10
297;Maritime transport;0 Food and live animals;Bonaire;2016;15980;15980;0
298;Maritime transport;0 Food and live animals;Bonaire;2017;15790;15790;0
299;Maritime transport;0 Food and live animals;Bonaire;2018;15980;15970;10
300;Maritime transport;0 Food and live animals;St. Eustatius;2013;180;180;0
301;Maritime transport;0 Food and live animals;St. Eustatius;2014;200;200;0
302;Maritime transport;0 Food and live animals;St. Eustatius;2015;270;270;0
303;Maritime transport;0 Food and live animals;St. Eustatius;2016;240;240;0
304;Maritime transport;0 Food and live animals;St. Eustatius;2017;500;500;0
305;Maritime transport;0 Food and live animals;St. Eustatius;2018;510;510;0
306;Maritime transport;0 Food and live animals;Saba;2013;590;590;0
307;Maritime transport;0 Food and live animals;Saba;2014;730;730;0
308;Maritime transport;0 Food and live animals;Saba;2015;810;810;0
309;Maritime transport;0 Food and live animals;Saba;2016;1010;1010;0
310;Maritime transport;0 Food and live animals;Saba;2017;530;530;0
311;Maritime transport;0 Food and live animals;Saba;2018;40;40;0
312;Maritime transport;1 Beverages and tobacco;Caribbean Netherlands;2013;5780;5780;0
313;Maritime transport;1 Beverages and tobacco;Caribbean Netherlands;2014;6160;6040;120
314;Maritime transport;1 Beverages and tobacco;Caribbean Netherlands;2015;7660;7590;60
315;Maritime transport;1 Beverages and tobacco;Caribbean Netherlands;2016;7130;7090;40
316;Maritime transport;1 Beverages and tobacco;Caribbean Netherlands;2017;7530;7520;0
317;Maritime transport;1 Beverages and tobacco;Caribbean Netherlands;2018;8280;8270;10
318;Maritime transport;1 Beverages and tobacco;Bonaire;2013;5510;5510;0
319;Maritime transport;1 Beverages and tobacco;Bonaire;2014;5920;5800;120
320;Maritime transport;1 Beverages and tobacco;Bonaire;2015;7200;7130;60
321;Maritime transport;1 Beverages and tobacco;Bonaire;2016;6450;6410;40
322;Maritime transport;1 Beverages and tobacco;Bonaire;2017;6660;6650;0
323;Maritime transport;1 Beverages and tobacco;Bonaire;2018;7080;7070;10
324;Maritime transport;1 Beverages and tobacco;St. Eustatius;2013;170;170;0
325;Maritime transport;1 Beverages and tobacco;St. Eustatius;2014;150;150;0
326;Maritime transport;1 Beverages and tobacco;St. Eustatius;2015;390;390;0
327;Maritime transport;1 Beverages and tobacco;St. Eustatius;2016;600;600;0
328;Maritime transport;1 Beverages and tobacco;St. Eustatius;2017;770;770;0
