ID;SBI93;Perioden;Bedrijven_1;TotaalNettoOmzetUitHoofdactiviteit_2;VerzorgenFinancieleAdministraties_3;AdviseringExclusiefBelastingadvies_4;Accountantscontrolewerkzaamheden_5;VerzorgenNietFinancieleAdministraties_6;BelastingAdviesWerkzaamheden_7;OverigeDienstverleningNietElders_8;Bedrijven_9;TotaalNettoOmzetUitHoofdactiviteit_10;OndernemingsstrategieEnOrganisatie_11;FinancieelBeleidEnAdministratief_12;HumanResources_13;DistributieManagementVanDiensten_14;MarketingEnCorporateCommunication_15;InformatietechnologieEnSystemen_16;ProjectManagement_17;EconomischeEnMilieustudies_18;MarktEnOpinieonderzoek_19;PublicRelations_20;OverigEconomischOnderzoekEnAdvies_21;OverigeDienstverleningNietElders_22;TotaalNettoOmzetUitOverigeActiv_23;VerkopenVanZelfvervaardigdeProducten_24;Handel_25;OverigeDienstverleningNietElders_26;Bedrijven_27;TotaalNettoOmzetUitHoofdactiviteit_28;BurgerlijkeEnUtiliteitsbouw_29;StedebouwVerkeerskundePlanologie_30;GrondWegEnWaterbouw_31;ElektroInstallatietechniekEnTel_32;WerktuigMachineEnApparatenbouw_33;Procestechniek_34;MilieutechniekEnAdvies_35;OverigTechnischOntwerpNietElders_36;OverigeDienstverleningNietElders_37;Bedrijven_38;TotaalNettoOmzetUitHoofdactiviteit_39;KeuringEnControleVanAgrarischeP_40;KeuringEnControleVanMachinesAp_41;OverigeKeuringEnControleNietEld_42;OverigeDienstverleningNietElders_43;TotaalNettoOmzetUitOverigeActiv_44;VerkopenVanZelfvervaardigdeProducten_45;Handel_46;OverigeDienstverleningNietElders_47;Bedrijven_48;TotaalNettoOmzetUitHoofdactiviteit_49;ReclamedienstenTenBehoeveVanPers_50;ReclamedienstenTbvVanRadioEnTe_51;Buitenreclame_52;Bioscoopreclame_53;ReclamedienstenTbvOverigeMedia_54;CreatiefWerkMbtReclame_55;ReproductiematerialenMbtReclame_56;Reclamedrukwerk_57;VerspreidenVanReclamedrukwerk_58;FeesTenBehoeveVanReclame_59;PromotieactiviteitenEnCampagnes_60;VerzorgenVanShowroomsEnStands_61;OverigeReclamediensten_62;OverigeDienstverleningNietElders_63;Bedrijven_64;TotaleOmzetUitBeveiligingsactiviteit_65;Persoonsbeveiliging_66;BedrijfsbeveiligingWinkel_67;BedrijfsbeveiligingToegangscontrole_68;BedrijfsbeveiligingSurveillance_69;BedrijfsbeveiligingOverig_70;OrdedienstenBijOpenbareEvenementen_71;Brandwachtdiensten_72;Sleutelbewaring_73;BeveiligingParkeerplaatsenEnGarages_74;OverigeBeveiligingsactiviteiten_75;Bedrijven_76;TotaalNettoOmzetUitHoofdactiviteit_77;ReinigingInterieurVanGebouwen_78;Glazenwassen_79;BrandEnRoetreiniging_80;Gevelreiniging_81;Schoorsteenreiniging_82;ReinigingTransportmiddelenExclusi_83;IndustrieelSchoonmakenExclLevensm_84;IndustrieelSchoonmakenLevensmiddel_85;ReinigingsactiviteitenGezondheidszorg_86;Asbestsanering_87;OverigeReinigingsEnSchoonmaakact_88;OverigeDienstverleningNietElders_89;Bedrijven_90;TotaalNettoOmzetUitHoofdactiviteit_91;NatwassenVanKledingEnTextiel_92;OppersenStrijkenVanKledingTextiel_93;SteriliserenVanKledingEnLinnen_94;Tapijtreiniging_95;VerhuurVanLinnenEnBedrijfskleding_96;ChemischReinigen_97;OppersenEnVerven_98;DepothoudenEnOfWasverzenden_99;WasserettesWassalons_100;OverigeDienstverleningNietElders_101;TotaalNettoOmzetOverigeActiviteiten_102;Handel_103;OverigeDienstverleningNietElders_104
16;742 Architecten-, ingenieurs- en ..;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;14985.0;9825.0;2059.0;851.0;876.0;576.0;739.0;1336.0;620.0;1071.0;1698.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;742 Architecten-, ingenieurs- en ..;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;15265.0;9322.0;2323.0;945.0;774.0;554.0;661.0;810.0;673.0;923.0;1659.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;742 Architecten-, ingenieurs- en ..;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;15950.0;9548.0;2485.0;916.0;818.0;556.0;684.0;1025.0;674.0;1256.0;1133.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;742 Architecten-, ingenieurs- en ..;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;16470.0;10483.0;2660.0;934.0;992.0;804.0;884.0;1070.0;677.0;1421.0;1040.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;743 Keuring en controle;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;550.0;804.0;130.0;276.0;248.0;150.0;22.0;1.0;10.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;743 Keuring en controle;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;580.0;874.0;142.0;305.0;287.0;141.0;46.0;0.0;3.0;43.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;743 Keuring en controle;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;620.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;743 Keuring en controle;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;655.0;959.0;157.0;392.0;333.0;77.0;54.0;0.0;17.0;37.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;744 Reclamebureaus en dergelijke;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11925.0;6037.0;880.0;1224.0;409.0;11.0;293.0;648.0;96.0;503.0;143.0;67.0;123.0;257.0;649.0;734.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;744 Reclamebureaus en dergelijke;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12060.0;6281.0;868.0;1328.0;305.0;14.0;391.0;920.0;108.0;520.0;129.0;178.0;95.0;231.0;692.0;502.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;744 Reclamebureaus en dergelijke;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12550.0;6528.0;1056.0;1585.0;333.0;17.0;256.0;813.0;83.0;539.0;182.0;57.0;118.0;249.0;742.0;496.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;744 Reclamebureaus en dergelijke;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12625.0;6555.0;853.0;1530.0;316.0;9.0;265.0;786.0;91.0;561.0;258.0;62.0;125.0;237.0;908.0;557.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;746 Beveiliging en opsporing;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;920.0;1058.0;23.0;200.0;476.0;125.0;88.0;50.0;6.0;6.0;17.0;67.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;746 Beveiliging en opsporing;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1040.0;1230.0;22.0;219.0;442.0;155.0;93.0;50.0;7.0;15.0;8.0;219.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;746 Beveiliging en opsporing;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1160.0;1237.0;9.0;242.0;420.0;161.0;104.0;56.0;10.0;14.0;7.0;213.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;746 Beveiliging en opsporing;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1250.0;1411.0;7.0;242.0;473.0;169.0;103.0;63.0;12.0;16.0;10.0;316.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;74701 Reiniging van gebouwen;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5470.0;3028.0;2115.0;226.0;79.0;98.0;5.0;48.0;52.0;69.0;16.0;2.0;134.0;183.0;;;;;;;;;;;;;;;
33;74701 Reiniging van gebouwen;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5670.0;3216.0;2156.0;334.0;104.0;79.0;18.0;32.0;63.0;80.0;68.0;5.0;102.0;177.0;;;;;;;;;;;;;;;
34;74701 Reiniging van gebouwen;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5985.0;3291.0;2246.0;262.0;66.0;82.0;10.0;39.0;34.0;71.0;74.0;0.0;123.0;285.0;;;;;;;;;;;;;;;
35;74701 Reiniging van gebouwen;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6085.0;3334.0;2347.0;308.0;112.0;53.0;7.0;36.0;38.0;81.0;61.0;1.0;141.0;149.0;;;;;;;;;;;;;;;
36;74702 Reiniging van transportmiddelen ..;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560.0;495.0;22.0;3.0;0.0;1.0;0.0;55.0;229.0;34.0;0.0;2.0;110.0;40.0;;;;;;;;;;;;;;;
37;74702 Reiniging van transportmiddelen ..;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;565.0;498.0;19.0;4.0;4.0;2.0;1.0;11.0;258.0;8.0;0.0;0.0;123.0;67.0;;;;;;;;;;;;;;;
38;74702 Reiniging van transportmiddelen ..;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;565.0;478.0;11.0;3.0;3.0;1.0;1.0;13.0;234.0;29.0;0.0;0.0;87.0;97.0;;;;;;;;;;;;;;;
39;74702 Reiniging van transportmiddelen ..;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;600.0;509.0;15.0;2.0;2.0;0.0;0.0;36.0;264.0;24.0;0.0;0.0;91.0;75.0;;;;;;;;;;;;;;;
40;9301 Reinigen van kleding en textiel;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1065.0;747.0;304.0;13.0;12.0;6.0;233.0;82.0;6.0;16.0;21.0;54.0;43.0;41.0;2.0
41;9301 Reinigen van kleding en textiel;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1040.0;729.0;301.0;15.0;8.0;8.0;277.0;61.0;6.0;6.0;12.0;35.0;19.0;18.0;1.0
42;9301 Reinigen van kleding en textiel;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1030.0;746.0;289.0;14.0;6.0;11.0;318.0;54.0;6.0;11.0;17.0;20.0;16.0;10.0;7.0
43;9301 Reinigen van kleding en textiel;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;975.0;798.0;295.0;19.0;14.0;8.0;341.0;57.0;12.0;21.0;11.0;20.0;15.0;6.0;9.0
