ID;AangebodenDiensten;SoortCijfers;Perioden;TotaalAanbod_1;TotaalBedrijven_2;TotaalHorecabedrijven_3;Accommodatiebedrijven_4;RestaurantsEnCafes_5;TotaalVervoersbedrijven_6;Vervoersbedrijven_7;ReisbureausED_8;TotaalCultuurSportEnRecreatie_9;CultureleInstellingen_10;OverigeRecreatiebedrijven_11;OverigeBedrijven_12;AanbodViaInvoer_13;AanbodViaProductgebBelEnSubs_14;AanbodViaHandelsVervoersmarges_15
53;Totaal aanbod horecadiensten;Prijsniveau 2005;2010;10254;10257;9367;3294;6071;3;3;0;675;260;415;213;0;0;0
54;Totaal aanbod horecadiensten;Prijsniveau 2005;2011;10394;10397;9500;3353;6145;3;3;0;682;263;419;213;0;0;0
55;Totaal aanbod horecadiensten;Lopende prijzen;2001;10655;10655;9902;3157;6745;4;4;0;561;196;365;188;0;0;0
56;Totaal aanbod horecadiensten;Lopende prijzen;2002;10952;10952;10172;3301;6871;4;4;0;588;206;382;188;0;0;0
57;Totaal aanbod horecadiensten;Lopende prijzen;2003;10703;10703;9866;3246;6620;3;3;0;623;223;400;211;0;0;0
58;Totaal aanbod horecadiensten;Lopende prijzen;2004;10843;10843;9987;3343;6644;2;2;0;639;237;402;215;0;0;0
59;Totaal aanbod horecadiensten;Lopende prijzen;2005;11094;11094;10228;3463;6765;3;3;0;657;247;410;206;0;0;0
60;Totaal aanbod horecadiensten;Lopende prijzen;2006;11615;11615;10712;3639;7073;3;3;0;692;263;429;208;0;0;0
61;Totaal aanbod horecadiensten;Lopende prijzen;2007;12247;12247;11294;3902;7392;4;4;0;732;283;449;217;0;0;0
62;Totaal aanbod horecadiensten;Lopende prijzen;2008;12314;12314;11320;3963;7357;4;4;0;763;295;468;227;0;0;0
63;Totaal aanbod horecadiensten;Lopende prijzen;2009;11768;11768;10759;3731;7028;4;4;0;775;300;475;230;0;0;0
64;Totaal aanbod horecadiensten;Lopende prijzen;2010;11732;11732;10715;3710;7005;3;3;0;775;300;475;239;0;0;0
65;Totaal aanbod horecadiensten;Lopende prijzen;2011;12182;12182;11134;3864;7270;3;3;0;800;310;490;245;0;0;0
66;Aanbod accommodatiediensten;Prijsniveau 2005;2001;2459;2459;2411;2364;47;0;0;0;0;0;0;48;0;0;0
67;Aanbod accommodatiediensten;Prijsniveau 2005;2002;2424;2424;2376;2331;45;0;0;0;0;0;0;48;0;0;0
68;Aanbod accommodatiediensten;Prijsniveau 2005;2003;2346;2346;2299;2256;43;0;0;0;0;0;0;47;0;0;0
69;Aanbod accommodatiediensten;Prijsniveau 2005;2004;2384;2384;2336;2293;43;0;0;0;0;0;0;48;0;0;0
70;Aanbod accommodatiediensten;Prijsniveau 2005;2005;2431;2431;2383;2340;43;0;0;0;0;0;0;48;0;0;0
71;Aanbod accommodatiediensten;Prijsniveau 2005;2006;2497;2497;2447;2403;44;0;0;0;0;0;0;50;0;0;0
72;Aanbod accommodatiediensten;Prijsniveau 2005;2007;2590;2590;2538;2493;45;0;0;0;0;0;0;52;0;0;0
73;Aanbod accommodatiediensten;Prijsniveau 2005;2008;2553;2553;2499;2455;44;0;0;0;0;0;0;54;0;0;0
74;Aanbod accommodatiediensten;Prijsniveau 2005;2009;2389;2389;2338;2296;42;0;0;0;0;0;0;51;0;0;0
75;Aanbod accommodatiediensten;Prijsniveau 2005;2010;2331;2331;2273;2232;41;0;0;0;0;0;0;58;0;0;0
76;Aanbod accommodatiediensten;Prijsniveau 2005;2011;2362;2362;2306;2265;41;0;0;0;0;0;0;56;0;0;0
77;Aanbod accommodatiediensten;Lopende prijzen;2001;2236;2236;2191;2145;46;0;0;0;0;0;0;45;0;0;0
78;Aanbod accommodatiediensten;Lopende prijzen;2002;2352;2352;2307;2260;47;0;0;0;0;0;0;45;0;0;0
79;Aanbod accommodatiediensten;Lopende prijzen;2003;2323;2323;2278;2233;45;0;0;0;0;0;0;45;0;0;0
80;Aanbod accommodatiediensten;Lopende prijzen;2004;2373;2373;2326;2283;43;0;0;0;0;0;0;47;0;0;0
81;Aanbod accommodatiediensten;Lopende prijzen;2005;2431;2431;2383;2340;43;0;0;0;0;0;0;48;0;0;0
82;Aanbod accommodatiediensten;Lopende prijzen;2006;2546;2546;2496;2452;44;0;0;0;0;0;0;50;0;0;0
83;Aanbod accommodatiediensten;Lopende prijzen;2007;2726;2726;2674;2628;46;0;0;0;0;0;0;52;0;0;0
84;Aanbod accommodatiediensten;Lopende prijzen;2008;2786;2786;2731;2684;47;0;0;0;0;0;0;55;0;0;0
85;Aanbod accommodatiediensten;Lopende prijzen;2009;2598;2598;2543;2500;43;0;0;0;0;0;0;55;0;0;0
86;Aanbod accommodatiediensten;Lopende prijzen;2010;2591;2591;2527;2484;43;0;0;0;0;0;0;64;0;0;0
87;Aanbod accommodatiediensten;Lopende prijzen;2011;2691;2691;2628;2583;45;0;0;0;0;0;0;63;0;0;0
88;Aanbod maaltijd en drankverstrekking;Prijsniveau 2005;2001;9625;9624;8804;1150;7655;4;4;0;651;226;425;165;0;0;0
89;Aanbod maaltijd en drankverstrekking;Prijsniveau 2005;2002;9195;9195;8406;1108;7299;4;4;0;632;219;412;153;0;0;0
90;Aanbod maaltijd en drankverstrekking;Prijsniveau 2005;2003;8718;8718;7891;1053;6837;3;3;0;653;232;420;172;0;0;0
91;Aanbod maaltijd en drankverstrekking;Prijsniveau 2005;2004;8649;8649;7822;1083;6739;2;2;0;655;242;412;171;0;0;0
92;Aanbod maaltijd en drankverstrekking;Prijsniveau 2005;2005;8663;8663;7845;1123;6722;3;3;0;657;247;410;158;0;0;0
93;Aanbod maaltijd en drankverstrekking;Prijsniveau 2005;2006;8886;8886;8049;1164;6885;3;3;0;678;257;420;156;0;0;0
94;Aanbod maaltijd en drankverstrekking;Prijsniveau 2005;2007;9043;9041;8184;1213;6971;4;4;0;694;267;426;159;0;0;0
95;Aanbod maaltijd en drankverstrekking;Prijsniveau 2005;2008;8719;8717;7850;1170;6680;4;4;0;703;270;432;161;0;0;0
96;Aanbod maaltijd en drankverstrekking;Prijsniveau 2005;2009;8127;8125;7275;1091;6184;4;4;0;689;265;424;158;0;0;0
97;Aanbod maaltijd en drankverstrekking;Prijsniveau 2005;2010;7927;7925;7093;1064;6030;3;3;0;675;260;415;154;0;0;0
98;Aanbod maaltijd en drankverstrekking;Prijsniveau 2005;2011;8035;8033;7193;1090;6104;3;3;0;682;263;419;156;0;0;0
99;Aanbod maaltijd en drankverstrekking;Lopende prijzen;2001;8419;8419;7711;1012;6699;4;4;0;561;196;365;143;0;0;0
100;Aanbod maaltijd en drankverstrekking;Lopende prijzen;2002;8600;8600;7865;1041;6824;4;4;0;588;206;382;143;0;0;0
101;Aanbod maaltijd en drankverstrekking;Lopende prijzen;2003;8380;8380;7588;1013;6575;3;3;0;623;223;400;166;0;0;0
102;Aanbod maaltijd en drankverstrekking;Lopende prijzen;2004;8470;8470;7661;1060;6601;2;2;0;639;237;402;168;0;0;0
103;Aanbod maaltijd en drankverstrekking;Lopende prijzen;2005;8663;8663;7845;1123;6722;3;3;0;657;247;410;158;0;0;0
104;Aanbod maaltijd en drankverstrekking;Lopende prijzen;2006;9069;9069;8216;1187;7029;3;3;0;692;263;429;158;0;0;0
105;Aanbod maaltijd en drankverstrekking;Lopende prijzen;2007;9521;9521;8620;1274;7346;4;4;0;732;283;449;165;0;0;0
106;Aanbod maaltijd en drankverstrekking;Lopende prijzen;2008;9528;9528;8589;1279;7310;4;4;0;763;295;468;172;0;0;0
107;Aanbod maaltijd en drankverstrekking;Lopende prijzen;2009;9170;9170;8216;1231;6985;4;4;0;775;300;475;175;0;0;0
108;Aanbod maaltijd en drankverstrekking;Lopende prijzen;2010;9141;9141;8188;1226;6962;3;3;0;775;300;475;175;0;0;0
109;Aanbod maaltijd en drankverstrekking;Lopende prijzen;2011;9491;9491;8506;1281;7225;3;3;0;800;310;490;182;0;0;0
110;Totaal aanbod vervoersdiensten;Prijsniveau 2005;2001;5391;5966;0;0;0;5952;5044;907;0;0;0;14;0;-579;0
111;Totaal aanbod vervoersdiensten;Prijsniveau 2005;2002;5428;5999;0;0;0;5986;5059;926;0;0;0;13;0;-574;0
112;Totaal aanbod vervoersdiensten;Prijsniveau 2005;2003;5380;5957;0;0;0;5946;4982;964;0;0;0;11;0;-581;0
113;Totaal aanbod vervoersdiensten;Prijsniveau 2005;2004;5608;6176;0;0;0;6165;5187;978;0;0;0;11;0;-570;0
114;Totaal aanbod vervoersdiensten;Prijsniveau 2005;2005;5790;6355;0;0;0;6344;5382;962;0;0;0;11;0;-565;0
115;Totaal aanbod vervoersdiensten;Prijsniveau 2005;2006;5952;6539;0;0;0;6528;5572;957;0;0;0;11;0;-588;0
116;Totaal aanbod vervoersdiensten;Prijsniveau 2005;2007;6313;6904;0;0;0;6893;5889;1004;0;0;0;11;0;-596;0
