ID;Perioden;Totaal1eEn2eGeneratie_1;k_1eGeneratie_2;k_2eGeneratie_3;Totaal1eEn2eGeneratie_4;k_1eGeneratie_5;k_2eGeneratie_6;Totaal1eEn2eGeneratie_7;k_1eGeneratie_8;k_2eGeneratie_9;KindNietWestersAllochtoon_10;KindWestersAllochtoon_11;NietWesterseAllochtonen_12;WesterseAllochtonen_13;NietWesterseAllochtonen_14;WesterseAllochtonen_15;NietWesterseAllochtonen_16;WesterseAllochtonen_17
34;2044;4945775.0;2412363.0;2533411.0;2949006.0;1424973.0;1524033.0;1996769.0;987390.0;1009378.0;25947;17239;57050;60237;36495;44077;20555;16160
35;2045;4981127.0;2425681.0;2555446.0;2973978.0;1431161.0;1542816.0;2007149.0;994519.0;1012630.0;25957;17307;57050;60237;36561;44063;20489;16174
36;2046;5015844.0;2438504.0;2577340.0;2998317.0;1436873.0;1561443.0;2017528.0;1001631.0;1015897.0;25965;17378;57050;60237;36619;44050;20431;16187
37;2047;5049928.0;2450847.0;2599081.0;3022003.0;1442119.0;1579885.0;2027925.0;1008729.0;1019197.0;25979;17446;57050;60237;36671;44039;20379;16199
38;2048;5083392.0;2462724.0;2620669.0;3045050.0;1446910.0;1598140.0;2038342.0;1015814.0;1022528.0;25994;17513;57050;60237;36718;44029;20332;16208
39;2049;5116230.0;2474139.0;2642091.0;3067468.0;1451257.0;1616211.0;2048763.0;1022882.0;1025881.0;26008;17576;57050;60237;36760;44021;20290;16216
40;2050;5148421.0;2485100.0;2663320.0;3089245.0;1455177.0;1634068.0;2059175.0;1029923.0;1029252.0;26032;17642;57050;60237;36798;44014;20253;16223
41;2051;5179969.0;2495609.0;2684360.0;3110396.0;1458684.0;1651712.0;2069573.0;1036925.0;1032648.0;26053;17699;57050;60237;36832;44009;20218;16228
42;2052;5210863.0;2505669.0;2705194.0;3130930.0;1461797.0;1669134.0;2079933.0;1043873.0;1036060.0;26078;17756;57050;60237;36863;44005;20187;16232
43;2053;5241098.0;2515295.0;2725804.0;3150844.0;1464541.0;1686304.0;2090254.0;1050754.0;1039500.0;26101;17809;57050;60237;36890;44003;20160;16235
44;2054;5270658.0;2524506.0;2746151.0;3170134.0;1466949.0;1703185.0;2100523.0;1057557.0;1042966.0;26122;17858;57050;60237;36915;44000;20135;16237
45;2055;5299571.0;2533326.0;2766245.0;3188820.0;1469054.0;1719765.0;2110752.0;1064271.0;1046480.0;26144;17906;57050;60237;36937;43999;20113;16238
46;2056;5327841.0;2541782.0;2786059.0;3206908.0;1470897.0;1736012.0;2120933.0;1070886.0;1050047.0;26166;17947;57050;60237;36956;43998;20094;16239
47;2057;5355517.0;2549905.0;2805612.0;3224439.0;1472514.0;1751926.0;2131077.0;1077391.0;1053686.0;26186;17983;57050;60237;36972;43998;20078;16239
48;2058;5382613.0;2557727.0;2824886.0;3241421.0;1473947.0;1767474.0;2141192.0;1083780.0;1057412.0;26201;18014;57050;60237;36987;43998;20063;16239
49;2059;5409142.0;2565277.0;2843865.0;3257861.0;1475232.0;1782630.0;2151280.0;1090045.0;1061235.0;26216;18047;57050;60237;37000;43998;20051;16239
50;2060;5435148.0;2572586.0;2862562.0;3273784.0;1476406.0;1797378.0;2161364.0;1096180.0;1065184.0;26216;18047;57050;60237;37010;43999;20040;16239
