ID;Geslacht;Migratieachtergrond;Startjaar;BrugklastypeStartjaar;Peilmoment;OnderwijspositiePeilmoment;TotaalLeerlingenStartjaar_1;ZonderVertraging_2;TotaalMetVertraging_3;VertraagdBinnenGelijkNiveau_4;VertraagdNaarHogerNiveau_5;VertraagdNaarLagerNiveau_6;VertraagdNaarHogerEnLagerNiveau_7;VertraagdNiveauveranderingOnbekend_8;VertragingOnbekend_9;ZonderVertraging_10;TotaalMetVertraging_11;VertraagdBinnenGelijkNiveau_12;VertraagdNaarHogerNiveau_13;VertraagdNaarLagerNiveau_14;VertraagdNaarHogerEnLagerNiveau_15;VertraagdNiveauveranderingOnbekend_16;VertragingOnbekend_17
5347;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;5 jaar na startjaar;Leerlingen in vo op peilmoment;201.0;19.0;168.0;59.0;94.0;4.0;9.0;2.0;14.0;9.0;84.0;29.0;47.0;2.0;4.0;1.0;7.0
5348;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;5 jaar na startjaar;Leerlingen uit vo op peilmoment;7184.0;5634.0;1282.0;921.0;202.0;81.0;64.0;14.0;268.0;78.0;18.0;13.0;3.0;1.0;1.0;0.0;4.0
5349;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;6 jaar na startjaar;Totaal;7385.0;5653.0;1450.0;979.0;297.0;85.0;73.0;16.0;282.0;77.0;20.0;13.0;4.0;1.0;1.0;0.0;4.0
5350;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;6 jaar na startjaar;Leerlingen in vo op peilmoment;40.0;;36.0;6.0;25.0;2.0;3.0;0.0;4.0;;90.0;15.0;63.0;5.0;8.0;0.0;10.0
5351;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;6 jaar na startjaar;Leerlingen uit vo op peilmoment;7345.0;5653.0;1414.0;973.0;272.0;83.0;70.0;16.0;278.0;77.0;19.0;13.0;4.0;1.0;1.0;0.0;4.0
5352;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;7 jaar na startjaar;Totaal;7385.0;5653.0;1450.0;979.0;297.0;85.0;73.0;16.0;282.0;77.0;20.0;13.0;4.0;1.0;1.0;0.0;4.0
5353;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;7 jaar na startjaar;Leerlingen in vo op peilmoment;6.0;;6.0;0.0;6.0;0.0;0.0;0.0;0.0;;100.0;0.0;100.0;0.0;0.0;0.0;0.0
5354;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-basis-kader;7 jaar na startjaar;Leerlingen uit vo op peilmoment;7379.0;5653.0;1444.0;979.0;291.0;85.0;73.0;16.0;282.0;77.0;20.0;13.0;4.0;1.0;1.0;0.0;4.0
5355;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;1 jaar na startjaar;Totaal;3371.0;3239.0;86.0;77.0;0.0;9.0;;;46.0;96.0;3.0;2.0;0.0;0.0;;;1.0
5356;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;1 jaar na startjaar;Leerlingen in vo op peilmoment;3325.0;3239.0;86.0;77.0;0.0;9.0;;;0.0;97.0;3.0;2.0;0.0;0.0;;;0.0
5357;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;1 jaar na startjaar;Leerlingen uit vo op peilmoment;46.0;0.0;0.0;0.0;0.0;0.0;;;46.0;0.0;0.0;0.0;0.0;0.0;;;100.0
