ID;Regio;Bevolkingsdichtheid_1
113;Bergen (L.);53.95
114;Bergen (NH.);155.09
115;Bergen op Zoom;656.52
116;Bergh;141.14
117;Bergharen;78.6
118;Berghem;187.82
119;Bergschenhoek;138.27
120;Berkel en Rodenrijs;220.19
121;Berkel-Enschot;99.14
122;Berkenwoude;77.03
123;Berkhout;110.42
124;Berlicum;140.6
125;Best;118.3
126;Beugen en Rijkevoort;83.48
127;Beuningen;167.48
128;Beusichem;98.0
129;Beverwijk;2045.38
130;Bierum;95.48
131;Biervliet;55.53
132;Biggekerke;92.81
133;Bildt ('t);106.5
134;Bilt (de);371.08
135;Bingelrade;155.9
136;Bladel en Netersel;73.53
137;Blankenham;30.34
138;Blaricum;280.85
139;Bleiswijk;102.08
140;Bleskensgraaf en Hofwege;88.08
141;Bloemendaal;366.25
142;Blokker;168.38
143;Blokzijl;412.45
144;Bocholtz;363.38
145;Bodegraven;247.95
146;Boekel;95.51
147;Bolsward;747.93
148;Bommel (den);116.73
149;Borculo;97.78
150;Borger;76.02
151;Borgharen;358.15
152;Borkel en Schaft;31.0
153;Born;165.35
154;Borne;231.49
155;Borsselen;86.52
156;Boschkapelle;102.56
157;Boskoop;932.69
158;Bovenkarspel;340.98
159;Boxmeer;311.99
160;Boxtel;212.88
161;Brakel;152.12
162;Brandwijk;82.55
163;Breda;3736.32
164;Breskens;398.28
165;Breukelen-Nijenrode;260.09
166;Breukelen-Sint Pieters;107.12
167;Brielle;1948.35
168;Broek in Waterland;70.79
169;Broek op Langedijk;522.34
170;Broekhuizen;85.77
171;Broeksittard;428.1
172;Brouwershaven;546.02
173;Bruinisse;280.81
174;Brummen;110.12
175;Brunssum;1288.03
176;Budel;120.91
177;Buggenum;142.72
178;Bunde;292.72
179;Bunnik;115.9
180;Bunschoten;222.52
181;Buren;92.91
182;Burgh;125.75
183;Bussum;3087.95
184;Buurmalsen;92.35
185;Cadier en Keer;140.2
186;Cadzand;63.56
187;Callantsoog;37.25
188;Capelle aan den IJssel;526.55
189;Castricum;174.26
190;Chaam;66.39
191;Clinge;69.9
192;Coevorden;169.09
193;Colijnsplaat;114.83
194;Cothen;75.35
195;Cromvoirt;47.85
196;Cuijk en Sint Agatha;227.74
197;Culemborg;335.25
198;Dalen;59.05
199;Dalfsen;55.74
200;Dantumadeel;133.03
201;Deil;72.05
202;Delden (Ambt-);42.88
203;Delden (Stad-);1111.67
204;Delft;2955.06
205;Delfzijl;207.2
206;Denekamp;72.04
207;Deurne;88.31
208;Deventer;2527.63
209;Didam;174.88
210;Diemen;337.35
211;Diepenheim;67.06
212;Diepenveen;75.94
213;Diessen;48.33
214;Diever;36.42
215;Dinteloord en Prinsenland;79.28
216;Dinther;105.15
217;Dinxperlo;259.76
218;Dirksland;181.13
219;Dodewaard;120.85
220;Doesburg;1394.05
221;Doetinchem;285.55
222;Dokkum;2330.95
223;Domburg;182.84
224;Dommelen;84.32
225;Dongen;362.68
226;Doniawerstal;54.35
227;Doorn;186.13
228;Doornspijk;54.4
229;Dordrecht;3545.2
230;Dreischor;90.84
231;Dreumel;138.84
232;Driebergen;256.42
233;Driel;146.23
234;Driewegen;92.69
235;Drunen;119.39
236;Druten;213.25
237;Dubbeldam;95.1
238;Duiven;108.71
239;Duivendijke;32.65
240;Dungen (den);183.46
241;Dussen;95.12
242;Dwingeloo;44.2
243;Echt;132.11
244;Echteld;107.2
245;Edam;363.5
246;Ede;93.2
247;Eede;81.78
248;Eelde;131.43
249;Eemnes;61.23
250;Eenrum;82.21
251;Eersel;78.16
252;Eethen;64.94
253;Egmond aan Zee;1606.11
254;Egmond-Binnen;82.68
255;Eibergen;77.97
256;Eijgelshoven;1248.09
257;Eijsden;240.09
258;Eindhoven;1472.98
259;Elburg;305.57
260;Elkerzee;108.57
261;Ellemeet;57.75
262;Ellewoutsdijk;64.73
263;Elsloo;337.58
264;Elst;158.78
265;Emmen;140.77
266;Empel en Meerwijk;50.03
267;Engelen;157.76
268;Enkhuizen;773.12
269;Enschede;7607.2
270;Epe;85.72
271;Ermelo;70.34
272;Erp;80.94
273;Esch;153.15
274;Escharen;72.25
275;Est en Opijnen;154.21
276;Etten en Leur;159.11
277;Everdingen;96.2
278;Ewijk;109.72
279;Ezinge;80.57
280;Ferwerderadeel;98.81
281;Fijnaart en Heijningen;109.52
282;Finsterwolde;92.48
283;Franeker;470.01
284;Franekeradeel;83.21
285;Gaasterland;71.35
286;Gameren;186.58
287;Gassel;62.25
288;Gasselte;89.29
289;Geertruid (St.);95.96
290;Geertruidenberg;546.8
291;Geervliet;41.67
292;Geffen;137.34
293;Geldermalsen;245.3
294;Geldrop;375.86
295;Geleen;1007.39
296;Gemert;107.84
297;Gendringen;156.51
298;Genemuiden;182.02
299;Gennep;471.51
300;Gent;231.47
301;Geulle;230.12
302;Giessen;89.68
303;Giessendam;224.89
304;Giessen-Nieuwkerk;135.61
305;Gieten;81.15
306;Giethoorn;59.91
307;Gilze en Rijen;108.31
308;Ginneken en Bavel;228.97
309;Goedereede;146.9
310;Goes;1221.42
311;Goirle;205.7
312;Goor;1153.01
313;Gorinchem;1238.57
314;Gorssel;90.94
315;Gouda;3265.73
316;Gouderak;194.01
317;Goudriaan;76.01
318;Goudswaard;58.17
319;Graauw en Langendam;82.15
320;Grafhorst;348.58
321;Graft;102.71
322;Gramsbergen;73.51
323;Grathem;71.34
324;Grave;608.92
325;'s-Graveland;350.41
326;'s-Gravendeel;236.1
327;'s-Gravenhage;6613.4
328;'s-Gravenpolder;166.03
329;'s-Gravenzande;396.91
330;Grevenbicht;456.1
331;Grijpskerk;107.56
332;Grijpskerke;70.44
333;Groede;79.29
334;Groenlo;447.11
335;Groesbeek;178.31
336;Groningen;3774.08
337;Gronsveld;127.45
338;Groot-Ammers;99.53
339;Grootebroek;338.48
340;Grootegast;111.2
341;Grubbenvorst;61.06
342;Gulpen;140.27
343;Haaften;126.89
344;Haaksbergen;79.89
345;Haamstede;41.61
346;Haaren;88.87
347;Haarlem;4899.71
348;Haarlemmerliede en Spaarnwoude;92.06
349;Haarlemmermeer;144.87
350;Haarzuilens;62.8
351;Haastrecht;133.24
352;Haelen;112.58
353;Hagestein;79.96
354;Halsteren;189.65
355;Ham (den);147.97
356;Haps;99.54
357;Hardenberg (Ambt-);78.84
358;Hardenberg (Stad-);155.69
359;Harderwijk;258.61
360;Hardinxveld;667.9
361;Haren;138.88
362;Harenkarspel;136.3
363;Harlingen;8033.08
364;Harmelen;115.79
365;Haskerland;139.42
366;Hasselt;1804.8
367;Hattem;356.02
368;Havelte;49.15
369;Hazerswoude;135.37
370;Hedel;147.0
371;Hedikhuizen;154.63
372;Heel en Panheel;192.23
373;Heemskerk;163.21
374;Heemstede;1525.61
375;Heenvliet;95.66
376;Heer;848.63
377;'s-Heer-Abtskerke;28.48
378;'s-Heer-Arendskerke;84.49
379;Heerde;111.12
380;'s-Heerenhoek;191.77
381;Heerewaarden;139.58
382;Heerhugowaard;129.66
383;Heerjansdam;209.66
384;Heerlen;1398.04
385;Heesch;118.22
386;Heeswijk;93.92
387;Heeze;81.36
388;Hei- en Boeicop;68.13
389;Heijthuizen;93.18
390;Heilo;217.36
391;Heinenoord;114.1
392;Heinkenszand;152.82
393;Heino;89.47
394;Hekelingen;105.88
395;Hekendorp;79.34
396;Helden;87.73
397;Helder (Den);659.33
398;Hellendoorn;103.11
399;Hellevoetsluis;788.21
400;Helmond;1742.12
401;Helvoet (Nieuw-);211.01
402;Helvoirt;83.14
403;Hemelumer Oldephaerd en Noordwolde;77.11
404;Hemmen;78.33
405;Hendrik-Ido-Ambacht;424.85
406;Hengelo (Gld.);96.18
407;Hengelo (O.);776.35
408;Hengstdijk;70.03
409;Hennaarderadeel;79.72
410;Hensbroek;91.41
411;Herkingen;177.37
412;Herpen;99.77
413;Herpt;63.15
414;Herten;210.82
415;'s-Hertogenbosch;2415.74
416;Herwen en Aerdt;178.98
417;Herwijnen;82.17
418;Heteren;113.31
419;Heukelum;279.5
420;Heumen;151.06
421;Heusden;1800.98
422;Hillegersberg;1038.74
423;Hillegom;807.47
424;Hilvarenbeek;54.23
425;Hilversum;1219.47
426;Hindeloopen;193.24
427;Hoedekenskerke;133.37
428;Hoek;80.39
429;Hoenkoop;76.85
430;Hoensbroek;1530.11
431;Hoevelaken;180.99
432;Hoeven;124.06
433;Holten;62.68
434;Hontenisse;139.84
435;Hoofdplaat;119.64
436;Hoogblokland;102.71
437;Hooge en Lage Mierde;39.09
438;Hooge en Lage Zwaluwe;140.39
439;Hoogeloon, Hapert en Casteren;58.85
440;Hoogeveen;245.76
441;Hoogezand;212.55
442;Hoogkarspel;161.97
443;Hoogkerk;216.08
444;Hoogland;87.45
445;Hoogvliet;169.24
446;Hoogwoud;96.08
447;Hoorn;1777.14
448;Hoornaar;125.14
449;Horn;145.39
450;Horssen;77.9
451;Horst;92.19
452;Houten;70.86
453;Houthem;232.77
454;Huijbergen;102.45
455;Huissen;276.71
456;Huizen;525.16
457;Hulsberg;250.85
458;Hulst;2070.9
459;Hummelo en Keppel;64.86
460;Hunsel;65.46
461;Hurwenen;90.04
462;Idaarderadeel;88.7
463;Ilpendam;80.27
464;Itteren;131.15
465;Ittervoort;75.0
466;Jaarsveld;129.91
467;Jabeek;154.8
468;Janssteen (St.);120.62
469;Jisp;73.37
470;Jutphaas;176.05
471;Kamerik;72.01
472;Kampen;278.08
473;Kamperveen;25.38
474;Kantens;65.89
475;Kapelle;152.81
476;Kats;58.82
477;Kattendijke;61.04
478;Katwijk;1348.02
479;Katwoude;33.91
480;Kedichem;122.43
481;Kerkrade;1994.84
482;Kerkwerve;43.45
483;Kerkwijk;86.78
484;Kessel;81.09
485;Kesteren;242.08
486;Kethel en Spaland;183.39
487;Klaaswaal;144.64
488;Klimmen;254.63
489;Kloetinge;127.83
490;Kloosterburen;74.07
491;Klundert;131.46
492;Kockengen;120.54
493;Koedijk;188.48
494;Koewacht;123.98
495;Kollumerland en Nieuwkruisland;102.73
496;Koog aan de Zaan;1472.94
497;Kortenhoef;99.87
498;Kortgene;101.54
499;Koudekerk;181.72
500;Koudekerke;202.01
501;Krabbendijke;153.36
502;Krimpen aan de Lek;461.45
503;Krimpen aan den IJssel;664.64
504;Krommenie;1352.78
505;Kruiningen;258.56
506;Kruis (St.);32.07
507;Kuinre;82.47
508;Kwadijk;65.8
509;Laag-Nieuwkoop;72.12
510;Landsmeer;190.4
511;Langbroek;76.33
512;Lange Ruige Weide;69.33
513;Langerak;81.86
514;Laren (Gld.);52.7
515;Laren (NH.);522.71
516;Laurens (St.);112.05
517;Leek;117.62
518;Leende;46.25
519;Leens;104.3
520;Leerbroek;77.31
521;Leerdam;508.64
522;Leersum;68.01
523;Leeuwarden;2912.3
524;Leeuwarderadeel;183.47
525;Leiden;5767.51
526;Leiderdorp;203.92
527;Leimuiden;138.59
528;Lekkerkerk;192.89
529;Lekkerland (Nieuw-);319.19
530;Lemsterland;103.41
531;Leusden;49.71
532;Lexmond;73.67
533;Lichtenvoorde;100.8
534;Liempde;88.27
535;Lienden;111.64
536;Lier (de);296.92
537;Lierop;49.52
538;Lieshout;78.14
539;Limbricht;226.51
540;Limmen;175.54
541;Linden;53.09
542;Linne;110.33
543;Linschoten;68.73
544;Lisse;531.2
545;Lith;143.19
546;Lithoijen;61.38
547;Lochem;270.0
548;Loenen;135.86
549;Loenersloot;92.83
550;Lonneker;218.82
551;Loon op Zand;196.78
552;Loosdrecht;173.73
553;Lopik;83.15
554;Loppersum;124.21
555;Losser;131.67
556;Luijksgestel;47.59
557;Maarheeze;51.49
558;Maarn;83.97
559;Maarssen;401.78
560;Maarsseveen;188.44
561;Maarten (St.);95.98
562;Maartensdijk (St.);121.7
563;Maartensdijk;119.97
564;Maasbracht;111.82
565;Maasbree;190.79
566;Maasdam;190.23
567;Maashees en Overloon;70.79
568;Maasland;85.67
569;Maasniel;236.71
570;Maassluis;6172.26
571;Maastricht;1887.46
572;Made en Drimmelen;96.11
573;Margraten;130.14
574;Markelo;52.52
575;Marken;528.14
576;Marum;101.99
577;Maurik;108.31
578;Medemblik;475.96
579;Meeden;107.04
580;Meerkerk;114.44
581;Meerlo;83.28
582;Meerssen;469.43
583;Megen, Haren en Macharen;110.33
584;Meijel;119.71
585;Melick en Herkenbosch;86.81
586;Meliskerke;101.14
587;Melissant;89.4
588;Menaldumadeel;133.21
589;Meppel;1136.05
590;Merkelbeek;272.37
591;Mesch;113.96
592;Mheer;106.71
593;Michielsgestel (St.);246.68
594;Middelburg;1340.74
595;Middelharnis;243.42
596;Middelie;71.64
597;Middelstum;106.56
598;Midwolda;108.49
599;Midwoud;90.61
600;Mierlo;155.22
601;Mijdrecht;152.66
602;Mijnsheerenland;93.99
603;Mill en Sint Hubert;94.49
604;Millingen;357.34
605;Moercapelle;113.26
606;Moergestel;74.3
607;Molenaarsgraaf;76.34
608;Monnikendam;192.42
609;Monster;686.63
610;Montfoort;1429.29
611;Montfort;124.87
612;Mook en Middelaar;99.07
613;Moordrecht;190.51
614;Muiden;191.91
615;Munstergeleen;295.95
616;Muntendam;173.79
617;Naaldwijk;453.76
618;Naarden;318.72
619;Nederhemert;153.91
620;Nederhorst den Berg;145.64
621;Nederweert;70.22
622;Neede;126.82
623;Neer;89.5
624;Neeritter;146.59
625;Neuzen;331.05
626;Nibbixwoud;138.84
627;Nieuw- en Sint Joosland;84.97
628;Nieuwe Pekela;176.15
629;Nieuwenhagen;735.83
630;Nieuwenhoorn;90.73
631;Nieuwe-Niedorp;105.94
632;Nieuwer-Amstel;286.26
633;Nieuwerkerk aan den IJssel;202.14
634;Nieuwerkerk;80.49
635;Nieuweschans;257.47
636;Nieuwkoop;104.69
637;Nieuwkuijk;358.15
638;Nieuwland;67.75
639;Nieuwleusen;94.03
640;Nieuwolda;59.05
641;Nieuwpoort;1509.09
642;Nieuwstadt;149.83
643;Nieuwveen;199.65
644;Nieuwvliet;75.48
645;Nieuw-Vossemeer;102.15
646;Nigtevecht;116.13
647;Nijeveen;55.67
648;Nijkerk;155.0
649;Nijmegen;1891.57
650;Nisse;67.98
651;Nistelrode;85.33
652;Noorbeek;104.86
653;Noordbroek;81.72
654;Noorddijk;92.14
655;Noordeloos;79.92
656;Noordgouwe;126.54
657;Noord-Scharwoude;387.65
658;Noordwelle;45.84
659;Noordwijk;280.92
660;Noordwijkerhout;270.59
661;Nootdorp;178.16
662;Norg;43.7
663;Nuland;88.47
664;Numansdorp;86.08
665;Nunen, Gerwen en Nederwetten;116.3
666;Nunhem;87.08
667;Nuth;460.52
668;Obbicht en Papenhoven;239.61
669;Obdam;144.85
670;Odijk;72.33
671;Odiliënberg (St.);98.16
672;Odoorn;83.24
673;Oedenrode (St.);95.09
674;Oeffelt;143.87
675;Oegstgeest;511.18
676;Ohé en Laak;123.29
677;Oijen en Teeffelen;65.0
678;Oirsbeek;234.41
679;Oirschot;81.62
680;Oisterwijk;300.8
681;Oldebroek;94.6
682;Oldehove;60.87
683;Oldekerk;78.06
684;Oldemarkt;58.27
685;Oldenzaal;4266.38
686;Olst;94.47
687;Ommen;43.47
688;Onstwedde;169.23
689;Ooltgensplaat;132.16
690;Oost- en West-Souburg;540.36
691;Oost-, West- en Middelbeers;33.07
692;Oostburg;194.82
693;Oostdongeradeel;94.18
694;Oosterhesselen;41.34
695;Oosterhout;206.97
696;Oosterland;113.41
697;Oosthuizen;90.67
698;Oostkapelle;97.08
699;Ooststellingwerf;64.59
700;Oostvoorne;135.83
701;Oostzaan;211.36
702;Ootmarsum;475.65
703;Ophemert;73.61
704;Oploo, Sint Anthonis en Ledeacker;67.63
705;Opmeer;79.47
706;Opperdoes;277.14
707;Opsterland;84.24
708;Oss;502.34
709;Ossendrecht;100.61
710;Ossenisse;85.61
711;Oterleek;57.59
712;Ottersum;91.28
713;Ottoland;73.18
714;Oud en Nieuw Gastel;191.51
715;Ouddorp;112.74
716;Oude Pekela;396.59
717;Oudelande;152.01
718;Oudenbosch;492.29
719;Oudendijk;81.54
720;Oudenhoorn;105.34
721;Oude-Niedorp;134.47
722;Oudenrijn;64.21
723;Ouder-Amstel;142.15
724;Ouderkerk aan den IJssel;214.59
725;Oudewater;2199.31
726;Oudheusden;103.44
727;Oudkarspel;152.52
728;Oudorp;175.99
729;Oud-Valkenburg;146.02
730;Oud-Vossemeer;108.02
731;Ouwerkerk;59.83
732;Overasselt;84.47
733;Overschie;463.17
734;Overslag;61.5
735;Ovezande;123.46
736;Pancras (St.);324.77
737;Pannerden;148.96
738;Papekop;61.89
739;Papendrecht;578.45
740;Peize;89.93
741;Pernis;357.15
742;Peursum;59.28
743;Philippine;80.23
744;Philipsland (St.);68.22
745;Piershil;78.28
746;Pijnacker;165.21
747;Poederoijen;85.14
748;Polsbroek;80.52
749;Poortugaal;263.9
750;Poortvliet;71.96
751;Posterholt;166.11
752;Prinsenhage;179.49
753;Purmerend;447.38
754;Putte;75.87
755;Putten;90.53
756;Puttershoek;441.7
757;Raalte;69.78
758;Raamsdonk;329.8
759;Rauwerderhem;81.62
760;Ravenstein;110.26
761;Reek;79.17
762;Reeuwijk;160.7
763;Renesse;76.17
764;Renkum;397.43
765;Renswoude;88.25
766;Retranchement;65.39
767;Reusel;73.21
768;Rheden;280.66
769;Rhenen;177.17
770;Rhoon;151.0
771;Ridderkerk;607.43
772;Riethoven;40.73
773;Rietveld;104.55
774;Rijckholt;307.38
775;Rijnsaterwoude;119.03
776;Rijnsburg;1233.61
777;Rijp (de);369.81
778;Rijsbergen;66.22
779;Rijsenburg;573.85
780;Rijssen;360.02
781;Rijswijk (NB.);159.19
782;Rijswijk (ZH.);883.26
783;Rilland-Bath;53.87
784;Ritthem;65.81
785;Rockanje;87.03
786;Roden;84.84
787;Roermond;1708.71
788;Roggel;88.2
789;Rolde;29.64
790;Roosendaal en Nispen;386.65
791;Roosteren;136.2
792;Rosmalen;143.62
793;Rossum;176.32
794;Rotterdam;7337.82
795;Rozenburg;77.01
796;Rozendaal;13.02
797;Rucphen en Vorenseinde;128.89
798;Ruinen;39.28
799;Ruinerwold;68.07
800;Ruurlo;63.01
801;Ruwiel;62.14
802;s Gravenmoer;272.96
803;Sambeek;73.37
804;Sappemeer;489.02
805;Sas van Gent;209.67
806;Sassenheim;800.61
807;Schaesberg;1122.85
808;Schagen;194.42
809;Schaijk;67.79
810;Schalkwijk;74.34
811;Scheemda;149.36
812;Schellinkhout;74.0
813;Schelluinen;155.15
814;Schermerhorn;98.18
815;Scherpenisse;126.21
816;Scherpenzeel;143.66
817;Schiebroek;576.35
818;Schiedam;6487.1
819;Schiermonnikoog;13.58
820;Schijndel;169.56
821;Schimmert;194.71
822;Schin op Geul;228.84
823;Schinnen;231.76
824;Schinveld;236.85
825;Schipluiden;113.96
826;Schoondijke;84.18
827;Schoonebeek;64.04
828;Schoonhoven;5393.98
829;Schoonrewoerd;101.29
830;Schoorl;63.63
831;Schore;81.61
832;Schoterland;122.18
833;Serooskerke (op Schouwen);76.28
834;Serooskerke (op Walcheren);126.02
835;Sevenum;60.08
836;Sijbekarspel;87.92
837;Simpelveld;472.95
838;Sittard;766.63
839;Sleen;73.27
840;Slenaken;78.84
841;Sliedrecht;469.84
842;Slochteren;94.04
843;Sloten (F.);311.5
844;Sluis;118.06
845;Smallingerland;126.64
846;Smilde;99.94
847;Sneek;1619.85
848;Snelrewaard;54.63
849;Soest;296.54
850;Someren;74.78
851;Sommelsdijk;187.95
852;Son en Breugel;88.06
853;Spanbroek;130.03
854;Spaubeek;242.55
855;Spijkenisse;137.54
856;Sprang-Capelle;196.88
857;Stad aan 't Haringvliet;395.33
858;Standdaarbuiten;140.81
859;Staphorst;49.16
860;Stavenisse;161.03
861;Staveren;251.82
862;Stedum;94.13
863;Steenbergen en Kruisland;105.69
864;Steenderen;76.74
865;Steenwijk;834.6
866;Steenwijkerwold;67.59
867;Stein (L.);374.17
868;Stellendam;95.84
869;Stevensweert;181.49
870;Stiphout;91.52
871;Stolwijk;101.97
872;Stompwijk;159.9
873;Stoppeldijk;72.16
874;Stoutenburg;92.23
875;Stramproij;137.21
876;Streefkerk;109.92
877;Strijen;90.01
878;Susteren;238.21
879;Swalmen;194.5
880;Tegelen;1023.16
881;Ten Boer;91.17
882;Ter Aar;200.87
883;Terheijden;167.61
884;Termunten;94.77
885;Terschelling;30.67
886;Teteringen;144.56
887;Texel;41.32
888;Tholen;184.41
889;Thorn;228.69
890;Tiel;1076.88
891;Tienhoven (U.);87.84
892;Tienhoven (ZH.);88.76
893;Tietjerksteradeel;97.46
894;Tilburg;994.75
895;Tonge (Nieuwe-);162.56
896;Tonge (Oude-);139.4
897;Tubbergen;64.7
898;Tull en 't Waal;60.43
899;Twisk;102.34
900;Ubach over Worms;684.41
901;Ubbergen;155.36
902;Uden;126.7
903;Udenhout;153.61
904;Uitgeest;195.73
905;Uithoorn;212.75
906;Uithuizen;144.35
907;Uithuizermeeden;97.81
908;Ulestraten;128.13
909;Ulrum;120.06
910;Urk;3970.37
911;Urmond;368.47
912;Ursem;84.84
913;Usquert;65.67
914;Utingeradeel;81.64
915;Utrecht;6739.86
916;Vaals;336.23
917;Valburg;132.66
918;Valkenburg (L.);4728.26
919;Valkenburg (ZH.);209.8
920;Valkenswaard;361.57
921;Varik;123.87
922;Veen;134.59
923;Veendam;276.17
924;Veenendaal;732.31
925;Veere;154.89
926;Veghel;184.3
927;Veldhoven;161.7
928;Veldhuizen;65.95
929;Velp;93.77
930;Velsen;891.12
931;Venhuizen;147.89
932;Venlo;920.55
933;Venraij;84.56
934;Vessem, Wintelre en Knegsel;29.93
935;Veur;527.17
936;Vianen;216.89
937;Vierlingsbeek;55.95
938;Vierpolders;83.09
939;Vinkeveen en Waverveen;117.8
940;Vlaardingen;3566.58
941;Vlaardinger-Ambacht;122.61
942;Vlagtwedde;89.05
943;Vledder;53.05
944;Vleuten;185.3
945;Vlieland;8.65
946;Vlijmen;270.06
947;Vlissingen;2759.34
948;Vlist;45.77
949;Vlodrop;82.3
950;Voerendaal;176.04
951;Vollenhove (Ambt-);47.02
952;Vollenhove (Stad-);5940.0
953;Voorburg;3054.69
954;Voorhout;254.86
955;Voorschoten;392.7
956;Voorst;110.7
957;Vorden;74.55
958;Vreeland;177.87
959;Vreeswijk;435.35
960;Vries;49.43
961;Vriezenveen;119.63
962;Vrouwenpolder;55.72
963;Vught;357.62
964;Vuren;61.19
965;Waalre;185.7
966;Waalwijk;435.43
967;Waarde;103.86
968;Waardenburg;85.67
969;Waarder;86.69
970;Waddinxveen;217.23
971;Wadenoijen;134.14
972;Wageningen;425.29
973;Wamel;207.05
974;Wanneperveen;48.22
975;Wanroij;43.3
976;Wanssum;77.18
977;Warder;52.22
978;Warffum;77.13
979;Warmenhuizen;173.57
980;Warmond;258.19
981;Warnsveld;112.9
982;Waspik;195.54
983;Wassenaar;249.61
984;Wateringen;426.13
985;Waterlandkerkje;50.14
986;Wedde;90.06
987;Weerselo;61.67
988;Weert;142.7
989;Weesp;2599.64
990;Weesperkarspel;72.67
991;Wehl;127.73
992;Wemeldinge;269.39
993;Werken (de) en Sleeuwijk;165.24
994;Werkendam;110.73
995;Werkhoven;59.42
996;Wervershoof;234.48
997;Wessem;200.36
998;Westbroek;75.68
999;Westdongeradeel;110.72
1000;Westdorpe;88.03
1001;Westerbork;33.68
1002;Westerhoven;70.22
1003;Westervoort;272.93
1004;Westkapelle;242.7
1005;Westmaas;124.26
1006;Weststellingwerf;80.15
1007;Westwoud;92.37
1008;Westzaan;267.7
1009;Wierden;106.07
1010;Wieringen;215.67
1011;Wieringerwaard;63.33
1012;Wijchen;171.5
1013;Wijdenes;117.29
1014;Wijdewormer;46.75
1015;Wijhe;91.34
1016;Wijk (de);80.2
1017;Wijk aan Zee en Duin;455.64
1018;Wijk bij Duurstede;172.94
1019;Wijk en Aalburg;193.02
1020;Wijlre;110.73
1021;Wijmbritseradeel;77.81
1022;Wijnandsrade;86.7
1023;Wijngaarden;64.5
1024;Wildervank;242.88
1025;Willemstad;106.79
1026;Willeskop;64.06
1027;Willige-Langerak;75.42
1028;Wilnis;102.02
1029;Wilsum;99.37
1030;Winkel;92.15
1031;Winschoten;605.35
1032;Winsum;97.47
1033;Winterswijk;129.82
1034;Wisch;147.74
1035;Wissekerke;72.4
1036;Wittem;131.81
1037;Woensdrecht;108.37
1038;Woerden;626.02
1039;Wognum;125.21
1040;Wolphaartsdijk;87.25
1041;Wonseradeel;86.41
1042;Workum;135.13
1043;Wormer;253.45
